設定	تنظیمات
不正操作検知のため、CookieおよびデータベースにIPアドレス等の識別子を保存する。保存されたデータは、管理者の任意のタイミングで削除を行う。	د درغليزو کړنو د موندلو لپاره، د IP پتو په څېر پېژندونکي په کوکیز او ډېټابېس کې ذخیره کېږي. ذخیره شوې ډېټا د اداري کوونکي په خوښه له منځه وړل کېږي.
画像保護が有効な場合のみ、画像を正常に配信するため、IPアドレスと画像ファイル名をハッシュ化したデータをデータベースに最大60分間保存する。	د دې لپاره چې ډاډ ترلاسه کړو کله چې د انځور ساتنه فعاله وي، انځورونه په سمه توګه رسول کیږي، موږ د IP پته او د انځور فایل نوم په ځان کې شامل هېش شوي ډیټا تر ۶۰ دقیقو پورې په خپل ډیټابیس کې ذخیره کوو.
利用規約を設定する場合、必ずプライバシーポリシーに利用規約のリンクを設置して下さい	که تاسو د کارونې شرایط جوړوئ، نو مهرباني وکړئ ډاډ ترلاسه کړئ چې تاسو په خپله د محرمیت پالیسۍ کې د هغوی لینک شامل کړئ.
利用規約の文字列	د کارونې د شرایطو متن
利用規約のページ	د شرایطو او مقرراتو پاڼه
ページ選択なし	کومه پاڼه نه ده غوره شوې
検索エンジン等のURL	د لټون انجنونو او نورو لپاره یو آر ایلونه
同意しなかった時に画面遷移する検索エンジンなどのURLを設定します	د هغو لټون انجنونو او ورته سایټونو لپاره یو یو آر ایل
デバッグモード、コンソールの警告メッセージ	د تېروتنو اصلاح حالت، د کنسول د خبرداري پیغامونه
右クリックの警告メッセージ	د ښي کلیک د خبرداري پیغام
印刷、PDF保存の警告メッセージ	د PDF په توګه چاپ او خوندي کولو په اړه خبرداری
スクリーンショットの警告メッセージ	په سکرین شاټ کې خبرداری پیغام
スクリーンショットの疑いの警告メッセージ	د شکمنو سکرین شاټونو په اړه خبرداری
テキスト全選択時の警告メッセージ	کله چې ټول متن انتخاب شي، د خبرداري پیغام
ページ保存の警告メッセージ	د پاڼې خوندي کولو په اړه خبرداری
コピー・カットした時に表示するメッセージ	د کاپي يا کټ کولو پر مهال ښودل کیدونکی پیغام
HTMLソース表示時に表示するメッセージ	د HTML سرچینې د لیدلو پر مهال د ښودلو پیغام
HTML難読化・保護時にソースの先頭に表示するメッセージ	د HTML د ګډوډولو یا ساتنې پر مهال د سرچینې کوډ په سر کې د ښودلو لپاره پیغام
HTML保護時に一度限りの認証トークンが異常の場合に表示するメッセージ	د HTML ساتنې پرمهال د یو ځل تاییدي ټوکن د ناسم ثابتېدو په صورت کې د ښودلو پیغام
CookieやJavascriptが有効でない場合に表示するメッセージ	که کوکیز یا جاواسکریپټ غیر فعال وي، د ښودلو لپاره پیغام
実際にはJavascriptが無効時のみ表示されます	په حقیقت کې، دا یوازې هغه وخت ښودل کیږي کله چې جاواسکریپټ غیر فعال وي.
画像保護時に画像がダウンロードされ、その画像に表示するメッセージ 英語のみ	کله چې یو انځور خوندي شي، نو ډاونلوډ کیږي، او پر هغه انځور یو پیغام ښودل کیږي
HTML難読化 (圧縮)	د HTML ګډوډول
一般的なHTML圧縮です、難読化解除のサイトもあります	دا د HTML معیاري کمپریشن دی؛ داسې ویب پاڼې هم شته چې دا ډیکوډ کولی شي.
このオプションを有効にするとview-sourceのログが取得できます	د دې اختیار فعالول تاسو ته د ویو-سورس لاګ د ترلاسه کولو اجازه درکوي.
HTML保護	د HTML ساتنه
HTML圧縮以上に最小限のHTMLしか出力せず、BODYタグ内の内容が全く出力されなくなります	دا یوازې د HTML تر ټولو لږ ممکنه برخه تولیدوي — حتی د HTML د کمېشن کارولو په پرتله هم کمه — او د BODY ټګ دننه محتوا بیخي نه ښکاره کوي.
Firefoxに対しては無効です	دا په فایرفاکس باندې نه پلي کیږي
SEOに著しく影響があります	دا په SEO باندې د پام وړ اغېز لري.
HTMLをJavaScriptで描画	د جاواسکریپټ په کارولو سره د HTML جوړول
Firefox対策としてHTMLをJavaScriptで描画をします	د فایرفاکس د ستونزې د حل لپاره، موږ HTML د جاواسکریپټ په کارولو سره رینډر کوو.
JavaScript描画で有効にするとウェブサイトの表示速度が著しく遅くなります	د جاواسکریپټ رینډرینګ فعالول به د ویب پاڼې د بارولو سرعت د پام وړ ورو کړي.
画像の保護	د انځور ساتنه
imgタグが呼び出されるごとに画像を保護	هر ځل چې د img ټګ راوغوښتل شي، انځور وساتئ
出力される全HTMLのうち、Wordpressにアップロードされた画像をすべて保護	په ټول HTML تولید کې په ورډپریس کې پورته شوي ټول انځورونه خوندي کړئ
画像をダウンロードから保護します	انځورونه له ډاونلوډ کېدو څخه ساتي
画像データを保護した時にはほぼ完全なるダウンロードを阻止し、完全なるワンタイムURLを発行し、セッションに保存されたトークンで認証し、phpから画像を表示します、その為ほぼ完全な画像盗用を防ぎます	کله چې د انځور ډیټا خوندي کیږي، موږ تقریبا په بشپړ ډول د ډاونلوډ مخه نیسو، ځانګړي یو ځل کارېدونکي یو آر ایلونه
画像データを保護した時には画像のキャッシュが効かないため、次回訪問時にサイトの読み込みが遅くなるため、SEOに影響があります	کله چې د انځور ډیټا خوندي شي، کېشینګ کار نه کوي، چې دا په دې مانا ده چې ویب پاڼه به په راتلونکو لیدنو کې ورو بار شي، او په دې توګه به د SEO پر وضعیت اغېز وکړي.
画像データを保護した時には、データベースの負荷が高くなる可能性があります	د انځور د معلوماتو ساتنه ممکن په ډیټابیس باندې بار زیات کړي.
「imgタグが呼び出されるごとに画像を保護」の場合は、add_filterを使用し、imgタグの発行時にフィルタリングを行います、テーマによっては正しく動作しません	که تاسو 'هرکله چې د img ټګ راوغوښتل شي، انځورونه خوندي کړئ' انتخاب کړئ، سیسټم د add_filter په کارولو سره فلټر کول پلي کوي کله چې د img ټګ جوړیږي؛ خو دا ممکن د ځینو ټیمونو سره سم کار ونه کړي.
「出力される全HTMLのうち、Wordpressにアップロードされた画像をすべて保護」の場合は、Wordpressのほぼすべての動作をキャプチャし、コンテンツ内のimgタグについてすべて処理します。テーマによっては正しく動作しません	که تاسو 'په ټول HTML تولید کې په ورډپریس کې پورته شوي ټول انځورونه خوندي کړئ' انتخاب کړئ، پلګ ان به تقریبا ټول ورډپریس عملیات ثبت کړي او په محتوا کې به هر img ټګ پروسس کړي. مهرباني وکړئ په یاد ولرئ چې دا ممکن د ځینو ټیمونو سره په سمه توګه کار ونه کړي.
なお、アイキャッチに指定した画像はOGPとして拡散されますので保護できません。どうしても保護すべき場合は高度な設定でHTML保護時のHEADタグの出力の選択を変更してください	مهرباني وکړئ په یاد ولرئ چې هغه انځورونه چې د ځانګړو انځورونو په توګه ټاکل شوي وي، د OGP ډیټا په توګه به شریک شي او نشي خوندي کېدای. که تاسو حتماً غواړئ چې هغوی خوندي کړئ، نو مهرباني وکړئ د HTML خوندیتوب فعالولو پر مهال په پرمختللو ترتیباتو کې د HEAD ټګ د آوټپوټ ترتیبات بدل کړئ.
OS標準搭載のスクリーンショット機能を保護することはできません	په عامل سیسټم کې جوړ شوی د سکرین شاټ فعالیت نشي خوندي کېدای.
画像URLの保護	د انځورونو د پته ګانو ساتنه
画像の保護と組み合わせて使用します、単体では意味がありません	دا باید د انځور ساتنې سره یوځای وکارول شي؛ په یوازې ځان، دا هیڅ موخه نه پوره کوي.
JavaScriptにより遅延読まれますのでSEOに影響があります	څرنګه چې دا په سستۍ سره د جاوا سکریپټ له لارې بارېږي، دا په SEO اغېز کوي.
画像のウォーターマーク	انځور واټرمارک
右下	ښکته ښي
ランダム位置	تصادفي موقعیت
画像の保護と組み合わせて使用します、動的な透かしで著作権を明示しつつ、閲覧者に監視されている印象を与え抑止力を高めます	د انځور له ساتنې سره یوځای، متحرک واټرمارکونه په روښانه توګه د کاپي رایټ مالکیت په ګوته کوي او لیدونکو ته دا احساس ورکوي چې دوی تر څارنې لاندې دي، چې په دې توګه د مخنیوي په توګه کار کوي.
JPG形式、PNG形式、WebP形式のみ対応します	یوازې د JPG، PNG او WebP فارمیټونه ملاتړ کیږي.
有効にするとサーバーの負荷が高くなります	د دې فعالول به پر سرور باندې بار زیات کړي.
HTML難読化・保護時のHTMLソースコードのアスキーアートの出力	د ګډوډولو او ساتنې پرمهال د HTML له سرچینې کوډ څخه د ASCII هنر تولیدول
表示なし	ننداره نشته
view-sourceでHTMLソース表示をした時に警告の意思を示すアスキーアートを表示します	د 'view-source' په کارولو سره د HTML سرچینې لیدلو پر مهال د خبرداري ښودلو لپاره ASCII هنر ښیي.
対象アクションを起こした時の表示デザイン	کله چې هدف عمل ترسره شي، ډیزاین وښایاست
黄色の背景の黒文字のベーシックデザイン	یو ساده ډیزاین چې په ژیړ پس منظر باندې تور متن لري
黒色の背景の赤文字のホラー風デザイン	یو ډاروونکی ډیزاین چې په تور پس منظر باندې سور متن لري
黒色の背景の赤文字の光る文字のデザイン	یو ډیزاین چې په تور پس منظر کې ځلیدونکی سور متن لري
対象アクションを起こした時のBGM	شالید موسیقي چې د هدف عمل ترسره کیدو پر مهال غږیږي
サウンドなし	صدا نشته
戦闘＆戦闘勝利 - 1分16.3秒 - 630,056bytes - 64kbps - ライセンス：CC2.1 or later	جګړه او بریا - ۱ دقیقه ۱۶.۳ ثانیې - ۶۳۰،۰۵۶ بایتونه - ۶۴ kbps - جواز: CC 2.1 یا وروسته
おやじ ショート - 3.8秒 - 32,364bytes - 64kbps - ライセンス GPL2.0 or later (C)EJ	پدر لنډ - ۳.۸ ثانیې - ۳۲،۳۶۴ بایتونه - ۶۴ kbps - جواز: GPL 2.0 یا وروسته
おやじ ロング - 23.5秒 - 195,578bytes - 64kbps - ライセンス GPL2.0 or later (C)EJ	اوياجي لانګ - ۲۳.۵ ثانیې - ۱۹۵،۵۷۸ بايټه - ۶۴ kbps - جواز: GPL 2.0 يا وروسته
ショパン エチュード Op.10-5 黒鍵 打ち込み版 高速版 - 1分0.0秒 - 369,778bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	چوپین ایتود اوپوس ۱۰، ۵
ショパン エチュード Op.10-12 革命 打ち込み版 高速版 - 1分57.6秒 - 724,457bytes - 48kbps -  ライセンス：CC BY-ND 4.0 or later	چوپین ایتود اوپوس ۱۰، ۱۲ 'انقلاب' – د کمپیوټر جوړه شوې نسخه، په لوړ سرعت – ۱ دقیقه ۵۷.۶ ثانیې – ۷۲۴،۴۵۷ بایتونه – ۴۸ کیلوبیټ په ثانیه کې – جواز: CC BY-ND 4.0 یا وروسته
ショパン スケルツォ 変ロ短調 Op2 打ち込み版 高速短縮版 - 1分48.0秒 - 665,369bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	شوپن: په بي-فلیټ ماینور کې شرزو، اوپوس ۲ – د کمپیوټر لخوا جوړه شوې نسخه، د لوړ سرعت لنډه شوې نسخه – ۱ دقیقه ۴۸.۰ ثانیې – ۶۶۵،۳۶۹ بایتونه – ۴۸ kbps – جواز: CC BY-ND 4.0 یا وروسته
リスト 超絶技巧練習曲 4番 マゼッパ 打ち込み版 高速短縮版 - 1分51.6秒 - 687,586bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	لست: Étude d'Exécution Transcendante No. 4, 'Mazeppa' – کمپیوټر جوړه شوې نسخه، د لوړ سرعت لنډه شوې نسخه – ۱ دقیقه ۵۱.۶ ثانیې – ۶۸۷،۵۸۶ بایتونه – ۴۸ kbps – جواز: CC BY-ND 4.0 یا وروسته
ファンファーレ - 22.3秒 - 183,926bytes - 64kbps - ライセンス：パブリックドメイン	پراختیا – ۲۲.۳ ثانیې – ۱۸۳،۹۲۶ بایتونه – ۶۴ kbps – جواز: عامه ملکیت
レトロ風ファンファーレ - 2.2秒 - 10,536bytes - 32kbps - ライセンス：パブリックドメイン	رېټرو سټایل ډوله ډګ ډولا – ۲.۲ ثانیې – ۱۰،۵۳۶ بایتونه – ۳۲ kbps – جواز: عامه ملکیت
レトロ風オープン - 42.1秒 - 179,138bytes - 32kbps - ライセンス：パブリックドメイン	رېټرو سټایل سریزه – ۴۲.۱ ثانیې – ۱۷۹،۱۳۸ بایتونه – ۳۲ kbps – جواز: عامه ملکیت
警告 by ChatGPT - 3.8秒 - 109,700bytes - 256kbps - ライセンス：パブリックドメイン	د ChatGPT خبرداری - ۳.۸ ثانیې - ۱۰۹،۷۰۰ بایتونه - ۲۵۶ کیلوبیت پر ثانیه - جواز: عامه ملکیت
マルウェア検出みたいな緊急感の高い音 その１ by ChatGPT - 3.3秒 - 102,850bytes - 256kbps - ライセンス：パブリックドメイン	یو بیړنی غږ د مالویر کشف خبرتیا په څېر – لومړۍ برخه د ChatGPT لخوا – ۳.۳ ثانیې – ۱۰۲،۸۵۰ بایتونه – ۲۵۶ kbps – جواز: عامه ملکیت
マルウェア検出みたいな緊急感の高い音 その２ by ChatGPT - 3.3秒 - 103,122bytes - 256kbps - ライセンス：パブリックドメイン	د مالویر کشف خبرتیا په څېر یو بیړنی غږ، دوهمه برخه د ChatGPT لخوا - ۳.۳ ثانیې - ۱۰۳،۱۲۲ بایتونه - ۲۵۶ کیلوبیټ په ثانیه کې - جواز: عامه ملکیت
MRI風サウンド by ChatGPT - 1分14.9秒 - 3,340,392bytes - 320kbps - ライセンス：パブリックドメイン	د ChatGPT لخوا د MRI په څېر غږ – ۱ دقیقه ۱۴.۹ ثانیې – ۳،۳۴۰،۳۹۲ بایتونه – ۳۲۰ kbps – جواز: عامه ملکیت
警告表示中のBGMを選択します	د خبرداري پرمهال د غږولو لپاره شالید موسیقي وټاکئ
びっくりするような雰囲気を作ります	دا یو حیرانوونکی فضا رامنځته کوي
Firefoxでは音声ブロックされます	په فایرفاکس کې غږ بند شوی دی
対象アクションを起こした時のビープ音	کله چې ټاکل شوې کړنه ترسره شي، یو بیپ
有効 音量小さ目	په، غږ ټیټ
有効 音量大き目	فعال، حجم لوړ دی
警告表示中にすべてのキー・マウスイベントでビープ音を鳴らします	د یوې خبرداري د ښودل کېدو پرمهال، د کیبورډ او ماوس ټولو کړنو ته به یو بیپ غږ شي.
警告表示中に端末が暴走したかのような雰囲気を作ります	دا داسې انګېرنه رامنځته کوي چې کله خبرداری ښودل کېږي، وسیله له کنټروله وتلې ده.
対象アクションを起こした時のマウスカーソルの消去	کله چې یوه ځانګړې کړنه ترسره شي، د ماوس کرسر پټول
警告表示中にブラウザのエリアのマウスカーソルを消去します	کله چې خبرداری ښودل کیږي، د براوزر په ساحه کې د ماوس کرسر پټوي.
デバッグモード	د خطاګانو اصلاح حالت
妨害＋記録のみ	مداخله + ریکارډونه یوازې
妨害＋記録＋表示＋リダイレクト	مداخله + ثبت + ننداره + لوري بدلول
メニューからは操作できてしまいます	تاسو لاهم کولی شئ د مینو له لارې ورته لاسرسی ومومئ.
Firefoxにおけるデバッグモード	په فایرفاکس کې د تېروتنو موندلو حالت
ブラウザーコンソール	براوزر کنسول
事実上デバッグモードから操作できてしまいます	په حقیقت کې، تاسو کولی شئ دا د ډیبګ حالت څخه چلوئ.
HTMLソース表示	د HTML سرچینه وګورئ
view-source:から始まるURLを入力すれば操作できてしまいます	تاسو کولی شئ دا عملیات په ساده ډول د یو داسې URL په داخلولو سره ترسره کړئ چې په 'view-source:' پیل شي.
HTML保護と組み合わせることでコンテンツを保護することができます	تاسو کولی شئ د دې په HTML ساتنې سره یوځای کولو په واسطه خپل محتوا خوندي کړئ.
印刷	چاپ
印刷阻止をするもものの、ブラウザによってはうまく動作しません	که څه هم دا چاپ کول مخنیوي، خو ممکن په ځینو براوزرونو کې سم کار ونه کړي.
スクリーンショット	د سکرین عکس
OSやブラウザ、方法によっては妨害できず、もしくは検出しないことがあります	د کارول شوي عامل سیسټم، براوزر یا طریقې پورې اړه لري، ممکن د دې مخنیوی ممکن نه وي، یا ممکن کشف نه شي.
ウインドウが背面に移動した時スクリーンショットの疑い	کله چې کړکۍ شاته شي، د شکمن سکرین شاټ اخیستل
あわせて、スクリーンショット以外の機能（タブ切り替え・ウィンドウ切り替え）にも反応してしまいます。	دا د سکرین شاټونو سربیره نورو کارونو ته هم ځواب وايي
2キー押下のスクリーンショットの疑い	د دوو کیليو په یوځای فشارولو سره اخیستل شوی شکمن سکرین شاټ
上の項目の検出方法は完全ではありません、予防的に検出を行います	د پورتنیو توکو د موندلو طریقې په بشپړه توګه د باور وړ نه دي؛ موندنه د احتیاطي تدبیر په توګه ترسره کیږي.
スクリーンショットだけではなく、デバッグモード等も検出します	دا نه یوازې سکرین شاټونه، بلکې ډیبګ موډونه او داسې نور هم کشفوي.
ページ保存	پاڼه خوندي کړئ
右クリック	ښی کلیک
アドオンがインストールされていると操作できてしまいます	که اضافي برخه نصب شوې وي، نو تاسو به یې کارولی شئ.
コピー・カット	کاپي او پرې کول
本プラグインの設定によってはこのイベントにたどり着くことはほとんどない場合があります	د دې پلګ ان د ترتیباتو پر بنسټ، ممکن تاسو له دې پېښې سره ډېر کم مخ شئ.
テキスト全選択	ټول متن وټاکئ
テキスト選択	متن غوره کړئ
デバッガー起動ログ、デバッガー妨害	د ډیبیګر د پیل لاګ، د ډیبیګر مداخله
デバッグモードの使い勝手を少し悪くし、デバッガを起動したことをログに残します、ブラウザによってはこの挙動が止められてしまいます	دا د ډیبګ حالت لږ څه د کارونکي لپاره ستونزمن کوي او دا ثبتوي چې ډیبګر چالان شوی دی؛ خو ځینې براوزرونه ممکن دا چلند وځنډوي.
リダイレクトするURL	URL ته لارښودول
利用規約などのページに転送すると良いでしょう	دا به یوه ښه مفکوره وي چې کاروونکي د کارونې د شرایطو په څېر پاڼو ته راجع شي.
空欄にすると元のURLにリダイレクトをします	که تش پاتې شي، نو اصلي URL ته به یې واړوي.
リダイレクトまでの時間	بیا لارښودنې ته وخت
リダイレクトなし	بیا لارښودنه نشته
1秒	یو ثانیه
2秒	۲ ثانیې
3秒	درې ثانیې
4秒	څلور ثانیې
5秒	پنځه ثانیې
6秒	شپږ ثانیې
7秒	اووه ثانیې
8秒	اته ثانیې
9秒	نهه ثانیې
10秒	لس ثانیې
15秒	پنځلس ثانیې
20秒	شل ثانیې
25秒	پنځه ویشت ثانیې
30秒	دېرش ثانیې
35秒	دېرش پنځه ثانیې
40秒	۴۰ ثانیې
45秒	۴۵ ثانیې
50秒	پنځوس ثانیې
55秒	پنځوس پنځه ثانیې
1分	یوه دقیقه
1分10秒	یوه دقیقه او لس ثانیې
1分20秒	یوه دقیقه او شل ثانیې
1分30秒	یوه دقیقه او دېرش ثانیې
1分40秒	یوه دقیقه او څلوېښت ثانیې
1分50秒	یوه دقیقه او پنځوس ثانیې
2分	۲ دقیقې
ソース表示を許可する権限	د سرچینې کوډ لیدلو اجازه
ADMINログイン時のみ通常のソース出力	عادي سرچینه یوازې هغه وخت وتون لري کله چې د اډمین په توګه ننوتل شوي وي
USERログインで通常のソース出力	کله چې د کارونکي په توګه ننوځئ، د سرچینې عادي وتل
通常のHTML出力を管理者のみかユーザーログインかを選択します	غوره کړئ چې ایا معیاري HTML محصول یوازې د مدیرانو لپاره محدود دی او که د کارونکي ننوتل
画像を無理やりダウンロードして実際にダウンロードされるもの	د یو انځور د ډاونلوډ کولو مجبورول او هغه څه چې په حقیقت کې ډاونلوډ کیږي
GIF形式で1×1ピクセルの透過画像	د GIF په بڼه یوه ۱ په ۱ پکسل شفافه انځور
PNG形式で1×1ピクセルの透過画像	د PNG په بڼه یوه ۱ په ۱ پکسل شفافه انځور
PNG形式で黄色い背景の警告画面	د PNG په بڼه یو خبرداري سکرین چې ژیړ پس منظر ولري
意味のないHTMLドキュメント	یو بې مانا HTML سند
HTML保護時のHEADタグの出力	کله چې HTML خوندي وي، د HEAD ټګ تولید
出力しない	چاپ مه کوئ
TITLEタグのみ	یوازې د سرلیک ټګ
WordpressのHEADタグより取得	د ورډپریس له HEAD ټګ څخه اخیستل شوی
企業用途の会員専用ページや社内ページなどでは「出力しない」、「TITLEタグのみ」で良いでしょう	د شرکت د کارونې لپاره، یوازې د غړو او داخلي پاڼو لپاره، د 'Do not output' یا 'TITLE tag only' غوره کول به کافي وي.
WordpressのHEADタグから取得しないと、SNSのシェアでOGP画像が表示されません	تر هغه وخته چې تاسو معلومات د ورډپریس له HEAD ټګ څخه ترلاسه نه کړئ، د OGP انځور به په ټولنیزو رسنیو کې د شریکولو پر مهال نه ښکاري.
画像botをアクセス禁止にする	انځور بوټ بند کړئ
画像botをHTMLに対し避けることにより、画像検索から直接リンクされることによって守れなかったコンテンツを守ることができます、ただし完全には対処することはできません	د انځورونو د بوټونو د HTML ته له لاسرسي څخه په مخنیوي سره، تاسو هغه محتوا خوندي کولی شئ چې د انځور د لټون له لارې د مستقیم لینک له امله نه خوندي کېدای شوه؛ خو دا یوه بشپړه باوري حل لاره نه ده.
AI学習用botをアクセス禁止にする	د مصنوعي ځيرکتيا روزنیز بوټ ته لاسرسی بند کړئ
AIの学習用のbotをHTMLに対し避けることにより、AIで利用されないようにします、ただし完全には対処することはできません	په HTML کې د مصنوعي ځيرکتيا
ウェブアーカイブ、ウェブ魚拓をアクセス禁止にする	د ویب آرشیفونو او ویب سنیپټونو ته لاسرسی بند کړئ
自動的に収集されるウェブアーカイブ並びにユーザーの任意で取得される魚拓のアクセスを禁止します、ただし完全には対処することはできません	موږ په اتوماتيک ډول راټولو شويو ویب آرشیفونو او د کارونکي په خوښه اخیستل شویو سکرین شاټونو ته لاسرسی منع کوو؛ خو بیا هم، موږ نشو کولی چې دا په بشپړ ډول مخنیوی وکړو.
無効なUAをアクセス禁止にする	نامعتبر کاروونکي ایجنټان بند کړئ
ユーザーエイジェントの文字に不正な文字列があった場合のアクセスを避けます	که د کارونکي ایجنټ سټرینګ ناسم توري ولري، نو لاسرسی مخنیوی کیږي.
Internet Explorerと旧Microsoft Edge(EdgeHTML)のアクセスに警告を表示する	د انټرنیټ اکسپلورر او زاړه مایکروسافټ ایج
Internet Explorerと旧Microsoft Edgeのアクセスを避けます	د انټرنیټ اکسپلورر او زاړه مایکروسافټ ایج له لارې لاسرسی مخنیوی کوي
alertメッセージを表示する言語	هغه ژبه چې د خبرتیا پیغامونه پکې ښودل کیږي
Wordpressの言語	ورډپریس ژبې
ブラウザの設定言語	د براوزر د ژبې ترتیبات
メッセージをカスタム設定されている場合は言語を変更できません	که پیغامونه دودیز شوي وي، تاسو ژبه نشئ بدلولی.
同意画面の言語	د رضایت د سکرین ژبه
view-sourceメッセージを表示する言語	هغه ژبه چې د 'view-source' پیغام پکې وښودل شي
一時使用トークンの有効期限	د لنډمهاله ټوکنونو د پای نیټه
3分	درې دقیقې
4分	څلور دقیقې
5分	پنځه دقیقې
6分	شپږ دقیقې
7分	اووه دقیقې
8分	اته دقیقې
9分	نهه دقیقې
10分	لس دقیقې
15分	پنځلس دقیقې
20分	شل دقیقې
25分	پنځه ویشت دقیقې
30分	دېرش دقیقې
35分	دېرش پنځه دقیقې
40分	څلوېښت دقیقې
45分	پنځوس پنځه دقیقې
50分	پنځوس دقیقې
55分	پنځوس پنځه دقیقې
1時間	یوه ګړۍ
画像URL情報の有効期限を設定します	د انځور د URL معلوماتو لپاره د پای نیټې تنظیم کړئ
一度読み込まれると画像URL情報と一時使用トークンは無効化されます	یوځل چې بار شي، د انځور یو آر ایل او لنډمهاله ټوکن به باطل شي.
画像は遅延読み込みされますが、この指定した時間の30秒前に強制的に画像が読み込まれます	انځورونه د غوښتنې پر مهال بارېږي، خو دا به له ټاکل شوې وخت څخه ۳۰ ثانیې مخکې په اتوماتيک ډول بار شي.
一時使用トークンのビット数	په یوه لنډمهاله ټوکن کې د بټونو شمېر
画像URL情報を暗号化するのに一時使用トークンをパスワードとして使用しますが、その強度を指定します	یو لنډمهاله ټوکن د انځور د URL معلوماتو د کوډ کولو لپاره د پټنوم په توګه کارول کیږي؛ دا تنظیم یې د قوت مشخصوي.
ドロップダウンメニューの下に表示される選択肢にいくにつれて強度が強くなるものの、サーバーへの負荷が高くなり、HTML転送量が多くなることがあります	که څه هم د غورځېدونکي مینو لاندې ښودل شوي انتخابونه په زیاتیدونکي توګه تفصیلي کیږي، دا کولی شي پر سرور باندې دروند بار راولي او د ډیرو HTML معلوماتو د لیږد لامل شي.
ハッシュ化アルゴリズム	د هش الګوریتم
画像URL情報を暗号化するのに一時使用トークンをパスワードとして使用しますが、その時ハッシュ化が必要です、その強度を設定します	یو لنډمهاله ټوکن د انځور د URL معلوماتو د کوډ کولو لپاره د پټنوم په توګه کارول کیږي؛ دا هش کولو ته اړتیا لري، او دا تنظیم د هغه هش کولو پیاوړتیا ټاکي.
ドロップダウンメニューの下に表示される選択肢にいくにつれて強度が強くなるものの、サーバーへの負荷が高くなります	که څه هم د ډراپ-ډاون مینو کې د ښودل شویو انتخابونو څخه د لاندې ځي په څیر د شدت زیاتوالی کیږي، دا په سرور باندې ډیر بار اچوي.
基本設定	اساسي ترتیبات
高度な設定	پرمختللي ترتیبات
初期設定に戻す	اصلي ترتیبات بیرته راولي
デザイン・音の設定	ډیزاین او غږیز تنظیمات
イベントの設定	د پیښې ترتیبات
