設定	Izilungiselelo
HTML圧縮以上に最小限のHTMLしか出力せず、BODYタグ内の内容が全く出力されなくなります	Ikhiqiza kuphela i-HTML eyisisekelo kakhulu—ngisho kuncane kunalapho kusetshenziswa ukucindezelwa kwe-HTML—futhi okuqukethwe ngaphakathi kwethegi ye-BODY akukhiqizwa nhlobo.
Firefoxに対しては無効です	Lokhu akusebenzi ku-Firefox.
SEOに著しく影響があります	Lokhu kunomthelela omkhulu ku-SEO.
HTMLをJavaScriptで描画	Ukudweba i-HTML usebenzisa i-JavaScript
Firefox対策としてHTMLをJavaScriptで描画をします	Ukuze sidlule ku-Firefox, sikhiqiza i-HTML sisebenzisa i-JavaScript.
JavaScript描画で有効にするとウェブサイトの表示速度が著しく遅くなります	Ukwenza i-JavaScript ikwazi ukudweba kuzodambisa kakhulu isivinini sokulayisha kwewebhusayithi.
画像の保護	Ukuvikelwa kwesithombe
imgタグが呼び出されるごとに画像を保護	Vikela isithombe njalo lapho kuthiwa i-tag ye-img
出力される全HTMLのうち、Wordpressにアップロードされた画像をすべて保護	Vikela zonke izithombe ezilayishiwe ku-WordPress ngaphakathi kukho konke okukhiphayo kwe-HTML.
画像をダウンロードから保護します	Ivikela izithombe ekulandweni
画像データを保護した時にはほぼ完全なるダウンロードを阻止し、完全なるワンタイムURLを発行し、セッションに保存されたトークンで認証し、phpから画像を表示します、その為ほぼ完全な画像盗用を防ぎます	Uma idatha yezithombe ivikelwe, sivimbela cishe zonke izilanda, sikhipha ama-URL awodwa asebenza kanye kuphela, siqinisekisa ubuqiniso sisebenzisa amatokheni agcinwe eseshini, futhi sikhombisa izithombe nge-PHP; lokhu kuvimbela ngempumelelo cishe zonke izimo zokweba izithombe.
画像データを保護した時には画像のキャッシュが効かないため、次回訪問時にサイトの読み込みが遅くなるため、SEOに影響があります	Uma idatha yezithombe ivikelwe, ukugcinwa kwesikhashana akusebenzi, okusho ukuthi isayithi lizolayisha kancane ezivakashelweni ezilandelayo, ngaleyo ndlela kuthinta i-SEO.
画像データを保護した時には、データベースの負荷が高くなる可能性があります	Ukuvikela idatha yomfanekiso kungakhuphula umthwalo kudathabheyisi.
「imgタグが呼び出されるごとに画像を保護」の場合は、add_filterを使用し、imgタグの発行時にフィルタリングを行います、テーマによっては正しく動作しません	Uma ukhetha 'Vikela izithombe noma nini lapho kuthiwa i-tag ye-img', uhlelo lusebenzisa add_filter ukufaka ukuhlunga lapho i-tag ye-img ikhiqizwa; nokho, lokhu kungase kungasebenzi kahle kwezinye izindikimba.
「出力される全HTMLのうち、Wordpressにアップロードされた画像をすべて保護」の場合は、Wordpressのほぼすべての動作をキャプチャし、コンテンツ内のimgタグについてすべて処理します。テーマによっては正しく動作しません	Uma ukhetha 'Vikela zonke izithombe ezilayishiwe ku-WordPress ngaphakathi kukho konke okukhiphayo kwe-HTML', le plugin izobamba cishe yonke imisebenzi ye-WordPress bese icubungula wonke amathegi e-img okuqukethweni. Sicela uqaphele ukuthi lokhu kungase kungasebenzi kahle kwezinye izindikimba.
なお、アイキャッチに指定した画像はOGPとして拡散されますので保護できません。どうしても保護すべき場合は高度な設定でHTML保護時のHEADタグの出力の選択を変更してください	Sicela uqaphele ukuthi izithombe ezibekwe njengezithombe ezivelele zizokwabelwa njenge-OGP data futhi azikwazi ukuvikelwa. Uma ngempela kufanele uzivikele, sicela ushintshe isethingi yokukhipha i-HEAD tag ezilungiselweni ezithuthukisiwe lapho uvula ukuvikelwa kwe-HTML.
OS標準搭載のスクリーンショット機能を保護することはできません	Umsebenzi wokuthwebula isithombe-skrini owakhelwe ngaphakathi kohlelo lokusebenza awunakuvikelwa.
画像URLの保護	Ukuvikela ama-URL wezithombe
画像の保護と組み合わせて使用します、単体では意味がありません	Lokhu kufanele kusetshenziswe ngokuhlanganyela nokuvikelwa kwesithombe; ngokwalo, akusizi lutho.
JavaScriptにより遅延読まれますのでSEOに影響があります	Njengoba ilayishwa ngokunganaki nge-JavaScript, lokhu kuthinta i-SEO.
画像のウォーターマーク	Isitembu sesithombe
右下	Phansi kwesokudla
ランダム位置	Isikhundla esingahleliwe
画像の保護と組み合わせて使用します、動的な透かしで著作権を明示しつつ、閲覧者に監視されている印象を与え抑止力を高めます	Uma isetshenziswa ngokuhlangene nokuvikelwa kwesithombe, amawatermark aguquguqukayo abonisa ngokusobala ubunikazi bamalungelo obunikazi futhi enikeza ababukeli umbono wokuthi bayabhekwa, ngaleyo ndlela esebenza njengesithiyo.
JPG形式、PNG形式、WebP形式のみ対応します	Kusekelwa kuphela amafomethi e-JPG, e-PNG kanye ne-WebP.
有効にするとサーバーの負荷が高くなります	Ukwenza lokhu kuzokwandisa umthwalo kuseva.
HTML難読化・保護時のHTMLソースコードのアスキーアートの出力	Ukukhiqiza ubuciko be-ASCII kusuka kukhodi yomthombo ye-HTML ngesikhathi sokudida nokuvikela i-HTML
表示なし	Akukho okuboniswayo
view-sourceでHTMLソース表示をした時に警告の意思を示すアスキーアートを表示します	Ibonisa ubuciko be-ASCII obuveza isixwayiso lapho ubuka umthombo we-HTML usebenzisa 'view-source'
対象アクションを起こした時の表示デザイン	Bonisa umklamo lapho isenzo esihlosiwe senziwa
黄色の背景の黒文字のベーシックデザイン	Umklamo oyisisekelo onezincwadi ezimnyama esizeni esiphuzi
黒色の背景の赤文字のホラー風デザイン	Umklamo wesitayela sokwesabisa onezincwadi ezibomvu kumgqeni omnyama
黒色の背景の赤文字の光る文字のデザイン	Umklamo onezincwadi ezibomvu ezikhanyayo esizeni esimnyama
対象アクションを起こした時のBGM	Umculo wangemuva odlalwayo lapho isenzo esihlosiwe senziwa
サウンドなし	Akukho umsindo
戦闘＆戦闘勝利 - 1分16.3秒 - 630,056bytes - 64kbps - ライセンス：CC2.1 or later	Impi Nokunqoba - imizuzu engu-1 nemizuzwana engu-16.3 - amabhayithi angu-630,056 - 64 kbps - Ilayisensi: CC 2.1 noma kamuva
おやじ ショート - 3.8秒 - 32,364bytes - 64kbps - ライセンス GPL2.0 or later (C)EJ	Dad Mfushane - imizuzwana engu-3.8 - amabhayithi angu-32,364 - 64 kbps - Ilayisensi: GPL 2.0 noma kamuva
おやじ ロング - 23.5秒 - 195,578bytes - 64kbps - ライセンス GPL2.0 or later (C)EJ	Oyaji Long - imizuzwana engu-23.5 - amabhayithi angu-195,578 - 64 kbps - Ilayisensi: GPL 2.0 noma kamuva
ショパン エチュード Op.10-5 黒鍵 打ち込み版 高速版 - 1分0.0秒 - 369,778bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	Chopin Étude Op. 10 No. 5
ショパン エチュード Op.10-12 革命 打ち込み版 高速版 - 1分57.6秒 - 724,457bytes - 48kbps -  ライセンス：CC BY-ND 4.0 or later	Chopin Étude Op. 10 No. 12 'Revolution' – inguqulo ekhiqizwe yikhompyutha, esheshayo – imizuzu engu-1 nemizuzwana engu-57.6 – amabhayithi angu-724,457 – 48 kbps – Ilayisensi: CC BY-ND 4.0 noma kamuva
ショパン スケルツォ 変ロ短調 Op2 打ち込み版 高速短縮版 - 1分48.0秒 - 665,369bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	Chopin: iScherzo ku-B-flat minor, Op. 2 – inguqulo ekhiqizwe yikhompyutha, inguqulo efingqiwe ngesivinini esiphezulu – imizuzu engu-1 nemizuzwana engu-48.0 – amabhayithi angu-665,369 – 48 kbps – Ilayisensi: CC BY-ND 4.0 noma kamuva
リスト 超絶技巧練習曲 4番 マゼッパ 打ち込み版 高速短縮版 - 1分51.6秒 - 687,586bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	Uhlu: Étude d'Exécution Transcendante No. 4, 'Mazeppa' – inguqulo ekhiqizwe yikhompyutha, inguqulo ecishisiwe esheshayo – imizuzu engu-1 nemizuzwana engu-51.6 – amabhayithi angu-687,586 – 48 kbps – Ilayisensi: CC BY-ND 4.0 noma kamuva
ファンファーレ - 22.3秒 - 183,926bytes - 64kbps - ライセンス：パブリックドメイン	Umgubho – imizuzwana engu-22.3 – amabhayithi angu-183,926 – 64 kbps – Ilayisensi: Umphakathi Ovulekile
レトロ風ファンファーレ - 2.2秒 - 10,536bytes - 32kbps - ライセンス：パブリックドメイン	Umkhosi wesitayela se-retro – imizuzwana engu-2.2 – amabhayithi angu-10,536 – 32 kbps – Ilayisensi: Umphakathi Ovulekile
レトロ風オープン - 42.1秒 - 179,138bytes - 32kbps - ライセンス：パブリックドメイン	Isingeniso sesitayela se-retro – imizuzwana engu-42.1 – amabhayithi angu-179,138 – 32 kbps – Ilayisensi: Umphakathi ovulekile
警告 by ChatGPT - 3.8秒 - 109,700bytes - 256kbps - ライセンス：パブリックドメイン	Isixwayiso sika-ChatGPT - imizuzwana engu-3.8 - amabhayithi angu-109,700 - i-256 kbps - Ilayisensi: Umphakathi ovulekile
マルウェア検出みたいな緊急感の高い音 その１ by ChatGPT - 3.3秒 - 102,850bytes - 256kbps - ライセンス：パブリックドメイン	Isandi esiphuthumayo esiphakeme esifana nesixwayiso sokutholwa kwemalware – Ingxenye 1 ngu-ChatGPT – imizuzwana engu-3.3 – amabhayithi angu-102,850 – i-256 kbps – Ilayisensi: Umbuso Ovulekile
マルウェア検出みたいな緊急感の高い音 その２ by ChatGPT - 3.3秒 - 103,122bytes - 256kbps - ライセンス：パブリックドメイン	Isandi esiphuthumayo esiphakeme esifana nesexwayiso sokutholwa kwemalware, Ingxenye 2 ngu-ChatGPT - imizuzwana engu-3.3 - amabhayithi angu-103,122 - 256 kbps - Ilayisensi: Umbuso Ovulekile
MRI風サウンド by ChatGPT - 1分14.9秒 - 3,340,392bytes - 320kbps - ライセンス：パブリックドメイン	Umsindo ofana ne-MRI owenziwe nge-ChatGPT – imizuzu engu-1 nemizuzwana engu-14.9 – amabhayithi angu-3,340,392 – 320 kbps – Ilayisensi: Umphakathi Ovulekile
警告表示中のBGMを選択します	Khetha umculo wangemuva ozodlalwa ngesikhathi sesixwayiso.
びっくりするような雰囲気を作ります	Kudala umoya omangazayo
Firefoxでは音声ブロックされます	Umsindo uvaliwe ku-Firefox
対象アクションを起こした時のビープ音	Ukubiza lapho isenzo esichaziwe senziwa
有効 音量小さ目	Shesha, ivolumu iphansi
有効 音量大き目	Isebenza, ivolumu isethwe phezulu
警告表示中にすべてのキー・マウスイベントでビープ音を鳴らします	Kuzovakala i-beep njengempendulo kuzo zonke izenzakalo zekhibhodi nezomaki ngenkathi isixwayiso sikhombisiwe.
警告表示中に端末が暴走したかのような雰囲気を作ります	Kudala umbono wokuthi idivayisi seyiphambene ngenkathi isixwayiso siboniswa.
対象アクションを起こした時のマウスカーソルの消去	Ukufihla ikhasi lomaki lwe-mouse lapho kwenziwa isenzo esithile
警告表示中にブラウザのエリアのマウスカーソルを消去します	Ifihla ikhasi lomaki wesilawuli kwindawo yesiphequluli ngenkathi kuboniswa isixwayiso
デバッグモード	Imodi yokuxilonga amaphutha
妨害＋記録のみ	Ukuphazamiseka + Amarekhodi kuphela
妨害＋記録＋表示＋リダイレクト	Ukuphazamiseka + Ukurekhoda + Ukubonisa + Ukuqondisa kabusha
メニューからは操作できてしまいます	Ungakwazi ukuyifinyelela ngokusebenzisa imenyu.
Firefoxにおけるデバッグモード	Imodi yokuxilonga ku-Firefox
ブラウザーコンソール	Ikhonsoli yesiphequluli
事実上デバッグモードから操作できてしまいます	Empeleni, ungakwazi ukuyisebenzisa kusuka kumodi yokuxilonga amaphutha.
HTMLソース表示	Buka umthombo we-HTML
view-source:から始まるURLを入力すれば操作できてしまいます	Ungenza lo msebenzi kalula ngokufaka i-URL eqala ngo-'view-source:'
HTML保護と組み合わせることでコンテンツを保護することができます	Ungavikela okuqukethwe kwakho ngokuhlanganisa lokhu nokuvikelwa kwe-HTML.
印刷	Shicilela
印刷阻止をするもものの、ブラウザによってはうまく動作しません	Nakuba ivimbela ukuphrinta, kungase ingasebenzi kahle kwezinye iziphequluli.
スクリーンショット	Isithombe-skrini
OSやブラウザ、方法によっては妨害できず、もしくは検出しないことがあります	Kuncike ohlelweni lokusebenza, kusiphequluli noma endleleni esetshenzisiwe, kungase kungabi nokwenzeka ukuvimba lokhu, noma kungase kungatholakali.
ウインドウが背面に移動した時スクリーンショットの疑い	Isithombe-skrini esingase sithathwe lapho iwindi lihamba liye ngemuva
あわせて、スクリーンショット以外の機能（タブ切り替え・ウィンドウ切り替え）にも反応してしまいます。	Iphinde iphendule emisebenzini ehlukile ngaphandle kokuthwebula izithombe zesikrini
2キー押下のスクリーンショットの疑い	Kucatshangwa ukuthi isithombe-skrini sithathwe ngokucindezela izinkinobho ezimbili.
上の項目の検出方法は完全ではありません、予防的に検出を行います	Izindlela zokutholwa kwezinto ezishiwo ngenhla azithembekile ngokuphelele; ukutholwa kwenziwa njengesinyathelo sokuzivikela.
スクリーンショットだけではなく、デバッグモード等も検出します	Akutholi nje izithombe-skrini kuphela kodwa futhi nezimo zokuxilonga nokunye okufana nalokho.
ページ保存	Gcina ikhasi
右クリック	Chofoza kwesokudla
アドオンがインストールされていると操作できてしまいます	Uma i-add-on ifakiwe, uzokwazi ukuyisebenzisa.
コピー・カット	Kopisha bese usika
本プラグインの設定によってはこのイベントにたどり着くことはほとんどない場合があります	Kuncike ezilungiselelweni zale plugin, ungase ungahlangabezani nale mcimbi kaningi.
テキスト全選択	Khetha wonke umbhalo
テキスト選択	Khetha umbhalo
デバッガー起動ログ、デバッガー妨害	Irekhodi lokuqalisa kwe-debugger, ukuphazamiseka kwe-debugger
デバッグモードの使い勝手を少し悪くし、デバッガを起動したことをログに残します、ブラウザによってはこの挙動が止められてしまいます	Lokhu kwenza imodi yokuxilonga ibe nzima kancane ukuyisebenzisa futhi kubhala ukuthi umxilongi usuqalisiwe; nokho, ezinye iziphequluli zingavimbela lokhu.
リダイレクトするURL	Hambisa i-URL kwenye indawo
利用規約などのページに転送すると良いでしょう	Kungaba umqondo omuhle ukuqondisa abasebenzisi kumakhasi afana Nemigomo Yokusetshenziswa.
空欄にすると元のURLにリダイレクトをします	Uma kushiywe kungagcwaliswanga, kuzodlulisela ku-URL yokuqala.
リダイレクトまでの時間	Isikhathi esisele ngaphambi kokuqondiswa kabusha
リダイレクトなし	Akukho ukudlulisela
1秒	Umzuzwana owodwa
2秒	Imizuzwana emibili
3秒	Imizuzwana emithathu
4秒	Imizuzwana emine
5秒	Imizuzwana emihlanu
6秒	Imizuzwana eyisithupha
7秒	7 imizuzwana
8秒	Imizuzwana eyisishiyagalombili
9秒	Imizuzwana eyisishiyagalolunye
10秒	Imizuzwana eyishumi
15秒	Imizuzwana eyishumi nanhlanu
20秒	Imizuzwana engu-20
25秒	Imizuzwana engu-25
30秒	Imizuzwana engamashumi amathathu
35秒	Imizuzwana engu-35
40秒	Imizuzwana engu-40
45秒	Imizuzwana engu-45
50秒	Imizuzwana engu-50
55秒	Imizuzwana engu-55
1分	Umzuzu owodwa
1分10秒	Umzuzu owodwa nemizuzwana eyishumi
1分20秒	Umzuzu owodwa nemizuzwana engamashumi amabili
1分30秒	Umzuzu owodwa nemizuzwana engamashumi amathathu
1分40秒	Imizuzu eyodwa nemizuzwana engamashumi amane
1分50秒	Umzuzu owodwa nemizuzwana engu-50
2分	Imizuzu emibili
ソース表示を許可する権限	Imvume yokubuka ikhodi yomthombo
ADMINログイン時のみ通常のソース出力	Ukukhipha okuvamile komthombo kuphela lapho ungene njengomlawuli
USERログインで通常のソース出力	Umphumela ojwayelekile kusuka kumthombo uma ungene njengo-USER
通常のHTML出力を管理者のみかユーザーログインかを選択します	Khetha ukuthi ngabe ukukhipha kwe-HTML okujwayelekile kuvinjelwe kubaphathi kuphela noma kudinga ukungena ngemvume komsebenzisi.
画像を無理やりダウンロードして実際にダウンロードされるもの	Ukunyanzela isithombe ukuthi silandwe nokuthi yini empeleni elandwayo
GIF形式で1×1ピクセルの透過画像	Isithombe esinopikseli eyodwa ngobubanzi nobude, esibonakalayo, esisefomethi ye-GIF
PNG形式で1×1ピクセルの透過画像	Isithombe esinama-pikseli angu-1×1 esibonakalayo esisefomethini ye-PNG
PNG形式で黄色い背景の警告画面	Isikrini sesixwayiso esinomhlophe ophuzi ngemuva, esikwifomethi ye-PNG
意味のないHTMLドキュメント	Umqulu we-HTML ongenangqondo
HTML保護時のHEADタグの出力	Umphumela wethegi ye-HEAD lapho i-HTML ivikelwe
出力しない	Ungaprinti
TITLEタグのみ	I-tag yesihloko kuphela
WordpressのHEADタグより取得	Kutholwe kuthegi ye-HEAD ye-WordPress
企業用途の会員専用ページや社内ページなどでは「出力しない」、「TITLEタグのみ」で良いでしょう	Kwamakhasi amalungu kuphela asetshenziselwa inkampani namakhasi angaphakathi, ukukhetha 'Ungakhiqizi' noma 'I-tag yesihloko kuphela' kwanele.
WordpressのHEADタグから取得しないと、SNSのシェアでOGP画像が表示されません	Ngaphandle kokuthi uthole imininingwane kuthegi ye-HEAD ye-WordPress, isithombe se-OGP ngeke siboniswe lapho wabelana ngakho ezinkundleni zokuxhumana.
画像botをアクセス禁止にする	Vimba ibhothi lesithombe
画像botをHTMLに対し避けることにより、画像検索から直接リンクされることによって守れなかったコンテンツを守ることができます、ただし完全には対処することはできません	Ngokuvimbela ama-bots wesithombe ekutholeni i-HTML, ungavikela okuqukethwe okungakwazanga ukuvikelwa ekuxhumaniseni ngqo ngokusesha izithombe; nokho, lokhu akunikezi isixazululo esiphelele.
AI学習用botをアクセス禁止にする	Vimba ukufinyelela kubhothi lokuqeqesha i-AI
AIの学習用のbotをHTMLに対し避けることにより、AIで利用されないようにします、ただし完全には対処することはできません	Ngokugwema ukusetshenziswa kwama-bots akhelwe ukuqeqesha i-AI ku-HTML, siqinisekisa ukuthi okuqukethwe akusetshenziswa yi-AI; nokho, lokhu akunqanyulwa ngokuphelele.
ウェブアーカイブ、ウェブ魚拓をアクセス禁止にする	Vimba ukufinyelela kumasivumelwano wewebhu kanye nezithombe zewebhu
自動的に収集されるウェブアーカイブ並びにユーザーの任意で取得される魚拓のアクセスを禁止します、ただし完全には対処することはできません	Sivimbela ukufinyelela kumasivumelwano ewebhu aqoqwa ngokuzenzakalelayo kanye nezithombe-skrini ezithathwe ngokuzikhethela komsebenzisi; nokho, asikwazi ukuvimba lokhu ngokuphelele.
無効なUAをアクセス禁止にする	Vimba ama-user agent angalungile
ユーザーエイジェントの文字に不正な文字列があった場合のアクセスを避けます	Ivimba ukufinyelela uma umugqa we-user agent uqukethe izinhlamvu ezingalungile
Internet Explorerと旧Microsoft Edge(EdgeHTML)のアクセスに警告を表示する	Bonisa isixwayiso lapho kufinyelelwa ku-Internet Explorer kanye ne-Microsoft Edge endala
Internet Explorerと旧Microsoft Edgeのアクセスを避けます	Ivimbela ukufinyelela nge-Internet Explorer kanye ne-Microsoft Edge endala
alertメッセージを表示する言語	Ulimi lapho imilayezo yokuxwayisa ikhombiswa khona
Wordpressの言語	Izilimi ze-WordPress
ブラウザの設定言語	Izilungiselelo zolimi zebhrawuza
メッセージをカスタム設定されている場合は言語を変更できません	Awukwazi ukushintsha ulimi uma imilayezo isenziwe ngokwezifiso.
同意画面の言語	Ulimi lwesikrini sokuvuma
view-sourceメッセージを表示する言語	Ulimi lokubonisa umlayezo we-'view-source'
一時使用トークンの有効期限	Usuku lokuphelelwa kwesikhathi samathokheni wesikhashana
3分	Imizuzu emithathu
4分	Imizuzu emine
5分	Imizuzu emihlanu
6分	Imizuzu eyisithupha
7分	Imizuzu eyisikhombisa
8分	Imizuzu eyisishiyagalombili
9分	Imizuzu eyisishiyagalolunye
10分	Imizuzu eyishumi
15分	Imizuzu eyi-15
20分	Imizuzu engamashumi amabili
25分	Imizuzu engu-25
30分	Imizuzu engamashumi amathathu
35分	Imizuzu engama-35
40分	Imizuzu engamashumi amane
45分	Imizuzu engu-45
50分	Imizuzu engu-50
55分	Imizuzu engu-55
1時間	Ihora elilodwa
画像URL情報の有効期限を設定します	Beka usuku lokuphelelwa yisikhathi lolwazi lwe-URL yesithombe
一度読み込まれると画像URL情報と一時使用トークンは無効化されます	Uma sekulayishiwe, i-URL yesithombe kanye ne-token yesikhashana ngeke zisasebenza.
画像は遅延読み込みされますが、この指定した時間の30秒前に強制的に画像が読み込まれます	Izithombe zilayishwa lapho zidingeka, kodwa zizolayishwa ngokuzenzakalelayo imizuzwana engu-30 ngaphambi kwesikhathi esinqunyiwe.
一時使用トークンのビット数	Inani lamabithi ku-token yesikhashana
画像URL情報を暗号化するのに一時使用トークンをパスワードとして使用しますが、その強度を指定します	Isitokheni sesikhashana sisetshenziswa njengephasiwedi ukuze kufihlwe imininingwane ye-URL yesithombe; lesi silungiselelo sichaza ukuqina kwaso.
ドロップダウンメニューの下に表示される選択肢にいくにつれて強度が強くなるものの、サーバーへの負荷が高くなり、HTML転送量が多くなることがあります	Nakuba izinketho ezivezwe ngaphansi kwemenyu ehlayo ziba nemininingwane eyandayo, lokhu kungabeka umthwalo omkhulu kuseva futhi kuholele ekudlulisweni kwedatha enkulu ye-HTML.
ハッシュ化アルゴリズム	I-algorithm ye-hash
画像URL情報を暗号化するのに一時使用トークンをパスワードとして使用しますが、その時ハッシュ化が必要です、その強度を設定します	Isitokheni sesikhashana sisetshenziswa njengephasiwedi ukuze kufihlwe imininingwane ye-URL yesithombe; lokhu kudinga i-hashing, futhi lesi silungiselelo sinquma ukuqina kwalelo hashing.
ドロップダウンメニューの下に表示される選択肢にいくにつれて強度が強くなるものの、サーバーへの負荷が高くなります	Nakuba ukuqina kukhuphuka njengoba uhamba phansi ohlwini lwezinketho eziboniswa kwimenyu ehlayo, lokhu kubeka umthwalo omkhulu kuseva.
基本設定	Izilungiselelo eziyisisekelo
高度な設定	Izilungiselelo ezithuthukile
