設定	设置
皆様のご支援があれば、今後も素晴らしいアップデートをお届けできるよう頑張ります！	有了您的支持，我们将尽最大努力在未来为您带来更好的更新！
ご支援いただけることに感謝し、今後ともよろしくお願いいたします。	我们感谢您的支持，并期待今后与您合作。
無効なIPアドレス	无效 IP 地址。
このWebサイトはCookieとJavaScriptが有効でないと閲覧することはできません	只有在启用 cookie 和 JavaScript 后才能浏览本网站
デバッグモード、コンソールの起動は禁止されています	禁止调试模式和控制台激活
以下の情報がサーバーに送信されました	以下信息已发送至服务器
あなたのIPアドレス	您的 IP 地址
あなたの端末とブラウザ	您的设备和浏览器
あなたの押下したキー	您按下的键
リダイレクトをします	重定向。
右クリックは禁止されています	禁止右键单击。
印刷、PDFへの保存は禁止されています	禁止打印和保存为 PDF 格式
ページの保存は禁止されています	禁止保存页面。
コピー、カットは禁止されています	禁止复制或剪切。
あなたが起こしたイベント	你造成的事件
HTMLソース表示は禁止されています	禁止显示 HTML 源代码。
不正アクセスは禁止されています	禁止未经授权的访问。
アラビア語	阿拉伯语
ブルガリア語	保加利亚语
チェコ語	捷克语
デンマーク語	丹麦语
ドイツ語	德语
現代ギリシア語	现代希腊语
英語	英语
イギリス英語	英式英语
アメリカ英語	美式英语
スペイン語	西班牙语
エストニア語	爱沙尼亚语
フィンランド語	芬兰语
フランス語	法语
ハンガリー語	匈牙利语
インドネシア語	印度尼西亚语
イタリア語	意大利语
日本語	日语
朝鮮語	韩语
リトアニア語	立陶宛语
ラトビア語	拉脱维亚语
ノルウェー語	挪威语
オランダ語	荷兰语
ポーランド語	波兰语
ポルトガリア語	葡萄牙语
ブラジルポルトガル語	巴西葡萄牙语
ヨーロピアンポルトガル語	欧洲葡萄牙语
ルーマニア語	罗马尼亚语
ロシア語	俄语
スロバキア語	斯
スロベニア語	斯洛文尼亚语
スウェーデン語	瑞典语
トルコ語	土耳其语
ウクライナ語	乌克兰语
中国語	中文
簡体中国語	简体中文
繁体中国語	繁体中文
画像が見つかりません	未找到图像。
ドロップダウンメニューの下に表示される選択肢にいくにつれて強度が強くなるものの、サーバーへの負荷が高くなり、HTML転送量が多くなることがあります	虽然强度会随着下拉菜单下面列出的选项的增加而增加，但服务器的负载会增加，传输的 HTML 数量也会增加
JavaScriptにより遅延読まれますのでSEOに影響があります	JavaScript 导致阅读延迟，影响搜索引擎优化
画像を無理やりダウンロードして実際にダウンロードされるもの	通过强制下载图像实际下载了什么。
PNG形式で黄色い背景の警告画面	PNG 格式的黄色背景警告屏幕。
GIF形式で1×1ピクセルの透過画像	1 x 1 像素的 GIF 格式透明图像。
意味のないHTMLドキュメント	无意义的 HTML 文档
有効化した時は必ずリダイレクトが発生するため、SEOに影響があります	无论何时激活，都会发生重定向，从而对搜索引擎优化产生影响
画像データを保護した時には画像のキャッシュが効かないため、次回訪問時にサイトの読み込みが遅くなるため、SEOに影響があります	当图像数据受到保护时，图像缓存将不起作用，因此网站在下次访问时加载速度会更慢，从而影响搜索引擎优化
キャッシュプラグインを検出しました キャッシュプラグインが有効化されていると本プラグインは正しく動作しません	检测到缓存插件 如果启用了缓存插件，此插件将无法正常工作。
スクリーンショット	截图
OSやブラウザによっては妨害できず、もしくは検出しないことがあります	某些操作系统和浏览器可能无法拦截或检测到
スクリーンショットの警告メッセージ	截屏警告信息。
ページ保存の警告メッセージ	页面保存警告信息。
スクリーンショットは禁止されています	禁止截图。
OSやブラウザ、方法によっては妨害できず、もしくは検出しないことがあります	可能不会被拦截或检测到，这取决于操作系统、浏览器和方法
空欄にすると元のURLにリダイレクトをします	如果留空，将重定向到原始 URL
ライセンス	许可
本プラグインはオープンソースで開発されており、GPL2.0以降のバージョンのライセンスを適用しています。	该插件为开放源码开发，并根据 GPL 2.0 或更高版本获得许可。
本プラグインには以下のライブラリを同梱しています	该插件包含以下库
その他本プラグインの開発にRaspberry Pi5とChatGPTとdeeplを使用しています	开发该插件时还使用了其他树莓派 5、ChatGPT 和 deepl。
imgタグが呼び出されるごとに画像を保護	在每次调用 img 标记时保护图像。
出力される全HTMLのうち、Wordpressにアップロードされた画像をすべて保護	在所有 HTML 输出中保护上传到 Wordpress 的所有图像
「imgタグが呼び出されるごとに画像を保護」の場合は、add_filterを使用し、imgタグの発行時にフィルタリングを行います、テーマによっては正しく動作しません	关于 "每次调用 img 标记时都保护图像"，请使用 add_filter 并在发布 img 标记时使用过滤器，根据主题的不同，这可能无法正常工作。
「出力される全HTMLのうち、Wordpressにアップロードされた画像をすべて保護」の場合は、Wordpressのほぼすべての動作をキャプチャし、コンテンツ内のimgタグについてすべて処理します。テーマによっては正しく動作しません	保护上传到 Wordpress 的所有图像，不包括所有 HTML 输出 "将捕获几乎所有 Wordpress 活动，并处理内容中有关 img 标记的所有内容。某些主题将无法正常运行
設定が初期化されました	设置已初始化。
プラグインを初期化します なおIPログリーダーのデータはここでは削除されません	初始化插件 请注意，此处不会删除 IP 日志阅读器数据。
リダイレクトなし	无重定向
1秒	1 秒钟
2秒	2 秒
3秒	3 秒
4秒	4 秒
5秒	5 秒
6秒	6 秒
7秒	7 秒
8秒	8 秒
9秒	9 秒
10秒	10 秒
15秒	15 秒
20秒	20 秒
25秒	25 秒
30秒	30 秒
35秒	35 秒
40秒	40 秒
45秒	45 秒
50秒	50 秒
55秒	55 秒
リダイレクトまでの時間	是时候调整方向了。
対象アクションを起こした時の表示デザイン	触发目标操作时显示设计。
黄色の背景の黒文字のベーシックデザイン	黄底黑字的基本设计
黒色の背景の赤文字のホラー風デザイン	黑底红字的恐怖风格设计。
対象アクションを起こした時のサウンド	执行目标操作时发出的声音。
サウンドなし	无声
戦闘 - 40秒	战斗 - 40 秒
おやじ - 3秒	父亲 - 3 秒
レトロ風ファンファーレ - 2秒	复古风格的大合唱 - 2 秒
レトロ風オープン - 48秒	复古式开启 - 48 秒
デザイン・音の設定	设计和音效设置
レトロ風オープン - 42秒	复古式开启 - 42 秒
おやじ ショート- 3秒	父亲短 - 3 秒
おやじ ロング - 23秒	父亲，长 - 23 秒
ショパン エチュード Op.10-5 黒鍵 高速版 - 59秒	肖邦练习曲，作品 10-5，黑键，快速版 - 59 秒
スクリーンショットを取得しようとした動作を検出しました	尝试截图时检测到移动。
スクリーンショットの疑い	疑似截图。
上の項目の検出方法は完全ではありません、予防的に検出を行います	上述项目的检测方法并不完善，因此采用了预防性检测。
このプラグインには有限会社イージェーが開発を行い、本プラグイン製作者が作曲した、スーパーファミコン非公認ゲーム「SM調教師瞳3」の楽曲を含んでおり、正式にライセンスされています	本插件包含来自未经授权的超级任天堂娱乐系统（SNES）游戏 "SM Trainer Hitomi 3 "的音乐，该游戏由 EJ Ltd.开发，由插件创建者作曲，并已获得官方许可。
ウェブサイトの操作において通常使用しないキーでの操作を検出しました	检测到在网站运行中通常不使用的按键上进行了操作
スクリーンショットの疑いの警告メッセージ	所谓的截图警告信息。
ショパン エチュード Op.10-12 革命 高速版 - 59秒	肖邦练习曲作品 10-12 革命，快速版 - 59 秒
1分10秒	1 分 10 秒
1分20秒	1 分 20 秒
1分30秒	1 分 30 秒
1分40秒	1 分 40 秒
1分50秒	1 分 50 秒
ショパン エチュード Op.10-12 革命 高速版 - 1分57秒	肖邦练习曲作品 10-12 革命，快速版 - 1 分 57 秒。
黒色の背景の赤文字の光る文字のデザイン	黑底红字的设计。
スクリーンショット、デバッグモード等の起動は禁止されています	禁止激活屏幕截图、调试模式等。
警告表示中のBGMを選択します	选择警告显示时的背景音乐。
有効 音量小さ目	启用 低音量
有効 音量大き目	已启用 最大声量
警告表示中にすべてのキー・マウスイベントでビープ音を鳴らします	警告显示期间，所有按键/鼠标事件都会发出蜂鸣声
対象アクションを起こした時のBGM	采取目标行动时的 BGM。
対象アクションを起こした時の警告音	采取目标行动时发出警告声。
対象アクションを起こした時のマウスカーソルの消去	执行目标操作时擦除鼠标光标。
警告表示中にブラウザのエリアのマウスカーソルを消去します	在警告显示期间清除浏览器区域的鼠标指针
このウェブサイトはCookieとJavaScriptが有効でないと閲覧することはできません	只有在启用 cookie 和 JavaScript 后才能浏览本网站
通常とは異なる方法でのアクセスや操作が検出されました	检测到不寻常的访问或操作方法。
セキュリティ並びにコンテンツ保護のため一部の機能を制限しています	出于安全和内容保护的考虑，某些功能受到限制。
コンテンツ保護のため一部の機能を制限しています	某些功能受到限制，以保护内容。
あなたが押下したキー	您按下的键。
戦闘 - 39秒8	战斗 - 39.8 秒
おやじ ショート- 3秒7	Short 神父 - 3.7 秒
おやじ ロング - 22秒7	父亲龙 - 22.7 秒 7
ショパン エチュード Op.10-5 黒鍵 高速版 - 57秒8	肖邦练习曲，作品 10-5，黑键，快速版 - 57.8 秒。
ショパン エチュード Op.10-12 革命 高速版 - 1分54秒9	肖邦练习曲作品 10-12 革命，快速版 - 1:54:9
レトロ風ファンファーレ - 2秒2	复古风格的大合唱 - 2 秒 2
レトロ風オープン - 41秒2	复古式开启 - 41.2 秒2
戦闘 - 39.8秒	战斗 - 39.8 秒。
おやじ ショート- 3.7秒	矮个子父亲 - 3.7 秒
おやじ ロング - 22.7秒	父亲龙 - 22.7 秒
ショパン エチュード Op.10-5 黒鍵 高速版 - 57.8秒	肖邦练习曲，作品 10-5，黑键，快速版 - 57.8 秒
ショパン エチュード Op.10-12 革命 高速版 - 1分54.9秒	肖邦练习曲作品 10-12 革命，快速版 - 1 分 54.9 秒。
レトロ風ファンファーレ - 2.2秒	复古风格的大合唱 - 2.2 秒。
レトロ風オープン - 41.2秒	复古式开启 - 41.2 秒
本プラグインには以下で生成したアスキーアートのフォント、並びにフォントファイルを同梱しています	该插件包括字体和字体文件，用于由
マリンバの乱打 - 演奏版 - 37.8秒	Marimba Rampant - 演奏版 - 37.8 秒
パガニーニ 24の奇想曲より冒頭 - 演奏版 - 27.4秒	帕格尼尼，从 24 首随想曲开始 - 演奏版 - 27.4 秒
ショパン エチュード Op.10-5 黒鍵 打ち込み版 高速版 - 57.8秒	肖邦练习曲，作品 10-5，黑键，击弦版，快速版 - 57.8 秒。
ショパン エチュード Op.10-12 革命 打ち込み版 高速版 - 1分54.9秒	肖邦练习曲作品 10-12 革命，打字版，快速版 - 1 分 54.9 秒。
ショパン スケルツォ 変ロ短調 Op2 打ち込み版 高速短縮版 - 1分46.1秒	肖邦降 B 小调回旋曲，作品 2，打字版，快速缩写版 - 1 分 46.1 秒。
ファンファーレ - 19.3秒	Fanfare - 19.3 秒
Firefoxでは音声ブロックされます	火狐浏览器会屏蔽音频。
Firefoxにおけるデバッグモード	火狐浏览器的调试模式
テキスト全選択	全文选择
テキストの選択は禁止されています	禁止选择文本。
テキスト全選択時の警告メッセージ	选中所有文本时发出警告信息。
スクリーンショットだけではなく、デバッグモード等も検出します	它可以检测屏幕截图以及调试模式等。
イベントの設定	事件配置。
メッセージ	留言。
デザイン・音	设计和音响
初期化	初始化
view-sourceでHTMLソース表示をした時に警告の意思を示すアスキーアートを表示します	在使用 view-source 显示 HTML 源代码时，显示 ASCII 文字，表明警告的意图。
HTML保護と組み合わせることでコンテンツを保護することができます	结合 HTML 保护，可对内容进行保护
画像は遅延読み込みされますが、この指定した時間の30秒前に強制的に画像が読み込まれます	图像将被缓慢加载，但图像将被强制在指定时间 30 秒前加载。
有効化した時は必ずリダイレクトが発生するため、著しくSEOに影響があります	无论何时激活，都会发生重定向，从而对搜索引擎优化产生重大影响
びっくりするような雰囲気を作ります	营造惊喜氛围
対象アクションを起こした時のビープ音	采取目标行动时发出哔哔声。
警告表示中に端末が暴走したかのような雰囲気を作ります	在警告显示期间营造一种设备失控的氛围
本プラグインの設定によってはこのイベントにたどり着くことはほとんどない場合があります	根据该插件的配置，该事件可能很少发生
JavaScript描画で有効	适用于 JavaScript 渲染。
リダイレクトで有効	对重定向有效。
リダイレクトで有効を選択した場合、view-source:の動作をされた時の記録もします	如果选择已启用重定向，它还会记录何时完成视图-源：行为。
リダイレクトで有効はFirefoxに対しては無効です	重定向时启用不适用于 Firefox 浏览器
JavaScript描画で有効にするとウェブサイトの表示速度が著しく遅くなります	启用 JavaScript 渲染功能会大大降低网站的显示速度
いずれもSEOに著しく影響があります	这两者对搜索引擎优化都有重大影响。
このウェブサイトをご利用いただくには、CookieとJavaScriptを有効にしていただく必要があります	使用本网站必须启用 Cookie 和 JavaScript。
AI学習用botをアクセス禁止にする	禁止访问人工智能学习机器人。
AIの学習用のbotをHTMLに対し避けることにより、AIで利用されないようにします、ただし完全には対処することはできません	避免人工智能学习机器人学习 HTML，可以防止人工智能使用 HTML，但不能完全解决以下问题
Firefoxに対しては無効です	不适用于 Firefox。
SEOに著しく影響があります	显著影响搜索引擎优化。
HTMLをJavaScriptで描画	使用 JavaScript 渲染 HTML
Firefox対策としてHTMLをJavaScriptで描画をします	使用 JavaScript 渲染 HTML 作为 Firefox 的一项措施
PNG形式で1×1ピクセルの透過画像	1 x 1 像素的 PNG 格式透明图像。
戦闘＆戦闘勝利 - 1分16.3秒	战斗和战斗胜利 - 1 分 16.3 秒
おやじ ショート- 3.8秒	矮个子父亲 - 3.8 秒
おやじ ロング - 23.5秒	父亲，长 - 23.5 秒
ショパン エチュード Op.10-12 革命 打ち込み版 高速版 - 1分00.0秒	肖邦练习曲作品 10-12 革命，打字版，快速版 - 1 分 00.0 秒。
ショパン スケルツォ 変ロ短調 Op2 打ち込み版 高速短縮版 - 1分48.0秒	肖邦降 B 小调回旋曲，作品 2，打字版，快速缩短版 - 1 分 48.0 秒。
ファンファーレ - 22.3秒	Fanfare - 22.3 秒
レトロ風オープン - 42.1秒	复古式开启 - 42.1 秒。
