設定	Qindaa'inoota
画像の保護と組み合わせて使用します、単体では意味がありません	Kun eegumsa suuraa wajjin walitti fayyadamuun tajaajila; kophaa isaa yoo fayyadaman faayidaa hin qabu.
JavaScriptにより遅延読まれますのでSEOに影響があります	Akka JaavaAskiriitiin fe'amuuf, kun SEO irratti dhiibbaa geessisa.
画像のウォーターマーク	Asxaa suuraa
右下	Gara mirgaa gadi
ランダム位置	Iddoo tasaa
画像の保護と組み合わせて使用します、動的な透かしで著作権を明示しつつ、閲覧者に監視されている印象を与え抑止力を高めます	Eegumsa suuraa wajjin yoo itti fayyadaman, mallattooleen bishaanii socho'oon abbaa qabeenyummaa mirga waraabbii ifatti agarsiisuun, akkasumas daawwattoota akka hordofamaa jiranitti yaada isaaniif kennuudhaan, akka ittisaatti tajaajilu.
JPG形式、PNG形式、WebP形式のみ対応します	Unkaawwan JPG, PNG fi WebP qofatu deeggarama.
有効にするとサーバーの負荷が高くなります	Kana eeyyamsiisuun ba'aa sarvarii irratti dabala.
HTML難読化・保護時のHTMLソースコードのアスキーアートの出力	Yeroo iftoomina hir'isuu fi eeguu koodii madda HTML irraa aartii ASCII maddisiisuu
表示なし	Agarsiisni hin jiru
view-sourceでHTMLソース表示をした時に警告の意思を示すアスキーアートを表示します	Yeroo madda HTML 'view-source' fayyadamuun ilaalamu, fakkii ASCII kan akeekkachiisa agarsiisu.
対象アクションを起こした時の表示デザイン	Yeroo gochi barbaadamu raawwatamu, dizaayinii agarsiisi
黄色の背景の黒文字のベーシックデザイン	Dizaayinii bu'uuraa kan barruu gurraacha duubee keelloo irratti agarsiisu
黒色の背景の赤文字のホラー風デザイン	Dizaayinii akkaataa sodaachisaa, barruu diimaa dugda gurraacha irratti agarsiisu
黒色の背景の赤文字の光る文字のデザイン	Dizaayinii barruu diimaa ifu kan duuba gurraacha irratti mul'atu
対象アクションを起こした時のBGM	Muziqaa duubaa kan yeroo gochi kaayyoo raawwatamu taphatu
サウンドなし	Sagaleen hin jiru
戦闘＆戦闘勝利 - 1分16.3秒 - 630,056bytes - 64kbps - ライセンス：CC2.1 or later	Lolaafi Injifannoo - daqiiqaa 1 fi sekondii 16.3 - baayitii 630,056 - 64 kbps - Eeyyama: CC 2.1 yookiin kan sanaa booda
おやじ ショート - 3.8秒 - 32,364bytes - 64kbps - ライセンス GPL2.0 or later (C)EJ	Abbaa Gabaabaa - sekondii 3.8 - baayitii 32,364 - kbps 64 - Eeyyama: GPL 2.0 yookiin kan itti aanu
おやじ ロング - 23.5秒 - 195,578bytes - 64kbps - ライセンス GPL2.0 or later (C)EJ	Oyaji Long - sekondii 23.5 - baayitii 195,578 - 64 kbps - Eeyyama: GPL 2.0 yookiin kan itti aanu
ショパン エチュード Op.10-5 黒鍵 打ち込み版 高速版 - 1分0.0秒 - 369,778bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	Chopin Étude Op. 10 No. 5
ショパン エチュード Op.10-12 革命 打ち込み版 高速版 - 1分57.6秒 - 724,457bytes - 48kbps -  ライセンス：CC BY-ND 4.0 or later	Chopin Étude Op. 10 No. 12 'Warraaqsa' – Gosa kompiitaraan uumame, gosa saffisa olaanaa – Daqiiqaa 1 fi sekondii 57.6 – Baayitii 724,457 – 48 kbps – Eeyyama: CC BY-ND 4.0 yookiin kan sanaa boodaa
ショパン スケルツォ 変ロ短調 Op2 打ち込み版 高速短縮版 - 1分48.0秒 - 665,369bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	Chopin: Iskerzhoo B filaash maayinor, Op. 2 – Gosa kompiitaraan uumame, gosa gabaabfame kan saffisa olaanaadhaan hojjetamu – Daqiiqaa 1, sekondii 48.0 – Baayitii 665,369 – 48 kbps – Eeyyama: CC BY-ND 4.0 yookiin kan itti aanu
リスト 超絶技巧練習曲 4番 マゼッパ 打ち込み版 高速短縮版 - 1分51.6秒 - 687,586bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	Tarreeffama: Étude d'Exécution No. 4 'Mazeppa'
ファンファーレ - 22.3秒 - 183,926bytes - 64kbps - ライセンス：パブリックドメイン	Fanfare – sekondii 22.3 – baayitii 183,926 – 64 kbps – Eeyyama: Qabeenya Ummataa
レトロ風ファンファーレ - 2.2秒 - 10,536bytes - 32kbps - ライセンス：パブリックドメイン	Sagalee kabajaa akka durii – sekondii 2.2 – baayitii 10,536 – 32 kbps – Eeyyama: Qabeenya Ummataa
レトロ風オープン - 42.1秒 - 179,138bytes - 32kbps - ライセンス：パブリックドメイン	Seensa akkaataa durii – sekondii 42.1 – baayitii 179,138 – 32 kbps – Eeyyama: Qabeenya Ummataa
警告 by ChatGPT - 3.8秒 - 109,700bytes - 256kbps - ライセンス：パブリックドメイン	Akeekkachiisa ChatGPT - sekondii 3.8 - baayitii 109,700 - kbps 256 - Eeyyama: Qabeenya Ummataa
マルウェア検出みたいな緊急感の高い音 その１ by ChatGPT - 3.3秒 - 102,850bytes - 256kbps - ライセンス：パブリックドメイン	Sagalee ariifannaa guddaa qabu kan akka akeekkachiisa argannoo maaliweerii – Kutaa 1 kan ChatGPT – sekondii 3.3 – baayitii 102,850 – 256 kbps – Eeyyama: Qabeenya Ummataa
マルウェア検出みたいな緊急感の高い音 その２ by ChatGPT - 3.3秒 - 103,122bytes - 256kbps - ライセンス：パブリックドメイン	Sagalee ariifachiisa guddaa qabu kan akka akeekkachiisa argannoo maaliweerii, Kutaa 2 kan ChatGPT-n hojjetame - sekondii 3.3 - baayitii 103,122 - 256 kbps - Eeyyama: Qabeenya Ummataa
MRI風サウンド by ChatGPT - 1分14.9秒 - 3,340,392bytes - 320kbps - ライセンス：パブリックドメイン	Sagalee akka MRI'tiin ChatGPT'n hojjetame – daqiiqaa 1, sekondii 14.9 – baayitii 3,340,392 – 320 kbps – Eeyyama: Qabeenya Ummataa
警告表示中のBGMを選択します	Yeroo akeekkachiisaa muuziqaa duubaa akka taphatu filadhu.
びっくりするような雰囲気を作ります	Qilleensa nama ajaa'ibu uuma.
Firefoxでは音声ブロックされます	Firefox keessatti sagaleen cufameera.
対象アクションを起こした時のビープ音	Yeroo gochi ajajame raawwatamu sagaleen biip
有効 音量小さ目	Bani, sagalee gadi aanaa
有効 音量大き目	Banaadha, sagaleen ol ka'aadha
警告表示中にすべてのキー・マウスイベントでビープ音を鳴らします	Yeroo akeekkachiisni agarsiifamu, gochaalee furtuu fi maawsii hundumaaf deebii ta'ee sagaleen 'beep' ni dhaga'ama.
警告表示中に端末が暴走したかのような雰囲気を作ります	Yeroo akeekkachiisni mul'atu, meeshichi akka waan maraateetti fakkeessa.
対象アクションを起こした時のマウスカーソルの消去	Yeroo gochi addaa raawwatamu agarsiiftuu maawsii dhoksuu
警告表示中にブラウザのエリアのマウスカーソルを消去します	Yeroo akeekkachiisni agarsiifamu, kursorii maawsii naannoo biraawzarii keessatti dhoksa.
デバッグモード	Haala sirreessaa
妨害＋記録のみ	Hidhaa + Galmeewwan qofa
妨害＋記録＋表示＋リダイレクト	Jeequmsa + Galmeessuu + Agarsiisa + Gara biraatti qajeelchuu
メニューからは操作できてしまいます	Ammas karaa baafata sanaan isa argachuu dandeessa.
Firefoxにおけるデバッグモード	Haala sirreessaa dogoggoraa Faayerfooksii
ブラウザーコンソール	Konsolii biraawzarii
事実上デバッグモードから操作できてしまいます	Dhugumatti, haala sirreessaa irraa hojjechiisuu dandeessa.
HTMLソース表示	Madda HTML ilaali
view-source:から始まるURLを入力すれば操作できてしまいます	Hojii kana salphaatti URL 'view-source:' jedhuun jalqabu galchuun raawwachuu dandeessu.
HTML保護と組み合わせることでコンテンツを保護することができます	Qabiyyee kee eegumsa HTML wajjin walitti makuun eeguu dandeessa.
印刷	Maxxansi
印刷阻止をするもものの、ブラウザによってはうまく動作しません	Maxxansa kan dhorku ta'us, biraawzaroota tokko tokko keessatti sirriitti hojjechuu dhiisuu danda'a.
スクリーンショット	Suuraa iskiriinii
OSやブラウザ、方法によっては妨害できず、もしくは検出しないことがあります	Akka sirna hojii, biraawzarii yookiin mala fayyadamanitti hundaa'uun, kana dhorkuun hin danda'amu ta'a, yookiin argamuu dhiisuu danda'a.
ウインドウが背面に移動した時スクリーンショットの疑い	Yeroo foddaan gara duubaatti deemu suuraa isaa ka'ame jedhamee shakkamu.
あわせて、スクリーンショット以外の機能（タブ切り替え・ウィンドウ切り替え）にも反応してしまいます。	Akkasumas hojiiwwan suuraa iskiriinii kaasuun alaa ta'aniifis ni deebisa
2キー押下のスクリーンショットの疑い	Suuraan iskiriinii shakkame kan furtuuwwan lama cuqaasuun kaafame
上の項目の検出方法は完全ではありません、予防的に検出を行います	Malli wantoota armaan olii ittiin adda baasan guutummaatti kan hin dogoggorsine miti; adda baasuun kun tarkaanfii of eeggannootiif fudhatamuudha.
スクリーンショットだけではなく、デバッグモード等も検出します	Inni suuraawwan iskiriinii qofa osoo hin taane, moodota sirreessaa fi kanneen kana fakkaatanis ni adda baasa.
ページ保存	Fuula olkaa'i
右クリック	Butoonii mirgaa cuqaasi
アドオンがインストールされていると操作できてしまいます	Yoo dabalataan fe'ame, itti fayyadamuu ni dandeessa.
コピー・カット	Koppii godhiitii kutaa
本プラグインの設定によってはこのイベントにたどり着くことはほとんどない場合があります	Akka qindaa'ina pilaag-inii kanaatti, taatee kana yeroo yerootti argachuu dandeessu.
テキスト全選択	Barruu hunda filadhu
テキスト選択	Barruu filadhu
デバッガー起動ログ、デバッガー妨害	Galmee jalqabbii dibaagarii, gidduu-seenummaa dibaagarii
デバッグモードの使い勝手を少し悪くし、デバッガを起動したことをログに残します、ブラウザによってはこの挙動が止められてしまいます	Kun haala sirreessaa xiqqoo fayyadamuuf rakkisaa taasisa, akkasumas jalqabamuu isaa ni galmeessa; haa ta'u malee, biraawzarootni tokko tokko amala kana ittisuu danda'u.
リダイレクトするURL	URL Jijjiiri
利用規約などのページに転送すると良いでしょう	Fayyadamtoota gara fuulawwan kanneen akka Ulaagaalee Fayyadamaatti qajeelchuun yaada gaarii ta'a.
空欄にすると元のURLにリダイレクトをします	Yoo duwwaa dhiifame, gara URL isa jalqabaatti ni deebisa.
リダイレクトまでの時間	Yeroo gara kallattii biraatti jijjiiramuuf
リダイレクトなし	Gara biraatti hin jijjiiru
1秒	Sekondii tokko
2秒	Lakkuu lama
3秒	Sekondii 3
4秒	Sekondii afur
5秒	Sekondii 5
6秒	Sekondii jaha
7秒	Sekondii torba
8秒	Sekondii saddeet
9秒	Sekondii sagal
10秒	Sekondii 10
15秒	Sekondii kudha shan
20秒	Sekondii 20
25秒	Sekondii 25
30秒	Sekondii 30
35秒	Sekondii 35
40秒	Sekondii 40
45秒	Sekondii 45
50秒	Sekondii 50
55秒	Sekondii 55
1分	Daqiiqaa 1
1分10秒	Daqiiqaa 1 sekondii 10
1分20秒	Daqiiqaa 1 fi sekondii 20
1分30秒	Daqiiqaa 1 fi sekondii 30
1分40秒	Daqiiqaa 1 fi sekondii 40
1分50秒	Daqiiqaa 1 fi sekondii 50
2分	Daqiiqaa lama
ソース表示を許可する権限	Koodii madda ilaaluuf hayyama
ADMINログイン時のみ通常のソース出力	Madda idilee yeroo akka ADMIN seename qofa ba'a.
USERログインで通常のソース出力	Madda idilee yeroo akka FAYYADAMAA seenameetti
通常のHTML出力を管理者のみかユーザーログインかを選択します	Baasiin HTML idilee bulchitoota qofaaf daangeffamuu yookiin seensa fayyadamaa barbaaduu isaa filadhu.
画像を無理やりダウンロードして実際にダウンロードされるもの	Suura tokko dirqisiisee buufachuu fi dhugumatti maaltu buufamu
GIF形式で1×1ピクセルの透過画像	Suuraa ifa ta'e piikselii 1x1 kan foormaatii GIF keessatti
PNG形式で1×1ピクセルの透過画像	Suuraa ifa ta'e piikselii 1x1 kan foormaatii PNG keessatti
PNG形式で黄色い背景の警告画面	Iskiriinii akeekkachiisaa kan dugda keelloo qabu, foormaatii PNG-tiin.
意味のないHTMLドキュメント	Sanada HTML hiika hin qabne
HTML保護時のHEADタグの出力	Maxxansa taagii HEAD yeroo HTML eegama
出力しない	Ma'a maxxansi
TITLEタグのみ	Mata duree qofa
WordpressのHEADタグより取得	Taagii HEAD kan WordPress irraa fudhatame
企業用途の会員専用ページや社内ページなどでは「出力しない」、「TITLEタグのみ」で良いでしょう	Fuulawwan miseensota qofaaf kan tajaajila korporeetiif oolanii fi fuulawwan keessoo irratti, 'Do not output' yookiin 'TITLE tag only' filachuun gahaadha.
WordpressのHEADタグから取得しないと、SNSのシェアでOGP画像が表示されません	Yoo odeeffannoo sana tagii HEAD kan WordPress irraa hin fudhanne ta'e, yeroo miidiyaa hawaasummaa irratti qooddu suuraan OGP hin mul'atu.
画像botをアクセス禁止にする	Botiin suuraa daangeessi
画像botをHTMLに対し避けることにより、画像検索から直接リンクされることによって守れなかったコンテンツを守ることができます、ただし完全には対処することはできません	Botoonni suuraa HTML akka hin argatin ittisuudhaan, qabiyyee barbaacha suuraatiin geessituu kallattiin irraa eegamuu hin dandeenye eeguu dandeessu; haa ta'u malee, kun furmaata guutuu hin kennu.
AI学習用botをアクセス禁止にする	Botiin leenjii AI akka hin seenne ittisi
AIの学習用のbotをHTMLに対し避けることにより、AIで利用されないようにします、ただし完全には対処することはできません	Botoota leenjii AI'f HTML irratti hojjetan fayyadamuu irraa of qusachuun, AI'n isa fayyadamuu akka hin dandeenye mirkaneessina; haa ta'u malee, kun guutummaatti ittifamuu hin danda'u.
ウェブアーカイブ、ウェブ魚拓をアクセス禁止にする	Kuusaa weebii fi suuraawwan weebii daqiiqaa fuudhuu ittisuu
自動的に収集されるウェブアーカイブ並びにユーザーの任意で取得される魚拓のアクセスを禁止します、ただし完全には対処することはできません	Kuusaa weebii ofumaan walitti qabamuu fi suuraawwan iskiriinii fedhii fayyadamaatiin kaafaman argamsiisuu ni dhorra; haa ta'u malee, kana guutummaatti ittisuu hin dandeenyu.
無効なUAをアクセス禁止にする	Ejentoota fayyadamtootaa sobaa cufi
ユーザーエイジェントの文字に不正な文字列があった場合のアクセスを避けます	Yoo fo'aan ejentii fayyadamaa qubee sirrii hin taane of keessaa qabaate, seensa ni ittisa.
Internet Explorerと旧Microsoft Edge(EdgeHTML)のアクセスに警告を表示する	Yeroo Intarneet Iskpiloorarii fi Maaykiroosooft Ijii isa moofaa
Internet Explorerと旧Microsoft Edgeのアクセスを避けます	Internet Explorer fi Microsoft Edge isa moofaa fayyadamuun akka hin seenamne ittisa.
alertメッセージを表示する言語	Afaan ergaawwan akeekkachiisaa ittiin agarsiifaman
Wordpressの言語	Afaanota WordPress
ブラウザの設定言語	Qindaa'ina afaanii biraawzarii
メッセージをカスタム設定されている場合は言語を変更できません	Ergaawwan yoo sirreeffamaniif, afaan jijjiiruu hin dandeessu.
同意画面の言語	Afaan iskiriinii hayyamaa
view-sourceメッセージを表示する言語	Afaan ergaa 'view-source' ittiin agarsiifamu
一時使用トークンの有効期限	Guyyaa xumuraa tookenoota yeroo
3分	Daqiiqaa 3
4分	Daqiiqaa 4
5分	Daqiiqaa 5
6分	Daqiiqaa jaha
7分	Daqiiqaa torba
8分	Daqiiqaa saddeet
9分	Daqiiqaa sagal
10分	Daqiiqaa 10
15分	Daqiiqaa 15
20分	Daqiiqaa 20
25分	Daqiiqaa 25
30分	Daqiiqaa 30
35分	Daqiiqaa 35
40分	Daqiiqaa 40
45分	Daqiiqaa 45
50分	Daqiiqaa 50
55分	Daqiiqaa 55
1時間	Sa'aatii tokko
画像URL情報の有効期限を設定します	Guyyaa xumuraa odeeffannoo URL suuraatiif kaa'i
一度読み込まれると画像URL情報と一時使用トークンは無効化されます	Erga fe'amee booda, URL'n suuraa fi tookeniin yeroo gabaabaa ni haqamu.
画像は遅延読み込みされますが、この指定した時間の30秒前に強制的に画像が読み込まれます	Suuraawwan yeroo barbaadaman fe'amu, garuu yeroo murtaa'e dura sekondii 30'n ofumaan fe'amu.
一時使用トークンのビット数	Lakkoofsa biitotaa tookeni yeroo gabaabaa keessaa
画像URL情報を暗号化するのに一時使用トークンをパスワードとして使用しますが、その強度を指定します	Odeeffannoo URL suuraa iccuuf, tokeeniin yeroof tajaajilu akka jecha darbii ta'ee itti fayyadama; qindaa'inni kun jabeenya isaa murteessa.
ドロップダウンメニューの下に表示される選択肢にいくにつれて強度が強くなるものの、サーバーへの負荷が高くなり、HTML転送量が多くなることがあります	Filannoowwan gabatee gadi bu'aa jala agarsiifaman yeroo yerootti bal'aa ta'aa deemanis, kun sarvarii irratti ba'aa guddaa fidaa, akkasumas daataan HTML hamma guddaa akka dabarsamu taasisuu danda'a.
ハッシュ化アルゴリズム	Algorizimii Haashii
画像URL情報を暗号化するのに一時使用トークンをパスワードとして使用しますが、その時ハッシュ化が必要です、その強度を設定します	Odeeffannoo URL suuraa iccuuf, mallattoon yeroo gabaabaa akka jecha iccitiitti itti fayyadama; kun hashiingii barbaada, qindaa'insi kunis jabeenya hashiingii sanaa murteessa.
ドロップダウンメニューの下に表示される選択肢にいくにつれて強度が強くなるものの、サーバーへの負荷が高くなります	Filannoowwan gabatee gadi bu'aa keessa gadi siqxanii yeroo ilaaltan jabeenyi isaa yoo dabalu iyyuu, kun sarvarii irratti ba'aa guddaa fida.
基本設定	Qindaa'inoota bu'uuraa
高度な設定	Qindaa'inoota gadi fageenyaa
初期設定に戻す	Qindaa'inoota idileetti deebisi
デザイン・音の設定	Dizaayinii fi qindaa'ina sagalee
イベントの設定	Qindaa'ina sagantaa
初回訪問時のお知らせの設定	Daawwannaa yeroo jalqabaatiif beeksisa qopheessuu
メッセージの設定	Qindaa'ina ergaa
右クリックやソースコード表示時に転送する URL を設定します	Yeroo mirgaan-cuqaasamu yookaan koodiin madda isaa ilaalamu URL banamuuf ta'e qindeessi.
警告メッセージにはHTMLは使用できません	Ergaawwan akeekkachiisaa keessatti HTML fayyadamuun hin danda'amu.
この画面で設定すると、高度な設定タブにある言語設定が無視されます	Yoo fuula kana irratti kana qindeessite, qindaa'inni afaanii kan taabii 'Advanced' keessa jiru ni dagatama.
以下の文字列が使用できます	Sararoonni armaan gadii fayyadamuun ni danda'ama
改行	Sarara cabsi
押下されたキー	Furtuun cuqaafame
