ISISちゃん	ISIS chan
CookieやJavascriptが有効でない場合に表示するメッセージ	Cookie-lar yoki JavaScript o'chirilgan bo'lsa ko'rsatiladigan xabar
実際にはJavascriptが無効時のみ表示されます	Aslida, bu faqat JavaScript o'chirilganda ko'rsatiladi.
画像保護時に画像がダウンロードされ、その画像に表示するメッセージ 英語のみ	Rasm himoyalanganida, u yuklab olinadi va rasm ustida xabar ko'rsatiladi
HTML難読化 (圧縮)	HTMLni mavhumlashtirish
一般的なHTML圧縮です、難読化解除のサイトもあります	Bu standart HTML siqilishi; uni dekompressiya qila oladigan veb-saytlar ham mavjud.
このオプションを有効にするとview-sourceのログが取得できます	Ushbu opsiyani yoqish sizga view-source logini olish imkonini beradi.
HTML保護	HTML himoyasi
HTML圧縮以上に最小限のHTMLしか出力せず、BODYタグ内の内容が全く出力されなくなります	U faqat eng zarur HTML kodini chiqaradi — HTML siqilganda bo'ladigandan ham kamroq — va BODY tegidagi kontent umuman chiqarilmaydi.
Firefoxに対しては無効です	Bu Firefoxga tegishli emas.
SEOに著しく影響があります	Bu SEOga sezilarli ta'sir ko'rsatadi.
HTMLをJavaScriptで描画	JavaScript yordamida HTML renderlash
Firefox対策としてHTMLをJavaScriptで描画をします	Firefox'ni chetlab o'tish uchun HTMLni JavaScript yordamida render qilamiz.
JavaScript描画で有効にするとウェブサイトの表示速度が著しく遅くなります	JavaScript renderlashni yoqish veb-saytning yuklanish tezligini sezilarli darajada sekinlashtiradi.
画像の保護	Rasmni himoya qilish
imgタグが呼び出されるごとに画像を保護	Img teg har safar chaqirilganda rasmni himoya qiling
出力される全HTMLのうち、Wordpressにアップロードされた画像をすべて保護	WordPressga yuklangan barcha rasmlarni butun HTML chiqishida himoya qiling
画像をダウンロードから保護します	Rasmlarning yuklab olinishini oldini oladi
画像データを保護した時にはほぼ完全なるダウンロードを阻止し、完全なるワンタイムURLを発行し、セッションに保存されたトークンで認証し、phpから画像を表示します、その為ほぼ完全な画像盗用を防ぎます	Rasm ma'lumotlari himoyalanganida, biz deyarli barcha yuklab olishlarni oldini olamiz, noyob bir martalik URL-manzillar beramiz, sessiyada saqlangan tokenlar yordamida autentifikatsiya qilamiz va rasmlarni PHP orqali ko'rsatamiz; bu esa rasm o'g'irligining deyarli barcha holatlarini samarali oldini oladi.
画像データを保護した時には画像のキャッシュが効かないため、次回訪問時にサイトの読み込みが遅くなるため、SEOに影響があります	Rasm ma'lumotlari himoyalanganida keshlash ishlamaydi, bu esa saytning keyingi tashriflarda sekinroq yuklanishiga va shu bilan SEOga ta'sir qilishiga olib keladi.
画像データを保護した時には、データベースの負荷が高くなる可能性があります	Rasm ma'lumotlarini himoya qilish ma'lumotlar bazasiga tushadigan yukni oshirishi mumkin.
「imgタグが呼び出されるごとに画像を保護」の場合は、add_filterを使用し、imgタグの発行時にフィルタリングを行います、テーマによっては正しく動作しません	Agar siz 'img teg chaqirilganda rasmlarni himoya qilish'ni tanlasangiz, tizim img teg hosil bo'lganda filtrlashni qo'llash uchun add_filter funksiyasidan foydalanadi; ammo bu ba'zi mavzular bilan to'g'ri ishlamasligi mumkin.
「出力される全HTMLのうち、Wordpressにアップロードされた画像をすべて保護」の場合は、Wordpressのほぼすべての動作をキャプチャし、コンテンツ内のimgタグについてすべて処理します。テーマによっては正しく動作しません	Agar siz 'Butun HTML chiqishida WordPressga yuklangan barcha rasmlarni himoya qilish'ni tanlasangiz, plagin deyarli barcha WordPress operatsiyalarini qamrab oladi va kontentdagi har bir img tegini qayta ishlaydi. Iltimos, bu ba'zi mavzular bilan to'g'ri ishlamasligi mumkinligini yodda tuting.
なお、アイキャッチに指定した画像はOGPとして拡散されますので保護できません。どうしても保護すべき場合は高度な設定でHTML保護時のHEADタグの出力の選択を変更してください	Iltimos, e'tiborga olingki, ajratilgan rasmlar OGP ma'lumotlari sifatida ulashiladi va himoyalanmaydi. Agar ularni albatta himoya qilishingiz kerak bo'lsa, HTML himoyasini yoqishda ilg'or sozlamalarda HEAD tegining chiqishini o'zgartiring.
OS標準搭載のスクリーンショット機能を保護することはできません	Operatsion tizimga o'rnatilgan skrinshot funksiyasi himoyalanishi mumkin emas.
画像URLの保護	Rasm URL manzillarini himoya qilish
画像の保護と組み合わせて使用します、単体では意味がありません	Bu rasmni himoya qilish bilan birgalikda ishlatilishi kerak; o'zi yolg'iz hech qanday maqsadga xizmat qilmaydi.
JavaScriptにより遅延読まれますのでSEOに影響があります	U JavaScript orqali dangasalik bilan yuklanadi, bu esa SEOga ta'sir qiladi.
画像のウォーターマーク	Rasmga suv belgisi qo'shish
右下	Pastki o'ng
ランダム位置	Tasodifiy pozitsiya
画像の保護と組み合わせて使用します、動的な透かしで著作権を明示しつつ、閲覧者に監視されている印象を与え抑止力を高めます	Rasmni himoya qilish bilan birgalikda qo'llanganda, dinamik suv belgilar mualliflik huquqi egaligini aniq ko'rsatadi va tomoshabinlarga ular nazorat ostida ekanliklari haqida taassurot uyg'otadi, shu bilan ularni to'xtatib turuvchi vosita bo'lib xizmat qiladi.
JPG形式、PNG形式、WebP形式のみ対応します	Faqat JPG, PNG va WebP formatlari qo'llab-quvvatlanadi.
有効にするとサーバーの負荷が高くなります	Buni yoqish server yukini oshiradi.
HTML難読化・保護時のHTMLソースコードのアスキーアートの出力	HTML manba kodidan ASCII san'atini chiqarish HTMLni obfuskatsiya qilish va himoya qilish jarayonida
表示なし	Ko'rsatish yo'q
view-sourceでHTMLソース表示をした時に警告の意思を示すアスキーアートを表示します	'view-source' yordamida HTML manbasini ko'rib chiqayotganda ogohlantirishni bildiruvchi ASCII san'atini namoyish etadi.
対象アクションを起こした時の表示デザイン	Maqsadli harakat bajarilganda dizaynni ko'rsating
黄色の背景の黒文字のベーシックデザイン	Sariq fon ustida qora matndan iborat oddiy dizayn
黒色の背景の赤文字のホラー風デザイン	Qora fon ustida qizil matndan iborat dahshat uslubidagi dizayn
黒色の背景の赤文字の光る文字のデザイン	Qora fon ustida porlab turgan qizil matnli dizayn
対象アクションを起こした時のBGM	Maqsadli harakat bajarilganda ijro etiladigan fon musiqasi
サウンドなし	Ovoz yo'q
戦闘＆戦闘勝利 - 1分16.3秒 - 630,056bytes - 64kbps - ライセンス：CC2.1 or later	Jang va g'alaba - 1 daqiqa 16,3 soniya - 630 056 bayt - 64 kbps - Litsenziya: CC 2.1 yoki undan keyingi
おやじ ショート - 3.8秒 - 32,364bytes - 64kbps - ライセンス GPL2.0 or later (C)EJ	Dad Short - 3,8 soniya - 32 364 bayt - 64 kbps - Litsenziya: GPL 2.0 yoki undan keyingi
おやじ ロング - 23.5秒 - 195,578bytes - 64kbps - ライセンス GPL2.0 or later (C)EJ	Oyaji Long - 23,5 soniya - 195 578 bayt - 64 kbps - Litsenziya: GPL 2.0 yoki undan keyingi
ショパン エチュード Op.10-5 黒鍵 打ち込み版 高速版 - 1分0.0秒 - 369,778bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	Chopin Étude Op. 10 No. 5
ショパン エチュード Op.10-12 革命 打ち込み版 高速版 - 1分57.6秒 - 724,457bytes - 48kbps -  ライセンス：CC BY-ND 4.0 or later	Chopin Étude Op. 10 No. 12 'Inqilob' – kompyuter tomonidan yaratilgan versiya, yuqori tezlikda – 1 daqiqa 57,6 soniya – 724,457 bayt – 48 kbps – Litsenziya: CC BY-ND 4.0 yoki undan keyingi
ショパン スケルツォ 変ロ短調 Op2 打ち込み版 高速短縮版 - 1分48.0秒 - 665,369bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	Chopin: Si bemol minoridagi Scherzo, Op. 2 – kompyuter tomonidan yaratilgan versiya, yuqori tezlikdagi qisqartirilgan versiya – 1 daqiqa 48,0 soniya – 665 369 bayt – 48 kbps – Litsenziya: CC BY-ND 4.0 yoki undan keyingi
リスト 超絶技巧練習曲 4番 マゼッパ 打ち込み版 高速短縮版 - 1分51.6秒 - 687,586bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	Ro'yxat: Étude d'Exécution Transcendante No. 4, 'Mazeppa' – kompyuterda yaratilgan versiya, yuqori tezlikdagi qisqartirilgan versiya – 1 daqiqa 51,6 soniya – 687 586 bayt – 48 kbps – Litsenziya: CC BY-ND 4.0 yoki undan keyingi
ファンファーレ - 22.3秒 - 183,926bytes - 64kbps - ライセンス：パブリックドメイン	Fanfare – 22,3 soniya – 183 926 bayt – 64 kbps – Litsenziya: Jamoat mulki
レトロ風ファンファーレ - 2.2秒 - 10,536bytes - 32kbps - ライセンス：パブリックドメイン	Retro uslubidagi fanfara – 2,2 soniya – 10 536 bayt – 32 kbps – Litsenziya: Jamoat mulki
レトロ風オープン - 42.1秒 - 179,138bytes - 32kbps - ライセンス：パブリックドメイン	Retro uslubidagi intro – 42,1 soniya – 179 138 bayt – 32 kbps – Litsenziya: Jamoat mulki
警告 by ChatGPT - 3.8秒 - 109,700bytes - 256kbps - ライセンス：パブリックドメイン	ChatGPT ogohlantirishi - 3,8 soniya - 109 700 bayt - 256 kbps - Litsenziya: Jamoat mulki
マルウェア検出みたいな緊急感の高い音 その１ by ChatGPT - 3.3秒 - 102,850bytes - 256kbps - ライセンス：パブリックドメイン	Yuqori shoshilinchlikdagi, zararli dastur aniqlanganligi ogohlantirishiga o'xshash tovush – 1-qism, ChatGPT tomonidan – 3,3 soniya – 102 850 bayt – 256 kbps – Litsenziya: Jamoat mulki
マルウェア検出みたいな緊急感の高い音 その２ by ChatGPT - 3.3秒 - 103,122bytes - 256kbps - ライセンス：パブリックドメイン	Yuqori shoshilinchlikdagi, zararli dastur aniqlash ogohlantirishiga o'xshash tovush, 2-qism, ChatGPT tomonidan - 3,3 soniya - 103 122 bayt - 256 kbps - Litsenziya: Jamoat mulki
MRI風サウンド by ChatGPT - 1分14.9秒 - 3,340,392bytes - 320kbps - ライセンス：パブリックドメイン	MRI uslubidagi ovoz ChatGPT tomonidan – 1 daqiqa 14,9 soniya – 3 340 392 bayt – 320 kbps – Litsenziya: Jamoat mulki
警告表示中のBGMを選択します	Ogohlantirish paytida ijro etiladigan fon musiqasini tanlang
びっくりするような雰囲気を作ります	Bu kutilmagan muhit yaratadi
Firefoxでは音声ブロックされます	Firefox'da audio bloklangan.
対象アクションを起こした時のビープ音	Belgilangan harakat bajarilganda bip tovushi chiqadi
有効 音量小さ目	Yoqilgan, ovoz past
有効 音量大き目	Faol, hajmi yuqori darajaga o'rnatilgan
警告表示中にすべてのキー・マウスイベントでビープ音を鳴らします	Ogohlantirish ko'rsatilayotgan paytda barcha klaviatura va sichqoncha voqealariga javoban bip tovushi yangraydi.
警告表示中に端末が暴走したかのような雰囲気を作ります	Ogohlantirish ekranda ko'rsatilayotgan paytda qurilma nazoratdan chiqqandek taassurot paydo bo'ladi.
対象アクションを起こした時のマウスカーソルの消去	Muayyan harakat bajarilganda sichqoncha kursorini yashirish
警告表示中にブラウザのエリアのマウスカーソルを消去します	Ogohlantirish ko'rsatilayotgan paytda brauzer hududida sichqoncha kursorini yashiradi.
デバッグモード	Xatoliklarni tuzatish rejimi
妨害＋記録のみ	Faqat aralashuv + yozuvlar
妨害＋記録＋表示＋リダイレクト	Aralashuv + Qayd etish + Ko'rsatish + Yo'naltirish
メニューからは操作できてしまいます	Siz uni hanuz menyu orqali ochishingiz mumkin.
Firefoxにおけるデバッグモード	Firefox'dagi xatoliklarni tuzatish rejimi
ブラウザーコンソール	Brauzer konsoli
事実上デバッグモードから操作できてしまいます	Amalda, uni xatoliklarni tuzatish rejimidan boshqarishingiz mumkin.
HTMLソース表示	HTML manba kodini ko'rish
view-source:から始まるURLを入力すれば操作できてしまいます	Operatsiyani 'view-source:' bilan boshlanadigan URL manzilini kiritish orqali osonlik bilan bajarishingiz mumkin.
HTML保護と組み合わせることでコンテンツを保護することができます	Siz bu usulni HTML himoyasi bilan birlashtirib, kontentingizni himoya qilishingiz mumkin.
印刷	Bosma
印刷阻止をするもものの、ブラウザによってはうまく動作しません	Bosishni oldini olsa-da, ba'zi brauzerlarda to'g'ri ishlamasligi mumkin.
スクリーンショット	Ekran surati
OSやブラウザ、方法によっては妨害できず、もしくは検出しないことがあります	Foydalanilayotgan operatsion tizim, brauzer yoki usulga qarab, buni bloklash imkoni bo'lmasligi yoki aniqlanmasligi mumkin.
ウインドウが背面に移動した時スクリーンショットの疑い	Deraza fonga o'tganda taxmin qilingan skrinshot
あわせて、スクリーンショット以外の機能（タブ切り替え・ウィンドウ切り替え）にも反応してしまいます。	U skrinshotlardan tashqari
2キー押下のスクリーンショットの疑い	Ikki tugmani bosish orqali olingan deb taxmin qilingan skrinshot
上の項目の検出方法は完全ではありません、予防的に検出を行います	Yuqoridagi elementlarni aniqlash usullari mutlaqo ishonchli emas; aniqlash ehtiyot chorasi sifatida amalga oshiriladi.
スクリーンショットだけではなく、デバッグモード等も検出します	U nafaqat skrinshotlarni, balki debug rejimlari va shunga o'xshashlarni ham aniqlaydi.
ページ保存	Sahifani saqlash
右クリック	O'ng tugma bilan bosish
アドオンがインストールされていると操作できてしまいます	Agar qo'shimcha o'rnatilgan bo'lsa, undan foydalanishingiz mumkin bo'ladi.
コピー・カット	Ko'chirish va kesish
本プラグインの設定によってはこのイベントにたどり着くことはほとんどない場合があります	Ushbu plagin sozlamalariga qarab, siz bu voqeaga kamdan-kam duch kelishingiz mumkin.
テキスト全選択	Barcha matnni tanlang
テキスト選択	Matnni tanlang
デバッガー起動ログ、デバッガー妨害	Debugger ishga tushirish logi, debugger aralashuvi
デバッグモードの使い勝手を少し悪くし、デバッガを起動したことをログに残します、ブラウザによってはこの挙動が止められてしまいます	Bu xatoni tuzatish rejimini biroz kamroq foydalanuvchiga qulay qiladi va dekbugger ishga tushirilganini qayd etadi; ammo ba'zi brauzerlar bu xulq-atvorni bloklashi mumkin.
リダイレクトするURL	URLni yo'naltirish
利用規約などのページに転送すると良いでしょう	Foydalanuvchilarni Foydalanish shartlari kabi sahifalarga yo'naltirish yaxshi g'oya bo'lardi.
空欄にすると元のURLにリダイレクトをします	Agar bo'sh qoldirilsa, u asl URL manziliga yo'naltiriladi.
リダイレクトまでの時間	Qayta yo'naltirishgacha bo'lgan vaqt
リダイレクトなし	Yo'naltirish yo'q
1秒	1 soniya
2秒	2 soniya
3秒	3 soniya
4秒	4 soniya
5秒	5 soniya
6秒	6 soniya
7秒	7 soniya
8秒	8 soniya
9秒	9 soniya
10秒	10 soniya
15秒	15 soniya
20秒	20 soniya
25秒	25 soniya
30秒	30 soniya
35秒	35 soniya
40秒	40 soniya
45秒	45 soniya
50秒	50 soniya
55秒	55 soniya
1分	1 daqiqa
1分10秒	1 daqiqa 10 soniya
1分20秒	1 daqiqa 20 soniya
1分30秒	1 daqiqa 30 soniya
1分40秒	1 daqiqa 40 soniya
1分50秒	1 daqiqa 50 soniya
2分	2 daqiqa
ソース表示を許可する権限	Manba kodini ko'rishga ruxsat
ADMINログイン時のみ通常のソース出力	Oddiy manba chiqishi faqat ADMIN sifatida tizimga kirganda ishlaydi
USERログインで通常のソース出力	Foydalanuvchi sifatida tizimga kirganda normal manba chiqishi
通常のHTML出力を管理者のみかユーザーログインかを選択します	Standart HTML chiqishini faqat administratorlarga cheklash yoki foydalanuvchi kirishini talab qilishni tanlang.
画像を無理やりダウンロードして実際にダウンロードされるもの	Rasmni majburan yuklab olish va aslida nima yuklab olinadi
GIF形式で1×1ピクセルの透過画像	GIF formatidagi 1×1 pikselli shaffof rasm
PNG形式で1×1ピクセルの透過画像	PNG formatidagi 1×1 pikselli shaffof rasm
PNG形式で黄色い背景の警告画面	PNG formatidagi sariq fonli ogohlantirish ekrani
意味のないHTMLドキュメント	Ma'nosiz HTML hujjati
HTML保護時のHEADタグの出力	HTML himoyalangan bo'lganda HEAD tegining chiqishi
出力しない	Bosma qilma
TITLEタグのみ	Faqat TITLE teg
WordpressのHEADタグより取得	WordPress HEAD tegidan olindi
企業用途の会員専用ページや社内ページなどでは「出力しない」、「TITLEタグのみ」で良いでしょう	Korporativ foydalanish uchun faqat a'zolarga mo'ljallangan sahifalar va ichki sahifalar uchun 'Chiqarmaslik' yoki 'Faqat TITLE tegini ko'rsatish'ni tanlash yetarli bo'ladi.
WordpressのHEADタグから取得しないと、SNSのシェアでOGP画像が表示されません	Agar siz WordPress HEAD tegidan ma'lumotni olmagan bo'lsangiz, ijtimoiy tarmoqlarda ulashganda OGP tasviri ko'rsatilmaydi.
画像botをアクセス禁止にする	Rasm botini bloklang
画像botをHTMLに対し避けることにより、画像検索から直接リンクされることによって守れなかったコンテンツを守ることができます、ただし完全には対処することはできません	Rasm botlarining HTMLga kirishini oldini olish orqali rasm qidiruvi orqali to'g'ridan-to'g'ri havolalashdan himoya qilib bo'lmagan kontentni himoya qilishingiz mumkin; ammo bu to'liq yechim emas.
AI学習用botをアクセス禁止にする	AI o'quv botiga blok orqali kirishni taqiqlash
AIの学習用のbotをHTMLに対し避けることにより、AIで利用されないようにします、ただし完全には対処することはできません	HTMLda sun'iy intellektni o'qitish uchun mo'ljallangan botlardan foydalanishni chetlab o'tish orqali kontentning sun'iy intellekt tomonidan ishlatilmasligini ta'minlaymiz; biroq buni to'liq oldini olish mumkin emas.
ウェブアーカイブ、ウェブ魚拓をアクセス禁止にする	Veb-arxivlar va veb-snapshotlarga kirishni bloklang
自動的に収集されるウェブアーカイブ並びにユーザーの任意で取得される魚拓のアクセスを禁止します、ただし完全には対処することはできません	Biz foydalanuvchining ixtiyoriga ko'ra olingan avtomatik yig'ilgan veb-arxivlar va skrinshotlarga kirishni taqiqlaymiz; ammo buni to'liq oldini ololmaymiz.
無効なUAをアクセス禁止にする	Noto'g'ri foydalanuvchi agentlarini bloklang
ユーザーエイジェントの文字に不正な文字列があった場合のアクセスを避けます	Agar foydalanuvchi agenti satrida noto'g'ri belgilar bo'lsa, kirishni taqiqlaydi.
Internet Explorerと旧Microsoft Edge(EdgeHTML)のアクセスに警告を表示する	Internet Explorer va eski Microsoft Edge
Internet Explorerと旧Microsoft Edgeのアクセスを避けます	Internet Explorer va eski Microsoft Edge orqali kirishni oldini oladi
alertメッセージを表示する言語	Ogohlantirish xabarlari ko'rsatiladigan til
Wordpressの言語	WordPress tillari
ブラウザの設定言語	Brauzerning til sozlamalari
メッセージをカスタム設定されている場合は言語を変更できません	Agar xabarlar moslashtirilgan bo'lsa, tilni o'zgartira olmaysiz.
同意画面の言語	Rozilik ekrani tili
view-sourceメッセージを表示する言語	'view-source' xabarini ko'rsatish uchun til
一時使用トークンの有効期限	Vaqtinchalik tokenlarning amal qilish muddati
3分	3 daqiqa
4分	4 daqiqa
5分	5 daqiqa
6分	6 daqiqa
7分	7 daqiqa
8分	8 daqiqa
9分	9 daqiqa
10分	10 daqiqa
15分	15 daqiqa
20分	20 daqiqa
25分	25 daqiqa
30分	30 daqiqa
35分	35 daqiqa
40分	40 daqiqa
45分	45 daqiqa
50分	50 daqiqa
55分	55 daqiqa
1時間	1 soat
画像URL情報の有効期限を設定します	Rasm URL ma'lumotlarining amal qilish muddatini belgilang
一度読み込まれると画像URL情報と一時使用トークンは無効化されます	Yuklangach, rasm URL manzili va vaqtinchalik token bekor qilinadi.
画像は遅延読み込みされますが、この指定した時間の30秒前に強制的に画像が読み込まれます	Rasmlar talab bo'yicha yuklanadi, lekin ular belgilangan vaqtdan 30 soniya oldin avtomatik ravishda yuklanadi.
一時使用トークンのビット数	Vaqtinchalik tokenning bitlar soni
画像URL情報を暗号化するのに一時使用トークンをパスワードとして使用しますが、その強度を指定します	Vaqtinchalik token rasm URL ma'lumotlarini shifrlash uchun parol sifatida ishlatiladi; bu sozlama uning kuchini belgilaydi.
ドロップダウンメニューの下に表示される選択肢にいくにつれて強度が強くなるものの、サーバーへの負荷が高くなり、HTML転送量が多くなることがあります	Garchi ochiladigan menyuning ostida ko'rsatilgan variantlar tobora batafsil bo'lib bormoqda, bu serverga katta yuk tushirishi va katta hajmdagi HTML ma'lumotlarining uzatilishiga olib kelishi mumkin.
ハッシュ化アルゴリズム	Hash algoritmi
画像URL情報を暗号化するのに一時使用トークンをパスワードとして使用しますが、その時ハッシュ化が必要です、その強度を設定します	Vaqtinchalik token rasm URL ma'lumotlarini shifrlash uchun parol sifatida ishlatiladi; bu xeshlashni talab qiladi va ushbu sozlama shu xeshlashning kuchini belgilaydi.
ドロップダウンメニューの下に表示される選択肢にいくにつれて強度が強くなるものの、サーバーへの負荷が高くなります	Garchi ochiladigan menyuda variantlar ro'yxatini pastga siljitganingiz sayin intensivlik oshsa-da, bu serverga katta yuk yuklaydi.
基本設定	Asosiy sozlamalar
高度な設定	Rivojlangan sozlamalar
初期設定に戻す	O'rnatilgan sozlamalarni tiklash
デザイン・音の設定	Tuzilma va ovoz sozlamalari
イベントの設定	Tadbir sozlamalari
初回訪問時のお知らせの設定	Birinchi marta tashriflar uchun bildirishnomalarni sozlash
メッセージの設定	Xabar sozlamalari
右クリックやソースコード表示時に転送する URL を設定します	O'ng tugma bilan bosganda yoki manba kodini ko'rib chiqishda ochiladigan URL manzilini belgilang
警告メッセージにはHTMLは使用できません	HTML ogohlantirish xabarlarda ishlatilishi mumkin emas.
この画面で設定すると、高度な設定タブにある言語設定が無視されます	Agar siz buni ushbu ekranda sozlasangiz, Kengaytirilgan yorlig'idagi til sozlamalari e'tiborsiz qoldiriladi.
以下の文字列が使用できます	Quyidagi satrlardan foydalanish mumkin
改行	Satir uzilishi
押下されたキー	Kalit bosildi
Neo HTML Protector 設定	Neo HTML himoyachisi sozlamalari
お知らせ	E'lon
メッセージ	Xabar
デザイン・音	Dizayn va ovoz
初期化	Boshlang'ich sozlash
このプラグインについて	Ushbu plagin haqida
設定が初期化されました	Sozlamalar tiklandi
プラグインを初期化します なおIPログリーダーのデータはここでは削除されません	Plugin'ni ishga tushiring. Iltimos, shuni yodda tutingki, IP Log Reader ma'lumotlari hozirgi bosqichda o'chirilmaydi.
Neo HTML Protectorについて	Neo HTML Protector haqida
このプラグインはあなたのWordpressから出力されるHTMLや画像等を保護し、コンテンツの不正利用から守ることを目的としています。	Ushbu plagin WordPress saytingiz tomonidan yaratilgan HTML, rasmlar va boshqa kontentni ruxsatsiz foydalanishdan himoya qilish uchun mo'ljallangan.
