設定	Socruithe
サウンドなし	Gan fuaim
戦闘＆戦闘勝利 - 1分16.3秒 - 630,056bytes - 64kbps - ライセンス：CC2.1 or later	Cath & Bua - 1 nóiméad 16.3 soicind - 630,056 bait - 64 kbps - Ceadúnas: CC 2.1 nó níos déanaí
おやじ ショート - 3.8秒 - 32,364bytes - 64kbps - ライセンス GPL2.0 or later (C)EJ	Dad Gearr - 3.8 soicind - 32,364 bait - 64 kbps - Ceadúnas: GPL 2.0 nó níos déanaí
おやじ ロング - 23.5秒 - 195,578bytes - 64kbps - ライセンス GPL2.0 or later (C)EJ	Oyaji Fada - 23.5 soicind - 195,578 bait - 64 kbps - Ceadúnas: GPL 2.0 nó níos déanaí
ショパン エチュード Op.10-5 黒鍵 打ち込み版 高速版 - 1分0.0秒 - 369,778bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	Chopin Étude Op. 10 Uimh. 5
ショパン エチュード Op.10-12 革命 打ち込み版 高速版 - 1分57.6秒 - 724,457bytes - 48kbps -  ライセンス：CC BY-ND 4.0 or later	Chopin Étude Op. 10 Uimh. 12 'Réabhlóid' – leagan MIDI, ardluas – 1 nóiméad 57.6 soicind – 724,457 bait – 48 kbps – Ceadúnas: CC BY-ND 4.0 nó níos déanaí
ショパン スケルツォ 変ロ短調 Op2 打ち込み版 高速短縮版 - 1分48.0秒 - 665,369bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	Chopin: Scéirseó in B moll beag, Op. 2 – Leagan ríomhinnealtóirithe, leagan giorraithe ardluais – 1 nóiméad 48.0 soicind – 665,369 bait – 48 kbps – Ceadúnas: CC BY-ND 4.0 nó níos déanaí
リスト 超絶技巧練習曲 4番 マゼッパ 打ち込み版 高速短縮版 - 1分51.6秒 - 687,586bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	Liosta: Étude d'Exécution Transcendante Uimh. 4, 'Mazeppa' – leagan ríomhinnealtóirithe, leagan giorraithe ardluais – 1 nóiméad 51.6 soicind – 687,586 bait – 48 kbps – Ceadúnas: CC BY-ND 4.0 nó níos déanaí
ファンファーレ - 22.3秒 - 183,926bytes - 64kbps - ライセンス：パブリックドメイン	Fonn-cheol – 22.3 soicind – 183,926 bait – 64 kbps – Ceadúnas: An Fearann Poiblí
レトロ風ファンファーレ - 2.2秒 - 10,536bytes - 32kbps - ライセンス：パブリックドメイン	Fonncheol stíl retro – 2.2 soicind – 10,536 bait – 32 kbps – Ceadúnas: An Fearann Poiblí
レトロ風オープン - 42.1秒 - 179,138bytes - 32kbps - ライセンス：パブリックドメイン	Réamhrá i stíl retro – 42.1 soicind – 179,138 bait – 32 kbps – Ceadúnas: An Fearann Poiblí
警告 by ChatGPT - 3.8秒 - 109,700bytes - 256kbps - ライセンス：パブリックドメイン	Rabhadh ó ChatGPT - 3.8 soicind - 109,700 bait - 256 kbps - Ceadúnas: An Fearann Poiblí
マルウェア検出みたいな緊急感の高い音 その１ by ChatGPT - 3.3秒 - 102,850bytes - 256kbps - ライセンス：パブリックドメイン	Fuaim phráinneach ard cosúil le foláireamh braite malbhreogáin – Cuid 1 le ChatGPT – 3.3 soicind – 102,850 bait – 256 kbps – Ceadúnas: An Fearann Poiblí
マルウェア検出みたいな緊急感の高い音 その２ by ChatGPT - 3.3秒 - 103,122bytes - 256kbps - ライセンス：パブリックドメイン	Fuaim phráinne arda cosúil le foláireamh braite malbhogtha, Cuid 2 le ChatGPT - 3.3 soicind - 103,122 bait - 256 kbps - Ceadúnas: An Fearann Poiblí
MRI風サウンド by ChatGPT - 1分14.9秒 - 3,340,392bytes - 320kbps - ライセンス：パブリックドメイン	Fuaim i stíl MRI le ChatGPT – 1 nóiméad 14.9 soicind – 3,340,392 bait – 320 kbps – Ceadúnas: An Fearann Poiblí
警告表示中のBGMを選択します	Roghnaigh an ceol cúlra le seinm le linn foláirimh.
びっくりするような雰囲気を作ります	Cruthaíonn sé atmaisféar iontasach.
Firefoxでは音声ブロックされます	Tá fuaim bactha in Firefox.
対象アクションを起こした時のビープ音	Bíp nuair a dhéantar an gníomh sonraithe
有効 音量小さ目	Ar siúl, fuaim íseal
有効 音量大き目	Gníomhach, an toirt ar ard
警告表示中にすべてのキー・マウスイベントでビープ音を鳴らします	Seinnfidh bíop do gach teagmhas méarchláir agus luchair fad is a bheidh rabhadh ar taispeáint.
警告表示中に端末が暴走したかのような雰囲気を作ります	Cruthaítear an tuiscint go bhfuil an gléas imithe ó smacht agus an rabhadh á thaispeáint.
対象アクションを起こした時のマウスカーソルの消去	An t-inneall cuardaigh a cheilt nuair a dhéantar gníomh ar leith
警告表示中にブラウザのエリアのマウスカーソルを消去します	Folaíonn sé an t-inneall cúrsóra luch sa limistéar brabhsála fad is a thaispeántar foláireamh.
デバッグモード	Mód dífhabhtaithe
妨害＋記録のみ	Cur isteach + Taifid amháin
妨害＋記録＋表示＋リダイレクト	Cur isteach + Logaíocht + Taispeáint + Athsheoladh
メニューからは操作できてしまいます	Is féidir leat teacht air fós tríd an roghchlár.
Firefoxにおけるデバッグモード	Mód dífhabhtaithe in Firefox
ブラウザーコンソール	Consól an bhrabhsálaí
事実上デバッグモードから操作できてしまいます	Go deimhin, is féidir leat é a oibriú ón mód díbhugtha.
HTMLソース表示	Féach ar fhoinse HTML
view-source:から始まるURLを入力すれば操作できてしまいます	Is féidir leat an oibríocht a chur i gcrích go simplí ach URL a iontráil a thosaíonn le 'view-source:'
HTML保護と組み合わせることでコンテンツを保護することができます	Is féidir leat do chuid ábhair a chosaint trí seo a chomhcheangal le cosaint HTML.
印刷	Priontáil
印刷阻止をするもものの、ブラウザによってはうまく動作しません	Cé go gcuireann sé cosc ar phriontáil, d'fhéadfadh sé nach n-oibreoidh sé i gceart i mbrabhsálaithe áirithe.
スクリーンショット	Gabháil scáileáin
OSやブラウザ、方法によっては妨害できず、もしくは検出しないことがあります	Ag brath ar an gcóras oibriúcháin, an brabhsálaí nó an modh a úsáidtear, d'fhéadfadh sé nach mbeadh sé indéanta é seo a bhlocáil, nó d'fhéadfadh sé nach mbrathfaí é.
ウインドウが背面に移動した時スクリーンショットの疑い	Gabháil scáileáin amhrasta nuair a aistrítear an fhuinneog go dtí an cúlra
あわせて、スクリーンショット以外の機能（タブ切り替え・ウィンドウ切り替え）にも反応してしまいます。	Freagraíonn sé freisin d'fheidhmeanna eile seachas seatanna scáileáin
2キー押下のスクリーンショットの疑い	Gabháil scáileáin amhrasta a tógadh trí dhá eochair a bhrú
上の項目の検出方法は完全ではありません、予防的に検出を行います	Níl na modhanna braite do na hítimí thuas-luaite dochloíte; déantar an braiteadh mar bheart réamhchúraim.
スクリーンショットだけではなく、デバッグモード等も検出します	Braitheann sé ní hamháin seatanna scáileáin ach freisin modhanna dífhabhtaithe agus a leithéidí.
ページ保存	Sábháil an leathanach
右クリック	Cliceáil deas
アドオンがインストールされていると操作できてしまいます	Má tá an breiseán suiteáilte, beidh tú in ann é a úsáid.
コピー・カット	Cóipeáil agus gearr
本プラグインの設定によってはこのイベントにたどり着くことはほとんどない場合があります	Ag brath ar shocruithe an bhreiseáin seo, d'fhéadfá teacht ar an imeacht seo go hannamh.
テキスト全選択	Roghnaigh an téacs go léir
テキスト選択	Téacs a roghnú
デバッガー起動ログ、デバッガー妨害	Lógáire tosaithe an fhuascailteora, cur isteach an fhuascailteora
デバッグモードの使い勝手を少し悪くし、デバッガを起動したことをログに残します、ブラウザによってはこの挙動が止められてしまいます	Fágann sé seo go bhfuil an mód díbhugtha beagán níos lú so-úsáidte agus logálann sé gur seoladh an díbhugóir; áfach, d'fhéadfadh roinnt brabhsálaithe an iompar seo a bhlocáil.
リダイレクトするURL	Athraontaigh URL
利用規約などのページに転送すると良いでしょう	Ba smaoineamh maith é úsáideoirí a atreorú chuig leathanaigh ar nós na dTéarmaí Úsáide.
空欄にすると元のURLにリダイレクトをします	Má fhágtar bán é, déanfaidh sé atreorú chuig an URL bunaidh.
リダイレクトまでの時間	Am go dtí an atreorú
リダイレクトなし	Gan atreorú
1秒	1 soicind
2秒	2 shoicind
3秒	Trí soicind
4秒	Ceithre soicind
5秒	5 soicind
6秒	Sé soicind
7秒	Seacht soicind
8秒	Ocht soicind
9秒	Naoi soicind
10秒	10 soicind
15秒	15 soicind
20秒	20 soicind
25秒	25 soicind
30秒	Tríocha soicind
35秒	35 soicind
40秒	40 soicind
45秒	45 soicind
50秒	Caoga soicind
55秒	Caoga a cúig soicind
1分	1 nóiméad
1分10秒	1 nóiméad 10 soicind
1分20秒	1 nóiméad 20 soicind
1分30秒	1 nóiméad 30 soicind
1分40秒	1 nóiméad 40 soicind
1分50秒	1 nóiméad 50 soicind
2分	2 nóiméad
ソース表示を許可する権限	Cead an cód foinse a fheiceáil
ADMINログイン時のみ通常のソース出力	Aschur gnáthfhoinse ach amháin nuair atá logáilte isteach mar RÍOMHAIRE
USERログインで通常のソース出力	Gnáth-aschur foinsí agus logáilte isteach mar ÚSÁIDEOIR
通常のHTML出力を管理者のみかユーザーログインかを選択します	Roghnaigh an bhfuil aschur caighdeánach HTML teoranta do riarthóirí amháin nó an dteastaíonn logáil isteach úsáideora.
画像を無理やりダウンロードして実際にダウンロードされるもの	Íomhá a iallach a chur a íoslódáil agus an méid a íoslódáiltear i ndáiríre
GIF形式で1×1ピクセルの透過画像	Íomhá thrédhearcach 1×1 picteilín i bhformáid GIF
PNG形式で1×1ピクセルの透過画像	Íomhá thrédhearcach 1×1 picteilín i bhformáid PNG
PNG形式で黄色い背景の警告画面	Scáileán rabhaidh le cúlra buí i bhformáid PNG
意味のないHTMLドキュメント	Doiciméad HTML gan chiall
HTML保護時のHEADタグの出力	Aschur an chlib HEAD nuair a bhíonn HTML cosanta
出力しない	Ná priontáil
TITLEタグのみ	Clib teidil amháin
WordpressのHEADタグより取得	Aisghafa ón gclib HEAD de WordPress
企業用途の会員専用ページや社内ページなどでは「出力しない」、「TITLEタグのみ」で良いでしょう	I gcás leathanach do bhaill amháin agus leathanach inmheánach le haghaidh úsáide corparáidí, ba cheart go mbeadh sé leor 'Ná h-aschuir' nó 'Clib TITLE amháin' a roghnú.
WordpressのHEADタグから取得しないと、SNSのシェアでOGP画像が表示されません	Mura bhfaigheann tú an t-eolas ó chlibe HEAD WordPress, ní thaispeánfar íomhá OGP agus an t-ábhar á roinnt ar na meáin shóisialta.
画像botをアクセス禁止にする	Cuir bac ar an mbot íomhá
画像botをHTMLに対し避けることにより、画像検索から直接リンクされることによって守れなかったコンテンツを守ることができます、ただし完全には対処することはできません	Trí bhac a chur ar bhotanna íomhá rochtain a fháil ar HTML, is féidir leat ábhar a chosaint nach bhféadfaí a chosaint ar nascú díreach trí chuardach íomhánna; áfach, ní réiteach dochloíte é seo.
AI学習用botをアクセス禁止にする	Cuir bac ar rochtain ar an mbot oiliúna IS
AIの学習用のbotをHTMLに対し避けることにより、AIで利用されないようにします、ただし完全には対処することはできません	Trí úsáid a bhaint as róbait atá deartha le haghaidh oiliúint IS ar HTML a sheachaint, cinntímid nach n-úsáidtear an t-ábhar ag IS; áfach, ní féidir é seo a chosc go hiomlán.
ウェブアーカイブ、ウェブ魚拓をアクセス禁止にする	Cuir bac ar rochtain ar chartlanna gréasáin agus ar phreabfhothaí gréasáin
自動的に収集されるウェブアーカイブ並びにユーザーの任意で取得される魚拓のアクセスを禁止します、ただし完全には対処することはできません	Cuirimid cosc ar rochtain ar chartlanna gréasáin a bhailítear go huathoibríoch agus ar phictiúir scáileáin a thógtar de réir rogha an úsáideora; áfach, ní féidir linn é seo a chosc go hiomlán.
無効なUAをアクセス禁止にする	Cuir bac ar ghníomhairí úsáideora neamhbhailí
ユーザーエイジェントの文字に不正な文字列があった場合のアクセスを避けます	Cosc ar rochtain má tá carachtair neamhbhailí sa tsreang gníomhaire úsáideora.
Internet Explorerと旧Microsoft Edge(EdgeHTML)のアクセスに警告を表示する	Taispeáin foláireamh agus rochtain á fáil ar Internet Explorer agus ar an sean-Microsoft Edge
Internet Explorerと旧Microsoft Edgeのアクセスを避けます	Coscann sé rochtain trí Internet Explorer agus an sean-Microsoft Edge
alertメッセージを表示する言語	Teanga ina dtaispeántar teachtaireachtaí foláirimh
Wordpressの言語	Teangacha WordPress
ブラウザの設定言語	Socruithe teanga an bhrabhsálaí
メッセージをカスタム設定されている場合は言語を変更できません	Ní féidir leat an teanga a athrú má tá na teachtaireachtaí saincheaptha.
同意画面の言語	Teanga an scáileáin toiliú
view-sourceメッセージを表示する言語	Teanga chun an teachtaireacht 'view-source' a thaispeáint
一時使用トークンの有効期限	Dáta éaga na dticéad sealadach
3分	Trí nóiméad
4分	Ceithre nóiméad
5分	Cúig nóiméad
6分	6 nóiméad
7分	Seacht nóiméad
8分	Ocht nóiméad
9分	Naoi nóiméad
10分	10 nóiméad
15分	15 nóiméad
20分	Fiche nóiméad
25分	25 nóiméad
30分	Tríocha nóiméad
35分	Tríocha a cúig nóiméad
40分	40 nóiméad
45分	45 nóiméad
50分	Caoga nóiméad
55分	Caoga a cúig nóiméad
1時間	Uair an chloig
画像URL情報の有効期限を設定します	Socraigh an dáta éaga d'fhaisnéis URL íomhá
一度読み込まれると画像URL情報と一時使用トークンは無効化されます	Nuair a bheidh sé lódáilte, cuirfear an URL íomhá agus an tsiombail shealadach ar neamhní.
画像は遅延読み込みされますが、この指定した時間の30秒前に強制的に画像が読み込まれます	Lódáiltear íomhánna de réir mar a theastaíonn, ach lódálfar go huathoibríoch iad 30 soicind roimh an am sonraithe.
一時使用トークンのビット数	Líon na ngiotán i dtoitéan sealadach
画像URL情報を暗号化するのに一時使用トークンをパスワードとして使用しますが、その強度を指定します	Úsáidtear comhartha sealadach mar phasfhocal chun faisnéis URL íomhá a chriptiú; sonraíonn an socrú seo a neart
ドロップダウンメニューの下に表示される選択肢にいくにつれて強度が強くなるものの、サーバーへの負荷が高くなり、HTML転送量が多くなることがあります	Cé go n-éiríonn na roghanna a thaispeántar faoin roghchlár anuas níos mionsonraithe de réir a chéile, is féidir leis seo ualach trom a chur ar an bhfreastalaí agus d'fhéadfadh sé go n-aistreofaí méid mór sonraí HTML dá bharr.
ハッシュ化アルゴリズム	Halgartam hais
画像URL情報を暗号化するのに一時使用トークンをパスワードとして使用しますが、その時ハッシュ化が必要です、その強度を設定します	Úsáidtear comhartha sealadach mar phasfhocal chun faisnéis URL íomhá a chriptiú; teastaíonn haiseáil chuige seo, agus is í an socrú seo a chinneann neart na haiseála sin.
ドロップダウンメニューの下に表示される選択肢にいくにつれて強度が強くなるものの、サーバーへの負荷が高くなります	Cé go méadaíonn an déine de réir mar a théann tú síos an liosta roghanna sa roghchlár anuas, cuireann sé seo ualach níos mó ar an bhfreastalaí.
基本設定	Bunsocruithe
高度な設定	Ard-socruithe
初期設定に戻す	Athchuir socruithe réamhshocraithe
デザイン・音の設定	Dearadh agus socruithe fuaime
イベントの設定	Socruithe imeachta
初回訪問時のお知らせの設定	Socrú fógraí do chéad chuairteanna
メッセージの設定	Socruithe teachtaireachta
右クリックやソースコード表示時に転送する URL を設定します	Socraigh an URL atá le hoscailt agus an cliceáil dheas á déanamh nó an cód foinseach á fheiceáil.
警告メッセージにはHTMLは使用できません	Ní féidir HTML a úsáid i dteachtaireachtaí rabhaidh.
この画面で設定すると、高度な設定タブにある言語設定が無視されます	Má chumraíonn tú seo ar an scáileán seo, déanfar neamhaird de na socruithe teanga sa táb Ardleibhéil.
以下の文字列が使用できます	Is féidir na téada seo a leanas a úsáid
改行	Briseadh líne
押下されたキー	Eochair brúite
Neo HTML Protector 設定	Socruithe Cosantóra Neo HTML
お知らせ	Fógra
メッセージ	Teachtaireacht
デザイン・音	Dearadh agus Fuaim
初期化	Túsú
このプラグインについて	Maidir leis an bhforlíonadh seo
設定が初期化されました	Tá na socruithe athshocraithe.
プラグインを初期化します なおIPログリーダーのデータはここでは削除されません	Tosaigh an breiseán. Tabhair faoi deara, le do thoil, nach scriosfar sonraí an Léitheora Logaí IP ag an bpointe seo.
Neo HTML Protectorについて	Maidir le Neo HTML Protector
このプラグインはあなたのWordpressから出力されるHTMLや画像等を保護し、コンテンツの不正利用から守ることを目的としています。	Tá an breiseán seo deartha chun an HTML, na híomhánna agus ábhar eile a ghineann do shuíomh WordPress a chosaint, agus é a choinneáil slán in aghaidh úsáid neamhúdaraithe.
