設定	Көйләүләр
非EU向け確認の文字列	Европа Берлегенә кермәгән илләр өчен раслау тексты
EU GDPR向け同意するの文字列	Европа Берлеге GDPR өчен ризалык тексты
EU GDPR向け同意しないの文字列	Европа Берлеге GDPR кысаларында «Ризалык бирмәгез» тексты
プライバシーポリシーの文字列	Шәхси мәгълүматларны яклау сәясәте тексты
プライバシーポリシーのURLはこちらから設定して下さい	Зинһар, шәхси мәгълүматларны яклау сәясәтенең URL-ын монда урнаштырыгыз
プライバシーポリシーには以下の内容を追加して下さい	Зинһар, түбәндәгеләрне шәхси мәгълүматларны яклау сәясәтенә өстәгез.
不正操作検知のため、CookieおよびデータベースにIPアドレス等の識別子を保存する。保存されたデータは、管理者の任意のタイミングで削除を行う。	Алдаулы эшчәнлекне ачыклау өчен IP-адреслар кебек идентификаторлар cookie-файлларда һәм мәгълүмат базасында саклана. Сакланган мәгълүмат администратор карары буенча бетерелә.
画像保護が有効な場合のみ、画像を正常に配信するため、IPアドレスと画像ファイル名をハッシュ化したデータをデータベースに最大60分間保存する。	Рәсем саклау функциясе актив булганда рәсемнәрнең дөрес тапшырылуын тәэмин итү өчен без IP-адрес һәм рәсем файлы исемен үз эченә алган хешланган мәгълүматны базабызда 60 минутка кадәр саклыйбыз.
利用規約を設定する場合、必ずプライバシーポリシーに利用規約のリンクを設置して下さい	Әгәр сез Куллану шартларын булдырасыз икән, зинһар, Шәхси мәгълүматларны яклау сәясәтегезгә аларга сылтама кертүегезне тәэмин итегез.
利用規約の文字列	Куллану шартлары тексты
利用規約のページ	Шартлар һәм кагыйдәләр бите
ページ選択なし	Бер бит тә сайланмаган
検索エンジン等のURL	Эзләү системалары өчен URL-лар һ.б.
同意しなかった時に画面遷移する検索エンジンなどのURLを設定します	Кулланучы ризалык бирмәгәндә аны башка биткә юнәлтүче эзләү системалары һәм шундый сайтлар өчен URL-ны билгеләгез.
デバッグモード、コンソールの警告メッセージ	Хаталарны төзәтү режимы, консоль кисәтү хәбәрләре
右クリックの警告メッセージ	Уң төймә белән баскач кисәтү хәбәре
印刷、PDF保存の警告メッセージ	PDF форматында бастыру һәм саклау турында кисәтү хәбәре
スクリーンショットの警告メッセージ	Скриншотта кисәтү хәбәре
スクリーンショットの疑いの警告メッセージ	Шикләнелгән скриншотлар турында кисәтү хәбәре
テキスト全選択時の警告メッセージ	Барлык текст сайланганда кисәтү хәбәре
ページ保存の警告メッセージ	Бизне саклау турында кисәтү хәбәре
コピー・カットした時に表示するメッセージ	Копияләгәндә яки кискәндә күрсәтелә торган хәбәр
HTMLソース表示時に表示するメッセージ	HTML чыганакны караганда күрсәтелә торган хәбәр
HTML難読化・保護時にソースの先頭に表示するメッセージ	HTML-ны обфускацияләгәндә яки саклаганда чыганак кодының иң өске өлешендә күрсәтелә торган хәбәр
HTML保護時に一度限りの認証トークンが異常の場合に表示するメッセージ	HTML саклау вакытында бер тапкыр кулланыла торган аутентификация токены дөрес булмаса күрсәтелә торган хәбәр
CookieやJavascriptが有効でない場合に表示するメッセージ	Әгәр кукилар яки JavaScript сүндерелгән булса, күрсәтелә торган хәбәр
実際にはJavascriptが無効時のみ表示されます	Чынлыкта, бу бары тик JavaScript сүндерелгән вакытта гына күрсәтелә.
画像保護時に画像がダウンロードされ、その画像に表示するメッセージ 英語のみ	Сүрәт сакланган вакытта ул йөкләнә һәм шул сүрәткә хәбәр күрсәтелә
HTML難読化 (圧縮)	HTMLны буталау
一般的なHTML圧縮です、難読化解除のサイトもあります	Бу гадәти HTML кысуы; аны декодлый алучы веб-сайтлар да бар.
このオプションを有効にするとview-sourceのログが取得できます	Бу опцияне активлаштыру view-source логларын алу мөмкинлеген бирә.
HTML保護	HTML саклау
HTML圧縮以上に最小限のHTMLしか出力せず、BODYタグ内の内容が全く出力されなくなります	Ул HTMLның иң кирәкле минимумын гына чыгара — хәтта HTMLны кыскарту кулланганда чыгарылганнан да азрак — һәм BODY тегы эчендәге эчтәлек бөтенләй чыгарылмый.
Firefoxに対しては無効です	Бу Firefoxка кагылмый
SEOに著しく影響があります	Бу SEOга зур йогынты ясый.
HTMLをJavaScriptで描画	JavaScript ярдәмендә HTML төзү
Firefox対策としてHTMLをJavaScriptで描画をします	Firefox'ны урап үтү өчен без HTML-ны JavaScript ярдәмендә рендерлыйбыз.
JavaScript描画で有効にするとウェブサイトの表示速度が著しく遅くなります	JavaScript-ны эшләтеп җибәрү веб-сайтның йөкләнү тизлеген сизелерлек акрынайтачак.
画像の保護	Сүрәтне яклау
imgタグが呼び出されるごとに画像を保護	Img тегын һәр чакыру саен рәсемне яклагыз
出力される全HTMLのうち、Wordpressにアップロードされた画像をすべて保護	WordPressка йөкләнгән барлык рәсемнәрне бөтен HTML чыгарылышында саклагыз
画像をダウンロードから保護します	Рәсемнәрнең йөкләнүеннән саклый
画像データを保護した時にはほぼ完全なるダウンロードを阻止し、完全なるワンタイムURLを発行し、セッションに保存されたトークンで認証し、phpから画像を表示します、その為ほぼ完全な画像盗用を防ぎます	Рәсем мәгълүматлары сакланганда без аларны йөкләп алуның күпчелеген булдырмыйбыз, уникаль бер тапкыр кулланыла торган URL-адреслар бирәбез, сессиядә сакланган токеннар ярдәмендә аутентификация үткәрәбез һәм рәсемнәрне PHP аша күрсәтәбез; бу нәтиҗәле рәвештә рәсем урлауның күпчелеген булдырмый.
画像データを保護した時には画像のキャッシュが効かないため、次回訪問時にサイトの読み込みが遅くなるため、SEOに影響があります	Рәсем мәгълүматлары сакланганда кэшинг эшләми, бу сайтның киләсе килүләрдә әкренрәк йөкләнүенә һәм шуның белән SEOга тәэсир итүенә китерә.
画像データを保護した時には、データベースの負荷が高くなる可能性があります	Рәсем мәгълүматларын саклау мәгълүматлар базасына йөкләнешне арттырырга мөмкин.
「imgタグが呼び出されるごとに画像を保護」の場合は、add_filterを使用し、imgタグの発行時にフィルタリングを行います、テーマによっては正しく動作しません	Әгәр сез «img тегын чакырганда һәрвакыт рәсемнәрне саклау» пунктын сайласагыз, система img тегы барлыкка килгәндә add_filter функциясен кулланып фильтрлау үткәрә; әмма бу кайбер темаларда дөрес эшләмәскә мөмкин.
「出力される全HTMLのうち、Wordpressにアップロードされた画像をすべて保護」の場合は、Wordpressのほぼすべての動作をキャプチャし、コンテンツ内のimgタグについてすべて処理します。テーマによっては正しく動作しません	Әгәр сез «Бөтен HTML чыгарылышында WordPressка йөкләнгән барлык рәсемнәрне саклау» пунктын сайласагыз, плагин WordPress эшчәнлегенең күпчелеген тотып алачак һәм эчтәлектәге һәр img тегын эшкәртәчәк. Игътибар итегез, бу кайбер темаларда дөрес эшләмәскә мөмкин.
なお、アイキャッチに指定した画像はOGPとして拡散されますので保護できません。どうしても保護すべき場合は高度な設定でHTML保護時のHEADタグの出力の選択を変更してください	Игътибар итегез: «Өстенлекле рәсемнәр» дип билгеләнгән рәсемнәр OGP мәгълүматы буларак уртаклашылачак һәм аларны яклап булмый. Әгәр дә сез аларны һичшиксез якларга телисез икән, HTML-ны яклауны активлаштырганда алгарышлы көйләүләрдә HEAD тегын чыгару көйләвен үзгәртегез.
OS標準搭載のスクリーンショット機能を保護することはできません	Операцион системада стандарт рәвештә кертелгән скриншот функциясен яклап булмый.
画像URLの保護	Рәсем URL-ларын саклау
画像の保護と組み合わせて使用します、単体では意味がありません	Бу рәсемне яклау белән бергә кулланылырга тиеш; үзе генә ул бернинди максат та тормышка ашырмый.
JavaScriptにより遅延読まれますのでSEOに影響があります	Ул JavaScript аша йөкләнү сәбәпле, бу SEOга тәэсир итә.
画像のウォーターマーク	Сүрәткә су тамгасы
右下	аскы уң
ランダム位置	Очраклы урын
画像の保護と組み合わせて使用します、動的な透かしで著作権を明示しつつ、閲覧者に監視されている印象を与え抑止力を高めます	Рәсемне яклау белән берлектә кулланылганда, динамик су тамгалары авторлык хокукын ачык күрсәтә һәм караучыларга аларның күзәтелүе турында тәэсир калдыра, шуның белән киртә булып тора.
JPG形式、PNG形式、WebP形式のみ対応します	Тик JPG, PNG һәм WebP форматлары гына хуплана.
有効にするとサーバーの負荷が高くなります	Буны эшләтү сервер йөкләнешен арттырачак.
HTML難読化・保護時のHTMLソースコードのアスキーアートの出力	HTML чыганак кодын буталау һәм саклау вакытында ASCII-сәнгать чыгару
表示なし	Күрсәтү юк
view-sourceでHTMLソース表示をした時に警告の意思を示すアスキーアートを表示します	View-source кулланып HTML чыганагын караганда кисәтүне күрсәтүче ASCII-арт
対象アクションを起こした時の表示デザイン	Максатлы гамәл башкарылганда интерфейс дизайнын күрсәтергә
黄色の背景の黒文字のベーシックデザイン	Сары фонда кара текст белән төп дизайн
黒色の背景の赤文字のホラー風デザイン	Кара фонда кызыл текст белән куркыныч стильдәге дизайн
黒色の背景の赤文字の光る文字のデザイン	Кара фонда балкып торган кызыл текстлы дизайн
対象アクションを起こした時のBGM	Максатлы гамәл башкарылганда яңгыраучы фон музыка
サウンドなし	Тавыш юк
戦闘＆戦闘勝利 - 1分16.3秒 - 630,056bytes - 64kbps - ライセンス：CC2.1 or later	Сугыш һәм Җиңү - 1 минут 16,3 секунд - 630 056 байт - 64 кбит/с - Лицензия: CC 2.1 яки соңрак
おやじ ショート - 3.8秒 - 32,364bytes - 64kbps - ライセンス GPL2.0 or later (C)EJ	Dad Short - 3,8 секунд - 32 364 байт - 64 kbps - Лицензия: GPL 2.0 яки соңрак
おやじ ロング - 23.5秒 - 195,578bytes - 64kbps - ライセンス GPL2.0 or later (C)EJ	Oyaji Long - 23,5 секунд - 195 578 байт - 64 кбит/с - Лицензия: GPL 2.0 яки соңрак
ショパン エチュード Op.10-5 黒鍵 打ち込み版 高速版 - 1分0.0秒 - 369,778bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	Шопен Этюды Op. 10 № 5
ショパン エチュード Op.10-12 革命 打ち込み版 高速版 - 1分57.6秒 - 724,457bytes - 48kbps -  ライセンス：CC BY-ND 4.0 or later	Шопен Этюды Op. 10 № 12 «Революция» – компьютер ярдәмендә эшләнгән версия, югары тизлекле версия – 1 минут 57,6 секунд – 724 457 байт – 48 кбит/с – Лицензия: CC BY-ND 4.0 яки соңрак
ショパン スケルツォ 変ロ短調 Op2 打ち込み版 高速短縮版 - 1分48.0秒 - 665,369bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	Шопен: Си-бемол минор, Оп. 2 – компьютер ярдәмендә эшләнгән версия, югары тизлектә кыскартылган версия – 1 минут 48,0 секунд – 665 369 байт – 48 кбит/с – Лицензия: CC BY-ND 4.0 яки соңрак
リスト 超絶技巧練習曲 4番 マゼッパ 打ち込み版 高速短縮版 - 1分51.6秒 - 687,586bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	Исемлек: Этюд д'Эгзекюсион Трансцендант № 4, «Мазепа» – компьютер ярдәмендә эшләнгән версия, югары тизлектә кыскартылган версия – 1 минут 51,6 секунд – 687 586 байт – 48 кбит/с – Лицензия: CC BY-ND 4.0 яки соңрак
ファンファーレ - 22.3秒 - 183,926bytes - 64kbps - ライセンス：パブリックドメイン	Тантаналы марш – 22,3 секунд – 183 926 байт – 64 кбит/с – Лицензия: Җәмәгать милеге
レトロ風ファンファーレ - 2.2秒 - 10,536bytes - 32kbps - ライセンス：パブリックドメイン	Ретро-стильдәге фанфар – 2,2 секунд – 10 536 байт – 32 кбит/с – Лицензия: Җәмәгать милеге
レトロ風オープン - 42.1秒 - 179,138bytes - 32kbps - ライセンス：パブリックドメイン	Ретро-стильле кереш – 42,1 секунд – 179 138 байт – 32 kbps – Лицензия: Җәмәгать милеге
警告 by ChatGPT - 3.8秒 - 109,700bytes - 256kbps - ライセンス：パブリックドメイン	ChatGPT кисәтүе - 3,8 секунд - 109 700 байт - 256 кбит/с - Лицензия: Җәмәгать милеге
マルウェア検出みたいな緊急感の高い音 その１ by ChatGPT - 3.3秒 - 102,850bytes - 256kbps - ライセンス：パブリックドメイン	Зиянлы программаны ачыклау кисәтүе кебек югары ашыгычлыклы тавыш – 1-нче өлеш ChatGPT тарафыннан – 3,3 секунд – 102 850 байт – 256 кбит/с – Лицензия: Җәмәгать милекле
マルウェア検出みたいな緊急感の高い音 その２ by ChatGPT - 3.3秒 - 103,122bytes - 256kbps - ライセンス：パブリックドメイン	Зиянлы программаны ачыклау кисәтүе кебек югары ашыгычлыклы тавыш, 2-нче өлеш, ChatGPT тарафыннан - 3,3 секунд - 103 122 байт - 256 кбит/с - Лицензия: Җәмәгать милекле
MRI風サウンド by ChatGPT - 1分14.9秒 - 3,340,392bytes - 320kbps - ライセンス：パブリックドメイン	ChatGPT ясаган МРТ-стиль тавыш – 1 минут 14,9 секунд – 3 340 392 байт – 320 kbps – Лицензия: Җәмәгать милекле
警告表示中のBGMを選択します	Кисәтү вакытында уйнау өчен фон музыкасын сайлагыз
びっくりするような雰囲気を作ります	Ул гаҗәпләндерерлек атмосфера тудыра
Firefoxでは音声ブロックされます	Firefox-та аудио блокланган
対象アクションを起こした時のビープ音	Билгеләнгән гамәл башкарылганда «бип» тавышы
有効 音量小さ目	Күләме түбән
有効 音量大き目	Эшли, тавышы югары дәрәҗәдә куелган
警告表示中にすべてのキー・マウスイベントでビープ音を鳴らします	Хата хәбәре күрсәтелгәндә барлык клавиша һәм тычкан вакыйгалары өчен бип яңгыраячак
警告表示中に端末が暴走したかのような雰囲気を作ります	Кисәтү күрсәтелгәндә җайланманың контрольдән чыккандай тәэсир калдыра.
対象アクションを起こした時のマウスカーソルの消去	Билгеле бер гамәл башкарылганда тычкан курсорын яшерү
警告表示中にブラウザのエリアのマウスカーソルを消去します	Кисәтү күрсәтелгәндә браузер өлкәсендә тычкан курсорын яшерә
デバッグモード	Хаталарны төзәтү режимы
妨害＋記録のみ	Тыкшыну + язмалар гына
妨害＋記録＋表示＋リダイレクト	Тартышу + Теркәү + Күрсәтү + Юнәлтеп җибәрү
メニューからは操作できてしまいます	Сез әле дә аны меню аша ача аласыз.
Firefoxにおけるデバッグモード	Firefox-та отладка режимы
ブラウザーコンソール	Браузер консоле
事実上デバッグモードから操作できてしまいます	Чынлыкта, сез аны отладка режимыннан эшләтә аласыз.
HTMLソース表示	HTML чыганагын кара
view-source:から始まるURLを入力すれば操作できてしまいます	Сез 'view-source:' белән башланган URL-ны кертеп кенә бу операцияне башкара аласыз.
HTML保護と組み合わせることでコンテンツを保護することができます	Сез бу ысулны HTML яклавы белән берләштереп, үз эчтәлегегезне саклый аласыз.
印刷	Бастыру
印刷阻止をするもものの、ブラウザによってはうまく動作しません	Бастыруны тыйса да, кайбер браузерларда ул дөрес эшләмәскә мөмкин.
スクリーンショット	Экраннан төшерелгән фото
OSやブラウザ、方法によっては妨害できず、もしくは検出しないことがあります	Операцион системага, браузерга яки кулланылган ысулга карап, моны блоклау мөмкин булмаска яки ул ачыкланмаска мөмкин.
ウインドウが背面に移動した時スクリーンショットの疑い	Тәрәзә фонга күчкәндә шикле скриншот
あわせて、スクリーンショット以外の機能（タブ切り替え・ウィンドウ切り替え）にも反応してしまいます。	Ул шулай ук скриншотлардан тыш башка функцияләргә дә җавап бирә
2キー押下のスクリーンショットの疑い	Ике төймә басып ясалган дип шикләнелгән скриншот
上の項目の検出方法は完全ではありません、予防的に検出を行います	Югарыда аталган элементларны ачыклау ысуллары тулысынча ышанычлы түгел; ачыклау сак чарасы буларак үткәрелә.
スクリーンショットだけではなく、デバッグモード等も検出します	Ул скриншотларны гына түгел, debug режимнарын һәм шундый башка режимнарны да ачыклый.
ページ保存	Бизне сакларга
右クリック	уң төймәгә басыгыз
アドオンがインストールされていると操作できてしまいます	Әгәр өстәмә урнаштырылган булса, сез аны куллана алачаксыз.
コピー・カット	Күчерү һәм кисү
本プラグインの設定によってはこのイベントにたどり着くことはほとんどない場合があります	Бу плагинның көйләүләренә карап, сез бу вакыйгага сирәк очрашырга мөмкинсез.
テキスト全選択	Барлык текстны сайлагыз
テキスト選択	Текстны сайлагыз
デバッガー起動ログ、デバッガー妨害	Дебаггерны эшләтеп җибәрү логы, дебаггер тыгылуы
デバッグモードの使い勝手を少し悪くし、デバッガを起動したことをログに残します、ブラウザによってはこの挙動が止められてしまいます	Бу отладка режимын бераз кулланучыга уңайсызрак итә һәм отладчик эшләтеп җибәрелүен терки; әмма кайбер браузерлар бу тәртипне тыя ала.
リダイレクトするURL	URL-ны юнәлтү
利用規約などのページに転送すると良いでしょう	Кулланучыларны Куллану шартлары кебек битләргә юнәлтү яхшы идея булыр иде.
空欄にすると元のURLにリダイレクトをします	Әгәр буш калдырылса, ул оригиналь URL-га юнәлтәчәк.
リダイレクトまでの時間	Кайта юнәлтүгә кадәр вакыт
リダイレクトなし	Юнәлтү юк
1秒	1 секунд
2秒	2 секунд
3秒	3 секунд
4秒	4 секунд
5秒	5 секунд
6秒	6 секунд
7秒	7 секунд
8秒	8 секунд
9秒	9 секунд
10秒	10 секунд
15秒	15 секунд
20秒	20 секунд
25秒	25 секунд
30秒	30 секунд
35秒	35 секунд
40秒	40 секунд
45秒	45 секунд
50秒	50 секунд
55秒	55 секунд
1分	1 минут
1分10秒	1 минут 10 секунд
1分20秒	1 минут 20 секунд
1分30秒	1 минут 30 секунд
1分40秒	1 минут 40 секунд
1分50秒	1 минут 50 секунд
2分	2 минут
ソース表示を許可する権限	Чыганак кодын карау рөхсәте
ADMINログイン時のみ通常のソース出力	Гадәти чыганак чыгышы бары тик ADMIN буларак кергәндә генә
USERログインで通常のソース出力	Кулланучы буларак кергәндә гадәти чыганак чыгышы
通常のHTML出力を管理者のみかユーザーログインかを選択します	Стандарт HTML чыгаруны бары тик администраторларга гына чикләргә яки кулланучының кереп чыгуын таләп итәргә сайлагыз.
画像を無理やりダウンロードして実際にダウンロードされるもの	Сүрәтне мәҗбүри йөкләтү һәм чынлыкта нәрсә йөкләнә
GIF形式で1×1ピクセルの透過画像	GIF форматындагы 1×1 пиксель зурлыктагы үтә күренмәле рәсем
PNG形式で1×1ピクセルの透過画像	PNG форматындагы 1×1 пиксель зурлыктагы үтә күренмәле рәсем
PNG形式で黄色い背景の警告画面	PNG форматындагы сары фонлы кисәтү экраны
意味のないHTMLドキュメント	Мәгънәсез HTML документ
HTML保護時のHEADタグの出力	HTML якланган вакытта HEAD тегын чыгару
出力しない	Бастырмагыз
TITLEタグのみ	Башлык
WordpressのHEADタグより取得	WordPress HEAD тегыннан алынды
企業用途の会員専用ページや社内ページなどでは「出力しない」、「TITLEタグのみ」で良いでしょう	Корпоратив куллану өчен әгъзаларга гына каралган битләр һәм эчке битләр өчен «Чыгарма» яки «Титл-тег кына» сайлау җитә.
WordpressのHEADタグから取得しないと、SNSのシェアでOGP画像が表示されません	WordPress HEAD тегындагы мәгълүматны алмасагыз, социаль челтәрләрдә уртаклашканда OGP рәсеме күренмәячәк.
画像botをアクセス禁止にする	Сүрәт ботын блокла
画像botをHTMLに対し避けることにより、画像検索から直接リンクされることによって守れなかったコンテンツを守ることができます、ただし完全には対処することはできません	Рәсем ботларының HTML-гә керүен тыеп, рәсем эзләү аша туры сылтама ярдәмендә саклап булмый торган эчтәлекне яклап була; әмма бу тулысынча чишелеш тәкъдим итми.
AI学習用botをアクセス禁止にする	AI өйрәнү ботына керүне тыю
AIの学習用のbotをHTMLに対し避けることにより、AIで利用されないようにします、ただし完全には対処することはできません	HTML өчен ЯИ өйрәнү максатында эшләнгән ботларны кулланмау аша без эчтәлекнең ЯИ тарафыннан файдаланылмавын тәэмин итәбез; әмма моны тулысынча булдырмый калу мөмкин түгел.
ウェブアーカイブ、ウェブ魚拓をアクセス禁止にする	Веб-архивларга һәм веб-снэпшотларга керүне блоклау
自動的に収集されるウェブアーカイブ並びにユーザーの任意で取得される魚拓のアクセスを禁止します、ただし完全には対処することはできません	Без автомат рәвештә җыелган веб-архивларга һәм кулланучының үз теләге белән ясалган скриншотларга керүне тыябыз; әмма моны тулысынча булдырмый кала алмыйбыз.
無効なUAをアクセス禁止にする	Яраксыз кулланучы агентларын блоклау
ユーザーエイジェントの文字に不正な文字列があった場合のアクセスを避けます	Әгәр кулланучы агент юлында дөрес булмаган символлар булса, керүне тыя.
Internet Explorerと旧Microsoft Edge(EdgeHTML)のアクセスに警告を表示する	Интернет Эксплорерга һәм иске Microsoft Edge
Internet Explorerと旧Microsoft Edgeのアクセスを避けます	Internet Explorer һәм иске Microsoft Edge аша керүне тыя
alertメッセージを表示する言語	Кисәтү хәбәрләре күрсәтелә торган тел
Wordpressの言語	WordPress телләре
ブラウザの設定言語	Браузер тел көйләүләре
メッセージをカスタム設定されている場合は言語を変更できません	Әгәр хәбәрләр махсуслаштырылган булса, телне үзгәртә алмыйсыз.
同意画面の言語	Ризалык экранының теле
view-sourceメッセージを表示する言語	«view-source» хәбәрен күрсәтү өчен тел
一時使用トークンの有効期限	Вакытлы токеннарның гамәл вакыты
3分	3 минут
4分	4 минут
5分	5 минут
6分	6 минут
7分	7 минут
8分	8 минут
9分	9 минут
10分	10 минут
15分	15 минут
20分	20 минут
25分	25 минут
30分	30 минут
35分	35 минут
40分	40 минут
45分	45 минут
50分	50 минут
55分	55 минут
1時間	1 сәгать
画像URL情報の有効期限を設定します	Сурәт URL мәгълүматының срогын билгеләгез
一度読み込まれると画像URL情報と一時使用トークンは無効化されます	Йөкләнгәннән соң, рәсемнең URL-сы һәм вакытлыча токен гамәлдән чыгарылачак.
画像は遅延読み込みされますが、この指定した時間の30秒前に強制的に画像が読み込まれます	Рәсемнәр сорау буенча йөкләнә, ләкин алар билгеләнгән вакытка 30 секунд кала автоматик рәвештә йөкләнәчәк.
一時使用トークンのビット数	Вакытлы токенда битлар саны
画像URL情報を暗号化するのに一時使用トークンをパスワードとして使用しますが、その強度を指定します	Вакытлы токен рәсем URL-ындагы мәгълүматны шифрлау өчен пароль буларак кулланыла; бу көйләү аның ныклыгын билгели.
ドロップダウンメニューの下に表示される選択肢にいくにつれて強度が強くなるものの、サーバーへの負荷が高くなり、HTML転送量が多くなることがあります	Раскъюкланучы меню астында күрсәтелгән вариантлар барлыкка килгән саен тагын да тулырак мәгълүмат күрсәтә, бу серверга зур йөкләнеш китерә һәм күп күләмле HTML-мәгълүмат күчерелешенә китерергә мөмкин.
ハッシュ化アルゴリズム	Хэш алгоритмы
画像URL情報を暗号化するのに一時使用トークンをパスワードとして使用しますが、その時ハッシュ化が必要です、その強度を設定します	Сүрәт URL мәгълүматын шифрлау өчен вакытлыча токен пароль буларак кулланыла; моның өчен хэшлау кирәк, һәм бу көйләү шул хэшлауның ныклыгын билгели.
ドロップダウンメニューの下に表示される選択肢にいくにつれて強度が強くなるものの、サーバーへの負荷が高くなります	Түбән төшә торган менюда күрсәтелгән вариантлар исемлегендә аска таба хәрәкәт иткән саен интенсивлык арта, ләкин бу серверга зуррак йөк сала.
基本設定	Төп көйләүләр
高度な設定	Күшәртелгән көйләүләр
初期設定に戻す	Стандарт көйләүләрне торгызыгыз
デザイン・音の設定	Дизайн һәм тавыш көйләүләре
イベントの設定	Чара көйләүләре
初回訪問時のお知らせの設定	Беренче тапкыр килүләр өчен хәбәрләрне көйләү
メッセージの設定	Хәбәр көйләүләре
右クリックやソースコード表示時に転送する URL を設定します	Уң як төймә белән басканда яки чыганак кодын караганда ачыла торган URL-ны билгеләгез
警告メッセージにはHTMLは使用できません	HTML кисәтү хәбәрләрендә кулланыла алмый.
この画面で設定すると、高度な設定タブにある言語設定が無視されます	Әгәр сез моны бу экранда көйләсәгез, «Күшер» вкладкасындагы тел көйләүләре игътибарга алынмаячак.
以下の文字列が使用できます	Түбәндәге юлларны кулланырга мөмкин
改行	Сызык өзелеше
押下されたキー	ачкыч басылды
Neo HTML Protector 設定	Neo HTML саклагыч көйләүләре
お知らせ	Игътибар
メッセージ	Хәбәр
デザイン・音	Дизайн һәм тавыш
初期化	Башлап җибәрү
このプラグインについて	Бу плагин турында
設定が初期化されました	Көйләүләр яңадан көйләнде
プラグインを初期化します なおIPログリーダーのデータはここでは削除されません	Плагинны инициализацияләгез. Игътибар итегез, бу этапта IP Log Reader мәгълүматлары бетерелмәячәк.
Neo HTML Protectorについて	Neo HTML саклагычы турында
このプラグインはあなたのWordpressから出力されるHTMLや画像等を保護し、コンテンツの不正利用から守ることを目的としています。	Бу плагин сезнең WordPress сайтыгызда барлыкка килгән HTML-ны, рәсемнәрне һәм башка эчтәлекне рөхсәтсез кулланудан саклау өчен эшләнгән.
コンテンツを完璧に守ることはできません。しかし可能な限りの方法において警告し、もし何かがあった場合に備えて準備することにより国で定められている方法で解決することができるはずです。	Эчтәлекне тулысынча саклау мөмкин түгел. Ләкин мөмкин булган һәр очракта кисәтүләр биреп һәм ни булса да булганда чаралар күреп, без бу мәсьәләне хөкүмәт тарафыннан билгеләнгән тәртипләр буенча хәл итә алачакбыз.
もちろん、利用規約やサイトポリシーを充実させる必要があります。このプラグインは利用規約生成アプリではありませんが、そのヒントを与えることができます。	Әлбәттә, сезгә хезмәт күрсәтү шартларыгызның һәм сайт сәясәтләрегезнең тулы булуын тәэмин итәргә кирәк булачак. Бу плагин хезмәт күрсәтү шартларын булдыру өчен корал булмаса да, ул кайбер киңәшләр бирә ала.
開発者: 夜桜　なの	Үстерүче: Нано Ёзакура
バージョン	Версия
ビルド	Төзү
サポートページ	Ярдәм бите
ISISちゃん	ISIS chan
Miss. 裏まにら氏歌唱	Башкаручы – Мисс Ура Манира
支援のお願い	Ярдәм соравы
Neo HTML Protectorをご利用いただき、ありがとうございます！	Neo HTML Protector-ны кулланган өчен рәхмәт!
