設定	הגדרות
JavaScript描画で有効にするとウェブサイトの表示速度が著しく遅くなります	הפעלת עיבוד JavaScript תאט באופן משמעותי את מהירות הטעינה של האתר
画像の保護	הגנה על תמונות
imgタグが呼び出されるごとに画像を保護	יש להגן על התמונה בכל פעם שמתבצע קריאה לתגית img
出力される全HTMLのうち、Wordpressにアップロードされた画像をすべて保護	הגן על כל התמונות שהועלו לוורדפרס בכל פלט ה-HTML
画像をダウンロードから保護します	מונע הורדת תמונות
画像データを保護した時にはほぼ完全なるダウンロードを阻止し、完全なるワンタイムURLを発行し、セッションに保存されたトークンで認証し、phpから画像を表示します、その為ほぼ完全な画像盗用を防ぎます	כאשר נתוני התמונות מוגנים, אנו מונעים כמעט את כל ההורדות, מנפיקים כתובות URL חד-פעמיות ייחודיות, מבצעים אימות באמצעות אסימונים המאוחסנים בהפעלה, ומציגים את התמונות באמצעות PHP; דבר זה מונע ביעילות כמעט את כל מקרי גניבת התמונות.
画像データを保護した時には画像のキャッシュが効かないため、次回訪問時にサイトの読み込みが遅くなるため、SEOに影響があります	כאשר נתוני התמונה מוגנים, המטמון אינו פועל, מה שאומר שהאתר ייטען לאט יותר בביקורים הבאים, ובכך ישפיע על קידום האתר במנועי חיפוש
画像データを保護した時には、データベースの負荷が高くなる可能性があります	הגנה על נתוני תמונות עלולה להגדיל את העומס על מסד הנתונים
「imgタグが呼び出されるごとに画像を保護」の場合は、add_filterを使用し、imgタグの発行時にフィルタリングを行います、テーマによっては正しく動作しません	אם תבחר באפשרות "הגן על תמונות בכל פעם שמתבצע קריאה לתגית img", המערכת תשתמש ב-add_filter כדי להחיל סינון בעת יצירת תגית ה-img; עם זאת, ייתכן שהדבר לא יפעל כראוי עם ערכות עיצוב מסוימות.
「出力される全HTMLのうち、Wordpressにアップロードされた画像をすべて保護」の場合は、Wordpressのほぼすべての動作をキャプチャし、コンテンツ内のimgタグについてすべて処理します。テーマによっては正しく動作しません	אם תבחרו באפשרות "הגן על כל התמונות שהועלו לוורדפרס בכל פלט ה-HTML", התוסף יתעד כמעט את כל פעולות וורדפרס ויעבד כל תגית img בתוך התוכן. שימו לב כי ייתכן שהאפשרות הזו לא תפעל כראוי עם ערכות עיצוב מסוימות.
なお、アイキャッチに指定した画像はOGPとして拡散されますので保護できません。どうしても保護すべき場合は高度な設定でHTML保護時のHEADタグの出力の選択を変更してください	שימו לב: תמונות שסומנו כתמונות מובילות ישותפו כנתוני OGP ולא ניתן להגן עליהן. אם אתם חייבים להגן עליהן, אנא שנו את ההגדרה של פלט תגיות HEAD בהגדרות המתקדמות בעת הפעלת הגנת HTML.
OS標準搭載のスクリーンショット機能を保護することはできません	לא ניתן להגן על פונקציית צילום המסך המובנית כברירת מחדל במערכת ההפעלה
画像URLの保護	הגנה על כתובות URL של תמונות
画像の保護と組み合わせて使用します、単体では意味がありません	יש להשתמש בזה בשילוב עם הגנה על תמונות; כשלעצמו, אין לזה כל תועלת.
JavaScriptにより遅延読まれますのでSEOに影響があります	מכיוון שהדף נטען באופן מושהה באמצעות JavaScript, הדבר משפיע על קידום האתר במנועי חיפוש
画像のウォーターマーク	סימן מים בתמונה
右下	בפינה הימנית התחתונה
ランダム位置	מיקום אקראי
画像の保護と組み合わせて使用します、動的な透かしで著作権を明示しつつ、閲覧者に監視されている印象を与え抑止力を高めます	בשימוש בשילוב עם הגנה על תמונות, סימני מים דינמיים מציינים בבירור את בעלות זכויות היוצרים, תוך שהם מעניקים לצופים את הרושם שהם נמצאים תחת מעקב, ובכך משמשים כאמצעי הרתעה.
JPG形式、PNG形式、WebP形式のみ対応します	נתמכים רק הפורמטים JPG, PNG ו-WebP
有効にするとサーバーの負荷が高くなります	הפעלת אפשרות זו תגביר את העומס על השרת
HTML難読化・保護時のHTMLソースコードのアスキーアートの出力	הפקת אמנות ASCII מקוד מקור HTML במהלך טשטוש והגנה על HTML
表示なし	אין תצוגה
view-sourceでHTMLソース表示をした時に警告の意思を示すアスキーアートを表示します	מציג אמנות ASCII המציינת אזהרה בעת הצגת קוד המקור של ה-HTML באמצעות 'view-source'
対象アクションを起こした時の表示デザイン	הצג עיצוב כאשר הפעולה המיועדת מבוצעת
黄色の背景の黒文字のベーシックデザイン	עיצוב בסיסי הכולל טקסט שחור על רקע צהוב
黒色の背景の赤文字のホラー風デザイン	עיצוב בסגנון אימה הכולל טקסט אדום על רקע שחור
黒色の背景の赤文字の光る文字のデザイン	עיצוב הכולל טקסט אדום זוהר על רקע שחור
対象アクションを起こした時のBGM	מוזיקת רקע המושמעת בעת ביצוע הפעולה המיועדת
サウンドなし	אין צליל
戦闘＆戦闘勝利 - 1分16.3秒 - 630,056bytes - 64kbps - ライセンス：CC2.1 or later	קרב וניצחון - 1 דקה ו-16.3 שניות - 630,056 בתים - 64 קילובית לשנייה - רישיון: CC 2.1 או גרסה מאוחרת יותר
おやじ ショート - 3.8秒 - 32,364bytes - 64kbps - ライセンス GPL2.0 or later (C)EJ	Dad Short - 3.8 שניות - 32,364 בתים - 64 kbps - רישיון: GPL 2.0 או גרסה מאוחרת יותר
おやじ ロング - 23.5秒 - 195,578bytes - 64kbps - ライセンス GPL2.0 or later (C)EJ	Oyaji Long - 23.5 שניות - 195,578 בתים - 64 קילובית לשנייה - רישיון: GPL 2.0 או גרסה מאוחרת יותר
ショパン エチュード Op.10-5 黒鍵 打ち込み版 高速版 - 1分0.0秒 - 369,778bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	אטיוד מס' 5 מתוך אופוס 10 מאת שופן
ショパン エチュード Op.10-12 革命 打ち込み版 高速版 - 1分57.6秒 - 724,457bytes - 48kbps -  ライセンス：CC BY-ND 4.0 or later	אטיוד מס' 12 מתוך אופוס 10 של שופן, "המהפכה" – גרסה שנוצרה במחשב, במהירות גבוהה – 1 דקה ו-57.6 שניות – 724,457 בתים – 48 קילובית לשנייה – רישיון: CC BY-ND 4.0 או גרסה מאוחרת יותר
ショパン スケルツォ 変ロ短調 Op2 打ち込み版 高速短縮版 - 1分48.0秒 - 665,369bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	שופן: סקרצו בסי במול מינור, אופ. 2 – גרסה שנוצרה במחשב, גרסה מקוצרת במהירות גבוהה – 1 דקה ו-48.0 שניות – 665,369 בתים – 48 קילובית לשנייה – רישיון: CC BY-ND 4.0 או גרסה מאוחרת יותר
リスト 超絶技巧練習曲 4番 マゼッパ 打ち込み版 高速短縮版 - 1分51.6秒 - 687,586bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	רשימה: Étude d'Exécution Transcendante מס' 4, 'Mazeppa' – גרסה שנוצרה במחשב, גרסה מקוצרת במהירות גבוהה – 1 דקה ו-51.6 שניות – 687,586 בתים – 48 kbps – רישיון: CC BY-ND 4.0 או גרסה מאוחרת יותר
ファンファーレ - 22.3秒 - 183,926bytes - 64kbps - ライセンス：パブリックドメイン	פנפאר – 22.3 שניות – 183,926 בתים – 64 קילובית לשנייה – רישיון: נחלת הכלל
レトロ風ファンファーレ - 2.2秒 - 10,536bytes - 32kbps - ライセンス：パブリックドメイン	מוזיקה חגיגית בסגנון רטרו – 2.2 שניות – 10,536 בתים – 32 קילובית לשנייה – רישיון: נחלת הכלל
レトロ風オープン - 42.1秒 - 179,138bytes - 32kbps - ライセンス：パブリックドメイン	פתיח בסגנון רטרו – 42.1 שניות – 179,138 בתים – 32 קילובית לשנייה – רישיון: נחלת הכלל
警告 by ChatGPT - 3.8秒 - 109,700bytes - 256kbps - ライセンス：パブリックドメイン	אזהרה מאת ChatGPT - 3.8 שניות - 109,700 בתים - 256 קילובית לשנייה - רישיון: נחלת הכלל
マルウェア検出みたいな緊急感の高い音 その１ by ChatGPT - 3.3秒 - 102,850bytes - 256kbps - ライセンス：パブリックドメイン	צליל המעיד על דחיפות גבוהה, כמו התראה על זיהוי תוכנה זדונית – חלק 1 מאת ChatGPT – 3.3 שניות – 102,850 בתים – 256 קילובית לשנייה – רישיון: נחלת הכלל
マルウェア検出みたいな緊急感の高い音 その２ by ChatGPT - 3.3秒 - 103,122bytes - 256kbps - ライセンス：パブリックドメイン	צליל המעיד על דחיפות גבוהה, כמו התראה על זיהוי תוכנה זדונית, חלק 2 מאת ChatGPT - 3.3 שניות - 103,122 בתים - 256 קילובית לשנייה - רישיון: נחלת הכלל
MRI風サウンド by ChatGPT - 1分14.9秒 - 3,340,392bytes - 320kbps - ライセンス：パブリックドメイン	קובץ אודיו בסגנון MRI מאת ChatGPT – 1 דקה ו-14.9 שניות – 3,340,392 בתים – 320 kbps – רישיון: נחלת הכלל
警告表示中のBGMを選択します	בחר את המוזיקה ברקע שתושמע במהלך אזהרה
びっくりするような雰囲気を作ります	זה יוצר אווירה מפתיעה
Firefoxでは音声ブロックされます	הצליל נחסם ב-Firefox
対象アクションを起こした時のビープ音	צפצוף כאשר הפעולה שצוינה מתבצעת
有効 音量小さ目	פועל, עוצמת קול נמוכה
有効 音量大き目	פעיל, עוצמת הקול מוגדרת לרמה גבוהה
警告表示中にすべてのキー・マウスイベントでビープ音を鳴らします	בזמן הצגת האזהרה יישמע צפצוף בכל פעם שתתבצע פעולה במקלדת או בעכבר
警告表示中に端末が暴走したかのような雰囲気を作ります	זה יוצר את הרושם שהמכשיר השתגע בזמן שהאזהרה מוצגת
対象アクションを起こした時のマウスカーソルの消去	הסתרת סמן העכבר בעת ביצוע פעולה מסוימת
警告表示中にブラウザのエリアのマウスカーソルを消去します	מסתיר את סמן העכבר באזור הדפדפן בזמן שההודעה מוצגת
デバッグモード	מצב ניפוי באגים
妨害＋記録のみ	הפרעות + רשומות בלבד
妨害＋記録＋表示＋リダイレクト	הפרעה + רישום + תצוגה + הפניה מחדש
メニューからは操作できてしまいます	עדיין ניתן לגשת אליו דרך התפריט
Firefoxにおけるデバッグモード	מצב ניפוי באגים ב-Firefox
ブラウザーコンソール	קונסולת הדפדפן
事実上デバッグモードから操作できてしまいます	למעשה, ניתן להפעיל אותו ממצב האיתור והתיקון
HTMLソース表示	הצג את קוד המקור ב-HTML
view-source:から始まるURLを入力すれば操作できてしまいます	ניתן לבצע את הפעולה פשוט על ידי הזנת כתובת URL שמתחילה ב-'view-source:'
HTML保護と組み合わせることでコンテンツを保護することができます	ניתן להגן על התוכן שלך על ידי שילוב של אמצעי זה עם הגנה ב-HTML
印刷	הדפס
印刷阻止をするもものの、ブラウザによってはうまく動作しません	למרות שזה מונע הדפסה, ייתכן שזה לא יעבוד כראוי בדפדפנים מסוימים
スクリーンショット	צילום מסך
OSやブラウザ、方法によっては妨害できず、もしくは検出しないことがあります	בהתאם למערכת ההפעלה, לדפדפן או לשיטה שבה נעשה שימוש, ייתכן שלא ניתן לחסום זאת, או שהדבר לא יזוהה
ウインドウが背面に移動した時スクリーンショットの疑い	צילום מסך משוער כאשר החלון עובר לרקע
あわせて、スクリーンショット以外の機能（タブ切り替え・ウィンドウ切り替え）にも反応してしまいます。	הוא מגיב גם לפעולות אחרות מלבד צילום מסך
2キー押下のスクリーンショットの疑い	צילום מסך שנלקח ככל הנראה על ידי לחיצה על שני מקשים
上の項目の検出方法は完全ではありません、予防的に検出を行います	שיטות הזיהוי של הפריטים הנ"ל אינן חסינות מפני טעויות; הזיהוי מתבצע כאמצעי זהירות.
スクリーンショットだけではなく、デバッグモード等も検出します	הוא מזהה לא רק צילומי מסך, אלא גם מצבי ניפוי באגים וכדומה
ページ保存	שמור דף
右クリック	לחיצה ימנית
アドオンがインストールされていると操作できてしまいます	אם התוסף מותקן, תוכל להשתמש בו
コピー・カット	העתק וגזור
本プラグインの設定によってはこのイベントにたどり着くことはほとんどない場合があります	בהתאם להגדרות התוסף הזה, ייתכן שתיתקל באירוע זה לעיתים רחוקות
テキスト全選択	בחר את כל הטקסט
テキスト選択	בחר טקסט
デバッガー起動ログ、デバッガー妨害	יומן ההפעלה של הבאגים, הפרעות בבאגים
デバッグモードの使い勝手を少し悪くし、デバッガを起動したことをログに残します、ブラウザによってはこの挙動が止められてしまいます	כתוצאה מכך, מצב האיתור והתיקון הופך להיות מעט פחות ידידותי למשתמש, והוא מתעד את העובדה שה-debugger הופעל; עם זאת, דפדפנים מסוימים עשויים לחסום התנהגות זו.
リダイレクトするURL	כתובת URL להפניה
利用規約などのページに転送すると良いでしょう	מומלץ להפנות את המשתמשים לדפים כגון תנאי השימוש
空欄にすると元のURLにリダイレクトをします	אם השדה יישאר ריק, הדף יופנה לכתובת ה-URL המקורית
リダイレクトまでの時間	הזמן שנותר עד להפניה
リダイレクトなし	ללא הפניה
1秒	שנייה אחת
2秒	2 שניות
3秒	3 שניות
4秒	4 שניות
5秒	5 שניות
6秒	6 שניות
7秒	7 שניות
8秒	8 שניות
9秒	9 שניות
10秒	10 שניות
15秒	15 שניות
20秒	20 שניות
25秒	25 שניות
30秒	30 שניות
35秒	35 שניות
40秒	40 שניות
45秒	45 שניות
50秒	50 שניות
55秒	55 שניות
1分	דקה אחת
1分10秒	1 דקה ו-10 שניות
1分20秒	1 דקה ו-20 שניות
1分30秒	דקה ו-30 שניות
1分40秒	1 דקה ו-40 שניות
1分50秒	1 דקה ו-50 שניות
2分	2 דקות
ソース表示を許可する権限	הרשאה לצפייה בקוד המקור
ADMINログイン時のみ通常のソース出力	תצוגת המקור הרגילה זמינה רק כאשר אתה מחובר כמשתמש ADMIN
USERログインで通常のソース出力	פלט מקור רגיל כאשר מחוברים כמשתמש
通常のHTML出力を管理者のみかユーザーログインかを選択します	בחר אם פלט HTML רגיל יוגבל למנהלים בלבד או שידרוש כניסת משתמש.
画像を無理やりダウンロードして実際にダウンロードされるもの	אילוץ הורדת תמונה ומה באמת יורד
GIF形式で1×1ピクセルの透過画像	תמונה שקופה בגודל 1×1 פיקסל בפורמט GIF
PNG形式で1×1ピクセルの透過画像	תמונה שקופה בגודל 1×1 פיקסל בפורמט PNG
PNG形式で黄色い背景の警告画面	מסך אזהרה על רקע צהוב בפורמט PNG
意味のないHTMLドキュメント	מסמך HTML חסר משמעות
HTML保護時のHEADタグの出力	תצוגת התג HEAD כאשר ה-HTML מוגן
出力しない	אל תדפיס
TITLEタグのみ	תגית TITLE בלבד
WordpressのHEADタグより取得	נלקח מתגית ה-HEAD של וורדפרס
企業用途の会員専用ページや社内ページなどでは「出力しない」、「TITLEタグのみ」で良いでしょう	במקרה של דפים המיועדים לשימוש ארגוני ופתוחים לחברים בלבד, וכן בדפים פנימיים, די בבחירת האפשרות "אל תציג" או "תגית TITLE בלבד".
WordpressのHEADタグから取得しないと、SNSのシェアでOGP画像が表示されません	אלא אם כן תשאב את המידע מתגית ה-HEAD של וורדפרס, תמונת ה-OGP לא תופיע בעת השיתוף ברשתות החברתיות
画像botをアクセス禁止にする	חסום את בוט התמונות
画像botをHTMLに対し避けることにより、画像検索から直接リンクされることによって守れなかったコンテンツを守ることができます、ただし完全には対処することはできません	על ידי מניעת גישתם של בוטים לתמונות לקוד HTML, ניתן להגן על תוכן שלא ניתן היה להגן עליו מפני קישור ישיר באמצעות חיפוש תמונות; עם זאת, אין בכך פתרון מקיף.
AI学習用botをアクセス禁止にする	חסום את הגישה לבוט האימון של ה-AI
AIの学習用のbotをHTMLに対し避けることにより、AIで利用されないようにします、ただし完全には対処することはできません	על ידי הימנעות משימוש בבוטים שנועדו לאימון בינה מלאכותית ב-HTML, אנו מבטיחים שהתוכן לא ינוצל על ידי בינה מלאכותית; עם זאת, לא ניתן למנוע זאת לחלוטין.
ウェブアーカイブ、ウェブ魚拓をアクセス禁止にする	חסום גישה לארכיוני אינטרנט ולתמונות מצב של אתרים
自動的に収集されるウェブアーカイブ並びにユーザーの任意で取得される魚拓のアクセスを禁止します、ただし完全には対処することはできません	אנו אוסרים על גישה לארכיוני אינטרנט שנאספו באופן אוטומטי ולצילומי מסך שצולמו על פי שיקול דעתו של המשתמש; עם זאת, איננו יכולים למנוע זאת לחלוטין.
無効なUAをアクセス禁止にする	חסימת סוכני משתמש לא חוקיים
ユーザーエイジェントの文字に不正な文字列があった場合のアクセスを避けます	מונע גישה אם מחרוזת סוכן המשתמש מכילה תווים לא חוקיים
Internet Explorerと旧Microsoft Edge(EdgeHTML)のアクセスに警告を表示する	הצג אזהרה בעת גישה ל-Internet Explorer ול-Microsoft Edge הישן
Internet Explorerと旧Microsoft Edgeのアクセスを避けます	מונע גישה באמצעות Internet Explorer ו-Microsoft Edge הישן
alertメッセージを表示する言語	השפה שבה מוצגות הודעות ההתראה
Wordpressの言語	שפות וורדפרס
ブラウザの設定言語	הגדרות שפת הדפדפן
メッセージをカスタム設定されている場合は言語を変更できません	לא ניתן לשנות את השפה אם ההודעות הותאמו אישית.
同意画面の言語	שפת מסך ההסכמה
view-sourceメッセージを表示する言語	השפה שבה יוצג ההודעה 'הצג מקור'
一時使用トークンの有効期限	תאריך התפוגה של האסימונים הזמניים
3分	3 דקות
4分	4 דקות
5分	5 דקות
6分	6 דקות
7分	7 דקות
8分	8 דקות
9分	9 דקות
10分	10 דקות
15分	15 דקות
20分	20 דקות
25分	25 דקות
30分	30 דקות
35分	35 דקות
40分	40 דקות
45分	45 דקות
50分	50 דקות
55分	55 דקות
1時間	שעה אחת
画像URL情報の有効期限を設定します	הגדר את תאריך התפוגה של פרטי כתובת ה-URL של התמונה
一度読み込まれると画像URL情報と一時使用トークンは無効化されます	לאחר הטעינה, כתובת ה-URL של התמונה והאסימון הזמני יבוטלו
画像は遅延読み込みされますが、この指定した時間の30秒前に強制的に画像が読み込まれます	התמונות נטענות לפי דרישה, אך הן יטענו באופן אוטומטי 30 שניות לפני השעה שצוינה.
一時使用トークンのビット数	מספר הסיביות באסימון זמני
画像URL情報を暗号化するのに一時使用トークンをパスワードとして使用しますが、その強度を指定します	אסימון זמני משמש כסיסמה להצפנת פרטי כתובת ה-URL של התמונה; הגדרה זו קובעת את רמת האבטחה שלו
ドロップダウンメニューの下に表示される選択肢にいくにつれて強度が強くなるものの、サーバーへの負荷が高くなり、HTML転送量が多くなることがあります	אף על פי שהאפשרויות המוצגות מתחת לתפריט הנפתח נעשות מפורטות יותר ויותר, הדבר עלול להטיל עומס כבד על השרת ולהביא להעברת כמות גדולה של נתוני HTML
ハッシュ化アルゴリズム	אלגוריתם חשיש
画像URL情報を暗号化するのに一時使用トークンをパスワードとして使用しますが、その時ハッシュ化が必要です、その強度を設定します	אסימון זמני משמש כסיסמה להצפנת פרטי כתובת ה-URL של התמונה; לשם כך נדרש תהליך חשיש, והגדרה זו קובעת את עוצמתו של תהליך החשיש.
ドロップダウンメニューの下に表示される選択肢にいくにつれて強度が強くなるものの、サーバーへの負荷が高くなります	אמנם העוצמה הולכת וגוברת ככל שמתקדמים במורד האפשרויות המוצגות בתפריט הנפתח, אך הדבר מטיל עומס כבד יותר על השרת
基本設定	הגדרות בסיסיות
高度な設定	הגדרות מתקדמות
初期設定に戻す	שחזור הגדרות ברירת המחדל
デザイン・音の設定	הגדרות עיצוב וצליל
イベントの設定	הגדרות האירוע
初回訪問時のお知らせの設定	הגדרת התראות לביקורים ראשונים
メッセージの設定	הגדרות הודעות
右クリックやソースコード表示時に転送する URL を設定します	הגדר את כתובת ה-URL שתיפתח בעת לחיצה ימנית או בעת הצגת קוד המקור
警告メッセージにはHTMLは使用できません	לא ניתן להשתמש ב-HTML בהודעות אזהרה
この画面で設定すると、高度な設定タブにある言語設定が無視されます	אם תגדיר זאת במסך זה, הגדרות השפה בכרטיסייה 'מתקדם' יוחלפו.
以下の文字列が使用できます	ניתן להשתמש במחרוזות הבאות
改行	מעבר שורה
押下されたキー	לחיצה על מקש
Neo HTML Protector 設定	הגדרות Neo HTML Protector
お知らせ	הודעה
メッセージ	הודעה
デザイン・音	עיצוב וסאונד
初期化	הפעלה
このプラグインについて	אודות תוסף זה
設定が初期化されました	ההגדרות אופסו
プラグインを初期化します なおIPログリーダーのデータはここでは削除されません	הפעל את התוסף. שימו לב: בשלב זה נתוני IP Log Reader לא יימחקו.
Neo HTML Protectorについて	אודות Neo HTML Protector
このプラグインはあなたのWordpressから出力されるHTMLや画像等を保護し、コンテンツの不正利用から守ることを目的としています。	תוסף זה נועד להגן על קוד ה-HTML, התמונות ותכנים אחרים שנוצרו על ידי אתר הוורדפרס שלכם, ולהגן עליהם מפני שימוש בלתי מורשה.
コンテンツを完璧に守ることはできません。しかし可能な限りの方法において警告し、もし何かがあった場合に備えて準備することにより国で定められている方法で解決することができるはずです。	אי אפשר להגן על תוכן באופן מוחלט. עם זאת, על ידי פרסום אזהרות בכל מקום אפשרי והיערכות למקרה שמשהו אכן יקרה, נוכל לטפל בעניין בהתאם לנהלים שקבעה הממשלה.
もちろん、利用規約やサイトポリシーを充実させる必要があります。このプラグインは利用規約生成アプリではありませんが、そのヒントを与えることができます。	כמובן, עליכם לוודא שתנאי השימוש ומדיניות האתר שלכם מפורטים ומקיפים. אמנם תוסף זה אינו כלי ליצירת תנאי שימוש, אך הוא יכול לספק לכם כמה קווים מנחים.
開発者: 夜桜　なの	מפתחת: Nano Yozakura
バージョン	גרסה
ビルド	לבנות
サポートページ	דף התמיכה
ISISちゃん	ISIS chan
Miss. 裏まにら氏歌唱	בביצועה של מיס אורה מנירה
支援のお願い	בקשה לתמיכה
Neo HTML Protectorをご利用いただき、ありがとうございます！	תודה על השימוש ב-Neo HTML Protector!
本プラグインの開発と維持には多くの時間と知恵の絞りだしがかかっており、引き続き改善と更新を行っていくための資金を集めるために、もしご支援いただける方がいれば、寄付をお願いできればと思います。	פיתוחו ותחזוקתו של תוסף זה דרשו זמן ומאמץ רב, וכדי לגייס כספים שיאפשרו לנו להמשיך לשפר ולעדכן אותו, נודה לכל מי שיכול לתמוך בנו אם ישקול לתרום.
寄付について	אודות תרומות
