設定	Жөндөөлөр
HTML保護時に一度限りの認証トークンが異常の場合に表示するメッセージ	HTML коргоо учурунда бир жолку аутентификация токени жараксыз болгондо көрсөтүлүүчү билдирүү
CookieやJavascriptが有効でない場合に表示するメッセージ	Эгерде cookie-файлдар же JavaScript өчүрүлгөн болсо, көрсөтүлө турган билдирүү
実際にはJavascriptが無効時のみ表示されます	Чындыгында, бул JavaScript өчүрүлгөндө гана көрсөтүлөт.
画像保護時に画像がダウンロードされ、その画像に表示するメッセージ 英語のみ	Сүрөт корголгондо, ал жүктөлүп, сүрөткө билдирүү көрсөтүлөт
HTML難読化 (圧縮)	HTMLди бурмалоо
一般的なHTML圧縮です、難読化解除のサイトもあります	Бул стандарттык HTML кысуу; аны декоддоого мүмкүнчүлүгү бар веб-сайттар да бар.
このオプションを有効にするとview-sourceのログが取得できます	Бул опцияны иштетүү view-source журналдарын алууга мүмкүндүк берет.
HTML保護	HTML коргоо
HTML圧縮以上に最小限のHTMLしか出力せず、BODYタグ内の内容が全く出力されなくなります	Ал HTMLдин эң минималдуу нускасын гана чыгарат — HTMLды кысуу колдонгондо чыккандан да азыраак — жана BODY тегиндеги мазмун такыр эле чыгарылбайт.
Firefoxに対しては無効です	Бул Firefoxке тиешелүү эмес.
SEOに著しく影響があります	Бул SEOга олуттуу таасир тийгизет.
HTMLをJavaScriptで描画	JavaScript аркылуу HTML түзүү
Firefox対策としてHTMLをJavaScriptで描画をします	Firefox'ту айланып өтүү үчүн биз HTMLди JavaScript аркылуу чыгарабыз.
JavaScript描画で有効にするとウェブサイトの表示速度が著しく遅くなります	JavaScriptти иштетүү веб-сайттын жүктөлүү ылдамдыгын олуттуу жайлатат.
画像の保護	Сүрөттү коргоо
imgタグが呼び出されるごとに画像を保護	Img теги чакырылган сайын сүрөттү коргоңуз
出力される全HTMLのうち、Wordpressにアップロードされた画像をすべて保護	WordPressке жүктөлгөн бардык сүрөттөрдү бүт HTML чыгарылышында коргоңуз.
画像をダウンロードから保護します	Сүрөттөрдүн жүктөлүп алынышын алдын алат
画像データを保護した時にはほぼ完全なるダウンロードを阻止し、完全なるワンタイムURLを発行し、セッションに保存されたトークンで認証し、phpから画像を表示します、その為ほぼ完全な画像盗用を防ぎます	Сүрөт маалыматтары корголгондо, биз дээрлик бардык жүктөөлөрдү бөгөттөйбүз, уникалдуу бир жолу колдонулуучу URL-дарды беребиз, сеанска сакталган токендерди колдонуп аутентификация жүргүзөбүз жана сүрөттөрдү PHP аркылуу көрсөтөбүз; бул сүрөттөрдү уурдоонун дээрлик бардык учурларын натыйжалуу алдын алат.
画像データを保護した時には画像のキャッシュが効かないため、次回訪問時にサイトの読み込みが遅くなるため、SEOに影響があります	Сүрөт маалыматтары корголгондо кэширлөө иштебейт, демек сайт кийинки кирүүлөрдө жайыраак ачылып, бул SEOга таасир этет.
画像データを保護した時には、データベースの負荷が高くなる可能性があります	Сүрөт маалыматтарын коргоо маалымат базасына түшүүчү жүктү көбөйтүшү мүмкүн.
「imgタグが呼び出されるごとに画像を保護」の場合は、add_filterを使用し、imgタグの発行時にフィルタリングを行います、テーマによっては正しく動作しません	Эгерде сиз «img теги чакырылган сайын сүрөттөрдү коргоо» опциясын тандасаңыз, система img теги түзүлгөндө add_filter функциясын колдонуп фильтрлөөнү ишке ашырат; бирок бул айрым темаларда туура иштебеши мүмкүн.
「出力される全HTMLのうち、Wordpressにアップロードされた画像をすべて保護」の場合は、Wordpressのほぼすべての動作をキャプチャし、コンテンツ内のimgタグについてすべて処理します。テーマによっては正しく動作しません	Эгерде сиз «Бүткүл HTML чыгарылышында WordPressке жүктөлгөн бардык сүрөттөрдү коргоо» опциясын тандасаңыз, плагин дээрлик бардык WordPress операцияларын камтып, мазмундагы ар бир img тегин иштетет. Кээ бир темаларда бул туура иштебеши мүмкүн экенин эсиңизде болсун.
なお、アイキャッチに指定した画像はOGPとして拡散されますので保護できません。どうしても保護すべき場合は高度な設定でHTML保護時のHEADタグの出力の選択を変更してください	Маалымат үчүн: «Featured Images» катары белгиленген сүрөттөр OGP маалыматы катары бөлүшүлөт жана коргоого алынбайт. Эгер аларды сөзсүз коргошуңуз келсе, HTML коргоону күйгүзүүдө Жогорку жөндөөлөрдө HEAD тегинин чыгарылышын жөндөп коюңуз.
OS標準搭載のスクリーンショット機能を保護することはできません	Операциялык системанын стандарттык түзүмүнө киргизилген скриншот функциясын коргоого болбойт.
画像URLの保護	Сүрөттөрдүн URL даректерин коргоо
画像の保護と組み合わせて使用します、単体では意味がありません	Бул сүрөттү коргоо менен бирге колдонулушу керек; өз алдынча ал эч кандай максатты көздөбөйт.
JavaScriptにより遅延読まれますのでSEOに影響があります	Ал JavaScript аркылуу жалкоо жүктөлгөндүктөн, бул SEOга таасир этет.
画像のウォーターマーク	Сүрөттүн суу белгиси
右下	оң ылдый
ランダム位置	Кездейсоқ орун
画像の保護と組み合わせて使用します、動的な透かしで著作権を明示しつつ、閲覧者に監視されている印象を与え抑止力を高めます	Сүрөттү коргоо менен бирге колдонулганда, динамикалык суу белгилери автордук укук ээсин так көрсөтүп, көрүүчүлөргө көзөмөлдөнүп жаткандай таасир берип, аларды мыйзамсыз аракеттерден алыс кармап турат.
JPG形式、PNG形式、WebP形式のみ対応します	Жөн гана JPG, PNG жана WebP форматтары колдоого алынат.
有効にするとサーバーの負荷が高くなります	Муну иштетүү серверге түшүүчү жүктү көбөйтөт.
HTML難読化・保護時のHTMLソースコードのアスキーアートの出力	HTML булак кодун бурмалоо жана коргоо учурунда ASCII-сүрөттөрдү чыгаруу
表示なし	Экран жок
view-sourceでHTMLソース表示をした時に警告の意思を示すアスキーアートを表示します	View-source аркылуу HTML булагын карап жатканда эскертүү көрсөтүүчү ASCII-артты көрсөтөт
対象アクションを起こした時の表示デザイン	Максаттуу аракет аткарылганда дисплей дизайнын көрсөтүү
黄色の背景の黒文字のベーシックデザイン	Сары фондо кара текст менен жөнөкөй дизайн
黒色の背景の赤文字のホラー風デザイン	Кара фондо кызыл текст менен коркунучтуу стилдеги дизайн
黒色の背景の赤文字の光る文字のデザイン	Кара фондо кызгылт-кызыл текст менен жасалган дизайн
対象アクションを起こした時のBGM	Максаттуу аракет аткарылганда ойнолуучу фондук музыка
サウンドなし	Үн жок
戦闘＆戦闘勝利 - 1分16.3秒 - 630,056bytes - 64kbps - ライセンス：CC2.1 or later	Согуш жана Жеңиш - 1 мүнөт 16,3 секунд - 630 056 байт - 64 кбит/с - Лицензия: CC 2.1 же андан кийинки
おやじ ショート - 3.8秒 - 32,364bytes - 64kbps - ライセンス GPL2.0 or later (C)EJ	Dad Short - 3,8 секунд - 32 364 байт - 64 кбит/с - Лицензия: GPL 2.0 же андан кийинки
おやじ ロング - 23.5秒 - 195,578bytes - 64kbps - ライセンス GPL2.0 or later (C)EJ	Oyaji Long - 23,5 секунд - 195 578 байт - 64 кбит/с - Лицензия: GPL 2.0 же андан кийинки
ショパン エチュード Op.10-5 黒鍵 打ち込み版 高速版 - 1分0.0秒 - 369,778bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	Шопен Этюд Op. 10 № 5
ショパン エチュード Op.10-12 革命 打ち込み版 高速版 - 1分57.6秒 - 724,457bytes - 48kbps -  ライセンス：CC BY-ND 4.0 or later	Шопен Этюд Op. 10 №12 «Революция» – компьютердик түзүлгөн версия, жогорку ылдамдыктагы версия – 1 мүнөт 57,6 секунд – 724 457 байт – 48 кбит/с – Лицензия: CC BY-ND 4.0 же андан кийинки
ショパン スケルツォ 変ロ短調 Op2 打ち込み版 高速短縮版 - 1分48.0秒 - 665,369bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	Шопен: Си-бемол минордогу Шерцо, опус 2 – компьютер тарабынан түзүлгөн версия, жогорку ылдамдыктагы кыскартылган версия – 1 мүнөт 48,0 секунд – 665 369 байт – 48 кбит/с – Лицензия: CC BY-ND 4.0 же андан кийинки
リスト 超絶技巧練習曲 4番 マゼッパ 打ち込み版 高速短縮版 - 1分51.6秒 - 687,586bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	Тизме: Étude d'Exécution Transcendante № 4, «Mazeppa» – компьютерде түзүлгөн версия, жогорку ылдамдыктагы кыскартылган версия – 1 мүнөт 51,6 секунд – 687 586 байт – 48 кбит/с – Лицензия: CC BY-ND 4.0 же андан кийинки
ファンファーレ - 22.3秒 - 183,926bytes - 64kbps - ライセンス：パブリックドメイン	Фанфар – 22,3 секунд – 183 926 байт – 64 кбит/с – Лицензия: Коомдук домен
レトロ風ファンファーレ - 2.2秒 - 10,536bytes - 32kbps - ライセンス：パブリックドメイン	Ретро стилиндеги фанфар – 2,2 секунд – 10 536 байт – 32 кбит/с – Лицензия: Коомдук домен
レトロ風オープン - 42.1秒 - 179,138bytes - 32kbps - ライセンス：パブリックドメイン	Ретро стилдеги кириш – 42,1 секунд – 179 138 байт – 32 kbps – Лицензия: Коомдук менчик
警告 by ChatGPT - 3.8秒 - 109,700bytes - 256kbps - ライセンス：パブリックドメイン	ChatGPT тарабынан эскертүү - 3,8 секунд - 109 700 байт - 256 кбит/с - Лицензия: Коомдук домен
マルウェア検出みたいな緊急感の高い音 その１ by ChatGPT - 3.3秒 - 102,850bytes - 256kbps - ライセンス：パブリックドメイン	Жогорку шашылыштыктагы, зыяндуу программаны аныктоо эскертүүсү сыяктуу үн – 1-бөлүк, ChatGPT тарабынан – 3,3 секунд – 102 850 байт – 256 кбит/с – Лицензия: Коомдук домен
マルウェア検出みたいな緊急感の高い音 その２ by ChatGPT - 3.3秒 - 103,122bytes - 256kbps - ライセンス：パブリックドメイン	Жогорку шашылыштыктагы, зыяндуу программаны аныктоо эскертүүсүнө окшош үн, 2-бөлүк, ChatGPT тарабынан - 3,3 секунд - 103 122 байт - 256 кбит/с - Лицензия: Коомдук домен
MRI風サウンド by ChatGPT - 1分14.9秒 - 3,340,392bytes - 320kbps - ライセンス：パブリックドメイン	ChatGPT тарабынан жаралган МРТ стилиндеги үн – 1 мүнөт 14,9 секунд – 3 340 392 байт – 320 kbps – Лицензия: Коомдук домен
警告表示中のBGMを選択します	Эскертүү учурунда ойнотулуучу фондук музыканы тандаңыз
びっくりするような雰囲気を作ります	Ал таң калыштуу атмосфераны жаратат
Firefoxでは音声ブロックされます	Firefox'то аудио бөгөлгөн
対象アクションを起こした時のビープ音	Көрсөтүлгөн аракет аткарылганда бип үн чыгат
有効 音量小さ目	Күйгүзүлгөн, үнү төмөн
有効 音量大き目	Иштеп жатат, үнү жогору
警告表示中にすべてのキー・マウスイベントでビープ音を鳴らします	Эскертүү көрсөтүлүп турган учурда бардык клавиатура жана чычкан окуялары үчүн бип үнү угулат.
警告表示中に端末が暴走したかのような雰囲気を作ります	Эскертүү көрсөтүлүп турганда түзмөк көзөмөлдөн чыгып кеткендей таасир калтырат.
対象アクションを起こした時のマウスカーソルの消去	Белгилүү бир аракет аткарылганда чычкан курсорун жашыруу
警告表示中にブラウザのエリアのマウスカーソルを消去します	Эскертүү көрсөтүлүп турган учурда браузер аймагында чычкан курсорун жашырат.
デバッグモード	Каталарды оңдоо режими
妨害＋記録のみ	Тоскоолдук + Жолдомолор гана
妨害＋記録＋表示＋リダイレクト	Бөгөттөө + Каттоо + Көрсөтүү + Багыттоону өзгөртүү
メニューからは操作できてしまいます	Сиз ага меню аркылуу дагы деле кире аласыз.
Firefoxにおけるデバッグモード	Firefoxтун каталарды оңдоо режими
ブラウザーコンソール	Браузер консолу
事実上デバッグモードから操作できてしまいます	Чындыгында, аны debug режиминен иштете аласыз.
HTMLソース表示	HTML булагын көрүү
view-source:から始まるURLを入力すれば操作できてしまいます	Сиз 'view-source:' менен башталган URL дарегин киргизүү менен операцияны жөн эле аткара аласыз.
HTML保護と組み合わせることでコンテンツを保護することができます	Сиз бул ыкманы HTML коргоосу менен айкалыштырып, мазмунуңузду коргой аласыз.
印刷	Басып чыгаруу
印刷阻止をするもものの、ブラウザによってはうまく動作しません	Бул басып чыгарууну бөгөттөсө да, айрым браузерлерде туура иштебеши мүмкүн.
スクリーンショット	Экрандын сүрөтү
OSやブラウザ、方法によっては妨害できず、もしくは検出しないことがあります	Колдонулган операциялык системага, браузерге же ыкмага жараша, бул бөгөттөлбөй калышы же аны аныктоо мүмкүн болбошу мүмкүн.
ウインドウが背面に移動した時スクリーンショットの疑い	Терезе арткы планга өткөндө шектүү скриншот
あわせて、スクリーンショット以外の機能（タブ切り替え・ウィンドウ切り替え）にも反応してしまいます。	Ал скриншоттордон тышкары
2キー押下のスクリーンショットの疑い	Эки баскычты бир эле учурда басуу менен алынган деп шектелген скриншот
上の項目の検出方法は完全ではありません、予防的に検出を行います	Жогорудагы нерселерди аныктоонун ыкмалары толук ишенимдүү эмес; аныктоо алдын алуу чарасы катары жүргүзүлөт.
スクリーンショットだけではなく、デバッグモード等も検出します	Ал скриншотторду гана эмес, ошондой эле дебаг режимдерин жана окшош нерселерди да аныктайт.
ページ保存	Бетти сактоо
右クリック	оң чыкылдатуу
アドオンがインストールされていると操作できてしまいます	Эгер кошумча орнотулган болсо, аны колдоно аласыз.
コピー・カット	Көчүрүү жана кесүү
本プラグインの設定によってはこのイベントにたどり着くことはほとんどない場合があります	Бул плагиндин жөндөөлөрүнө жараша, сиз бул окуяга сейрек эле туш болушуңуз мүмкүн.
テキスト全選択	Бардык текстти тандаңыз
テキスト選択	Текстти тандаңыз
デバッガー起動ログ、デバッガー妨害	Дебаггердин баштапкы журналдары, дебаггердин кийлигишүүсү
デバッグモードの使い勝手を少し悪くし、デバッガを起動したことをログに残します、ブラウザによってはこの挙動が止められてしまいます	Бул debug режимин бир аз колдонуучуга ыңгайлуу эмес кылып, дебаггер ишке киргизилгенин каттайт; бирок кээ бир браузерлер бул жүрүм-турумду бөгөттөй алат.
リダイレクトするURL	URLди багыттоо
利用規約などのページに転送すると良いでしょう	Колдонуучуларды Пайдалануу шарттары сыяктуу баракчаларга багыттоо жакшы идея болмок.
空欄にすると元のURLにリダイレクトをします	Эгер бош калтырылса, ал түпнуска URLга багыттайт.
リダイレクトまでの時間	Багыттоого чейин калган убакыт
リダイレクトなし	Жөнөтүү жок
1秒	1 секунд
2秒	2 секунд
3秒	3 секунд
4秒	4 секунд
5秒	5 секунд
6秒	6 секунд
7秒	7 секунд
8秒	8 секунд
9秒	9 секунд
10秒	10 секунд
15秒	15 секунд
20秒	20 секунд
25秒	25 секунд
30秒	30 секунд
35秒	35 секунд
40秒	40 секунд
45秒	45 секунд
50秒	50 секунд
55秒	55 секунд
1分	1 мүнөт
1分10秒	1 мүнөт 10 секунд
1分20秒	1 мүнөт 20 секунд
1分30秒	1 мүнөт 30 секунд
1分40秒	1 мүнөт 40 секунд
1分50秒	1 мүнөт 50 секунд
2分	2 мүнөт
ソース表示を許可する権限	Булак кодун көрүүгө уруксат
ADMINログイン時のみ通常のソース出力	Кадимки булак чыгышы ADMIN катары киргенде гана иштейт
USERログインで通常のソース出力	Колдонуучу катары киргенде нормалдуу булак чыгышы
通常のHTML出力を管理者のみかユーザーログインかを選択します	Стандарттык HTML чыгарууну администраторлорго гана чектөө же колдонуучунун кирүүсүн талап кылууну тандаңыз.
画像を無理やりダウンロードして実際にダウンロードされるもの	Сүрөттү мажбурлап жүктөө жана чындап эле эмне жүктөлүп жатканы
GIF形式で1×1ピクセルの透過画像	GIF форматындагы 1×1 пикселден турган тунук сүрөт
PNG形式で1×1ピクセルの透過画像	PNG форматындагы 1×1 пикселден турган тунук сүрөт
PNG形式で黄色い背景の警告画面	PNG форматындагы сары фондуу эскертүү экраны
意味のないHTMLドキュメント	Маанисиз HTML документ
HTML保護時のHEADタグの出力	HTML корголгондо HEAD тегинин чыгарылышы
出力しない	Басып чыгарба
TITLEタグのみ	Жалаң TITLE теги гана
WordpressのHEADタグより取得	WordPress HEAD тегинен алынды
企業用途の会員専用ページや社内ページなどでは「出力しない」、「TITLEタグのみ」で良いでしょう	Корпоративдик колдонуу үчүн мүчөлөргө гана арналган барактар жана ички барактар үчүн «Чыгарбоо» же «Жөн гана TITLE теги» опциясын тандап коюу жетиштүү.
WordpressのHEADタグから取得しないと、SNSのシェアでOGP画像が表示されません	Эгерде сиз WordPress HEAD тегинен маалыматты албасаңыз, социалдык тармактарда бөлүшкөндө OGP сүрөтү көрүнбөйт.
画像botをアクセス禁止にする	Сүрөт ботун бөгөттөңүз
画像botをHTMLに対し避けることにより、画像検索から直接リンクされることによって守れなかったコンテンツを守ることができます、ただし完全には対処することはできません	Сүрөт боттордун HTMLге кирүүсүнө бөгөт коюп, сүрөт издөө аркылуу түз шилтеме берүүдөн корголо албаган мазмунду сактай аласыз; бирок бул толук ишенимдүү чечим эмес.
AI学習用botをアクセス禁止にする	Жасалма интеллектти окутуу ботуна кирүүнү бөгөттөө
AIの学習用のbotをHTMLに対し避けることにより、AIで利用されないようにします、ただし完全には対処することはできません	HTMLде жасалма интеллектти окутуу үчүн иштелип чыккан ботторду колдонбоо аркылуу биз мазмундун жасалма интеллект тарабынан пайдаланылбашын камсыздайбыз; бирок муну толук алдын алуу мүмкүн эмес.
ウェブアーカイブ、ウェブ魚拓をアクセス禁止にする	Веб-архивдерге жана веб-сүрөттөргө кирүүнү бөгөт коюңуз
自動的に収集されるウェブアーカイブ並びにユーザーの任意で取得される魚拓のアクセスを禁止します、ただし完全には対処することはできません	Биз колдонуучунун чечими менен автоматтык түрдө чогултулган веб-архивдерге жана скриншотторго кирүүгө тыюу салабыз; бирок муну толугу менен алдын ала албайбыз.
無効なUAをアクセス禁止にする	Жараксыз колдонуучу агенттерин бөгөт коюңуз
ユーザーエイジェントの文字に不正な文字列があった場合のアクセスを避けます	Эгер колдонуучу агент катары жиберилген сап жараксыз белгилерди камтыса, кирүүгө тыюу салынат.
Internet Explorerと旧Microsoft Edge(EdgeHTML)のアクセスに警告を表示する	Internet Explorerге жана эски Microsoft Edgeге
Internet Explorerと旧Microsoft Edgeのアクセスを避けます	Internet Explorer жана эски Microsoft Edge аркылуу кирүүгө бөгөт коёт.
alertメッセージを表示する言語	Эскертүү билдирүүлөрү көрсөтүлгөн тил
Wordpressの言語	WordPress тилдери
ブラウザの設定言語	Көрсөткүчтүн тил жөндөөлөрү
メッセージをカスタム設定されている場合は言語を変更できません	Эгерде билдирүүлөр ыңгайлаштырылган болсо, тилди өзгөртө албайсыз.
同意画面の言語	Макулдук экранынын тили
view-sourceメッセージを表示する言語	«view-source» билдирүүсүн көрсөтө турган тил
一時使用トークンの有効期限	Убактылуу токендердин жарактуулук мөөнөтү
3分	3 мүнөт
4分	4 мүнөт
5分	5 мүнөт
6分	6 мүнөт
7分	7 мүнөт
8分	8 мүнөт
9分	9 мүнөт
10分	10 мүнөт
15分	15 мүнөт
20分	20 мүнөт
25分	25 мүнөт
30分	30 мүнөт
35分	35 мүнөт
40分	40 мүнөт
45分	45 мүнөт
50分	50 мүнөт
55分	55 мүнөт
1時間	1 саат
画像URL情報の有効期限を設定します	Сүрөт URL маалыматынын жарактуулук мөөнөтүн белгилеңиз
一度読み込まれると画像URL情報と一時使用トークンは無効化されます	Жүктөлгөндөн кийин сүрөттүн URL дареги жана убактылуу токен жараксыз болуп калат.
画像は遅延読み込みされますが、この指定した時間の30秒前に強制的に画像が読み込まれます	Сүрөттөр талап кылынганда жүктөлөт, бирок алар көрсөтүлгөн убакыттан 30 секунд мурун автоматтык түрдө жүктөлөт.
一時使用トークンのビット数	Убактылуу токендеги биттердин саны
画像URL情報を暗号化するのに一時使用トークンをパスワードとして使用しますが、その強度を指定します	Сүрөттүн URL маалыматын шифрлөө үчүн убактылуу токен сырсөз катары колдонулат; бул анын күчүн аныктайт.
ドロップダウンメニューの下に表示される選択肢にいくにつれて強度が強くなるものの、サーバーへの負荷が高くなり、HTML転送量が多くなることがあります	Түшмө менюнун астында көрсөтүлгөн параметрлер уламдан-улам деталдуу болуп баратса да, бул серверге оор жүк түшүрүп, көп көлөмдөгү HTML маалыматтын өткөрүлүшүнө алып келиши мүмкүн.
ハッシュ化アルゴリズム	Хеш алгоритми
画像URL情報を暗号化するのに一時使用トークンをパスワードとして使用しますが、その時ハッシュ化が必要です、その強度を設定します	Сүрөттүн URL маалыматын шифрлөө үчүн убактылуу токен сырсөз катары колдонулат; бул хэшлашты талап кылат, жана бул жөндөө ошол хэшлаштынын күчүн аныктайт.
ドロップダウンメニューの下に表示される選択肢にいくにつれて強度が強くなるものの、サーバーへの負荷が高くなります	Түшүрмө менюдагы опциялар тизмесинде ылдый жылган сайын интенсивдүүлүк өсөт, бирок бул серверге көбүрөөк жүк түшүрөт.
基本設定	Негизги жөндөөлөр
高度な設定	Жогорку жөндөөлөр
初期設定に戻す	Стандарттык жөндөөлөрдү калыбына келтирүү
デザイン・音の設定	Дизайн жана үн жөндөөлөрү
イベントの設定	Иш-чаранын жөндөөлөрү
初回訪問時のお知らせの設定	Биринчи жолу кирүүлөр үчүн билдирүүлөрдү орнотуу
メッセージの設定	Хабардын жөндөөлөрү
右クリックやソースコード表示時に転送する URL を設定します	Оң жакты чыкылдатып же булак кодун карап жатканда багытталуучу URL дарегин орнотуңуз.
警告メッセージにはHTMLは使用できません	Эскертүү билдирүүлөрүндө HTML колдонууга болбойт.
この画面で設定すると、高度な設定タブにある言語設定が無視されます	Эгер бул экранда муну орнотуп койсоңуз, Жеткирилген
以下の文字列が使用できます	Төмөнкү саптарды колдонсо болот
改行	Жолдун сынуусу
押下されたキー	Баскыч басылды
Neo HTML Protector 設定	Neo HTML коргоочусунун жөндөөлөрү
お知らせ	Эскертүү
メッセージ	Хабар
デザイン・音	Дизайн жана үн
初期化	Баштапкы орнотуу
このプラグインについて	Бул плагин жөнүндө
設定が初期化されました	Жөндөөлөр калыбына келтирилди
プラグインを初期化します なおIPログリーダーのデータはここでは削除されません	Плагинді инициализациялаңыз. Бул этапта IP Log Reader маалыматтары өчүрүлбөйт.
Neo HTML Protectorについて	Neo HTML Protector жөнүндө
このプラグインはあなたのWordpressから出力されるHTMLや画像等を保護し、コンテンツの不正利用から守ることを目的としています。	Бул плагин WordPress сайтыңыз тарабынан түзүлгөн HTMLди, сүрөттөрдү жана башка мазмунду уруксатсыз колдонуудан коргоо үчүн иштелип чыккан.
コンテンツを完璧に守ることはできません。しかし可能な限りの方法において警告し、もし何かがあった場合に備えて準備することにより国で定められている方法で解決することができるはずです。	Мазмунду толук коргоо мүмкүн эмес. Бирок мүмкүн болгон бардык жерде эскертүүлөрдү берип, эгерде бир нерсе болуп калса даярдык көрүү менен биз бул маселени өкмөт белгилеген тартипке ылайык чече алабыз.
