設定	सेटिङहरू
同意しなかった時に画面遷移する検索エンジンなどのURLを設定します	सन्धि नदिइएमा प्रयोगकर्ताहरूलाई पुनर्निर्देशित गर्ने खोज इन्जिनहरू र यस्तै साइटहरूको URL सेट गर्नुहोस्।
デバッグモード、コンソールの警告メッセージ	डिबग मोड, कन्सोल चेतावनी सन्देशहरू
右クリックの警告メッセージ	दायाँ-क्लिक चेतावनी सन्देश
印刷、PDF保存の警告メッセージ	PDF मा प्रिन्ट र सेभ गर्ने सम्बन्धी चेतावनी सन्देश
スクリーンショットの警告メッセージ	स्क्रिनशटमा चेतावनी सन्देश
スクリーンショットの疑いの警告メッセージ	शंकास्पद स्क्रिनसटहरू सम्बन्धी चेतावनी सन्देश
テキスト全選択時の警告メッセージ	सबै पाठ चयन हुँदा चेतावनी सन्देश
ページ保存の警告メッセージ	पृष्ठ सुरक्षित गर्ने सम्बन्धी चेतावनी सन्देश
コピー・カットした時に表示するメッセージ	कपी वा कट गर्दा देखाइने सन्देश
HTMLソース表示時に表示するメッセージ	HTML स्रोत हेर्दा देखाइने सन्देश
HTML難読化・保護時にソースの先頭に表示するメッセージ	HTML लाई अस्पष्ट बनाउँदा वा सुरक्षा गर्दा स्रोत कोडको शीर्षमा देखाउनका लागि सन्देश
HTML保護時に一度限りの認証トークンが異常の場合に表示するメッセージ	HTML सुरक्षाको क्रममा एक-पटकको प्रमाणीकरण टोकन अमान्य भएमा देखाइने सन्देश
CookieやJavascriptが有効でない場合に表示するメッセージ	कुकीज वा जाभास्क्रिप्ट असक्षम गरिएको खण्डमा देखाइने सन्देश
実際にはJavascriptが無効時のみ表示されます	वास्तवमा, यो तब मात्र देखाइन्छ जब जाभास्क्रिप्ट अक्षम गरिएको हुन्छ।
画像保護時に画像がダウンロードされ、その画像に表示するメッセージ 英語のみ	जब कुनै छवि सुरक्षित गरिन्छ, यो डाउनलोड हुन्छ र सो छविमा एउटा सन्देश देखाइन्छ
HTML難読化 (圧縮)	HTML अस्पष्टीकरण
一般的なHTML圧縮です、難読化解除のサイトもあります	यो मानक HTML कम्प्रेशन हो; यसलाई डिकोड गर्न सक्ने वेबसाइटहरू पनि छन्।
このオプションを有効にするとview-sourceのログが取得できます	यो विकल्प सक्षम गर्दा तपाईंले भ्यू-सोर्स लग प्राप्त गर्न सक्नुहुन्छ।
HTML保護	HTML सुरक्षा
HTML圧縮以上に最小限のHTMLしか出力せず、BODYタグ内の内容が全く出力されなくなります	यसले केवल न्यूनतम HTML मात्र आउटपुट गर्छ—HTML कम्प्रेसन प्रयोग गर्दा भन्दा पनि कम—र BODY ट्यागभित्रको सामग्री बिलकुलै आउटपुट हुँदैन।
Firefoxに対しては無効です	यो फायरफक्समा लागू हुँदैन।
SEOに著しく影響があります	यसले एसईओमा महत्वपूर्ण प्रभाव पार्छ।
HTMLをJavaScriptで描画	जाभास्क्रिप्ट प्रयोग गरेर HTML रेन्डरिङ
Firefox対策としてHTMLをJavaScriptで描画をします	Firefox लाई बाइपास गर्न, हामी JavaScript प्रयोग गरेर HTML रेंडर गर्छौं।
JavaScript描画で有効にするとウェブサイトの表示速度が著しく遅くなります	जाभास्क्रिप्ट रेंडरिंग सक्षम गर्दा वेबसाइटको लोडिङ गतिमा उल्लेखनीय ढिलाइ हुनेछ।
画像の保護	छवि संरक्षण
imgタグが呼び出されるごとに画像を保護	Img ट्याग प्रत्येक पटक बोलाउँदा छवि सुरक्षित गर्नुहोस्।
出力される全HTMLのうち、Wordpressにアップロードされた画像をすべて保護	सम्पूर्ण HTML आउटपुटभित्र WordPress मा अपलोड गरिएका सबै छविहरू सुरक्षित गर्नुहोस्।
画像をダウンロードから保護します	छविहरू डाउनलोड हुनबाट जोगाउँछ
画像データを保護した時にはほぼ完全なるダウンロードを阻止し、完全なるワンタイムURLを発行し、セッションに保存されたトークンで認証し、phpから画像を表示します、その為ほぼ完全な画像盗用を防ぎます	जब छवि डेटा सुरक्षित गरिन्छ, हामी डाउनलोडहरू लगभग पूर्ण रूपमा रोक्छौं, अद्वितीय एकपटक प्रयोग गर्न मिल्ने URL हरू जारी गर्छौं, सत्रमा भण्डारण गरिएका टोकनहरू प्रयोग गरी प्रमाणीकरण गर्छौं, र PHP मार्फत छविहरू प्रदर्शन गर्छौं; यसले प्रभावकारी रूपमा छवि चोरी रोक्छ।
画像データを保護した時には画像のキャッシュが効かないため、次回訪問時にサイトの読み込みが遅くなるため、SEOに影響があります	जब छवि डेटा सुरक्षित गरिन्छ, क्यासिङले काम गर्दैन, जसको अर्थ हो कि साइट पछिल्ला भ्रमणहरूमा ढिलो लोड हुनेछ, जसले एसईओमा असर पार्छ।
画像データを保護した時には、データベースの負荷が高くなる可能性があります	छवि डेटा सुरक्षित गर्दा डेटाबेसमा लोड बढ्न सक्छ।
「imgタグが呼び出されるごとに画像を保護」の場合は、add_filterを使用し、imgタグの発行時にフィルタリングを行います、テーマによっては正しく動作しません	यदि तपाईंले 'जब पनि img ट्याग बोलाइन्छ तब छविहरू सुरक्षित गर' चयन गर्नुभयो भने, प्रणालीले img ट्याग उत्पन्न हुँदा फिल्टरिङ लागू गर्न add_filter प्रयोग गर्छ; यद्यपि, केही थिमहरूसँग यो ठीकसँग काम नगर्न सक्छ।
「出力される全HTMLのうち、Wordpressにアップロードされた画像をすべて保護」の場合は、Wordpressのほぼすべての動作をキャプチャし、コンテンツ内のimgタグについてすべて処理します。テーマによっては正しく動作しません	यदि तपाईंले 'सम्पूर्ण HTML आउटपुटभित्र WordPress मा अपलोड गरिएका सबै छविहरू सुरक्षित गर्नुहोस्' चयन गर्नुभयो भने, प्लगइनले लगभग सबै WordPress क्रियाकलापहरू समात्नेछ र सामग्रीभित्रको प्रत्येक img ट्याग प्रशोधन गर्नेछ। कृपया ध्यान दिनुहोस् कि यो केही थिमहरूसँग ठीकसँग काम नगर्न सक्छ।
なお、アイキャッチに指定した画像はOGPとして拡散されますので保護できません。どうしても保護すべき場合は高度な設定でHTML保護時のHEADタグの出力の選択を変更してください	कृपया ध्यान दिनुहोस् कि विशेष छविहरू भनेर तोकिएका छविहरू OGP डेटाको रूपमा साझा गरिनेछन् र सुरक्षित गर्न सकिँदैनन्। यदि तपाईंले तिनीहरूलाई अवश्य सुरक्षित गर्नैपर्छ भने, HTML सुरक्षा सक्षम गर्दा उन्नत सेटिङहरूमा HEAD ट्याग आउटपुटको सेटिङ परिवर्तन गर्नुहोस्।
OS標準搭載のスクリーンショット機能を保護することはできません	अपरेटिङ सिस्टममा निर्मित स्क्रिनशट कार्यलाई सुरक्षित गर्न सकिँदैन।
画像URLの保護	छवि URL हरूको सुरक्षा
画像の保護と組み合わせて使用します、単体では意味がありません	यसलाई छवि सुरक्षासँगै प्रयोग गर्नुपर्छ; आफैंमा यसको कुनै उद्देश्य छैन।
JavaScriptにより遅延読まれますのでSEOに影響があります	किनकि यो जाभास्क्रिप्टमार्फत सुस्त रूपमा लोड गरिन्छ, यसले SEO मा असर पार्छ।
画像のウォーターマーク	छवि वाटरमार्क
右下	तल्लो दायाँ
ランダム位置	अनियमित स्थिति
画像の保護と組み合わせて使用します、動的な透かしで著作権を明示しつつ、閲覧者に監視されている印象を与え抑止力を高めます	छवि संरक्षणसँगै प्रयोग गर्दा, गतिशील वाटरमार्कहरूले प्रतिलिपि अधिकारको स्वामित्व स्पष्ट रूपमा देखाउँछन् र दर्शकहरूलाई उनीहरूको निगरानी भइरहेको अनुभूति दिन्छन्, जसले निवारकको रूपमा काम गर्छ।
JPG形式、PNG形式、WebP形式のみ対応します	केवल JPG, PNG र WebP ढाँचाहरू समर्थित छन्।
有効にするとサーバーの負荷が高くなります	यसलाई सक्षम गर्दा सर्भरमा लोड बढ्नेछ।
HTML難読化・保護時のHTMLソースコードのアスキーアートの出力	अस्पष्टीकरण र सुरक्षाको क्रममा HTML स्रोत कोडबाट ASCII कला उत्पादन
表示なし	प्रदर्शन छैन
view-sourceでHTMLソース表示をした時に警告の意思を示すアスキーアートを表示します	'view-source' प्रयोग गरेर HTML स्रोत हेर्दा चेतावनी जनाउने ASCII कला प्रदर्शन गर्दछ।
対象アクションを起こした時の表示デザイン	लक्ष्य कार्य पूरा हुँदा डिजाइन प्रदर्शन गर्नुहोस्
黄色の背景の黒文字のベーシックデザイン	पहेंलो पृष्ठभूमिमा कालो अक्षर भएको एक आधारभूत डिजाइन
黒色の背景の赤文字のホラー風デザイン	कालो पृष्ठभूमिमा रातो अक्षर भएको हरर शैलीको डिजाइन
黒色の背景の赤文字の光る文字のデザイン	कालो पृष्ठभूमिमा चम्किलो रातो अक्षर भएको डिजाइन
対象アクションを起こした時のBGM	लक्ष्य कार्य पूरा हुँदा बजाइने पृष्ठभूमि संगीत
サウンドなし	ध्वनि छैन
戦闘＆戦闘勝利 - 1分16.3秒 - 630,056bytes - 64kbps - ライセンス：CC2.1 or later	लडाइँ र विजय - १ मिनेट १६.३ सेकेन्ड - ६३०,०५६ बाइट्स - ६४ केबीपीएस - लाइसेन्स: CC 2.1 वा पछिल्लो
おやじ ショート - 3.8秒 - 32,364bytes - 64kbps - ライセンス GPL2.0 or later (C)EJ	बुबा छोटो - ३.८ सेकेन्ड - ३२,३६४ बाइट्स - ६४ केबीपीएस - इजाजतपत्र: GPL 2.0 वा पछिल्लो
おやじ ロング - 23.5秒 - 195,578bytes - 64kbps - ライセンス GPL2.0 or later (C)EJ	ओयाजी लङ - २३.५ सेकेन्ड - १९५,५७८ बाइट्स - ६४ केबीपीएस - लाइसेन्स: GPL 2.0 वा पछिको
ショパン エチュード Op.10-5 黒鍵 打ち込み版 高速版 - 1分0.0秒 - 369,778bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	चोपिन एट्यूड ओपस १० नं. ५
ショパン エチュード Op.10-12 革命 打ち込み版 高速版 - 1分57.6秒 - 724,457bytes - 48kbps -  ライセンス：CC BY-ND 4.0 or later	चोपिन एट्यूड ओपस १० नं. १२ 'क्रान्ति' – कम्प्युटर-उत्पादित संस्करण, उच्च-गतिको – १ मिनेट ५७.६ सेकेन्ड – ७२४,४५७ बाइट्स – ४८ केबीपीएस – लाइसेन्स: CC BY-ND 4.0 वा पछिल्लो
ショパン スケルツォ 変ロ短調 Op2 打ち込み版 高速短縮版 - 1分48.0秒 - 665,369bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	चोपिन: बी फ्लैट माइनरमा स्केर्जो, ओपस २ – कम्प्युटर-उत्पादित संस्करण, उच्च-गतिको संक्षिप्त संस्करण – १ मिनेट ४८.० सेकेन्ड – ६६५,३६९ बाइट्स – ४८ केबीपीएस – लाइसेन्स: CC BY-ND 4.0 वा पछिल्लो
リスト 超絶技巧練習曲 4番 マゼッパ 打ち込み版 高速短縮版 - 1分51.6秒 - 687,586bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	सूची: Étude d'Exécution Transcendante नं. ४, 'Mazeppa' – कम्प्युटर-उत्पादित संस्करण, उच्च-गति संक्षिप्त संस्करण – १ मिनेट ५१.६ सेकेन्ड – ६८७,५८६ बाइट्स – ४८ केबीपीएस – लाइसेन्स: CC BY-ND ४.० वा पछिल्लो
ファンファーレ - 22.3秒 - 183,926bytes - 64kbps - ライセンス：パブリックドメイン	फ्यानफेयर – २२.३ सेकेन्ड – १८३,९२६ बाइट्स – ६४ केबीपीएस – इजाजतपत्र: सार्वजनिक डोमेन
レトロ風ファンファーレ - 2.2秒 - 10,536bytes - 32kbps - ライセンス：パブリックドメイン	रेट्रो-शैलीको धूमधाम – २.२ सेकेन्ड – १०,५३६ बाइट्स – ३२ केबीपीएस – लाइसेन्स: सार्वजनिक डोमेन
レトロ風オープン - 42.1秒 - 179,138bytes - 32kbps - ライセンス：パブリックドメイン	रेट्रो शैलीको परिचय – ४२.१ सेकेन्ड – १७९,१३८ बाइट्स – ३२ kbps – लाइसेन्स: सार्वजनिक डोमेन
警告 by ChatGPT - 3.8秒 - 109,700bytes - 256kbps - ライセンス：パブリックドメイン	ChatGPT द्वारा चेतावनी - ३.८ सेकेन्ड - १०९,७०० बाइट्स - २५६ kbps - इजाजतपत्र: सार्वजनिक डोमेन
マルウェア検出みたいな緊急感の高い音 その１ by ChatGPT - 3.3秒 - 102,850bytes - 256kbps - ライセンス：パブリックドメイン	एक उच्च-आपातकालीन ध्वनि, मालवेर पत्ता लगाउने चेतावनी जस्तो – भाग १ ChatGPT द्वारा – ३.३ सेकेन्ड – १०२,८५० बाइट्स – २५६ kbps – इजाजतपत्र: सार्वजनिक डोमेन
マルウェア検出みたいな緊急感の高い音 その２ by ChatGPT - 3.3秒 - 103,122bytes - 256kbps - ライセンス：パブリックドメイン	मालवेयर पत्ता लगाउने अलर्ट जस्तो उच्च-आपातकालीन आवाज, भाग २ ChatGPT द्वारा - ३.३ सेकेन्ड - १०३,१२२ बाइट्स - २५६ kbps - इजाजतपत्र: सार्वजनिक डोमेन
MRI風サウンド by ChatGPT - 1分14.9秒 - 3,340,392bytes - 320kbps - ライセンス：パブリックドメイン	ChatGPT द्वारा एमआरआई-शैलीको ध्वनि – १ मिनेट १४.९ सेकेन्ड – ३,३४०,३९२ बाइट्स – ३२० केबीपीएस – इजाजतपत्र: सार्वजनिक डोमेन
警告表示中のBGMを選択します	चेतावनीको समयमा बजाउनका लागि पृष्ठभूमि संगीत छान्नुहोस्।
びっくりするような雰囲気を作ります	यसले आश्चर्यजनक वातावरण सिर्जना गर्छ।
Firefoxでは音声ブロックされます	Firefox मा अडियो अवरुद्ध गरिएको छ।
対象アクションを起こした時のビープ音	निर्दिष्ट कार्य पूरा हुँदा बीप
有効 音量小さ目	चालु, आवाज कम
有効 音量大き目	सक्रिय, आवाज उच्चमा सेट गरिएको
警告表示中にすべてのキー・マウスイベントでビープ音を鳴らします	चेतावनी देखाइँदा सबै कीबोर्ड र माउसका घटनाहरूको लागि बीप बजाइनेछ।
警告表示中に端末が暴走したかのような雰囲気を作ります	चेतावनी प्रदर्शन भइरहेको बेला उपकरण अनियन्त्रित भएको जस्तो छाप सिर्जना हुन्छ।
対象アクションを起こした時のマウスカーソルの消去	विशेष कार्य हुँदा माउस कर्सर लुकाउने
警告表示中にブラウザのエリアのマウスカーソルを消去します	चेतावनी प्रदर्शन भइरहेको बेला ब्राउजर क्षेत्रमा माउस कर्सर लुकाउँछ।
デバッグモード	डबग मोड
妨害＋記録のみ	हस्तक्षेप + रेकर्ड्स मात्र
妨害＋記録＋表示＋リダイレクト	हस्तक्षेप + लगिङ + प्रदर्शन + पुनर्निर्देशन
メニューからは操作できてしまいます	तपाईं अझै पनि मेनुमार्फत यसमा पहुँच गर्न सक्नुहुन्छ।
Firefoxにおけるデバッグモード	फायरफक्समा डिबग मोड
ブラウザーコンソール	ब्राउजर कन्सोल
事実上デバッグモードから操作できてしまいます	वास्तवमा, तपाईं यसलाई डिबग मोडबाट सञ्चालन गर्न सक्नुहुन्छ।
HTMLソース表示	HTML स्रोत हेर्नुहोस्
view-source:から始まるURLを入力すれば操作できてしまいます	तपाईंले 'view-source:' बाट सुरु हुने URL प्रविष्ट गरेर मात्रै यो अपरेशन गर्न सक्नुहुन्छ।
HTML保護と組み合わせることでコンテンツを保護することができます	तपाईं यसलाई HTML सुरक्षासँग मिलाएर आफ्नो सामग्री सुरक्षित गर्न सक्नुहुन्छ।
印刷	मुद्रण गर्नुहोस्
印刷阻止をするもものの、ブラウザによってはうまく動作しません	यद्यपि यसले प्रिन्टिङ रोक्छ, केही ब्राउजरहरूमा यो ठीकसँग काम नगर्न सक्छ।
スクリーンショット	स्क्रिनशट
OSやブラウザ、方法によっては妨害できず、もしくは検出しないことがあります	प्रयोग गरिएको अपरेटिङ सिस्टम, ब्राउजर वा विधिमा निर्भर गर्दै, यसलाई रोक्न सम्भव नहुन सक्छ, वा यो पत्ता लाग्न सक्दैन।
ウインドウが背面に移動した時スクリーンショットの疑い	विन्डो पृष्ठभूमिमा जाँदा शंकास्पद स्क्रिनशट
あわせて、スクリーンショット以外の機能（タブ切り替え・ウィンドウ切り替え）にも反応してしまいます。	यो स्क्रिनशटहरू बाहेक अन्य कार्यहरू
2キー押下のスクリーンショットの疑い	दुईवटा कुञ्जी थिचेर खिचिएको शंकास्पद स्क्रिनशट
上の項目の検出方法は完全ではありません、予防的に検出を行います	माथि उल्लेखित वस्तुहरूको पत्ता लगाउने विधिहरू पूर्णरूपमा विश्वसनीय छैनन्; पत्ता लगाउने कार्य सावधानीको उपायको रूपमा गरिन्छ।
スクリーンショットだけではなく、デバッグモード等も検出します	यसले केवल स्क्रिनशट मात्र होइन, डिबग मोडहरू र यस्तै अन्य कुराहरू पनि पत्ता लगाउँछ।
ページ保存	पृष्ठ बचत गर्नुहोस्
右クリック	दायाँ-क्लिक
アドオンがインストールされていると操作できてしまいます	यदि एड-ऑन इन्स्टल गरिएको छ भने, तपाईं यसलाई प्रयोग गर्न सक्नुहुनेछ।
コピー・カット	कपी र काट्नुहोस्
本プラグインの設定によってはこのイベントにたどり着くことはほとんどない場合があります	यस प्लगइनको सेटिङ्समा निर्भर गर्दै, तपाईंले यो घटना विरलै अनुभव गर्न सक्नुहुन्छ।
テキスト全選択	सबै पाठ चयन गर्नुहोस्
テキスト選択	पाठ चयन गर्नुहोस्
デバッガー起動ログ、デバッガー妨害	डिबगर स्टार्टअप लग, डिबगर हस्तक्षेप
デバッグモードの使い勝手を少し悪くし、デバッガを起動したことをログに残します、ブラウザによってはこの挙動が止められてしまいます	यसले डिबग मोडलाई अलि कम प्रयोगकर्तामैत्री बनाउँछ र डिबगर सुरु भएको तथ्यलाई लग गर्छ; यद्यपि, केही ब्राउजरहरूले यो व्यवहारलाई अवरुद्ध गर्न सक्छन्।
リダイレクトするURL	पुनर्निर्देश URL
利用規約などのページに転送すると良いでしょう	प्रयोगकर्ताहरूलाई प्रयोगका सर्तहरू जस्ता पृष्ठहरूमा पुनर्निर्देशित गर्नु राम्रो विचार हुनेछ।
空欄にすると元のURLにリダイレクトをします	यदि खाली छोडियो भने, यो मूल URL मा पुनर्निर्देशित हुनेछ।
リダイレクトまでの時間	पुनर्निर्देशनसम्मको समय
リダイレクトなし	कुनै पुनर्निर्देशन छैन
1秒	१ सेकेन्ड
2秒	२ सेकेन्ड
3秒	३ सेकेन्ड
4秒	४ सेकेन्ड
5秒	५ सेकेन्ड
6秒	६ सेकेन्ड
7秒	७ सेकेन्ड
8秒	८ सेकेन्ड
9秒	९ सेकेन्ड
10秒	१० सेकेन्ड
15秒	१५ सेकेन्ड
20秒	२० सेकेन्ड
25秒	२५ सेकेन्ड
30秒	३० सेकेन्ड
35秒	३५ सेकेन्ड
40秒	४० सेकेन्ड
45秒	४५ सेकेन्ड
50秒	५० सेकेन्ड
55秒	५५ सेकेन्ड
1分	१ मिनेट
1分10秒	१ मिनेट १० सेकेन्ड
1分20秒	१ मिनेट २० सेकेन्ड
1分30秒	१ मिनेट ३० सेकेन्ड
1分40秒	१ मिनेट ४० सेकेन्ड
1分50秒	१ मिनेट ५० सेकेन्ड
2分	२ मिनेट
ソース表示を許可する権限	स्रोत कोड हेर्न अनुमति
ADMINログイン時のみ通常のソース出力	सामान्य स्रोत आउटपुट केवल ADMIN को रूपमा लग इन हुँदा मात्र
USERログインで通常のソース出力	USER को रूपमा लग इन हुँदा सामान्य स्रोत आउटपुट
通常のHTML出力を管理者のみかユーザーログインかを選択します	मानक HTML आउटपुट प्रशासकहरूमा मात्र सीमित हुनेछ वा प्रयोगकर्ता लगइन आवश्यक पर्नेछ, छान्नुहोस्।
画像を無理やりダウンロードして実際にダウンロードされるもの	छवि डाउनलोड गर्न बाध्य पार्ने र वास्तवमा के डाउनलोड हुन्छ
GIF形式で1×1ピクセルの透過画像	GIF ढाँचामा रहेको १×१ पिक्सेल पारदर्शी छवि
PNG形式で1×1ピクセルの透過画像	PNG ढाँचामा १×१ पिक्सेलको पारदर्शी छवि
PNG形式で黄色い背景の警告画面	PNG ढाँचामा पहेँलो पृष्ठभूमि सहितको चेतावनी स्क्रिन
意味のないHTMLドキュメント	एक अर्थहीन HTML कागजात
HTML保護時のHEADタグの出力	HTML सुरक्षित हुँदा HEAD ट्यागको आउटपुट
出力しない	छपाउनुहोस्
TITLEタグのみ	शीर्षक ट्याग मात्र
WordpressのHEADタグより取得	WordPress HEAD ट्यागबाट प्राप्त
企業用途の会員専用ページや社内ページなどでは「出力しない」、「TITLEタグのみ」で良いでしょう	कर्पोरेट प्रयोगका लागि सदस्य-मात्र पृष्ठहरू र आन्तरिक पृष्ठहरूमा 'Do not output' वा 'TITLE tag only' चयन गर्नु पर्याप्त हुन्छ।
WordpressのHEADタグから取得しないと、SNSのシェアでOGP画像が表示されません	जबसम्म तपाईंले WordPress HEAD ट्यागबाट जानकारी प्राप्त गर्नुहुन्न, सामाजिक सञ्जालमा सेयर गर्दा OGP छवि देखिने छैन।
画像botをアクセス禁止にする	छवि बोटलाई ब्लक गर्नुहोस्
画像botをHTMLに対し避けることにより、画像検索から直接リンクされることによって守れなかったコンテンツを守ることができます、ただし完全には対処することはできません	इमेज बोटहरूलाई HTML पहुँच गर्नबाट रोकेर, तपाईंले इमेज सर्चमार्फत प्रत्यक्ष लिङ्कबाट सुरक्षित गर्न नसकिने सामग्रीलाई संरक्षण गर्न सक्नुहुन्छ; यद्यपि, यसले पूर्ण समाधान प्रदान गर्दैन।
AI学習用botをアクセス禁止にする	एआई प्रशिक्षण बटमा पहुँच अवरुद्ध गर्नुहोस्
AIの学習用のbotをHTMLに対し避けることにより、AIで利用されないようにします、ただし完全には対処することはできません	HTML मा AI प्रशिक्षणका लागि डिजाइन गरिएका बोटहरूको प्रयोगबाट बच्दै, हामी सुनिश्चित गर्छौं कि सामग्री AI द्वारा प्रयोगमा आउँदैन; तथापि, यसलाई पूर्ण रूपमा रोक्न सकिँदैन।
ウェブアーカイブ、ウェブ魚拓をアクセス禁止にする	वेब अभिलेख र वेब स्न्यापशटहरूमा पहुँच रोक्नुहोस्
自動的に収集されるウェブアーカイブ並びにユーザーの任意で取得される魚拓のアクセスを禁止します、ただし完全には対処することはできません	हामी स्वचालित रूपमा सङ्कलित वेब अभिलेखहरू र प्रयोगकर्ताको विवेकमा लिइएका स्क्रिनशटहरूमा पहुँच निषेध गर्छौं; तथापि, हामी यसलाई पूर्ण रूपमा रोक्न सक्दैनौं।
無効なUAをアクセス禁止にする	अमान्य प्रयोगकर्ता एजेन्टहरू ब्लक गर्नुहोस्
ユーザーエイジェントの文字に不正な文字列があった場合のアクセスを避けます	यदि युजर एजेन्ट स्ट्रिङमा अमान्य अक्षरहरू छन् भने पहुँच रोक्छ।
Internet Explorerと旧Microsoft Edge(EdgeHTML)のアクセスに警告を表示する	इन्टरनेट एक्सप्लोरर र पुरानो माइक्रोसफ्ट एज
Internet Explorerと旧Microsoft Edgeのアクセスを避けます	इन्टरनेट एक्सप्लोरर र पुरानो माइक्रोसफ्ट एज मार्फत पहुँच रोक्छ
alertメッセージを表示する言語	सतर्क सन्देशहरू देखाइने भाषा
Wordpressの言語	वर्डप्रेस भाषाहरू
ブラウザの設定言語	ब्राउजर भाषा सेटिङहरू
メッセージをカスタム設定されている場合は言語を変更できません	यदि सन्देशहरू अनुकूलित गरिएका छन् भने तपाईं भाषा परिवर्तन गर्न सक्नुहुन्न।
同意画面の言語	सहमति स्क्रिनको भाषा
view-sourceメッセージを表示する言語	'view-source' सन्देश प्रदर्शन गर्नको लागि भाषा
一時使用トークンの有効期限	अस्थायी टोकनहरूको म्याद सकिने मिति
