設定	Litlhophiso
HTMLソース表示時に表示するメッセージ	Molaetsa o bontshwang ha ho shebile mohlodi wa HTML
HTML難読化・保護時にソースの先頭に表示するメッセージ	Molaetsa o bontshwang hodima khoutu ya mohlodi ha ho ntse ho sireletswa kapa ho fifatswa HTML
HTML保護時に一度限りの認証トークンが異常の場合に表示するメッセージ	Molaetsa o tla hlahisoa haeba tokena ea netefatso ea hang e sa sebetse nakong ea tšireletso ea HTML.
CookieやJavascriptが有効でない場合に表示するメッセージ	Molaetsa o tla bontšoa haeba li-cookie kapa JavaScript li koetsoe.
実際にはJavascriptが無効時のみ表示されます	Ha e le hantle, sena se bonahala feela ha JavaScript e koetsoe.
画像保護時に画像がダウンロードされ、その画像に表示するメッセージ 英語のみ	Ha setshwantsho se sireleditswe, se a jarollwa, mme molaetsa o a hlahiswa hodima sona
HTML難読化 (圧縮)	Ho fifatsa HTML
一般的なHTML圧縮です、難読化解除のサイトもあります	Hona ke khatello e tloaelehileng ea HTML; hape ho na le liwebsaete tse ka e fetolelang.
このオプションを有効にするとview-sourceのログが取得できます	Ho nolofatsa kgetho ena ho o dumella ho fumana direkoto tsa mohlodi wa ponahatso.
HTML保護	Tšireletso ea HTML
HTML圧縮以上に最小限のHTMLしか出力せず、BODYタグ内の内容が全く出力されなくなります	E hlahisa HTML e fokolang le ho feta ho feta tokisetso ea ho hatella HTML, ho bolelang hore litaba tse ka hare ho tag ea BODY ha li na ho hlahisoa ho hang.
Firefoxに対しては無効です	Sena ha se sebetse ho Firefox.
SEOに著しく影響があります	Sena se na le tšusumetso e kholo ho SEO.
HTMLをJavaScriptで描画	Ho hlahisa HTML ka JavaScript
Firefox対策としてHTMLをJavaScriptで描画をします	Ho sebetsana le Firefox, re hlahisa HTML ka JavaScript.
JavaScript描画で有効にするとウェブサイトの表示速度が著しく遅くなります	Ho nolofatsa ts'ebetso ea JavaScript ho tla fokotsa haholo lebelo leo sebaka sa marang-rang se bula ka lona.
画像の保護	Tšireletso ea setšoantšo
imgタグが呼び出されるごとに画像を保護	Sireletsa setšoantšo nako le nako ha letšoao la img le bitsoa.
出力される全HTMLのうち、Wordpressにアップロードされた画像をすべて保護	Sireletsa ditshwantsho tsohle tse kenngwang ho WordPress ka hara HTML yohle e hlahiswang.
画像をダウンロードから保護します	E sireletsa litšoantšo hore li se ke tsa khoasolloa
画像データを保護した時にはほぼ完全なるダウンロードを阻止し、完全なるワンタイムURLを発行し、セッションに保存されたトークンで認証し、phpから画像を表示します、その為ほぼ完全な画像盗用を防ぎます	Ha data ea litšoantšo e sirelelitsoe, re thibela hoo e ka bang li-download kaofela, re fana ka li-URL tse ikhethang tsa hang feela, re netefatsa bonnete ba basebelisi ka li-token tse bolokiloeng nakong ea phihlello, 'me re bontša litšoantšo ka PHP; sena se thibela ka katleho hoo e ka bang maemo kaofela a bosholu ba litšoantšo.
画像データを保護した時には画像のキャッシュが効かないため、次回訪問時にサイトの読み込みが遅くなるため、SEOに影響があります	Ha data ea litšoantšo e sirelelitsoe, caching ha e sebetse, e leng se bolelang hore sebaka sa marang-rang se tla bula butle maetong a latelang, 'me sena se ama SEO.
画像データを保護した時には、データベースの負荷が高くなる可能性があります	Ho sireletsa datha ya ditshwantsho ho ka eketsa morwalo hodima polokelo ya datha.
「imgタグが呼び出されるごとに画像を保護」の場合は、add_filterを使用し、imgタグの発行時にフィルタリングを行います、テーマによっては正しく動作しません	Ha o kgetha 'Sireletsa ditshwantsho nako le nako ha letshwao la img le bitswa', tsamaiso e sebedisa add_filter ho kenya tshebetsong tlhotlho ya ditshwantsho ha letshwao la img le etswa; leha ho le jwalo, sena se ka nna sa se sebetse hantle ka di-theme tse ding.
「出力される全HTMLのうち、Wordpressにアップロードされた画像をすべて保護」の場合は、Wordpressのほぼすべての動作をキャプチャし、コンテンツ内のimgタグについてすべて処理します。テーマによっては正しく動作しません	Ha o kgetha 'Sireletsa ditshwantsho tsohle tse kenngwang ho WordPress ka hara HTML yohle e hlahiswang', plugin e tla hapa hoo e ka bang mesebetsi yohle ya WordPress mme e sebetse tag e nngwe le e nngwe ya img ka hara dikahare. Ka kopo hlokomela hore sena se kanna sa se sebetse hantle le di-theme tse ding.
なお、アイキャッチに指定した画像はOGPとして拡散されますので保護できません。どうしても保護すべき場合は高度な設定でHTML保護時のHEADタグの出力の選択を変更してください	Ka kopo hlokomela hore litšoantšo tse khethiloeng e le litšoantšo tse hlahelletseng li tla arolelanoa e le data ea OGP 'me ha li khone ho sireletsoa. Haeba o tlameha ho li sireletsa, ka kopo fetola tlhophiso ea tlhahiso ea HEAD tag litlhophisong tse tsoetseng pele ha o kenya tšebetsong tšireletso ea HTML.
OS標準搭載のスクリーンショット機能を保護することはできません	Tshebetso ya ho nka setshwantsho sa skrine e kenyelleditsweng ka mokgwa o tlwaelehileng tsamaisong ya tshebetso e ke ke ya sireletswa.
画像URLの保護	Ho sireletsa li-URL tsa litšoantšo
画像の保護と組み合わせて使用します、単体では意味がありません	Sena se lokela ho sebediswa hammoho le tshireletso ya setshwantsho; ha se sebediswa feela, ha se na thuso.
JavaScriptにより遅延読まれますのでSEOに影響があります	Kaha e laelletsoa ka ho lieha ka JavaScript, sena se ama SEO.
画像のウォーターマーク	Letšoao la setšoantšo
右下	Tlase ka ho le letona
ランダム位置	Boemo bo iketsahalletseng
画像の保護と組み合わせて使用します、動的な透かしで著作権を明示しつつ、閲覧者に監視されている印象を与え抑止力を高めます	Ha li sebediswa mmoho le tshireletso ya ditshwantsho, li-watermark tse fetohang li bontsha ka ho hlaka bo-nngwe ba tokelo ya bongodi, ha ka nako e tshwanang li fa bashebelli maikutlo a hore ba a shebilwa, mme ka hona li sebetsa e le se thibelang.
JPG形式、PNG形式、WebP形式のみ対応します	Ho tšehetsoa feela lifomate tsa JPG, PNG le WebP.
有効にするとサーバーの負荷が高くなります	Ho nolofatsa sena ho tla eketsa moroalo ho seva.
HTML難読化・保護時のHTMLソースコードのアスキーアートの出力	Ho hlahisa bonono ba ASCII ho tsoa khoutung ea mohloli ea HTML nakong ea ho fifatsa le ho sireletsa
表示なし	Ha ho pontšo
view-sourceでHTMLソース表示をした時に警告の意思を示すアスキーアートを表示します	E bontša bonono ba ASCII bo bontšang tlhokomeliso ha ho shebisoa mohloli oa HTML ka ho sebelisa 'view-source'
対象アクションを起こした時の表示デザイン	Bontsha moralo ha ketso e lebelletsweng e phethilwe
黄色の背景の黒文字のベーシックデザイン	Moralo o motheo o nang le mongolo o motsho hodima bokamorao bo boseroledi.
黒色の背景の赤文字のホラー風デザイン	Moralo oa mofuta oa tšabo o nang le mongolo o mofubelu holim'a bokamorao bo botšo.
黒色の背景の赤文字の光る文字のデザイン	Moralo o nang le mongolo o mofubedu o khanyang holim'a bokamorao bo botšo
対象アクションを起こした時のBGM	Mmino o bapalang ha ketso e rerilweng e etswa.
サウンドなし	Ha ho molumo
戦闘＆戦闘勝利 - 1分16.3秒 - 630,056bytes - 64kbps - ライセンス：CC2.1 or later	Ntoa le Tlhōlo - motsotso o le 1 metsotsoana e 16.3 - libaete tse 630,056 - 64 kbps - Laesense: CC 2.1 kapa e ncha
おやじ ショート - 3.8秒 - 32,364bytes - 64kbps - ライセンス GPL2.0 or later (C)EJ	Ntate Short - metsotsoana e 3.8 - li-byte tse 32,364 - 64 kbps - Laesense: GPL 2.0 kapa e ncha
おやじ ロング - 23.5秒 - 195,578bytes - 64kbps - ライセンス GPL2.0 or later (C)EJ	Oyaji Long - metsotswana e 23.5 - libaete tse 195,578 - 64 kbps - Laesense: GPL 2.0 kapa e ncha
ショパン エチュード Op.10-5 黒鍵 打ち込み版 高速版 - 1分0.0秒 - 369,778bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	Chopin Étude Op. 10 No. 5
ショパン エチュード Op.10-12 革命 打ち込み版 高速版 - 1分57.6秒 - 724,457bytes - 48kbps -  ライセンス：CC BY-ND 4.0 or later	Chopin Étude Op. 10 No. 12 'Revolution' – Mofuta o hlahisitsweng ke khomphutha, mofuta wa lebelo le phahameng – motsotso o le 1 le metsotswana e 57.6 – di-byte tse 724,457 – 48 kbps – Laesense: CC BY-ND 4.0 kapa e morao ho feta
ショパン スケルツォ 変ロ短調 Op2 打ち込み版 高速短縮版 - 1分48.0秒 - 665,369bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	Chopin: Scherzo ka B flat minor, Op. 2 – Mofuta o hlahisitsweng ke khomphutha, mofuta o kgutsufaditsweng wa lebelo le phahameng – motsotso o le 1 le metsotswana e 48.0 – 665,369 bytes – 48 kbps – Laesense: CC BY-ND 4.0 kapa e ncha ho feta moo
リスト 超絶技巧練習曲 4番 マゼッパ 打ち込み版 高速短縮版 - 1分51.6秒 - 687,586bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	Lethathamo: Étude d'Exécution No. 4 'Mazeppa'
ファンファーレ - 22.3秒 - 183,926bytes - 64kbps - ライセンス：パブリックドメイン	Modumo wa mokete – metsotswana e 22.3 – dibaete tse 183,926 – 64 kbps – Laesense: Setsoalle sa setjhaba
レトロ風ファンファーレ - 2.2秒 - 10,536bytes - 32kbps - ライセンス：パブリックドメイン	Mokete oa setaele sa khale – metsotsoana e 2.2 – li-byte tse 10,536 – 32 kbps – Laesense: Setsoalle sa sechaba
レトロ風オープン - 42.1秒 - 179,138bytes - 32kbps - ライセンス：パブリックドメイン	Selelekela sa setaele sa khale – metsotsoana e 42.1 – libaete tse 179,138 – 32 kbps – Laesense: Setsoalle sa sechaba
警告 by ChatGPT - 3.8秒 - 109,700bytes - 256kbps - ライセンス：パブリックドメイン	Temoso ka ChatGPT - metsotswana e 3.8 - li-byte tse 109,700 - 256 kbps - Laesense: Setša sa sechaba
マルウェア検出みたいな緊急感の高い音 その１ by ChatGPT - 3.3秒 - 102,850bytes - 256kbps - ライセンス：パブリックドメイン	Modumo o potlakileng haholo o kang tlhokomediso ya ho fumana malware – Karolo ya 1 ka ChatGPT – metsotswana e 3.3 – di-byte tse 102,850 – 256 kbps – Laesense: Setsoalle sa Setjhaba
マルウェア検出みたいな緊急感の高い音 その２ by ChatGPT - 3.3秒 - 103,122bytes - 256kbps - ライセンス：パブリックドメイン	Modumo o potlakileng haholo o kang tlhokomediso ya ho fumana malware, Karolo ya 2 ka ChatGPT - metsotswana e 3.3 - dibaete tse 103,122 - 256 kbps - Laesense: Setsoalle sa Setjhaba
MRI風サウンド by ChatGPT - 1分14.9秒 - 3,340,392bytes - 320kbps - ライセンス：パブリックドメイン	Modumo wa mofuta wa MRI ka ChatGPT – motsotso o le 1 le metsotswana e 14.9 – di-byte tse 3,340,392 – 320 kbps – Laesense: Setsoalle sa Setjhaba
警告表示中のBGMを選択します	Kgetha mmino wa ka morao o tla bapala nakong ya temoso.
Firefoxでは音声ブロックされます	Molumo o thibetsoe ho Firefox.
対象アクションを起こした時のビープ音	Ho lla ha ketso e boletsweng e phethilwe
有効 音量小さ目	Ho, molumo o tlase
有効 音量大き目	E sebetsa, molumo o phahamisitsoe haholo
警告表示中にすべてのキー・マウスイベントでビープ音を鳴らします	Ho tla utlwahala modumo bakeng sa diketsahalo tsohle tsa konopo le mouse ha temoso e ntse e bontshwa.
警告表示中に端末が暴走したかのような雰囲気を作ります	E fana ka maikutlo a hore sesebediswa se sa sebetse hantle ha temoso e ntse e bontshwa.
対象アクションを起こした時のマウスカーソルの消去	Ho pata sesupa-mouse ha ketso e itseng e etsoa
警告表示中にブラウザのエリアのマウスカーソルを消去します	E pata sesupa-mouse sebakeng sa sebatli ha temoso e ntse e bontšoa.
デバッグモード	Mokgwa wa ho lokisa diphoso
妨害＋記録のみ	Tšitiso + Direkoto feela
妨害＋記録＋表示＋リダイレクト	Tšitiso + Ho ngolisa + Pontšo + Phetisetso
メニューからは操作できてしまいます	O ntse o ka fihlella ho sona ka lenane.
Firefoxにおけるデバッグモード	Mokgwa wa ho lokisa diphoso ho Firefox
ブラウザーコンソール	K'honsolo ea sebatli
事実上デバッグモードから操作できてしまいます	Ha e le hantle, o ka e sebetsa o le mokgweng wa ho lokisa diphoso.
HTMLソース表示	Sheba mohloli oa HTML
view-source:から始まるURLを入力すれば操作できてしまいます	U ka etsa ts'ebetso ena ka ho kenya feela URL e qalang ka 'view-source:'
HTML保護と組み合わせることでコンテンツを保護することができます	U ka sireletsa dikahare tsa hao ka ho kopanya sena le tshireletso ya HTML.
印刷	Hatisa
印刷阻止をするもものの、ブラウザによってはうまく動作しません	Leha e thibela ho hatisa, e kanna ya se sebetse hantle dibatling tse ding.
スクリーンショット	Senepe sa skrine
OSやブラウザ、方法によっては妨害できず、もしくは検出しないことがあります	Ho itshetlehile ka sistimi e sebetsang, sebatli kapa mokgwa o sebedisitsweng, ho ka nna ha se ke ha kgoneha ho thibela sena, kapa ho ka nna ha se ke ha lemohuwa.
ウインドウが背面に移動した時スクリーンショットの疑い	Khaola-tshwantsho e belaellwang ha fensetere e ya morao
あわせて、スクリーンショット以外の機能（タブ切り替え・ウィンドウ切り替え）にも反応してしまいます。	E boetse e arabela mesebetsing e meng ntle le ho nka ditshwantsho tsa skrine
2キー押下のスクリーンショットの疑い	Khaola-tshwantsho e belaellwang e nkilweng ka ho tobetsa dikonopo tse pedi
上の項目の検出方法は完全ではありません、予防的に検出を行います	Mekhoa ea ho lemoha lintho tse boletsoeng ka holimo ha e na bonnete bo feletseng; ho lemoha ho etsoa e le mohato oa ho itšireletsa.
スクリーンショットだけではなく、デバッグモード等も検出します	E lemoha eseng feela ditshwantsho tsa skrine, empa hape le mekgwa ya ho lokisa diphoso le tse tshwanang le tsona.
ページ保存	Boloka leqephe
右クリック	Tobetsa ka ho le letona
アドオンがインストールされていると操作できてしまいます	Haeba tlatsetso e kentiloe, o tla khona ho e sebelisa.
コピー・カット	Kopitsa le ho seha
本プラグインの設定によってはこのイベントにたどり着くことはほとんどない場合があります	Ho itshetlehile ka ditlhophiso tsa plugin ena, o ka nna wa kopana le ketsahalo ena ka sewelo.
テキスト全選択	Kgetha mongolo wohle
テキスト選択	Kgetha mongolo
デバッガー起動ログ、デバッガー妨害	Lengolo la qaleho la sebatli-phoso, tšitiso ea sebatli-phoso
デバッグモードの使い勝手を少し悪くし、デバッガを起動したことをログに残します、ブラウザによってはこの挙動が止められてしまいます	Sena se etsa hore mokgwa wa ho lokisa diphoso o se be bonolo ho o sebedisa, mme se tlaleha hore sebadisadiphoso se qalilwe; leha ho le jwalo, dibatli tse ding di ka thibela tshebetso ena.
リダイレクトするURL	Fetisetsa URL
利用規約などのページに転送すると良いでしょう	E ka ba mohopolo o motle ho lebisa basebelisi maqepheng a kang Melao ea Tšebeliso.
空欄にすると元のURLにリダイレクトをします	Haeba e siiloe e se na letho, e tla fetisetsa ho URL ea pele.
リダイレクトまでの時間	Nako e setseng pele ho fetisetsoa
リダイレクトなし	Ha ho fetisetsoe
1秒	Motsotswana o le mong
2秒	Metsotswana e 2
3秒	Metsotswana e meraro
4秒	Metsotswana e 4
5秒	Metsotswana e 5
6秒	Metsotswana e 6
7秒	Metsotswana e supileng
8秒	Metsotswana e 8
9秒	Lisekonte tse robong
10秒	Metsotswana tse 10
15秒	Metsotswana e 15
20秒	Metsotswana e mashome a mabedi
25秒	Metsotswana tse 25
30秒	Metsotswana e mashome a mararo
35秒	Metsotswana e mashome a mararo a metso e mehlano
40秒	Metsotswana tse mashome a mane
45秒	Metsotswana e mashome a mane a metso e mehlano
50秒	Metsotswana e mashome a mahlano
55秒	Metsotswana e mashome a mahlano a metso e mehlano
1分	Motsotso o le mong
1分10秒	Motsotso o le mong metsotsoana e 10
1分20秒	Motsotso o le mong le metsotsoana e mashome a mabeli
1分30秒	Motsotso o le mong le metsotsoana e mashome a mararo
1分40秒	Motsotso o le mong le metsotsoana e mashome a mane
1分50秒	Motsotso o le mong le metsotsoana e mashome a mahlano
2分	Metsotso e 2
ソース表示を許可する権限	Tumello ea ho sheba khoutu ea mohloli
ADMINログイン時のみ通常のソース出力	Phepelo e tloaelehileng e sebetsa feela ha u kene e le ADMIN.
USERログインで通常のソース出力	Sephetho se tloaelehileng sa mohloli ha u kene e le MOSEBELISI
通常のHTML出力を管理者のみかユーザーログインかを選択します	Kgetha hore na tlhahiso e tlwaelehileng ya HTML e be bakeng sa batsamaisi feela kapa e hloka hore mosebedisi a kene.
画像を無理やりダウンロードして実際にダウンロードされるもの	Ho qobella setšoantšo hore se khoasolloe le seo ha e le hantle se khoasolloang
GIF形式で1×1ピクセルの透過画像	Setšoantšo se bonaletsang sa 1×1-pixel ka sebopeho sa GIF
PNG形式で1×1ピクセルの透過画像	Setshwantsho se bonaletsang sa 1×1-pixel ka sebopeho sa PNG
PNG形式で黄色い背景の警告画面	Skrine sa temoso se nang le bokamorao ba 'mala o mosehla ka sebopeho sa PNG
意味のないHTMLドキュメント	Tokomane ea HTML e se nang moelelo
HTML保護時のHEADタグの出力	Sephetho sa tag ea HEAD ha HTML e sirelelitsoe
出力しない	Se hatise
TITLEタグのみ	Letšoao la sehlooho feela
WordpressのHEADタグより取得	E nkiloeng ho tsoa ho lebitso la sehlooho la WordPress
企業用途の会員専用ページや社内ページなどでは「出力しない」、「TITLEタグのみ」で良いでしょう	Bakeng sa maqephe a basebetsi a k'hamphani a sebelisoang ke litho feela le maqephe a kahare, ho khetha 'Do not output' kapa 'TITLE tag only' ho lokela ho lekana.
WordpressのHEADタグから取得しないと、SNSのシェアでOGP画像が表示されません	Ntle le haeba o nka tlhahisoleseding ho tsoa ho WordPress HEAD tag, setšoantšo sa OGP se ke ke sa hlahisoa ha ho arolelanoa mecheng ea litaba tsa sechaba.
画像botをアクセス禁止にする	Thibela bot ea setšoantšo
画像botをHTMLに対し避けることにより、画像検索から直接リンクされることによって守れなかったコンテンツを守ることができます、ただし完全には対処することはできません	Ka ho thibela li-bot tsa litšoantšo ho fihlella HTML, o ka sireletsa litaba tse neng li sa sireletsoa khahlanong le ho hokahanya ka kotloloho ka patlo ea litšoantšo; leha ho le joalo, sena ha se tharollo e tiileng ka ho feletseng.
AI学習用botをアクセス禁止にする	Thibela phihlello ea bot ea koetliso ea AI
AIの学習用のbotをHTMLに対し避けることにより、AIで利用されないようにします、ただし完全には対処することはできません	Ka ho qoba tšebeliso ea li-bot tse etselitsoeng koetliso ea AI ho HTML, re etsa bonnete ba hore litaba ha li sebelisoe ke AI; leha ho le joalo, sena se ke ke sa thibeloa ka ho feletseng.
ウェブアーカイブ、ウェブ魚拓をアクセス禁止にする	Thibela phihlello ea polokelong ea marang-rang le litšoantšong tsa marang-rang
自動的に収集されるウェブアーカイブ並びにユーザーの任意で取得される魚拓のアクセスを禁止します、ただし完全には対処することはできません	Re thibela phihlello ea polokelo ea marang-rang e bokeletsoeng ka bo eona le litšoantšo tsa skrine tse nketsoeng ka boikhethelo ba mosebelisi; leha ho le joalo, re ke ke ra thibela sena ka ho feletseng.
無効なUAをアクセス禁止にする	Thibela baemeli ba basebelisi ba seng molaong
ユーザーエイジェントの文字に不正な文字列があった場合のアクセスを避けます	E thibela phihlello haeba mohala oa mosebelisi o na le litlhaku tse fosahetseng.
Internet Explorerと旧Microsoft Edge(EdgeHTML)のアクセスに警告を表示する	Bontša temoso ha ho fihleloa Internet Explorer le Microsoft Edge ea khale
Internet Explorerと旧Microsoft Edgeのアクセスを避けます	E thibela phihlello ka Internet Explorer le Microsoft Edge ea khale.
alertメッセージを表示する言語	Puo eo melaetsa ea temoso e bontšoa ka eona
Wordpressの言語	Lipuo tsa WordPress
ブラウザの設定言語	Litlhophiso tsa puo tsa sebatli
メッセージをカスタム設定されている場合は言語を変更できません	Ha o ka ke wa fetola puo haeba melaetsa e fetotswe ho ya ka ditlhoko tsa hao.
同意画面の言語	Puo ea skrine sa tumello
view-sourceメッセージを表示する言語	Puo eo molaetsa oa 'view-source' o bontšuoang ka eona
一時使用トークンの有効期限	Letsatsi la ho felloa ke nako la li-token tsa nakoana
3分	Metsotso e meraro
4分	Metsotso e 4
5分	Metsotso e 5
6分	Metsotso e 6
7分	Metsotso e supileng
8分	Metsotso e 8
9分	Metsotso e 9
10分	Metsotso e 10
15分	Metsotso e 15
20分	Metsotso e mashome a mabedi
25分	Metsotso e mashome a mabedi le metso e mehlano
30分	Metsotso e 30
35分	Metsotso e mashome a mararo le metso e mehlano
40分	Metsotso e mashome a mane
45分	Metsotso e mashome a mane le metso e mehlano
50分	Metsotso e mashome a mahlano
55分	Metsotso e 55
1時間	Hora e le 'ngoe
画像URL情報の有効期限を設定します	Beha letsatsi la ho felloa ke nako bakeng sa tlhahisoleseding ea URL ea setšoantšo.
一度読み込まれると画像URL情報と一時使用トークンは無効化されます	Hang ha ho se ho laetsoe, URL ea setšoantšo le letšoao la nakoana li tla felloa ke mosebetsi.
画像は遅延読み込みされますが、この指定した時間の30秒前に強制的に画像が読み込まれます	Litšoantšo li laeloa ha li batloa, empa li tla laeloa ka bo tsona metsotsoana e 30 pele ho nako e boletsoeng.
一時使用トークンのビット数	Palo ea li-bit ka har'a letšoao la nakoana
画像URL情報を暗号化するのに一時使用トークンをパスワードとして使用しますが、その強度を指定します	Token ea nakoana e sebelisoa e le phasewete ho patala tlhahisoleseding ea URL ea setšoantšo; tokisetso ena e hlalosa matla a eona.
ドロップダウンメニューの下に表示される選択肢にいくにつれて強度が強くなるものの、サーバーへの負荷が高くなり、HTML転送量が多くなることがあります	Leha dikgetho tse bontshitsweng ka tlase ho lenane le theohelang di ntse di eketseha ka dintlha, sena se ka imetsa seva haholo mme sa fella ka phetiso ya data e ngata haholo ya HTML.
ハッシュ化アルゴリズム	Algoritimi ea hash
画像URL情報を暗号化するのに一時使用トークンをパスワードとして使用しますが、その時ハッシュ化が必要です、その強度を設定します	Token ea nakoana e sebelisoa joalo ka phasewete ho patala tlhahisoleseding ea URL ea setšoantšo; sena se hloka ho etsa hashing, 'me tokisetso ena e laola matla a hashing eo.
ドロップダウンメニューの下に表示される選択肢にいくにつれて強度が強くなるものの、サーバーへの負荷が高くなります	Leha matla a eketseha ha o ntse o theosa ka hara dikgetho tse bontshitsweng lenaneng le theohelang, sena se beha moroalo o moholo ho seva.
基本設定	Litlhophiso tsa motheo
高度な設定	Litlhophiso tse tsoetseng pele
初期設定に戻す	Kgutlisetsa ditlhophiso tsa kamehla
デザイン・音の設定	Litlhophiso tsa moralo le molumo
イベントの設定	Litlhophiso tsa ketsahalo
初回訪問時のお知らせの設定	Ho hlophisa litemoso bakeng sa maeto a pele
メッセージの設定	Lipehelo tsa melaetsa
右クリックやソースコード表示時に転送する URL を設定します	Beha URL e tla buloa ha ho tobisoa ka ho le letona kapa ha ho shebisoa khoutu ea mohloli.
警告メッセージにはHTMLは使用できません	HTML e ke ke ya sebediswa melaetseng ya ditemoso.
この画面で設定すると、高度な設定タブにある言語設定が無視されます	Ha o hlophisa sena skrineng sena, litlhophiso tsa puo tse ho tab ea Advanced li tla hlokomolohuoa.
以下の文字列が使用できます	Mela e latelang e ka sebediswa
改行	Phetoho ea mola
