設定	Параметрлер
利用規約を設定する場合、必ずプライバシーポリシーに利用規約のリンクを設置して下さい	Егер сіз Пайдалану шарттарын орнатсаңыз, оларды Құпиялық саясатыңызға сілтеме арқылы қосқаныңызға көз жеткізіңіз.
利用規約の文字列	Пайдалану шарттарының мәтіні
利用規約のページ	Терминдер мен шарттар беті
ページ選択なし	Ешбір бет таңдалмаған
検索エンジン等のURL	Іздеу жүйелерінің URL-мекенжайлары және т.б.
同意しなかった時に画面遷移する検索エンジンなどのURLを設定します	Іздеу жүйелері мен пайдаланушылар келіспеген кезде оларды басқа сайтқа бағыттайтын ұқсас сайттарға арналған URL-ді орнатыңыз
デバッグモード、コンソールの警告メッセージ	Қателерді түзету режимі, консольдік ескерту хабарламалары
右クリックの警告メッセージ	Оң жақ түймешікпен басу туралы ескерту хабарламасы
印刷、PDF保存の警告メッセージ	PDF-ке басып шығару және сақтау туралы ескерту хабарламасы
スクリーンショットの警告メッセージ	Скриншоттағы ескерту хабарламасы
スクリーンショットの疑いの警告メッセージ	Күдікті скриншоттар туралы ескерту хабарламасы
テキスト全選択時の警告メッセージ	Барлық мәтін таңдалған кезде ескерту хабарламасы
ページ保存の警告メッセージ	Бетті сақтау туралы ескерту хабарламасы
コピー・カットした時に表示するメッセージ	Көшіру немесе қию кезінде көрсетілетін хабарлама
HTMLソース表示時に表示するメッセージ	HTML көзін қарау кезінде көрсетілетін хабарлама
HTML難読化・保護時にソースの先頭に表示するメッセージ	HTML-ді обфускациялау немесе қорғау кезінде бастапқы кодтың жоғарғы жағында көрсетілетін хабарлама
HTML保護時に一度限りの認証トークンが異常の場合に表示するメッセージ	HTML қорғау кезінде біржолғы аутентификация токені жарамсыз болса көрсетілетін хабарлама
CookieやJavascriptが有効でない場合に表示するメッセージ	Кुки немесе JavaScript өшірілген кезде көрсетілетін хабарлама
実際にはJavascriptが無効時のみ表示されます	Шындығында, бұл тек JavaScript өшірілгенде ғана көрсетіледі.
画像保護時に画像がダウンロードされ、その画像に表示するメッセージ 英語のみ	Сурет қорғалған кезде ол жүктеліп, сол суретке хабарлама көрсетіледі
HTML難読化 (圧縮)	HTML-ді бұлыңғырлау
一般的なHTML圧縮です、難読化解除のサイトもあります	Бұл стандартты HTML сығылуы; оны декодтай алатын веб-сайттар да бар.
このオプションを有効にするとview-sourceのログが取得できます	Бұл опцияны қосу көріністің бастапқы кодын алуға мүмкіндік береді.
HTML保護	HTML қорғау
HTML圧縮以上に最小限のHTMLしか出力せず、BODYタグ内の内容が全く出力されなくなります	Ол тек қана ең аз қажетті HTML-ді шығарады — тіпті HTML-ді сығу кезінде қолданылатыннан да аз — және BODY тегіндегі мазмұн мүлдем шығарылмайды.
Firefoxに対しては無効です	Бұл Firefox-қа қолданылмайды.
SEOに著しく影響があります	Бұл SEO-ға айтарлықтай әсер етеді.
HTMLをJavaScriptで描画	JavaScript арқылы HTML-ді рендерлеу
Firefox対策としてHTMLをJavaScriptで描画をします	Firefox-ты айналып өту үшін біз HTML-ді JavaScript арқылы рендерлейміз.
JavaScript描画で有効にするとウェブサイトの表示速度が著しく遅くなります	JavaScript-тің рендерингін қосу веб-сайттың жүктелу жылдамдығын айтарлықтай бәсеңдетеді.
画像の保護	Суретті қорғау
imgタグが呼び出されるごとに画像を保護	Img тегі шақырылған сайын суретті қорғаңыз
出力される全HTMLのうち、Wordpressにアップロードされた画像をすべて保護	Бүкіл HTML шығысында WordPress-ке жүктелген барлық суреттерді қорғаңыз
画像をダウンロードから保護します	Суреттердің жүктеліп алынуына жол бермейді
画像データを保護した時にはほぼ完全なるダウンロードを阻止し、完全なるワンタイムURLを発行し、セッションに保存されたトークンで認証し、phpから画像を表示します、その為ほぼ完全な画像盗用を防ぎます	Сурет деректері қорғалған кезде біз жүктеп алуды дерлік толықтай болдырмаймыз, бірегей бір реттік URL-мекенжайлар береміз, сеансқа сақталған токендер арқылы аутентификация жүргіземіз және суреттерді PHP арқылы көрсетеміз; бұл сурет ұрлығын тиімді түрде болдырмайды.
画像データを保護した時には画像のキャッシュが効かないため、次回訪問時にサイトの読み込みが遅くなるため、SEOに影響があります	Сурет деректері қорғалған кезде кэштеу жұмыс істемейді, яғни сайт кейінгі кірулерде баяу жүктеледі, бұл SEO-ға әсер етеді.
画像データを保護した時には、データベースの負荷が高くなる可能性があります	Сурет деректерін қорғау дерекқорға түсетін жүктемені арттыруы мүмкін.
「imgタグが呼び出されるごとに画像を保護」の場合は、add_filterを使用し、imgタグの発行時にフィルタリングを行います、テーマによっては正しく動作しません	Егер сіз «img тег шақырылған сайын суреттерді қорғау» опциясын таңдасаңыз, жүйе img тег жасалған кезде add_filter арқылы сүзуді қолданады; алайда бұл кейбір тақырыптарда дұрыс жұмыс істемеуі мүмкін.
「出力される全HTMLのうち、Wordpressにアップロードされた画像をすべて保護」の場合は、Wordpressのほぼすべての動作をキャプチャし、コンテンツ内のimgタグについてすべて処理します。テーマによっては正しく動作しません	Егер сіз «Бүкіл HTML шығысында WordPress-ке жүктелген барлық суреттерді қорғау» опциясын таңдасаңыз, плагин WordPress-тің дерлік барлық операцияларын қадағалап, мазмұндағы әрбір img тегын өңдейді. Кейбір тақырыптармен бұл дұрыс жұмыс істемеуі мүмкін екенін ескеріңіз.
なお、アイキャッチに指定した画像はOGPとして拡散されますので保護できません。どうしても保護すべき場合は高度な設定でHTML保護時のHEADタグの出力の選択を変更してください	Ескеріңіз, ерекше суреттер ретінде белгіленген суреттер OGP деректері ретінде бөлісіліп, қорғалмайды. Егер оларды міндетті түрде қорғағыңыз келсе, HTML қорғауды қосқан кезде жетілдірілген баптауларда HEAD тегын шығару баптауын өзгертіңіз.
OS標準搭載のスクリーンショット機能を保護することはできません	Операциялық жүйеге кіріктірілген скриншот функциясын қорғау мүмкін емес.
画像URLの保護	Сурет URL-мекенжайларын қорғау
画像の保護と組み合わせて使用します、単体では意味がありません	Бұл суретті қорғаумен бірге қолданылуы тиіс; өздігінен ол ешқандай мақсатты атқармайды.
JavaScriptにより遅延読まれますのでSEOに影響があります	Ол JavaScript арқылы жалқау жүктелетіндіктен, бұл SEO-ға әсер етеді.
画像のウォーターマーク	Суретке су таңбасын қою
右下	оң жақ төменгі бұрыш
ランダム位置	Кездейсоқ орын
画像の保護と組み合わせて使用します、動的な透かしで著作権を明示しつつ、閲覧者に監視されている印象を与え抑止力を高めます	Суреттерді қорғаумен бірге қолданылғанда, динамикалық су таңбалары авторлық құқық иелігін айқын көрсетеді және көрермендерге бақыланып жатқандай әсер қалдырып, осылайша оларды заң бұзудан тежейді.
JPG形式、PNG形式、WebP形式のみ対応します	Тек JPG, PNG және WebP форматтары қолдау көрсетіледі.
有効にするとサーバーの負荷が高くなります	Оны қосу серверге жүктемені арттырады.
HTML難読化・保護時のHTMLソースコードのアスキーアートの出力	HTML-ді шиеленістіру және қорғау кезінде бастапқы кодтан ASCII-суреттерді шығару
表示なし	Көрсетілмейді
view-sourceでHTMLソース表示をした時に警告の意思を示すアスキーアートを表示します	'view-source' пайдаланып HTML бастапқы кодын қараған кезде ескерту көрсететін ASCII өнерін көрсетеді
対象アクションを起こした時の表示デザイン	Мақсатты әрекет орындалғанда дисплей дизайнын көрсету
黄色の背景の黒文字のベーシックデザイン	Сары фонда қара мәтінмен жасалған қарапайым дизайн
黒色の背景の赤文字のホラー風デザイン	Қара фонда қызыл мәтінмен қорқынышты стильдегі дизайн
黒色の背景の赤文字の光る文字のデザイン	Қара фонда жарқыраған қызыл мәтінмен безендірілген дизайн
対象アクションを起こした時のBGM	Мақсатты әрекет орындалғанда ойнайтын фондық музыка
サウンドなし	Дыбыс жоқ
戦闘＆戦闘勝利 - 1分16.3秒 - 630,056bytes - 64kbps - ライセンス：CC2.1 or later	Шайқас пен Жеңіс - 1 минут 16,3 секунд - 630 056 байт - 64 кбит/с - Лицензия: CC 2.1 немесе одан кейінгі
おやじ ショート - 3.8秒 - 32,364bytes - 64kbps - ライセンス GPL2.0 or later (C)EJ	Dad Short – 3,8 секунд – 32 364 байт – 64 кбит/с – Лицензия: GPL 2.0 немесе одан кейінгі
おやじ ロング - 23.5秒 - 195,578bytes - 64kbps - ライセンス GPL2.0 or later (C)EJ	Oyaji Long - 23,5 секунд - 195 578 байт - 64 кбит/с - Лицензия: GPL 2.0 немесе одан кейінгі
ショパン エチュード Op.10-5 黒鍵 打ち込み版 高速版 - 1分0.0秒 - 369,778bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	Шопен Этюді Op. 10 № 5
ショパン エチュード Op.10-12 革命 打ち込み版 高速版 - 1分57.6秒 - 724,457bytes - 48kbps -  ライセンス：CC BY-ND 4.0 or later	Шопен Этюді Op. 10 № 12 «Революция» – компьютерлік жасалған нұсқа, жоғары жылдамдықты нұсқа – 1 минут 57,6 секунд – 724 457 байт – 48 кбит/с – Лицензия: CC BY-ND 4.0 немесе одан кейінгі
ショパン スケルツォ 変ロ短調 Op2 打ち込み版 高速短縮版 - 1分48.0秒 - 665,369bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	Шопен: Си-бемоль минорлы Шерцо, оп. 2 – компьютерлік өңдеу арқылы жасалған нұсқа, жылдам қысқартылған нұсқа – 1 минут 48,0 секунд – 665 369 байт – 48 кбит/с – Лицензия: CC BY-ND 4.0 немесе одан кейінгі
リスト 超絶技巧練習曲 4番 マゼッパ 打ち込み版 高速短縮版 - 1分51.6秒 - 687,586bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	Тізім: Étude d'Exécution Transcendante № 4, «Мазепа» – компьютерлік жасалған нұсқа, жоғары жылдамдықты қысқартылған нұсқа – 1 минут 51,6 секунд – 687 586 байт – 48 кбит/с – Лицензия: CC BY-ND 4.0 немесе одан кейінгі
ファンファーレ - 22.3秒 - 183,926bytes - 64kbps - ライセンス：パブリックドメイン	Шеру – 22,3 секунд – 183 926 байт – 64 кбит/с – Лицензия: Қоғамдық домен
レトロ風ファンファーレ - 2.2秒 - 10,536bytes - 32kbps - ライセンス：パブリックドメイン	Ретро-стильдегі салтанатты әуен – 2,2 секунд – 10 536 байт – 32 кбит/с – Лицензия: Қоғамдық домен
レトロ風オープン - 42.1秒 - 179,138bytes - 32kbps - ライセンス：パブリックドメイン	Ретро стильдегі кіріспе – 42,1 секунд – 179 138 байт – 32 кбит/с – Лицензия: Қоғамдық домен
警告 by ChatGPT - 3.8秒 - 109,700bytes - 256kbps - ライセンス：パブリックドメイン	ChatGPT ескертуі - 3,8 секунд - 109 700 байт - 256 кбит/с - Лицензия: Қоғамдық домен
マルウェア検出みたいな緊急感の高い音 その１ by ChatGPT - 3.3秒 - 102,850bytes - 256kbps - ライセンス：パブリックドメイン	Зиянды бағдарламаны анықтау туралы ескерту сияқты жоғары шұғылдықтағы дыбыс – 1-бөлім ChatGPT-тен – 3,3 секунд – 102 850 байт – 256 кбит/с – Лицензия: Қоғамдық домен
マルウェア検出みたいな緊急感の高い音 その２ by ChatGPT - 3.3秒 - 103,122bytes - 256kbps - ライセンス：パブリックドメイン	Зиянды бағдарламаны анықтау туралы ескерту сияқты жоғары шұғылдықтағы дыбыс, 2-бөлім ChatGPT-тен - 3,3 секунд - 103 122 байт - 256 кбит/с - Лицензия: Қоғамдық домен
MRI風サウンド by ChatGPT - 1分14.9秒 - 3,340,392bytes - 320kbps - ライセンス：パブリックドメイン	ChatGPT арқылы жасалған МРТ стиліндегі дыбыс – 1 минут 14,9 секунд – 3 340 392 байт – 320 kbps – Лицензия: Қоғамдық домен
警告表示中のBGMを選択します	Ескерту кезінде ойнатылатын фондық музыканы таңдаңыз
びっくりするような雰囲気を作ります	Бұл таңқаларлық атмосфераны тудырады
Firefoxでは音声ブロックされます	Firefox-та дыбыс бұғатталған
対象アクションを起こした時のビープ音	Көрсетілген әрекет орындалғанда дыбыс сигналы шығады
有効 音量小さ目	Қосу, дыбыс деңгейі төмен
有効 音量大き目	Активті, дыбыс деңгейі жоғары
警告表示中にすべてのキー・マウスイベントでビープ音を鳴らします	Ескерту көрсетіліп тұрған кезде барлық перне мен тінтуір оқиғаларына жауап ретінде «бип» дыбысы естіледі.
警告表示中に端末が暴走したかのような雰囲気を作ります	Ескерту көрсетіліп тұрған кезде құрылғы бақылаудан шығып кеткендей әсер қалдырады.
対象アクションを起こした時のマウスカーソルの消去	Белгілі бір әрекет орындалғанда тінтуір көрсеткішін жасыру
警告表示中にブラウザのエリアのマウスカーソルを消去します	Ескерту көрсетіліп тұрған кезде шолғыш аймағында тінтуір көрсеткішін жасырады
デバッグモード	Қателерді түзету режимі
妨害＋記録のみ	Тек кедергілер + жазбалар
妨害＋記録＋表示＋リダイレクト	Кедергі келтіру + Тіркеу + Көрсету + Бағыттау
メニューからは操作できてしまいます	Сіз әлі де оны мәзір арқылы аша аласыз.
Firefoxにおけるデバッグモード	Firefox-тағы ақауларды түзету режимі
ブラウザーコンソール	Шолғыш консолі
事実上デバッグモードから操作できてしまいます	Шын мәнінде, оны debug режимінен басқара аласыз.
HTMLソース表示	HTML бастапқы кодын көру
view-source:から始まるURLを入力すれば操作できてしまいます	Операцияны 'view-source:' деген URL-ді енгізу арқылы оңай орындауға болады.
HTML保護と組み合わせることでコンテンツを保護することができます	Сіз бұл әдісті HTML қорғаумен біріктіре отырып, мазмұныңызды қорғай аласыз.
印刷	Басып шығару
印刷阻止をするもものの、ブラウザによってはうまく動作しません	Басып шығаруды болдырмаса да, кейбір браузерлерде дұрыс жұмыс істемеуі мүмкін.
スクリーンショット	Экран суреті
OSやブラウザ、方法によっては妨害できず、もしくは検出しないことがあります	Қолданылатын операциялық жүйеге, браузерге немесе әдіске байланысты оны бұғаттау мүмкін болмауы немесе анықталмауы мүмкін.
ウインドウが背面に移動した時スクリーンショットの疑い	Терезе артқы фонға ауысқан кезде күдікті скриншот
あわせて、スクリーンショット以外の機能（タブ切り替え・ウィンドウ切り替え）にも反応してしまいます。	Сонымен қатар ол скриншоттардан басқа функцияларға да жауап береді
2キー押下のスクリーンショットの疑い	Екі пернені бірге басу арқылы алынған күдікті скриншот
上の項目の検出方法は完全ではありません、予防的に検出を行います	Жоғарыда аталған заттарды анықтау әдістері толық сенімді емес; анықтау алдын алу шарасы ретінде жүргізіледі.
スクリーンショットだけではなく、デバッグモード等も検出します	Ол тек скриншоттарды ғана емес, сонымен қатар debug режимдерін және оларға ұқсас басқа да режимдерді анықтайды.
ページ保存	Бетті сақтау
右クリック	оң жақ түймешікті басу
アドオンがインストールされていると操作できてしまいます	Егер қосымша орнатылған болса, сіз оны пайдалана аласыз.
コピー・カット	Көшіру және кесу
本プラグインの設定によってはこのイベントにたどり着くことはほとんどない場合があります	Осы плагиннің баптауларына байланысты сіз бұл оқиғаны сирек кездестіре аласыз.
テキスト全選択	Барлық мәтінді таңдаңыз
テキスト選択	Мәтінді таңдаңыз
デバッガー起動ログ、デバッガー妨害	Дебаггерді іске қосу журналы, дебаггердің кедергісі
デバッグモードの使い勝手を少し悪くし、デバッガを起動したことをログに残します、ブラウザによってはこの挙動が止められてしまいます	Бұл debug режимін сәл қолданушыға қолайсыз етеді және дебаггердің іске қосылғанын тіркейді; дегенмен кейбір браузерлер бұл әрекетті бұғаттауы мүмкін.
リダイレクトするURL	URL-ды қайта бағыттау
利用規約などのページに転送すると良いでしょう	Пайдаланушыларды Пайдалану шарттары сияқты беттерге бағыттау жақсы идея болар еді.
空欄にすると元のURLにリダイレクトをします	Егер бос қалдырылса, ол бастапқы URL-ге бағыттайды.
リダイレクトまでの時間	Қайта бағыттауға дейінгі уақыт
リダイレクトなし	Бағыттау жоқ
1秒	1 секунд
2秒	2 секунд
3秒	3 секунд
4秒	4 секунд
5秒	5 секунд
6秒	6 секунд
7秒	7 секунд
8秒	8 секунд
9秒	9 секунд
10秒	10 секунд
15秒	15 секунд
20秒	20 секунд
25秒	25 секунд
30秒	30 секунд
35秒	35 секунд
40秒	40 секунд
45秒	45 секунд
50秒	50 секунд
55秒	55 секунд
1分	1 минут
1分10秒	1 минут 10 секунд
1分20秒	1 минут 20 секунд
1分30秒	1 минут 30 секунд
1分40秒	1 минут 40 секунд
1分50秒	1 минут 50 секунд
2分	2 минут
ソース表示を許可する権限	Кодты көруге рұқсат
ADMINログイン時のみ通常のソース出力	Қалыпты көз шығысы тек ADMIN ретінде кіргенде ғана
USERログインで通常のソース出力	Пайдаланушы ретінде кірген кезде қалыпты шығыс
通常のHTML出力を管理者のみかユーザーログインかを選択します	Стандартты HTML шығысын тек әкімшілерге ғана шектеулі немесе пайдаланушының кіруін талап ететін режимді таңдаңыз.
画像を無理やりダウンロードして実際にダウンロードされるもの	Суретті мәжбүрлеп жүктеу және шын мәнінде не жүктелетіні
GIF形式で1×1ピクセルの透過画像	GIF форматындағы 1×1 пиксельді мөлдір сурет
PNG形式で1×1ピクセルの透過画像	PNG форматындағы 1×1 пиксельді мөлдір сурет
PNG形式で黄色い背景の警告画面	PNG форматындағы сары фонды бар ескерту экраны
意味のないHTMLドキュメント	Мағынасыз HTML құжаты
HTML保護時のHEADタグの出力	HTML қорғалған кезде HEAD тегтің шығысы
出力しない	Баспаға шығармаңыз
TITLEタグのみ	Тек TITLE тегі ғана
WordpressのHEADタグより取得	WordPress HEAD тегінен алынды
企業用途の会員専用ページや社内ページなどでは「出力しない」、「TITLEタグのみ」で良いでしょう	Корпоративтік пайдалануға арналған тек мүшелерге арналған беттер мен ішкі беттер үшін «Шығармау» немесе «Тек TITLE тегі» опциясын таңдау жеткілікті.
WordpressのHEADタグから取得しないと、SNSのシェアでOGP画像が表示されません	Егер сіз WordPress HEAD тегінен ақпаратты алмасаңыз, әлеуметтік желілерде бөліскенде OGP суреті көрсетілмейді.
画像botをアクセス禁止にする	Сурет ботын бұғаттаңыз
画像botをHTMLに対し避けることにより、画像検索から直接リンクされることによって守れなかったコンテンツを守ることができます、ただし完全には対処することはできません	Сурет боттарының HTML-ге қол жеткізуін болдырмау арқылы сурет іздеу арқылы тікелей сілтеме жасалудан қорғай алмаған мазмұнды қорғай аласыз; алайда бұл толық шешім емес.
AI学習用botをアクセス禁止にする	ЖИ-оқыту ботына кіруді бұғаттау
AIの学習用のbotをHTMLに対し避けることにより、AIで利用されないようにします、ただし完全には対処することはできません	HTML-дегі жасанды интеллектіні оқытуға арналған боттарды пайдаланбау арқылы біз мазмұнның жасанды интеллектпен пайдаланылмауын қамтамасыз етеміз; алайда оны толықтай болдырмау мүмкін емес.
ウェブアーカイブ、ウェブ魚拓をアクセス禁止にする	Веб-архивтер мен веб-суреттерге қол жеткізуді бұғаттау
自動的に収集されるウェブアーカイブ並びにユーザーの任意で取得される魚拓のアクセスを禁止します、ただし完全には対処することはできません	Біз пайдаланушының қалауы бойынша автоматты түрде жиналған веб-архивтер мен скриншоттарға қол жеткізуге тыйым саламыз; алайда, оны толықтай болдырмай алмаймыз.
無効なUAをアクセス禁止にする	Жарамсыз пайдаланушы агенттерін бұғаттау
ユーザーエイジェントの文字に不正な文字列があった場合のアクセスを避けます	Егер пайдаланушы агенті жолында жарамсыз таңбалар болса, кіруге тыйым салынады.
Internet Explorerと旧Microsoft Edge(EdgeHTML)のアクセスに警告を表示する	Internet Explorer мен ескі Microsoft Edge
Internet Explorerと旧Microsoft Edgeのアクセスを避けます	Internet Explorer және ескі Microsoft Edge арқылы кіруге жол бермейді
alertメッセージを表示する言語	Ескерту хабарламалары көрсетілетін тіл
Wordpressの言語	WordPress тілдері
ブラウザの設定言語	Шолғыштың тіл баптаулары
メッセージをカスタム設定されている場合は言語を変更できません	Хабарламалар теңшеліп қойылған болса, тілді өзгерте алмайсыз.
同意画面の言語	Рұқсат беру экранының тілі
view-sourceメッセージを表示する言語	«view-source» хабарламасын көрсету тілі
一時使用トークンの有効期限	Уақытша токендердің жарамдылық мерзімі
3分	3 минут
4分	4 минут
5分	5 минут
6分	6 минут
7分	7 минут
8分	8 минут
9分	9 минут
10分	10 минут
15分	15 минут
20分	20 минут
25分	25 минут
30分	30 минут
35分	35 минут
40分	40 минут
45分	45 минут
50分	50 минут
55分	55 минут
1時間	1 сағат
画像URL情報の有効期限を設定します	Сурет URL ақпаратының жарамдылық мерзімін орнатыңыз
一度読み込まれると画像URL情報と一時使用トークンは無効化されます	Жүктелгеннен кейін суреттің URL-мекенжайы мен уақытша токен жарамсыз болады.
画像は遅延読み込みされますが、この指定した時間の30秒前に強制的に画像が読み込まれます	Суреттер сұраныс бойынша жүктеледі, бірақ олар көрсетілген уақыттан 30 секунд бұрын автоматты түрде жүктеледі.
一時使用トークンのビット数	Уақытша токендегі биттер саны
画像URL情報を暗号化するのに一時使用トークンをパスワードとして使用しますが、その強度を指定します	Суреттің URL-мекенжайы туралы ақпаратты шифрлау үшін уақытша токен пароль ретінде пайдаланылады; бұл баптау оның күшін анықтайды.
ドロップダウンメニューの下に表示される選択肢にいくにつれて強度が強くなるものの、サーバーへの負荷が高くなり、HTML転送量が多くなることがあります	Төмен ашылатын мәзірдің астында көрсетілген опциялар барған сайын егжей-тегжейлі болған сайын, бұл серверге жүктемені арттырып, HTML деректерінің көлемінің ұлғаюына әкелуі мүмкін.
ハッシュ化アルゴリズム	Хэш алгоритмі
画像URL情報を暗号化するのに一時使用トークンをパスワードとして使用しますが、その時ハッシュ化が必要です、その強度を設定します	Суреттің URL-мекенжайы туралы ақпаратты шифрлау үшін уақытша токен пароль ретінде пайдаланылады; бұл хэштеуді қажет етеді және бұл баптау сол хэштеудің күшін анықтайды.
ドロップダウンメニューの下に表示される選択肢にいくにつれて強度が強くなるものの、サーバーへの負荷が高くなります	Тігінен ашылатын мәзірдегі опцияларды төмен сырғытқан сайын интенсивтілік артады, бірақ бұл серверге қосымша жүктеме түсіреді.
基本設定	Негізгі баптаулар
高度な設定	Кеңейтілген баптаулар
初期設定に戻す	Әдепкі баптауларды қалпына келтіру
デザイン・音の設定	Дизайн және дыбыс баптаулары
イベントの設定	Іс-шара параметрлері
初回訪問時のお知らせの設定	Алғашқы кірулер үшін хабарламаларды орнату
メッセージの設定	Хабарлама параметрлері
右クリックやソースコード表示時に転送する URL を設定します	Оң жақ түймешікпен шерту немесе бастапқы кодты қарау кезінде ашылатын URL-мекенжайды орнатыңыз
警告メッセージにはHTMLは使用できません	HTML ескерту хабарламаларында қолданылмайды.
この画面で設定すると、高度な設定タブにある言語設定が無視されます	Егер сіз осы экранда бұл параметрді орнатсаңыз, «Қосымша» қойындысындағы тіл баптаулары ескерілмейді.
以下の文字列が使用できます	Төмендегі жолдарды пайдалануға болады
改行	Жол үзілісі
押下されたキー	Перне басылды
Neo HTML Protector 設定	Neo HTML қорғаушысының баптаулары
お知らせ	Ескерту
メッセージ	Хабарлама
デザイン・音	Дизайн және дыбыс
初期化	Бастапқыландыру
このプラグインについて	Осы плагин туралы
設定が初期化されました	Параметрлер қалпына келтірілді
プラグインを初期化します なおIPログリーダーのデータはここでは削除されません	Плагинді бастапқы күйге келтіріңіз. Осы кезеңде IP Log Reader деректері жойылмайтынын ескеріңіз.
Neo HTML Protectorについて	Neo HTML Protector туралы
このプラグインはあなたのWordpressから出力されるHTMLや画像等を保護し、コンテンツの不正利用から守ることを目的としています。	Бұл плагин сіздің WordPress сайтыңыз арқылы жасалған HTML-ді, суреттерді және басқа да мазмұнды рұқсатсыз пайдаланудан қорғауға арналған.
コンテンツを完璧に守ることはできません。しかし可能な限りの方法において警告し、もし何かがあった場合に備えて準備することにより国で定められている方法で解決することができるはずです。	Мазмұнды толықтай қорғау мүмкін емес. Алайда мүмкіндігінше ескертулер жасап, қандай да бір жағдай орын алса дайындалып отырып, біз үкімет белгілеген тәртіптерге сәйкес мәселені шеше аламыз.
もちろん、利用規約やサイトポリシーを充実させる必要があります。このプラグインは利用規約生成アプリではありませんが、そのヒントを与えることができます。	Әрине, сізге шарттарыңыз бен ережелеріңіздің және сайттағы саясаттарыңыздың толық әрі жан-жақты болуын қамтамасыз ету қажет. Бұл плагин шарттар мен ережелерді жасауға арналған құрал болмаса да, ол кейбір нұсқаулықтарды бере алады.
開発者: 夜桜　なの	Әзірлеуші: Nano Yozakura
バージョン	Нұсқа
ビルド	Құру
サポートページ	Қолдау беті
ISISちゃん	ISIS chan
Miss. 裏まにら氏歌唱	Орындаушысы – Мисс Ура Манира
支援のお願い	Қолдауға өтініш
Neo HTML Protectorをご利用いただき、ありがとうございます！	Neo HTML Protector-ды пайдаланғаныңызға рахмет!
