設定	Ezarpenak
おやじ ショート - 3.8秒 - 32,364bytes - 64kbps - ライセンス GPL2.0 or later (C)EJ	Aita Laburra - 3,8 segundo - 32.364 byte - 64 kbps - Lizentzia: GPL 2.0 edo berriagoa
おやじ ロング - 23.5秒 - 195,578bytes - 64kbps - ライセンス GPL2.0 or later (C)EJ	Oyaji Luzea - 23,5 segundo - 195.578 byte - 64 kbps - Lizentzia: GPL 2.0 edo beranduen
ショパン エチュード Op.10-5 黒鍵 打ち込み版 高速版 - 1分0.0秒 - 369,778bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	Chopin Étude Op. 10 No. 5
ショパン エチュード Op.10-12 革命 打ち込み版 高速版 - 1分57.6秒 - 724,457bytes - 48kbps -  ライセンス：CC BY-ND 4.0 or later	Chopin Étude Op. 10 No. 12 'Revolution' – Ordenagailuz sortutako bertsioa, abiadura handikoa – 1 minutu 57,6 segundo – 724.457 byte – 48 kbps – Lizentzia: CC BY-ND 4.0 edo berriagoa
ショパン スケルツォ 変ロ短調 Op2 打ち込み版 高速短縮版 - 1分48.0秒 - 665,369bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	Chopin: Si bemol minorreko Scherzo, Op. 2 – Ordenagailuz sortutako bertsioa, abiadura handiko laburbildutako bertsioa – 1 minutu 48,0 segundo – 665.369 byte – 48 kbps – Lizentzia: CC BY-ND 4.0 edo berriagoa
リスト 超絶技巧練習曲 4番 マゼッパ 打ち込み版 高速短縮版 - 1分51.6秒 - 687,586bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	Zerrenda: Étude d'Exécution Transcendante No. 4, 'Mazeppa' – ordenagailuz sortutako bertsioa, abiadura handiko laburbildutako bertsioa – 1 minutu 51,6 segundo – 687.586 byte – 48 kbps – Lizentzia: CC BY-ND 4.0 edo berriagoa
ファンファーレ - 22.3秒 - 183,926bytes - 64kbps - ライセンス：パブリックドメイン	Fanfara – 22,3 segundo – 183.926 byte – 64 kbps – Lizentzia: Domeinu Publikoa
レトロ風ファンファーレ - 2.2秒 - 10,536bytes - 32kbps - ライセンス：パブリックドメイン	Retro estiloko fanfara – 2,2 segundo – 10.536 byte – 32 kbps – Lizentzia: Domeinu Publikoa
レトロ風オープン - 42.1秒 - 179,138bytes - 32kbps - ライセンス：パブリックドメイン	Retro estiloko sarrera – 42,1 segundo – 179.138 byte – 32 kbps – Lizentzia: Domeinu Publikoa
警告 by ChatGPT - 3.8秒 - 109,700bytes - 256kbps - ライセンス：パブリックドメイン	ChatGPT-ren ohartarazpena - 3,8 segundo - 109.700 byte - 256 kbps - Lizentzia: Domeinu Publikoa
マルウェア検出みたいな緊急感の高い音 その１ by ChatGPT - 3.3秒 - 102,850bytes - 256kbps - ライセンス：パブリックドメイン	Larrialdi handiko soinua, malware-detekzio alerta baten antzekoa – 1. zatia ChatGPT-k – 3,3 segundo – 102.850 byte – 256 kbps – Lizentzia: Domeinu publikoa
マルウェア検出みたいな緊急感の高い音 その２ by ChatGPT - 3.3秒 - 103,122bytes - 256kbps - ライセンス：パブリックドメイン	Malware-detekzio-alerta baten antzeko premiazko soinua, 2. zatia ChatGPT-k - 3,3 segundo - 103.122 byte - 256 kbps - Lizentzia: Domeinu publikoa
MRI風サウンド by ChatGPT - 1分14.9秒 - 3,340,392bytes - 320kbps - ライセンス：パブリックドメイン	MRI estiloko soinua ChatGPT-k sortua – 1 minutu 14,9 segundo – 3.340.392 byte – 320 kbps – Lizentzia: Domeinu Publikoa
警告表示中のBGMを選択します	Hautatu abisu baten bitartean erreproduzituko den atzeko musika.
びっくりするような雰囲気を作ります	Harritzekoa den giro bat sortzen du.
Firefoxでは音声ブロックされます	Firefoxen audioa blokeatuta dago
対象アクションを起こした時のビープ音	Ezarritako ekintza gauzatzen denean bip bat
有効 音量小さ目	Piztuta, bolumena baxua
有効 音量大き目	Aktiboa, bolumena altu ezarrita
警告表示中にすべてのキー・マウスイベントでビープ音を鳴らします	Abisu bat bistaratzen den bitartean, teklatu eta saguaren ekitaldi guztiei erantzunez bip bat entzun ahal izango da.
警告表示中に端末が暴走したかのような雰囲気を作ります	Abisua bistaratuta dagoen bitartean, gailuak kontrolik gabe dabilen moduko inpresioa sortzen du.
対象アクションを起こした時のマウスカーソルの消去	Ekintza zehatz bat gauzatzen denean saguaren kurtsorea ezkutatzea
警告表示中にブラウザのエリアのマウスカーソルを消去します	Abisua bistaratzen den bitartean nabigatzailearen eremuan saguaren kurtsorea ezkutatzen du.
デバッグモード	Akatsak konpontzeko modua
妨害＋記録のみ	Interferentzia + Erregistroak bakarrik
妨害＋記録＋表示＋リダイレクト	Interferentzia + Erregistroa + Erakustea + Bideratzea
メニューからは操作できてしまいます	Oraindik ere menutik sar zaitezke.
Firefoxにおけるデバッグモード	Firefoxen akatsak konpontzeko modua
ブラウザーコンソール	Arakatzaile-kontsola
事実上デバッグモードから操作できてしまいます	Egiazki, debug modutik eragiki dezakezu.
HTMLソース表示	Ikusi HTML iturburu-kodea
view-source:から始まるURLを入力すれば操作できてしまいます	Eragiketa 'view-source:' hasierako URL bat sartuta soilik egin dezakezu.
HTML保護と組み合わせることでコンテンツを保護することができます	Edukia babestu dezakezu hau HTML babesarekin konbinatuz.
印刷	Inprimatu
印刷阻止をするもものの、ブラウザによってはうまく動作しません	Inprimatzea eragotzita egon arren, nabigatzaile batzuetan ez du behar bezala funtzionatuko.
スクリーンショット	Pantaila-argazkia
OSやブラウザ、方法によっては妨害できず、もしくは検出しないことがあります	Erabiltzen den sistema eragile, nabigatzaile edo metodoren arabera, hau blokeatzea ezinezkoa izan daiteke edo ez da hautemango.
ウインドウが背面に移動した時スクリーンショットの疑い	Ustezko pantaila-argazkia leihoa atzeko planora mugitzen denean
あわせて、スクリーンショット以外の機能（タブ切り替え・ウィンドウ切り替え）にも反応してしまいます。	Pantaila-argazkiekin loturiko funtzioez harago, beste funtzio batzuei ere erantzuten die
2キー押下のスクリーンショットの疑い	Bi tekla sakatuta ateratako pantaila-argazki susmagarria
上の項目の検出方法は完全ではありません、予防的に検出を行います	Goiko elementuetarako detekzio-metodoak ez dira guztiz fidagarriak; detekzioa neurri prebentibo gisa egiten da.
スクリーンショットだけではなく、デバッグモード等も検出します	Ez ditu soilik pantaila-argazkiak antzematen, baita debug moduak eta antzekoak ere.
ページ保存	Gorde orria
右クリック	Eskuineko klik egin
アドオンがインストールされていると操作できてしまいます	Gehigarria instalatuta badago, erabili ahal izango duzu.
コピー・カット	Kopiatu eta moztu
本プラグインの設定によってはこのイベントにたどり着くことはほとんどない場合があります	Plugin honen ezarpenen arabera, agian noizean behin bakarrik topatuko duzu gertakari hau.
テキスト全選択	Hautatu testu guztia
テキスト選択	Testua hautatu
デバッガー起動ログ、デバッガー妨害	Debugatzailearen abio-log-a, debugatzailearen interferentzia
デバッグモードの使い勝手を少し悪くし、デバッガを起動したことをログに残します、ブラウザによってはこの挙動が止められてしまいます	Honek debug modua pixka bat gutxiago erabilerraza bihurtzen du eta debugatzailea abiarazi dela erregistratzen du; hala ere, nabigatzaile batzuek portaera hau blokea dezakete.
リダイレクトするURL	Bideratu URL-a
利用規約などのページに転送すると良いでしょう	Erabiltzaileak Erabilera Baldintzak bezalako orrialdeetara birbideratzea ideia ona litzateke.
空欄にすると元のURLにリダイレクトをします	Hutsik uzten bada, jatorrizko URL-era birbideratuko da.
リダイレクトまでの時間	Bideratze arteko denbora
リダイレクトなし	Ez birbideratu
1秒	1 segundo
2秒	Bi segundo
3秒	3 segundo
4秒	Lau segundo
5秒	5 segundo
6秒	Sei segundo
7秒	Zazpi segundo
8秒	Zortzi segundo
9秒	Bederatzi segundo
10秒	Hamar segundo
15秒	Hamabost segundo
20秒	Hogei segundo
25秒	25 segundo
30秒	Hogeita hamar segundo
35秒	35 segundo
40秒	Berrogei segundo
45秒	Berrogeita hamar segundo
50秒	Berrogeita hamar segundo
55秒	Berrogeita hamar segundo
1分	Minutu bat
1分10秒	Minutu bat eta hamar segundo
1分20秒	Minutu bat eta hogei segundo
1分30秒	Minutu bat eta hogeita hamar segundo
1分40秒	Minutu 1 eta 40 segundo
1分50秒	Minutu bat eta berrogeita hamar segundo
2分	Bi minutu
ソース表示を許可する権限	Iturburu-kodea ikusteko baimena
ADMINログイン時のみ通常のソース出力	Iturri arruntaren irteera soilik ADMIN gisa saioa hasi denean
USERログインで通常のソース出力	Sarbidea USER gisa egindakoan irteera-iturri normala
通常のHTML出力を管理者のみかユーザーログインかを選択します	Aukeratu HTML irteera estandarra administratzaileentzat bakarrik mugatuta egon behar den ala erabiltzaileen saioa eskatzen duen.
画像を無理やりダウンロードして実際にダウンロードされるもの	Irudi bat deskargatzera behartzea eta benetan deskargatzen dena
GIF形式で1×1ピクセルの透過画像	GIF formatuan 1×1 pixeleko irudi gardena
PNG形式で1×1ピクセルの透過画像	PNG formatuan 1×1 pixeleko irudi gardena
PNG形式で黄色い背景の警告画面	PNG formatu batean, atzealde horia duen ohartarazpen-pantaila
意味のないHTMLドキュメント	HTML dokumentu hutsa
HTML保護時のHEADタグの出力	HTML babestuta dagoenean HEAD etiketako irteera
出力しない	Ez inprimatu
TITLEタグのみ	Buru-etiketa bakarrik
WordpressのHEADタグより取得	WordPressen HEAD etiketako berreskuratua
企業用途の会員専用ページや社内ページなどでは「出力しない」、「TITLEタグのみ」で良いでしょう	Enpresako erabilerarako kideentzako soilik orrialdeetarako eta barne orrialdeetarako, 'Ez irten' edo 'TITLE etiketa bakarrik' hautatzeak nahikoa izango da.
WordpressのHEADタグから取得しないと、SNSのシェアでOGP画像が表示されません	WordPress-eko HEAD etiketako informazioa berreskuratu ezean, OGP irudia ez da agertuko sare sozialetan partekatzean.
画像botをアクセス禁止にする	Blokeatu irudi-bota
画像botをHTMLに対し避けることにより、画像検索から直接リンクされることによって守れなかったコンテンツを守ることができます、ただし完全には対処することはできません	Irudi-botak HTMLra sartzea eragotzita, irudi-bilaketaren bidezko esteka zuzenen aurka babestu ezin zitekeen edukia babestu dezakezu; hala ere, honek ez du konponbide osoa eskaintzen.
AI学習用botをアクセス禁止にする	Adimen artifizialeko entrenamendu-botera sarbidea blokeatu
AIの学習用のbotをHTMLに対し避けることにより、AIで利用されないようにします、ただし完全には対処することはできません	HTMLn adimen artifizialaren prestakuntzarako diseinatutako botak saihestuz, edukiak adimen artifizialak ez erabiltzea bermatzen dugu; hala ere, hori guztiz ekidin ezin daiteke.
ウェブアーカイブ、ウェブ魚拓をアクセス禁止にする	Web artxiboetara eta web argazki-ateratzeetara sarbidea blokeatu
自動的に収集されるウェブアーカイブ並びにユーザーの任意で取得される魚拓のアクセスを禁止します、ただし完全には対処することはできません	Web artxibo automatikoki bildutakoetara eta erabiltzailearen erabakiz ateratako pantaila-argazkietara sarbidea debekatzen dugu; hala ere, hori guztiz saihestezina da.
無効なUAをアクセス禁止にする	Blokeatu baliogabeak diren erabiltzaile-agentziak
ユーザーエイジェントの文字に不正な文字列があった場合のアクセスを避けます	Erabiltzaile-agentearen kateak baliogabeko karaktereak baditu, sarbidea galarazten du.
Internet Explorerと旧Microsoft Edge(EdgeHTML)のアクセスに警告を表示する	Internet Explorer eta zahar Microsoft Edge
Internet Explorerと旧Microsoft Edgeのアクセスを避けます	Internet Explorer eta Microsoft Edge zaharraren bidezko sarbidea saihesten du.
alertメッセージを表示する言語	Abisu-mezuak bistaratzen diren hizkuntza
Wordpressの言語	WordPresseko hizkuntzak
ブラウザの設定言語	Nabigatzailearen hizkuntza-ezarpenak
メッセージをカスタム設定されている場合は言語を変更できません	Mezuak pertsonalizatu badira, ezin duzu hizkuntza aldatu.
同意画面の言語	Onarpen pantailaren hizkuntza
view-sourceメッセージを表示する言語	'view-source' mezua erakusteko hizkuntza
一時使用トークンの有効期限	Tokenen iraungitze-data
3分	Hiru minutu
4分	Lau minutu
5分	Bost minutu
6分	Sei minutu
7分	Zazpi minutu
8分	Zortzi minutu
9分	Bederatzi minutu
10分	Hamar minutu
15分	Hamabost minutu
20分	Hogei minutu
25分	Hogei eta bost minutu
30分	Hirurogei minutu
35分	Hogeita bost minutu
40分	Berrogei minutu
45分	Berrogeita hamar minutu
50分	Berrogeita hamar minutu
55分	Berrogeita hamabost minutu
1時間	Ordu bat
画像URL情報の有効期限を設定します	Ezarri irudiaren URL-ari buruzko informazioaren iraungitze-data.
一度読み込まれると画像URL情報と一時使用トークンは無効化されます	Behin kargatuta, irudiaren URL-a eta aldi baterako token-a baliogabetuko dira.
画像は遅延読み込みされますが、この指定した時間の30秒前に強制的に画像が読み込まれます	Irudiak eskaeraren arabera kargatzen dira, baina zehaztutako ordua baino 30 segundo lehenago automatikoki kargatuko dira.
一時使用トークンのビット数	Tokiko token baten bit kopurua
画像URL情報を暗号化するのに一時使用トークンをパスワードとして使用しますが、その強度を指定します	Denbora-tarte baterako token bat pasahitz gisa erabiltzen da irudiaren URL-ari buruzko informazioa zifratzeko; ezarpen honek haren indarra zehazten du.
ドロップダウンメニューの下に表示される選択肢にいくにつれて強度が強くなるものの、サーバーへの負荷が高くなり、HTML転送量が多くなることがあります	Nahiz eta beherako menuan agertzen diren aukerak gero eta xeheagoak izan, honek zerbitzariari karga handia eragin dezake eta HTML datu bolumen handia transferitzea ekar dezake.
ハッシュ化アルゴリズム	Haxen algoritmoa
画像URL情報を暗号化するのに一時使用トークンをパスワードとして使用しますが、その時ハッシュ化が必要です、その強度を設定します	Denbora-laburreko token bat pasahitz gisa erabiltzen da irudiaren URL-ari buruzko informazioa zifratzeko; horretarako hash-ak egitea beharrezkoa da, eta ezarpen honek hash horien indarra zehazten du.
ドロップダウンメニューの下に表示される選択肢にいくにつれて強度が強くなるものの、サーバーへの負荷が高くなります	Nahiz eta behera zabaltzen den menuan agertzen den aukeren zerrendan behera joan ahala intentsitatea handitu, honek zerbitzarian karga handiagoa jartzen du.
基本設定	Ezarpen oinarrizkoak
高度な設定	Aurreratutako ezarpenak
初期設定に戻す	Berreskuratu lehenetsitako ezarpenak
デザイン・音の設定	Diseinua eta soinu-ezarpenak
イベントの設定	Ekitaldiaren ezarpenak
初回訪問時のお知らせの設定	Lehen bisitaldietarako jakinarazpenak ezartzea
メッセージの設定	Mezuaren ezarpenak
右クリックやソースコード表示時に転送する URL を設定します	Eskuineko klik egiterakoan edo iturburu-kodea ikusterakoan irekiko den URL ezarri.
警告メッセージにはHTMLは使用できません	HTML ezin da ohartarazpen-mezuetan erabili.
この画面で設定すると、高度な設定タブにある言語設定が無視されます	Pantaila honetan hau konfiguratzen baduzu, Aurreratuko fitxako hizkuntza-ezarpenak baztertuko dira.
以下の文字列が使用できます	Hurrengo kateak erabil daitezke
改行	Lerro-apurtzea
押下されたキー	Tekla sakatuta
Neo HTML Protector 設定	Neo HTML Babeslearen Ezarpenak
お知らせ	Oharra
メッセージ	Mezu
デザイン・音	Diseinua eta Soinua
初期化	Hasieratzea
このプラグインについて	Plugin honi buruz
設定が初期化されました	Ezarpenak berrezarri dira
プラグインを初期化します なおIPログリーダーのデータはここでは削除されません	Ekartzailea abiarazi. Mesedez, kontuan izan IP Log Reader-eko datuak oraindik ez direla ezabatuko.
Neo HTML Protectorについて	Neo HTML Babesleari buruz
このプラグインはあなたのWordpressから出力されるHTMLや画像等を保護し、コンテンツの不正利用から守ることを目的としています。	Plugin hau zure WordPress guneak sortutako HTML, irudi eta bestelako edukiak babesteko diseinatuta dago, baimenik gabeko erabileraren aurka babestuz.
コンテンツを完璧に守ることはできません。しかし可能な限りの方法において警告し、もし何かがあった場合に備えて準備することにより国で定められている方法で解決することができるはずです。	Edukia erabat babestea ezinezkoa da. Hala ere, ahal den guztietan ohartarazpenak emanez eta edozer gertatuz gero prestaketak eginez, gobernuak ezarritako prozedurei jarraituz gai hau konpon dezakegu.
もちろん、利用規約やサイトポリシーを充実させる必要があります。このプラグインは利用規約生成アプリではありませんが、そのヒントを与えることができます。	Jakina, zure termino eta baldintzak eta webguneko politika osatuak direla ziurtatu beharko duzu. Nahiz eta plugin honek termino eta baldintzak sortzeko tresna ez izan, gida batzuk eskaintzen ditu.
開発者: 夜桜　なの	Garatzailearen izena: Nano Yozakura
バージョン	Bertsioa
ビルド	Eraiki
サポートページ	Laguntza-orria
ISISちゃん	ISIS chan
Miss. 裏まにら氏歌唱	Miss Ura Manirak interpretatua
支援のお願い	Laguntza-eskaera
Neo HTML Protectorをご利用いただき、ありがとうございます！	Eskerrik asko Neo HTML Protector erabiltzeagatik!
本プラグインの開発と維持には多くの時間と知恵の絞りだしがかかっており、引き続き改善と更新を行っていくための資金を集めるために、もしご支援いただける方がいれば、寄付をお願いできればと思います。	Plugin honen garapenak eta mantentze-lanek denbora eta ahalegin handia behar izan dute, eta hobetzen eta eguneratzen jarraitzeko diru-bilketa egiteko, gurekin bat egin eta dohaintza bat egitera prest dagoen edonori eskertuko genieke.
寄付について	Dohaintzei buruz
