設定	การตั้งค่า
プライバシーポリシーのURLはこちらから設定して下さい	กรุณาตั้งค่า URL ของนโยบายความเป็นส่วนตัวที่นี่
プライバシーポリシーには以下の内容を追加して下さい	โปรดเพิ่มเนื้อหาต่อไปนี้ในนโยบายความเป็นส่วนตัว
不正操作検知のため、CookieおよびデータベースにIPアドレス等の識別子を保存する。保存されたデータは、管理者の任意のタイミングで削除を行う。	เพื่อตรวจจับการใช้งานที่ไม่ถูกต้อง จะมีการจัดเก็บข้อมูลตัวระบุ เช่น ที่อยู่ IP ลงใน Cookie และฐานข้อมูล ข้อมูลที่จัดเก็บจะถูกดำเนินการลบโดยผู้ดูแลระบบตามความเหมาะสม
画像保護が有効な場合のみ、画像を正常に配信するため、IPアドレスと画像ファイル名をハッシュ化したデータをデータベースに最大60分間保存する。	หากการป้องกันภาพเปิดใช้งานอยู่ จะมีการจัดเก็บข้อมูลแฮชของที่อยู่ IP และชื่อไฟล์ภาพในฐานข้อมูลเป็นเวลาสูงสุด 60 นาที เพื่อส่งภาพได้อย่างถูกต้อง
利用規約を設定する場合、必ずプライバシーポリシーに利用規約のリンクを設置して下さい	เมื่อกำหนดข้อกำหนดการใช้งาน กรุณาติดตั้งลิงก์ไปยังข้อกำหนดการใช้งานในนโยบายความเป็นส่วนตัวด้วย
利用規約の文字列	ข้อกำหนดการใช้งาน
利用規約のページ	หน้าข้อกำหนดการใช้งาน
ページ選択なし	ไม่มีการเลือกหน้า
検索エンジン等のURL	URL ของเครื่องมือค้นหา
同意しなかった時に画面遷移する検索エンジンなどのURLを設定します	ตั้งค่า URL ของเครื่องมือค้นหาหรือเว็บไซต์อื่น ๆ ที่จะเปลี่ยนหน้าเมื่อไม่เห็นด้วย
デバッグモード、コンソールの警告メッセージ	โหมดดีบัก, ข้อความเตือนของคอนโซล
右クリックの警告メッセージ	ข้อความเตือนเมื่อคลิกขวา
印刷、PDF保存の警告メッセージ	ข้อความแจ้งเตือนการพิมพ์และการบันทึกเป็น PDF
スクリーンショットの警告メッセージ	ข้อความแจ้งเตือนในภาพหน้าจอ
スクリーンショットの疑いの警告メッセージ	ข้อความแจ้งเตือนข้อสงสัยเกี่ยวกับภาพหน้าจอ
テキスト全選択時の警告メッセージ	ข้อความเตือนเมื่อเลือกข้อความทั้งหมด
ページ保存の警告メッセージ	ข้อความแจ้งเตือนการบันทึกหน้า
コピー・カットした時に表示するメッセージ	ข้อความที่จะแสดงเมื่อทำการคัดลอกหรือตัด
HTMLソース表示時に表示するメッセージ	ข้อความที่จะแสดงเมื่อแสดง HTML แหล่งที่มา
HTML難読化・保護時にソースの先頭に表示するメッセージ	ข้อความที่จะแสดงที่ส่วนต้นของโค้ด HTML เมื่อทำการทำให้ยากต่อการอ่านหรือป้องกัน
HTML保護時に一度限りの認証トークンが異常の場合に表示するメッセージ	ข้อความที่จะแสดงเมื่อมีการตรวจสอบสิทธิ์โทเค็นครั้งเดียวในกรณีที่ไม่ถูกต้องขณะทำการป้องกัน HTML
CookieやJavascriptが有効でない場合に表示するメッセージ	ข้อความที่จะแสดงเมื่อ Cookie และ Javascript ไม่ทำงาน
実際にはJavascriptが無効時のみ表示されます	ในความเป็นจริงจะแสดงเฉพาะเมื่อ Javascript ถูกปิดใช้งานเท่านั้น
画像保護時に画像がダウンロードされ、その画像に表示するメッセージ 英語のみ	ข้อความที่จะแสดงบนภาพเมื่อมีการดาวน์โหลดภาพในขณะที่มีการป้องกันภาพ ภาษาอังกฤษเท่านั้น
HTML難読化 (圧縮)	การทำให้ HTML ยากต่อการอ่าน
一般的なHTML圧縮です、難読化解除のサイトもあります	นี่คือการบีบอัด HTML ทั่วไป มีเว็บไซต์ที่สามารถยกเลิกการทำให้อ่านยากได้
このオプションを有効にするとview-sourceのログが取得できます	เมื่อเปิดใช้งานตัวเลือกนี้ จะสามารถรับบันทึกของ view-source ได้
HTML保護	การป้องกัน HTML
HTML圧縮以上に最小限のHTMLしか出力せず、BODYタグ内の内容が全く出力されなくなります	จะแสดงผล HTML ที่น้อยที่สุดเท่าที่จะทำได้โดยไม่แสดงเนื้อหาภายในแท็ก BODY เลย
Firefoxに対しては無効です	ไม่สามารถใช้ได้กับ Firefox
SEOに著しく影響があります	มีผลกระทบอย่างมากต่อ SEO
HTMLをJavaScriptで描画	แสดงผล HTML ด้วย JavaScript
Firefox対策としてHTMLをJavaScriptで描画をします	เพื่อเป็นมาตรการป้องกัน Firefox จะแสดงผล HTML ด้วย JavaScript
JavaScript描画で有効にするとウェブサイトの表示速度が著しく遅くなります	เมื่อเปิดใช้งานการวาดภาพด้วย JavaScript จะทำให้ความเร็วในการแสดงผลของเว็บไซต์ช้าลงอย่างมาก
画像の保護	การปกป้องภาพ
imgタグが呼び出されるごとに画像を保護	แท็ก img จะถูกเรียกใช้ทุกครั้งที่มีการเรียกใช้เพื่อปกป้องรูปภาพ
出力される全HTMLのうち、Wordpressにアップロードされた画像をすべて保護	จาก HTML ทั้งหมดที่ส่งออก ให้ปกป้องภาพทั้งหมดที่อัปโหลดไปยัง Wordpress
画像をダウンロードから保護します	ปกป้องรูปภาพจากการดาวน์โหลด
画像データを保護した時にはほぼ完全なるダウンロードを阻止し、完全なるワンタイムURLを発行し、セッションに保存されたトークンで認証し、phpから画像を表示します、その為ほぼ完全な画像盗用を防ぎます	เมื่อมีการปกป้องข้อมูลภาพ จะป้องกันการดาวน์โหลดเกือบสมบูรณ์โดยสิ้นเชิง และออก URL แบบใช้ครั้งเดียวเท่านั้น พร้อมยืนยันตัวตนด้วยโทเค็นที่เก็บไว้ในเซสชัน และแสดงภาพจาก php ซึ่งจะช่วยป้องกันการขโมยภาพเกือบสมบูรณ์
画像データを保護した時には画像のキャッシュが効かないため、次回訪問時にサイトの読み込みが遅くなるため、SEOに影響があります	เมื่อมีการปกป้องข้อมูลภาพ ไฟล์แคชของภาพจะไม่ทำงาน ทำให้การโหลดเว็บไซต์ในครั้งถัดไปช้าลง ซึ่งส่งผลต่อ SEO
画像データを保護した時には、データベースの負荷が高くなる可能性があります	เมื่อมีการปกป้องข้อมูลภาพ อาจทำให้ภาระของฐานข้อมูลเพิ่มขึ้น
「imgタグが呼び出されるごとに画像を保護」の場合は、add_filterを使用し、imgタグの発行時にフィルタリングを行います、テーマによっては正しく動作しません	ในกรณีที่ต้องการ "ปกป้องภาพทุกครั้งที่แท็ก img ถูกเรียกใช้" ให้ใช้ add_filter และทำการกรองเมื่อมีการออกแท็ก img ขึ้น ซึ่งอาจทำงานไม่ถูกต้องในบางธีม
「出力される全HTMLのうち、Wordpressにアップロードされた画像をすべて保護」の場合は、Wordpressのほぼすべての動作をキャプチャし、コンテンツ内のimgタグについてすべて処理します。テーマによっては正しく動作しません	หากเป็นกรณี "ปกป้องภาพทั้งหมดที่อัปโหลดไปยัง Wordpress จาก HTML ทั้งหมดที่ส่งออก" จะจับภาพการทำงานเกือบทั้งหมดของ Wordpress และจัดการกับแท็ก img ทั้งหมดในเนื้อหา อาจไม่ทำงานอย่างถูกต้องขึ้นอยู่กับธีม
なお、アイキャッチに指定した画像はOGPとして拡散されますので保護できません。どうしても保護すべき場合は高度な設定でHTML保護時のHEADタグの出力の選択を変更してください	โปรดทราบว่าภาพที่กำหนดเป็นไอคอนจะถูกเผยแพร่เป็น OGP และไม่สามารถป้องกันได้ หากจำเป็นต้องป้องกันจริงๆ โปรดเปลี่ยนการตั้งค่าขั้นสูงในการป้องกัน HTML เพื่อเลือกการแสดงผลของแท็ก HEAD
OS標準搭載のスクリーンショット機能を保護することはできません	ไม่สามารถปกป้องฟังก์ชันการจับภาพหน้าจอที่ติดตั้งมาตรฐานของระบบปฏิบัติการได้
画像URLの保護	การปกป้อง URL ของรูปภาพ
画像の保護と組み合わせて使用します、単体では意味がありません	ใช้ร่วมกับฟังก์ชันการป้องกันภาพ ไม่มีความหมายหากใช้เพียงอย่างเดียว
JavaScriptにより遅延読まれますのでSEOに影響があります	เนื่องจาก JavaScript จะทำให้การอ่านล่าช้า จึงมีผลกระทบต่อ SEO
画像のウォーターマーク	ลายน้ำในรูปภาพ
右下	ด้านล่างขวา
ランダム位置	ตำแหน่งสุ่ม
画像の保護と組み合わせて使用します、動的な透かしで著作権を明示しつつ、閲覧者に監視されている印象を与え抑止力を高めます	ใช้ร่วมกับฟังก์ชันการปกป้องภาพ เพื่อแสดงลิขสิทธิ์ด้วยลายน้ำแบบไดนามิก พร้อมทั้งสร้างความรู้สึกให้ผู้เข้าชมว่ากำลังถูกเฝ้าติดตาม ซึ่งจะช่วยเพิ่มประสิทธิภาพในการยับยั้งการละเมิด
JPG形式、PNG形式、WebP形式のみ対応します	รองรับเฉพาะรูปแบบ JPG, PNG และ WebP เท่านั้น
有効にするとサーバーの負荷が高くなります	เมื่อเปิดใช้งานแล้วจะเพิ่มภาระให้กับเซิร์ฟเวอร์
HTML難読化・保護時のHTMLソースコードのアスキーアートの出力	การแสดงผลภาพอักษร ASCII ของโค้ด HTML เมื่อทำการทำให้โค้ด HTML ยากต่อการอ่านหรือป้องกัน
表示なし	ไม่มีการแสดงผล
view-sourceでHTMLソース表示をした時に警告の意思を示すアスキーアートを表示します	เมื่อแสดงโค้ด HTML ด้วย view-source จะแสดงอัสกีอาร์ตที่แสดงการเตือน
対象アクションを起こした時の表示デザイン	การออกแบบการแสดงผลเมื่อดำเนินการตามการกระทำที่กำหนด
黄色の背景の黒文字のベーシックデザイン	พื้นหลังสีเหลืองตัวอักษรสีดำ ดีไซน์พื้นฐาน
黒色の背景の赤文字のホラー風デザイン	พื้นหลังสีดำตัวอักษรสีแดงดีไซน์แนวสยองขวัญ
黒色の背景の赤文字の光る文字のデザイン	การออกแบบตัวอักษรสีแดงที่เรืองแสงบนพื้นหลังสีดำ
対象アクションを起こした時のBGM	เพลงประกอบฉากเมื่อเกิดการกระทำที่ตรงตามเงื่อนไข
サウンドなし	ไม่มีเสียง
戦闘＆戦闘勝利 - 1分16.3秒 - 630,056bytes - 64kbps - ライセンス：CC2.1 or later	การต่อสู้ & ชัยชนะในการต่อสู้ - 1 นาที 16.3 วินาที - 630,056 ไบต์ - 64kbps - ใบอนุญาต: CC2.1 หรือสูงกว่า
おやじ ショート - 3.8秒 - 32,364bytes - 64kbps - ライセンス GPL2.0 or later (C)EJ	พ่อ สั้น - 3.8 วินาที - 32,364 ไบต์ - 64kbps - ใบอนุญาต GPL2.0 หรือสูงกว่า
おやじ ロング - 23.5秒 - 195,578bytes - 64kbps - ライセンス GPL2.0 or later (C)EJ	พ่อ ยาวนาน - 23.5 วินาที - 195,578 ไบต์ - 64kbps - ใบอนุญาต GPL2.0 หรือสูงกว่า
ショパン エチュード Op.10-5 黒鍵 打ち込み版 高速版 - 1分0.0秒 - 369,778bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	โชแปง เอทูด Op.10-5 คีย์ดำ เวอร์ชันคีย์บอร์ด เวอร์ชันความเร็วสูง - 1 นาที 0.0 วินาที - 369,778 ไบต์ - 48kbps - ใบอนุญาต: CC BY-ND 4.0 หรือสูงกว่า
ショパン エチュード Op.10-12 革命 打ち込み版 高速版 - 1分57.6秒 - 724,457bytes - 48kbps -  ライセンス：CC BY-ND 4.0 or later	โชแปง เอทูด Op.10-12 การปฏิวัติ เวอร์ชันคีย์บอร์ด เวอร์ชันความเร็วสูง - 1 นาที 57.6 วินาที - 724,457 ไบต์ - 48kbps - ใบอนุญาต: CC BY-ND 4.0 หรือสูงกว่า
ショパン スケルツォ 変ロ短調 Op2 打ち込み版 高速短縮版 - 1分48.0秒 - 665,369bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	โชแปง สเกร์ชโต บันไดเสียงเอเบสไมเนอร์ Op2 เวอร์ชันคีย์บอร์ด ฉบับย่อความเร็วสูง - 1 นาที 48.0 วินาที - 665,369 ไบต์ - 48kbps - ใบอนุญาต: CC BY-ND 4.0 หรือสูงกว่า
リスト 超絶技巧練習曲 4番 マゼッパ 打ち込み版 高速短縮版 - 1分51.6秒 - 687,586bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	ลิสต์ บทฝึกซ้อมเทคนิคขั้นสูง หมายเลข 4 มาเซป้า เวอร์ชันคีย์บอร์ดอิเล็กทรอนิกส์ เวอร์ชันย่อความเร็วสูง - 1 นาที 51.6 วินาที - 687,586 ไบต์ - 48kbps - ใบอนุญาต: CC BY-ND 4.0 หรือสูงกว่า
ファンファーレ - 22.3秒 - 183,926bytes - 64kbps - ライセンス：パブリックドメイン	แฟนแฟร์ - 22.3 วินาที - 183,926 ไบต์ - 64kbps - ใบอนุญาต: สาธารณสมบัติ
レトロ風ファンファーレ - 2.2秒 - 10,536bytes - 32kbps - ライセンス：パブリックドメイン	เสียงแตรแบบย้อนยุค - 2.2 วินาที - 10,536 ไบต์ - 32kbps - ใบอนุญาต: สาธารณสมบัติ
レトロ風オープン - 42.1秒 - 179,138bytes - 32kbps - ライセンス：パブリックドメイン	เปิดสไตล์ย้อนยุค - 42.1 วินาที - 179,138 ไบต์ - 32kbps - ใบอนุญาต: สาธารณสมบัติ
警告 by ChatGPT - 3.8秒 - 109,700bytes - 256kbps - ライセンス：パブリックドメイン	คำเตือนโดย ChatGPT - 3.8 วินาที - 109,700 ไบต์ - 256kbps - ใบอนุญาต: สาธารณสมบัติ
マルウェア検出みたいな緊急感の高い音 その１ by ChatGPT - 3.3秒 - 102,850bytes - 256kbps - ライセンス：パブリックドメイン	เสียงเตือนฉุกเฉินคล้ายการตรวจพบมัลแวร์ ตอนที่ 1 โดย ChatGPT - 3.3 วินาที - 102,850 ไบต์ - 256kbps - ใบอนุญาต: สาธารณสมบัติ
マルウェア検出みたいな緊急感の高い音 その２ by ChatGPT - 3.3秒 - 103,122bytes - 256kbps - ライセンス：パブリックドメイン	เสียงเตือนฉุกเฉินคล้ายการตรวจพบมัลแวร์ ตอนที่ 2 โดย ChatGPT - 3.3 วินาที - 103,122 ไบต์ - 256 kbps - ใบอนุญาต: สาธารณสมบัติ
MRI風サウンド by ChatGPT - 1分14.9秒 - 3,340,392bytes - 320kbps - ライセンス：パブリックドメイン	เสียงแบบ MRI โดย ChatGPT - 1 นาที 14.9 วินาที - 3,340,392 ไบต์ - 320kbps - ใบอนุญาต: สาธารณสมบัติ
警告表示中のBGMを選択します	เลือกเพลงประกอบขณะแสดงคำเตือน
びっくりするような雰囲気を作ります	สร้างบรรยากาศที่น่าประหลาดใจ
Firefoxでは音声ブロックされます	Firefox จะบล็อกเสียง
対象アクションを起こした時のビープ音	เสียงบี๊บเมื่อมีการดำเนินการตามเป้าหมาย
有効 音量小さ目	เสียงเบา
有効 音量大き目	เสียงดังขึ้น
警告表示中にすべてのキー・マウスイベントでビープ音を鳴らします	ในระหว่างการแสดงคำเตือน จะมีเสียงบี๊บดังขึ้นเมื่อมีเหตุการณ์จากคีย์หรือเมาส์ทุกครั้ง
警告表示中に端末が暴走したかのような雰囲気を作ります	สร้างบรรยากาศให้เหมือนกับว่าอุปกรณ์กำลังทำงานผิดปกติขณะแสดงคำเตือน
対象アクションを起こした時のマウスカーソルの消去	การลบเคอร์เซอร์เมาส์เมื่อเกิดการกระทำเป้าหมาย
警告表示中にブラウザのエリアのマウスカーソルを消去します	ลบเคอร์เซอร์เมาส์ในพื้นที่ของเบราว์เซอร์ขณะแสดงคำเตือน
デバッグモード	โหมดดีบัก
妨害＋記録のみ	การรบกวน + การบันทึกเท่านั้น
妨害＋記録＋表示＋リダイレクト	การขัดขวาง+บันทึก+แสดง+เปลี่ยนเส้นทาง
メニューからは操作できてしまいます	ไม่สามารถใช้งานได้จากเมนู
Firefoxにおけるデバッグモード	โหมดดีบักใน Firefox
ブラウザーコンソール	คอนโซลเบราว์เซอร์
事実上デバッグモードから操作できてしまいます	สามารถใช้งานได้เหมือนโหมดดีบักโดยพฤตินัย
HTMLソース表示	แสดงแหล่งที่มาของ HTML
view-source:から始まるURLを入力すれば操作できてしまいます	หากป้อน URL ที่ขึ้นต้นด้วย view-source: จะสามารถดำเนินการได้
HTML保護と組み合わせることでコンテンツを保護することができます	สามารถปกป้องเนื้อหาได้โดยการรวมกับการป้องกัน HTML
印刷	การพิมพ์
印刷阻止をするもものの、ブラウザによってはうまく動作しません	แม้จะพยายามป้องกันการพิมพ์ แต่ในบางเบราว์เซอร์อาจไม่สามารถทำงานได้อย่างถูกต้อง
スクリーンショット	ภาพหน้าจอ
OSやブラウザ、方法によっては妨害できず、もしくは検出しないことがあります	ระบบปฏิบัติการหรือเบราว์เซอร์ และวิธีการบางอย่างอาจไม่สามารถขัดขวางได้หรือไม่สามารถตรวจจับได้
ウインドウが背面に移動した時スクリーンショットの疑い	เมื่อหน้าต่างถูกย้ายไปที่ด้านหลังอาจสงสัยว่ามีการถ่ายภาพหน้าจอ
あわせて、スクリーンショット以外の機能（タブ切り替え・ウィンドウ切り替え）にも反応してしまいます。	นอกจากนี้ ฟังก์ชันอื่น ๆ นอกเหนือจากภาพหน้าจอ
2キー押下のスクリーンショットの疑い	ข้อสงสัยเกี่ยวกับการถ่ายภาพหน้าจอด้วยการกดปุ่ม 2 ปุ่ม
上の項目の検出方法は完全ではありません、予防的に検出を行います	วิธีการตรวจจับรายการข้างต้นไม่สมบูรณ์ การตรวจจับเป็นการตรวจจับเชิงป้องกัน
スクリーンショットだけではなく、デバッグモード等も検出します	ไม่เพียงแค่ภาพหน้าจอเท่านั้น แต่ยังตรวจจับโหมดดีบักด้วย
ページ保存	บันทึกหน้า
右クリック	คลิกขวา
アドオンがインストールされていると操作できてしまいます	หากมีการติดตั้งแอดออนอยู่ จะสามารถดำเนินการได้
コピー・カット	คัดลอก・ตัด
本プラグインの設定によってはこのイベントにたどり着くことはほとんどない場合があります	การตั้งค่าของปลั๊กอินนี้อาจทำให้แทบไม่มีโอกาสที่จะมาถึงเหตุการณ์นี้
テキスト全選択	เลือกข้อความทั้งหมด
テキスト選択	เลือกข้อความ
デバッガー起動ログ、デバッガー妨害	บันทึกการเริ่มต้นดีบั๊กเกอร์, การรบกวนดีบั๊กเกอร์
デバッグモードの使い勝手を少し悪くし、デバッガを起動したことをログに残します、ブラウザによってはこの挙動が止められてしまいます	โหมดการดีบักจะใช้งานได้ยากขึ้นเล็กน้อย และจะบันทึกการเปิดใช้งานดีบักเกอร์ไว้ในล็อก ซึ่งในบางเบราว์เซอร์อาจหยุดการทำงานนี้ได้
リダイレクトするURL	URL ที่ทำการเปลี่ยนเส้นทาง
利用規約などのページに転送すると良いでしょう	ควรส่งต่อไปยังหน้าที่มีข้อกำหนดการใช้งานและอื่นๆ
空欄にすると元のURLにリダイレクトをします	หากปล่อยช่องว่างไว้ ระบบจะนำคุณกลับไปยัง URL เดิม
リダイレクトまでの時間	เวลาที่ใช้ในการเปลี่ยนเส้นทาง
リダイレクトなし	ไม่มีการเปลี่ยนเส้นทาง
1秒	1 วินาที
2秒	2 วินาที
3秒	3 วินาที
4秒	4 วินาที
5秒	5 วินาที
6秒	6 วินาที
7秒	7 วินาที
8秒	8 วินาที
9秒	9 วินาที
10秒	10 วินาที
15秒	15 วินาที
20秒	20 วินาที
25秒	25 วินาที
30秒	30 วินาที
35秒	35 วินาที
40秒	40 วินาที
45秒	45 วินาที
50秒	50 วินาที
55秒	55 วินาที
1分	1 นาที
1分10秒	1 นาที 10 วินาที
1分20秒	1 นาที 20 วินาที
1分30秒	1 นาที 30 วินาที
1分40秒	1 นาที 40 วินาที
1分50秒	1 นาที 50 วินาที
2分	2 นาที
ソース表示を許可する権限	สิทธิ์ในการอนุญาตให้แสดงซอร์ส
ADMINログイン時のみ通常のソース出力	ADMIN ล็อกอินเท่านั้นที่แสดงผลซอร์สปกติ
USERログインで通常のソース出力	USERเข้าสู่ระบบเพื่อแสดงผลซอร์สตามปกติ
通常のHTML出力を管理者のみかユーザーログインかを選択します	เลือกให้ผู้ดูแลระบบหรือผู้ใช้ที่เข้าสู่ระบบเท่านั้นที่สามารถจัดการการแสดงผล HTML ปกติได้
画像を無理やりダウンロードして実際にダウンロードされるもの	ภาพที่ดาวน์โหลดมาอย่างไม่ถูกต้องและสิ่งที่ถูกดาวน์โหลดจริง
GIF形式で1×1ピクセルの透過画像	ภาพโปร่งใสขนาด 1×1 พิกเซลในรูปแบบ GIF
PNG形式で1×1ピクセルの透過画像	ภาพโปร่งใสขนาด 1×1 พิกเซลในรูปแบบ PNG
PNG形式で黄色い背景の警告画面	หน้าจอแจ้งเตือนพื้นหลังสีเหลืองในรูปแบบ PNG
意味のないHTMLドキュメント	เอกสาร HTML ที่ไม่มีประโยชน์
HTML保護時のHEADタグの出力	การแสดงผลแท็ก HEAD เมื่อมีการป้องกัน HTML
出力しない	ไม่แสดงผล
TITLEタグのみ	แท็ก TITLE เท่านั้น
WordpressのHEADタグより取得	ดึงข้อมูลจากแท็ก HEAD ของ Wordpress
企業用途の会員専用ページや社内ページなどでは「出力しない」、「TITLEタグのみ」で良いでしょう	สำหรับหน้าสมาชิกเฉพาะหรือหน้าภายในองค์กร สามารถใช้ "ไม่พิมพ์" หรือ "ใช้เฉพาะแท็ก TITLE" ได้
WordpressのHEADタグから取得しないと、SNSのシェアでOGP画像が表示されません	หากไม่ดึงข้อมูลจากแท็ก HEAD ของ Wordpress จะไม่สามารถแสดงภาพ OGP เมื่อแชร์บน SNS
画像botをアクセス禁止にする	ห้ามเข้าถึงบอทภาพ
画像botをHTMLに対し避けることにより、画像検索から直接リンクされることによって守れなかったコンテンツを守ることができます、ただし完全には対処することはできません	การหลีกเลี่ยงการใช้บอทภาพกับ HTML จะช่วยปกป้องเนื้อหาที่ไม่สามารถป้องกันได้จากการถูกเชื่อมโยงโดยตรงผ่านการค้นหาภาพ อย่างไรก็ตามไม่สามารถจัดการได้อย่างสมบูรณ์
AI学習用botをアクセス禁止にする	ห้ามเข้าถึงบอทสำหรับการเรียนรู้ AI
AIの学習用のbotをHTMLに対し避けることにより、AIで利用されないようにします、ただし完全には対処することはできません	เพื่อป้องกันไม่ให้ AI ใช้ข้อมูลนี้ เราได้หลีกเลี่ยงการใช้บอทสำหรับการเรียนรู้ของ AI กับ HTML อย่างไรก็ตาม การป้องกันนี้อาจไม่สมบูรณ์ทั้งหมด
ウェブアーカイブ、ウェブ魚拓をアクセス禁止にする	ห้ามเข้าถึงเว็บอาร์ไคฟ์และเว็บยูโทคุ
自動的に収集されるウェブアーカイブ並びにユーザーの任意で取得される魚拓のアクセスを禁止します、ただし完全には対処することはできません	ห้ามการเข้าถึงเว็บอาร์กิวที่ถูกรวบรวมโดยอัตโนมัติและภาพสำรองที่ผู้ใช้เลือกเก็บไว้ แต่ไม่สามารถจัดการได้อย่างสมบูรณ์
無効なUAをアクセス禁止にする	ห้ามการเข้าถึงด้วย UA ที่ไม่ถูกต้อง
ユーザーエイジェントの文字に不正な文字列があった場合のアクセスを避けます	หลีกเลี่ยงการเข้าถึงในกรณีที่พบสตริงอักขระที่ไม่ถูกต้องในข้อความของผู้ใช้เอเจนต์
Internet Explorerと旧Microsoft Edge(EdgeHTML)のアクセスに警告を表示する	แสดงคำเตือนเมื่อเข้าถึง Internet Explorer และ Microsoft Edge เวอร์ชันเก่า
Internet Explorerと旧Microsoft Edgeのアクセスを避けます	หลีกเลี่ยงการเข้าถึง Internet Explorer และ Microsoft Edge เวอร์ชันเก่า
alertメッセージを表示する言語	ภาษาที่จะแสดงข้อความแจ้งเตือน
Wordpressの言語	ภาษาของ Wordpress
ブラウザの設定言語	ภาษาที่ตั้งค่าในเบราว์เซอร์
メッセージをカスタム設定されている場合は言語を変更できません	หากมีการตั้งค่าข้อความแบบกำหนดเองไว้ จะไม่สามารถเปลี่ยนภาษาได้
同意画面の言語	ภาษาของหน้าจอการยินยอม
view-sourceメッセージを表示する言語	ภาษาที่แสดงข้อความ view-source
一時使用トークンの有効期限	อายุการใช้งานของโทเค็นชั่วคราว
3分	3 นาที
4分	4 นาที
5分	5 นาที
6分	6 นาที
7分	7 นาที
8分	8 นาที
9分	9 นาที
10分	10 นาที
15分	15 นาที
20分	20 นาที
25分	25 นาที
30分	30 นาที
35分	35 นาที
40分	40 นาที
45分	45 นาที
50分	50 นาที
55分	55 นาที
1時間	1 ชั่วโมง
画像URL情報の有効期限を設定します	กำหนดระยะเวลาการใช้งานของข้อมูล URL ของรูปภาพ
一度読み込まれると画像URL情報と一時使用トークンは無効化されます	เมื่อถูกโหลดแล้ว ข้อมูล URL ของรูปภาพและโทเค็นการใช้งานชั่วคราวจะถูกยกเลิก
画像は遅延読み込みされますが、この指定した時間の30秒前に強制的に画像が読み込まれます	ภาพจะโหลดล่าช้า แต่จะบังคับให้โหลดภาพก่อนเวลาที่กำหนด 30 วินาที
一時使用トークンのビット数	จำนวนบิตของโทเค็นการใช้งานชั่วคราว
画像URL情報を暗号化するのに一時使用トークンをパスワードとして使用しますが、その強度を指定します	ใช้โทเค็นชั่วคราวเป็นรหัสผ่านในการเข้ารหัสข้อมูล URL ของรูปภาพ แต่จะระบุความแข็งแกร่งของโทเค็นนั้น
