設定	Agordoj
企業用途の会員専用ページや社内ページなどでは「出力しない」、「TITLEタグのみ」で良いでしょう	Por korporaciaj paĝoj nur por membroj kaj internaj paĝoj, sufiĉas elekti 'Ne elmontri' aŭ 'Nur TITLE-etikedo'.
WordpressのHEADタグから取得しないと、SNSのシェアでOGP画像が表示されません	Krom se vi eltiras la informojn el la HEAD-etikedo de WordPress, la OGP-bildo ne aperos kiam oni dividas en sociaj retoj.
画像botをアクセス禁止にする	Bloki la bildroboton
画像botをHTMLに対し避けることにより、画像検索から直接リンクされることによって守れなかったコンテンツを守ることができます、ただし完全には対処することはできません	Per malhelpi bildrobotojn aliri HTML-on, vi povas protekti enhavon, kiu ne povus esti protektita kontraŭ rekta ligigo per bildserĉo; tamen tio ne provizas kompletan solvon.
AI学習用botをアクセス禁止にする	Bloki aliron al la AI-trejnada roboto
AIの学習用のbotをHTMLに対し避けることにより、AIで利用されないようにします、ただし完全には対処することはできません	Evite uzadon de botetoj destinataj por AI-trejnado sur HTML, ni certigas, ke la enhavo ne estas uzata de AI; tamen tion ne eblas tute malhelpi.
ウェブアーカイブ、ウェブ魚拓をアクセス禁止にする	Bloki aliron al retaj arkivoj kaj retaj kaptaĵoj
自動的に収集されるウェブアーカイブ並びにユーザーの任意で取得される魚拓のアクセスを禁止します、ただし完全には対処することはできません	Ni malpermesas aliron al aŭtomate kolektitaj retaj arkivoj kaj al ekranaĵoj faritaj laŭ la uzanto; tamen ni ne povas tute malhelpi tion.
無効なUAをアクセス禁止にする	Bloki nevalidajn uzantagentojn
ユーザーエイジェントの文字に不正な文字列があった場合のアクセスを避けます	Malhelpas aliron se la uzantagentĉeno enhavas nevalidajn signojn
Internet Explorerと旧Microsoft Edge(EdgeHTML)のアクセスに警告を表示する	Montru averton kiam oni aliras Internet Explorer kaj la malnovan Microsoft Edge
Internet Explorerと旧Microsoft Edgeのアクセスを避けます	Malhelpas aliron per Internet Explorer kaj la malnova Microsoft Edge
alertメッセージを表示する言語	Lingvo, en kiu atentigaj mesaĝoj estas montrataj
Wordpressの言語	Vortprezaj lingvoj
ブラウザの設定言語	Retumila lingvoagordoj
メッセージをカスタム設定されている場合は言語を変更できません	Vi ne povas ŝanĝi la lingvon se la mesaĝoj estis personecigitaj.
同意画面の言語	Lingvo de la konsenta ekrano
view-sourceメッセージを表示する言語	Lingvo por montri la mesaĝon 'view-source'
一時使用トークンの有効期限	Validodaŭro de provizoraj jetonoj
3分	Tri minutoj
4分	Kvar minutoj
5分	5 minutoj
6分	Ses minutoj
7分	Sep minutoj
8分	Ok minutoj
9分	Naŭ minutoj
10分	Dek minutoj
15分	Dek kvin minutoj
20分	 Dudek minutoj
25分	25 minutoj
30分	Tridek minutoj
35分	Tridek kvin minutoj
40分	Kvardek minutoj
45分	Kvardek kvin minutoj
50分	Kvindek minutoj
55分	Kvindek kvin minutoj
1時間	Unu horo
画像URL情報の有効期限を設定します	Agordu la eksvalidiĝan daton por la informoj pri bild-URL.
一度読み込まれると画像URL情報と一時使用トークンは無効化されます	Post kiam ŝargite, la bild-URL kaj la provizora ĵetono estos nuligitaj.
画像は遅延読み込みされますが、この指定した時間の30秒前に強制的に画像が読み込まれます	Bildoj estas ŝarĝataj laŭpete, sed ili estos aŭtomate ŝarĝataj 30 sekundojn antaŭ la difinita tempo.
一時使用トークンのビット数	Nombro da bitoj en provizora jetono
画像URL情報を暗号化するのに一時使用トークンをパスワードとして使用しますが、その強度を指定します	Provizora ĵetono estas uzata kiel pasvorto por ĉifri informojn pri bild-URL; ĉi tiu agordo difinas ĝian forton.
ドロップダウンメニューの下に表示される選択肢にいくにつれて強度が強くなるものの、サーバーへの負荷が高くなり、HTML転送量が多くなることがあります	Kvankam la opcioj montrataj sub la falmenuo fariĝas ĉiam pli detalaj, tio povas peze ŝarĝi la servilon kaj rezultigi grandan kvanton da HTML-datumoj esti transdonitaj.
ハッシュ化アルゴリズム	Haŝalgoritmo
画像URL情報を暗号化するのに一時使用トークンをパスワードとして使用しますが、その時ハッシュ化が必要です、その強度を設定します	Provizora ĵetono estas uzata kiel pasvorto por ĉifri bildajn URL-informojn; tio postulas haŝadon, kaj ĉi tiu agordo determinas la forton de tiu haŝado.
ドロップダウンメニューの下に表示される選択肢にいくにつれて強度が強くなるものの、サーバーへの負荷が高くなります	Kvankam la intenseco pliiĝas dum vi moviĝas malsupren laŭ la listo de opcioj montrataj en la falmenuo, tio metas pli grandan ŝarĝon sur la servilon.
基本設定	Bazaj agordoj
高度な設定	Altnivelaj agordoj
初期設定に戻す	Restarigi defaŭltajn agordojn
デザイン・音の設定	Dezajno kaj sonaj agordoj
イベントの設定	Eventaj agordoj
初回訪問時のお知らせの設定	Agordi sciigojn por unuaj vizitoj
メッセージの設定	Agordoj de mesaĝo
右クリックやソースコード表示時に転送する URL を設定します	Agordu la URL-on por malfermi per dekstreklako aŭ en la fontkodo.
警告メッセージにはHTMLは使用できません	HTML ne povas esti uzata en avertaj mesaĝoj.
この画面で設定すると、高度な設定タブにある言語設定が無視されます	Se vi agordas ĉi tion sur ĉi tiu ekrano, la lingvaj agordoj en la altnivela langeto estos ignorataj.
以下の文字列が使用できます	La jenaj ŝnuroj povas esti uzataj
改行	Linirompo
押下されたキー	Klavo premita
Neo HTML Protector 設定	Agordoj de Neo HTML-Protektilo
お知らせ	Avizo
メッセージ	Mesaĝo
デザイン・音	Dezajno kaj Sono
初期化	Inicialigo
このプラグインについて	Pri ĉi tiu kromaĵo
設定が初期化されました	La agordoj estis restarigitaj.
プラグインを初期化します なおIPログリーダーのデータはここでは削除されません	Inicializi la kromprogramon. Bonvolu noti, ke la datumoj de IP Log Reader ne estos forigitaj en ĉi tiu stadio.
Neo HTML Protectorについて	Pri Neo HTML-Protektilo
このプラグインはあなたのWordpressから出力されるHTMLや画像等を保護し、コンテンツの不正利用から守ることを目的としています。	Ĉi tiu kromaĵo estas desegnita por protekti la HTML-on, bildojn kaj alian enhavon generitan de via WordPress-ejo, gardante ĝin kontraŭ neaŭtorizita uzo.
コンテンツを完璧に守ることはできません。しかし可能な限りの方法において警告し、もし何かがあった場合に備えて準備することにより国で定められている方法で解決することができるはずです。	Estas neeble tute protekti enhavon. Tamen, per avertoj kie ajn eblas kaj per preparoj por la okazo ke io ajn okazos, ni devus povi solvi la aferon laŭ la proceduroj difinitaj de la registaro.
もちろん、利用規約やサイトポリシーを充実させる必要があります。このプラグインは利用規約生成アプリではありませんが、そのヒントを与えることができます。	Kompreneble, vi devos certigi, ke viaj terminoj kaj kondiĉoj kaj la reteja politiko estas ampleksaj. Kvankam ĉi tiu kromprogramo ne estas ilo por generi terminojn kaj kondiĉojn, ĝi povas doni ian gvidon.
開発者: 夜桜　なの	Disvolvisto: Nano Yozakura
バージョン	Versio
ビルド	Konstruu
サポートページ	Subtena paĝo
ISISちゃん	ISIS chan
Miss. 裏まにら氏歌唱	Prezentita de Sinjorino Ura Manira
支援のお願い	Peto pri subteno
Neo HTML Protectorをご利用いただき、ありがとうございます！	Dankon pro via uzo de Neo HTML Protector!
本プラグインの開発と維持には多くの時間と知恵の絞りだしがかかっており、引き続き改善と更新を行っていくための資金を集めるために、もしご支援いただける方がいれば、寄付をお願いできればと思います。	La disvolvado kaj prizorgado de ĉi tiu kromaĵo postulis multan tempon kaj penon, kaj por kolekti financojn por daŭre plibonigi kaj ĝisdatigi ĝin, ni estus dankemaj, se iu ajn kapabla subteni nin konsiderus fari donacon.
寄付について	Pri donacoj
寄付は任意であり、強制ではありません。プラグインを無料でご利用いただけるように、どなたでも利用可能です。しかし、開発を継続するためにはご支援が大変ありがたく、少しでもご協力いただけると嬉しいです。	Donacoj estas tute volontulaj kaj ne devigaj. La kromprogramo estas senpage disponebla al ĉiuj. Tamen ni tre dankas vian subtenon por helpi nin daŭrigi la disvolvadon, kaj ni estus ĝojaj, se vi povus kontribui eĉ malgrandan sumon.
