設定	Танзимот
プライバシーポリシーには以下の内容を追加して下さい	Лутфан матни зеринро ба Сиёсати махфият илова кунед.
不正操作検知のため、CookieおよびデータベースにIPアドレス等の識別子を保存する。保存されたデータは、管理者の任意のタイミングで削除を行う。	Барои ошкор кардани фаъолияти қаллобӣ, идентификаторҳо, ба монанди суроғаҳои IP, дар кукиҳо ва пойгоҳи додаҳо нигоҳ дошта мешаванд. Маълумоти нигаҳдошташуда мувофиқи хоҳиши администратор ҳазф карда мешавад.
画像保護が有効な場合のみ、画像を正常に配信するため、IPアドレスと画像ファイル名をハッシュ化したデータをデータベースに最大60分間保存する。	Барои он ки тасвирҳо танҳо вақте дуруст интиқол дода шаванд, ки ҳимояи тасвир фаъол бошад, мо маълумоти ҳештешударо, ки суроғаи IP ва номи файли тасвирро дар бар мегирад, то 60 дақиқа дар пойгоҳи додаҳо нигоҳ медорем.
利用規約を設定する場合、必ずプライバシーポリシーに利用規約のリンクを設置して下さい	Агар шумо Шартҳои истифодаро таъсис медиҳед, лутфан боварӣ ҳосил кунед, ки дар Сиёсати махфияти худ истинод ба онҳо дохил кардаед.
利用規約の文字列	Матни шартҳои истифода
利用規約のページ	Саҳифаи шартҳо ва қоидаҳо
ページ選択なし	Ҳеҷ саҳифа интихоб нашудааст
検索エンジン等のURL	URL-ҳо барои муҳаррикҳои ҷустуҷӯ ва ғайра.
同意しなかった時に画面遷移する検索エンジンなどのURLを設定します	URL-ро барои муҳаррикҳои ҷустуҷӯ ва сайтҳои шабеҳ, ки ҳангоми набудани розигӣ корбаронро ба ҷои дигар равона мекунанд, муқаррар кунед.
デバッグモード、コンソールの警告メッセージ	Режими ислоҳӣ, паёмҳои огоҳии консол
右クリックの警告メッセージ	Паёми ҳушдор бо тугмаи рост клик кунед
印刷、PDF保存の警告メッセージ	Паёми огоҳӣ дар бораи чоп ва захира кардан ҳамчун PDF
スクリーンショットの警告メッセージ	Паёми огоҳӣ дар скриншот
スクリーンショットの疑いの警告メッセージ	Огоҳинома дар бораи скриншотҳои гумонбар
テキスト全選択時の警告メッセージ	Паёми огоҳӣ ҳангоми интихоб шудани тамоми матн
ページ保存の警告メッセージ	Паёми огоҳӣ дар бораи захира кардани саҳифа
コピー・カットした時に表示するメッセージ	Паёме, ки ҳангоми нусхабардорӣ ё буридан нишон дода мешавад
HTMLソース表示時に表示するメッセージ	Паёме, ки ҳангоми дидани манбаи HTML нишон дода мешавад
HTML難読化・保護時にソースの先頭に表示するメッセージ	Паёме, ки ҳангоми обфускация ё ҳифзи HTML дар болоии коди манбаъ намоиш дода мешавад
HTML保護時に一度限りの認証トークンが異常の場合に表示するメッセージ	Паёме, ки дар сурати нодуруст будани токени якдафъаинаи аутентификатсия ҳангоми ҳифзи HTML нишон дода мешавад
CookieやJavascriptが有効でない場合に表示するメッセージ	Паёме, ки дар сурати ғайрифаъол будани кукиҳо ё JavaScript нишон дода мешавад
実際にはJavascriptが無効時のみ表示されます	Дар асл, ин танҳо вақте нишон дода мешавад, ки JavaScript ғайрифаъол карда шудааст.
画像保護時に画像がダウンロードされ、その画像に表示するメッセージ 英語のみ	Вақте ки тасвир муҳофизат мешавад, он зеркашӣ мешавад ва дар он паём нишон дода мешавад
HTML難読化 (圧縮)	Обфускатсияи HTML
一般的なHTML圧縮です、難読化解除のサイトもあります	Ин фишуриши стандартии HTML аст; инчунин вебсайтҳое ҳастанд, ки метавонанд онро декод кунанд.
このオプションを有効にするとview-sourceのログが取得できます	Фаъол кардани ин имконот ба шумо имкон медиҳад, ки лог-и view-source-ро дастрас кунед.
HTML保護	Муҳофизати HTML
HTML圧縮以上に最小限のHTMLしか出力せず、BODYタグ内の内容が全く出力されなくなります	Он танҳо ҳадди ақали HTML-ро бароварда мекунад — ҳатто камтар аз ҳолате, ки HTML-ро фишурда мекунанд — ва мундариҷаи дохили теги BODY умуман бароварда намешавад.
Firefoxに対しては無効です	Ин ба Firefox дахл надорад.
SEOに著しく影響があります	Ин ба SEO таъсири назаррас дорад.
HTMLをJavaScriptで描画	Намоиши HTML бо истифода аз JavaScript
Firefox対策としてHTMLをJavaScriptで描画をします	Барои бартараф кардани маҳдудиятҳои Firefox, мо HTML-ро бо истифода аз JavaScript намоиш медиҳем.
JavaScript描画で有効にするとウェブサイトの表示速度が著しく遅くなります	Фаъолсозии рендеринги JavaScript суръати боршавии вебсайтро ба таври назаррас суст мекунад.
画像の保護	Муҳофизати тасвир
imgタグが呼び出されるごとに画像を保護	Ҳар дафъа теги img даъват мешавад, тасвирро муҳофизат кунед.
出力される全HTMLのうち、Wordpressにアップロードされた画像をすべて保護	Ҳамаи тасвирҳое, ки дар WordPress бор карда шудаанд, дар тамоми матни HTML муҳофизат карда шаванд.
画像をダウンロードから保護します	Аксҳоро аз зеркашӣ шудан муҳофизат мекунад
画像データを保護した時にはほぼ完全なるダウンロードを阻止し、完全なるワンタイムURLを発行し、セッションに保存されたトークンで認証し、phpから画像を表示します、その為ほぼ完全な画像盗用を防ぎます	Вақте ки маълумоти тасвирҳо ҳифз карда мешавад, мо қариб пурра зеркаширо манъ мекунем, URL-ҳои якдафъаинаи беназирро ҷорӣ мекунем, тавассути токенҳое, ки дар сессия нигоҳ дошта мешаванд, аутентификатсия мегузаронем ва тасвирҳоро тавассути PHP намоиш медиҳем; ин самаранок аз дуздии тасвирҳо ҷилавгирӣ мекунад.
画像データを保護した時には画像のキャッシュが効かないため、次回訪問時にサイトの読み込みが遅くなるため、SEOに影響があります	Вақте ки маълумоти тасвирҳо муҳофизат карда мешавад, кэш кор намекунад, ки маънои онро дорад, ки сайт дар боздидҳои минбаъда сусттар бор мешавад ва ин ба SEO таъсир мерасонад.
画像データを保護した時には、データベースの負荷が高くなる可能性があります	Муҳофизат кардани маълумоти тасвирӣ метавонад бориши пойгоҳи додаҳоро зиёд кунад.
「imgタグが呼び出されるごとに画像を保護」の場合は、add_filterを使用し、imgタグの発行時にフィルタリングを行います、テーマによっては正しく動作しません	Агар шумо «Ҳифзи тасвирҳо ҳар вақте теги img даъват мешавад» интихоб кунед, система ҳангоми эҷоди теги img аз add_filter барои татбиқи филтркунӣ истифода мекунад; аммо ин метавонад бо баъзе мавзӯъҳо дуруст кор накунад.
「出力される全HTMLのうち、Wordpressにアップロードされた画像をすべて保護」の場合は、Wordpressのほぼすべての動作をキャプチャし、コンテンツ内のimgタグについてすべて処理します。テーマによっては正しく動作しません	Агар шумо 'Ҳама тасвирҳое, ки дар WordPress бор карда шудаанд ва дар тамоми натиҷаи HTML ҷойгиранд, муҳофизат кунед' интихоб кунед, плагин қариб ҳамаи амалиётҳои WordPress-ро сабт мекунад ва ҳар як теги img-ро дар матни он коркард менамояд. Лутфан ба назар гиред, ки ин метавонад бо баъзе мавзӯъҳо дуруст кор накунад.
なお、アイキャッチに指定した画像はOGPとして拡散されますので保護できません。どうしても保護すべき場合は高度な設定でHTML保護時のHEADタグの出力の選択を変更してください	Лутфан таваҷҷӯҳ намоед, ки тасвирҳое, ки ҳамчун тасвирҳои интихобшуда муайян шудаанд, ҳамчун маълумоти OGP паҳн мешаванд ва ҳифз карда намешаванд. Агар шумо ҳатман хоҳед онҳоро ҳифз кунед, лутфан ҳангоми фаъолсозии ҳифзи HTML дар танзимоти пешрафта танзимоти баромади теги HEAD-ро тағйир диҳед.
OS標準搭載のスクリーンショット機能を保護することはできません	Функсияи скриншот, ки дар системаи оператсионӣ дарунсохта шудааст, ҳифз карда намешавад.
画像URLの保護	Муҳофизати URL-ҳои тасвир
画像の保護と組み合わせて使用します、単体では意味がありません	Ин бояд дар якҷоягӣ бо ҳифзи тасвир истифода шавад; алоҳида он ҳеҷ мақсадеро иҷро намекунад.
JavaScriptにより遅延読まれますのでSEOに影響があります	Азбаски он тавассути JavaScript суст бор мешавад, ин ба SEO таъсир мерасонад.
画像のウォーターマーク	Вотермарки тасвир
右下	поёни рост
ランダム位置	Мавқеи тасодуфӣ
画像の保護と組み合わせて使用します、動的な透かしで著作権を明示しつつ、閲覧者に監視されている印象を与え抑止力を高めます	Дар якҷоягӣ бо ҳифзи тасвир истифодашаванда, вотермаркҳои динамикӣ соҳибии ҳуқуқи муаллифиро возеҳ нишон медиҳанд ва ҳамзамон ба тамошобинон таассурот медиҳанд, ки онҳо зери назоранд, ки ин ҳамчун омили боздошткунанда амал мекунад.
JPG形式、PNG形式、WebP形式のみ対応します	Танҳо форматҳои JPG, PNG ва WebP дастгирӣ мешаванд.
有効にするとサーバーの負荷が高くなります	Фаъол кардани ин боиси афзоиши бори сервер мегардад.
HTML難読化・保護時のHTMLソースコードのアスキーアートの出力	Ҳангоми обфускация ва муҳофизати HTML, баровардани санъати ASCII аз коди манбаи HTML
表示なし	Намоиш нест
view-sourceでHTMLソース表示をした時に警告の意思を示すアスキーアートを表示します	Намоиши санъати ASCII, ки ҳангоми истифодаи 'view-source' барои тамошои манбаи HTML ҳушдор медиҳад
対象アクションを起こした時の表示デザイン	Вақте ки амали мақсаднок иҷро мешавад, тарҳро нишон диҳед.
黄色の背景の黒文字のベーシックデザイン	Тарҳи оддӣ бо матни сиёҳ дар заминаи зард
黒色の背景の赤文字のホラー風デザイン	Тарҳи услуби даҳшат бо матни сурх дар заминаи сиёҳ
黒色の背景の赤文字の光る文字のデザイン	Тарҳе бо матни сурхи дурахшон дар заминаи сиёҳ
対象アクションを起こした時のBGM	Мусиқии заминавӣ, ки ҳангоми иҷрои амали мақсаднок садо медиҳад
サウンドなし	Ҳеҷ садо
戦闘＆戦闘勝利 - 1分16.3秒 - 630,056bytes - 64kbps - ライセンス：CC2.1 or later	Ҷанг ва Ғалаба - 1 дақиқа 16,3 сония - 630 056 байт - 64 кбит/с - Лицензия: CC 2.1 ё навтар
おやじ ショート - 3.8秒 - 32,364bytes - 64kbps - ライセンス GPL2.0 or later (C)EJ	Dad Short - 3,8 сония - 32 364 байт - 64 кбит/с - Иҷозатнома: GPL 2.0 ё навтар
おやじ ロング - 23.5秒 - 195,578bytes - 64kbps - ライセンス GPL2.0 or later (C)EJ	Oyaji Long - 23,5 сония - 195 578 байт - 64 кбит/с - Лицензия: GPL 2.0 ё навтар
ショパン エチュード Op.10-5 黒鍵 打ち込み版 高速版 - 1分0.0秒 - 369,778bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	Чопин Этюд Op. 10 № 5
ショパン エチュード Op.10-12 革命 打ち込み版 高速版 - 1分57.6秒 - 724,457bytes - 48kbps -  ライセンス：CC BY-ND 4.0 or later	Этюди Шопен, Опус 10, № 12 «Революция» – версияи тавлидшуда бо компютер, босуръат – 1 дақиқа 57,6 сония – 724 457 байт – 48 кбит/с – Лицензия: CC BY-ND 4.0 ё навтар
ショパン スケルツォ 変ロ短調 Op2 打ち込み版 高速短縮版 - 1分48.0秒 - 665,369bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	Шопен: Скерцо дар си-бемол-минор, Опус 2 – версияи компютерӣ, версияи кӯтоҳшудаи босуръат – 1 дақиқа 48,0 сония – 665 369 байт – 48 кбит/с – Лицензия: CC BY-ND 4.0 ё навтар
リスト 超絶技巧練習曲 4番 マゼッパ 打ち込み版 高速短縮版 - 1分51.6秒 - 687,586bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	Рӯйхат: Étude d'Exécution Transcendante № 4, «Мазепа» – версияи компютерӣ, версияи кӯтоҳшудаи баландсуръат – 1 дақиқа 51,6 сония – 687 586 байт – 48 кбит/с – Лицензия: CC BY-ND 4.0 ё навтар
ファンファーレ - 22.3秒 - 183,926bytes - 64kbps - ライセンス：パブリックドメイン	Фанфар – 22,3 сония – 183 926 байт – 64 кбит/с – Иҷозатнома: Моликияти ҷамъиятӣ
レトロ風ファンファーレ - 2.2秒 - 10,536bytes - 32kbps - ライセンス：パブリックドメイン	Фанфари ретро – 2,2 сония – 10 536 байт – 32 кбит/с – Иҷозатнома: Моликияти ҷамъиятӣ
レトロ風オープン - 42.1秒 - 179,138bytes - 32kbps - ライセンス：パブリックドメイン	Муқаддимаи ретро – 42,1 сония – 179 138 байт – 32 кбит/с – Лицензия: Моликияти ҷамъиятӣ
警告 by ChatGPT - 3.8秒 - 109,700bytes - 256kbps - ライセンス：パブリックドメイン	Огоҳӣ аз ChatGPT - 3,8 сония - 109 700 байт - 256 кбит/с - Иҷозатнома: Домени ҷамъиятӣ
マルウェア検出みたいな緊急感の高い音 その１ by ChatGPT - 3.3秒 - 102,850bytes - 256kbps - ライセンス：パブリックドメイン	Садои фаврӣ бо оҳанги огоҳии ошкорсозии барномаи зараррасон – Қисми 1 аз ҷониби ChatGPT – 3,3 сония – 102 850 байт – 256 кбит/с – Иҷозатнома: Моликияти ҷамъиятӣ
マルウェア検出みたいな緊急感の高い音 その２ by ChatGPT - 3.3秒 - 103,122bytes - 256kbps - ライセンス：パブリックドメイン	Садои фавқулодда монанди огоҳии ошкорсозии барномаи зараровар, Қисми 2 аз ҷониби ChatGPT - 3,3 сония - 103 122 байт - 256 кбит/с - Иҷозатнома: Домени ҷамъиятӣ
MRI風サウンド by ChatGPT - 1分14.9秒 - 3,340,392bytes - 320kbps - ライセンス：パブリックドメイン	Садои услуби МРТ аз ҷониби ChatGPT – 1 дақиқа 14,9 сония – 3 340 392 байт – 320 кбит/с – Иҷозатнома: Домени ҷамъиятӣ
警告表示中のBGMを選択します	Мусиқии заминавиро барои навозиш ҳангоми огоҳӣ интихоб кунед.
びっくりするような雰囲気を作ります	Он фазои ҳайратангез эҷод мекунад
Firefoxでは音声ブロックされます	Дар Firefox садо манъ карда шудааст.
対象アクションを起こした時のビープ音	Бип ҳангоми иҷрои амали муайяншуда
有効 音量小さ目	Фоиз, ҳаҷм паст
有効 音量大き目	Фаъол, ҳаҷм ба баланд гузошта шудааст
警告表示中にすべてのキー・マウスイベントでビープ音を鳴らします	Ҳангоми намоиши огоҳӣ барои ҳамаи рӯйдодҳои клавиатура ва муш бип садо медиҳад.
警告表示中に端末が暴走したかのような雰囲気を作ります	Ин таассурот ба вуҷуд меорад, ки дастгоҳ ҳангоми намоиши огоҳӣ аз назорат баромадааст.
対象アクションを起こした時のマウスカーソルの消去	Пинҳон кардани курсори муш ҳангоми иҷрои амали мушаххас
警告表示中にブラウザのエリアのマウスカーソルを消去します	Ҳангоми намоиши огоҳӣ курсори мушро дар минтақаи браузер пинҳон мекунад.
デバッグモード	Режими ислоҳсозӣ
妨害＋記録のみ	Фақат халалдорӣ + сабтҳо
妨害＋記録＋表示＋リダイレクト	Дахолат + Сабт + Намоиш + Равонкунӣ
メニューからは操作できてしまいます	Шумо ҳанӯз метавонед тавассути меню ба он дастрасӣ пайдо кунед.
Firefoxにおけるデバッグモード	Режими ислоҳсозӣ дар Firefox
ブラウザーコンソール	Консоли браузер
事実上デバッグモードから操作できてしまいます	Дар асл, шумо метавонед онро аз режими дебаг идора кунед.
HTMLソース表示	Манобеи HTML-ро бинед
view-source:から始まるURLを入力すれば操作できてしまいます	Шумо метавонед амалиётро танҳо бо ворид кардани URL-е, ки бо 'view-source:' оғоз мешавад, иҷро кунед.
HTML保護と組み合わせることでコンテンツを保護することができます	Шумо метавонед мундариҷаи худро бо якҷоя кардани ин бо ҳифзи HTML муҳофизат кунед.
印刷	Чоп кардан
印刷阻止をするもものの、ブラウザによってはうまく動作しません	Ҳарчанд он чопро манъ мекунад, дар баъзе браузерҳо шояд дуруст кор накунад.
スクリーンショット	Аксбардории экран
OSやブラウザ、方法によっては妨害できず、もしくは検出しないことがあります	Вобаста ба системаи оператсионӣ, браузер ё усули истифодашуда, шояд имконнопазир бошад, ки инро манъ кунанд, ё он ошкор нашавад.
ウインドウが背面に移動した時スクリーンショットの疑い	Скриншоти эҳтимолӣ ҳангоми гузаштани равзана ба пасзамина
あわせて、スクリーンショット以外の機能（タブ切り替え・ウィンドウ切り替え）にも反応してしまいます。	Он инчунин ба функсияҳое, ки ғайр аз гирифтани скриншот ҳастанд
2キー押下のスクリーンショットの疑い	Гумон меравад, ки скриншот бо пахш кардани ду тугма гирифта шудааст.
上の項目の検出方法は完全ではありません、予防的に検出を行います	Усулҳои ошкорсозии маводи зикршуда комилан боэътимод нестанд; ошкорсозӣ ҳамчун чораҳои эҳтиётӣ анҷом дода мешавад.
スクリーンショットだけではなく、デバッグモード等も検出します	Он на танҳо скриншотҳоро, балки режимҳои дебаг ва монанди онро низ ошкор мекунад.
ページ保存	Саҳифаро захира кунед
右クリック	пайванди рост
アドオンがインストールされていると操作できてしまいます	Агар илова насб карда шуда бошад, шумо метавонед онро истифода баред.
コピー・カット	Нусхабардорӣ ва буридан
本プラグインの設定によってはこのイベントにたどり着くことはほとんどない場合があります	Вобаста ба танзимоти ин плагин, шумо метавонед кам вориди ин ҳодиса шавед.
テキスト全選択	Ҳамаи матнро интихоб кунед
テキスト選択	Матнро интихоб кунед
デバッガー起動ログ、デバッガー妨害	Сабти оғози дебаггер, халалрасонии дебаггер
デバッグモードの使い勝手を少し悪くし、デバッガを起動したことをログに残します、ブラウザによってはこの挙動が止められてしまいます	Ин ҳолат режими дебаггингро каме камтар дӯстона месозад ва сабт мекунад, ки дебаггер оғоз шудааст; аммо баъзе браузерҳо метавонанд ин рафторро манъ кунанд.
リダイレクトするURL	URL-ро бозравон кунед
利用規約などのページに転送すると良いでしょう	Хеле хуб мебуд, агар корбаронро ба саҳифаҳое монанди «Шартҳои истифода» равона кунед.
空欄にすると元のURLにリダイレクトをします	Агар холӣ гузошта шавад, он ба URL-и аслӣ равона мешавад.
リダイレクトまでの時間	Вақт то бозравонӣ
リダイレクトなし	Ҳеҷ гуна redirect нест
1秒	1 сония
2秒	2 сония
3秒	3 сония
4秒	4 сония
5秒	5 сония
6秒	6 сония
7秒	7 сония
8秒	8 сония
9秒	9 сония
10秒	10 сония
15秒	15 сония
20秒	20 сония
25秒	25 сония
30秒	30 сония
35秒	35 сония
40秒	40 сония
45秒	45 сония
50秒	50 сония
55秒	55 сония
1分	1 дақиқа
1分10秒	1 дақиқа 10 сония
1分20秒	1 дақиқа 20 сония
1分30秒	1 дақиқа 30 сония
1分40秒	1 дақиқа 40 сония
1分50秒	1 дақиқа 50 сония
2分	2 дақиқа
ソース表示を許可する権限	Иҷозат барои дидани коди манбаъ
ADMINログイン時のみ通常のソース出力	Натиҷаи муқаррарӣ аз манбаъ танҳо ҳангоми ворид шудан ҳамчун ADMIN нишон дода мешавад.
USERログインで通常のソース出力	Хуруҷи муқаррарии манбаъ ҳангоми ворид шудан ҳамчун USER
通常のHTML出力を管理者のみかユーザーログインかを選択します	Интихоб кунед, ки оё баромади стандартии HTML танҳо барои администраторҳо маҳдуд карда шавад ё ба воридшавии корбар ниёз дорад.
画像を無理やりダウンロードして実際にダウンロードされるもの	Маҷбур кардани зеркашии тасвир ва он чи воқеан зеркашӣ мешавад
GIF形式で1×1ピクセルの透過画像	Тасвири шаффофи 1×1 пиксел дар формати GIF
PNG形式で1×1ピクセルの透過画像	Тасвири шаффофи 1×1 пиксел дар формати PNG
PNG形式で黄色い背景の警告画面	Экрани огоҳӣ бо заминаи зард дар формати PNG
意味のないHTMLドキュメント	Ҳуҷҷати HTML бемаънӣ
HTML保護時のHEADタグの出力	Натиҷаи теги HEAD ҳангоми ҳифз шудани HTML
出力しない	Чоп накунед
TITLEタグのみ	Танҳо теги TITLE
WordpressのHEADタグより取得	Аз теги HEAD-и WordPress гирифта шудааст
企業用途の会員専用ページや社内ページなどでは「出力しない」、「TITLEタグのみ」で良いでしょう	Барои саҳифаҳои танҳо барои аъзоён ва саҳифаҳои дохилӣ дар истифодаи корпоративӣ, интихоби «Намоиш надиҳед» ё «Танҳо теги TITLE» кофист.
WordpressのHEADタグから取得しないと、SNSのシェアでOGP画像が表示されません	Агар шумо маълумотро аз теги HEAD-и WordPress нагиред, тасвири OGP ҳангоми мубодила дар шабакаҳои иҷтимоӣ намоён намешавад.
画像botをアクセス禁止にする	Боти тасвирро масдуд кунед
画像botをHTMLに対し避けることにより、画像検索から直接リンクされることによって守れなかったコンテンツを守ることができます、ただし完全には対処することはできません	Бо манъ кардани дастрасии ботҳои тасвирӣ ба HTML, шумо метавонед мундариҷаеро ҳифз кунед, ки тавассути ҷустуҷӯи тасвирҳо бо истиноди мустақим ҳифз карда намешуд; аммо ин ҳалли комил нест.
AI学習用botをアクセス禁止にする	Дастрасӣ ба боти омӯзишии зеҳни сунъиро манъ кунед
AIの学習用のbotをHTMLに対し避けることにより、AIで利用されないようにします、ただし完全には対処することはできません	Бо худдорӣ аз истифодаи ботҳое, ки барои омӯзиши зеҳни сунъӣ дар HTML тарҳрезӣ шудаанд, мо кафолат медиҳем, ки мундариҷа аз ҷониби зеҳни сунъӣ истифода нашавад; аммо инро пурра пешгирӣ кардан ғайриимкон аст.
ウェブアーカイブ、ウェブ魚拓をアクセス禁止にする	Дастрасӣ ба бойгонии веб ва скриншотҳои веб-саҳифаҳоро манъ кунед
自動的に収集されるウェブアーカイブ並びにユーザーの任意で取得される魚拓のアクセスを禁止します、ただし完全には対処することはできません	Мо дастрасӣ ба архивҳои веби худкор ва скриншотҳое, ки корбар ба ихтиёри худ гирифтааст, манъ мекунем; аммо мо наметавонем инро пурра пешгирӣ кунем.
無効なUAをアクセス禁止にする	Блоки агентиҳои корбарии нодуруст
ユーザーエイジェントの文字に不正な文字列があった場合のアクセスを避けます	Дастрасиро манъ мекунад, агар дар сатри агент-и корбар аломатҳои нодуруст бошанд.
Internet Explorerと旧Microsoft Edge(EdgeHTML)のアクセスに警告を表示する	Ҳангоми дастрасӣ ба Internet Explorer ва Microsoft Edge-и кӯҳна
Internet Explorerと旧Microsoft Edgeのアクセスを避けます	Дастрасиро тавассути Internet Explorer ва Microsoft Edge-и кӯҳна пешгирӣ мекунад
alertメッセージを表示する言語	Забоне, ки паёмҳои огоҳӣ дар он намоиш дода мешаванд
Wordpressの言語	Забонҳои WordPress
ブラウザの設定言語	Танзимоти забони браузер
メッセージをカスタム設定されている場合は言語を変更できません	Агар паёмҳо фармоишӣ карда шуда бошанд, шумо наметавонед забонро иваз кунед.
同意画面の言語	Забони экрани розият
view-sourceメッセージを表示する言語	Забоне, ки паёми «view-source»-ро намоиш медиҳад
一時使用トークンの有効期限	Мӯҳлати эътибори токенҳои муваққатӣ
3分	3 дақиқа
4分	4 дақиқа
5分	5 дақиқа
6分	6 дақиқа
7分	7 дақиқа
8分	8 дақиқа
9分	9 дақиқа
10分	10 дақиқа
15分	15 дақиқа
20分	20 дақиқа
25分	25 дақиқа
30分	30 дақиқа
35分	35 дақиқа
40分	40 дақиқа
45分	45 дақиқа
50分	50 дақиқа
55分	55 дақиқа
1時間	як соат
画像URL情報の有効期限を設定します	Санаи эътибор барои маълумоти URL-и тасвирро муқаррар кунед
一度読み込まれると画像URL情報と一時使用トークンは無効化されます	Пас аз бор шудан, URL-и тасвир ва токени муваққатӣ беэътибор хоҳанд шуд.
画像は遅延読み込みされますが、この指定した時間の30秒前に強制的に画像が読み込まれます	Тасвирҳо ҳангоми дархост бор мешаванд, аммо онҳо 30 сония пеш аз вақти муайяншуда ба таври худкор бор хоҳанд шуд.
一時使用トークンのビット数	Шумораи битҳо дар токени муваққатӣ
画像URL情報を暗号化するのに一時使用トークンをパスワードとして使用しますが、その強度を指定します	Нишонаи муваққатӣ ҳамчун парол барои рамзгузории маълумоти URL-и тасвир истифода мешавад; ин танзимот қувваи онро муайян мекунад.
ドロップダウンメニューの下に表示される選択肢にいくにつれて強度が強くなるものの、サーバーへの負荷が高くなり、HTML転送量が多くなることがあります	Ҳарчанд имконоте, ки дар поёни менюи поёнфаромада нишон дода мешаванд, торафт муфассалтар мешаванд, ин метавонад бори вазнин ба сервер гузорад ва боиси интиқоли миқдори зиёди маълумоти HTML гардад.
ハッシュ化アルゴリズム	Алгоритми ҳеш
画像URL情報を暗号化するのに一時使用トークンをパスワードとして使用しますが、その時ハッシュ化が必要です、その強度を設定します	Нишони муваққатӣ ҳамчун парол барои рамзгузории маълумоти URL-и тасвир истифода мешавад; ин раванд ҳашингро талаб мекунад ва ин танзимот шиддати ҳашингро муайян мекунад.
ドロップダウンメニューの下に表示される選択肢にいくにつれて強度が強くなるものの、サーバーへの負荷が高くなります	Ҳарчанд ҳангоми ҳаракат ба поён дар рӯйхати имконоте, ки дар менюи поёнфаромада нишон дода мешаванд, шиддат меафзояд, ин бори бештарро ба сервер бор мекунад.
基本設定	Танзимоти асосӣ
高度な設定	Танзимоти пешрафта
初期設定に戻す	Барқарор кардани танзимоти пешфарзӣ
デザイン・音の設定	Танзимотҳои тарҳрезӣ ва садо
イベントの設定	Танзимоти чорабинӣ
初回訪問時のお知らせの設定	Танзими огоҳиномаҳо барои боздидҳои аввал
メッセージの設定	Танзимоти паём
右クリックやソースコード表示時に転送する URL を設定します	URL-ро барои кушодан ҳангоми зеркунии тугмаи рост ё дидани коди манбаъ муқаррар кунед.
警告メッセージにはHTMLは使用できません	HTML дар паёмҳои огоҳӣ истифода бурда намешавад.
