設定	Fikirana
view-sourceでHTMLソース表示をした時に警告の意思を示すアスキーアートを表示します	Mampiseho sary ASCII mampitandrina rehefa mijery ny loharano HTML amin'ny alalan'ny 'view-source'
対象アクションを起こした時の表示デザイン	Asehoy ny famolavolana rehefa tanterahina ny hetsika kendrena.
黄色の背景の黒文字のベーシックデザイン	Endrika fototra misy soratra mainty eo ambonin'ny lamina mavo.
黒色の背景の赤文字のホラー風デザイン	Endrika mampihoron-koditra misy soratra mena eo ambonin'ny lafika mainty.
黒色の背景の赤文字の光る文字のデザイン	Endrika iray misy soratra mena mamirapiratra eo ambonin'ny lamba mainty.
対象アクションを起こした時のBGM	Mozika ambadika mandeha rehefa tanterahina ny hetsika kendrena
サウンドなし	Tsy misy feo
戦闘＆戦闘勝利 - 1分16.3秒 - 630,056bytes - 64kbps - ライセンス：CC2.1 or later	Ady sy Fandresena - 1 minitra 16,3 segondra - 630 056 baites - 64 kbps - Fahazoan-dàlana: CC 2.1 na mihoatra
おやじ ショート - 3.8秒 - 32,364bytes - 64kbps - ライセンス GPL2.0 or later (C)EJ	Dad Short - 3.8 segondra - 32,364 baites - 64 kbps - Fahazoan-dàlana: GPL 2.0 na aoriana
おやじ ロング - 23.5秒 - 195,578bytes - 64kbps - ライセンス GPL2.0 or later (C)EJ	Oyaji Long - 23.5 segondra - 195,578 baites - 64 kbps - Fahazoan-dàlana: GPL 2.0 na vao haingana kokoa
ショパン エチュード Op.10-5 黒鍵 打ち込み版 高速版 - 1分0.0秒 - 369,778bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	Chopin Étude Op. 10 No. 5
ショパン エチュード Op.10-12 革命 打ち込み版 高速版 - 1分57.6秒 - 724,457bytes - 48kbps -  ライセンス：CC BY-ND 4.0 or later	Chopin Étude Op. 10 No. 12 'Revolution' – kinova voarafitra, kinova haingam-pandeha – 1 minitra 57,6 segondra – 724 457 baites – 48 kbps – Fahazoan-dàlana: CC BY-ND 4.0 na vao haingana kokoa
ショパン スケルツォ 変ロ短調 Op2 打ち込み版 高速短縮版 - 1分48.0秒 - 665,369bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	Chopin: Scherzo amin'ny Si bemol kely, Op. 2 – Dika novokarin'ny solosaina, dika fohy haingam-pandeha – 1 minitra 48,0 segondra – 665,369 baites – 48 kbps – Fahazoan-dàlana: CC BY-ND 4.0 na vao haingana kokoa
リスト 超絶技巧練習曲 4番 マゼッパ 打ち込み版 高速短縮版 - 1分51.6秒 - 687,586bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	Lisitra: Étude d'Exécution No. 4 'Mazeppa' – kinova novokarin'ny solosaina, kinova fohy haingam-pandeha – 1 minitra 51,6 segondra – 687 586 baites – 48 kbps – Fahazoan-dàlana: CC BY-ND 4.0 na vao haingana kokoa
ファンファーレ - 22.3秒 - 183,926bytes - 64kbps - ライセンス：パブリックドメイン	Fanfare – 22,3 segondra – 183 926 bait – 64 kbps – Fahazoan-dàlana: An'ny daholobe
レトロ風ファンファーレ - 2.2秒 - 10,536bytes - 32kbps - ライセンス：パブリックドメイン	Faneva fomba retro – 2,2 segondra – 10 536 bait – 32 kbps – Fahazoan-dàlana: An'ny daholobe
レトロ風オープン - 42.1秒 - 179,138bytes - 32kbps - ライセンス：パブリックドメイン	Fampidirana amin'ny fomba retro – 42,1 segondra – 179 138 baites – 32 kbps – Fahazoan-dàlana: An'ny daholobe
警告 by ChatGPT - 3.8秒 - 109,700bytes - 256kbps - ライセンス：パブリックドメイン	Fampitandremana avy amin'ny ChatGPT - 3.8 segondra - 109,700 bytes - 256 kbps - Fahazoan-dàlana: An'ny daholobe
マルウェア検出みたいな緊急感の高い音 その１ by ChatGPT - 3.3秒 - 102,850bytes - 256kbps - ライセンス：パブリックドメイン	Feo maika tokoa toy ny fampitandremana fitiliana malware – Ampahany 1 avy amin'i ChatGPT – 3,3 segondra – 102.850 bytes – 256 kbps – Fahazoan-dàlana: An'ny daholobe
マルウェア検出みたいな緊急感の高い音 その２ by ChatGPT - 3.3秒 - 103,122bytes - 256kbps - ライセンス：パブリックドメイン	Feo maika tokoa toy ny fampitandremana fitiliana malware, Fizarana 2 nataon'i ChatGPT - 3,3 segondra - 103.122 bytes - 256 kbps - Fahazoan-dàlana: An'ny daholobe
MRI風サウンド by ChatGPT - 1分14.9秒 - 3,340,392bytes - 320kbps - ライセンス：パブリックドメイン	Feo karazana MRI avy amin'ny ChatGPT – 1 minitra 14,9 segondra – 3 340 392 octets – 320 kbps – Fahazoan-dàlana: An'ny daholobe
警告表示中のBGMを選択します	Safidio ny mozika ambadika hihira mandritra ny fampitandremana.
びっくりするような雰囲気を作ります	Mamorona atmosfera mahagaga.
Firefoxでは音声ブロックされます	Voasakana ny feo ao amin'ny Firefox.
対象アクションを起こした時のビープ音	Feo bip rehefa tanterahina ny hetsika voatondro
有効 音量小さ目	Mandeha, feo ambany
有効 音量大き目	Miasa, ny feo napetraka amin'ny avo
警告表示中にすべてのキー・マウスイベントでビープ音を鳴らします	Heno ny feon'ny bip ho an'ny hetsika rehetra amin'ny fanalahidy sy ny totozy, raha aseho fampitandremana.
警告表示中に端末が暴走したかのような雰囲気を作ります	Miteraka fahatsapana fa lasa tsy voafehy ny fitaovana raha mbola aseho ny fampitandremana.
対象アクションを起こした時のマウスカーソルの消去	Manafina ny kisary totozy rehefa tanterahina ny hetsika iray manokana
警告表示中にブラウザのエリアのマウスカーソルを消去します	Manafina ny kisary totozy eo amin'ny faritra fitetezana raha misy fampitandremana aseho.
デバッグモード	Maody famahana lesoka
妨害＋記録のみ	Fifangaroana + Rakikira ihany
妨害＋記録＋表示＋リダイレクト	Fanelingelenana + Fandraketana + Fampisehoana + Fanodinkodinana
メニューからは操作できてしまいます	Afaka miditra amin'izany ianao amin'ny alalan'ny menio.
Firefoxにおけるデバッグモード	Maody famahana lesoka ao amin'ny Firefox
ブラウザーコンソール	Konsolin'ny mpitety tranonkala
事実上デバッグモードから操作できてしまいます	Raha ny tena izy, azonao ampiasaina avy amin'ny maody debug izy.
HTMLソース表示	Jereo ny loharanon'ny HTML
view-source:から始まるURLを入力すれば操作できてしまいます	Azonao atao ny manatanteraka ilay asa fotsiny amin'ny alalan'ny fampidirana URL manomboka amin'ny 'view-source:'
HTML保護と組み合わせることでコンテンツを保護することができます	Azonao arovana ny votoatinao amin'ny fampifangaroana izany amin'ny fiarovana HTML.
印刷	Atontosa pirinty
印刷阻止をするもものの、ブラウザによってはうまく動作しません	Na dia misakana ny fanontana aza izy, mety tsy hiasa tsara amin'ny mpitety tranonkala sasany.
スクリーンショット	Sary an-tsary
OSやブラウザ、方法によっては妨害できず、もしくは検出しないことがあります	Miankina amin'ny rafitra fandidiana, ny mpitety tranonkala na ny fomba ampiasaina, dia mety tsy ho azo atao ny manakana izany, na mety tsy ho voamarika.
ウインドウが背面に移動した時スクリーンショットの疑い	Sary an-tsaina heverina ho nalaina rehefa mifindra any aoriana ny varavarankely
あわせて、スクリーンショット以外の機能（タブ切り替え・ウィンドウ切り替え）にも反応してしまいます。	Mamaly ihany koa izy amin'ny asa hafa ankoatra ny fakana sary efijery
2キー押下のスクリーンショットの疑い	Sary efijery ahiana nalaina tamin'ny fanindriana bokotra roa
上の項目の検出方法は完全ではありません、予防的に検出を行います	Tsy azo antoka tanteraka ny fomba fitiliana ireo zavatra voalaza etsy ambony; atao ho fepetra fisorohana ny fitiliana.
スクリーンショットだけではなく、デバッグモード等も検出します	Tsy ny pikantsary ihany no fantany fa ny maody debug sy ny toy izany koa.
ページ保存	Tehirizo ny pejy
右クリック	Tsindrio havanana
アドオンがインストールされていると操作できてしまいます	Raha efa napetraka ny fanitarana, dia ho afaka hampiasa azy ianao.
コピー・カット	Adikao ary tapaho
本プラグインの設定によってはこのイベントにたどり着くことはほとんどない場合があります	Miankina amin'ny fandrindrana ity plugin ity, dia mety tsy hitranga matetika ity tranga ity.
テキスト全選択	Safidio ny lahatsoratra rehetra
テキスト選択	Safidio ny lahatsoratra
デバッガー起動ログ、デバッガー妨害	Taratasy firaketana fanombohan'ny mpanitsy, fanelingelenan'ny mpanitsy
デバッグモードの使い勝手を少し悪くし、デバッガを起動したことをログに残します、ブラウザによってはこの挙動が止められてしまいます	Izany dia mahatonga ny maody debug ho somary tsy mora ampiasaina ary mandrakitra fa efa natomboka ny debugger; na izany aza, mety hanakana ity fitondran-tena ity ny mpitety tranonkala sasany.
リダイレクトするURL	Manodina ny URL
利用規約などのページに転送すると良いでしょう	Tsara ny mandefa indray ny mpampiasa any amin'ny pejy toy ny Fepetran'ny Fampiasana.
空欄にすると元のURLにリダイレクトをします	Raha avela banga, dia hampivadika mankany amin'ny URL tany am-boalohany izy.
リダイレクトまでの時間	Fotoana hahatongavana amin'ny fanodina
リダイレクトなし	Tsy misy fampivadiana
1秒	Iray segondra
2秒	Segondra roa
3秒	3 segondra
4秒	4 segondra
5秒	Segondra 5
6秒	Enina segondra
7秒	7 segondra
8秒	8 segondra
9秒	Sivy segondra
10秒	10 segondra
15秒	15 segondra
20秒	20 segondra
25秒	25 segondra
30秒	30 segondra
35秒	35 segondra
40秒	40 segondra
45秒	45 segondra
50秒	50 segondra
55秒	Segondra 55
1分	Minitra iray
1分10秒	1 minitra sy 10 segondra
1分20秒	1 minitra sy 20 segondra
1分30秒	1 minitra sy 30 segondra
1分40秒	1 minitra sy 40 segondra
1分50秒	1 minitra sy 50 segondra
2分	2 minitra
ソース表示を許可する権限	Alalana hijery ny kaody loharano
ADMINログイン時のみ通常のソース出力	Ny famoahana avy amin'ny loharano mahazatra dia miseho rehefa tafiditra amin'ny maha-ADMIN.
USERログインで通常のソース出力	Vokatra mahazatra avy amin'ny loharano rehefa tafiditra amin'ny maha-MPAMPIASA
通常のHTML出力を管理者のみかユーザーログインかを選択します	Safidio na voafetra ho an'ny mpitantana ihany ny fivoahan'ny HTML mahazatra, na mitaky fidirana amin'ny kaonty.
画像を無理やりダウンロードして実際にダウンロードされるもの	Manery sary iray hisintona ary izay tena sintonina
GIF形式で1×1ピクセルの透過画像	Sary mangarahara 1×1-piksely amin'ny endrika GIF
PNG形式で1×1ピクセルの透過画像	Sary mangarahara 1×1-piksely amin'ny endrika PNG
PNG形式で黄色い背景の警告画面	Ecran fampitandremana misy ambadika mavo amin'ny endrika PNG
意味のないHTMLドキュメント	Antontan-taratasy HTML tsy misy dikany
HTML保護時のHEADタグの出力	Vokatra amin'ny tag HEAD rehefa voaaro ny HTML
出力しない	Aza atao pirinty
TITLEタグのみ	Tetikasa: Fampidirana lahatsoratra amin'ny alalan'ny bokotra.
WordpressのHEADタグより取得	Nalaina avy amin'ny tag HEAD an'ny WordPress
企業用途の会員専用ページや社内ページなどでは「出力しない」、「TITLEタグのみ」で良いでしょう	Ho an'ny pejy natokana ho an'ny mpikambana ampiasain'ny orinasa sy ny pejy anatiny, ampy ny misafidy ny 'Tsy mamoaka' na ny 'Taggam-lohateny ihany'.
WordpressのHEADタグから取得しないと、SNSのシェアでOGP画像が表示されません	Raha tsy maka ny fampahalalana avy amin'ny tag HEAD an'ny WordPress ianao, dia tsy hiseho ny sary OGP rehefa mizara amin'ny media sosialy.
画像botをアクセス禁止にする	Sakana ny bot sary
画像botをHTMLに対し避けることにより、画像検索から直接リンクされることによって守れなかったコンテンツを守ることができます、ただし完全には対処することはできません	Amin'ny fisakanana ireo bot-n'ny sary tsy hahazo miditra amin'ny HTML, dia afaka miaro ireo votoaty izay tsy azo arovana amin'ny alalan'ny rohy mivantana avy amin'ny fikarohana sary ianao; na izany aza, tsy vahaolana azo antoka tanteraka izany.
AI学習用botをアクセス禁止にする	Sakana ny fidirana amin'ilay bot fampiofanana AI
AIの学習用のbotをHTMLに対し避けることにより、AIで利用されないようにします、ただし完全には対処することはできません	Amin'ny fialana amin'ny fampiasana ireo bots natao hanofanana ny AI amin'ny HTML, dia miantoka izahay fa tsy ampiasain'ny AI ny votoaty; na izany aza, tsy azo sorohina tanteraka izany.
ウェブアーカイブ、ウェブ魚拓をアクセス禁止にする	Sakana ny fidirana amin'ny tahirin-kevitra an-tranonkala sy ny sary an-tranonkala.
自動的に収集されるウェブアーカイブ並びにユーザーの任意で取得される魚拓のアクセスを禁止します、ただし完全には対処することはできません	Mandràra ny fidirana amin'ireo tahirin-tranonkala voaangona ho azy sy ireo pikantsary nalain'ny mpampiasa araka ny sitrapony izahay; na izany aza, tsy afaka misakana tanteraka izany izahay.
無効なUAをアクセス禁止にする	Sakana ireo mpampiasa tsy manan-kery
ユーザーエイジェントの文字に不正な文字列があった場合のアクセスを避けます	Misakana ny fidirana raha misy tarehintsoratra tsy manankery ao amin'ny kofehy mpanome tolotra mpampiasa.
Internet Explorerと旧Microsoft Edge(EdgeHTML)のアクセスに警告を表示する	Mampiseho fampitandremana rehefa miditra amin'ny Internet Explorer sy ny Microsoft Edge taloha
Internet Explorerと旧Microsoft Edgeのアクセスを避けます	Misakana ny fidirana amin'ny alalan'ny Internet Explorer sy ny Microsoft Edge taloha.
alertメッセージを表示する言語	Fiteny ampiasaina hanehoana ny hafatra fampitandremana
Wordpressの言語	Fitenin'ny WordPress
ブラウザの設定言語	Fikirana momba ny fitenin'ny navigateur
メッセージをカスタム設定されている場合は言語を変更できません	Tsy afaka manova ny fiteny ianao raha efa namboarina ny hafatra.
同意画面の言語	Fitenin'ny efijery fanekena
view-sourceメッセージを表示する言語	Fiteny hanehoana ny hafatra 'view-source'
一時使用トークンの有効期限	Daty lany datin'ny token vonjimaika
3分	3 minitra
4分	Minitra 4
5分	Dimy minitra
6分	Enina minitra
7分	Minitra fito
8分	Valon'minitra
9分	Sivy minitra
10分	Folo minitra
15分	15 minitra
20分	20 minitra
25分	Minitra 25
30分	30 minitra
35分	35 minitra
40分	Minitra 40
45分	45 minitra
50分	Dimy-polo minitra
55分	Dimy amby dimampolo minitra
1時間	Adiny iray
画像URL情報の有効期限を設定します	Farito ny daty lany ho an'ny fampahalalana momba ny URL-n'ny sary
一度読み込まれると画像URL情報と一時使用トークンは無効化されます	Rehefa tafapetraka, dia hofoanana ny URL-n'ny sary sy ny token vonjimaika.
画像は遅延読み込みされますが、この指定した時間の30秒前に強制的に画像が読み込まれます	Ampidirina araka ny fangatahana ny sary, saingy ampidirina ho azy 30 segondra mialoha ny fotoana voatondro.
一時使用トークンのビット数	Isan'ny bits ao anaty token vonjimaika
画像URL情報を暗号化するのに一時使用トークンをパスワードとして使用しますが、その強度を指定します	Token vonjimaika no ampiasaina ho tenimiafina hanakonana ny fampahalalana momba ny URL-n'ny sary; ity fikirakirana ity dia mamaritra ny heriny.
ドロップダウンメニューの下に表示される選択肢にいくにつれて強度が強くなるものの、サーバーへの負荷が高くなり、HTML転送量が多くなることがあります	Na dia mihamivoatra sy mihamifantoka aza ny safidy aseho eo ambanin'ny menio midina, dia mety hampitombo be ny enta-mavesatra amin'ny mpizara izany ary hiteraka famindrana angon-drakitra HTML betsaka.
ハッシュ化アルゴリズム	Algoritman'ny hash
画像URL情報を暗号化するのに一時使用トークンをパスワードとして使用しますが、その時ハッシュ化が必要です、その強度を設定します	Token vonjimaika no ampiasaina ho tenimiafina hanakonana ny fampahalalana momba ny URL-n'ny sary; mitaky fanaovana hash izany, ary ity fikirakirana ity no mamaritra ny tanjaky ny hash.
ドロップダウンメニューの下に表示される選択肢にいくにつれて強度が強くなるものの、サーバーへの負荷が高くなります	Na dia miakatra aza ny hamafin'ny rehefa mitsoraka midina ianao amin'ireo safidy aseho ao amin'ny menio midina, dia mampitombo enta-mavesatra kokoa amin'ny mpizara izany.
基本設定	Fikirana fototra
高度な設定	Fikirana mandroso
初期設定に戻す	Avereno ny fikirakirana voalohany
デザイン・音の設定	Famolavolana sy fikirakirana ny feo
イベントの設定	Fikirana ny hetsika
初回訪問時のお知らせの設定	Fametrahana fampandrenesana ho an'ny fitsidihana voalohany
メッセージの設定	Fikirana hafatra
右クリックやソースコード表示時に転送する URL を設定します	Farito ny URL hosokafana rehefa manindry-ankavanana na mijery ny kaody loharano
警告メッセージにはHTMLは使用できません	Tsy azo ampiasaina ao anatin'ny hafatra fampitandremana ny HTML.
この画面で設定すると、高度な設定タブにある言語設定が無視されます	Raha manamboatra izany ianao amin'ity efijery ity, dia tsy ho raisina an-tanisaina ny fikirakirana ny fiteny ao amin'ny takelaka Advanced.
以下の文字列が使用できます	Azo ampiasaina ireto andalana manaraka ireto
改行	Fizaran-tsoratra
押下されたキー	Voatsindry ny lakile
Neo HTML Protector 設定	Fikirana Neo HTML Protector
お知らせ	Fampandrenesana
メッセージ	Hafatra
デザイン・音	Endrika sy Feo
初期化	Fanombohana
このプラグインについて	Momba ity plugin ity
設定が初期化されました	Naverina tamin'ny laoniny ny fikirakirana.
