設定	सेटिंग्ज
HTML難読化・保護時にソースの先頭に表示するメッセージ	HTML अस्पष्ट किंवा संरक्षित करताना स्रोत कोडच्या शीर्षस्थानी प्रदर्शित होणारा संदेश
HTML保護時に一度限りの認証トークンが異常の場合に表示するメッセージ	HTML संरक्षणादरम्यान एकदा वापरता येणारा प्रमाणीकरण टोकन अमान्य असल्यास प्रदर्शित होणारा संदेश
CookieやJavascriptが有効でない場合に表示するメッセージ	कुकीज किंवा जावास्क्रिप्ट अक्षम असल्यास प्रदर्शित होणारा संदेश
実際にはJavascriptが無効時のみ表示されます	प्रत्यक्षात, हे फक्त तेव्हाच प्रदर्शित होते जेव्हा जावास्क्रिप्ट अक्षम केलेले असते.
画像保護時に画像がダウンロードされ、その画像に表示するメッセージ 英語のみ	जेव्हा एखादी प्रतिमा संरक्षित असते, तेव्हा ती डाउनलोड होते आणि त्या प्रतिमेवर एक संदेश प्रदर्शित होतो
HTML難読化 (圧縮)	HTML अस्पष्टीकरण
一般的なHTML圧縮です、難読化解除のサイトもあります	हे मानक HTML संकुचन आहे; ते डीकोड करू शकणाऱ्या वेबसाइट्स देखील आहेत.
このオプションを有効にするとview-sourceのログが取得できます	हा पर्याय सक्षम केल्यास तुम्हाला व्यू-सोर्स लॉग्स मिळवता येतात.
HTML保護	HTML संरक्षण
HTML圧縮以上に最小限のHTMLしか出力せず、BODYタグ内の内容が全く出力されなくなります	हे HTML संकुचन सेटिंगपेक्षा आणखी कमी HTML आउटपुट करते, म्हणजे BODY टॅगमधील सामग्री अजिबात आउटपुट होत नाही.
Firefoxに対しては無効です	हे फायरफॉक्सवर लागू होत नाही.
SEOに著しく影響があります	याचा एसईओवर महत्त्वपूर्ण परिणाम होतो.
HTMLをJavaScriptで描画	जावास्क्रिप्ट वापरून HTML तयार करणे
Firefox対策としてHTMLをJavaScriptで描画をします	Firefox वर काम करण्यासाठी, आम्ही JavaScript वापरून HTML रेंडर करतो.
JavaScript描画で有効にするとウェブサイトの表示速度が著しく遅くなります	जावास्क्रिप्ट रेंडरिंग सक्षम केल्याने वेबसाइटच्या लोडिंग गतीमध्ये लक्षणीय मंदता येईल.
画像の保護	प्रतिमा संरक्षण
imgタグが呼び出されるごとに画像を保護	Img टॅग प्रत्येक वेळी कॉल झाल्यावर प्रतिमा संरक्षित करा
出力される全HTMLのうち、Wordpressにアップロードされた画像をすべて保護	संपूर्ण HTML आउटपुटमधील WordPress मध्ये अपलोड केलेल्या सर्व प्रतिमांचे संरक्षण करा.
画像をダウンロードから保護します	प्रतिमा डाउनलोड होण्यापासून संरक्षण करते
画像データを保護した時にはほぼ完全なるダウンロードを阻止し、完全なるワンタイムURLを発行し、セッションに保存されたトークンで認証し、phpから画像を表示します、その為ほぼ完全な画像盗用を防ぎます	जेव्हा प्रतिमा डेटा संरक्षित केला जातो, तेव्हा आम्ही जवळजवळ सर्व डाउनलोड प्रतिबंधित करतो, अद्वितीय एकदाच वापरता येणारे URL जारी करतो, सत्रात संग्रहित टोकन्स वापरून प्रमाणीकरण करतो आणि PHP द्वारे प्रतिमा प्रदर्शित करतो; यामुळे प्रतिमा चोरीच्या जवळजवळ सर्व घटना प्रभावीपणे प्रतिबंधित होतात.
画像データを保護した時には画像のキャッシュが効かないため、次回訪問時にサイトの読み込みが遅くなるため、SEOに影響があります	जेव्हा प्रतिमा डेटा संरक्षित केला जातो, तेव्हा कॅशिंग काम करत नाही, ज्यामुळे साइट पुढील भेटींवर हळू लोड होते आणि परिणामी SEO प्रभावित होते.
画像データを保護した時には、データベースの負荷が高くなる可能性があります	प्रतिमा डेटाचे संरक्षण केल्याने डेटाबेसवरील भार वाढू शकतो.
「imgタグが呼び出されるごとに画像を保護」の場合は、add_filterを使用し、imgタグの発行時にフィルタリングを行います、テーマによっては正しく動作しません	जर आपण 'img टॅग प्रत्येक वेळी कॉल झाल्यावर प्रतिमा संरक्षित करा' निवडले, तर सिस्टम img टॅग तयार होताना फिल्टरिंग करण्यासाठी add_filter वापरते; तथापि, काही थीम्समध्ये हे योग्यरित्या काम नसू शकते.
「出力される全HTMLのうち、Wordpressにアップロードされた画像をすべて保護」の場合は、Wordpressのほぼすべての動作をキャプチャし、コンテンツ内のimgタグについてすべて処理します。テーマによっては正しく動作しません	जर आपण 'संपूर्ण HTML आउटपुटमध्ये WordPress वर अपलोड केलेल्या सर्व प्रतिमांचे संरक्षण करा' हा पर्याय निवडला, तर प्लगइन जवळजवळ सर्व WordPress क्रियाकलाप कॅप्चर करेल आणि सामग्रीतील प्रत्येक img टॅगवर प्रक्रिया करेल. कृपया लक्षात घ्या की काही थीमसह हे योग्यरित्या कार्य करणार नाही.
なお、アイキャッチに指定した画像はOGPとして拡散されますので保護できません。どうしても保護すべき場合は高度な設定でHTML保護時のHEADタグの出力の選択を変更してください	कृपया लक्षात घ्या की वैशिष्ट्यीकृत प्रतिमा म्हणून निवडलेल्या प्रतिमा OGP डेटा म्हणून शेअर केल्या जातील आणि संरक्षित करता येणार नाहीत. जर तुम्हाला त्या नक्कीच संरक्षित करायच्या असतील, तर HTML संरक्षण सक्षम करताना प्रगत सेटिंग्जमध्ये HEAD टॅग आउटपुटसाठीची सेटिंग बदला.
OS標準搭載のスクリーンショット機能を保護することはできません	ऑपरेटिंग सिस्टममध्ये अंगभूत असलेले स्क्रीनशॉट फंक्शन संरक्षित करता येणार नाही.
画像URLの保護	प्रतिमा URL संरक्षण
画像の保護と組み合わせて使用します、単体では意味がありません	हे प्रतिमा संरक्षणासोबतच वापरावे; स्वतःमध्ये याचा कोणताही उपयोग नाही.
JavaScriptにより遅延読まれますのでSEOに影響があります	जेव्हा ते जावास्क्रिप्टद्वारे लोड केले जाते, तेव्हा याचा SEO वर परिणाम होतो.
画像のウォーターマーク	प्रतिमेवरील वॉटरमार्क
右下	खाली उजवीकडे
ランダム位置	यादृच्छिक स्थान
画像の保護と組み合わせて使用します、動的な透かしで著作権を明示しつつ、閲覧者に監視されている印象を与え抑止力を高めます	प्रतिमा संरक्षणासोबत वापरल्यास, गतिशील वॉटरमार्क स्पष्टपणे कॉपीराइट मालकीचे सूचक असतात आणि पाहणाऱ्यांना ते पाहिले जात असल्याचा भास देतात, ज्यामुळे ते प्रतिबंधक म्हणून कार्य करतात.
JPG形式、PNG形式、WebP形式のみ対応します	केवळ JPG, PNG आणि WebP स्वरूप समर्थित आहेत.
有効にするとサーバーの負荷が高くなります	हे सक्षम केल्याने सर्व्हरवरील लोड वाढेल.
HTML難読化・保護時のHTMLソースコードのアスキーアートの出力	HTML अस्पष्टीकरण आणि संरक्षणादरम्यान HTML स्रोत कोडमधून ASCII कला आउटपुट करणे
表示なし	कोणताही प्रदर्शन नाही
view-sourceでHTMLソース表示をした時に警告の意思を示すアスキーアートを表示します	'view-source' वापरून HTML स्त्रोत पाहताना चेतावणी दर्शवणारी ASCII कला प्रदर्शित करते
対象アクションを起こした時の表示デザイン	लक्ष्य क्रिया पार पडल्यावर डिझाइन प्रदर्शित करा
黄色の背景の黒文字のベーシックデザイン	पिवळ्या पार्श्वभूमीवर काळा मजकूर असलेली एक मूलभूत रचना
黒色の背景の赤文字のホラー風デザイン	काळ्या पार्श्वभूमीवर लाल मजकूर असलेली भयानक शैलीतील रचना
黒色の背景の赤文字の光る文字のデザイン	काळ्या पार्श्वभूमीवर चमकणारा लाल मजकूर असलेली रचना
対象アクションを起こした時のBGM	लक्ष्य क्रिया पार पडल्यावर वाजणारे पार्श्वसंगीत
サウンドなし	ध्वनी नाही
戦闘＆戦闘勝利 - 1分16.3秒 - 630,056bytes - 64kbps - ライセンス：CC2.1 or later	लढा आणि विजय - १ मिनिट १६.३ सेकंद - ६३०,०५६ बाइट्स - ६४ kbps - परवाना: CC 2.1 किंवा त्यानंतर
おやじ ショート - 3.8秒 - 32,364bytes - 64kbps - ライセンス GPL2.0 or later (C)EJ	डॅड शॉर्ट - ३.८ सेकंद - ३२,३६४ बाइट्स - ६४ kbps - परवाना: GPL 2.0 किंवा त्यानंतर
おやじ ロング - 23.5秒 - 195,578bytes - 64kbps - ライセンス GPL2.0 or later (C)EJ	ओयाजी लाँग - २३.५ सेकंद - १९५,५७८ बाइट्स - ६४ kbps - परवाना: GPL 2.0 किंवा त्यानंतर
ショパン エチュード Op.10-5 黒鍵 打ち込み版 高速版 - 1分0.0秒 - 369,778bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	चोपिन एट्यूड ओपस 10 क्रमांक 5
ショパン エチュード Op.10-12 革命 打ち込み版 高速版 - 1分57.6秒 - 724,457bytes - 48kbps -  ライセンス：CC BY-ND 4.0 or later	चोपिन एट्यूड ओपस 10 क्रमांक 12 'रिव्होल्यूशन' – संगणक-निर्मित आवृत्ती, उच्च-गती – 1 मिनिट 57.6 सेकंद – 724,457 बाइट्स – 48 kbps – परवाना: CC BY-ND 4.0 किंवा त्यानंतरचा
ショパン スケルツォ 変ロ短調 Op2 打ち込み版 高速短縮版 - 1分48.0秒 - 665,369bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	चोपिन: बी-फ्लॅट मायनरमधील शेरझो, ओप. 2 – संगणकाद्वारे तयार केलेली आवृत्ती, उच्च-गती संक्षिप्त आवृत्ती – 1 मिनिट 48.0 सेकंद – 665,369 बाइट्स – 48 kbps – परवाना: CC BY-ND 4.0 किंवा त्यानंतरचा
リスト 超絶技巧練習曲 4番 マゼッパ 打ち込み版 高速短縮版 - 1分51.6秒 - 687,586bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	यादी: Étude d'Exécution Transcendante क्र. ४, 'मेझेप्पा' – संगणक-निर्मित आवृत्ती, उच्च-गती संक्षिप्त आवृत्ती – १ मिनिट ५१.६ सेकंद – ६८७,५८६ बाइट्स – ४८ केबीपीएस – परवाना: CC BY-ND 4.0 किंवा त्यानंतरचा
ファンファーレ - 22.3秒 - 183,926bytes - 64kbps - ライセンス：パブリックドメイン	फॅनफेअर – २२.३ सेकंद – १८३,९२६ बाइट्स – ६४ kbps – परवाना: सार्वजनिक डोमेन
レトロ風ファンファーレ - 2.2秒 - 10,536bytes - 32kbps - ライセンス：パブリックドメイン	रेट्रो-शैलीतील धूमधडाका – 2.2 सेकंद – 10,536 बाइट्स – 32 kbps – परवाना: सार्वजनिक डोमेन
レトロ風オープン - 42.1秒 - 179,138bytes - 32kbps - ライセンス：パブリックドメイン	रेट्रो-शैलीतील प्रस्तावना – ४२.१ सेकंद – १७९,१३८ बाइट्स – ३२ kbps – परवाना: सार्वजनिक डोमेन
警告 by ChatGPT - 3.8秒 - 109,700bytes - 256kbps - ライセンス：パブリックドメイン	ChatGPT कडून चेतावणी - ३.८ सेकंद - १०९,७०० बाइट्स - २५६ kbps - परवाना: सार्वजनिक डोमेन
マルウェア検出みたいな緊急感の高い音 その１ by ChatGPT - 3.3秒 - 102,850bytes - 256kbps - ライセンス：パブリックドメイン	उच्च तातडीचा आवाज, मालवेअर शोध अलर्टसारखा – भाग १ ChatGPT कडून – ३.३ सेकंद – १०२,८५० बाइट्स – २५६ kbps – परवाना: सार्वजनिक डोमेन
マルウェア検出みたいな緊急感の高い音 その２ by ChatGPT - 3.3秒 - 103,122bytes - 256kbps - ライセンス：パブリックドメイン	मालवेअर शोध अलर्टसारखा उच्च तातडीचा आवाज, भाग २ ChatGPT द्वारे - ३.३ सेकंद - १०३,१२२ बाइट्स - २५६ kbps - परवाना: सार्वजनिक डोमेन
MRI風サウンド by ChatGPT - 1分14.9秒 - 3,340,392bytes - 320kbps - ライセンス：パブリックドメイン	ChatGPT द्वारे तयार केलेला MRI-शैलीतील ध्वनी – 1 मिनिट 14.9 सेकंद – 3,340,392 बाइट्स – 320 kbps – परवाना: सार्वजनिक डोमेन
警告表示中のBGMを選択します	चेतावणी दरम्यान वाजवण्यासाठी पार्श्वसंगीत निवडा
びっくりするような雰囲気を作ります	हे एक आश्चर्यकारक वातावरण निर्माण करते
Firefoxでは音声ブロックされます	Firefox मध्ये ऑडिओ अवरुद्ध आहे.
対象アクションを起こした時のビープ音	निर्दिष्ट क्रिया पार पडल्यावर बीप
有効 音量小さ目	चालू, आवाज कमी
有効 音量大き目	सक्रिय, आवाज उच्चवर सेट
警告表示中にすべてのキー・マウスイベントでビープ音を鳴らします	चेतावणी प्रदर्शित असताना सर्व कीबोर्ड आणि माउस इव्हेंट्सच्या प्रतिसादात बीप वाजेल.
警告表示中に端末が暴走したかのような雰囲気を作ります	चेतावणी प्रदर्शित असताना असे भास होतो की उपकरण नियंत्रणाबाहेर गेले आहे.
対象アクションを起こした時のマウスカーソルの消去	विशिष्ट क्रिया पार पडल्यावर माउस कर्सर लपवणे
警告表示中にブラウザのエリアのマウスカーソルを消去します	चेतावणी प्रदर्शित असताना ब्राउझर क्षेत्रात माउस कर्सर लपवले जाते.
デバッグモード	त्रुटिशोधन मोड
妨害＋記録のみ	हस्तक्षेप + रेकॉर्ड्स फक्त
妨害＋記録＋表示＋リダイレクト	हस्तक्षेप + लॉगिंग + प्रदर्शन + पुनर्निर्देशन
メニューからは操作できてしまいます	तुम्ही अजूनही मेन्यूद्वारे त्यात प्रवेश करू शकता.
Firefoxにおけるデバッグモード	फायरफॉक्समधील डिबग मोड
ブラウザーコンソール	ब्राउझर कन्सोल
事実上デバッグモードから操作できてしまいます	प्रत्यक्षात, तुम्ही ते डिबग मोडमधून चालवू शकता.
HTMLソース表示	HTML स्त्रोत पहा
view-source:から始まるURLを入力すれば操作できてしまいます	तुम्ही फक्त 'view-source:' ने सुरू होणारा URL टाकून हा ऑपरेशन सहजपणे करू शकता.
HTML保護と組み合わせることでコンテンツを保護することができます	तुम्ही हे HTML संरक्षणासोबत एकत्र करून तुमची सामग्री संरक्षित करू शकता.
印刷	मुद्रण
印刷阻止をするもものの、ブラウザによってはうまく動作しません	जरी हे प्रिंटिंग प्रतिबंधित करते, तरीही काही ब्राउझरमध्ये ते व्यवस्थित काम करणार नाही.
スクリーンショット	स्क्रीनशॉट
OSやブラウザ、方法によっては妨害できず、もしくは検出しないことがあります	ऑपरेटिंग सिस्टम, ब्राउझर किंवा वापरलेल्या पद्धतीवर अवलंबून, हे अवरुद्ध करणे शक्य नसेल किंवा ते ओळखले जाणार नाही.
ウインドウが背面に移動した時スクリーンショットの疑い	विंडो पार्श्वभूमीत गेल्यावर घेतलेला संशयित स्क्रीनशॉट
あわせて、スクリーンショット以外の機能（タブ切り替え・ウィンドウ切り替え）にも反応してしまいます。	हे स्क्रीनशॉट्स व्यतिरिक्त इतर क्रियांनाही प्रतिसाद देते
2キー押下のスクリーンショットの疑い	दोन की दाबून घेतलेला संशयित स्क्रीनशॉट
上の項目の検出方法は完全ではありません、予防的に検出を行います	वरील यादीबद्ध वस्तूंच्या शोध पद्धती पूर्णपणे अचूक नाहीत; शोध कार्य सावधगिरीच्या उपाय म्हणून केले जाते.
スクリーンショットだけではなく、デバッグモード等も検出します	हे केवळ स्क्रीनशॉटच नव्हे तर डिबग मोड्स आणि तत्सम गोष्टी देखील ओळखते.
ページ保存	पृष्ठ जतन करा
右クリック	उजवी-क्लिक
アドオンがインストールされていると操作できてしまいます	जर अ‍ॅड-ऑन स्थापित असेल, तर तुम्ही ते वापरू शकाल.
コピー・カット	कॉपी करा आणि कापा
本プラグインの設定によってはこのイベントにたどり着くことはほとんどない場合があります	या प्लगइनच्या सेटिंग्जवर अवलंबून, तुम्हाला ही घटना क्वचितच अनुभवावी लागू शकते.
テキスト全選択	सर्व मजकूर निवडा
テキスト選択	मजकूर निवडा
デバッガー起動ログ、デバッガー妨害	डिबगर स्टार्टअप लॉग, डिबगर हस्तक्षेप
デバッグモードの使い勝手を少し悪くし、デバッガを起動したことをログに残します、ブラウザによってはこの挙動が止められてしまいます	यामुळे डिबग मोड थोडा कमी वापरकर्ता-अनुकूल बनतो आणि डिबगर सुरू झाल्याची नोंद लॉग होते; तथापि, काही ब्राउझर हे वर्तन अवरुद्ध करू शकतात.
リダイレクトするURL	URL पुनर्निर्देशित करा
利用規約などのページに転送すると良いでしょう	वापर अटीसारख्या पृष्ठांकडे वापरकर्त्यांना पुनर्निर्देशित करणे चांगले ठरेल.
空欄にすると元のURLにリダイレクトをします	जर रिकामे सोडले तर ते मूळ URL वर पुनर्निर्देशित होईल.
リダイレクトまでの時間	पुनर्निर्देशनापर्यंतचा वेळ
リダイレクトなし	कोणताही पुनर्निर्देश नाही
1秒	१ सेकंद
2秒	२ सेकंद
3秒	३ सेकंद
4秒	४ सेकंद
5秒	५ सेकंद
6秒	६ सेकंद
7秒	७ सेकंद
8秒	८ सेकंद
9秒	९ सेकंद
10秒	१० सेकंद
15秒	१५ सेकंद
20秒	20 सेकंद
25秒	२५ सेकंद
30秒	30 सेकंद
35秒	35 सेकंद
40秒	चाळीस सेकंद
45秒	४५ सेकंद
50秒	५० सेकंद
55秒	५५ सेकंद
1分	१ मिनिट
1分10秒	१ मिनिट १० सेकंद
1分20秒	१ मिनिट २० सेकंद
1分30秒	एक मिनिट तीस सेकंद
1分40秒	१ मिनिट ४० सेकंद
1分50秒	१ मिनिट ५० सेकंद
2分	२ मिनिटे
ソース表示を許可する権限	स्रोत कोड पाहण्याची परवानगी
ADMINログイン時のみ通常のソース出力	सामान्य स्रोत आउटपुट फक्त ADMIN म्हणून लॉग इन केल्यावरच
USERログインで通常のソース出力	यूजर म्हणून लॉग इन केल्यावर सामान्य स्रोत आउटपुट
通常のHTML出力を管理者のみかユーザーログインかを選択します	निवडा की मानक HTML आउटपुट फक्त प्रशासकांपुरते मर्यादित असावे किंवा वापरकर्त्याच्या लॉगिनची आवश्यकता असावी.
画像を無理やりダウンロードして実際にダウンロードされるもの	प्रतिमा डाउनलोड करण्यास भाग पाडणे आणि प्रत्यक्षात काय डाउनलोड होते
GIF形式で1×1ピクセルの透過画像	GIF स्वरूपातील 1×1 पिक्सेल पारदर्शक प्रतिमा
PNG形式で1×1ピクセルの透過画像	PNG स्वरूपातील 1×1 पिक्सेल पारदर्शक प्रतिमा
PNG形式で黄色い背景の警告画面	PNG स्वरूपात पिवळ्या पार्श्वभूमीसह चेतावणी स्क्रीन
意味のないHTMLドキュメント	अर्थहीन HTML दस्तऐवज
HTML保護時のHEADタグの出力	जेव्हा HTML संरक्षित असते तेव्हा HEAD टॅगचे आउटपुट
出力しない	प्रिंट करू नका
TITLEタグのみ	फक्त शीर्षक टॅग
WordpressのHEADタグより取得	WordPress HEAD टॅगमधून प्राप्त केले
企業用途の会員専用ページや社内ページなどでは「出力しない」、「TITLEタグのみ」で良いでしょう	कॉर्पोरेट वापरासाठी सदस्यांसाठीच असलेल्या पृष्ठांसाठी आणि अंतर्गत पृष्ठांसाठी 'Do not output' किंवा 'TITLE tag only' निवडणे पुरेसे आहे.
WordpressのHEADタグから取得しないと、SNSのシェアでOGP画像が表示されません	आपण WordPress HEAD टॅगमधून माहिती मिळवली नाही तर सोशल मीडियावर शेअर करताना OGP प्रतिमा दिसणार नाही.
画像botをアクセス禁止にする	प्रतिमा बॉट ब्लॉक करा
画像botをHTMLに対し避けることにより、画像検索から直接リンクされることによって守れなかったコンテンツを守ることができます、ただし完全には対処することはできません	प्रतिमा बॉट्सना HTML प्रवेशापासून रोखून, आपण प्रतिमा शोधद्वारे थेट लिंकिंगपासून संरक्षित करता न येणाऱ्या सामग्रीचे संरक्षण करू शकता; तथापि, हे पूर्ण समाधान प्रदान करत नाही.
AI学習用botをアクセス禁止にする	AI प्रशिक्षण बॉटवर प्रवेश प्रतिबंधित करा
AIの学習用のbotをHTMLに対し避けることにより、AIで利用されないようにします、ただし完全には対処することはできません	HTML वर AI प्रशिक्षणासाठी डिझाइन केलेल्या बॉट्सचा वापर टाळून, आम्ही सुनिश्चित करतो की सामग्री AI द्वारे वापरली जाणार नाही; तथापि, हे पूर्णपणे टाळता येणार नाही.
ウェブアーカイブ、ウェブ魚拓をアクセス禁止にする	वेब आर्काइव्ह आणि वेब स्नॅपशॉट्समध्ये प्रवेश प्रतिबंधित करा
自動的に収集されるウェブアーカイブ並びにユーザーの任意で取得される魚拓のアクセスを禁止します、ただし完全には対処することはできません	आम्ही वापरकर्त्याच्या विवेकानुसार घेतलेल्या स्वयंचलितपणे संकलित वेब आर्काइव्ह आणि स्क्रीनशॉट्समध्ये प्रवेश प्रतिबंधित करतो; तथापि, आम्ही हे पूर्णपणे रोखू शकत नाही.
無効なUAをアクセス禁止にする	अमान्य युझर एजंट्स ब्लॉक करा
ユーザーエイジェントの文字に不正な文字列があった場合のアクセスを避けます	जर युझर एजंट स्ट्रिंगमध्ये अवैध अक्षरे असतील तर प्रवेश प्रतिबंधित केला जातो.
Internet Explorerと旧Microsoft Edge(EdgeHTML)のアクセスに警告を表示する	इंटरनेट एक्सप्लोरर आणि जुन्या मायक्रोसॉफ्ट एज
Internet Explorerと旧Microsoft Edgeのアクセスを避けます	Internet Explorer आणि जुन्या Microsoft Edge द्वारे प्रवेश प्रतिबंधित करते.
alertメッセージを表示する言語	अलर्ट संदेश प्रदर्शित करण्यासाठी वापरली जाणारी भाषा
Wordpressの言語	वर्डप्रेस भाषा
ブラウザの設定言語	ब्राउझर भाषा सेटिंग्ज
メッセージをカスタム設定されている場合は言語を変更できません	संदेश सानुकूलित केले गेले असल्यास तुम्ही भाषा बदलू शकत नाही.
同意画面の言語	संमती स्क्रीनची भाषा
view-sourceメッセージを表示する言語	'view-source' संदेश प्रदर्शित करण्यासाठीची भाषा
一時使用トークンの有効期限	तात्पुरत्या टोकनची समाप्ती तारीख
3分	३ मिनिटे
4分	४ मिनिटे
5分	५ मिनिटे
6分	६ मिनिटे
7分	७ मिनिटे
8分	८ मिनिटे
9分	९ मिनिटे
10分	१० मिनिटे
15分	पंधरा मिनिटे
20分	वीस मिनिटे
25分	पंचवीस मिनिटे
30分	३० मिनिटे
35分	35 मिनिटे
40分	चाळीस मिनिटे
45分	४५ मिनिटे
50分	५० मिनिटे
55分	५५ मिनिटे
1時間	एक तास
画像URL情報の有効期限を設定します	प्रतिमा URL माहितीची समाप्ती तारीख सेट करा
一度読み込まれると画像URL情報と一時使用トークンは無効化されます	एकदा लोड झाल्यावर, प्रतिमेचा URL आणि तात्पुरता टोकन अमान्य केले जातील.
画像は遅延読み込みされますが、この指定した時間の30秒前に強制的に画像が読み込まれます	प्रतिमा मागणीनुसार लोड होतात, परंतु त्या निर्दिष्ट वेळेच्या 30 सेकंद आधी आपोआप लोड होतील.
一時使用トークンのビット数	तात्पुरत्या टोकनमधील बिट्सची संख्या
