設定	Подешавања
HTML難読化・保護時にソースの先頭に表示するメッセージ	Порука која се приказује на врху изворног кода приликом замућивања или заштите HTML-а
HTML保護時に一度限りの認証トークンが異常の場合に表示するメッセージ	Порука за приказ ако је једнократни токен за аутентификацију неважећи током HTML заштите
CookieやJavascriptが有効でない場合に表示するメッセージ	Порука за приказ ако су колачићи или JavaScript онемогућени
実際にはJavascriptが無効時のみ表示されます	Заправо, ово се приказује само када је JavaScript онемогућен.
画像保護時に画像がダウンロードされ、その画像に表示するメッセージ 英語のみ	Када је слика заштићена, она се преузима и на њој се приказује порука
HTML難読化 (圧縮)	Омрачавање HTML-а
一般的なHTML圧縮です、難読化解除のサイトもあります	Ово је стандардна HTML компресија; постоје и веб-сајтови који могу да је дешифрују.
このオプションを有効にするとview-sourceのログが取得できます	Омогућавање ове опције вам омогућава да преузмете логове view-source.
HTML保護	HTML заштита
HTML圧縮以上に最小限のHTMLしか出力せず、BODYタグ内の内容が全く出力されなくなります	Он генерише још мање HTML-а него подешавање за компресију HTML-а, што значи да садржај унутар тага BODY уопште неће бити приказан.
Firefoxに対しては無効です	Ово се не односи на Firefox
SEOに著しく影響があります	Ово има значајан утицај на СЕО.
HTMLをJavaScriptで描画	Исписивање HTML-а помоћу JavaScript-а
Firefox対策としてHTMLをJavaScriptで描画をします	Да бисмо заобишли Firefox, приказујемо HTML помоћу JavaScript-а.
JavaScript描画で有効にするとウェブサイトの表示速度が著しく遅くなります	Омогућавање рендеровања JavaScript-а значајно ће успорити брзину учитавања веб-сајта.
画像の保護	Заштита слике
imgタグが呼び出されるごとに画像を保護	Заштитите слику сваки пут када се позове таг img
出力される全HTMLのうち、Wordpressにアップロードされた画像をすべて保護	Заштитите све слике отпремљене у WordPress унутар целог HTML излаза
画像をダウンロードから保護します	Штити слике од преузимања
画像データを保護した時にはほぼ完全なるダウンロードを阻止し、完全なるワンタイムURLを発行し、セッションに保存されたトークンで認証し、phpから画像を表示します、その為ほぼ完全な画像盗用を防ぎます	Када су подаци о сликама заштићени, спречавамо готово све преузимање, издајемо јединствене једнократне УРЛ адресе, аутентикујемо се помоћу токена сачуваних у сесији и приказујемо слике преко ПХП-а; ово ефикасно спречава готово све случајеве крађе слика.
画像データを保護した時には画像のキャッシュが効かないため、次回訪問時にサイトの読み込みが遅くなるため、SEOに影響があります	Када су подаци о слици заштићени, кеширање не функционише, што значи да ће се сајт спорије учитавати приликом наредних посета, чиме се утиче на СЕО.
画像データを保護した時には、データベースの負荷が高くなる可能性があります	Заштита података о сликама може повећати оптерећење базе података.
「imgタグが呼び出されるごとに画像を保護」の場合は、add_filterを使用し、imgタグの発行時にフィルタリングを行います、テーマによっては正しく動作しません	Ако изаберете "Заштити слике кад год се позове ознака img", систем користи add_filter да примени филтрирање када се генерише ознака img; међутим, ово можда неће исправно радити са неким темама.
「出力される全HTMLのうち、Wordpressにアップロードされた画像をすべて保護」の場合は、Wordpressのほぼすべての動作をキャプチャし、コンテンツ内のimgタグについてすべて処理します。テーマによっては正しく動作しません	Ако изаберете "Заштити све слике отпремљене у WordPress у оквиру целог HTML излаза", додатак ће обухватити готово све WordPress операције и обрадити сваки img таг у садржају. Имајте у виду да ово можда неће исправно радити са неким темама.
なお、アイキャッチに指定した画像はOGPとして拡散されますので保護できません。どうしても保護すべき場合は高度な設定でHTML保護時のHEADタグの出力の選択を変更してください	Имајте у виду да ће слике означене као истакнуте бити подељене као OGP подаци и не могу бити заштићене. Ако их апсолутно морате заштитити, промените подешавање за излаз HEAD тага у напредним подешавањима када омогућавате HTML заштиту.
OS標準搭載のスクリーンショット機能を保護することはできません	Функција снимања екрана укључена као стандард у оперативном систему не може бити заштићена.
画像URLの保護	Заштита УРЛ адреса слика
画像の保護と組み合わせて使用します、単体では意味がありません	Ово треба користити у комбинацији са заштитом слике; само по себи нема никакву сврху.
JavaScriptにより遅延読まれますのでSEOに影響があります	Пошто се учитава преко JavaScript-а, то утиче на СЕО.
画像のウォーターマーク	Водени жиг слике
右下	доле десно
ランダム位置	Случајна позиција
画像の保護と組み合わせて使用します、動的な透かしで著作権を明示しつつ、閲覧者に監視されている印象を与え抑止力を高めます	У комбинацији са заштитом слика, динамичке водене жигове јасно указују на власништво над ауторским правима, истовремено дајући гледаоцима утисак да су под надзором, чиме делују као средство одвраћања.
JPG形式、PNG形式、WebP形式のみ対応します	Подржани су само JPG, PNG и WebP формати.
有効にするとサーバーの負荷が高くなります	Омогућавање овога ће повећати оптерећење сервера.
HTML難読化・保護時のHTMLソースコードのアスキーアートの出力	Исписивање ASCII уметности из HTML изворног кода током замућивања и заштите
表示なし	Нема приказа
view-sourceでHTMLソース表示をした時に警告の意思を示すアスキーアートを表示します	Приказује ASCII уметност која указује на упозорење приликом прегледања HTML извора помоћу "view-source"
対象アクションを起こした時の表示デザイン	Прикажи дизајн када се изврши циљна акција
黄色の背景の黒文字のベーシックデザイン	Основни дизајн са црним текстом на жутој позадини
黒色の背景の赤文字のホラー風デザイン	Дизајн у хорор стилу са црвеним текстом на црној позадини
黒色の背景の赤文字の光る文字のデザイン	Дизајн са светлуцавим црвеним текстом на црној позадини
対象アクションを起こした時のBGM	Позадинска музика која свира када се изврши циљна акција
サウンドなし	Нема звука
戦闘＆戦闘勝利 - 1分16.3秒 - 630,056bytes - 64kbps - ライセンス：CC2.1 or later	Битка и победа - 1 минут 16,3 секунде - 630.056 бајтова - 64 kbps - Лиценца: CC 2.1 или новија
おやじ ショート - 3.8秒 - 32,364bytes - 64kbps - ライセンス GPL2.0 or later (C)EJ	Дад Шорт - 3,8 секунди - 32.364 бајта - 64 kbps - Лиценца: GPL 2.0 или новија
おやじ ロング - 23.5秒 - 195,578bytes - 64kbps - ライセンス GPL2.0 or later (C)EJ	Oyaji Long - 23,5 секунди - 195.578 бајтова - 64 kbps - Лиценца: GPL 2.0 или новија
ショパン エチュード Op.10-5 黒鍵 打ち込み版 高速版 - 1分0.0秒 - 369,778bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	Шопен Етјуд оп. 10 бр. 5
ショパン エチュード Op.10-12 革命 打ち込み版 高速版 - 1分57.6秒 - 724,457bytes - 48kbps -  ライセンス：CC BY-ND 4.0 or later	Шопен Етјуд оп. 10 бр. 12 "Револуција" – рачунарски генерисана верзија, верзија велике брзине – 1 минут 57,6 секунди – 724.457 бајтова – 48 kbps – Лиценца: CC BY-ND 4.0 или новија
ショパン スケルツォ 変ロ短調 Op2 打ち込み版 高速短縮版 - 1分48.0秒 - 665,369bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	Шопен: Скерцо у си-бемол минору, оп. 2 – рачунарски генерисана верзија, убрзана скраћена верзија – 1 минут 48,0 секунди – 665.369 бајтова – 48 kbps – Лиценца: CC BY-ND 4.0 или новија
リスト 超絶技巧練習曲 4番 マゼッパ 打ち込み版 高速短縮版 - 1分51.6秒 - 687,586bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	Списак: Étude d'Exécution бр. 4 "Мазепа"
ファンファーレ - 22.3秒 - 183,926bytes - 64kbps - ライセンス：パブリックドメイン	Фанfare – 22,3 секунде – 183.926 бајтова – 64 kbps – Лиценца: Јавни домен
レトロ風ファンファーレ - 2.2秒 - 10,536bytes - 32kbps - ライセンス：パブリックドメイン	Ретро-стилска фанфара – 2,2 секунде – 10.536 бајтова – 32 kbps – Лиценца: Јавни домен
レトロ風オープン - 42.1秒 - 179,138bytes - 32kbps - ライセンス：パブリックドメイン	Ретро-стилски увод – 42,1 секунди – 179.138 бајтова – 32 kbps – Лиценца: Јавни домен
警告 by ChatGPT - 3.8秒 - 109,700bytes - 256kbps - ライセンス：パブリックドメイン	Упозорење ChatGPT-а - 3,8 секунди - 109.700 бајтова - 256 kbps - Лиценца: Јавни домен
マルウェア検出みたいな緊急感の高い音 その１ by ChatGPT - 3.3秒 - 102,850bytes - 256kbps - ライセンス：パブリックドメイン	Звук високог приоритета, као упозорење о детекцији малвера – Део 1 од ChatGPT – 3,3 секунде – 102.850 бајтова – 256 kbps – Лиценца: Јавно власништво
マルウェア検出みたいな緊急感の高い音 その２ by ChatGPT - 3.3秒 - 103,122bytes - 256kbps - ライセンス：パブリックドメイン	Звук високог приоритета, као упозорење о детекцији малвера, Део 2 од ChatGPT - 3,3 секунде - 103.122 бајта - 256 kbps - Лиценца: Јавни домен
MRI風サウンド by ChatGPT - 1分14.9秒 - 3,340,392bytes - 320kbps - ライセンス：パブリックドメイン	Звук у МРИ стилу од ChatGPT-а – 1 минут 14,9 секунди – 3.340.392 бајта – 320 kbps – Лиценца: Јавни домен
警告表示中のBGMを選択します	Изаберите музику у позадини која ће се пуштати током упозорења.
びっくりするような雰囲気を作ります	То ствара изненађујућу атмосферу
Firefoxでは音声ブロックされます	Аудио је блокиран у Firefox-у
対象アクションを起こした時のビープ音	Бип када се изврши наведена акција
有効 音量小さ目	Укључено, јачина звука ниска
有効 音量大き目	Активан, јачина звука подешена на максимум
警告表示中にすべてのキー・マウスイベントでビープ音を鳴らします	Током приказивања упозорења, за све догађаје са тастатуре и миша чуће се бип.
警告表示中に端末が暴走したかのような雰囲気を作ります	То ствара утисак да је уређај полудео док се приказује упозорење.
対象アクションを起こした時のマウスカーソルの消去	Сакривање курсора миша када се изврши одређена акција
警告表示中にブラウザのエリアのマウスカーソルを消去します	Сакрива курсор миша у прегледачу док се приказује упозорење.
デバッグモード	Режим отклањања грешака
妨害＋記録のみ	Интерференција + само снимци
妨害＋記録＋表示＋リダイレクト	Сметање + евидентирање + приказ + преусмеравање
メニューからは操作できてしまいます	И даље можете да му приступите преко менија.
Firefoxにおけるデバッグモード	Режим отклањања грешака у Firefox-у
ブラウザーコンソール	Конзола прегледача
事実上デバッグモードから操作できてしまいます	У суштини, можете га користити у режиму отклањања грешака.
HTMLソース表示	Прикажи HTML извор
view-source:から始まるURLを入力すれば操作できてしまいます	Можете извршити операцију једноставним уносом URL-а који почиње са 'view-source:'
HTML保護と組み合わせることでコンテンツを保護することができます	Можете заштитити свој садржај комбиновањем овога са HTML заштитом.
印刷	Штампај
印刷阻止をするもものの、ブラウザによってはうまく動作しません	Иако спречава штампање, у неким прегледачима можда неће радити исправно.
スクリーンショット	Скриншот
OSやブラウザ、方法によっては妨害できず、もしくは検出しないことがあります	У зависности од оперативног система, прегледача или коришћене методе, можда неће бити могуће блокирати ово или можда неће бити откривено.
ウインドウが背面に移動した時スクリーンショットの疑い	Потенцијални снимак екрана када се прозор помери у позадину
あわせて、スクリーンショット以外の機能（タブ切り替え・ウィンドウ切り替え）にも反応してしまいます。	Он такође реагује на функције осим прављења снимка екрана
2キー押下のスクリーンショットの疑い	Показано је да је наводни снимак екрана направљен притиском на две тастере
上の項目の検出方法は完全ではありません、予防的に検出を行います	Методе откривања наведених предмета нису поуздане; откривање се спроводи као мера предострожности.
スクリーンショットだけではなく、デバッグモード等も検出します	Он детектује не само снимке екрана, већ и режиме отклањања грешака и слично.
ページ保存	Сачувај страницу
右クリック	десни клик
アドオンがインストールされていると操作できてしまいます	Ако је додатак инсталиран, моћи ћете да га користите.
コピー・カット	Копирај и исеци
本プラグインの設定によってはこのイベントにたどり着くことはほとんどない場合があります	У зависности од подешавања овог додатка, можда ћете ретко наићи на овај догађај.
テキスト全選択	Изабери сав текст
テキスト選択	Изаберите текст
デバッガー起動ログ、デバッガー妨害	Лог покретања отлагера, ометање отлагера
デバッグモードの使い勝手を少し悪くし、デバッガを起動したことをログに残します、ブラウザによってはこの挙動が止められてしまいます	Ово чини режим отклањања грешака нешто мање прилагођеним кориснику и евидентира чињеницу да је отклоњивач грешака покренут; међутим, неки прегледачи могу блокирати ово понашање.
リダイレクトするURL	Преусмери УРЛ
利用規約などのページに転送すると良いでしょう	Било би добро да преусмерите кориснике на странице као што су Услови коришћења.
空欄にすると元のURLにリダイレクトをします	Ако се остави празно, биће преусмерено на оригиналну УРЛ адресу.
リダイレクトまでの時間	Време до преусмеравања
リダイレクトなし	Не преусмеравај
1秒	1 секунда
2秒	2 секунде
3秒	3 секунде
4秒	4 секунде
5秒	5 секунди
6秒	6 секунди
7秒	7 секунди
8秒	8 секунди
9秒	9 секунди
10秒	10 секунди
15秒	15 секунди
20秒	20 секунди
25秒	25 секунди
30秒	30 секунди
35秒	35 секунди
40秒	40 секунди
45秒	45 секунди
50秒	50 секунди
55秒	55 секунди
1分	1 минут
1分10秒	1 минут 10 секунди
1分20秒	1 минут 20 секунди
1分30秒	1 минут и 30 секунди
1分40秒	1 минут 40 секунди
1分50秒	1 минут 50 секунди
2分	2 минута
ソース表示を許可する権限	Дозвола за преглед изворног кода
ADMINログイン時のみ通常のソース出力	Нормалан излаз са извора само када сте пријављени као АДМИН
USERログインで通常のソース出力	Нормалан излаз извора када сте пријављени као КОРИСНИК
通常のHTML出力を管理者のみかユーザーログインかを選択します	Изаберите да ли је стандардни HTML излаз ограничен само на администраторе или захтева пријаву корисника.
画像を無理やりダウンロードして実際にダウンロードされるもの	Присилно преузимање слике и оно што се заправо преузме
GIF形式で1×1ピクセルの透過画像	Прозирна слика величине 1×1 пиксела у GIF формату
PNG形式で1×1ピクセルの透過画像	Прозирна слика величине 1×1 пиксела у PNG формату
PNG形式で黄色い背景の警告画面	Предупређење са жутим позадином у PNG формату
意味のないHTMLドキュメント	Бесмислен HTML документ
HTML保護時のHEADタグの出力	Излаз HEAD тага када је HTML заштићен
出力しない	Не штампај
TITLEタグのみ	Само ТИТЛ таг
WordpressのHEADタグより取得	Преузето из HEAD тага WordPress-а
企業用途の会員専用ページや社内ページなどでは「出力しない」、「TITLEタグのみ」で良いでしょう	За корпоративне странице намењене само члановима и интерне странице, довољно је изабрати "Не прикажи" или "Само TITLE таг".
WordpressのHEADタグから取得しないと、SNSのシェアでOGP画像が表示されません	Осим ако не извучете информације из HEAD тага WordPress-а, OGP слика се неће појавити када делите на друштвеним мрежама.
画像botをアクセス禁止にする	Блокирај бота за слике
画像botをHTMLに対し避けることにより、画像検索から直接リンクされることによって守れなかったコンテンツを守ることができます、ただし完全には対処することはできません	Спречавањем ботова за обраду слика да приступе HTML-у, можете заштитити садржај који није могао бити заштићен од директног линковања преко претраге слика; међутим, ово не пружа потпуно решење.
AI学習用botをアクセス禁止にする	Заблокирајте приступ боту за обуку вештачке интелигенције
AIの学習用のbotをHTMLに対し避けることにより、AIで利用されないようにします、ただし完全には対処することはできません	Избегавањем коришћења ботова дизајнираних за обуку вештачке интелигенције на HTML-у, осигуравамо да садржај не буде искоришћен од стране вештачке интелигенције; међутим, то се не може у потпуности спречити.
ウェブアーカイブ、ウェブ魚拓をアクセス禁止にする	Заблокирајте приступ веб-архивама и веб-снимцима
自動的に収集されるウェブアーカイブ並びにユーザーの任意で取得される魚拓のアクセスを禁止します、ただし完全には対処することはできません	Забрањујемо приступ аутоматски прикупљеним веб архивама и снимцима екрана које корисник направи по сопственом нахођењу; међутим, не можемо то у потпуности спречити.
無効なUAをアクセス禁止にする	Блокирајте неважеће корисничке агенте
ユーザーエイジェントの文字に不正な文字列があった場合のアクセスを避けます	Спречава приступ ако низ корисничког агента садржи неважеће карактере
Internet Explorerと旧Microsoft Edge(EdgeHTML)のアクセスに警告を表示する	Прикажи упозорење приликом приступа Интернет Експлореру и старом Microsoft Edge-у
Internet Explorerと旧Microsoft Edgeのアクセスを避けます	Спречава приступ преко Internet Explorera и старог Microsoft Edge-а
alertメッセージを表示する言語	Језик на којем се приказују упозоравајући поруке
Wordpressの言語	Језици WordPress-а
ブラウザの設定言語	Подешавања језика прегледача
メッセージをカスタム設定されている場合は言語を変更できません	Не можете да промените језик ако су поруке прилагођене.
同意画面の言語	Језик екрана за пристанак
view-sourceメッセージを表示する言語	Језик на коме ће бити приказана порука "view-source"
一時使用トークンの有効期限	Рок важења привремених токена
3分	3 минута
4分	4 минута
5分	5 минута
6分	6 минута
7分	7 минута
8分	8 минута
9分	9 минута
10分	10 минута
15分	15 минута
20分	20 минута
25分	25 минута
30分	30 минута
35分	35 минута
40分	40 минута
45分	45 минута
50分	50 минута
55分	55 минута
1時間	1 сат
画像URL情報の有効期限を設定します	Поставите дату истека за информације о URL-у слике
一度読み込まれると画像URL情報と一時使用トークンは無効化されます	Када се учита, URL слике и привремени токен ће бити неважећи.
画像は遅延読み込みされますが、この指定した時間の30秒前に強制的に画像が読み込まれます	Слике се учитавају по потреби, али ће бити аутоматски учитане 30 секунди пре наведеног времена.
一時使用トークンのビット数	Број бита у привременом токену
画像URL情報を暗号化するのに一時使用トークンをパスワードとして使用しますが、その強度を指定します	Привремени токен се користи као лозинка за шифровање информација о URL-у слике; ово подешавање одређује његову јачину.
ドロップダウンメニューの下に表示される選択肢にいくにつれて強度が強くなるものの、サーバーへの負荷が高くなり、HTML転送量が多くなることがあります	Иако опције приказане испод падајућег менија постају све детаљније, то може представљати велики терет за сервер и довести до преноса великог обима HTML података.
ハッシュ化アルゴリズム	Хеш алгоритам
画像URL情報を暗号化するのに一時使用トークンをパスワードとして使用しますが、その時ハッシュ化が必要です、その強度を設定します	Привремени токен се користи као лозинка за шифровање информација о URL-у слике; то захтева хешовање, а ово подешавање одређује јачину тог хешовања.
ドロップダウンメニューの下に表示される選択肢にいくにつれて強度が強くなるものの、サーバーへの負荷が高くなります	Иако се интензитет повећава како скролујете низ опције приказане у падајућем менију, то ставља веће оптерећење на сервер.
基本設定	Основана подешавања
高度な設定	Напредне поставке
初期設定に戻す	Врати подразумевана подешавања
デザイン・音の設定	Дизајн и звучна подешавања
イベントの設定	Подешавања догађаја
初回訪問時のお知らせの設定	Подешавање обавештења за прве посете
メッセージの設定	Подешавања поруке
右クリックやソースコード表示時に転送する URL を設定します	Подесите УРЛ који ће се отворити приликом десног клика или прегледавања изворног кода
警告メッセージにはHTMLは使用できません	HTML се не може користити у порукама упозорења.
この画面で設定すると、高度な設定タブにある言語設定が無視されます	Ако ово подесите на овом екрану, подешавања језика на картици "Напредно" ће бити игнорисана.
以下の文字列が使用できます	Могу се користити следећи низови
改行	Прелом реда
押下されたキー	кључ притиснут
Neo HTML Protector 設定	Подешавања Neo HTML заштитника
お知らせ	Обавештење
メッセージ	Порука
デザイン・音	Дизајн и звук
初期化	Иницијализација
このプラグインについて	О овом додатку
設定が初期化されました	Подешавања су ресетована.
プラグインを初期化します なおIPログリーダーのデータはここでは削除されません	Иницијализујте додатак. Имајте у виду да подаци IP Log Reader-а у овој фази неће бити избрисани.
Neo HTML Protectorについて	О програму Neo HTML Protector
このプラグインはあなたのWordpressから出力されるHTMLや画像等を保護し、コンテンツの不正利用から守ることを目的としています。	Овај додатак је дизајниран да заштити HTML, слике и други садржај који генерише ваш WordPress сајт, штитећи га од неовлашћене употребе.
コンテンツを完璧に守ることはできません。しかし可能な限りの方法において警告し、もし何かがあった場合に備えて準備することにより国で定められている方法で解決することができるはずです。	Немогуће је у потпуности заштитити садржај. Међутим, упозоравајући кад год је то могуће и предузимајући припреме у случају да до нечега дође, требало би да будемо у стању да решимо ствар у складу са процедурама које је прописала влада.
もちろん、利用規約やサイトポリシーを充実させる必要があります。このプラグインは利用規約生成アプリではありませんが、そのヒントを与えることができます。	Наравно, мораћете да обезбедите да ваши услови коришћења и политике сајта буду свеобухватни. Иако овај додатак није алат за генерисање услова коришћења, он може пружити одређене смернице.
開発者: 夜桜　なの	Развојач: Нано Јозакура
バージョン	Верзија
ビルド	Изгради
サポートページ	Страница за подршку
ISISちゃん	ISIS chan
Miss. 裏まにら氏歌唱	Извела госпођица Ура Манира
支援のお願い	Захтев за подршку
Neo HTML Protectorをご利用いただき、ありがとうございます！	Хвала вам што користите Neo HTML Protector!
本プラグインの開発と維持には多くの時間と知恵の絞りだしがかかっており、引き続き改善と更新を行っていくための資金を集めるために、もしご支援いただける方がいれば、寄付をお願いできればと思います。	Развој и одржавање овог додатка захтевали су много времена и труда, а како бисмо прикупили средства за његово даље унапређење и ажурирање, били бисмо захвални ако бисте, уколико сте у могућности, размотрили донацију.
寄付について	О донацијама
寄付は任意であり、強制ではありません。プラグインを無料でご利用いただけるように、どなたでも利用可能です。しかし、開発を継続するためにはご支援が大変ありがたく、少しでもご協力いただけると嬉しいです。	Донације су потпуно добровољне и нису обавезне. Плугин је свима доступан бесплатно. Међутим, ваша подршка нам је изузетно цењена како бисмо могли наставити са развојем, и бићемо одушевљени ако будете могли допринети колико год можете.
ご寄付は、下記のリンクから行っていただけます。日本の方であれば無料で寄付をすることも可能で、更にはアマゾンギフト券で気軽に寄付をすることが可能です。	Можете уплатити донацију преко доњег линка. Ако се налазите у Јапану, можете донирати бесплатно, а такође можете лако донирати помоћу Амазон поклон-ваучера.
寄付先	Добротворне организације
皆様のご支援があれば、今後も素晴らしいアップデートをお届けできるよう頑張ります！	Са вашој подршком, урадићемо све што је у нашој моћи да наставимо да вам доносимо фантастична ажурирања!
ご支援いただけることに感謝し、今後ともよろしくお願いいたします。	Захвални смо вам на подршци и радујемо се вашој континуираној подршци у будућности.
ライセンス	Лиценца
本プラグインはオープンソースで開発されており、GPL2.0以降のバージョンのライセンスを適用しています。	Овај додатак је развијен као софтвер отвореног кода и лиценциран је под GPLv2.0 или каснијом верзијом.
このプラグインに含まれるいくつかの技術は特許保護の対象です。	Неке од технологија укључених у овај додатак заштићене су патентима.
特許技術の使用は、このプラグイン内での使用に限って認められます。	Коришћење патентиране технологије дозвољено је искључиво у оквиру овог додатка.
その他の使用については、作者に連絡して商用ライセンスを取得してください。	За било коју другу употребу, молимо контактирајте аутора да бисте добили комерцијалну лиценцу.
本プラグインには以下のライブラリを同梱しています	Овај додатак укључује следеће библиотеке
本プラグインには以下で生成したアスキーアートのフォント、並びにフォントファイルを同梱しています	Овај додатак укључује ASCII-арт фонтове генерисане у наставку, заједно са датотекама фонтова.
このプラグインには有限会社イージェーが開発を行い、本プラグイン製作者が作曲した、スーパーファミコン非公認ゲーム「SM調教師瞳3」の楽曲を含んでおり、正式にライセンスされています	Овај додатак садржи музику из неофицијалне Super Famicom игре "SM Trainer Hitomi 3", коју је развила компанија EJ Co., Ltd., а компоновао креатор овог додатка, и званично је лиценцирана.
このプラグインには、Keppy氏（KaleidonKep99）によって作成された「Keppy s YAMAHA C7」を使用した楽曲が含まれており、正式にライセンスされています	Овај додатак укључује тракове креиране помоћу "Keppy's YAMAHA C7", развијене од стране Keppy-ја
その他本プラグインの開発にRaspberry Pi5とChatGPTとdeeplを使用しています	Такође сам користио Raspberry Pi 5, ChatGPT и DeepL у развоју овог додатка.
キャッシュプラグインを検出しました キャッシュプラグインが有効化されていると本プラグインは正しく動作しません	Детектован је додатак за кеширање. Овај додатак неће исправно функционисати ако је додатак за кеширање омогућен.
無効なIPアドレス	Неважећа ИП адреса
このウェブサイトをご利用いただくには、CookieとJavaScriptを有効にしていただく必要があります	Да бисте користили овај веб-сајт, морате омогућити колачиће и JavaScript.
利用規約	Услови коришћења
このサイトでは、不正利用の防止およびサービスの安全な運営のために、IPアドレス・閲覧履歴・操作ログなどの情報をCookieとデータベースに保存することがあります。これらの情報は、サイトの運営や法的対応にのみ使用され、第三者に提供することはありません。	Да бисмо спречили неовлашћену употребу и обезбедили сигурно функционисање наших услуга, ова веб-страница може да складишти информације као што су ИП адресе, историја прегледања и логови активности у колачићима и базама података. Ове информације се користе искључиво за рад веб-странице и у законске сврхе и неће бити откривене трећим странама.
サービスをご利用いただくには、これらの処理に同意いただく必要があります。	Да бисте користили ову услугу, морате пристати на ове активности обраде.
プライバシーポリシーの内容は、同意の有無に関わらずご確認いただけます。	Можете прегледати садржај Политике приватности без обзира на то да ли сте дали своју сагласност.
同意する	Слажем се
同意しない	Не слажем се
確認	Потврда
プライバシーポリシー	Политика приватности
通常とは異なる方法でのアクセスや操作が検出されました	Уочен је необичан приступ или активност.
セキュリティ並びにコンテンツ保護のため一部の機能を制限しています	Одређене функције су ограничене у сврху безбедности и заштите садржаја.
デバッグモード、コンソールの起動は禁止されています	Режим отклањања грешака и приступ конзоли су онемогућени
