設定	Täze sazlamalar
一般的なHTML圧縮です、難読化解除のサイトもあります	Bu standart HTML siňdirmesi; ony dekodirläp bilýän web sahypalary hem bar.
このオプションを有効にするとview-sourceのログが取得できます	Bu opsiýany işjeňleşdirmek size view-source žurnalyny almaga mümkinçilik berýär.
HTML保護	HTML goragy
HTML圧縮以上に最小限のHTMLしか出力せず、BODYタグ内の内容が全く出力されなくなります	Ol diňe iň az zerur HTML-i çykarýar—hatda HTML siňdirilmegini ulananyňdakyndan hem az—we BODY teginiň içindäki mazmun düýbünden çykarylmaýar.
Firefoxに対しては無効です	Bu Firefox-a degişli däl.
SEOに著しく影響があります	Bu SEO-a uly täsir edýär.
HTMLをJavaScriptで描画	JavaScript ulanyp HTML döretmek
Firefox対策としてHTMLをJavaScriptで描画をします	Firefox-dan gaçmak üçin HTML-i JavaScript arkaly görkezýäris.
JavaScript描画で有効にするとウェブサイトの表示速度が著しく遅くなります	JavaScript görkezilmegini işjeňleşdirmek web sahypasynyň ýüklenme tizligini ep-esli peseldýär.
画像の保護	Suraty goramak
imgタグが呼び出されるごとに画像を保護	Img teg her çagyrylanda suraty goramaly
出力される全HTMLのうち、Wordpressにアップロードされた画像をすべて保護	WordPress-e ýüklenen ähli suratlary tutuş HTML çykyşynda goramaly.
画像をダウンロードから保護します	Suratlaryň ýüklänilmeginiň öňüni alýar
画像データを保護した時にはほぼ完全なるダウンロードを阻止し、完全なるワンタイムURLを発行し、セッションに保存されたトークンで認証し、phpから画像を表示します、その為ほぼ完全な画像盗用を防ぎます	Surat maglumatlary goralan wagty, biz takmynan ähli ýüklämeleri gadagan edýäris, ýeke-täk bir gezek ulanylýan URL-ler berýäris, sessiýada saklanan tokenler arkaly awtentifikasiýa edýäris we suratlary PHP arkaly görkezýäris; bu bolsa surat ogurçylygynyň takmynan ähli ýagdaýlarynyň öňüni netijeli alýar.
画像データを保護した時には画像のキャッシュが効かないため、次回訪問時にサイトの読み込みが遅くなるため、SEOに影響があります	Surat maglumatlary goraglandyrylanda keshleme işlemez, bu bolsa saýtyň geljekki ziyaratlarda haýal ýüklenmegine we netijede SEO-na täsir etmegine getirýär.
画像データを保護した時には、データベースの負荷が高くなる可能性があります	Surat maglumatlaryny goramak maglumatlar bazasynyň ýüküni artdyryp biler.
「imgタグが呼び出されるごとに画像を保護」の場合は、add_filterを使用し、imgタグの発行時にフィルタリングを行います、テーマによっては正しく動作しません	Eger 'img teg çagyrylanda suratlary goramak' opsiýasyny saýlasaňyz, ulgam img teg döredilende add_filter-i ulanyp süzgüni ornaşdyrýar; ýöne käbir temalar bilen bu dogry işlemegi mümkin däl.
「出力される全HTMLのうち、Wordpressにアップロードされた画像をすべて保護」の場合は、Wordpressのほぼすべての動作をキャプチャし、コンテンツ内のimgタグについてすべて処理します。テーマによっては正しく動作しません	Eger 'Bütin HTML çykyşynda WordPress-e ýüklenen ähli suratlary goramak' opsiýasyny saýlasaňyz, plugin WordPress-iň takmynan ähli amallaryny öz içine alar we mazmundaky her img tegini işläp biler. Käbir temalar bilen bu dogry işlemegi mümkin däl.
なお、アイキャッチに指定した画像はOGPとして拡散されますので保護できません。どうしても保護すべき場合は高度な設定でHTML保護時のHEADタグの出力の選択を変更してください	Üns beriň: aýratyn suratlar hökmünde bellän suratlar OGP maglumatlary hökmünde paýlaşylar we goralmaz. Eger olary hökmän goramak isleseňiz, HTML goragyny işjeňleşdireniňizde ösen sazlamalarda HEAD teginiň çykyşynyň sazlamasyny üýtgetmeli.
OS標準搭載のスクリーンショット機能を保護することはできません	Operasion ulgamyň standart funksiýasy hökmünde girizilen ekran suraty funksiýasyny gorap bolmaýar.
画像URLの保護	Surat URL-laryny goramak
画像の保護と組み合わせて使用します、単体では意味がありません	Bu surat goragy bilen bilelikde ulanylmalydyr; ýeke ulanylanda hiç hili maksada hyzmat etmeýär.
JavaScriptにより遅延読まれますのでSEOに影響があります	Ol JavaScript arkaly ýüklenýändigi üçin bu SEO-a täsir edýär.
画像のウォーターマーク	Surata suw damgasy
右下	Aşak sag
ランダム位置	Täsadüfi ýagdaý
画像の保護と組み合わせて使用します、動的な透かしで著作権を明示しつつ、閲覧者に監視されている印象を与え抑止力を高めます	Surata goragy bilen bilelikde ulanylanda, dinamik suw belgileri awtorlyk hukugynyň eýeçiligini anyk görkezýär we tomaşaçylara gözegçilik edilýändigi baradaky duýgy döredýär, şonuň bilen olary gadagan ediji roluny oýnaýar.
JPG形式、PNG形式、WebP形式のみ対応します	Diňe JPG, PNG we WebP formatlary goldanylýar.
有効にするとサーバーの負荷が高くなります	Muny işjeňleşdirmek serweriň ýüküni artdyrar.
HTML難読化・保護時のHTMLソースコードのアスキーアートの出力	Garaňkylandyrmak we goramak wagtynda HTML çeşme kodundan ASCII-sungaty çykarmak
表示なし	Ekran ýok
view-sourceでHTMLソース表示をした時に警告の意思を示すアスキーアートを表示します	'view-source' ulanyp HTML çeşmesini synlanda duýduryş berýän ASCII-sungaty görkezýär.
対象アクションを起こした時の表示デザイン	Nishana alnan hereket ýerine ýetirilende görkezmäni dizaýn etmek
黄色の背景の黒文字のベーシックデザイン	Sary fon üstünde gara tekstden ybarat esasy dizaýn
黒色の背景の赤文字のホラー風デザイン	Gara fon üstünde gyzyl teksti bolan gorku usulyndaky dizaýn
黒色の背景の赤文字の光る文字のデザイン	Gara fon üstünde gyzyl şöhle saçýan teksti öz içine alýan dizaýn
対象アクションを起こした時のBGM	Nishan hereketi ýerine ýetirilende çalynýan fon saz
サウンドなし	Ses ýok
戦闘＆戦闘勝利 - 1分16.3秒 - 630,056bytes - 64kbps - ライセンス：CC2.1 or later	Söweş we Ýeňiş - 1 minut 16,3 sekunt - 630 056 bait - 64 kbps - Litsenziýa: CC 2.1 ýa-da soňrak
おやじ ショート - 3.8秒 - 32,364bytes - 64kbps - ライセンス GPL2.0 or later (C)EJ	Dad Short - 3,8 sekunt - 32 364 bait - 64 kbps - Litsenziýa: GPL 2.0 ýa-da soňrak
おやじ ロング - 23.5秒 - 195,578bytes - 64kbps - ライセンス GPL2.0 or later (C)EJ	Oyaji Long - 23,5 sekunt - 195,578 bait - 64 kbps - Litsenziýa: GPL 2.0 ýa-da soňrak
ショパン エチュード Op.10-5 黒鍵 打ち込み版 高速版 - 1分0.0秒 - 369,778bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	Chopin Étude Op. 10 No. 5
ショパン エチュード Op.10-12 革命 打ち込み版 高速版 - 1分57.6秒 - 724,457bytes - 48kbps -  ライセンス：CC BY-ND 4.0 or later	Chopin Étude Op. 10 No. 12 'Revolution' – kompýuterde döredilen wersiýa, ýokary tizlikli wersiýa – 1 minut 57,6 sekunt – 724,457 bait – 48 kbps – Litsenziýa: CC BY-ND 4.0 ýa-da soňrak
ショパン スケルツォ 変ロ短調 Op2 打ち込み版 高速短縮版 - 1分48.0秒 - 665,369bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	Chopin: Si bemol minorindaky Scherzo, Op. 2 – kompýuter tarapyndan döredilen wersiýa, ýokary tizlikli gysgaldylan wersiýa – 1 minut 48,0 sekunt – 665,369 bait – 48 kbps – Litsenziýa: CC BY-ND 4.0 ýa-da soňrak
リスト 超絶技巧練習曲 4番 マゼッパ 打ち込み版 高速短縮版 - 1分51.6秒 - 687,586bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	Sanaw: Étude d'Exécution No. 4 'Mazeppa'
ファンファーレ - 22.3秒 - 183,926bytes - 64kbps - ライセンス：パブリックドメイン	Fanfare – 22,3 sekunt – 183 926 bait – 64 kbps – Litsenziýa: Jemagat mülkiýeti
レトロ風ファンファーレ - 2.2秒 - 10,536bytes - 32kbps - ライセンス：パブリックドメイン	Retro-stil fanfara – 2,2 sekunt – 10 536 bait – 32 kbps – Litsenziýa: Açyk domen
レトロ風オープン - 42.1秒 - 179,138bytes - 32kbps - ライセンス：パブリックドメイン	Retro-stil intro – 42,1 sekunt – 179 138 bait – 32 kbps – Litsenziýa: Açyk domen
警告 by ChatGPT - 3.8秒 - 109,700bytes - 256kbps - ライセンス：パブリックドメイン	ChatGPT tarapyndan duýduryş - 3,8 sekunt - 109 700 bait - 256 kbps - Litsenziýa: Açyk domen
マルウェア検出みたいな緊急感の高い音 その１ by ChatGPT - 3.3秒 - 102,850bytes - 256kbps - ライセンス：パブリックドメイン	Ýokary tizligi bolan, zyýanly programma üpjünçiligini anyklamak duýduryşyna meňzeş ses – 1-nji bölüm, ChatGPT tarapyndan – 3,3 sekunt – 102 850 bait – 256 kbps – Litsenziýa: Açyk domen
マルウェア検出みたいな緊急感の高い音 その２ by ChatGPT - 3.3秒 - 103,122bytes - 256kbps - ライセンス：パブリックドメイン	Ýokary çaltlykly, zyýanly programma anyklama duýduryşyna meňzeş ses, 2-nji bölüm, ChatGPT tarapyndan - 3,3 sekunt - 103 122 bait - 256 kbps - Litsenziýa: Açyk domen
MRI風サウンド by ChatGPT - 1分14.9秒 - 3,340,392bytes - 320kbps - ライセンス：パブリックドメイン	MRI usulyndaky ses ChatGPT tarapyndan – 1 minut 14,9 sekunt – 3 340 392 bait – 320 kbps – Litsenziýa: Açyk domen
警告表示中のBGMを選択します	Duýduryş wagtynda çalynjak fon sazyny saýlaň.
びっくりするような雰囲気を作ります	Ol geň galdyryjy atmosfera döredýär.
Firefoxでは音声ブロックされます	Firefox-da ses böwetlenýär
対象アクションを起こした時のビープ音	Belgilenen hereket ýerine ýetirilende bip sesi çykýar.
有効 音量小さ目	Ýan, ses pes
有効 音量大き目	Işjeň, ses ýokary derejesine goýuldy
警告表示中にすべてのキー・マウスイベントでビープ音を鳴らします	Duýduryş görkezilýän mahaly ähli klawiatura we siçan wakalaryna jogap hökmünde bip sesi eşidiler.
警告表示中に端末が暴走したかのような雰囲気を作ります	Duýduryş görkezilýän mahaly enjamyň dolanyp bolmajak derejede işläp başlandygyny duýdurýar.
対象アクションを起こした時のマウスカーソルの消去	Belgili bir hereket ýerine ýetirilende syçan kursoruny gizlemek
警告表示中にブラウザのエリアのマウスカーソルを消去します	Duýduryş görkezilýän mahaly brauzer sebitinde syçan kursoruny gizleýär.
デバッグモード	Sylag režimi
妨害＋記録のみ	Diňe päsgelçilik + ýazgylar
妨害＋記録＋表示＋リダイレクト	Gurçylyk + Ýazgy + Görkezme + Ugrukdyrma
メニューからは操作できてしまいます	Menýu arkaly henizem oňa girip bilersiňiz.
Firefoxにおけるデバッグモード	Firefox-da ýalňyşlyklary düzetmek režimi
ブラウザーコンソール	Brauzer konsoly
事実上デバッグモードから操作できてしまいます	Aslynda, ony debug režiminden işledip bilersiňiz.
HTMLソース表示	HTML çeşmesini gör
view-source:から始まるURLを入力すれば操作できてしまいます	Siz operasiýany 'view-source:' bilen başlaýan URL-i girizmek arkaly aňsatlyk bilen ýerine ýetirip bilersiňiz.
HTML保護と組み合わせることでコンテンツを保護することができます	Siz bu usuly HTML goragy bilen birleşdirip mazmunyňyzy gorap bilersiňiz.
印刷	Basyň
印刷阻止をするもものの、ブラウザによってはうまく動作しません	Çap etmegi gadagan etse-de, käbir brauzerlerde dogry işlemegi mümkin däl.
スクリーンショット	Ekran suraty
OSやブラウザ、方法によっては妨害できず、もしくは検出しないことがあります	Ulanylýan operasiýa ulgamyna, brauzere ýa-da usula baglylykda, muny gadagan etmek mümkin bolmaz ýa-da anyklanmaz.
ウインドウが背面に移動した時スクリーンショットの疑い	Penjire fon arkasyna geçende güman edilýän ekran suraty
あわせて、スクリーンショット以外の機能（タブ切り替え・ウィンドウ切り替え）にも反応してしまいます。	Ol skrinşotlardan başga-da funksiýalara
2キー押下のスクリーンショットの疑い	Iki düwmä basyp alnan şübheli ekran suraty
上の項目の検出方法は完全ではありません、予防的に検出を行います	Ýokardaky maddalaryň anyklama usullary doly kepillikli däl; anyklama çäreleri öňüni alyş çäresi hökmünde geçirilýär.
スクリーンショットだけではなく、デバッグモード等も検出します	Ol diňe skrinşotlary däl, eýsem debug modlaryny we ş.m. hem anyklap bilýär.
ページ保存	Sahypany sakla
右クリック	Oň düwme basyň
アドオンがインストールされていると操作できてしまいます	Eger goşmaça gurnalan bolsa, ony ulanyp bilersiňiz.
コピー・カット	Köpeltmek we kesmek
本プラグインの設定によってはこのイベントにたどり着くことはほとんどない場合があります	Bu goşundynyň sazlamalaryna baglylykda, bu wakany seýrek duşup bilersiňiz.
テキスト全選択	Ähli teksti saýlaň
テキスト選択	Teksti saýlaň
デバッガー起動ログ、デバッガー妨害	Debuggeriň başlangyç ýazgysy, debuggeriň päsgelçiligi
デバッグモードの使い勝手を少し悪くし、デバッガを起動したことをログに残します、ブラウザによってはこの挙動が止められてしまいます	Bu debug režimini biraz ulanyja amatly däl edýär we debuggeriň işledilendigini ýazga alýar; emma käbir brauzerler bu hereketi gadagan edip biler.
リダイレクトするURL	URL-i ugrukdyrmak
利用規約などのページに転送すると良いでしょう	Ulanyjylary Ulanyş şertleri ýaly sahypalara ugratmak gowy pikir bolar.
空欄にすると元のURLにリダイレクトをします	Eger boş goýulsa, ol asyl URL-e ugrukdyrylýar.
リダイレクトまでの時間	Ýola ugradyş wagtyna çenli
リダイレクトなし	Ugrukdyrma ýok
1秒	1 sekunt
2秒	2 sekunt
3秒	3 sekunt
4秒	4 sekunt
5秒	5 sekunt
6秒	6 sekunt
7秒	7 sekunt
8秒	8 sekunt
9秒	9 sekunt
10秒	10 sekunt
15秒	15 sekunt
20秒	Ýigrimi sekunt
25秒	25 sekunt
30秒	30 sekunt
35秒	35 sekunt
40秒	40 sekunt
45秒	45 sekunt
50秒	50 sekunt
55秒	55 sekunt
1分	1 minut
1分10秒	1 minut 10 sekunt
1分20秒	1 minut 20 sekunt
1分30秒	1 minut 30 sekunt
1分40秒	1 minut 40 sekunt
1分50秒	1 minut 50 sekunt
2分	2 minut
ソース表示を許可する権限	Menzil kodyny görmek üçin rugsat
ADMINログイン時のみ通常のソース出力	Normal çeşme çykyşy diňe ADMIN hökmünde girilen wagty işleýär.
USERログインで通常のソース出力	Ulanyjy hökmünde gireniňizde adaty çeşme çykyşy
通常のHTML出力を管理者のみかユーザーログインかを選択します	Standart HTML çykyşynyň diňe administratiwçilere çäklendiriljekdigini ýa-da ulanyjynyň girizilmegini talap etjekdigini saýlaň.
画像を無理やりダウンロードして実際にダウンロードされるもの	Suraty göçürmäge mejbur etmek we hakykatda nämeleriň göçürilýändigi
GIF形式で1×1ピクセルの透過画像	GIF formatyndaky 1×1 piksel ölçegli şeffaf surat
PNG形式で1×1ピクセルの透過画像	PNG formatyndaky 1×1 pikselden ybarat şeffaf surat
PNG形式で黄色い背景の警告画面	PNG formatyndaky sary fonly duýduryş ekrany
意味のないHTMLドキュメント	Mäni ýok HTML dokumenti
HTML保護時のHEADタグの出力	HTML goralan wagty HEAD teginiň çykyşy
出力しない	Basyp çykarma
TITLEタグのみ	Diňe TITLE tegini
WordpressのHEADタグより取得	WordPress HEAD teginden alyndy
企業用途の会員専用ページや社内ページなどでは「出力しない」、「TITLEタグのみ」で良いでしょう	Korporatiw ulanyş üçin diňe agzalar üçin niýetlenen sahypalar we içerki sahypalar üçin 'Çykarma' ýa-da 'Diňe TITLE tegini' saýlamak ýeterlik bolar.
WordpressのHEADタグから取得しないと、SNSのシェアでOGP画像が表示されません	WordPress HEAD teginden maglumatlary almasaňyz, sosial mediada paýlaşanyňyzda OGP suraty görkezilmez.
画像botをアクセス禁止にする	Surat botyny blokla
画像botをHTMLに対し避けることにより、画像検索から直接リンクされることによって守れなかったコンテンツを守ることができます、ただし完全には対処することはできません	Surat botlarynyň HTML-e girmeginiň öňüni alyp, surat gözlegi arkaly göni baglanyşyk goýmakdan gorap bilmeýän mazmuny gorap bilersiňiz; ýöne bu doly ygtybarly çözgüt däl.
AI学習用botをアクセス禁止にする	AI tälim botyna girilişi gadagan ediň
AIの学習用のbotをHTMLに対し避けることにより、AIで利用されないようにします、ただし完全には対処することはできません	HTML-de sun'iy aň öwredişi üçin niýetlenen botlaryň ulanylmagyny öňüni almak arkaly mazmunyň sun'iy aň tarapyndan ulanylmazlygyny üpjün edýäris; ýöne muny doly öňüni alyp bolmaýar.
ウェブアーカイブ、ウェブ魚拓をアクセス禁止にする	Web arhiwlerine we web snapshotlaryna girilmegini gadagan etmek
自動的に収集されるウェブアーカイブ並びにユーザーの任意で取得される魚拓のアクセスを禁止します、ただし完全には対処することはできません	Biz awtomatiki ýygnalan web arhivlerine we ulanyjynyň islegine görä alnan ekran suratlaryna girilmegi gadagan edýäris; emma munuň doly öňüni alyp bilmeris.
無効なUAをアクセス禁止にする	Bölüniň nädogry ulanyjy agentlerini blokla
ユーザーエイジェントの文字に不正な文字列があった場合のアクセスを避けます	Eger ulanyjy agentiniň setirinde nädogry nyşanlar bar bolsa, elýeterçiligi gadagan edýär.
Internet Explorerと旧Microsoft Edge(EdgeHTML)のアクセスに警告を表示する	Internet Explorer we köne Microsoft Edge
Internet Explorerと旧Microsoft Edgeのアクセスを避けます	Internet Explorer we köne Microsoft Edge arkaly girilmegiň öňüni alýar
alertメッセージを表示する言語	Duýduryş habarlarynyň görkezilýän dili
Wordpressの言語	WordPress dilleri
ブラウザの設定言語	Brauzeriň dil sazlamalary
メッセージをカスタム設定されている場合は言語を変更できません	Habarlary ýöriteleşdirilen bolsa, dili üýtgedip bilmeýärsiňiz.
同意画面の言語	Razylyk ekranynyň dili
view-sourceメッセージを表示する言語	'view-source' habaryny görkezjek dil
一時使用トークンの有効期限	Wagtlaýyn tokenleriň möhleti
3分	3 minut
4分	4 minut
5分	Bäş minut
6分	6 minut
7分	7 minut
8分	Sekiz minut
9分	Dokuz minut
10分	On minut
15分	15 minut
20分	Ýigrimi minut
25分	25 minut
30分	30 minut
35分	Otuz bäş minut
40分	40 minut
45分	45 minut
50分	50 minut
55分	55 minut
1時間	Bir sagat
画像URL情報の有効期限を設定します	Surat URL maglumatlarynyň möhleti gutarýan senesini kesgitläň
一度読み込まれると画像URL情報と一時使用トークンは無効化されます	Ýükleneninden soň, surat URL-i we wagtlaýyn token geçersiz bolar.
画像は遅延読み込みされますが、この指定した時間の30秒前に強制的に画像が読み込まれます	Suratlar islege görä ýüklener, ýöne olar bellenen wagtyň 30 sekunt öňünden awtomatik ýüklener.
一時使用トークンのビット数	Wagtlaýyn tokeniň bit sany
画像URL情報を暗号化するのに一時使用トークンをパスワードとして使用しますが、その強度を指定します	Wagtlaýyn token surat URL maglumatlaryny şifrlemek üçin parol hökmünde ulanylýar; bu sazlama onuň güýjüni kesgitleýär.
ドロップダウンメニューの下に表示される選択肢にいくにつれて強度が強くなるものの、サーバーへの負荷が高くなり、HTML転送量が多くなることがあります	Açylan menýuň aşagynda görkezilen opsiýalar has-da jikme-jikleşdirilse-de, bu serweriň üstüne agyr ýük salyp, uly möçberde HTML maglumatlarynyň geçirilmegine getirip biler.
ハッシュ化アルゴリズム	Hash algoritmi
画像URL情報を暗号化するのに一時使用トークンをパスワードとして使用しますが、その時ハッシュ化が必要です、その強度を設定します	Surat URL maglumatlaryny şifrlemek üçin wagtlaýyn token parol hökmünde ulanylýar; munuň üçin haşlama gerek bolýar we bu sazlama şol haşlamanyň güýjüni kesgitleýär.
ドロップダウンメニューの下に表示される選択肢にいくにつれて強度が強くなるものの、サーバーへの負荷が高くなります	Açylan menýudaky opsiýalary aşak skroll edeniňizde intensivlik artýar, emma bu serweriň üstüne has uly ýük salýar.
基本設定	Esasy sazlamalar
高度な設定	Ösen sazlamalar
初期設定に戻す	Öňki sazlamalary dikelt
デザイン・音の設定	Dizaýn we ses sazlamalary
イベントの設定	Çäräniň sazlamalary
初回訪問時のお知らせの設定	Ilkinji gezek girilýän sahypalar üçin bildirişleri sazlamak
メッセージの設定	Habar sazlamalary
右クリックやソースコード表示時に転送する URL を設定します	Sag düwme basylanda ýa-da çeşme koduny görende açyljak URL-i belläň
警告メッセージにはHTMLは使用できません	HTML duýduryş habarlarynda ulanylmaz.
この画面で設定すると、高度な設定タブにある言語設定が無視されます	Eger bu ekranda muny sazlasaňyz, Ösen goşundydaky dil sazlamalary nazara alynmaz.
以下の文字列が使用できます	Aşakdaky setirler ulanylyp bilner
改行	Setir bozulmasy
押下されたキー	Açar basyldy
Neo HTML Protector 設定	Neo HTML goragçysynyň sazlamalary
お知らせ	Duýduryş
メッセージ	Habar
デザイン・音	Dizaýn we Ses
初期化	Başlandyryş
このプラグインについて	Bu goşundy barada
設定が初期化されました	Täzeden sazlandy
プラグインを初期化します なおIPログリーダーのデータはここでは削除されません	Plugini başlangyçlaň. IP Log Reader maglumatlarynyň şu tapgyrda pozulmajakdygyny bellemeli.
Neo HTML Protectorについて	Neo HTML Goranýjy barada
このプラグインはあなたのWordpressから出力されるHTMLや画像等を保護し、コンテンツの不正利用から守ることを目的としています。	Bu plugin siziň WordPress saýtyňyz tarapyndan döredilen HTML-i, suratlary we beýleki mazmuny rugsatsyz ulanylmakdan goramak üçin niýetlenendir.
コンテンツを完璧に守ることはできません。しかし可能な限りの方法において警告し、もし何かがあった場合に備えて準備することにより国で定められている方法で解決することができるはずです。	Mazmuny doly goramak mümkin däl. Emma mümkin boldugyça duýduryş berip we haýsydyr bir hadysa ýüze çyksa diýip taýýarlyk görsek, meseläni hökümet tarapyndan kesgitlenen tertiplere laýyklykda çözüp bileris.
もちろん、利用規約やサイトポリシーを充実させる必要があります。このプラグインは利用規約生成アプリではありませんが、そのヒントを与えることができます。	Elbetde, hyzmat şertleriňiziň we saýt syýasatlaryňyzyň doly we giňişleýin bolmagyny üpjün etmeli. Bu goşundysy hyzmat şertlerini döretmek üçin gural bolmasa-da, käbir maslahat berip biler.
開発者: 夜桜　なの	Ösüşçi: Nano Yozakura
バージョン	Wersiýa
ビルド	Gurmalaň
サポートページ	Goldaw sahypasy
ISISちゃん	ISIS chan
Miss. 裏まにら氏歌唱	Miss Ura Manira tarapyndan ýerine ýetirildi
支援のお願い	Goldaw üçin haýyş
Neo HTML Protectorをご利用いただき、ありがとうございます！	Neo HTML Protector-i ulananyňyz üçin sag boluň!
本プラグインの開発と維持には多くの時間と知恵の絞りだしがかかっており、引き続き改善と更新を行っていくための資金を集めるために、もしご支援いただける方がいれば、寄付をお願いできればと思います。	Bu plaginini işläp düzmek we saklamak köp wagt we tagalla talap etdi, we ony kämilleşdirmek we täzeläp durmak üçin serişdeleri toplamak maksady bilen bize goldaw berip biljek islendik adamyň sadaka bermegini hoşallyk bilen kabul ederis.
寄付について	Sadaka barada
