設定	સેટિંગ્સ
プライバシーポリシーには以下の内容を追加して下さい	કૃપા કરીને નીચેની બાબતોને ગોપનીયતા નીતિમાં ઉમેરો.
不正操作検知のため、CookieおよびデータベースにIPアドレス等の識別子を保存する。保存されたデータは、管理者の任意のタイミングで削除を行う。	ઠગાઈ પ્રવૃત્તિ શોધવા માટે, IP સરનામા જેવા ઓળખકર્તા કૂકીઝ અને ડેટાબેઝમાં સંગ્રહિત કરવામાં આવે છે. સંગ્રહિત ડેટા એડમિનિસ્ટ્રેટરના વિવેક અનુસાર કાઢી નાખવામાં આવે છે.
画像保護が有効な場合のみ、画像を正常に配信するため、IPアドレスと画像ファイル名をハッシュ化したデータをデータベースに最大60分間保存する。	છબી સંરક્ષણ સક્રિય હોય ત્યારે છબીઓ યોગ્ય રીતે પહોંચાડવામાં આવે તે સુનિશ્ચિત કરવા માટે, અમે IP સરનામું અને છબી ફાઇલનામનો સમાવેશ કરતી હેશ કરેલી માહિતી 60 મિનિટ સુધી ડેટાબેસમાં સંગ્રહિત કરીએ છીએ.
利用規約を設定する場合、必ずプライバシーポリシーに利用規約のリンクを設置して下さい	જો તમે ઉપયોગની શરતો તૈયાર કરી રહ્યા છો, તો કૃપા કરીને ખાતરી કરો કે તમે તેને તમારી ગોપનીયતા નીતિમાં લિંક કરો.
利用規約の文字列	ઉપયોગની શરતોનો લખાણ
利用規約のページ	શરતો અને નિયમોનું પૃષ્ઠ
ページ選択なし	કોઈ પૃષ્ઠ પસંદ કરવામાં આવ્યું નથી
検索エンジン等のURL	શોધ એન્જિન્સ માટેના URL, વગેરે.
同意しなかった時に画面遷移する検索エンジンなどのURLを設定します	જ્યારે વપરાશકર્તાઓ સંમતિ ન આપે ત્યારે તેમને રીડાયરેક્ટ કરતી સર્ચ એન્જિન્સ અને સમાન સાઇટ્સ માટે URL સેટ કરો
デバッグモード、コンソールの警告メッセージ	ડિબગ મોડ, કન્સોલ ચેતવણી સંદેશાઓ
右クリックの警告メッセージ	જમણ-ક્લિક ચેતવણી સંદેશ
印刷、PDF保存の警告メッセージ	પ્રિન્ટિંગ અને PDF તરીકે સાચવવા અંગે ચેતવણી સંદેશ
スクリーンショットの警告メッセージ	સ્ક્રીનશોટમાં ચેતવણી સંદેશ
スクリーンショットの疑いの警告メッセージ	શંકાસ્પદ સ્ક્રીનશોટ્સ અંગેની ચેતવણી સંદેશ
テキスト全選択時の警告メッセージ	બધા લખાણ પસંદ થવા પર ચેતવણી સંદેશ
ページ保存の警告メッセージ	પૃષ્ઠ સાચવવા અંગેની ચેતવણી સંદેશ
コピー・カットした時に表示するメッセージ	કોપી અથવા કટ કરતી વખતે પ્રદર્શિત સંદેશ
HTMLソース表示時に表示するメッセージ	HTML સ્ત્રોત જોતી વખતે પ્રદર્શિત કરવા માટેનો સંદેશ
HTML難読化・保護時にソースの先頭に表示するメッセージ	HTML ને અસ્પષ્ટ
HTML保護時に一度限りの認証トークンが異常の場合に表示するメッセージ	HTML સુરક્ષા દરમિયાન એકવાર ઉપયોગ માટેનો પ્રમાણપત્ર ટોકન અમાન્ય હોય તો પ્રદર્શિત કરવા માટેનો સંદેશ
CookieやJavascriptが有効でない場合に表示するメッセージ	જો કૂકીઝ અથવા જાવાસ્ક્રિપ્ટ નિષ્ક્રિય હોય તો પ્રદર્શિત કરવા માટેનો સંદેશ
実際にはJavascriptが無効時のみ表示されます	વાસ્તવમાં, આ ત્યારે જ દેખાય છે જ્યારે જાવાસ્ક્રિપ્ટ નિષ્ક્રિય હોય.
画像保護時に画像がダウンロードされ、その画像に表示するメッセージ 英語のみ	જ્યારે કોઈ છબી સુરક્ષિત હોય છે, ત્યારે તે ડાઉનલોડ થાય છે અને તે છબી પર સંદેશ
HTML難読化 (圧縮)	HTML અસ્પષ્ટીકરણ
一般的なHTML圧縮です、難読化解除のサイトもあります	આ સ્ટાન્ડર્ડ HTML સંકોચન છે; તેને ડિકોડ કરી શકે એવી વેબસાઇટ્સ પણ છે.
このオプションを有効にするとview-sourceのログが取得できます	આ વિકલ્પને સક્રિય કરવાથી તમે વ્યૂ-સોર્સ લોગ મેળવી શકો છો.
HTML保護	HTML રક્ષણ
HTML圧縮以上に最小限のHTMLしか出力せず、BODYタグ内の内容が全く出力されなくなります	તે ફક્ત HTML નું સૌથી ઓછું જરૂરી સ્વરૂપ જ આઉટપુટ કરે છે—HTML સંકોચન કરતાં પણ ઓછું—અને BODY ટેગની અંદરની સામગ્રી એકદમ પણ આઉટપુટ થતી નથી.
Firefoxに対しては無効です	આ ફાયરફોક્સ પર લાગુ પડતું નથી
SEOに著しく影響があります	આનો SEO પર નોંધપાત્ર પ્રભાવ છે.
HTMLをJavaScriptで描画	જાવાસ્ક્રિપ્ટનો ઉપયોગ કરીને HTML રેન્ડર કરવું
Firefox対策としてHTMLをJavaScriptで描画をします	Firefox પર કામ ચલાવવા માટે, અમે JavaScript નો ઉપયોગ કરીને HTML રેન્ડર કરીએ છીએ.
JavaScript描画で有効にするとウェブサイトの表示速度が著しく遅くなります	જાવાસ્ક્રિપ્ટ રેન્ડરિંગ સક્રિય કરવાથી વેબસાઇટની લોડિંગ ગતિ નોંધપાત્ર રીતે ધીમી પડી જશે.
画像の保護	છબી સંરક્ષણ
imgタグが呼び出されるごとに画像を保護	Img ટેગ દરેક વખતે બોલાવવામાં આવે ત્યારે છબીની સુરક્ષા કરો
出力される全HTMLのうち、Wordpressにアップロードされた画像をすべて保護	સંપૂર્ણ HTML આઉટપુટમાં WordPress પર અપલોડ થયેલી તમામ છબીઓને સુરક્ષિત કરો
画像をダウンロードから保護します	છબીઓને ડાઉનલોડ થવાથી સુરક્ષિત કરે છે
画像データを保護した時にはほぼ完全なるダウンロードを阻止し、完全なるワンタイムURLを発行し、セッションに保存されたトークンで認証し、phpから画像を表示します、その為ほぼ完全な画像盗用を防ぎます	જ્યારે ઈમેજ ડેટા સુરક્ષિત હોય છે, ત્યારે અમે ડાઉનલોડ્સને લગભગ સંપૂર્ણપણે અટકાવે છીએ, અનન્ય એકવાર ઉપયોગ માટેના URL જારી કરીએ છીએ, સત્રમાં સંગ્રહિત ટોકન્સનો ઉપયોગ કરીને પ્રમાણિકરણ કરીએ છીએ, અને PHP દ્વારા છબીઓ પ્રદર્શિત કરીએ છીએ; આ અસરકારક રીતે છબી ચોરી અટકાવે છે.
画像データを保護した時には画像のキャッシュが効かないため、次回訪問時にサイトの読み込みが遅くなるため、SEOに影響があります	જ્યારે ઈમેજ ડેટા સુરક્ષિત હોય છે, ત્યારે કેશિંગ કામ કરતી નથી, જેના કારણે સાઇટ આગામી મુલાકાતોમાં ધીરે લોડ થાય છે અને તે SEO પર અસર કરે છે.
画像データを保護した時には、データベースの負荷が高くなる可能性があります	છબીના ડેટાની સુરક્ષા કરવાથી ડેટાબેઝ પરનો ભાર વધી શકે છે.
「imgタグが呼び出されるごとに画像を保護」の場合は、add_filterを使用し、imgタグの発行時にフィルタリングを行います、テーマによっては正しく動作しません	જો તમે 'જ્યારે પણ img ટેગ કોલ થાય ત્યારે છબીઓ સુરક્ષિત કરો' પસંદ કરો, તો સિસ્ટમ img ટેગ જનરેટ થતી વખતે ફિલ્ટરિંગ લાગુ કરવા માટે add_filter નો ઉપયોગ કરે છે; તેમ છતાં, કેટલીક થીમ્સ સાથે આ યોગ્ય રીતે કામ ન કરી શકે.
「出力される全HTMLのうち、Wordpressにアップロードされた画像をすべて保護」の場合は、Wordpressのほぼすべての動作をキャプチャし、コンテンツ内のimgタグについてすべて処理します。テーマによっては正しく動作しません	જો તમે 'સંપૂર્ણ HTML આઉટપુટમાં WordPress પર અપલોડ થયેલી તમામ છબીઓને સુરક્ષિત કરો' પસંદ કરો, તો પ્લગઇન લગભગ તમામ WordPress ક્રિયાઓને કૅપ્ચર કરશે અને સામગ્રીમાં દરેક img ટેગને પ્રક્રિયા કરશે. કૃપા કરીને નોંધો કે કેટલીક થીમ્સ સાથે આ યોગ્ય રીતે કામ ન કરી શકે.
なお、アイキャッチに指定した画像はOGPとして拡散されますので保護できません。どうしても保護すべき場合は高度な設定でHTML保護時のHEADタグの出力の選択を変更してください	કૃપા કરીને નોંધો કે ફીચર્ડ ઈમેજીસ તરીકે નિર્ધારિત છબીઓ OGP ડેટા તરીકે શેર કરવામાં આવશે અને સુરક્ષિત કરી શકાતી નથી. જો તમારે તેમને ચોક્કસપણે સુરક્ષિત કરવું જ હોય, તો HTML સુરક્ષા સક્રિય કરતી વખતે એડવાન્સ્ડ સેટિંગ્સમાં HEAD ટેગ આઉટપુટ માટેની સેટિંગ બદલો.
OS標準搭載のスクリーンショット機能を保護することはできません	ઓપરેટિંગ સિસ્ટમમાં નિર્મિત સ્ક્રીનશોટ ફંક્શન સુરક્ષિત કરી શકાતું નથી.
画像URLの保護	છબી URLઓની સુરક્ષા
画像の保護と組み合わせて使用します、単体では意味がありません	આનો ઉપયોગ છબી સુરક્ષા સાથે સંયુક્ત રીતે કરવો જોઈએ; એકલામાં તેનો કોઈ ઉપયોગ નથી.
JavaScriptにより遅延読まれますのでSEOに影響があります	જેમ કે તે જાવાસ્ક્રિપ્ટ દ્વારા લોડ થાય છે, તે SEO ને અસર કરે છે.
画像のウォーターマーク	છબીનું વોટરમાર્ક
右下	નીચે જમણી બાજુ
ランダム位置	યાદૃચ્છિક સ્થિતિ
画像の保護と組み合わせて使用します、動的な透かしで著作権を明示しつつ、閲覧者に監視されている印象を与え抑止力を高めます	છબી સંરક્ષણ સાથે સંયુક્ત રીતે ઉપયોગમાં લેવામાં આવતા, ગતિશીલ વોટરમાર્ક્સ સ્પષ્ટપણે કૉપિરાઇટ માલિકી દર્શાવે છે અને દર્શકોને એવું અનુભવ થાય છે કે તેમની દેખરેખ થઈ રહી છે, જેના કારણે તે નિરોધક તરીકે કાર્ય કરે છે.
JPG形式、PNG形式、WebP形式のみ対応します	માત્ર JPG, PNG અને WebP ફોર્મેટ્સ જ સપોર્ટ થાય છે.
有効にするとサーバーの負荷が高くなります	આ સક્રિય કરવાથી સર્વર પરનો ભાર વધશે.
HTML難読化・保護時のHTMLソースコードのアスキーアートの出力	ઓબ્ફસ્કેશન અને સુરક્ષા દરમિયાન HTML સ્ત્રોત કોડમાંથી ASCII કલા આઉટપુટ કરવી
表示なし	કોઈ ડિસ્પ્લે નથી
view-sourceでHTMLソース表示をした時に警告の意思を示すアスキーアートを表示します	'view-source' નો ઉપયોગ કરીને HTML સ્ત્રોત જોતી વખતે ચેતવણી દર્શાવતી ASCII કલા
対象アクションを起こした時の表示デザイン	જ્યારે લક્ષ્ય ક્રિયા કરવામાં આવે ત્યારે ડિસ્પ્લે ડિઝાઇન બતાવો
黄色の背景の黒文字のベーシックデザイン	પીળા પૃષ્ઠભૂમિ પર કાળા લખાણવાળું મૂળભૂત ડિઝાઇન
黒色の背景の赤文字のホラー風デザイン	કાળા પૃષ્ઠભૂમિ પર લાલ લખાણવાળું એક હોરર-શૈલીનું ડિઝાઇન
黒色の背景の赤文字の光る文字のデザイン	કાળા પૃષ્ઠભૂમિ પર તેજસ્વી લાલ લખાણ ધરાવતું ડિઝાઇન
対象アクションを起こした時のBGM	લક્ષ્ય ક્રિયા થતા વગાડવામાં આવતું પૃષ્ઠભૂમિ સંગીત
サウンドなし	કોઈ અવાજ નથી
戦闘＆戦闘勝利 - 1分16.3秒 - 630,056bytes - 64kbps - ライセンス：CC2.1 or later	યુદ્ધ અને વિજય - 1 મિનિટ 16.3 સેકન્ડ - 630,056 બાઇટ્સ - 64 kbps - લાઇસેન્સ: CC 2.1 અથવા ત્યારબાદ
おやじ ショート - 3.8秒 - 32,364bytes - 64kbps - ライセンス GPL2.0 or later (C)EJ	ડેડ શોર્ટ - 3.8 સેકન્ડ - 32,364 બાઇટ્સ - 64 kbps - લાઇસેન્સ: GPL 2.0 અથવા ત્યારબાદ
おやじ ロング - 23.5秒 - 195,578bytes - 64kbps - ライセンス GPL2.0 or later (C)EJ	ઓયાજી લૉંગ - 23.5 સેકન્ડ - 195,578 બાઇટ્સ - 64 kbps - લાઇસેન્સ: GPL 2.0 અથવા ત્યારબાદનું
ショパン エチュード Op.10-5 黒鍵 打ち込み版 高速版 - 1分0.0秒 - 369,778bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	ચોપિન એટ્યુડ ઓપસ 10 નં. 5
ショパン エチュード Op.10-12 革命 打ち込み版 高速版 - 1分57.6秒 - 724,457bytes - 48kbps -  ライセンス：CC BY-ND 4.0 or later	ચોપિન એટ્યુડ ઓપસ. 10 નં. 12 'રેવલ્યુશન' – કમ્પ્યુટર-જનરેટેડ સંસ્કરણ, ઉચ્ચ-ગતિ – 1 મિનિટ 57.6 સેકન્ડ – 724,457 બાઇટ્સ – 48 kbps – લાઇસેન્સ: CC BY-ND 4.0 અથવા ત્યારબાદનું
ショパン スケルツォ 変ロ短調 Op2 打ち込み版 高速短縮版 - 1分48.0秒 - 665,369bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	ચોપિન: B ફ્લેટ માઇનરમાં શેરઝો, ઓપસ 2 – કમ્પ્યુટર-જનરેટેડ સંસ્કરણ, ઉચ્ચ-ગતિ સંક્ષિપ્ત સંસ્કરણ – 1 મિનિટ 48.0 સેકન્ડ – 665,369 બાઇટ્સ – 48 kbps – લાઇસેન્સ: CC BY-ND 4.0 અથવા ત્યારબાદનું
リスト 超絶技巧練習曲 4番 マゼッパ 打ち込み版 高速短縮版 - 1分51.6秒 - 687,586bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	સૂચિ: Étude d'Exécution Transcendante No. 4, 'Mazeppa' – કમ્પ્યુટર-જનરેટેડ સંસ્કરણ, ઉચ્ચ-ગતિ સંક્ષિપ્ત સંસ્કરણ – 1 મિનિટ 51.6 સેકન્ડ – 687,586 બાઇટ્સ – 48 kbps – લાઇસેન્સ: CC BY-ND 4.0 અથવા ત્યારબાદનું
ファンファーレ - 22.3秒 - 183,926bytes - 64kbps - ライセンス：パブリックドメイン	ફેનફેર – 22.3 સેકન્ડ – 183,926 બાઇટ્સ – 64 kbps – લાઇસેન્સ: પબ્લિક ડોમેન
レトロ風ファンファーレ - 2.2秒 - 10,536bytes - 32kbps - ライセンス：パブリックドメイン	રેટ્રો-શૈલીનું ભવ્ય સંગીત – 2.2 સેકન્ડ – 10,536 બાઇટ્સ – 32 kbps – લાઇસેન્સ: પબ્લિક ડોમેન
レトロ風オープン - 42.1秒 - 179,138bytes - 32kbps - ライセンス：パブリックドメイン	રેટ્રો-શૈલીનું ઇન્ટ્રો – 42.1 સેકન્ડ – 179,138 બાઇટ્સ – 32 kbps – લાઇસેન્સ: પબ્લિક ડોમેન
警告 by ChatGPT - 3.8秒 - 109,700bytes - 256kbps - ライセンス：パブリックドメイン	ચેતવણી ChatGPT દ્વારા - 3.8 સેકન્ડ - 109,700 બાઇટ્સ - 256 kbps - લાઇસેન્સ: પબ્લિક ડોમેન
マルウェア検出みたいな緊急感の高い音 その１ by ChatGPT - 3.3秒 - 102,850bytes - 256kbps - ライセンス：パブリックドメイン	ઉચ્ચ તાત્કાલિકતાવાળું અવાજ, માલવેર ડિટેક્શન એલર્ટ જેવી – ભાગ 1 ChatGPT દ્વારા – 3.3 સેકન્ડ – 102,850 બાઇટ્સ – 256 kbps – લાઇસેન્સ: પબ્લિક ડોમેન
マルウェア検出みたいな緊急感の高い音 その２ by ChatGPT - 3.3秒 - 103,122bytes - 256kbps - ライセンス：パブリックドメイン	ઉચ્ચ તાત્કાલિકતાવાળું, માલવેર ડિટેક્શન એલર્ટ જેવી અવાજ, ભાગ 2 ChatGPT દ્વારા - 3.3 સેકન્ડ - 103,122 બાઇટ્સ - 256 kbps - લાઇસેન્સ: પબ્લિક ડોમેન
MRI風サウンド by ChatGPT - 1分14.9秒 - 3,340,392bytes - 320kbps - ライセンス：パブリックドメイン	ChatGPT દ્વારા MRI-શૈલીનો અવાજ – 1 મિનિટ 14.9 સેકન્ડ – 3,340,392 બાઇટ્સ – 320 kbps – લાઇસેન્સ: પબ્લિક ડોમેન
警告表示中のBGMを選択します	ચેતવણી દરમિયાન વગાડવા માટે પૃષ્ઠભૂમિ સંગીત પસંદ કરો
びっくりするような雰囲気を作ります	તે એક આશ્ચર્યજનક વાતાવરણ સર્જે છે
Firefoxでは音声ブロックされます	ફાયરફોક્સમાં ઓડિયો અવરોધિત છે
対象アクションを起こした時のビープ音	નિર્ધારિત ક્રિયા પૂર્ણ થતા એક બીપ
有効 音量小さ目	ઓન, વોલ્યુમ ઓછી
有効 音量大き目	સક્રિય, વોલ્યુમ ઊંચું સેટ છે
警告表示中にすべてのキー・マウスイベントでビープ音を鳴らします	ચેતવણી દર્શાવવામાં આવતી વખતે તમામ કી અને માઉસ ઇવેન્ટ્સ માટે બીપ વાગશે.
警告表示中に端末が暴走したかのような雰囲気を作ります	ચેતવણી પ્રદર્શિત થતી વખતે એવું લાગે છે કે ઉપકરણ અવ્યવસ્થિત થઈ ગયું છે.
対象アクションを起こした時のマウスカーソルの消去	જ્યારે કોઈ ચોક્કસ ક્રિયા કરવામાં આવે ત્યારે માઉસ કર્સર છુપાવવું
警告表示中にブラウザのエリアのマウスカーソルを消去します	ચેતવણી દર્શાવવામાં આવે ત્યારે બ્રાઉઝર વિસ્તારમાં માઉસ કર્સર છુપાય છે
デバッグモード	ડિબગ મોડ
妨害＋記録のみ	માત્ર ઇન્ટરફેરન્સ + રેકોર્ડ્સ
妨害＋記録＋表示＋リダイレクト	અવરોધ + લોગિંગ + પ્રદર્શન + રીડાયરેક્ટ
メニューからは操作できてしまいます	તમે હજી પણ મેનૂ દ્વારા તેનો ઍક્સેસ કરી શકો છો.
Firefoxにおけるデバッグモード	ફાયરફોક્સમાં ડિબગ મોડ
ブラウザーコンソール	બ્રાઉઝર કન્સોલ
事実上デバッグモードから操作できてしまいます	વાસ્તવમાં, તમે તેને ડિબગ મોડમાંથી ચલાવી શકો છો.
HTMLソース表示	HTML સ્ત્રોત જુઓ
view-source:から始まるURLを入力すれば操作できてしまいます	તમે ફક્ત 'view-source:'થી શરૂ થતો URL દાખલ કરીને આ ઓપરેશન સરળતાથી કરી શકો છો.
HTML保護と組み合わせることでコンテンツを保護することができます	તમે આને HTML સુરક્ષા સાથે સંયોજીને તમારી સામગ્રીની સુરક્ષા કરી શકો છો.
印刷	છાપો
印刷阻止をするもものの、ブラウザによってはうまく動作しません	જોકે તે પ્રિન્ટિંગ અટકાવે છે, તે કેટલીક બ્રાઉઝર્સમાં યોગ્ય રીતે કામ ન કરી શકે.
スクリーンショット	સ્ક્રીનશોટ
OSやブラウザ、方法によっては妨害できず、もしくは検出しないことがあります	ઓપરેટિંગ સિસ્ટમ, બ્રાઉઝર અથવા ઉપયોગમાં લેવાયેલી પદ્ધતિ પર આધાર રાખીને, આને અવરોધવું શક્ય ન હોઈ શકે, અથવા તે શોધી શકાતું ન હોઈ શકે.
ウインドウが背面に移動した時スクリーンショットの疑い	જ્યારે વિન્ડો પૃષ્ઠભૂમિમાં જાય ત્યારે સંશયાસ્પદ સ્ક્રીનશોટ
あわせて、スクリーンショット以外の機能（タブ切り替え・ウィンドウ切り替え）にも反応してしまいます。	તે સ્ક્રીનશોટ્સ સિવાયની અન્ય ક્રિયાઓ
2キー押下のスクリーンショットの疑い	બે કીઓ દબાવીને લેવામાં આવેલ શંકાસ્પદ સ્ક્રીનશોટ
上の項目の検出方法は完全ではありません、予防的に検出を行います	ઉપરોક્ત વસ્તુઓ માટેની શોધ પદ્ધતિઓ સંપૂર્ણપણે નિષ્ફળતા-રહિત નથી; શોધ એક સાવચેતીપૂર્વકની કાર્યવાહી તરીકે કરવામાં આવે છે.
スクリーンショットだけではなく、デバッグモード等も検出します	તે માત્ર સ્ક્રીનશોટ્સ જ નહીં, ડિબગ મોડ્સ અને તેવા અન્ય મોડ્સ પણ શોધે છે.
ページ保存	પૃષ્ઠ સાચવો
右クリック	જમણી ક્લિક
アドオンがインストールされていると操作できてしまいます	જો એડ-ઓન ઇન્સ્ટોલ થયેલું હોય, તો તમે તેનો ઉપયોગ કરી શકશો.
コピー・カット	નકલ કરો અને કાપો
本プラグインの設定によってはこのイベントにたどり着くことはほとんどない場合があります	આ પ્લગઇનની સેટિંગ્સ પર આધાર રાખીને, તમને આ ઇવેન્ટ દુર્લભે જ જોવા મળી શકે છે.
テキスト全選択	બધા લખાણ પસંદ કરો
テキスト選択	ટેક્સ્ટ પસંદ કરો
デバッガー起動ログ、デバッガー妨害	ડિબગર શરૂઆતનો લોગ, ડિબગર હસ્તક્ષેપ
デバッグモードの使い勝手を少し悪くし、デバッガを起動したことをログに残します、ブラウザによってはこの挙動が止められてしまいます	આથી ડિબગ મોડ થોડીક ઓછું વપરાશકર્તા-મૈત્રીપૂર્ણ બની જાય છે અને ડિબગર શરૂ થયાની નોંધ લોગ થાય છે; તેમ છતાં, કેટલાક બ્રાઉઝર્સ આ વર્તનને અક્ષમ કરી શકે છે.
リダイレクトするURL	URL ફરીથી નિર્દેશિત કરો
利用規約などのページに転送すると良いでしょう	વપરાશકર્તાઓને ઉપયોગની શરતો જેવા પૃષ્ઠો પર રીડાયરેક્ટ કરવું સારું રહેશે.
空欄にすると元のURLにリダイレクトをします	જો ખાલી રાખવામાં આવે તો તે મૂળ URL પર રીડાયરેક્ટ થશે.
リダイレクトまでの時間	પુનઃનિર્દેશન સુધીનો સમય
リダイレクトなし	કોઈ રીડાયરેક્ટ નથી
1秒	1 સેકન્ડ
2秒	૨ સેકન્ડ
3秒	૩ સેકન્ડ
4秒	4 સેકન્ડ
5秒	પાંચ સેકન્ડ
6秒	6 સેકન્ડ
7秒	7 સેકન્ડ
8秒	૮ સેકન્ડ
9秒	૯ સેકન્ડ
10秒	10 સેકન્ડ
15秒	પંદર સેકન્ડ
20秒	20 સેકન્ડ
25秒	૨૫ સેકન્ડ
30秒	૩૦ સેકન્ડ
35秒	૩૫ સેકન્ડ
40秒	૪૦ સેકન્ડ
45秒	૪૫ સેકન્ડ
50秒	પંચાશ સેકન્ડ
55秒	૫૫ સેકન્ડ
1分	1 મિનિટ
1分10秒	1 મિનિટ 10 સેકન્ડ
1分20秒	1 મિનિટ 20 સેકન્ડ
1分30秒	૧ મિનિટ ૩૦ સેકન્ડ
1分40秒	1 મિનિટ 40 સેકન્ડ
1分50秒	1 મિનિટ 50 સેકન્ડ
2分	૨ મિનિટ
ソース表示を許可する権限	સોર્સ કોડ જોવાની પરવાનગી
ADMINログイン時のみ通常のソース出力	સામાન્ય સ્ત્રોત આઉટપુટ ફક્ત ત્યારે જ મળે જ્યારે ADMIN તરીકે લૉગ ઇન થયેલું હોય
USERログインで通常のソース出力	જ્યારે USER તરીકે લૉગ ઇન કરેલ હોય ત્યારે સામાન્ય સ્ત્રોત આઉટપુટ
通常のHTML出力を管理者のみかユーザーログインかを選択します	પસંદ કરો કે સ્ટાન્ડર્ડ HTML આઉટપુટ ફક્ત પ્રશાસકો માટે મર્યાદિત રહેશે કે વપરાશકર્તા લોગિન જરૂરી રહેશે
画像を無理やりダウンロードして実際にダウンロードされるもの	છબી ડાઉનલોડ કરવા માટે મજબૂર કરવું અને વાસ્તવમાં શું ડાઉનલોડ થાય છે
GIF形式で1×1ピクセルの透過画像	GIF ફોર્મેટમાં 1×1 પિક્સેલનું પારદર્શક ચિત્ર
PNG形式で1×1ピクセルの透過画像	PNG ફોર્મેટમાં 1×1 પિક્સેલનું પારદર્શક ચિત્ર
PNG形式で黄色い背景の警告画面	પીએનજી ફોર્મેટમાં પીળા પૃષ્ઠભૂમિવાળી ચેતવણી સ્ક્રીન
意味のないHTMLドキュメント	એક અર્થહીન HTML દસ્તાવેજ
HTML保護時のHEADタグの出力	જ્યારે HTML સુરક્ષિત હોય ત્યારે HEAD ટેગનું આઉટપુટ
出力しない	પ્રિન્ટ ન કરો
TITLEタグのみ	ફક્ત ટાઇટલ ટેગ
WordpressのHEADタグより取得	વર્ડપ્રેસ HEAD ટેગમાંથી પ્રાપ્ત
企業用途の会員専用ページや社内ページなどでは「出力しない」、「TITLEタグのみ」で良いでしょう	કોર્પોરેટ ઉપયોગ માટેની માત્ર સભ્યો માટેની પાનાઓ અને આંતરિક પાનાઓ માટે 'Do not output' અથવા 'TITLE tag only' પસંદ કરવું પૂરતું છે.
WordpressのHEADタグから取得しないと、SNSのシェアでOGP画像が表示されません	જો તમે WordPress HEAD ટેગમાંથી માહિતી મેળવશો નહીં, તો સોશિયલ મીડિયા પર શેર કરતી વખતે OGP છબી પ્રદર્શિત નહીં થાય.
画像botをアクセス禁止にする	ઇમેજ બોટને અવરોધો
