設定	सेटिंग्स
なお、アイキャッチに指定した画像はOGPとして拡散されますので保護できません。どうしても保護すべき場合は高度な設定でHTML保護時のHEADタグの出力の選択を変更してください	कृपया ध्यान दें कि फीचर्ड इमेज के रूप में चिह्नित छवियाँ OGP डेटा के रूप में साझा की जाएँगी और सुरक्षित नहीं की जा सकतीं। यदि आपको इन्हें अवश्य सुरक्षित करना है, तो HTML सुरक्षा सक्षम करते समय उन्नत सेटिंग्स में HEAD टैग आउटपुट की सेटिंग बदलें।
OS標準搭載のスクリーンショット機能を保護することはできません	ऑपरेटिंग सिस्टम में अंतर्निहित स्क्रीनशॉट फ़ंक्शन को सुरक्षित नहीं किया जा सकता।
画像URLの保護	छवि यूआरएल की सुरक्षा
画像の保護と組み合わせて使用します、単体では意味がありません	इसे छवि सुरक्षा के साथ संयोजन में उपयोग किया जाना चाहिए; अपने आप में इसका कोई उद्देश्य नहीं है।
JavaScriptにより遅延読まれますのでSEOに影響があります	चूंकि इसे जावास्क्रिप्ट के माध्यम से लोड किया जाता है, यह एसईओ को प्रभावित करता है।
画像のウォーターマーク	छवि वॉटरमार्क
右下	नीचे दाएँ
ランダム位置	यादृच्छिक स्थिति
画像の保護と組み合わせて使用します、動的な透かしで著作権を明示しつつ、閲覧者に監視されている印象を与え抑止力を高めます	छवि संरक्षण के साथ संयोजन में उपयोग किए जाने पर, गतिशील वॉटरमार्क स्पष्ट रूप से कॉपीराइट स्वामित्व को इंगित करते हैं और दर्शकों को यह आभास देते हैं कि उनकी निगरानी की जा रही है, जिससे यह एक निवारक के रूप में कार्य करता है।
JPG形式、PNG形式、WebP形式のみ対応します	केवल JPG, PNG और WebP प्रारूप समर्थित हैं।
有効にするとサーバーの負荷が高くなります	इसे सक्षम करने से सर्वर पर लोड बढ़ जाएगा।
HTML難読化・保護時のHTMLソースコードのアスキーアートの出力	अस्पष्टीकरण और सुरक्षा के दौरान HTML स्रोत कोड से ASCII कला उत्पन्न करना
表示なし	कोई प्रदर्शन नहीं
view-sourceでHTMLソース表示をした時に警告の意思を示すアスキーアートを表示します	'view-source' का उपयोग करके HTML स्रोत देखते समय चेतावनी दर्शाने वाली ASCII कला प्रदर्शित करता है।
対象アクションを起こした時の表示デザイン	लक्ष्य क्रिया होने पर डिज़ाइन दिखाएँ
黄色の背景の黒文字のベーシックデザイン	पीले पृष्ठभूमि पर काले पाठ वाला एक बुनियादी डिज़ाइन
黒色の背景の赤文字のホラー風デザイン	काले पृष्ठभूमि पर लाल पाठ वाला एक हॉरर-शैली का डिज़ाइन
黒色の背景の赤文字の光る文字のデザイン	काले पृष्ठभूमि पर चमकते लाल पाठ वाला एक डिज़ाइन
対象アクションを起こした時のBGM	लक्षित क्रिया होने पर बजने वाला पृष्ठभूमि संगीत
サウンドなし	कोई ध्वनि नहीं
戦闘＆戦闘勝利 - 1分16.3秒 - 630,056bytes - 64kbps - ライセンス：CC2.1 or later	लड़ाई और विजय - 1 मिनट 16.3 सेकंड - 630,056 बाइट्स - 64 kbps - लाइसेंस: CC 2.1 या बाद का
おやじ ショート - 3.8秒 - 32,364bytes - 64kbps - ライセンス GPL2.0 or later (C)EJ	डैड शॉर्ट - 3.8 सेकंड - 32,364 बाइट्स - 64 kbps - लाइसेंस: GPL 2.0 या बाद का
おやじ ロング - 23.5秒 - 195,578bytes - 64kbps - ライセンス GPL2.0 or later (C)EJ	ओयाजी लॉन्ग - 23.5 सेकंड - 195,578 बाइट्स - 64 kbps - लाइसेंस: GPL 2.0 या बाद का
ショパン エチュード Op.10-5 黒鍵 打ち込み版 高速版 - 1分0.0秒 - 369,778bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	चोपिन एट्यूड ओपस 10 संख्या 5
ショパン エチュード Op.10-12 革命 打ち込み版 高速版 - 1分57.6秒 - 724,457bytes - 48kbps -  ライセンス：CC BY-ND 4.0 or later	चोपिन एट्यूड ओपस 10 संख्या 12 'रिवोल्यूशन' – कंप्यूटर-जनित संस्करण, उच्च-गति संस्करण – 1 मिनट 57.6 सेकंड – 724,457 बाइट्स – 48 kbps – लाइसेंस: CC BY-ND 4.0 या बाद का
ショパン スケルツォ 変ロ短調 Op2 打ち込み版 高速短縮版 - 1分48.0秒 - 665,369bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	चोपिन: बी फ्लैट माइनर में शेर्ज़ो, ओपस 2 – कंप्यूटर-जनित संस्करण, उच्च-गति संक्षिप्त संस्करण – 1 मिनट 48.0 सेकंड – 665,369 बाइट्स – 48 kbps – लाइसेंस: CC BY-ND 4.0 या बाद का
リスト 超絶技巧練習曲 4番 マゼッパ 打ち込み版 高速短縮版 - 1分51.6秒 - 687,586bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	सूची: Étude d'Exécution No. 4 'Mazeppa'
ファンファーレ - 22.3秒 - 183,926bytes - 64kbps - ライセンス：パブリックドメイン	धूमधाम – 22.3 सेकंड – 183,926 बाइट्स – 64 kbps – लाइसेंस: सार्वजनिक डोमेन
レトロ風ファンファーレ - 2.2秒 - 10,536bytes - 32kbps - ライセンス：パブリックドメイン	रेट्रो-शैली का धूमधाम – 2.2 सेकंड – 10,536 बाइट्स – 32 kbps – लाइसेंस: सार्वजनिक डोमेन
レトロ風オープン - 42.1秒 - 179,138bytes - 32kbps - ライセンス：パブリックドメイン	रेट्रो-शैली का परिचय – 42.1 सेकंड – 179,138 बाइट्स – 32 kbps – लाइसेंस: सार्वजनिक डोमेन
警告 by ChatGPT - 3.8秒 - 109,700bytes - 256kbps - ライセンス：パブリックドメイン	ChatGPT द्वारा चेतावनी - 3.8 सेकंड - 109,700 बाइट्स - 256 kbps - लाइसेंस: सार्वजनिक डोमेन
マルウェア検出みたいな緊急感の高い音 その１ by ChatGPT - 3.3秒 - 102,850bytes - 256kbps - ライセンス：パブリックドメイン	एक उच्च-तात्कालिकता वाली ध्वनि, मैलवेयर डिटेक्शन अलर्ट जैसी – भाग 1 ChatGPT द्वारा – 3.3 सेकंड – 102,850 बाइट्स – 256 kbps – लाइसेंस: सार्वजनिक डोमेन
マルウェア検出みたいな緊急感の高い音 その２ by ChatGPT - 3.3秒 - 103,122bytes - 256kbps - ライセンス：パブリックドメイン	एक उच्च-तात्कालिकता वाली ध्वनि, मैलवेयर डिटेक्शन अलर्ट जैसी, भाग 2 ChatGPT द्वारा - 3.3 सेकंड - 103,122 बाइट्स - 256 kbps - लाइसेंस: पब्लिक डोमेन
MRI風サウンド by ChatGPT - 1分14.9秒 - 3,340,392bytes - 320kbps - ライセンス：パブリックドメイン	ChatGPT द्वारा एमआरआई-शैली की ध्वनि – 1 मिनट 14.9 सेकंड – 3,340,392 बाइट्स – 320 kbps – लाइसेंस: सार्वजनिक डोमेन
警告表示中のBGMを選択します	चेतावनी के दौरान बजाने के लिए पृष्ठभूमि संगीत चुनें।
びっくりするような雰囲気を作ります	यह एक आश्चर्यजनक माहौल बनाता है।
Firefoxでは音声ブロックされます	फ़ायरफ़ॉक्स में ऑडियो अवरुद्ध है।
対象アクションを起こした時のビープ音	निर्दिष्ट क्रिया होने पर बीप
有効 音量小さ目	चालू, वॉल्यूम कम
有効 音量大き目	सक्रिय, वॉल्यूम उच्च पर सेट
警告表示中にすべてのキー・マウスイベントでビープ音を鳴らします	जब चेतावनी प्रदर्शित हो रही हो, तब सभी कीबोर्ड और माउस इवेंट्स के जवाब में एक बीप बजेगा।
警告表示中に端末が暴走したかのような雰囲気を作ります	यह ऐसा आभास देता है कि चेतावनी प्रदर्शित होने के दौरान उपकरण बेकाबू हो गया है।
対象アクションを起こした時のマウスカーソルの消去	किसी विशिष्ट क्रिया के निष्पादित होने पर माउस कर्सर को छिपाना
警告表示中にブラウザのエリアのマウスカーソルを消去します	जब चेतावनी प्रदर्शित हो रही हो, तब ब्राउज़र क्षेत्र में माउस कर्सर को छिपाता है।
デバッグモード	त्रुटि निवारण मोड
妨害＋記録のみ	हस्तक्षेप + रिकॉर्ड्स ही
妨害＋記録＋表示＋リダイレクト	हस्तक्षेप + लॉगिंग + प्रदर्शन + पुनर्निर्देशन
メニューからは操作できてしまいます	आप अभी भी मेनू के माध्यम से इसे एक्सेस कर सकते हैं।
Firefoxにおけるデバッグモード	फ़ायरफ़ॉक्स में डिबग मोड
ブラウザーコンソール	ब्राउज़र कंसोल
事実上デバッグモードから操作できてしまいます	वास्तव में, आप इसे डिबग मोड से चला सकते हैं।
HTMLソース表示	HTML स्रोत देखें
view-source:から始まるURLを入力すれば操作できてしまいます	आप 'view-source:' से शुरू होने वाला URL दर्ज करके ही यह ऑपरेशन कर सकते हैं।
HTML保護と組み合わせることでコンテンツを保護することができます	आप इसे HTML सुरक्षा के साथ मिलाकर अपनी सामग्री की रक्षा कर सकते हैं।
印刷	मुद्रण
印刷阻止をするもものの、ブラウザによってはうまく動作しません	हालांकि यह प्रिंटिंग को रोकता है, यह कुछ ब्राउज़रों में ठीक से काम नहीं कर सकता है।
スクリーンショット	स्क्रीनशॉट
OSやブラウザ、方法によっては妨害できず、もしくは検出しないことがあります	ऑपरेटिंग सिस्टम, ब्राउज़र या उपयोग की गई विधि के आधार पर, इसे ब्लॉक करना संभव नहीं हो सकता है, या इसका पता नहीं चल सकता है।
ウインドウが背面に移動した時スクリーンショットの疑い	विंडो पृष्ठभूमि में जाने पर संभावित स्क्रीनशॉट
あわせて、スクリーンショット以外の機能（タブ切り替え・ウィンドウ切り替え）にも反応してしまいます。	यह स्क्रीनशॉट के अलावा अन्य क्रियाओं
2キー押下のスクリーンショットの疑い	दो कुंजियों को दबाकर लिया गया संदिग्ध स्क्रीनशॉट
上の項目の検出方法は完全ではありません、予防的に検出を行います	उपरोक्त वस्तुओं का पता लगाने के तरीके पूर्णतः विश्वसनीय नहीं हैं; पता लगाना एक सावधानी बरतने के उपाय के रूप में किया जाता है।
スクリーンショットだけではなく、デバッグモード等も検出します	यह न केवल स्क्रीनशॉट बल्कि डिबग मोड और इसी तरह की अन्य चीज़ों का भी पता लगाता है।
ページ保存	पृष्ठ सहेजें
右クリック	दाहिने-क्लिक करें
アドオンがインストールされていると操作できてしまいます	यदि ऐड-ऑन स्थापित है, तो आप इसका उपयोग कर पाएँगे।
コピー・カット	नकल और काटना
本プラグインの設定によってはこのイベントにたどり着くことはほとんどない場合があります	इस प्लगइन की सेटिंग्स के आधार पर, आपको यह इवेंट शायद ही कभी देखने को मिल सकता है।
テキスト全選択	सभी पाठ चुनें
テキスト選択	टेक्स्ट चुनें
デバッガー起動ログ、デバッガー妨害	डिबगर स्टार्टअप लॉग, डिबगर हस्तक्षेप
デバッグモードの使い勝手を少し悪くし、デバッガを起動したことをログに残します、ブラウザによってはこの挙動が止められてしまいます	यह डिबग मोड को थोड़ा कम उपयोगकर्ता-अनुकूल बना देता है और इस तथ्य को लॉग करता है कि डिबगर लॉन्च किया गया है; हालांकि, कुछ ब्राउज़र इस व्यवहार को ब्लॉक कर सकते हैं।
リダイレクトするURL	यूआरएल पुनर्निर्देशित करें
利用規約などのページに転送すると良いでしょう	उपयोगकर्ताओं को नियम एवं शर्तों जैसे पृष्ठों पर पुनर्निर्देशित करना एक अच्छा विचार होगा।
空欄にすると元のURLにリダイレクトをします	यदि इसे खाली छोड़ा गया, तो यह मूल URL पर रीडायरेक्ट कर देगा।
リダイレクトまでの時間	पुनर्निर्देशन तक का समय
リダイレクトなし	कोई रीडायरेक्ट नहीं
1秒	1 सेकंड
2秒	2 सेकंड
3秒	3 सेकंड
4秒	4 सेकंड
5秒	5 सेकंड
6秒	6 सेकंड
7秒	7 सेकंड
8秒	8 सेकंड
9秒	9 सेकंड
10秒	10 सेकंड
15秒	पंद्रह सेकंड
20秒	20 सेकंड
25秒	25 सेकंड
30秒	30 सेकंड
35秒	35 सेकंड
40秒	40 सेकंड
45秒	पैंतालीस सेकंड
50秒	50 सेकंड
55秒	55 सेकंड
1分	1 मिनट
1分10秒	1 मिनट 10 सेकंड
1分20秒	1 मिनट 20 सेकंड
1分30秒	1 मिनट 30 सेकंड
1分40秒	1 मिनट 40 सेकंड
1分50秒	1 मिनट 50 सेकंड
2分	2 मिनट
ソース表示を許可する権限	स्रोत कोड देखने की अनुमति
ADMINログイン時のみ通常のソース出力	सामान्य स्रोत आउटपुट केवल तब दिखाई देता है जब आप ADMIN के रूप में लॉग इन हों।
USERログインで通常のソース出力	यूज़र के रूप में लॉग इन होने पर सामान्य स्रोत आउटपुट
通常のHTML出力を管理者のみかユーザーログインかを選択します	चुनें कि मानक HTML आउटपुट केवल प्रशासकों तक सीमित हो या उपयोगकर्ता लॉगिन आवश्यक हो।
画像を無理やりダウンロードして実際にダウンロードされるもの	किसी छवि को डाउनलोड करने के लिए मजबूर करना और वास्तव में क्या डाउनलोड होता है
GIF形式で1×1ピクセルの透過画像	GIF प्रारूप में 1×1 पिक्सेल पारदर्शी छवि
PNG形式で1×1ピクセルの透過画像	PNG प्रारूप में 1×1 पिक्सेल पारदर्शी छवि
PNG形式で黄色い背景の警告画面	पीएनजी प्रारूप में पीले पृष्ठभूमि वाली एक चेतावनी स्क्रीन
意味のないHTMLドキュメント	एक निरर्थक HTML दस्तावेज़
HTML保護時のHEADタグの出力	जब HTML संरक्षित होता है तो HEAD टैग का आउटपुट
出力しない	प्रिंट न करें
TITLEタグのみ	केवल शीर्षक टैग
WordpressのHEADタグより取得	WordPress HEAD टैग से प्राप्त
企業用途の会員専用ページや社内ページなどでは「出力しない」、「TITLEタグのみ」で良いでしょう	कॉर्पोरेट उपयोग के लिए केवल-सदस्य पृष्ठों और आंतरिक पृष्ठों के लिए, 'Do not output' या 'TITLE tag only' चुनना पर्याप्त होगा।
WordpressのHEADタグから取得しないと、SNSのシェアでOGP画像が表示されません	जब तक आप WordPress HEAD टैग से जानकारी प्राप्त नहीं करते, सोशल मीडिया पर शेयर करते समय OGP इमेज प्रदर्शित नहीं होगी।
画像botをアクセス禁止にする	छवि बॉट को ब्लॉक करें
画像botをHTMLに対し避けることにより、画像検索から直接リンクされることによって守れなかったコンテンツを守ることができます、ただし完全には対処することはできません	इमेज बॉट्स को HTML तक पहुँचने से रोककर, आप उस सामग्री की रक्षा कर सकते हैं जिसे इमेज सर्च के माध्यम से डायरेक्ट लिंकिंग से सुरक्षित नहीं किया जा सकता था; हालाँकि, यह कोई पूर्ण समाधान नहीं है।
AI学習用botをアクセス禁止にする	एआई प्रशिक्षण बॉट तक पहुंच को ब्लॉक करें
AIの学習用のbotをHTMLに対し避けることにより、AIで利用されないようにします、ただし完全には対処することはできません	HTML पर AI प्रशिक्षण के लिए डिज़ाइन किए गए बॉट्स के उपयोग से बचकर, हम यह सुनिश्चित करते हैं कि सामग्री का AI द्वारा उपयोग न किया जाए; हालांकि, इसे पूरी तरह से रोका नहीं जा सकता।
ウェブアーカイブ、ウェブ魚拓をアクセス禁止にする	वेब आर्काइव और वेब स्नैपशॉट तक पहुंच को ब्लॉक करें
自動的に収集されるウェブアーカイブ並びにユーザーの任意で取得される魚拓のアクセスを禁止します、ただし完全には対処することはできません	हम स्वचालित रूप से एकत्रित वेब आर्काइव और उपयोगकर्ता की इच्छानुसार लिए गए स्क्रीनशॉट तक पहुँच को प्रतिबंधित करते हैं; हालांकि, हम इसे पूरी तरह से रोक नहीं सकते।
無効なUAをアクセス禁止にする	अमान्य यूज़र एजेंट्स को ब्लॉक करें
ユーザーエイジェントの文字に不正な文字列があった場合のアクセスを避けます	यदि यूज़र एजेंट स्ट्रिंग में अमान्य वर्ण हों तो पहुँच को रोकता है।
Internet Explorerと旧Microsoft Edge(EdgeHTML)のアクセスに警告を表示する	Internet Explorer और पुराने Microsoft Edge
Internet Explorerと旧Microsoft Edgeのアクセスを避けます	Internet Explorer और पुराने Microsoft Edge के माध्यम से पहुँच को रोकता है।
alertメッセージを表示する言語	वह भाषा जिसमें अलर्ट संदेश प्रदर्शित किए जाते हैं।
Wordpressの言語	वर्डप्रेस भाषाएँ
ブラウザの設定言語	ब्राउज़र भाषा सेटिंग्स
メッセージをカスタム設定されている場合は言語を変更できません	यदि संदेशों को अनुकूलित किया गया है तो आप भाषा नहीं बदल सकते।
同意画面の言語	सहमति स्क्रीन की भाषा
view-sourceメッセージを表示する言語	'view-source' संदेश प्रदर्शित करने के लिए भाषा
一時使用トークンの有効期限	अस्थायी टोकन की समाप्ति तिथि
3分	3 मिनट
4分	4 मिनट
5分	5 मिनट
6分	6 मिनट
7分	सात मिनट
8分	8 मिनट
9分	9 मिनट
10分	10 मिनट
15分	पंद्रह मिनट
20分	बीस मिनट
25分	पच्चीस मिनट
30分	तीस मिनट
35分	पैंतीस मिनट
40分	चालीस मिनट
45分	पैंतालीस मिनट
50分	पचास मिनट
55分	पैंतालीस मिनट
1時間	एक घंटा
画像URL情報の有効期限を設定します	छवि URL जानकारी की समाप्ति तिथि निर्धारित करें
一度読み込まれると画像URL情報と一時使用トークンは無効化されます	एक बार लोड हो जाने पर, इमेज URL और अस्थायी टोकन अमान्य कर दिए जाएंगे।
画像は遅延読み込みされますが、この指定した時間の30秒前に強制的に画像が読み込まれます	छवियाँ मांग पर लोड होती हैं, लेकिन वे निर्दिष्ट समय से 30 सेकंड पहले स्वचालित रूप से लोड हो जाएँगी।
一時使用トークンのビット数	एक अस्थायी टोकन में बिट्स की संख्या
画像URL情報を暗号化するのに一時使用トークンをパスワードとして使用しますが、その強度を指定します	एक अस्थायी टोकन का उपयोग इमेज URL जानकारी को एन्क्रिप्ट करने के लिए पासवर्ड के रूप में किया जाता है; यह सेटिंग इसकी ताकत निर्दिष्ट करती है।
ドロップダウンメニューの下に表示される選択肢にいくにつれて強度が強くなるものの、サーバーへの負荷が高くなり、HTML転送量が多くなることがあります	हालाँकि ड्रॉप-डाउन मेनू के नीचे प्रदर्शित विकल्प अधिक विस्तृत होते जाते हैं, इससे सर्वर पर भारी लोड पड़ सकता है और बड़ी मात्रा में HTML डेटा स्थानांतरित हो सकता है।
ハッシュ化アルゴリズム	हैश एल्गोरिदम
画像URL情報を暗号化するのに一時使用トークンをパスワードとして使用しますが、その時ハッシュ化が必要です、その強度を設定します	एक अस्थायी टोकन का उपयोग इमेज URL जानकारी को एन्क्रिप्ट करने के लिए पासवर्ड के रूप में किया जाता है; इसके लिए हैशिंग की आवश्यकता होती है, और यह सेटिंग उस हैशिंग की मजबूती निर्धारित करती है।
