設定	Saituna
不正操作検知のため、CookieおよびデータベースにIPアドレス等の識別子を保存する。保存されたデータは、管理者の任意のタイミングで削除を行う。	Don gano ayyukan zamba, ana adana alamomi kamar adireshin IP a cikin kukis da ma'ajiyar bayanai. Ana goge bayanan da aka adana bisa ga hukuncin mai gudanarwa.
画像保護が有効な場合のみ、画像を正常に配信するため、IPアドレスと画像ファイル名をハッシュ化したデータをデータベースに最大60分間保存する。	Don tabbatar da cewa an isar da hotuna yadda ya kamata ne kawai idan an kunna kariyar hotuna, muna adana bayanai da aka yi musu hash, waɗanda suka ƙunshi adireshin IP da sunan fayil ɗin hoto, a cikin ma'ajiyar bayanai na tsawon mintuna 60.
利用規約を設定する場合、必ずプライバシーポリシーに利用規約のリンクを設置して下さい	Idan kuna kafa Sharuɗɗan Amfani, don Allah ku tabbatar kun haɗa mahaɗin su a cikin Manufofin Sirri.
利用規約の文字列	Rubutun Sharuɗɗan Amfani
利用規約のページ	Shafin Sharuɗɗa da Ka'idoji
ページ選択なし	Ba a zaɓi shafi ba
検索エンジン等のURL	URLs don injunan bincike, da sauransu.
同意しなかった時に画面遷移する検索エンジンなどのURLを設定します	Saita URL ɗin injunan bincike da shafuka makamancin haka waɗanda ke tura masu amfani zuwa wani wuri idan ba su yarda ba.
デバッグモード、コンソールの警告メッセージ	Modi na gyaran kuskure, saƙonnin gargaɗi na console
右クリックの警告メッセージ	Danna dama a kan saƙon gargaɗi
印刷、PDF保存の警告メッセージ	Sako na gargaɗi game da buga da ajiye a matsayin PDF
スクリーンショットの警告メッセージ	Sakon gargaɗi a cikin hoton allo
スクリーンショットの疑いの警告メッセージ	Sakon gargaɗi game da hotunan allo da ake zargin an ɗauka
テキスト全選択時の警告メッセージ	Sakon gargaɗi lokacin da aka zaɓi duk rubutun
ページ保存の警告メッセージ	Sakon gargaɗi game da adana shafi
コピー・カットした時に表示するメッセージ	Sako da ake nuna lokacin kwafi ko yankan
HTMLソース表示時に表示するメッセージ	Sako da za a nuna lokacin duba tushen HTML
HTML難読化・保護時にソースの先頭に表示するメッセージ	Sako da za a nuna a saman lambar tushe lokacin da ake ruɗarwa ko kare HTML
HTML保護時に一度限りの認証トークンが異常の場合に表示するメッセージ	Sako da za a nuna idan token ɗin tabbatarwa na sau ɗaya bai yi aiki ba yayin kariyar HTML
CookieやJavascriptが有効でない場合に表示するメッセージ	Sako da za a nuna idan an kashe kukis ko JavaScript
実際にはJavascriptが無効時のみ表示されます	A gaskiya, ana nuna wannan ne kawai idan an kashe JavaScript.
画像保護時に画像がダウンロードされ、その画像に表示するメッセージ 英語のみ	Idan an kare hoto, ana sauke shi, sannan a nuna saƙo a kan hoton
HTML難読化 (圧縮)	Ruɗa HTML
一般的なHTML圧縮です、難読化解除のサイトもあります	Wannan matsewar HTML ce ta al'ada; akwai kuma shafukan yanar gizo da za su iya fassara shi.
このオプションを有効にするとview-sourceのログが取得できます	Ta kunna wannan zaɓi, za ku iya dawo da rajistar duba tushe.
HTML保護	Karewar HTML
HTML圧縮以上に最小限のHTMLしか出力せず、BODYタグ内の内容が全く出力されなくなります	Yana fitar da HTML kaɗan ma fiye da saitin matse HTML, ma'ana ba za a fitar da abun cikin tag ɗin BODY ba kwata-kwata.
Firefoxに対しては無効です	Wannan ba ya shafa Firefox.
SEOに著しく影響があります	Wannan yana da tasiri mai muhimmanci ga SEO.
HTMLをJavaScriptで描画	Gina HTML ta amfani da JavaScript
Firefox対策としてHTMLをJavaScriptで描画をします	Don magance matsalar Firefox, muna nuna HTML ɗin ta amfani da JavaScript.
JavaScript描画で有効にするとウェブサイトの表示速度が著しく遅くなります	Bada damar aiwatar da JavaScript zai jinkirta saurin ɗorawa na gidan yanar gizo sosai.
画像の保護	Kare hoto
imgタグが呼び出されるごとに画像を保護	Kare hoton duk lokacin da aka kira tag ɗin img
出力される全HTMLのうち、Wordpressにアップロードされた画像をすべて保護	Kare duk hotunan da aka loda a WordPress a cikin dukkan fitarwar HTML
画像をダウンロードから保護します	Yana kare hotuna daga saukarwa
画像データを保護した時にはほぼ完全なるダウンロードを阻止し、完全なるワンタイムURLを発行し、セッションに保存されたトークンで認証し、phpから画像を表示します、その為ほぼ完全な画像盗用を防ぎます	Idan an kare bayanan hotuna, muna hana kusan duk saukarwa, muna samar da URLs na lokaci guda na musamman, muna tabbatar da sahihanci ta amfani da alamomin tsaro da aka ajiye a zaman, sannan muna nuna hotunan ta PHP; wannan yana hana kusan duk sata hotuna.
画像データを保護した時には画像のキャッシュが効かないため、次回訪問時にサイトの読み込みが遅くなるため、SEOに影響があります	Idan an kare bayanan hoto, ajiyar wucin gadi ba ta aiki, wanda ke nufin shafin zai loda a hankali a ziyarce-ziyarce na gaba, ta haka yana shafar SEO.
画像データを保護した時には、データベースの負荷が高くなる可能性があります	Kare bayanan hoto na iya ƙara nauyi a kan ma'ajiyar bayanai.
「imgタグが呼び出されるごとに画像を保護」の場合は、add_filterを使用し、imgタグの発行時にフィルタリングを行います、テーマによっては正しく動作しません	Idan ka zaɓi 'Kare hotuna duk lokacin da aka kira tag ɗin img', tsarin zai yi amfani da add_filter don aiwatar da tacewa lokacin da ake ƙirƙirar tag ɗin img; duk da haka, wannan na iya kasa aiki yadda ya kamata tare da wasu jigogi.
「出力される全HTMLのうち、Wordpressにアップロードされた画像をすべて保護」の場合は、Wordpressのほぼすべての動作をキャプチャし、コンテンツ内のimgタグについてすべて処理します。テーマによっては正しく動作しません	Idan ka zaɓi 'Kare duk hotunan da aka loda zuwa WordPress a cikin duk fitarwar HTML', ƙarin zai kama kusan duk ayyukan WordPress kuma ya sarrafa kowanne tag ɗin img a cikin abun ciki. Don Allah a lura cewa wannan na iya kasa aiki yadda ya kamata tare da wasu jigogi.
なお、アイキャッチに指定した画像はOGPとして拡散されますので保護できません。どうしても保護すべき場合は高度な設定でHTML保護時のHEADタグの出力の選択を変更してください	Da fatan a lura cewa hotunan da aka zaɓa a matsayin hotunan da aka fi so za a raba su a matsayin bayanan OGP kuma ba za a iya kare su ba. Idan lallai ne ku kare su, da fatan za ku canza saitin fitarwar alamomin HEAD a cikin saitunan ci gaba lokacin kunna kariyar HTML.
OS標準搭載のスクリーンショット機能を保護することはできません	Ba za a iya kare aikin ɗaukar hoton allo da ke cikin tsarin aiki a matsayin ma'auni ba.
画像URLの保護	Kare URLs na hotuna
画像の保護と組み合わせて使用します、単体では意味がありません	Ya kamata a yi amfani da wannan tare da kariyar hoto; shi kaɗai, ba shi da wata amfani.
JavaScriptにより遅延読まれますのでSEOに影響があります	Yayin da ake loda shi cikin kasala ta JavaScript, wannan yana shafar SEO.
画像のウォーターマーク	Alamar ruwa ta hoto
右下	ƙasa a dama
ランダム位置	Matsayi na bazuwa
画像の保護と組み合わせて使用します、動的な透かしで著作権を明示しつつ、閲覧者に監視されている印象を与え抑止力を高めます	Ana amfani da su tare da kariyar hoto, alamomin ruwa masu motsi suna nuna a fili mallakar haƙƙin mallaka yayin da suke ba masu kallo ra'ayin ana sa ido a kansu, ta haka suna zama abin hana su aikata laifi.
JPG形式、PNG形式、WebP形式のみ対応します	Ana tallafawa tsarin JPG, PNG da WebP kawai.
有効にするとサーバーの負荷が高くなります	Kunna wannan zai ƙara nauyin sabar.
HTML難読化・保護時のHTMLソースコードのアスキーアートの出力	Fitar da fasahar ASCII daga lambar tushe ta HTML yayin ruɗani da kariya
表示なし	Babu nuni
view-sourceでHTMLソース表示をした時に警告の意思を示すアスキーアートを表示します	Yana nuna fasahar ASCII da ke nuna gargaɗi lokacin kallon tushen HTML ta amfani da 'view-source'
対象アクションを起こした時の表示デザイン	Nuna ƙira lokacin da aka aiwatar da aikin da ake nufi
黄色の背景の黒文字のベーシックデザイン	Ƙirar asali da ke ɗauke da rubutu baki a kan bango rawaya
黒色の背景の赤文字のホラー風デザイン	Ƙirar salon ban tsoro da ke ɗauke da rubutu ja a kan baya baki
黒色の背景の赤文字の光る文字のデザイン	Ƙira mai ɗauke da rubutu ja mai haske a kan baya baki
対象アクションを起こした時のBGM	Kiɗan bango da ke kunnawa lokacin da aka aiwatar da aikin da ake nufi
サウンドなし	Babu sauti
戦闘＆戦闘勝利 - 1分16.3秒 - 630,056bytes - 64kbps - ライセンス：CC2.1 or later	Yaki da Nasara - minti 1 da daƙiƙa 16.3 - baitoci 630,056 - 64 kbps - Lasisi: CC 2.1 ko daga baya
おやじ ショート - 3.8秒 - 32,364bytes - 64kbps - ライセンス GPL2.0 or later (C)EJ	Dad Short - 3.8 daƙiƙoƙi - 32,364 baitoci - 64 kbps - Lasisi: GPL 2.0 ko daga baya
おやじ ロング - 23.5秒 - 195,578bytes - 64kbps - ライセンス GPL2.0 or later (C)EJ	Oyaji Long - 23.5 sakan - 195,578 baitoci - 64 kbps - Lasisi: GPL 2.0 ko daga baya
ショパン エチュード Op.10-5 黒鍵 打ち込み版 高速版 - 1分0.0秒 - 369,778bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	Chopin Étude Op. 10 No. 5
ショパン エチュード Op.10-12 革命 打ち込み版 高速版 - 1分57.6秒 - 724,457bytes - 48kbps -  ライセンス：CC BY-ND 4.0 or later	Chopin Étude Op. 10 No. 12 'Revolution' – sigar da kwamfuta ta samar, sigar sauri – minti 1 da daƙiƙa 57.6 – baiti 724,457 – 48 kbps – Lasisi: CC BY-ND 4.0 ko daga baya
ショパン スケルツォ 変ロ短調 Op2 打ち込み版 高速短縮版 - 1分48.0秒 - 665,369bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	Chopin: Scherzo a B-flat minor, Op. 2 – sigar da kwamfuta ta samar, ta gajarta mai sauri – minti 1 da daƙiƙa 48.0 – baiti 665,369 – 48 kbps – Lasisi: CC BY-ND 4.0 ko daga baya
リスト 超絶技巧練習曲 4番 マゼッパ 打ち込み版 高速短縮版 - 1分51.6秒 - 687,586bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	Jerin: Étude d'Exécution Transcendante No. 4, 'Mazeppa' – sigar da kwamfuta ta samar, gajeriyar sigar da aka hanzarta – minti 1 da daƙiƙa 51.6 – baitoci 687,586 – 48 kbps – Lasisi: CC BY-ND 4.0 ko daga baya
ファンファーレ - 22.3秒 - 183,926bytes - 64kbps - ライセンス：パブリックドメイン	Biki – daƙiƙa 22.3 – baitoci 183,926 – 64 kbps – Lasisi: Dukiya ta Jama'a
レトロ風ファンファーレ - 2.2秒 - 10,536bytes - 32kbps - ライセンス：パブリックドメイン	Biki na salo na baya – 2.2 daƙiƙa – 10,536 baitoci – 32 kbps – Lasisi: Yankin jama'a
レトロ風オープン - 42.1秒 - 179,138bytes - 32kbps - ライセンス：パブリックドメイン	Gabatarwa mai salo na baya – 42.1 sakan – 179,138 baitoci – 32 kbps – Lasisi: Dukiya ta jama'a
警告 by ChatGPT - 3.8秒 - 109,700bytes - 256kbps - ライセンス：パブリックドメイン	Gargaɗi daga ChatGPT - 3.8 sakan - 109,700 baitoci - 256 kbps - Lasisi: Yankin jama'a
マルウェア検出みたいな緊急感の高い音 その１ by ChatGPT - 3.3秒 - 102,850bytes - 256kbps - ライセンス：パブリックドメイン	Sauti mai gaggawa sosai kamar faɗakarwar gano malware – Sashe na 1 ta ChatGPT – 3.3 sakan – 102,850 baitoci – 256 kbps – Lasisi: Yanki na Jama'a
マルウェア検出みたいな緊急感の高い音 その２ by ChatGPT - 3.3秒 - 103,122bytes - 256kbps - ライセンス：パブリックドメイン	Sauti mai gaggawa sosai kamar faɗakarwar gano malware, Sashe na 2 ta ChatGPT - 3.3 daƙiƙa - 103,122 baitoci - 256 kbps - Lasisi: Yankin jama'a
MRI風サウンド by ChatGPT - 1分14.9秒 - 3,340,392bytes - 320kbps - ライセンス：パブリックドメイン	Sautin salon MRI ta ChatGPT – minti 1 da daƙiƙa 14.9 – baitoci 3,340,392 – 320 kbps – Lasisi: Yankin jama'a
警告表示中のBGMを選択します	Zaɓi kiɗan bango da za a kunna yayin gargaɗi.
びっくりするような雰囲気を作ります	Yana ƙirƙirar yanayi mai ban mamaki
Firefoxでは音声ブロックされます	An toshe sauti a Firefox
対象アクションを起こした時のビープ音	Beep lokacin da aka aiwatar da aikin da aka kayyade
有効 音量小さ目	A kunne, ƙarar sauti ƙasa
有効 音量大き目	Ana aiki, an saita ƙarar sauti zuwa mafi girma
警告表示中にすべてのキー・マウスイベントでビープ音を鳴らします	Za a ji karar bip ga duk abubuwan maɓalli da na linzami yayin da ake nuna gargaɗi.
警告表示中に端末が暴走したかのような雰囲気を作ります	Yana ba da tunanin cewa na'urar ta yi hauka yayin da ake nuna gargaɗin.
対象アクションを起こした時のマウスカーソルの消去	Boye ƙursor na linzami lokacin da aka yi wani takamaiman aiki
警告表示中にブラウザのエリアのマウスカーソルを消去します	Yana ɓoye ƙursor na linzami a yankin burauza yayin da ake nuna gargaɗi.
デバッグモード	Modi na gyaran kuskure
妨害＋記録のみ	Cikas + Rekodi kawai
妨害＋記録＋表示＋リダイレクト	Cikas + Rubuce-rubuce + Nuna + Juya
メニューからは操作できてしまいます	Har yanzu za ka iya samun sa ta menu ɗin.
Firefoxにおけるデバッグモード	Modi na gyara kuskure a Firefox
ブラウザーコンソール	Konsol na burauza
事実上デバッグモードから操作できてしまいます	A zahiri, za ka iya sarrafa shi daga yanayin gyaran kuskure.
HTMLソース表示	Dubi tushen HTML
view-source:から始まるURLを入力すれば操作できてしまいます	Za ka iya aiwatar da aikin kawai ta shigar da URL da ke farawa da 'view-source:'
HTML保護と組み合わせることでコンテンツを保護することができます	Za ka iya kare abun cikin ka ta hanyar haɗa wannan da kariyar HTML.
印刷	Buga
印刷阻止をするもものの、ブラウザによってはうまく動作しません	Ko da yake yana hana buga, watakila ba zai yi aiki yadda ya kamata a wasu masu binciken yanar gizo ba.
スクリーンショット	Hoton allo
OSやブラウザ、方法によっては妨害できず、もしくは検出しないことがあります	Dangane da tsarin aiki, burauza ko hanyar da aka yi amfani da ita, watakila ba za a iya toshe wannan ba, ko kuma ba za a gano shi ba.
ウインドウが背面に移動した時スクリーンショットの疑い	An zaci hoton allo ne lokacin da taga ta koma bango na baya
あわせて、スクリーンショット以外の機能（タブ切り替え・ウィンドウ切り替え）にも反応してしまいます。	Hakanan yana amsawa ga ayyuka daban-daban ba na ɗaukar hoton allo kawai ba
2キー押下のスクリーンショットの疑い	An zaci an ɗauki hoton allo ne ta danna maɓalli biyu.
上の項目の検出方法は完全ではありません、予防的に検出を行います	Hanyoyin gano abubuwan da aka ambata a sama ba su da cikakken tabbaci; ana gudanar da binciken ne a matsayin mataki na kariya.
スクリーンショットだけではなく、デバッグモード等も検出します	Yana gano ba kawai hotunan allo ba, har ma da yanayin gyara kuskure da makamantansu.
ページ保存	Ajiye shafi
右クリック	Danna maɓallin dama na linzami
アドオンがインストールされていると操作できてしまいます	Idan an girka ƙarin, za ku iya amfani da shi.
コピー・カット	Kwafi da yanke
本プラグインの設定によってはこのイベントにたどり着くことはほとんどない場合があります	Dangane da saitunan wannan plugin, kuna iya samun wannan lamari kaɗan.
テキスト全選択	Zaɓi duk rubutun
テキスト選択	Zaɓi rubutu
デバッガー起動ログ、デバッガー妨害	Ragamar farawa na mai cire kuskure, tsangwama na mai cire kuskure
デバッグモードの使い勝手を少し悪くし、デバッガを起動したことをログに残します、ブラウザによってはこの挙動が止められてしまいます	Wannan yana sanya yanayin debug ya zama ba shi da sauƙin amfani sosai kuma yana rubuta cewa an kaddamar da mai gyara kuskure; duk da haka, wasu masu binciken yanar gizo na iya toshe wannan hali.
リダイレクトするURL	Juya URL
利用規約などのページに転送すると良いでしょう	Zai zama ra'ayi mai kyau a tura masu amfani zuwa shafuka kamar Sharuɗɗan Amfani.
空欄にすると元のURLにリダイレクトをします	Idan aka bar shi babu komai, zai mayar da kai ga asalin URL.
リダイレクトまでの時間	Lokacin da ya rage kafin sake nuna hanya
リダイレクトなし	Babu juyawa
1秒	1 daƙiƙa
2秒	Sekondi biyu
3秒	Sekondi uku
4秒	Sekondi huɗu
5秒	Sekondi biyar
6秒	Sekondi shida
7秒	Sekondi bakwai
8秒	Sekondi takwas
9秒	Sakanni tara
10秒	Daƙiƙa goma
15秒	Daƙiƙa goma sha biyar
20秒	Sekondi ashirin
25秒	Sekondi ashirin da biyar
30秒	Sakan talatin
35秒	Sakan talatin da biyar
40秒	Daƙiƙa arba'in
45秒	Daƙiƙa arba'in da biyar
50秒	Dakiku 50
55秒	Daƙiƙa hamsin da biyar
1分	Minti ɗaya
1分10秒	Minti ɗaya da daƙiƙa goma
1分20秒	Minti ɗaya da daƙiƙa ashirin
1分30秒	Minti ɗaya da daƙiƙa talatin
1分40秒	Minti ɗaya da daƙiƙa arba'in
1分50秒	Minti ɗaya da daƙiƙa hamsin
2分	Mintuna biyu
ソース表示を許可する権限	Izinin duba lambar tushe
ADMINログイン時のみ通常のソース出力	Fitarwar tushe ta al'ada sai an shiga a matsayin ADMIN kawai
USERログインで通常のソース出力	Fitarwar tushe ta al'ada lokacin da aka shiga a matsayin USER
通常のHTML出力を管理者のみかユーザーログインかを選択します	Zaɓi ko fitarwar HTML ta al'ada za a iyakance ta ga masu gudanarwa kaɗai ko kuma tana buƙatar shiga na mai amfani.
画像を無理やりダウンロードして実際にダウンロードされるもの	Tilasta saukar da hoto da abin da aka saukar a zahiri
GIF形式で1×1ピクセルの透過画像	Hoto mai pixel ɗaya da ɗaya mai bayyane a cikin tsarin GIF
PNG形式で1×1ピクセルの透過画像	Hoto mai pixel 1×1 mai bayyane a cikin tsarin PNG
PNG形式で黄色い背景の警告画面	Allon gargaɗi mai bango mai launin rawaya a cikin tsarin PNG
意味のないHTMLドキュメント	Takardar HTML marar ma'ana
HTML保護時のHEADタグの出力	Fitarwar tag ɗin HEAD lokacin da HTML ke kariya
出力しない	Kada a buga
TITLEタグのみ	Taga TITLE kawai
WordpressのHEADタグより取得	An samo daga tag ɗin HEAD na WordPress
企業用途の会員専用ページや社内ページなどでは「出力しない」、「TITLEタグのみ」で良いでしょう	Don shafukan mambobi na musamman don amfanin kamfani da shafukan ciki, zaɓin 'Do not output' ko 'TITLE tag only' ya isa.
WordpressのHEADタグから取得しないと、SNSのシェアでOGP画像が表示されません	Sai dai idan ka samo bayanan daga tag ɗin HEAD na WordPress, hoton OGP ba zai bayyana ba lokacin da aka raba shi a kafafen sada zumunta.
画像botをアクセス禁止にする	Hana bot ɗin hoto
画像botをHTMLに対し避けることにより、画像検索から直接リンクされることによって守れなかったコンテンツを守ることができます、ただし完全には対処することはできません	Ta hanyar hana bots na hotuna samun HTML, za ka iya kare abun ciki da ba za a iya kare shi daga haɗin kai tsaye ta binciken hotuna ba; duk da haka, wannan ba mafita ce mai cikakken tabbaci ba.
AI学習用botをアクセス禁止にする	Hana samun damar bot ɗin horo na AI
AIの学習用のbotをHTMLに対し避けることにより、AIで利用されないようにします、ただし完全には対処することはできません	Ta hanyar kauce wa amfani da bots da aka ƙera don horar da AI a kan HTML, muna tabbatar da cewa AI ba za ta iya amfani da shi ba; duk da haka, ba za a iya hana hakan gaba ɗaya ba.
ウェブアーカイブ、ウェブ魚拓をアクセス禁止にする	Hana samun damar ajiyayyun yanar gizo da hotunan yanar gizo na ɗan lokaci
自動的に収集されるウェブアーカイブ並びにユーザーの任意で取得される魚拓のアクセスを禁止します、ただし完全には対処することはできません	Muna hana samun damar ajiyar yanar gizo da aka tattara ta atomatik da hotunan allo da mai amfani ya ɗauka a yadda ya ga dama; duk da haka, ba za mu iya hana hakan gaba ɗaya ba.
無効なUAをアクセス禁止にする	Hana wakilan mai amfani marasa inganci
ユーザーエイジェントの文字に不正な文字列があった場合のアクセスを避けます	Yana hana samun dama idan igiyar wakilin mai amfani tana ɗauke da haruffa marasa inganci.
Internet Explorerと旧Microsoft Edge(EdgeHTML)のアクセスに警告を表示する	Nuna gargaɗi lokacin da ake buɗe Internet Explorer da tsohon Microsoft Edge
Internet Explorerと旧Microsoft Edgeのアクセスを避けます	Yana hana samun dama ta Internet Explorer da tsohon Microsoft Edge
alertメッセージを表示する言語	Harshen da ake nuna saƙonnin faɗakarwa
Wordpressの言語	Harsunan WordPress
ブラウザの設定言語	Saitunan harshe na burauza
メッセージをカスタム設定されている場合は言語を変更できません	Ba za ka iya canza harshe ba idan an keɓance saƙonnin.
同意画面の言語	Harshen allon amincewa
view-sourceメッセージを表示する言語	Harshen da za a nuna saƙon 'view-source'
一時使用トークンの有効期限	Ranar ƙarewar lokacin alamomin wucin gadi
3分	Mintuna uku
4分	Mintuna huɗu
5分	Mintuna biyar
6分	Mintuna shida
7分	Mintuna bakwai
8分	Minti takwas
9分	Minti tara
10分	Minti goma
15分	Minti goma sha biyar
20分	Minti ashirin
25分	Mintuna ashirin da biyar
30分	Minti talatin
35分	Minti talatin da biyar
40分	Mintuna arba'in
45分	Mintuna arba'in da biyar
50分	Mintuna hamsin
55分	Mintuna hamsin da biyar
1時間	A awa ɗaya
画像URL情報の有効期限を設定します	Saita ranar ƙarewa ga bayanan URL na hoto
一度読み込まれると画像URL情報と一時使用トークンは無効化されます	Da zarar an loda, za a soke URL na hoto da token na wucin gadi.
画像は遅延読み込みされますが、この指定した時間の30秒前に強制的に画像が読み込まれます	Ana loda hotuna ne a buƙata, amma za a loda su ta atomatik da dakika 30 kafin lokacin da aka kayyade.
一時使用トークンのビット数	Adadin bits a cikin token na wucin gadi
画像URL情報を暗号化するのに一時使用トークンをパスワードとして使用しますが、その強度を指定します	Ana amfani da token na ɗan lokaci a matsayin kalmar sirri don ɓoye bayanan URL na hoto; wannan saitin yana ƙayyade ƙarfinsa.
ドロップダウンメニューの下に表示される選択肢にいくにつれて強度が強くなるものの、サーバーへの負荷が高くなり、HTML転送量が多くなることがあります	Ko da yake zaɓuɓɓukan da ake nuna a ƙasa da menu mai faɗuwa suna ƙara cikakken bayani, hakan na iya sanya nauyi mai yawa a kan sabar kuma ya haifar da canja wurin babban adadin bayanan HTML.
ハッシュ化アルゴリズム	Algoritman Hash
画像URL情報を暗号化するのに一時使用トークンをパスワードとして使用しますが、その時ハッシュ化が必要です、その強度を設定します	Ana amfani da token na ɗan lokaci a matsayin kalmar sirri don ɓoye bayanan URL na hoto; wannan yana buƙatar yin hashing, kuma wannan saitin yana ƙayyade ƙarfin wannan hashing.
ドロップダウンメニューの下に表示される選択肢にいくにつれて強度が強くなるものの、サーバーへの負荷が高くなります	Ko da yake ƙarfin yana ƙaruwa yayin da kake gungura ƙasa cikin zaɓuɓɓukan da aka nuna a cikin menu mai faɗaɗa, wannan yana sanya nauyi mafi girma a kan sabar.
基本設定	Saituna na asali
高度な設定	Zaɓuɓɓukan ci gaba
初期設定に戻す	Dawo da saitunan tsoho
デザイン・音の設定	Zane da saitunan sauti
イベントの設定	Saitunan taro
初回訪問時のお知らせの設定	Saitin sanarwa don ziyarar farko
メッセージの設定	Saitunan saƙo
右クリックやソースコード表示時に転送する URL を設定します	Saita URL da za a buɗe lokacin danna dama ko duba lambar tushe
警告メッセージにはHTMLは使用できません	Ba za a iya amfani da HTML a cikin saƙonnin gargaɗi ba.
この画面で設定すると、高度な設定タブにある言語設定が無視されます	Idan ka saita wannan a wannan allo, za a yi watsi da saitunan harshe a shafin Ci Gaba.
以下の文字列が使用できます	Za a iya amfani da waɗannan jerin
改行	Tsagin layi
押下されたキー	An danna maɓalli
Neo HTML Protector 設定	Saitunan Neo HTML Protector
お知らせ	Lura
メッセージ	Sako
デザイン・音	Zane da Sauti
初期化	Farawa
このプラグインについて	Game da wannan plugin ɗin
設定が初期化されました	An sake saita saitunan.
プラグインを初期化します なおIPログリーダーのデータはここでは削除されません	Fara plugin ɗin. Da fatan a lura cewa ba za a goge bayanan IP Log Reader a wannan mataki ba.
Neo HTML Protectorについて	Game da Neo HTML Protector
このプラグインはあなたのWordpressから出力されるHTMLや画像等を保護し、コンテンツの不正利用から守ることを目的としています。	An ƙirƙira wannan plugin ne don kare HTML, hotuna da sauran abun ciki da shafin WordPress ɗinku ke samarwa, ta hanyar hana amfani da su ba tare da izini ba.
コンテンツを完璧に守ることはできません。しかし可能な限りの方法において警告し、もし何かがあった場合に備えて準備することにより国で定められている方法で解決することができるはずです。	Ba zai yiwu a kare abun ciki gaba ɗaya ba. Duk da haka, ta hanyar bayar da gargaɗi duk inda zai yiwu da yin shiri idan wani abu ya faru, za mu iya warware lamarin bisa ga tsare-tsaren da gwamnati ta shimfiɗa.
もちろん、利用規約やサイトポリシーを充実させる必要があります。このプラグインは利用規約生成アプリではありませんが、そのヒントを与えることができます。	Tabbas, za ku buƙaci tabbatar da cewa sharuɗɗan sabis ɗinku da manufofin shafin ku sun kasance cikakke. Ko da yake wannan ƙarin ba kayan aikin ƙirƙirar sharuɗɗan sabis ba ne, zai iya ba da wasu jagorori.
開発者: 夜桜　なの	Mai haɓaka: Nano Yozakura
バージョン	Sigar
ビルド	Gina
サポートページ	Shafin tallafi
ISISちゃん	ISIS chan
Miss. 裏まにら氏歌唱	An yi shi ne ta Miss Ura Manira
支援のお願い	Bukatun tallafi
Neo HTML Protectorをご利用いただき、ありがとうございます！	Na gode da amfani da Neo HTML Protector!
