設定	налаштування
OS標準搭載のスクリーンショット機能を保護することはできません	Неможливо захистити стандартну функцію створення скріншотів ОС
画像URLの保護	Захист URL-адрес зображень
画像の保護と組み合わせて使用します、単体では意味がありません	Використовується в поєднанні із захистом зображення, але сам по собі не має сенсу.
JavaScriptにより遅延読まれますのでSEOに影響があります	Затримка читання через JavaScript, що впливає на SEO
HTML難読化・保護時のHTMLソースコードのアスキーアートの出力	Виведення ASCII-арту у вихідному коді HTML під час обфускації та захисту HTML.
表示なし	Не вказано
view-sourceでHTMLソース表示をした時に警告の意思を示すアスキーアートを表示します	Відображати ASCII-арт, що вказує на намір попередження при відображенні HTML-джерела за допомогою view-source.
対象アクションを起こした時の表示デザイン	Дизайн відображення, коли спрацьовує цільова дія.
黄色の背景の黒文字のベーシックデザイン	Базовий дизайн з чорними літерами на жовтому тлі
黒色の背景の赤文字のホラー風デザイン	Дизайн у стилі жахів з червоним текстом на чорному тлі.
黒色の背景の赤文字の光る文字のデザイン	Дизайн з червоних літер, що світяться, на чорному тлі.
対象アクションを起こした時のBGM	BGM, коли виконується цільова дія.
サウンドなし	Без звуку
戦闘＆戦闘勝利 - 1分16.3秒 - ライセンス：CC2.1 or later	Бої та бойові перемоги - 1 хв 16.3 сек - Ліцензія: CC2.1 або новіша
おやじ ショート - 3.8秒 - ライセンス GPL2.0 or later (C)EJ	Father Short - 3.8 секунди - Ліцензія GPL2.0 або новішої версії
おやじ ロング - 23.5秒 - ライセンス GPL2.0 or later (C)EJ	Father Long - 23.5 сек - Ліцензія GPL2.0 або новішої версії
ショパン エチュード Op.10-5 黒鍵 打ち込み版 高速版 - 1分0.0秒 - ライセンス：CC BY-ND 4.0 or later	Шопен Етюд, Op.10-5, чорні клавіші, машинописна версія, швидка версія - 1 хв 0.0 сек - Ліцензія: CC BY-ND 4.0 або новіша
ショパン エチュード Op.10-12 革命 打ち込み版 高速版 - 1分57.6秒 - ライセンス：CC BY-ND 4.0 or later	Шопен Етюд, ор.10-12 Революція, машинописна версія, швидка версія - 1 хв 57.6 сек - Ліцензія: CC BY-ND 4.0 або новіша
ショパン スケルツォ 変ロ短調 Op2 打ち込み版 高速短縮版 - 1分48.0秒 - ライセンス：CC BY-ND 4.0 or later	Шопен Скерцо сі-бемоль мінор, Op2, друкована версія, швидка скорочена версія - 1 хв 48.0 сек - Ліцензія: CC BY-ND 4.0 або новішої версії
ファンファーレ - 22.3秒 - ライセンス：パブリックドメイン	Фанфари - 22.3 секунди - Ліцензія: суспільне надбання
レトロ風ファンファーレ - 2.2秒 - ライセンス：パブリックドメイン	Фанфари в ретро-стилі - 2.2 с - Ліцензія: суспільне надбання
レトロ風オープン - 42.1秒 - ライセンス：パブリックドメイン	Відкрита в ретро-стилі - 42.1 с - Ліцензія: суспільне надбання
警告表示中のBGMを選択します	Виберіть фонову музику під час показу попередження.
びっくりするような雰囲気を作ります	Створіть дивовижну атмосферу
Firefoxでは音声ブロックされます	Firefox заблокує звук.
対象アクションを起こした時のビープ音	Звуковий сигнал, коли цільова дія виконана.
有効 音量小さ目	Увімкнено Низька гучність
有効 音量大き目	Увімкнено Найгучніша гучність
警告表示中にすべてのキー・マウスイベントでビープ音を鳴らします	Звукові сигнали на всі події клавіш/миші під час відображення попереджень
警告表示中に端末が暴走したかのような雰囲気を作ります	Створіть атмосферу, ніби пристрій вийшов з-під контролю під час відображення попередження
対象アクションを起こした時のマウスカーソルの消去	Стирання курсору миші при виконанні цільової дії.
警告表示中にブラウザのエリアのマウスカーソルを消去します	Очистити курсор миші в області браузера під час відображення попередження
デバッグモード	режим налагодження
妨害＋記録のみ	Тільки перешкоди + запис.
妨害＋記録＋表示＋リダイレクト	Перехоплення + запис + відображення + перенаправлення
メニューからは操作できてしまいます	Керувати ним можна з меню.
Firefoxにおけるデバッグモード	Режим налагодження у Firefox
ブラウザーコンソール	консоль браузера
事実上デバッグモードから操作できてしまいます	Фактично, ви можете працювати в режимі налагодження.
HTMLソース表示	Відображення HTML-джерела
view-source:から始まるURLを入力すれば操作できてしまいます	Керувати ним можна, ввівши URL-адресу, що починається з view-source:.
HTML保護と組み合わせることでコンテンツを保護することができます	У поєднанні із захистом HTML можна захистити вміст
印刷	Друк
印刷阻止をするもものの、ブラウザによってはうまく動作しません	Блокування друку, але погано працює в деяких браузерах
スクリーンショット	скріншот
OSやブラウザ、方法によっては妨害できず、もしくは検出しないことがあります	Може бути не перехоплено або виявлено залежно від операційної системи, браузера та методу
ウインドウが背面に移動した時スクリーンショットの疑い	Підозра на скріншоти, коли вікна зсунуті назад.
あわせて、スクリーンショット以外の機能（タブ切り替え・ウィンドウ切り替え）にも反応してしまいます。	Крім того, він також реагує на функції, відмінні від скріншотів
2キー押下のスクリーンショットの疑い	Підозра на скріншоти з двома натисканнями клавіш.
上の項目の検出方法は完全ではありません、予防的に検出を行います	Метод виявлення вищезазначених предметів не є досконалим, використовується превентивне виявлення.
スクリーンショットだけではなく、デバッグモード等も検出します	Він розпізнає скріншоти, а також режими налагодження тощо.
ページ保存	зберегти сторінку
右クリック	клацніть правою кнопкою миші
アドオンがインストールされていると操作できてしまいます	Він може працювати, якщо встановлені додаткові модулі.
コピー・カット	знято під копірку
本プラグインの設定によってはこのイベントにたどり着くことはほとんどない場合があります	Залежно від конфігурації цього плагіна, ця подія може рідко досягатися
テキスト全選択	виділення повного тексту
テキスト選択	виділення тексту
デバッガー妨害	втручання відладчика
デバッグモードの使い勝手を少し悪くします、ブラウザによってはこの挙動が止められてしまいます	Робить режим налагодження дещо менш зручним для користувача, деякі браузери припиняють таку поведінку
リダイレクトするURL	URL-адреса для перенаправлення
利用規約などのページに転送すると良いでしょう	Можливо, ви захочете перенаправити їх на такі сторінки, як Умови використання.
空欄にすると元のURLにリダイレクトをします	Якщо залишити порожнім, буде перенаправлено на оригінальну URL-адресу
リダイレクトまでの時間	Час перенаправляти.
リダイレクトなし	Без перенаправлення
1秒	1 секунда
2秒	2 секунди.
3秒	3 секунди.
4秒	4 секунди.
5秒	5 секунд.
6秒	6 секунд.
7秒	7 секунд.
8秒	8 секунд.
9秒	9 секунд.
10秒	10 секунд.
15秒	15 секунд.
20秒	20 секунд.
25秒	25 секунд.
30秒	30 секунд.
35秒	35 секунд.
40秒	40 секунд.
45秒	45 секунд.
50秒	50 секунд.
55秒	55 секунд.
1分	Одна хвилина.
1分10秒	1 хв 10 сек.
1分20秒	1 хв 20 сек.
1分30秒	1 хвилина 30 секунд.
1分40秒	1 хвилина 40 секунд.
1分50秒	1 хвилина 50 секунд.
2分	2 хвилини
ソース表示を許可する権限	Повноваження для дозволу відображення джерела.
ADMINログイン時のみ通常のソース出力	Нормальний вихідний код виводиться лише під логіном ADMIN
USERログインで通常のソース出力	Звичайний вивід вихідного коду з логіном користувача
通常のHTML出力を管理者のみかユーザーログインかを選択します	Виберіть, чи буде звичайний HTML-вивід лише для адміністраторів або для входу користувачів
画像を無理やりダウンロードして実際にダウンロードされるもの	Що насправді завантажується шляхом примусового завантаження зображення.
GIF形式で1×1ピクセルの透過画像	Прозоре зображення 1 x 1 піксель у форматі GIF.
PNG形式で1×1ピクセルの透過画像	Прозоре зображення 1 x 1 піксель у форматі PNG.
PNG形式で黄色い背景の警告画面	Попереджувальний екран з жовтим фоном у форматі PNG.
意味のないHTMLドキュメント	Безглузді HTML-документи
HTML保護時のHEADタグの出力	Виведення тегів HEAD під час захисту HTML
出力しない	Немає виходу
TITLEタグのみ	Тільки тег TITLE
WordpressのHEADタグより取得	Отримано з тегу HEAD у Wordpress
企業用途の会員専用ページや社内ページなどでは「出力しない」、「TITLEタグのみ」で良いでしょう	Для корпоративного використання, наприклад, тільки для учасників або внутрішніх сторінок, підійде "без виводу" або "тільки тег TITLE".
WordpressのHEADタグから取得しないと、SNSのシェアでOGP画像が表示されません	Зображення OGP не відображатимуться в публікаціях у соціальних мережах, якщо вони не взяті з тегу HEAD у Wordpress
画像botをアクセス禁止にする	Заборона імідж-бота.
画像botをHTMLに対し避けることにより、画像検索から直接リンクされることによって守れなかったコンテンツを守ることができます	Уникнення ботів зображень у HTML захищає контент, який не можна захистити прямими посиланнями, від пошуку зображень.
AI学習用botをアクセス禁止にする	Заборона доступу до навчальних ботів зі штучним інтелектом.
AIの学習用のbotをHTMLに対し避けることにより、AIで利用されないようにします、ただし完全には対処することはできません	Уникнення використання бота для навчання ШІ проти HTML запобігає його використанню ШІ, але не повністю вирішує проблему
alertメッセージを表示する言語	Мова, якою відображається попереджувальне повідомлення.
Wordpressの言語	Мови Wordpress.
ブラウザの設定言語	Мова налаштування браузера
メッセージをカスタム設定されている場合は言語を変更できません	Мова не може бути змінена, якщо повідомлення налаштоване
view-sourceメッセージを表示する言語	Мова, якою відображаються повідомлення джерела перегляду.
一時使用トークンの有効期限	Термін дії токенів тимчасового користування.
3分	3 хвилини.
4分	4 хвилини.
5分	5 хвилин.
6分	6 хвилин.
7分	7 хвилин
8分	8 хвилин.
9分	9 хвилин.
10分	10 хвилин.
15分	15 хвилин.
20分	20 хвилин.
25分	25 хвилин.
30分	30 хвилин.
35分	35 хвилин.
40分	40 хвилин.
45分	45 хвилин.
50分	50 хвилин.
55分	55 хвилин.
1時間	1 година
画像URL情報の有効期限を設定します	Задає дату закінчення терміну дії інформації про URL-адресу зображення.
一度読み込まれると画像URL情報と一時使用トークンは無効化されます	Після завантаження інформація про URL-адресу зображення та маркери тимчасового використання вимикаються
画像は遅延読み込みされますが、この指定した時間の30秒前に強制的に画像が読み込まれます	Зображення буде завантажуватися ліниво, але за 30 секунд до зазначеного часу воно буде примусово завантажене.
一時使用トークンのビット数	Кількість бітів у токенах тимчасового користування
画像URL情報を暗号化するのに一時使用トークンをパスワードとして使用しますが、その強度を指定します	Вказує надійність токена тимчасового використання, який використовується як пароль для шифрування інформації URL зображення
ドロップダウンメニューの下に表示される選択肢にいくにつれて強度が強くなるものの、サーバーへの負荷が高くなり、HTML転送量が多くなることがあります	Хоча інтенсивність збільшується, коли ви переходите до опцій, перелічених нижче у випадаючому меню, навантаження на сервер є вищим, а обсяг переданого HTML може бути більшим
ハッシュ化アルゴリズム	алгоритм хешування
画像URL情報を暗号化するのに一時使用トークンをパスワードとして使用しますが、その時ハッシュ化が必要です、その強度を設定します	Тимчасові токени використовуються як паролі для шифрування URL-адреси зображення, але вони повинні бути хешовані, встановіть силу хешування.
ドロップダウンメニューの下に表示される選択肢にいくにつれて強度が強くなるものの、サーバーへの負荷が高くなります	Інтенсивність зростає, коли ви переходите до опцій, перелічених нижче у випадаючому меню, але навантаження на сервер збільшується
基本設定	базове налаштування
高度な設定	Розширені налаштування
初期設定に戻す	скидання до заводських налаштувань
デザイン・音の設定	Налаштування дизайну та звуку
イベントの設定	Конфігурація події.
メッセージの設定	Налаштування повідомлень
右クリックやソースコード表示時に転送する URL を設定します	Встановіть URL-адресу для перенаправлення при натисканні правою кнопкою миші або перегляді вихідного коду.
警告メッセージにはHTMLは使用できません	HTML не можна використовувати для попереджувальних повідомлень
この画面で設定すると、高度な設定タブにある言語設定が無視されます	Якщо встановлено на цьому екрані, налаштування мови на вкладці розширених налаштувань ігноруються
以下の文字列が使用できます	Можна використовувати наступні рядки
改行	новий рядок
押下されたキー	Натиснута клавіша
Neo HTML Protector 設定	Налаштування Neo HTML Protector
メッセージ	Повідомлення.
デザイン・音	Дизайн і звук
初期化	ініціалізація
このプラグインについて	Про цей плагін.
設定が初期化されました	Налаштування було ініціалізовано.
プラグインを初期化します なおIPログリーダーのデータはここでは削除されません	Ініціалізує плагін Зверніть увагу, що дані IP-зчитувача журналу тут не видаляються.
Neo HTML Protectorについて	Про Neo HTML Protector
このプラグインはあなたのWordpressから出力されるHTMLや画像等を保護し、コンテンツの不正利用から守ることを目的としています。	Цей плагін має на меті захистити HTML, зображення тощо, що виводяться з вашого Wordpress, і захистити його від несанкціонованого використання.
コンテンツを完璧に守ることはできません。しかし可能な限りの方法において警告し、もし何かがあった場合に備えて準備することにより国で定められている方法で解決することができるはずです。	Контент не може бути ідеально захищеним. Однак, попередивши їх усіма можливими способами і будучи готовими, якщо щось трапиться, ви зможете вирішити проблему у встановленому національним законодавством порядку.
もちろん、利用規約やサイトポリシーを充実させる必要があります。このプラグインは利用規約生成アプリではありませんが、そのヒントを与えることができます。	Звичайно, вам потрібно буде вдосконалити свої умови використання та політику сайту. Цей плагін не є додатком для створення умов використання, але він може дати вам підказку.
開発者: 夜桜　なの	Розробник: Нанох Йозакура
バージョン	версія
ビルド	збірка
サポートページ	Сторінка підтримки
ISISちゃん	ISIS chan
Miss. 裏まにら氏歌唱	Міс. співає пан Ураманіра
支援のお願い	Прохання про допомогу.
Neo HTML Protectorをご利用いただき、ありがとうございます！	Дякуємо за використання Neo HTML Protector!
本プラグインの開発と維持には多くの時間と知恵の絞りだしがかかっており、引き続き改善と更新を行っていくための資金を集めるために、もしご支援いただける方がいれば、寄付をお願いできればと思います。	Багато часу і мудрості пішло на розробку і підтримку цього плагіна, і ми будемо вдячні за пожертви, якщо вони допоможуть нам зібрати кошти для подальших поліпшень і оновлень.
寄付について	Про пожертви
寄付は任意であり、強制ではありません。プラグインを無料でご利用いただけるように、どなたでも利用可能です。しかし、開発を継続するためにはご支援が大変ありがたく、少しでもご協力いただけると嬉しいです。	Пожертви є добровільними і не є обов'язковими. Він відкритий для всіх, тому плагін можна використовувати безкоштовно. Однак, ми будемо дуже вдячні за вашу підтримку для продовження розробки і будемо раді допомогти у будь-який спосіб.
ご寄付は、下記のリンクから行っていただけます。日本の方であれば無料で寄付をすることも可能で、更にはアマゾンギフト券で気軽に寄付をすることが可能です。	Пожертви можна зробити за посиланням нижче. Якщо ви з Японії, ви також можете пожертвувати безкоштовно, а крім того, ви можете легко пожертвувати за допомогою подарункових ваучерів Amazon.
寄付先	донор
皆様のご支援があれば、今後も素晴らしいアップデートをお届けできるよう頑張ります！	З вашою підтримкою ми зробимо все можливе, щоб надалі радувати вас чудовими оновленнями!
ご支援いただけることに感謝し、今後ともよろしくお願いいたします。	Ми дякуємо вам за підтримку і сподіваємося на співпрацю з вами в майбутньому.
ライセンス	ліцензія
本プラグインはオープンソースで開発されており、GPL2.0以降のバージョンのライセンスを適用しています。	Плагін розроблено з відкритим вихідним кодом і поширюється за ліцензією GPL 2.0 або пізніших версій.
本プラグインには以下のライブラリを同梱しています	До складу цього плагіна входять такі бібліотеки
本プラグインには以下で生成したアスキーアートのフォント、並びにフォントファイルを同梱しています	Цей плагін містить шрифт і файли шрифтів для ASCII малюнків, згенерованих за допомогою
アスキーアート（AA）作成	Створення ASCII-арту
ラッコ株式会社 利用承諾取得済	ТОВ "Видра" Згода на використання отримана.
巨大文字AAジェネレーター	Гігантський генератор символів AA
LAZE SOFTWARE 利用承諾取得済	Отримано згоду на використання ПЗ LAZE
The Gnome Project 利用承諾取得済	Отримано згоду на використання проекту Gnome
このプラグインには、有限会社イージェーが開発を行い、本プラグイン製作者が作曲した、スーパーファミコン非公認ゲーム「SM調教師瞳3」の楽曲が含まれており、正式にライセンスされています。当該楽曲の使用は、有限会社イージェーよりGPL2.0ライセンスの下で正式に許可を得ています	Цей плагін містить музику з несанкціонованої гри Super Nintendo Entertainment System
一部で使用しているピアノ音源「Keppys YAMAHA C7」は、KaleidonKep99氏が制作したSoundFontであり、ライセンス条件に従って使用しています	Джерело звуку фортепіано "Keppys YAMAHA C7", що використовується в деяких частинах, - SoundFont, створений KaleidonKep99 і використовується відповідно до умов ліцензії.
その他本プラグインの開発にRaspberry Pi5とChatGPTとdeeplを使用しています	Інші Raspberry Pi5, ChatGPT та deepl були використані при розробці цього плагіна
キャッシュプラグインを検出しました キャッシュプラグインが有効化されていると本プラグインは正しく動作しません	Виявлено плагін кешу Цей плагін не працюватиме належним чином, якщо увімкнено плагін кешу.
無効なIPアドレス	Неправильна IP-адреса.
このウェブサイトをご利用いただくには、CookieとJavaScriptを有効にしていただく必要があります	Для використання цього веб-сайту необхідно увімкнути файли cookie та JavaScript.
通常とは異なる方法でのアクセスや操作が検出されました	Виявлено незвичні методи доступу або роботи.
セキュリティ並びにコンテンツ保護のため一部の機能を制限しています	Деякі функції обмежені з міркувань безпеки та захисту контенту.
デバッグモード、コンソールの起動は禁止されています	Режим налагодження та активація консолі заборонені
以下の情報がサーバーに送信されました	На сервер була відправлена наступна інформація
あなたのIPアドレス	Твоя IP-адреса.
あなたの端末とブラウザ	Ваш пристрій і браузер
あなたの押下したキー	Твої натиснуті клавіші.
リダイレクトをします	Перенаправляє.
コンテンツ保護のため一部の機能を制限しています	Деякі функції обмежені для захисту контенту.
右クリックは禁止されています	Клацання правою кнопкою миші заборонено.
あなたが押下したキー	Клавішу, яку ти натиснув.
印刷、PDFへの保存は禁止されています	Друк та збереження у форматі PDF заборонено
スクリーンショットは禁止されています	Скріншоти заборонені.
スクリーンショット、デバッグモード等の起動は禁止されています	Активація скріншотів, режиму налагодження тощо заборонена.
ページの保存は禁止されています	Збереження сторінок заборонено.
コピー、カットは禁止されています	Копіювання та вирізання заборонено.
あなたが起こしたイベント	Події, які ти спричинив.
テキストの選択は禁止されています	Виділення тексту заборонено.
HTMLソース表示は禁止されています	Відображення HTML-джерел заборонено.
不正アクセスは禁止されています	Несанкціонований доступ заборонений.
アラビア語	Арабська
ブルガリア語	Болгарська
チェコ語	Чеська
デンマーク語	Данська
ドイツ語	Німецька
現代ギリシア語	сучасна грецька мова
英語	Англійська
イギリス英語	Британська англійська
アメリカ英語	Американська англійська
スペイン語	Іспанська
エストニア語	Естонська
フィンランド語	Фінська
フランス語	Французька
ハンガリー語	угорська
インドネシア語	Індонезійська
イタリア語	Італійська
日本語	Японська
朝鮮語	Корейська
リトアニア語	Литовська
ラトビア語	Латиська
ノルウェー語	Норвезька
オランダ語	Голландська
ポーランド語	Польська
ポルトガリア語	Португальська
ブラジルポルトガル語	Бразильська португальська
ヨーロピアンポルトガル語	Європейська португальська
ルーマニア語	Румунська
ロシア語	Російська
スロバキア語	Словацька
スロベニア語	Словенська
スウェーデン語	Шведська
トルコ語	Турецька
ウクライナ語	Українська
中国語	Китайська
簡体中国語	Спрощена китайська мова
繁体中国語	традиційна китайська мова
不正なリクエストです	Неправильний запит.
画像が見つかりません	Зображення не знайдено.
画像botをHTMLに対し避けることにより、画像検索から直接リンクされることによって守れなかったコンテンツを守ることができます、ただし完全には対処することはできません	Уникнення ботів зображень у HTML захищає контент, який не можна захистити прямими посиланнями, від пошуку зображень, хоча повністю вирішити цю проблему неможливо.
無効なUAをアクセス禁止にする	Заборонити доступ до недійсних UA.
ユーザーエイジェントの文字に不正な文字列があった場合のアクセスを避けます	Уникайте доступу, якщо в агенті користувача вказано неприпустимий рядок символів.
Internet Explorerと旧Microsoft Edgeのアクセスに警告を表示する	Попередження для Internet Explorer і колишнього доступу до Microsoft Edge.
Internet Explorerと旧Microsoft Edgeのアクセスを避けます	Уникайте доступу до Internet Explorer та колишнього Microsoft Edge.
このプラグインには有限会社イージェーが開発を行い、本プラグイン製作者が作曲した、スーパーファミコン非公認ゲーム「SM調教師瞳3」の楽曲を含んでおり、正式にライセンスされています	Цей плагін містить музику з несанкціонованої гри для Super Nintendo Entertainment System
このプラグインには、Keppy氏（KaleidonKep99）によって作成された「Keppy s YAMAHA C7」を使用した楽曲が含まれており、正式にライセンスされています	Цей плагін містить музику з використанням композиції "Keppy s YAMAHA C7", створеної Keppy
現在ご利用のブラウザーはサポート対象外の旧バージョンです。より安全で快適な閲覧環境のため、最新のブラウザーへのアップデートをお願いいたします	Браузер, який ви зараз використовуєте, є старою версією, яка більше не підтримується. Для безпечнішого та комфортнішого перегляду, будь ласка, оновіть браузер до найновішої версії.
戦闘＆戦闘勝利 - 1分16.3秒 - 630,056bytes - 64kbps - ライセンス：CC2.1 or later	Combat & Battle Victory - 1 min 16.3 sec - 630,056 bytes - 64 kbps - Ліцензія: CC2.1 або новіша
おやじ ショート - 3.8秒 - 32,364bytes - 64kbps - ライセンス GPL2.0 or later (C)EJ	Father Short - 3.8 секунди - 32,364 байт - 64 кбіт/с - ліцензія GPL2.0 або новіша
おやじ ロング - 23.5秒 - 195,578bytes - 64kbps - ライセンス GPL2.0 or later (C)EJ	Father Long - 23.5 секунди - 195,578 байт - 64 кбіт/с - ліцензія GPL2.0 або новіша
ショパン エチュード Op.10-5 黒鍵 打ち込み版 高速版 - 1分0.0秒 - 369,778bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	Шопен Етюд, Op.10-5, чорні клавіші, машинописна версія, швидка версія - 1 хв 0,0 сек - 369,778 байт - 48 кбіт/с - Ліцензія: CC BY-ND 4.0 або новіша
ショパン エチュード Op.10-12 革命 打ち込み版 高速版 - 1分57.6秒 - 724,457bytes - 48kbps -  ライセンス：CC BY-ND 4.0 or later	Шопен Етюд, ор.10-12 Революція, набрана версія, швидка версія - 1 хв 57,6 сек - 724,457 байт - 48 кбіт/с - Ліцензія: CC BY-ND 4.0 або новіша
ショパン スケルツォ 変ロ短調 Op2 打ち込み版 高速短縮版 - 1分48.0秒 - 665,369bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	Шопен Скерцо сі-бемоль мінор, Op2, друкована версія, швидка коротка версія - 1 хв 48,0 сек - 665 369 байт - 48 кбіт/с - ліцензія: CC BY-ND 4.0 або новішої версії
ファンファーレ - 22.3秒 - 183,926bytes - 64kbps - ライセンス：パブリックドメイン	Фанфари - 22.3 секунди - 183,926 байт - 64 кбіт/с - Ліцензія: суспільне надбання
レトロ風ファンファーレ - 2.2秒 - 10,536bytes - 32kbps - ライセンス：パブリックドメイン	Фанфари в ретро-стилі - 2,2 секунди - 10,536 байт - 32 кбіт/с - Ліцензія: суспільне надбання
レトロ風オープン - 42.1秒 - 179,138bytes - 32kbps - ライセンス：パブリックドメイン	Ретро-стиль відкритий - 42.1 секунди - 179,138 байт - 32 кбіт/с - Ліцензія: суспільне надбання
Internet Explorerと旧Microsoft Edge(EdgeHTML)のアクセスに警告を表示する	Попередження для Internet Explorer і колишнього доступу до Microsoft Edge
警告 by ChatGPT - 3.8秒 - 109,700bytes - 256kbps - ライセンス：パブリックドメイン	Сповіщення від ChatGPT - 3.8 секунди - 109,700 байт - 256 кбіт/с - Ліцензія: суспільне надбання
マルウェア検出みたいな緊急感の高い音 その１ by ChatGPT - 3.3秒 - 102,850bytes - 256kbps - ライセンス：パブリックドメイン	Схоже на виявлення шкідливого програмного забезпечення Частина 1 від ChatGPT - 3.3 секунди - 102,850 байт - 256 кбіт/с - Ліцензія: суспільне надбання
マルウェア検出みたいな緊急感の高い音 その２ by ChatGPT - 3.3秒 - 103,122bytes - 256kbps - ライセンス：パブリックドメイン	Схоже на виявлення шкідливого програмного забезпечення Частина 2 від ChatGPT - 3.3 секунди - 103,122 байт - 256 кбіт/с - Ліцензія: суспільне надбання
MRI風サウンド by ChatGPT - 1分14.9秒 - 2,157,371bytes - 256kbps - ライセンス：パブリックドメイン	Звук у стилі МРТ від ChatGPT - 1 хв 14,9 сек - 2,157,371 байт - 256 кбіт/с - Ліцензія: суспільне надбання
