設定	Setélan
おやじ ショート - 3.8秒 - 32,364bytes - 64kbps - ライセンス GPL2.0 or later (C)EJ	Bapa Pondok - 3,8 detik - 32.364 bait - 64 kbps - Lisénsi: GPL 2.0 atawa nu leuwih anyar
おやじ ロング - 23.5秒 - 195,578bytes - 64kbps - ライセンス GPL2.0 or later (C)EJ	Oyaji Long - 23,5 detik - 195.578 bait - 64 kbps - Lisénsi: GPL 2.0 atawa nu leuwih anyar
ショパン エチュード Op.10-5 黒鍵 打ち込み版 高速版 - 1分0.0秒 - 369,778bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	Chopin Étude Op. 10 No. 5
ショパン エチュード Op.10-12 革命 打ち込み版 高速版 - 1分57.6秒 - 724,457bytes - 48kbps -  ライセンス：CC BY-ND 4.0 or later	Chopin Étude Op. 10 No. 12 'Revolution' – vérsi dijieun ku komputer, vérsi laju luhur – 1 menit 57,6 detik – 724.457 bait – 48 kbps – Lisénsi: CC BY-ND 4.0 atawa nu leuwih anyar
ショパン スケルツォ 変ロ短調 Op2 打ち込み版 高速短縮版 - 1分48.0秒 - 665,369bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	Chopin: Scherzo dina B-mol minor, Op. 2 – vérsi dijieun ku komputer, vérsi ringkes laju-luhur – 1 menit 48,0 detik – 665.369 bait – 48 kbps – Lisénsi: CC BY-ND 4.0 atawa nu leuwih anyar
リスト 超絶技巧練習曲 4番 マゼッパ 打ち込み版 高速短縮版 - 1分51.6秒 - 687,586bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	Daptar: Étude d'Exécution No. 4 'Mazeppa'
ファンファーレ - 22.3秒 - 183,926bytes - 64kbps - ライセンス：パブリックドメイン	Fanfare – 22,3 detik – 183.926 bait – 64 kbps – Lisénsi: Domain Umum
レトロ風ファンファーレ - 2.2秒 - 10,536bytes - 32kbps - ライセンス：パブリックドメイン	Fanfare gaya retro – 2,2 detik – 10.536 bait – 32 kbps – Lisénsi: Domain Umum
レトロ風オープン - 42.1秒 - 179,138bytes - 32kbps - ライセンス：パブリックドメイン	Intro gaya retro – 42,1 detik – 179.138 bait – 32 kbps – Lisénsi: Domain Umum
警告 by ChatGPT - 3.8秒 - 109,700bytes - 256kbps - ライセンス：パブリックドメイン	Peringatan ku ChatGPT - 3,8 detik - 109.700 bait - 256 kbps - Lisénsi: Domain Umum
マルウェア検出みたいな緊急感の高い音 その１ by ChatGPT - 3.3秒 - 102,850bytes - 256kbps - ライセンス：パブリックドメイン	Sora darurat luhur siga béwara deteksi malware – Bagéan 1 ku ChatGPT – 3,3 detik – 102.850 bait – 256 kbps – Lisénsi: Domain Umum
マルウェア検出みたいな緊急感の高い音 その２ by ChatGPT - 3.3秒 - 103,122bytes - 256kbps - ライセンス：パブリックドメイン	Sora darurat luhur siga béwara deteksi malware, Bagéan 2 ku ChatGPT - 3,3 detik - 103.122 bait - 256 kbps - Lisénsi: Domain Umum
MRI風サウンド by ChatGPT - 1分14.9秒 - 3,340,392bytes - 320kbps - ライセンス：パブリックドメイン	Sora gaya MRI ku ChatGPT – 1 menit 14,9 detik – 3.340.392 bait – 320 kbps – Lisénsi: Domain Umum
警告表示中のBGMを選択します	Pilih musik latar pikeun diputer nalika aya peringatan.
びっくりするような雰囲気を作ります	Éta nyiptakeun suasana anu matak héran
Firefoxでは音声ブロックされます	Audio diblokir di Firefox
対象アクションを起こした時のビープ音	Beep nalika tindakan anu ditangtukeun dilakukeun
有効 音量小さ目	Hurung, sora handap
有効 音量大き目	Aktif, volume disetél ka luhur
警告表示中にすべてのキー・マウスイベントでビープ音を鳴らします	Sora bip bakal kadéngé pikeun sakabéh kajadian konci jeung beurit, bari peringatan dipidangkeun.
警告表示中に端末が暴走したかのような雰囲気を作ります	Éta nyieun kesan yén alatna geus teu karuan nalika peringatan éta dipidangkeun.
対象アクションを起こした時のマウスカーソルの消去	Nyumputkeun kursor beurit nalika hiji tindakan husus dilakukeun
警告表示中にブラウザのエリアのマウスカーソルを消去します	Nyumputkeun kursor beurit di wewengkon panyungsi nalika aya peringatan nu dipidangkeun
デバッグモード	Mode debug
妨害＋記録のみ	Gangguan + Rekaman wungkul
妨害＋記録＋表示＋リダイレクト	Gangguan + Pencatetan + Tampilan + Pangalihan
メニューからは操作できてしまいます	Anjeun masih tiasa ngaksésna ngaliwatan ménu.
Firefoxにおけるデバッグモード	Mode debug dina Firefox
ブラウザーコンソール	Konsol panyungsi
事実上デバッグモードから操作できてしまいます	Sabenerna, anjeun tiasa ngajalankeunana tina mode debug.
HTMLソース表示	Tingali sumber HTML
view-source:から始まるURLを入力すれば操作できてしまいます	Anjeun tiasa ngalaksanakeun operasi éta sacara basajan ku ngetik URL anu dimimitian ku 'view-source:'
HTML保護と組み合わせることでコンテンツを保護することができます	Anjeun tiasa ngajagi eusi anjeun ku ngagabungkeun ieu jeung panyalindungan HTML.
印刷	Cétak
印刷阻止をするもものの、ブラウザによってはうまく動作しません	Sanajan nyegah nyitak, éta bisa jadi henteu jalan leres dina sababaraha panyungsi wéb.
スクリーンショット	Tangkapan layar
OSやブラウザ、方法によっては妨害できず、もしくは検出しないことがあります	Gumantung kana sistem operasi, panyungsi wéb, atawa métode anu dianggo, bisa jadi teu mungkin pikeun ngahalangan ieu, atawa bisa jadi teu kadeteksi.
ウインドウが背面に移動した時スクリーンショットの疑い	Dugaan screenshot nalika jandéla pindah ka latar tukang
あわせて、スクリーンショット以外の機能（タブ切り替え・ウィンドウ切り替え）にも反応してしまいます。	Éta ogé ngaréspon kana fungsi séjén salian ti nyandak tangkapan layar
2キー押下のスクリーンショットの疑い	Dugaan screenshot dicandak ku mencét dua konci
上の項目の検出方法は完全ではありません、予防的に検出を行います	Métode deteksi pikeun barang-barang di luhur henteu sampurna; deteksi dilaksanakeun salaku léngkah pancegahan.
スクリーンショットだけではなく、デバッグモード等も検出します	Éta ngadeteksi henteu ngan ukur tangkapan layar tapi ogé mode debug jeung sajabana.
ページ保存	Simpen kaca
右クリック	Klik katuhu
アドオンがインストールされていると操作できてしまいます	Lamun add-on geus dipasang, anjeun bakal bisa ngagunakeunana.
コピー・カット	Salin jeung potong
本プラグインの設定によってはこのイベントにたどり着くことはほとんどない場合があります	Gumantung kana setélan plugin ieu, anjeun bisa jarang ngalaman kajadian ieu.
テキスト全選択	Pilih sadaya téks
テキスト選択	Pilih téks
デバッガー起動ログ、デバッガー妨害	Log ngamimitian debugger, gangguan debugger
デバッグモードの使い勝手を少し悪くし、デバッガを起動したことをログに残します、ブラウザによってはこの挙動が止められてしまいます	Ieu ngajadikeun mode debug rada kirang ramah-pamaké jeung nyatet yén debugger geus diluncurkeun; sanajan kitu, sababaraha panyungsi wéb bisa ngahalangan paripolah ieu.
リダイレクトするURL	Alihkeun URL
利用規約などのページに転送すると良いでしょう	Éta bakal janten ide anu saé pikeun ngarahkeun pangguna ka halaman sapertos Syarat Pamakéan.
空欄にすると元のURLにリダイレクトをします	Lamun dibiarkeun kosong, éta bakal ngarahkeun deui ka URL aslina.
リダイレクトまでの時間	Waktos nepi ka pangalihan
リダイレクトなし	Teu aya pangalihan
1秒	1 detik
2秒	2 detik
3秒	Tilu detik
4秒	4 detik
5秒	Lima detik
6秒	Genep detik
7秒	7 detik
8秒	Dalapan detik
9秒	9 detik
10秒	10 detik
15秒	15 detik
20秒	20 detik
25秒	25 detik
30秒	30 detik
35秒	35 detik
40秒	40 detik
45秒	45 detik
50秒	50 detik
55秒	55 detik
1分	1 menit
1分10秒	1 menit 10 detik
1分20秒	1 menit 20 detik
1分30秒	Hiji menit tilu puluh detik
1分40秒	1 menit 40 detik
1分50秒	1 menit 50 detik
2分	Dua menit
ソース表示を許可する権限	Idin pikeun ningali kode sumber
ADMINログイン時のみ通常のソース出力	Kaluaran sumber normal ngan ukur nalika asup salaku ADMIN
USERログインで通常のソース出力	Kaluaran sumber normal nalika log in salaku USER
通常のHTML出力を管理者のみかユーザーログインかを選択します	Pilih naha kaluaran HTML standar diwatesan ngan pikeun administratur atawa merlukeun login pamaké.
画像を無理やりダウンロードして実際にダウンロードされるもの	Memaksa hiji gambar pikeun diunduh jeung naon anu sabenerna diunduh
GIF形式で1×1ピクセルの透過画像	Gambar transparan 1×1 piksel dina format GIF
PNG形式で1×1ピクセルの透過画像	Gambar transparan 1×1 piksel dina format PNG
PNG形式で黄色い背景の警告画面	Layar peringatan kalayan latar tukang konéng dina format PNG
意味のないHTMLドキュメント	Dokumén HTML anu teu aya hartina
HTML保護時のHEADタグの出力	Kaluaran tag HEAD nalika HTML dilindungi
出力しない	Ulah nyitak
TITLEタグのみ	Hanya tag judul
WordpressのHEADタグより取得	Diambil tina tag HEAD WordPress
企業用途の会員専用ページや社内ページなどでは「出力しない」、「TITLEタグのみ」で良いでしょう	Pikeun kaca anggota husus pamakean korporat jeung kaca internal, milih 'Do not output' atawa 'TITLE tag only' geus cukup.
WordpressのHEADタグから取得しないと、SNSのシェアでOGP画像が表示されません	Kacuali anjeun nyokot inpormasi tina tag HEAD WordPress, gambar OGP moal muncul nalika dibagikeun dina média sosial.
画像botをアクセス禁止にする	Blok bot gambar
画像botをHTMLに対し避けることにより、画像検索から直接リンクされることによって守れなかったコンテンツを守ることができます、ただし完全には対処することはできません	Ku nyegah bot gambar ngaksés HTML, anjeun tiasa ngajagi eusi anu teu tiasa dilindungi tina tautan langsung ngaliwatan pilarian gambar; sanajan kitu, ieu sanés solusi anu pasti.
AI学習用botをアクセス禁止にする	Blok aksés ka bot latihan AI
AIの学習用のbotをHTMLに対し避けることにより、AIで利用されないようにします、ただし完全には対処することはできません	Ku nyingkahan pamakéan bot nu dirancang pikeun latihan AI dina HTML, urang mastikeun yén eusi éta henteu dipaké ku AI; sanajan kitu, ieu teu bisa dicegah sacara lengkep.
ウェブアーカイブ、ウェブ魚拓をアクセス禁止にする	Blok aksés kana arsip wéb jeung cuplikan wéb
自動的に収集されるウェブアーカイブ並びにユーザーの任意で取得される魚拓のアクセスを禁止します、ただし完全には対処することはできません	Kami ngalarang aksés kana arsip wéb anu dikumpulkeun sacara otomatis jeung tangkapan layar anu dicandak nurutkeun kaputusan pamaké; sanajan kitu, kami teu tiasa nyegahna sacara lengkep.
無効なUAをアクセス禁止にする	Blok agén pangguna anu teu sah
ユーザーエイジェントの文字に不正な文字列があった場合のアクセスを避けます	Nyegah aksés lamun string user agent ngandung karakter anu teu sah
Internet Explorerと旧Microsoft Edge(EdgeHTML)のアクセスに警告を表示する	Témbongkeun peringatan nalika ngaksés Internet Explorer jeung Microsoft Edge heubeul
Internet Explorerと旧Microsoft Edgeのアクセスを避けます	Nyegah aksés ngaliwatan Internet Explorer jeung Microsoft Edge heubeul
alertメッセージを表示する言語	Basa anu dipaké pikeun nembongkeun pesen bewara
Wordpressの言語	Basa-basa WordPress
ブラウザの設定言語	Setélan basa panyungsi
メッセージをカスタム設定されている場合は言語を変更できません	Anjeun teu tiasa ngarobih basa lamun pesen-pesenna geus disaluyukeun.
同意画面の言語	Basa tina layar idin
view-sourceメッセージを表示する言語	Basa pikeun nembongkeun pesen 'view-source'
一時使用トークンの有効期限	Tanggal kadaluwarsa token samentara
3分	Tilu menit
4分	Opat menit
5分	Lima menit
6分	Genep menit
7分	7 menit
8分	Dalapan menit
9分	Salapan menit
10分	10 menit
15分	Lima belas menit
20分	20 menit
25分	25 menit
30分	Tilu puluh menit
35分	35 menit
40分	40 menit
45分	45 menit
50分	Lima puluh menit
55分	Lima puluh lima menit
1時間	Saatuh jam
画像URL情報の有効期限を設定します	Atur tanggal kadaluwarsa pikeun inpormasi URL gambar
一度読み込まれると画像URL情報と一時使用トークンは無効化されます	Sakali dimuat, URL gambar jeung token samentara bakal dinyatakeun teu sah.
画像は遅延読み込みされますが、この指定した時間の30秒前に強制的に画像が読み込まれます	Gambar dimuat nalika dipénta, tapi bakal dimuat sacara otomatis 30 detik saméméh waktos anu ditangtukeun.
一時使用トークンのビット数	Jumlah bit dina token samentara
画像URL情報を暗号化するのに一時使用トークンをパスワードとして使用しますが、その強度を指定します	Token samentara dipaké salaku kecap konci pikeun énkripsi informasi URL gambar; pangaturan ieu nangtukeun kakuatanana.
ドロップダウンメニューの下に表示される選択肢にいくにつれて強度が強くなるものの、サーバーへの負荷が高くなり、HTML転送量が多くなることがあります	Sanajan pilihan anu dipidangkeun di handapeun ménu turun-handap jadi leuwih jéntré nalika anjeun ngagulung ka handap, ieu tiasa ningkatkeun beban server sareng nyababkeun transfer data HTML anu langkung seueur.
ハッシュ化アルゴリズム	Algoritma hash
画像URL情報を暗号化するのに一時使用トークンをパスワードとして使用しますが、その時ハッシュ化が必要です、その強度を設定します	Token samentara dipaké salaku kecap konci pikeun énkripsi informasi URL gambar; ieu merlukeun hashing, sarta setélan ieu nangtukeun kakuatan hashing éta.
ドロップダウンメニューの下に表示される選択肢にいくにつれて強度が強くなるものの、サーバーへの負荷が高くなります	Sanajan inténsitina ningkat nalika anjeun ngagulung ka handap ngaliwatan pilihan anu dipidangkeun dina ménu turun-handap, ieu nambahan beban anu leuwih gedé kana sérver.
基本設定	Setélan dasar
高度な設定	Setélan lanjut
初期設定に戻す	Mbalikeun setélan standar
デザイン・音の設定	Desain jeung setélan sora
イベントの設定	Setélan acara
初回訪問時のお知らせの設定	Nyetél bewara pikeun kunjungan munggaran
メッセージの設定	Setélan pesen
右クリックやソースコード表示時に転送する URL を設定します	Atur URL anu bakal dibuka nalika ngeklik katuhu atawa ningali kode sumber
警告メッセージにはHTMLは使用できません	HTML teu tiasa dianggo dina pesen peringatan
この画面で設定すると、高度な設定タブにある言語設定が無視されます	Lamun anjeun nyetel ieu dina layar ieu, setélan basa dina tab Advanced bakal diabaikan.
以下の文字列が使用できます	Runtuyan karakter di handap ieu tiasa dianggo
改行	Pecah baris
押下されたキー	Konci diteken
Neo HTML Protector 設定	Setélan Neo HTML Protector
お知らせ	Pangéling
メッセージ	Pesen
デザイン・音	Desain jeung Sora
初期化	Inisialisasi
このプラグインについて	Ngeunaan plugin ieu
設定が初期化されました	Setélan parantos diatur deui
プラグインを初期化します なおIPログリーダーのデータはここでは削除されません	Inisialisasi plugin. Punten dicatet yén data IP Log Reader moal dihapus dina tahap ieu.
Neo HTML Protectorについて	Ngeunaan Neo HTML Protector
このプラグインはあなたのWordpressから出力されるHTMLや画像等を保護し、コンテンツの不正利用から守ることを目的としています。	Plugin ieu dirancang pikeun ngajaga HTML, gambar, jeung eusi séjén anu dihasilkeun ku situs WordPress anjeun, ngajaga éta tina pamakéan tanpa idin.
コンテンツを完璧に守ることはできません。しかし可能な限りの方法において警告し、もし何かがあった場合に備えて準備することにより国で定められている方法で解決することができるはずです。	Henteu mungkin ngajagi eusi sacara sampurna. Sanajan kitu, ku masihan peringatan di mana waé mungkin jeung nyiapkeun diri upami aya kajadian naon waé, urang kedah tiasa ngaréngsékeun masalah éta saluyu jeung prosedur anu ditetepkeun ku pamaréntah.
もちろん、利用規約やサイトポリシーを充実させる必要があります。このプラグインは利用規約生成アプリではありませんが、そのヒントを与えることができます。	Tangtosna, anjeun kedah mastikeun yén istilah palayanan jeung kabijakan situs anjeun lengkep. Sanajan plugin ieu sanés alat pikeun ngahasilkeun istilah palayanan, éta tiasa masihan sababaraha pituduh.
開発者: 夜桜　なの	Pamekar: Nano Yozakura
バージョン	Versi
ビルド	Ngawangun
サポートページ	Halaman dukungan
ISISちゃん	ISIS chan
Miss. 裏まにら氏歌唱	Dipentaskeun ku Nona Ura Manira
支援のお願い	Pamenta dukungan
Neo HTML Protectorをご利用いただき、ありがとうございます！	Hatur nuhun parantos ngagunakeun Neo HTML Protector!
本プラグインの開発と維持には多くの時間と知恵の絞りだしがかかっており、引き続き改善と更新を行っていくための資金を集めるために、もしご支援いただける方がいれば、寄付をお願いできればと思います。	Pangembangan jeung pangropéa plugin ieu merlukeun loba waktos jeung usaha, sarta pikeun ngumpulkeun dana supaya bisa terus ningkatkeun jeung ngapdetna, kami ngaharepkeun saha waé anu mampuh ngadukung kami daék nyumbang.
寄付について	Ngeunaan Sumbangan
寄付は任意であり、強制ではありません。プラグインを無料でご利用いただけるように、どなたでも利用可能です。しかし、開発を継続するためにはご支援が大変ありがたく、少しでもご協力いただけると嬉しいです。	Sumbangan téh sacara sukarela, henteu wajib. Plugin ieu sayogi pikeun sadayana sacara gratis. Nanging, dukungan anjeun pisan dihargaan pikeun ngabantosan kami neruskeun pamekaran, sareng kami bakal bungah upami anjeun tiasa nyumbang sanajan saeutik.
ご寄付は、下記のリンクから行っていただけます。日本の方であれば無料で寄付をすることも可能で、更にはアマゾンギフト券で気軽に寄付をすることが可能です。	Anjeun tiasa nyumbang ngaliwatan tautan di handap. Lamun anjeun cicing di Jepang, anjeun tiasa nyumbang gratis, sarta anjeun ogé tiasa gampang nyumbang ngagunakeun voucher kado Amazon.
寄付先	Amal
皆様のご支援があれば、今後も素晴らしいアップデートをお届けできるよう頑張ります！	Kalayan dukungan anjeun, kami bakal ngalakukeun anu pangsaéna pikeun terus nyayogikeun apdet anu hebat!
ご支援いただけることに感謝し、今後ともよろしくお願いいたします。	Kami ngahaturkeun nuhun kana dukungan anjeun sareng ngarepkeun dukungan anjeun anu teras-terasan di mangsa nu bakal datang.
ライセンス	Izin
