設定	настройка
ショパン スケルツォ 変ロ短調 Op2 打ち込み版 高速短縮版 - 1分48.0秒 - ライセンス：CC BY-ND 4.0 or later	Шопен Скерцо си-бемоль минор, Op2, печатная версия, быстро сокращенная версия - 1 мин 48,0 сек - Лицензия: CC BY-ND 4.0 или более поздняя
ファンファーレ - 22.3秒 - ライセンス：パブリックドメイン	Фанфары - 22,3 секунды - Лицензия: общественное достояние
レトロ風ファンファーレ - 2.2秒 - ライセンス：パブリックドメイン	Фанфары в ретро-стиле - 2,2 с - Лицензия: общественное достояние
レトロ風オープン - 42.1秒 - ライセンス：パブリックドメイン	Ретро-стиль открыт - 42,1 с - Лицензия: общественное достояние
警告表示中のBGMを選択します	Выберите фоновую музыку во время отображения предупреждений.
びっくりするような雰囲気を作ります	Создайте удивительную атмосферу
Firefoxでは音声ブロックされます	Firefox блокирует звук.
対象アクションを起こした時のビープ音	Звуковой сигнал при выполнении целевого действия.
有効 音量小さ目	Включено Низкая громкость
有効 音量大き目	Включено Самая громкая громкость
警告表示中にすべてのキー・マウスイベントでビープ音を鳴らします	Звуковые сигналы при любом нажатии клавиш/мыши во время отображения предупреждения
警告表示中に端末が暴走したかのような雰囲気を作ります	Создайте атмосферу, как будто устройство вышло из-под контроля во время предупреждающей индикации
対象アクションを起こした時のマウスカーソルの消去	Стирание курсора мыши при выполнении целевого действия.
警告表示中にブラウザのエリアのマウスカーソルを消去します	Убрать курсор мыши в области браузера во время отображения предупреждения
デバッグモード	режим отладки
妨害＋記録のみ	Помехи + только запись.
妨害＋記録＋表示＋リダイレクト	Перехват + запись + отображение + перенаправление
メニューからは操作できてしまいます	Им можно управлять из меню.
Firefoxにおけるデバッグモード	Режим отладки в Firefox
ブラウザーコンソール	консоль браузера
事実上デバッグモードから操作できてしまいます	По сути, вы можете работать в режиме отладки.
HTMLソース表示	Отображение источника HTML
view-source:から始まるURLを入力すれば操作できてしまいます	Им можно управлять, введя URL-адрес, начинающийся с view-source:.
HTML保護と組み合わせることでコンテンツを保護することができます	В сочетании с защитой HTML содержимое может быть защищено
印刷	Печать
印刷阻止をするもものの、ブラウザによってはうまく動作しません	Блокировка печати, но не работает в некоторых браузерах
スクリーンショット	скриншот
OSやブラウザ、方法によっては妨害できず、もしくは検出しないことがあります	В зависимости от операционной системы, браузера и метода могут быть не перехвачены или не обнаружены.
ウインドウが背面に移動した時スクリーンショットの疑い	Подозрение на скриншоты, когда окна сдвинуты назад.
あわせて、スクリーンショット以外の機能（タブ切り替え・ウィンドウ切り替え）にも反応してしまいます。	Кроме того, он реагирует и на другие функции, помимо скриншотов
2キー押下のスクリーンショットの疑い	Подозрение на скриншоты с двумя нажатиями клавиш.
上の項目の検出方法は完全ではありません、予防的に検出を行います	Метод обнаружения вышеуказанных предметов не является совершенным, поэтому используется превентивное обнаружение.
スクリーンショットだけではなく、デバッグモード等も検出します	Он обнаруживает скриншоты, а также режимы отладки и т. д.
ページ保存	сохранение страницы
右クリック	щелкните правой кнопкой мыши
アドオンがインストールされていると操作できてしまいます	Им можно управлять, если установлены дополнения.
コピー・カット	копировально-множительный
本プラグインの設定によってはこのイベントにたどり着くことはほとんどない場合があります	В зависимости от конфигурации этого плагина, это событие может достигаться редко
テキスト全選択	выбор полного текста
テキスト選択	выделение текста
デバッガー妨害	вмешательство отладчика
デバッグモードの使い勝手を少し悪くします、ブラウザによってはこの挙動が止められてしまいます	Делает режим отладки немного менее удобным для пользователя, некоторые браузеры не допускают такого поведения
リダイレクトするURL	URL-адрес для перенаправления
利用規約などのページに転送すると良いでしょう	Возможно, вы захотите переадресовать их на такие страницы, как Условия использования.
空欄にすると元のURLにリダイレクトをします	Если оставить пустым, то произойдет перенаправление на исходный URL
リダイレクトまでの時間	Время перенаправить.
リダイレクトなし	Нет перенаправления
1秒	1 секунда
2秒	2 сек.
3秒	3 сек.
4秒	4 сек.
5秒	5 сек.
6秒	6 сек.
7秒	7 сек.
8秒	8 сек.
9秒	9 сек.
10秒	10 сек.
15秒	15 секунд.
20秒	20 сек.
25秒	25 сек.
30秒	30 секунд.
35秒	35 секунд.
40秒	40 секунд.
45秒	45 секунд.
50秒	50 сек.
55秒	55 сек.
1分	одна минута
1分10秒	1 мин 10 сек.
1分20秒	1 мин 20 сек.
1分30秒	1 минута 30 секунд.
1分40秒	1 минута 40 секунд.
1分50秒	1 минута 50 секунд.
2分	2 минуты
ソース表示を許可する権限	Полномочия по разрешению показа источника.
ADMINログイン時のみ通常のソース出力	Нормальный выход источника только при входе в систему ADMIN
USERログインで通常のソース出力	Нормальный выход источника с логином USER
通常のHTML出力を管理者のみかユーザーログインかを選択します	Выберите, будет ли обычный HTML-вывод предназначен только для администраторов или для входа пользователей.
画像を無理やりダウンロードして実際にダウンロードされるもの	Что на самом деле загружается, заставляя загружать изображение.
GIF形式で1×1ピクセルの透過画像	Прозрачное изображение размером 1 x 1 пиксель в формате GIF.
PNG形式で1×1ピクセルの透過画像	Прозрачное изображение размером 1 x 1 пиксель в формате PNG.
PNG形式で黄色い背景の警告画面	Предупреждающий экран с желтым фоном в формате PNG.
意味のないHTMLドキュメント	Бессмысленные HTML-документы
HTML保護時のHEADタグの出力	Вывод тегов HEAD при защите HTML
出力しない	Нет выхода
TITLEタグのみ	Только тег TITLE
WordpressのHEADタグより取得	Извлекается из тега HEAD в Wordpress
企業用途の会員専用ページや社内ページなどでは「出力しない」、「TITLEタグのみ」で良いでしょう	Для корпоративного использования, например, для страниц, предназначенных только для членов клуба или внутренних страниц, подойдет "без вывода" или "только тег TITLE".
WordpressのHEADタグから取得しないと、SNSのシェアでOGP画像が表示されません	Изображения OGP не будут отображаться в социальных сетях, если они не взяты из тега Wordpress HEAD
画像botをアクセス禁止にする	Запрет имидж-бота.
画像botをHTMLに対し避けることにより、画像検索から直接リンクされることによって守れなかったコンテンツを守ることができます	Избегая ботов для изображений по отношению к HTML, вы защищаете контент, который не может быть защищен прямыми ссылками из поиска по изображениям.
AI学習用botをアクセス禁止にする	Запрет доступа к обучающим ботам с искусственным интеллектом.
AIの学習用のbotをHTMLに対し避けることにより、AIで利用されないようにします、ただし完全には対処することはできません	Отказ обучающегося бота ИИ от HTML предотвращает его использование ИИ, но не решает проблему полностью.
alertメッセージを表示する言語	Язык, на котором отображается сообщение о предупреждении.
Wordpressの言語	Языки Wordpress.
ブラウザの設定言語	Язык настроек браузера
メッセージをカスタム設定されている場合は言語を変更できません	Язык не может быть изменен, если сообщение настроено
view-sourceメッセージを表示する言語	Язык, на котором отображаются сообщения источника представления.
一時使用トークンの有効期限	Срок действия жетонов временного пользования.
3分	3 мин.
4分	4 мин.
5分	5 мин.
6分	6 мин.
7分	7 минут
8分	8 мин.
9分	9 мин.
10分	10 мин.
15分	15 мин.
20分	20 минут.
25分	25 минут.
30分	30 минут.
35分	35 минут.
40分	40 минут.
45分	45 минут.
50分	50 минут.
55分	55 минут.
1時間	1 час
画像URL情報の有効期限を設定します	Устанавливает дату истечения срока действия информации URL-адреса изображения.
一度読み込まれると画像URL情報と一時使用トークンは無効化されます	После загрузки информация об URL-адресе изображения и маркеры временного использования отключаются
画像は遅延読み込みされますが、この指定した時間の30秒前に強制的に画像が読み込まれます	Изображение будет загружаться лениво, но за 30 секунд до указанного времени оно будет загружено принудительно.
一時使用トークンのビット数	Количество битов в жетонах временного пользования
画像URL情報を暗号化するのに一時使用トークンをパスワードとして使用しますが、その強度を指定します	Указывает силу маркера временного использования, используемого в качестве пароля для шифрования информации URL-адреса изображения.
ドロップダウンメニューの下に表示される選択肢にいくにつれて強度が強くなるものの、サーバーへの負荷が高くなり、HTML転送量が多くなることがあります	Хотя интенсивность увеличивается по мере перехода к опциям, перечисленным ниже в выпадающем меню, нагрузка на сервер выше, а объем передаваемого HTML может быть больше
ハッシュ化アルゴリズム	алгоритм хэширования
画像URL情報を暗号化するのに一時使用トークンをパスワードとして使用しますが、その時ハッシュ化が必要です、その強度を設定します	Временные маркеры используются как пароли для шифрования информации URL изображения, но они должны быть хэшированы, задайте силу хэширования.
ドロップダウンメニューの下に表示される選択肢にいくにつれて強度が強くなるものの、サーバーへの負荷が高くなります	Интенсивность увеличивается по мере перехода к опциям, перечисленным в выпадающем меню, но при этом возрастает нагрузка на сервер
基本設定	базовая настройка
高度な設定	Дополнительные настройки
初期設定に戻す	сброс настроек по умолчанию
デザイン・音の設定	Дизайн и настройки звука
イベントの設定	Конфигурация события.
メッセージの設定	Настройки сообщений
右クリックやソースコード表示時に転送する URL を設定します	Установите URL-адрес, который будет пересылаться при щелчке правой кнопкой мыши или просмотре исходного кода.
警告メッセージにはHTMLは使用できません	HTML нельзя использовать для предупреждающих сообщений
この画面で設定すると、高度な設定タブにある言語設定が無視されます	Если установить этот параметр на этом экране, настройки языка на вкладке "Дополнительные настройки" будут игнорироваться
以下の文字列が使用できます	Можно использовать следующие строки
改行	новая линия
押下されたキー	Нажатая клавиша
Neo HTML Protector 設定	Настройки Neo HTML Protector
メッセージ	Сообщение.
デザイン・音	Дизайн и звук
初期化	инициализация
このプラグインについて	Об этом плагине.
設定が初期化されました	Настройки были инициализированы.
プラグインを初期化します なおIPログリーダーのデータはここでは削除されません	Инициализация плагина Обратите внимание, что данные считывателя IP-журнала здесь не удаляются.
Neo HTML Protectorについて	О программе Neo HTML Protector
このプラグインはあなたのWordpressから出力されるHTMLや画像等を保護し、コンテンツの不正利用から守ることを目的としています。	Этот плагин предназначен для защиты HTML, изображений и т.д., выводимых на ваш Wordpress, и защиты от несанкционированного использования его содержимого.
コンテンツを完璧に守ることはできません。しかし可能な限りの方法において警告し、もし何かがあった場合に備えて準備することにより国で定められている方法で解決することができるはずです。	Контент не может быть идеально защищен. Однако, предупреждая их всеми возможными способами и будучи готовыми к тому, что что-то произойдет, вы сможете решить проблему в установленном порядке.
もちろん、利用規約やサイトポリシーを充実させる必要があります。このプラグインは利用規約生成アプリではありませんが、そのヒントを与えることができます。	Конечно, вам нужно будет улучшить условия использования и политику сайта. Этот плагин не является приложением для создания условий использования, но он может дать вам подсказку.
開発者: 夜桜　なの	Разработчик: Нанох Ёзакура
バージョン	версия
ビルド	построить
サポートページ	Страница поддержки
ISISちゃん	ISIS chan
Miss. 裏まにら氏歌唱	Мисс в исполнении господина Ураманиры
支援のお願い	Просьба о помощи.
Neo HTML Protectorをご利用いただき、ありがとうございます！	Спасибо за использование Neo HTML Protector!
本プラグインの開発と維持には多くの時間と知恵の絞りだしがかかっており、引き続き改善と更新を行っていくための資金を集めるために、もしご支援いただける方がいれば、寄付をお願いできればと思います。	В разработку и поддержку этого плагина было вложено много времени и мудрости, и мы будем благодарны за пожертвования, если таковые имеются, чтобы помочь нам собрать средства для дальнейших улучшений и обновлений.
寄付について	О пожертвованиях
寄付は任意であり、強制ではありません。プラグインを無料でご利用いただけるように、どなたでも利用可能です。しかし、開発を継続するためにはご支援が大変ありがたく、少しでもご協力いただけると嬉しいです。	Пожертвования являются добровольными и не обязательными. Он открыт для всех, чтобы плагин можно было использовать бесплатно. Тем не менее, ваша поддержка очень ценится для продолжения разработки, и мы будем рады помочь всем, чем сможем.
ご寄付は、下記のリンクから行っていただけます。日本の方であれば無料で寄付をすることも可能で、更にはアマゾンギフト券で気軽に寄付をすることが可能です。	Пожертвования можно сделать по ссылке ниже. Если вы живете в Японии, вы также можете сделать пожертвование бесплатно, а кроме того, вы можете легко пожертвовать, используя подарочные сертификаты Amazon.
寄付先	донор
皆様のご支援があれば、今後も素晴らしいアップデートをお届けできるよう頑張ります！	Благодаря вашей поддержке мы сделаем все возможное, чтобы и в будущем радовать вас отличными обновлениями!
ご支援いただけることに感謝し、今後ともよろしくお願いいたします。	Мы благодарим вас за поддержку и надеемся на сотрудничество с вами в будущем.
ライセンス	лицензия
本プラグインはオープンソースで開発されており、GPL2.0以降のバージョンのライセンスを適用しています。	Плагин был разработан с открытым исходным кодом и лицензирован под GPL 2.0 или более поздними версиями.
本プラグインには以下のライブラリを同梱しています	В состав этого плагина входят следующие библиотеки
本プラグインには以下で生成したアスキーアートのフォント、並びにフォントファイルを同梱しています	Этот плагин включает в себя шрифт и файлы шрифтов для ASCII-изображений, создаваемых
アスキーアート（AA）作成	Создание ASCII-арта
ラッコ株式会社 利用承諾取得済	Otters Ltd Согласие на использование получено.
巨大文字AAジェネレーター	Гигантский генератор персонажей AA
LAZE SOFTWARE 利用承諾取得済	LAZE SOFTWARE Получено согласие на использование
The Gnome Project 利用承諾取得済	Получено согласие на использование проекта Gnome
このプラグインには、有限会社イージェーが開発を行い、本プラグイン製作者が作曲した、スーパーファミコン非公認ゲーム「SM調教師瞳3」の楽曲が含まれており、正式にライセンスされています。当該楽曲の使用は、有限会社イージェーよりGPL2.0ライセンスの下で正式に許可を得ています	Этот плагин содержит музыку из несанкционированной игры для Super Nintendo Entertainment System
一部で使用しているピアノ音源「Keppys YAMAHA C7」は、KaleidonKep99氏が制作したSoundFontであり、ライセンス条件に従って使用しています	Источник звука фортепиано 'Keppys YAMAHA C7', используемый в некоторых частях, является SoundFont, созданным KaleidonKep99 и используемым в соответствии с лицензионными условиями.
その他本プラグインの開発にRaspberry Pi5とChatGPTとdeeplを使用しています	При разработке этого плагина использовались также Raspberry Pi5, ChatGPT и deepl
キャッシュプラグインを検出しました キャッシュプラグインが有効化されていると本プラグインは正しく動作しません	Обнаружен плагин кэша Этот плагин будет работать некорректно, если включен плагин кэша.
無効なIPアドレス	Неверный IP-адрес.
このウェブサイトをご利用いただくには、CookieとJavaScriptを有効にしていただく必要があります	Для использования этого сайта необходимо включить Cookies и JavaScript.
通常とは異なる方法でのアクセスや操作が検出されました	Обнаружены необычные методы доступа или эксплуатации.
セキュリティ並びにコンテンツ保護のため一部の機能を制限しています	Некоторые функции ограничены в целях безопасности и защиты содержимого.
デバッグモード、コンソールの起動は禁止されています	Режим отладки и активация консоли запрещены
以下の情報がサーバーに送信されました	На сервер была отправлена следующая информация
あなたのIPアドレス	Ваш IP-адрес.
あなたの端末とブラウザ	Ваше устройство и браузер
あなたの押下したキー	Ваши нажатые клавиши.
リダイレクトをします	Перенаправления.
コンテンツ保護のため一部の機能を制限しています	Некоторые функции ограничены для защиты содержимого.
右クリックは禁止されています	Щелчок правой кнопкой мыши запрещен.
あなたが押下したキー	Клавиша, которую вы нажали.
印刷、PDFへの保存は禁止されています	Печать и сохранение в PDF запрещены
スクリーンショットは禁止されています	Скриншоты запрещены.
スクリーンショット、デバッグモード等の起動は禁止されています	Активация скриншотов, режима отладки и т.д. запрещена.
ページの保存は禁止されています	Сохранение страниц запрещено.
コピー、カットは禁止されています	Копирование или вырезание запрещено.
あなたが起こしたイベント	События, причиной которых вы стали.
テキストの選択は禁止されています	Выделение текста запрещено.
HTMLソース表示は禁止されています	Показ исходного текста HTML запрещен.
不正アクセスは禁止されています	Несанкционированный доступ запрещен.
アラビア語	Арабский
ブルガリア語	Болгарский
チェコ語	Чешский
デンマーク語	Датский
ドイツ語	Немецкий
現代ギリシア語	современный греческий язык
英語	Английский
イギリス英語	Британский английский
アメリカ英語	Американский английский
スペイン語	Испанский
エストニア語	Эстонский
フィンランド語	Финский
フランス語	Французский
ハンガリー語	Венгерский
インドネシア語	Индонезийский
イタリア語	Итальянский
日本語	Японский
朝鮮語	Корейский
リトアニア語	Литовский
ラトビア語	Латышский
ノルウェー語	Норвежский
オランダ語	Голландский
ポーランド語	Польский
ポルトガリア語	Португальский
ブラジルポルトガル語	Бразильский португальский
ヨーロピアンポルトガル語	Европейский португальский
ルーマニア語	Румынский
ロシア語	Русский
スロバキア語	Словакия
スロベニア語	Словенский
スウェーデン語	Шведский
トルコ語	Турецкий
ウクライナ語	Украинский
中国語	Китайский
簡体中国語	Упрощенный китайский
繁体中国語	традиционный китайский
不正なリクエストです	Неправильный запрос.
画像が見つかりません	Изображение не найдено.
画像botをHTMLに対し避けることにより、画像検索から直接リンクされることによって守れなかったコンテンツを守ることができます、ただし完全には対処することはできません	Избегание ботов для изображений по отношению к HTML защищает контент, который не может быть защищен прямыми ссылками из поиска по изображениям, хотя полностью решить эту проблему невозможно.
無効なUAをアクセス禁止にする	Запрет доступа к недействительным UA.
ユーザーエイジェントの文字に不正な文字列があった場合のアクセスを避けます	Избегайте доступа, если в агенте пользователя есть недопустимая строка символов.
Internet Explorerと旧Microsoft Edgeのアクセスに警告を表示する	Предупреждение для Internet Explorer и бывшего доступа к Microsoft Edge.
Internet Explorerと旧Microsoft Edgeのアクセスを避けます	Избегайте доступа к Internet Explorer и бывшему Microsoft Edge.
このプラグインには有限会社イージェーが開発を行い、本プラグイン製作者が作曲した、スーパーファミコン非公認ゲーム「SM調教師瞳3」の楽曲を含んでおり、正式にライセンスされています	Этот плагин содержит музыку из неавторизованной игры для Super Nintendo Entertainment System
このプラグインには、Keppy氏（KaleidonKep99）によって作成された「Keppy s YAMAHA C7」を使用した楽曲が含まれており、正式にライセンスされています	Этот плагин содержит музыку с использованием 'Keppy s YAMAHA C7', созданную Keppy
現在ご利用のブラウザーはサポート対象外の旧バージョンです。より安全で快適な閲覧環境のため、最新のブラウザーへのアップデートをお願いいたします	Используемый вами браузер - это старая версия, которая больше не поддерживается. Для более безопасной и комфортной работы в Интернете обновите браузер до последней версии.
戦闘＆戦闘勝利 - 1分16.3秒 - 630,056bytes - 64kbps - ライセンス：CC2.1 or later	Бой и боевая победа - 1 мин 16,3 сек - 630,056 байт - 64 кбит/с - Лицензия: CC2.1 или более поздняя.
おやじ ショート - 3.8秒 - 32,364bytes - 64kbps - ライセンス GPL2.0 or later (C)EJ	Father Short - 3,8 секунды - 32,364 байт - 64 кбит/с - лицензия GPL2.0 или более поздняя
おやじ ロング - 23.5秒 - 195,578bytes - 64kbps - ライセンス GPL2.0 or later (C)EJ	Father Long - 23,5 секунды - 195,578 байт - 64 кбит/с - лицензия GPL2.0 или более поздняя
ショパン エチュード Op.10-5 黒鍵 打ち込み版 高速版 - 1分0.0秒 - 369,778bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	Этюд Шопена, Op.10-5, черные клавиши, печатная версия, быстрая версия - 1 мин 0,0 сек - 369,778 байт - 48 кбит/с - Лицензия: CC BY-ND 4.0 или более поздняя.
ショパン エチュード Op.10-12 革命 打ち込み版 高速版 - 1分57.6秒 - 724,457bytes - 48kbps -  ライセンス：CC BY-ND 4.0 or later	Этюд Шопена, Op.10-12 Революция, печатная версия, быстрая версия - 1 мин 57,6 сек - 724,457 байт - 48 кбит/с - Лицензия: CC BY-ND 4.0 или более поздняя.
ショパン スケルツォ 変ロ短調 Op2 打ち込み版 高速短縮版 - 1分48.0秒 - 665,369bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	Шопен Скерцо си-бемоль минор, Op2, печатная версия, быстрая короткая версия - 1 мин 48,0 сек - 665,369 байт - 48 кбит/с - лицензия: CC BY-ND 4.0 или более поздняя
ファンファーレ - 22.3秒 - 183,926bytes - 64kbps - ライセンス：パブリックドメイン	Фанфары - 22,3 секунды - 183,926 байт - 64 кбит/с - Лицензия: общественное достояние
レトロ風ファンファーレ - 2.2秒 - 10,536bytes - 32kbps - ライセンス：パブリックドメイン	Фанфары в стиле ретро - 2,2 секунды - 10,536 байт - 32 кбит/с - Лицензия: общественное достояние
レトロ風オープン - 42.1秒 - 179,138bytes - 32kbps - ライセンス：パブリックドメイン	Открытый ретро-стиль - 42,1 секунды - 179 138 байт - 32 кбит/с - Лицензия: общественное достояние
Internet Explorerと旧Microsoft Edge(EdgeHTML)のアクセスに警告を表示する	Предупреждение для доступа к Internet Explorer и бывшему Microsoft Edge
警告 by ChatGPT - 3.8秒 - 109,700bytes - 256kbps - ライセンス：パブリックドメイン	Оповещение от ChatGPT - 3,8 секунды - 109,700 байт - 256 кбит/с - Лицензия: общественное достояние
マルウェア検出みたいな緊急感の高い音 その１ by ChatGPT - 3.3秒 - 102,850bytes - 256kbps - ライセンス：パブリックドメイン	Звучит срочно, как обнаружение вредоносного ПО Часть 1 от ChatGPT - 3.3 секунды - 102,850 байт - 256 кбит/с - Лицензия: общественное достояние
マルウェア検出みたいな緊急感の高い音 その２ by ChatGPT - 3.3秒 - 103,122bytes - 256kbps - ライセンス：パブリックドメイン	Звучит срочно, как обнаружение вредоносного ПО Часть 2 от ChatGPT - 3.3 секунды - 103,122 байт - 256 кбит/с - Лицензия: общественное достояние
MRI風サウンド by ChatGPT - 1分14.9秒 - 2,157,371bytes - 256kbps - ライセンス：パブリックドメイン	Звук в стиле МРТ от ChatGPT - 1 мин 14,9 сек - 2,157,371 байт - 256 кбит/с - Лицензия: общественное достояние
MRI風サウンド by ChatGPT - 1分14.9秒 - 3,340,392bytes - 320kbps - ライセンス：パブリックドメイン	Звук в стиле МРТ от ChatGPT - 1 мин 14,9 сек - 3,340,392 байт - 320 кбит/с - Лицензия: общественное достояние
