設定	సెట్టింగ్‌లు
同意画面の透過具合を設定します	సమ్మతి స్క్రీన్ యొక్క పారదర్శకతను సెట్ చేయండి
お知らせの1行目	ప్రకటన యొక్క మొదటి వరుస
初回表示で必ず表示されるメッセージです	పేజీ మొదటిసారి లోడ్ అయినప్పుడు ఈ సందేశం ఎల్లప్పుడూ ప్రదర్శించబడుతుంది
お知らせの2行目	నోటీసులోని రెండవ వరుస
EU GDPRが有効の際のみ初回表示で必ず表示されるメッセージです	EU GDPR అమలులో ఉన్నప్పుడు మాత్రమే ఈ సందేశం మొదటి డిస్‌ప్లేలో ఎల్లప్పుడూ కనిపిస్తుంది.
お知らせの3行目	నోటీసులోని మూడవ వరుస
プライバシーポリシーのリンクの右側に表示されます	ఇది గోప్యతా విధానం లింక్ కు కుడి వైపున కనిపిస్తుంది.
非EU向け確認の文字列	EU-యేతర దేశాల కోసం నిర్ధారణ టెక్స్ట్
EU GDPR向け同意するの文字列	EU GDPR కోసం సమ్మతి టెక్స్ట్
EU GDPR向け同意しないの文字列	EU GDPR కింద 'సమ్మతించవద్దు' కోసం టెక్స్ట్
プライバシーポリシーの文字列	గోప్యతా విధాన పఠనం
プライバシーポリシーのURLはこちらから設定して下さい	దయచేసి గోప్యతా విధానం యొక్క URLను ఇక్కడ సెట్ చేయండి
プライバシーポリシーには以下の内容を追加して下さい	దయచేసి క్రింది వాటిని గోప్యతా విధానంలో చేర్చండి.
不正操作検知のため、CookieおよびデータベースにIPアドレス等の識別子を保存する。保存されたデータは、管理者の任意のタイミングで削除を行う。	మోసపూరిత కార్యకలాపాలను గుర్తించడానికి, IP చిరునామాల వంటి గుర్తింపులు కుకీలు మరియు డేటాబేస్‌లలో నిల్వ చేయబడతాయి. నిల్వ చేయబడిన డేటా నిర్వాహకుడి విచక్షణ మేరకు తొలగించబడుతుంది.
画像保護が有効な場合のみ、画像を正常に配信するため、IPアドレスと画像ファイル名をハッシュ化したデータをデータベースに最大60分間保存する。	చిత్ర రక్షణ ప్రారంభించబడినప్పుడు చిత్రాలు సరిగ్గా డెలివరీ చేయబడ్డాయని నిర్ధారించుకోవడానికి, మేము IP చిరునామా మరియు చిత్ర ఫైల్‌పేరుతో కూడిన హ్యాష్ చేయబడిన డేటాను మా డేటాబేస్‌లో 60 నిమిషాల వరకు నిల్వ చేస్తాము.
利用規約を設定する場合、必ずプライバシーポリシーに利用規約のリンクを設置して下さい	మీరు వినియోగ నిబంధనలను ఏర్పాటు చేస్తుంటే, దయచేసి మీ గోప్యతా విధానంలో వాటికి ఒక లింక్‌ను చేర్చారని నిర్ధారించుకోండి.
利用規約の文字列	వినియోగ నిబంధనల పాఠం
利用規約のページ	నిబంధనలు మరియు షరతుల పేజీ
ページ選択なし	పేజీ ఎంపిక చేయబడలేదు
検索エンジン等のURL	సెర్చ్ ఇంజన్లు మొదలైన వాటి కోసం URLలు
同意しなかった時に画面遷移する検索エンジンなどのURLを設定します	వినియోగదారులు అంగీకరించనప్పుడు వారిని మళ్లించే సెర్చ్ ఇంజన్లు మరియు ఇలాంటి సైట్‌ల కోసం URLను సెట్ చేయండి
デバッグモード、コンソールの警告メッセージ	డీబగ్ మోడ్, కన్సోల్ హెచ్చరిక సందేశాలు
右クリックの警告メッセージ	కుడి-క్లిక్ హెచ్చరిక సందేశం
印刷、PDF保存の警告メッセージ	PDFగా ప్రింట్ చేయడం మరియు సేవ్ చేయడం గురించిన హెచ్చరిక సందేశం
スクリーンショットの警告メッセージ	స్క్రీన్‌షాట్‌లో హెచ్చరిక సందేశం
スクリーンショットの疑いの警告メッセージ	సందేహాస్పద స్క్రీన్‌షాట్‌లకు సంబంధించిన హెచ్చరిక సందేశం
テキスト全選択時の警告メッセージ	అన్ని టెక్స్ట్ ఎంచుకున్నప్పుడు హెచ్చరిక సందేశం
ページ保存の警告メッセージ	పేజీ సేవింగ్ గురించిన హెచ్చరిక సందేశం
コピー・カットした時に表示するメッセージ	కాపీ లేదా కట్ చేస్తున్నప్పుడు ప్రదర్శించబడే సందేశం
HTMLソース表示時に表示するメッセージ	HTML సోర్స్ వీక్షిస్తున్నప్పుడు ప్రదర్శించాల్సిన సందేశం
HTML難読化・保護時にソースの先頭に表示するメッセージ	HTMLను అస్పష్టం చేస్తున్నప్పుడు లేదా రక్షిస్తున్నప్పుడు సోర్స్ కోడ్‌లో అగ్రభాగంలో ప్రదర్శించాల్సిన సందేశం
HTML保護時に一度限りの認証トークンが異常の場合に表示するメッセージ	HTML రక్షణ సమయంలో వన్-టైమ్ ప్రామాణీకరణ టోకెన్ చెల్లని పక్షంలో ప్రదర్శించాల్సిన సందేశం
CookieやJavascriptが有効でない場合に表示するメッセージ	కుకీలు లేదా జావాస్క్రిప్ట్ నిలిపివేయబడితే ప్రదర్శించాల్సిన సందేశం
実際にはJavascriptが無効時のみ表示されます	వాస్తవానికి, జావాస్క్రిప్ట్ నిలిపివేయబడినప్పుడు మాత్రమే ఇది ప్రదర్శించబడుతుంది.
画像保護時に画像がダウンロードされ、その画像に表示するメッセージ 英語のみ	ఒక చిత్రం రక్షించబడినప్పుడు, అది డౌన్‌లోడ్ చేయబడుతుంది మరియు ఆ చిత్రంపై ఒక సందేశం ప్రదర్శించబడుతుంది
HTML難読化 (圧縮)	HTML అస్పష్టత
一般的なHTML圧縮です、難読化解除のサイトもあります	ఇది ప్రామాణిక HTML కంప్రెషన్; దీనిని డీకోడ్ చేయగల వెబ్‌సైట్‌లు కూడా ఉన్నాయి.
このオプションを有効にするとview-sourceのログが取得できます	ఈ ఎంపికను ప్రారంభించడం ద్వారా మీరు వ్యూ-సోర్స్ లాగ్‌ను తిరిగి పొందవచ్చు.
HTML保護	HTML రక్షణ
HTML圧縮以上に最小限のHTMLしか出力せず、BODYタグ内の内容が全く出力されなくなります	ఇది HTML కంప్రెషన్ సెట్టింగ్ కంటే కూడా తక్కువ HTMLను అవుట్‌పుట్ చేస్తుంది, అంటే BODY ట్యాగ్ లోపలి కంటెంట్ అస్సలు అవుట్‌పుట్ అవ్వదు.
Firefoxに対しては無効です	ఇది ఫైర్‌ఫాక్స్‌కు వర్తించదు
SEOに著しく影響があります	ఇది SEOపై గణనీయమైన ప్రభావాన్ని చూపుతుంది.
HTMLをJavaScriptで描画	జావాస్క్రిప్ట్ ఉపయోగించి HTMLను రూపొందించడం
Firefox対策としてHTMLをJavaScriptで描画をします	ఫైర్‌ఫాక్స్‌లో పనిచేయడానికి, మేము జావాస్క్రిప్ట్‌ను ఉపయోగించి HTMLను రెండర్ చేస్తాము.
JavaScript描画で有効にするとウェブサイトの表示速度が著しく遅くなります	జావాస్క్రిప్ట్ రెండరింగ్‌ను ప్రారంభించడం వెబ్‌సైట్ లోడింగ్ వేగాన్ని గణనీయంగా తగ్గిస్తుంది.
画像の保護	చిత్ర రక్షణ
imgタグが呼び出されるごとに画像を保護	ప్రతిసారి ఇమేజ్ ట్యాగ్ పిలిచినప్పుడు చిత్రాన్ని రక్షించండి
出力される全HTMLのうち、Wordpressにアップロードされた画像をすべて保護	మొత్తం HTML అవుట్‌పుట్‌లో WordPressకు అప్‌లోడ్ చేసిన అన్ని చిత్రాలను రక్షించండి
画像をダウンロードから保護します	చిత్రాలు డౌన్‌లోడ్ కాకుండా కాపాడుతుంది
画像データを保護した時にはほぼ完全なるダウンロードを阻止し、完全なるワンタイムURLを発行し、セッションに保存されたトークンで認証し、phpから画像を表示します、その為ほぼ完全な画像盗用を防ぎます	చిత్ర డేటాను రక్షించినప్పుడు, మేము దాదాపు అన్ని డౌన్‌లోడ్‌లను నిరోధిస్తాము, ప్రత్యేకమైన ఒకేసారి URLలను జారీ చేస్తాము, సెషన్‌లో నిల్వ చేయబడిన టోకెన్‌లను ఉపయోగించి ప్రామాణీకరిస్తాము మరియు PHP ద్వారా చిత్రాలను ప్రదర్శిస్తాము; ఇది చిత్ర దొంగతనం యొక్క దాదాపు అన్ని సందర్భాలను సమర్థవంతంగా నిరోధిస్తుంది.
画像データを保護した時には画像のキャッシュが効かないため、次回訪問時にサイトの読み込みが遅くなるため、SEOに影響があります	చిత్ర డేటా రక్షించబడినప్పుడు, క్యాచింగ్ పనిచేయదు, అంటే తదుపరి సందర్శనలలో సైట్ మరింత నెమ్మదిగా లోడ్ అవుతుంది, తద్వారా SEOపై ప్రభావం పడుతుంది.
画像データを保護した時には、データベースの負荷が高くなる可能性があります	చిత్ర డేటాను రక్షించడం డేటాబేస్‌పై భారాన్ని పెంచవచ్చు.
「imgタグが呼び出されるごとに画像を保護」の場合は、add_filterを使用し、imgタグの発行時にフィルタリングを行います、テーマによっては正しく動作しません	మీరు 'ప్రతిసారి img ట్యాగ్ పిలిచినప్పుడు చిత్రాలను రక్షించండి' అని ఎంచుకుంటే, img ట్యాగ్ రూపొందించబడినప్పుడు ఫిల్టరింగ్ చేయడానికి సిస్టమ్ add_filterను ఉపయోగిస్తుంది; అయితే, ఇది కొన్ని థీమ్‌లతో సరిగ్గా పనిచేయకపోవచ్చు.
「出力される全HTMLのうち、Wordpressにアップロードされた画像をすべて保護」の場合は、Wordpressのほぼすべての動作をキャプチャし、コンテンツ内のimgタグについてすべて処理します。テーマによっては正しく動作しません	మీరు 'మొత్తం అవుట్‌పుట్ HTML లో WordPress కు అప్‌లోడ్ చేసిన అన్ని చిత్రాలను రక్షించు' అని ఎంచుకుంటే, ఈ టూల్ దాదాపు అన్ని WordPress కార్యకలాపాలను క్యాప్చర్ చేసి, కంటెంట్‌లోని ప్రతి img ట్యాగ్‌ను ప్రాసెస్ చేస్తుంది. దయచేసి గమనించండి, ఇది కొన్ని థీమ్‌లతో సరిగ్గా పనిచేయకపోవచ్చు.
なお、アイキャッチに指定した画像はOGPとして拡散されますので保護できません。どうしても保護すべき場合は高度な設定でHTML保護時のHEADタグの出力の選択を変更してください	ఫీచర్డ్ ఇమేజ్‌లుగా గుర్తించబడిన చిత్రాలు OGP డేటాగా పంచుకోబడతాయని మరియు వాటిని రక్షించలేమని దయచేసి గమనించండి. వాటిని మీరు తప్పనిసరిగా రక్షించాలనుకుంటే, HTML రక్షణను ప్రారంభించినప్పుడు అడ్వాన్స్‌డ్ సెట్టింగ్‌లలో HEAD ట్యాగ్ అవుట్‌పుట్ కోసం సెట్టింగ్‌ను మార్చండి.
OS標準搭載のスクリーンショット機能を保護することはできません	ఆపరేటింగ్ సిస్టమ్‌లో ప్రామాణికంగా చేర్చబడిన స్క్రీన్‌షాట్ ఫంక్షన్‌ను రక్షించలేము.
画像URLの保護	చిత్ర URLలను రక్షించడం
画像の保護と組み合わせて使用します、単体では意味がありません	దీనిని చిత్ర రక్షణతో పాటు ఉపయోగించాలి; ఇది ఒంటరిగా ఎటువంటి ప్రయోజనాన్ని అందించదు.
JavaScriptにより遅延読まれますのでSEOに影響があります	జావాస్క్రిప్ట్ ద్వారా లోడ్ చేయబడినందున, ఇది SEOని ప్రభావితం చేస్తుంది.
画像のウォーターマーク	చిత్రం వాటర్‌మార్క్
右下	కుడి వైపు కింద
ランダム位置	యాదృచ్ఛిక స్థానం
画像の保護と組み合わせて使用します、動的な透かしで著作権を明示しつつ、閲覧者に監視されている印象を与え抑止力を高めます	చిత్ర రక్షణతో కలిపి ఉపయోగించినప్పుడు, డైనమిక్ వాటర్‌మార్క్‌లు కాపీరైట్ యాజమాన్యాన్ని స్పష్టంగా సూచిస్తాయి, అదే సమయంలో వీక్షకులు తాము పర్యవేక్షించబడుతున్నామని భావించేలా చేసి, తద్వారా నిరోధకంగా పనిచేస్తాయి.
JPG形式、PNG形式、WebP形式のみ対応します	కేవలం JPG, PNG మరియు WebP ఫార్మాట్‌లు మాత్రమే మద్దతు ఇవ్వబడతాయి.
有効にするとサーバーの負荷が高くなります	దీనిని ప్రారంభించడం వలన సర్వర్‌పై భారం పెరుగుతుంది.
HTML難読化・保護時のHTMLソースコードのアスキーアートの出力	అస్పష్టత మరియు రక్షణ సమయంలో HTML సోర్స్ కోడ్ నుండి ASCII ఆర్ట్ ను అవుట్‌పుట్ చేయడం
表示なし	ప్రదర్శన లేదు
view-sourceでHTMLソース表示をした時に警告の意思を示すアスキーアートを表示します	'వ్యూ-సోర్స్' ఉపయోగించి HTML సోర్స్‌ను వీక్షిస్తున్నప్పుడు హెచ్చరికను సూచించే ASCII కళను ప్రదర్శిస్తుంది.
対象アクションを起こした時の表示デザイン	లక్ష్య చర్య జరిగినప్పుడు డిస్‌ప్లే డిజైన్‌ను ప్రదర్శించండి
黄色の背景の黒文字のベーシックデザイン	పసుపు నేపథ్యంపై నల్లని టెక్స్ట్‌తో కూడిన ఒక ప్రాథమిక రూపకల్పన
黒色の背景の赤文字のホラー風デザイン	నలుపు నేపథ్యంపై ఎరుపు అక్షరాలతో కూడిన ఒక హారర్-శైలి డిజైన్
黒色の背景の赤文字の光る文字のデザイン	నల్లని నేపథ్యంపై ప్రకాశించే ఎర్రని అక్షరాలతో కూడిన ఒక డిజైన్
対象アクションを起こした時のBGM	లక్ష్య చర్య జరిగినప్పుడు ప్లే అయ్యే నేపథ్య సంగీతం
サウンドなし	శబ్దం లేదు
戦闘＆戦闘勝利 - 1分16.3秒 - 630,056bytes - 64kbps - ライセンス：CC2.1 or later	యుద్ధం & విజయం - 1 నిమిషం 16.3 సెకన్లు - 630,056 బైట్స్ - 64 kbps - లైసెన్స్: CC 2.1 లేదా తదుపరి
おやじ ショート - 3.8秒 - 32,364bytes - 64kbps - ライセンス GPL2.0 or later (C)EJ	నాన్న షార్ట్ - 3.8 సెకన్లు - 32,364 బైట్లు - 64 kbps - లైసెన్స్: GPL 2.0 లేదా తర్వాతిది
おやじ ロング - 23.5秒 - 195,578bytes - 64kbps - ライセンス GPL2.0 or later (C)EJ	ఓయాజి లాంగ్ - 23.5 సెకన్లు - 195,578 బైట్లు - 64 kbps - లైసెన్స్: GPL 2.0 లేదా తదుపరి
ショパン エチュード Op.10-5 黒鍵 打ち込み版 高速版 - 1分0.0秒 - 369,778bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	చోపిన్ ఎట్యూడ్ ఓప్. 10 నం. 5
ショパン エチュード Op.10-12 革命 打ち込み版 高速版 - 1分57.6秒 - 724,457bytes - 48kbps -  ライセンス：CC BY-ND 4.0 or later	చోపిన్ ఎట్యుడ్ ఓప్. 10 నం. 12 'రెవల్యూషన్' – కంప్యూటర్-సృష్టించిన వెర్షన్, హై-స్పీడ్ వెర్షన్ – 1 నిమిషం 57.6 సెకన్లు – 724,457 బైట్స్ – 48 kbps – లైసెన్స్: CC BY-ND 4.0 లేదా తర్వాతిది
ショパン スケルツォ 変ロ短調 Op2 打ち込み版 高速短縮版 - 1分48.0秒 - 665,369bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	చోపిన్: షెర్జో ఇన్ బి ఫ్లాట్ మైనర్, ఓప్. 2 – కంప్యూటర్-జెనరేటెడ్ వెర్షన్, హై-స్పీడ్ సంక్షిప్త వెర్షన్ – 1 నిమిషం 48.0 సెకన్లు – 665,369 బైట్స్ – 48 kbps – లైసెన్స్: CC BY-ND 4.0 లేదా తర్వాతిది
リスト 超絶技巧練習曲 4番 マゼッパ 打ち込み版 高速短縮版 - 1分51.6秒 - 687,586bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	జాబితా: ఎట్యూడ్ డి ఎక్సెక్యూషన్ నెం. 4 'మేజెప్పా'
ファンファーレ - 22.3秒 - 183,926bytes - 64kbps - ライセンス：パブリックドメイン	ఫ్యాన్‌ఫేర్ – 22.3 సెకన్లు – 183,926 బైట్లు – 64 kbps – లైసెన్స్: పబ్లిక్ డొమైన్
レトロ風ファンファーレ - 2.2秒 - 10,536bytes - 32kbps - ライセンス：パブリックドメイン	రెట్రో-శైలి ఫ్యాన్‌ఫేర్ – 2.2 సెకన్లు – 10,536 బైట్లు – 32 kbps – లైసెన్స్: పబ్లిక్ డొమైన్
レトロ風オープン - 42.1秒 - 179,138bytes - 32kbps - ライセンス：パブリックドメイン	రెట్రో-శైలి ఇంట్రో – 42.1 సెకన్లు – 179,138 బైట్లు – 32 kbps – లైసెన్స్: పబ్లిక్ డొమైన్
警告 by ChatGPT - 3.8秒 - 109,700bytes - 256kbps - ライセンス：パブリックドメイン	ChatGPT హెచ్చరిక - 3.8 సెకన్లు - 109,700 బైట్స్ - 256 kbps - లైసెన్స్: పబ్లిక్ డొమైన్
マルウェア検出みたいな緊急感の高い音 その１ by ChatGPT - 3.3秒 - 102,850bytes - 256kbps - ライセンス：パブリックドメイン	మాల్వేర్ గుర్తింపు హెచ్చరిక వంటి అత్యవసరమైన శబ్దం – భాగం 1 ChatGPT ద్వారా – 3.3 సెకన్లు – 102,850 బైట్లు – 256 kbps – లైసెన్స్: పబ్లిక్ డొమైన్
マルウェア検出みたいな緊急感の高い音 その２ by ChatGPT - 3.3秒 - 103,122bytes - 256kbps - ライセンス：パブリックドメイン	మాల్వేర్ డిటెక్షన్ అలర్ట్ వంటి అత్యవసరమైన శబ్దం, పార్ట్ 2, ChatGPT ద్వారా - 3.3 సెకన్లు - 103,122 బైట్స్ - 256 kbps - లైసెన్స్: పబ్లిక్ డొమైన్
MRI風サウンド by ChatGPT - 1分14.9秒 - 3,340,392bytes - 320kbps - ライセンス：パブリックドメイン	ChatGPT ద్వారా MRI-శైలి ధ్వని – 1 నిమిషం 14.9 సెకన్లు – 3,340,392 బైట్లు – 320 kbps – లైసెన్స్: పబ్లిక్ డొమైన్
警告表示中のBGMを選択します	హెచ్చరిక సమయంలో ప్లే చేయడానికి నేపథ్య సంగీతాన్ని ఎంచుకోండి
びっくりするような雰囲気を作ります	ఇది ఆశ్చర్యపరిచే వాతావరణాన్ని సృష్టిస్తుంది
Firefoxでは音声ブロックされます	ఫైర్‌ఫాక్స్‌లో ఆడియో నిరోధించబడింది
対象アクションを起こした時のビープ音	నిర్దేశించిన చర్య జరిగినప్పుడు ఒక బీప్
有効 音量小さ目	ఆన్, వాల్యూమ్ తక్కువ
有効 音量大き目	చురుకుగా ఉంది, వాల్యూమ్ గరిష్ఠంగా ఉంది
警告表示中にすべてのキー・マウスイベントでビープ音を鳴らします	అన్ని కీ మరియు మౌస్ ఈవెంట్‌ల కోసం ఒక బీప్ వినిపిస్తుంది, అదే సమయంలో ఒక హెచ్చరిక ప్రదర్శించబడుతుంది.
警告表示中に端末が暴走したかのような雰囲気を作ります	హెచ్చరిక ప్రదర్శించబడుతున్నప్పుడు, పరికరం అదుపు తప్పిందని అనిపించేలా ఇది చేస్తుంది.
対象アクションを起こした時のマウスカーソルの消去	ఒక నిర్దిష్ట చర్య జరిగినప్పుడు మౌస్ కర్సర్‌ను దాచడం
警告表示中にブラウザのエリアのマウスカーソルを消去します	హెచ్చరిక ప్రదర్శించబడుతున్నప్పుడు బ్రౌజర్ ప్రాంతంలో మౌస్ కర్సర్‌ను దాచిపెడుతుంది.
デバッグモード	డీబగ్ మోడ్
妨害＋記録のみ	ఇంటర్‌ఫియరెన్స్ + రికార్డ్స్ మాత్రమే
妨害＋記録＋表示＋リダイレクト	అవరోధం + లాగింగ్ + ప్రదర్శన + మళ్లింపు
メニューからは操作できてしまいます	మీరు దానిని ఇంకా మెనూ ద్వారా యాక్సెస్ చేయవచ్చు.
Firefoxにおけるデバッグモード	ఫైర్‌ఫాక్స్‌లో డీబగ్ మోడ్
ブラウザーコンソール	బ్రౌజర్ కన్సోల్
事実上デバッグモードから操作できてしまいます	వాస్తవానికి, మీరు దీనిని డీబగ్ మోడ్ నుండి ఆపరేట్ చేయవచ్చు.
HTMLソース表示	HTML మూల కోడాన్ని వీక్షించండి
view-source:から始まるURLを入力すれば操作できてしまいます	మీరు 'view-source:' తో ప్రారంభమయ్యే URL ను ఎంటర్ చేయడం ద్వారా ఈ ఆపరేషన్‌ను సులభంగా నిర్వహించవచ్చు.
HTML保護と組み合わせることでコンテンツを保護することができます	దీనిని HTML రక్షణతో కలిపి మీ కంటెంట్‌ను రక్షించుకోవచ్చు.
印刷	ముద్రించు
印刷阻止をするもものの、ブラウザによってはうまく動作しません	ఇది ప్రింటింగ్‌ను నిరోధించినప్పటికీ, కొన్ని బ్రౌజర్‌లలో సరిగ్గా పనిచేయకపోవచ్చు.
スクリーンショット	స్క్రీన్‌షాట్
OSやブラウザ、方法によっては妨害できず、もしくは検出しないことがあります	ఉపయోగించే ఆపరేటింగ్ సిస్టమ్, బ్రౌజర్ లేదా పద్ధతిని బట్టి, దీనిని నిరోధించడం సాధ్యం కాకపోవచ్చు, లేదా ఇది గుర్తించబడకపోవచ్చు.
ウインドウが背面に移動した時スクリーンショットの疑い	విండో బ్యాక్‌గ్రౌండ్‌కు వెళ్ళినప్పుడు అనుమానిత స్క్రీన్‌షాట్
あわせて、スクリーンショット以外の機能（タブ切り替え・ウィンドウ切り替え）にも反応してしまいます。	ఇది స్క్రీన్‌షాట్‌లకు మాత్రమే కాకుండా
2キー押下のスクリーンショットの疑い	రెండు కీలను నొక్కడం ద్వారా తీసిన అనుమానిత స్క్రీన్‌షాట్
上の項目の検出方法は完全ではありません、予防的に検出を行います	పైన పేర్కొన్న వస్తువులను గుర్తించే పద్ధతులు సంపూర్ణంగా విశ్వసనీయమైనవి కావు; గుర్తింపును ఒక జాగ్రత్త చర్యగా మాత్రమే నిర్వహిస్తారు.
スクリーンショットだけではなく、デバッグモード等も検出します	ఇది స్క్రీన్‌షాట్‌లను మాత్రమే కాకుండా, డీబగ్ మోడ్‌లు మరియు అలాంటి వాటిని కూడా గుర్తిస్తుంది.
ページ保存	పేజీని సేవ్ చేయండి
右クリック	కుడి-క్లిక్
アドオンがインストールされていると操作できてしまいます	అదనపు సాధనం ఇన్‌స్టాల్ చేయబడితే, మీరు దానిని ఉపయోగించగలరు.
コピー・カット	నకలు చేసి కత్తిరించు
本プラグインの設定によってはこのイベントにたどり着くことはほとんどない場合があります	ఈ ప్లగిన్ యొక్క సెట్టింగ్‌లను బట్టి, మీరు ఈ ఈవెంట్‌ను అరుదుగా ఎదుర్కోవచ్చు.
テキスト全選択	టెక్స్ట్ అంతా ఎంచుకోండి
テキスト選択	టెక్స్ట్‌ను ఎంచుకోండి
デバッガー起動ログ、デバッガー妨害	డీబగ్గర్ ప్రారంభ లాగ్, డీబగ్గర్ జోక్యం
デバッグモードの使い勝手を少し悪くし、デバッガを起動したことをログに残します、ブラウザによってはこの挙動が止められてしまいます	ఇది డీబగ్ మోడ్‌ను కొద్దిగా తక్కువ వినియోగదారు-స్నేహపూర్వకంగా చేస్తుంది మరియు డీబగర్ ప్రారంభించబడిందనే వాస్తవాన్ని లాగ్ చేస్తుంది; అయితే, కొన్ని బ్రౌజర్‌లు ఈ ప్రవర్తనను నిరోధించవచ్చు.
リダイレクトするURL	URLను మళ్లించండి
利用規約などのページに転送すると良いでしょう	వినియోగదారులను నిబంధనలు మరియు షరతులు వంటి పేజీలకు మళ్లించడం మంచిది.
空欄にすると元のURLにリダイレクトをします	ఖాళీగా వదిలివేస్తే, అది అసలు URLకు మళ్లిస్తుంది.
リダイレクトまでの時間	మళ్లింపు వరకు సమయం
リダイレクトなし	మళ్లింపు లేదు
1秒	ఒక సెకను
2秒	రెండు సెకన్లు
3秒	3 సెకన్లు
4秒	4 సెకన్లు
5秒	5 సెకన్లు
6秒	6 సెకన్లు
7秒	ఏడు సెకన్లు
8秒	8 సెకన్లు
9秒	9 సెకన్లు
10秒	10 సెకన్లు
15秒	పదిహేను సెకన్లు
20秒	20 సెకన్లు
25秒	25 సెకన్లు
30秒	30 సెకన్లు
35秒	35 సెకన్లు
40秒	నాలుగు పదుల సెకన్లు
45秒	45 సెకన్లు
50秒	50 సెకన్లు
55秒	55 సెకన్లు
1分	ఒక నిమిషం
1分10秒	ఒక నిమిషం పది సెకన్లు
1分20秒	ఒక నిమిషం ఇరవై సెకన్లు
1分30秒	ఒక నిమిషం ముప్పై సెకన్లు
1分40秒	ఒక నిమిషం నలభై సెకన్లు
1分50秒	ఒక నిమిషం యాభై సెకన్లు
2分	రెండు నిమిషాలు
ソース表示を許可する権限	సోర్స్ కోడ్‌ను వీక్షించడానికి అనుమతి
ADMINログイン時のみ通常のソース出力	ADMINగా లాగిన్ అయినప్పుడు మాత్రమే సాధారణ సోర్స్ అవుట్‌పుట్
USERログインで通常のソース出力	యూజర్‌గా లాగిన్ అయినప్పుడు సాధారణ సోర్స్ అవుట్‌పుట్
通常のHTML出力を管理者のみかユーザーログインかを選択します	సాధారణ HTML అవుట్‌పుట్ కేవలం నిర్వాహకులకు మాత్రమే పరిమితం చేయబడిందో లేదా వినియోగదారు లాగిన్ అవసరమో ఎంచుకోండి.
画像を無理やりダウンロードして実際にダウンロードされるもの	చిత్రాన్ని బలవంతంగా డౌన్‌లోడ్ చేయించడం మరియు వాస్తవానికి ఏమి డౌన్‌లోడ్ అవుతుంది
GIF形式で1×1ピクセルの透過画像	GIF ఫార్మాట్‌లో ఒక 1×1-పిక్సెల్ పారదర్శక చిత్రం
PNG形式で1×1ピクセルの透過画像	PNG ఫార్మాట్‌లో ఒక 1×1-పిక్సెల్ పారదర్శక చిత్రం
PNG形式で黄色い背景の警告画面	PNG ఫార్మాట్‌లో పసుపు నేపథ్యంతో కూడిన ఒక హెచ్చరిక స్క్రీన్
意味のないHTMLドキュメント	అర్థరహితమైన HTML పత్రం
HTML保護時のHEADタグの出力	HTML రక్షించబడినప్పుడు HEAD ట్యాగ్ యొక్క అవుట్‌పుట్
出力しない	ముద్రించవద్దు
TITLEタグのみ	టైటిల్ ట్యాగ్ మాత్రమే
WordpressのHEADタグより取得	వర్డ్‌ప్రెస్ HEAD ట్యాగ్ నుండి తీసుకోబడింది
