設定	تنظیمات
画像保護が有効な場合のみ、画像を正常に配信するため、IPアドレスと画像ファイル名をハッシュ化したデータをデータベースに最大60分間保存する。	برای اطمینان از تحویل صحیح تصاویر هنگام فعال بودن محافظت از تصویر، ما داده‌های هش‌شده شامل آدرس IP و نام فایل تصویر را تا ۶۰ دقیقه در پایگاه داده خود ذخیره می‌کنیم.
利用規約を設定する場合、必ずプライバシーポリシーに利用規約のリンクを設置して下さい	اگر در حال تنظیم شرایط استفاده هستید، لطفاً اطمینان حاصل کنید که در سیاست حفظ حریم خصوصی خود لینکی به آن گنجانده‌اید.
利用規約の文字列	متن شرایط استفاده
利用規約のページ	صفحه شرایط و ضوابط
ページ選択なし	هیچ صفحه‌ای انتخاب نشده است
検索エンジン等のURL	URLها برای موتورهای جستجو و غیره.
同意しなかった時に画面遷移する検索エンジンなどのURLを設定します	URL را برای موتورهای جستجو و سایت‌های مشابه که در صورت عدم رضایت کاربران را هدایت می‌کنند، تنظیم کنید.
デバッグモード、コンソールの警告メッセージ	حالت اشکال‌زدایی، پیام‌های هشدار کنسول
右クリックの警告メッセージ	پیام هشدار کلیک راست
印刷、PDF保存の警告メッセージ	پیام هشدار در مورد چاپ و ذخیره به صورت PDF
スクリーンショットの警告メッセージ	پیام هشدار در تصویر صفحه
スクリーンショットの疑いの警告メッセージ	پیام هشدار در مورد اسکرین‌شات‌های مشکوک
テキスト全選択時の警告メッセージ	پیام هشدار هنگام انتخاب تمام متن
ページ保存の警告メッセージ	پیام هشدار در مورد ذخیرهٔ صفحه
コピー・カットした時に表示するメッセージ	پیامی که هنگام کپی یا برش نمایش داده می‌شود
HTMLソース表示時に表示するメッセージ	پیامی که هنگام مشاهدهٔ منبع HTML نمایش داده شود
HTML難読化・保護時にソースの先頭に表示するメッセージ	پیامی که در بالای کد منبع هنگام مبهم‌سازی یا محافظت از HTML نمایش داده می‌شود.
HTML保護時に一度限りの認証トークンが異常の場合に表示するメッセージ	پیامی که در صورت نامعتبر بودن توکن احراز هویت یک‌باره در حین محافظت HTML نمایش داده می‌شود.
CookieやJavascriptが有効でない場合に表示するメッセージ	پیامی که در صورت غیرفعال بودن کوکی‌ها یا جاوااسکریپت نمایش داده شود
実際にはJavascriptが無効時のみ表示されます	در واقع، این تنها زمانی نمایش داده می‌شود که جاوااسکریپت غیرفعال باشد.
画像保護時に画像がダウンロードされ、その画像に表示するメッセージ 英語のみ	وقتی یک تصویر محافظت می‌شود، دانلود شده و پیامی روی آن نمایش داده می‌شود
HTML難読化 (圧縮)	مبهم‌سازی
一般的なHTML圧縮です、難読化解除のサイトもあります	این فشرده‌سازی استاندارد HTML است؛ وب‌سایت‌هایی هم وجود دارند که می‌توانند آن را رمزگشایی کنند.
このオプションを有効にするとview-sourceのログが取得できます	فعال‌سازی این گزینه به شما امکان می‌دهد تا لاگ‌های view-source را بازیابی کنید.
HTML保護	حفاظت از HTML
HTML圧縮以上に最小限のHTMLしか出力せず、BODYタグ内の内容が全く出力されなくなります	این تنها حداقل لازم HTML را تولید می‌کند—حتی کمتر از زمانی که از فشرده‌سازی HTML استفاده می‌شود—و محتوای داخل تگ BODY اصلاً نمایش داده نخواهد شد.
Firefoxに対しては無効です	این در مورد فایرفاکس صدق نمی‌کند.
SEOに著しく影響があります	این تأثیر قابل‌توجهی بر سئو دارد.
HTMLをJavaScriptで描画	رندر کردن HTML با استفاده از جاوااسکریپت
Firefox対策としてHTMLをJavaScriptで描画をします	برای دور زدن فایرفاکس، HTML را با استفاده از جاوااسکریپت رندر می‌کنیم.
JavaScript描画で有効にするとウェブサイトの表示速度が著しく遅くなります	فعال‌سازی رندرینگ جاوااسکریپت سرعت بارگذاری وب‌سایت را به‌طور قابل‌توجهی کاهش می‌دهد.
画像の保護	حفاظت از تصویر
imgタグが呼び出されるごとに画像を保護	هر بار که تگ img فراخوانی می‌شود، تصویر را محافظت کنید.
出力される全HTMLのうち、Wordpressにアップロードされた画像をすべて保護	تمام تصاویر بارگذاری‌شده در وردپرس را در سراسر خروجی HTML محافظت کنید.
画像をダウンロードから保護します	از دانلود تصاویر جلوگیری می‌کند
画像データを保護した時にはほぼ完全なるダウンロードを阻止し、完全なるワンタイムURLを発行し、セッションに保存されたトークンで認証し、phpから画像を表示します、その為ほぼ完全な画像盗用を防ぎます	وقتی داده‌های تصویر محافظت می‌شوند، ما تقریباً همه دانلودها را مسدود می‌کنیم، آدرس‌های اینترنتی یک‌باره و منحصربه‌فرد صادر می‌کنیم، با استفاده از توکن‌های ذخیره‌شده در جلسه احراز هویت می‌کنیم و تصاویر را از طریق PHP نمایش می‌دهیم؛ این روش عملاً از تقریباً همه سرقت‌های تصویر جلوگیری می‌کند.
画像データを保護した時には画像のキャッシュが効かないため、次回訪問時にサイトの読み込みが遅くなるため、SEOに影響があります	وقتی داده‌های تصویر محافظت می‌شوند، کشینگ کار نمی‌کند، که به این معنی است سایت در بازدیدهای بعدی کندتر بارگذاری می‌شود و در نتیجه بر سئو تأثیر می‌گذارد.
画像データを保護した時には、データベースの負荷が高くなる可能性があります	حفاظت از داده‌های تصویری ممکن است بار روی پایگاه داده را افزایش دهد.
「imgタグが呼び出されるごとに画像を保護」の場合は、add_filterを使用し、imgタグの発行時にフィルタリングを行います、テーマによっては正しく動作しません	اگر گزینه «هر زمان که تگ img فراخوانی می‌شود، تصاویر را محافظت کن» را انتخاب کنید، سیستم از add_filter برای اعمال فیلتر هنگام تولید تگ img استفاده می‌کند؛ با این حال، این ممکن است با برخی قالب‌ها به‌درستی کار نکند.
「出力される全HTMLのうち、Wordpressにアップロードされた画像をすべて保護」の場合は、Wordpressのほぼすべての動作をキャプチャし、コンテンツ内のimgタグについてすべて処理します。テーマによっては正しく動作しません	اگر گزینه «حفاظت از تمام تصاویر بارگذاری‌شده در وردپرس در کل خروجی HTML» را انتخاب کنید، افزونه تقریباً تمام عملیات وردپرس را ضبط کرده و هر تگ img در محتوا را پردازش می‌کند. لطفاً توجه داشته باشید که این ممکن است با برخی قالب‌ها به‌درستی کار نکند.
なお、アイキャッチに指定した画像はOGPとして拡散されますので保護できません。どうしても保護すべき場合は高度な設定でHTML保護時のHEADタグの出力の選択を変更してください	لطفاً توجه داشته باشید که تصاویری که به‌عنوان تصاویر ویژه مشخص می‌شوند، به‌عنوان داده‌های OGP به اشتراک گذاشته می‌شوند و قابل محافظت نیستند. اگر حتماً می‌خواهید آن‌ها را محافظت کنید، لطفاً هنگام فعال‌سازی محافظت HTML، در بخش تنظیمات پیشرفته، تنظیمات خروجی تگ HEAD را تغییر دهید.
OS標準搭載のスクリーンショット機能を保護することはできません	عملکرد اسکرین‌شات تعبیه‌شده در سیستم‌عامل قابل محافظت نیست.
画像URLの保護	حفاظت از آدرس‌های اینترنتی تصاویر
画像の保護と組み合わせて使用します、単体では意味がありません	این باید همراه با محافظت از تصویر استفاده شود؛ به‌تنهایی هیچ کاربردی ندارد.
JavaScriptにより遅延読まれますのでSEOに影響があります	از آنجا که از طریق جاوااسکریپت بارگذاری می‌شود، این موضوع بر سئو تأثیر می‌گذارد.
画像のウォーターマーク	واترمارک تصویر
右下	پایین راست
ランダム位置	موقعیت تصادفی
画像の保護と組み合わせて使用します、動的な透かしで著作権を明示しつつ、閲覧者に監視されている印象を与え抑止力を高めます	واترمارک‌های پویا که همراه با محافظت از تصویر استفاده می‌شوند، به‌وضوح مالکیت حق نشر را نشان می‌دهند و در عین حال این تصور را در بینندگان ایجاد می‌کنند که تحت نظارت هستند و بدین ترتیب به‌عنوان عاملی بازدارنده عمل می‌کنند.
JPG形式、PNG形式、WebP形式のみ対応します	فقط فرمت‌های JPG، PNG و WebP پشتیبانی می‌شوند.
有効にするとサーバーの負荷が高くなります	فعال‌سازی این مورد بار سرور را افزایش می‌دهد.
HTML難読化・保護時のHTMLソースコードのアスキーアートの出力	خروجی گرفتن هنر ASCII از کد منبع HTML در حین مبهم‌سازی و محافظت
表示なし	نمایش داده نمی‌شود
view-sourceでHTMLソース表示をした時に警告の意思を示すアスキーアートを表示します	نمایش آثار هنری ASCII که هنگام مشاهدهٔ منبع HTML با استفاده از «view-source» هشدار را نشان می‌دهند.
対象アクションを起こした時の表示デザイン	طراحی نمایش زمانی که اقدام هدف انجام می‌شود
黄色の背景の黒文字のベーシックデザイン	یک طرح ساده با متن سیاه روی پس‌زمینه زرد
黒色の背景の赤文字のホラー風デザイン	طراحی به سبک وحشتناک با متن قرمز روی پس‌زمینه سیاه
黒色の背景の赤文字の光る文字のデザイン	طراحی با متن قرمز درخشان روی پس‌زمینهٔ سیاه
対象アクションを起こした時のBGM	موسیقی پس‌زمینه‌ای که هنگام انجام اقدام هدف پخش می‌شود
サウンドなし	صدایی نیست
戦闘＆戦闘勝利 - 1分16.3秒 - 630,056bytes - 64kbps - ライセンス：CC2.1 or later	نبرد و پیروزی - ۱ دقیقه و ۱۶٫۳ ثانیه - ۶۳۰٬۰۵۶ بایت - ۶۴ کیلوبیت بر ثانیه - مجوز: CC 2.1 یا جدیدتر
おやじ ショート - 3.8秒 - 32,364bytes - 64kbps - ライセンス GPL2.0 or later (C)EJ	پدر کوتاه - ۳٫۸ ثانیه - ۳۲٬۳۶۴ بایت - ۶۴ کیلوبیت بر ثانیه - مجوز: GPL 2.0 یا بالاتر
おやじ ロング - 23.5秒 - 195,578bytes - 64kbps - ライセンス GPL2.0 or later (C)EJ	Oyaji Long - ۲۳٫۵ ثانیه - ۱۹۵٬۵۷۸ بایت - ۶۴ کیلوبیت بر ثانیه - مجوز: GPL 2.0 یا جدیدتر
ショパン エチュード Op.10-5 黒鍵 打ち込み版 高速版 - 1分0.0秒 - 369,778bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	اتود اپوس ۱۰ شمارهٔ ۵ شوپن
ショパン エチュード Op.10-12 革命 打ち込み版 高速版 - 1分57.6秒 - 724,457bytes - 48kbps -  ライセンス：CC BY-ND 4.0 or later	اتود اپوس ۱۰ شمارهٔ ۱۲ «انقلاب» اثر شوپن – نسخهٔ تولیدشده توسط کامپیوتر، نسخهٔ با سرعت بالا – ۱ دقیقه و ۵۷٫۶ ثانیه – ۷۲۴٬۴۵۷ بایت – ۴۸ کیلوبیت بر ثانیه – مجوز: CC BY-ND 4.0 یا جدیدتر
ショパン スケルツォ 変ロ短調 Op2 打ち込み版 高速短縮版 - 1分48.0秒 - 665,369bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	شوپن: اسکارتسو در سی‌bemول مینور، اثر شمارهٔ ۲ – نسخهٔ تولیدشده توسط کامپیوتر، نسخهٔ کوتاه‌شده با سرعت بالا – ۱ دقیقه و ۴۸٫۰ ثانیه – ۶۶۵٬۳۶۹ بایت – ۴۸ کیلوبیت بر ثانیه – مجوز: CC BY-ND 4.0 یا جدیدتر
リスト 超絶技巧練習曲 4番 マゼッパ 打ち込み版 高速短縮版 - 1分51.6秒 - 687,586bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	فهرست: Étude d'Exécution شمارهٔ ۴ «مازپا»
ファンファーレ - 22.3秒 - 183,926bytes - 64kbps - ライセンス：パブリックドメイン	موسیقی جشن – ۲۲٫۳ ثانیه – ۱۸۳٬۹۲۶ بایت – ۶۴ کیلوبیت بر ثانیه – مجوز: مالکیت عمومی
レトロ風ファンファーレ - 2.2秒 - 10,536bytes - 32kbps - ライセンス：パブリックドメイン	موسیقی پرشور به سبک رترو – ۲٫۲ ثانیه – ۱۰٬۵۳۶ بایت – ۳۲ کیلوبیت بر ثانیه – مجوز: مالکیت عمومی
レトロ風オープン - 42.1秒 - 179,138bytes - 32kbps - ライセンス：パブリックドメイン	مقدمه به سبک رترو – ۴۲.۱ ثانیه – ۱۷۹٬۱۳۸ بایت – ۳۲ کیلوبیت بر ثانیه – مجوز: مالکیت عمومی
警告 by ChatGPT - 3.8秒 - 109,700bytes - 256kbps - ライセンス：パブリックドメイン	هشدار توسط ChatGPT - ۳.۸ ثانیه - ۱۰۹٬۷۰۰ بایت - ۲۵۶ کیلوبیت بر ثانیه - مجوز: مالکیت عمومی
マルウェア検出みたいな緊急感の高い音 その１ by ChatGPT - 3.3秒 - 102,850bytes - 256kbps - ライセンス：パブリックドメイン	صدایی با فوریت بالا شبیه هشدار شناسایی بدافزار – بخش اول توسط ChatGPT – ۳٫۳ ثانیه – ۱۰۲٬۸۵۰ بایت – ۲۵۶ کیلوبیت بر ثانیه – مجوز: مالکیت عمومی
マルウェア検出みたいな緊急感の高い音 その２ by ChatGPT - 3.3秒 - 103,122bytes - 256kbps - ライセンス：パブリックドメイン	صدایی با فوریت بالا شبیه هشدار شناسایی بدافزار، بخش دوم توسط ChatGPT - ۳٫۳ ثانیه - ۱۰۳٬۱۲۲ بایت - ۲۵۶ کیلوبیت بر ثانیه - مجوز: مالکیت عمومی
MRI風サウンド by ChatGPT - 1分14.9秒 - 3,340,392bytes - 320kbps - ライセンス：パブリックドメイン	صدای به سبک MRI توسط ChatGPT – ۱ دقیقه و ۱۴.۹ ثانیه – ۳٬۳۴۰٬۳۹۲ بایت – ۳۲۰ کیلوبیت بر ثانیه – مجوز: مالکیت عمومی
警告表示中のBGMを選択します	موسیقی پس‌زمینه را برای پخش در هنگام هشدار انتخاب کنید.
びっくりするような雰囲気を作ります	این یک فضای شگفت‌انگیز ایجاد می‌کند.
Firefoxでは音声ブロックされます	صدا در فایرفاکس مسدود شده است.
対象アクションを起こした時のビープ音	یک بوق هنگام انجام اقدام مشخص‌شده
有効 音量小さ目	روند، حجم کم
有効 音量大き目	فعال، حجم روی بلند تنظیم شده
警告表示中にすべてのキー・マウスイベントでビープ音を鳴らします	در حالی که هشدار نمایش داده می‌شود، برای تمام رویدادهای صفحه‌کلید و ماوس یک بوق شنیده خواهد شد.
警告表示中に端末が暴走したかのような雰囲気を作ります	این تصور را ایجاد می‌کند که دستگاه هنگام نمایش هشدار از کنترل خارج شده است.
対象アクションを起こした時のマウスカーソルの消去	پنهان کردن نشانگر ماوس هنگام انجام یک عمل خاص
警告表示中にブラウザのエリアのマウスカーソルを消去します	در حالی که هشدار نمایش داده می‌شود، نشانگر ماوس را در ناحیه مرورگر پنهان می‌کند.
デバッグモード	حالت اشکال‌زدایی
妨害＋記録のみ	مداخله + فقط سوابق
妨害＋記録＋表示＋リダイレクト	تداخل + ثبت + نمایش + هدایت مجدد
メニューからは操作できてしまいます	شما هنوز هم می‌توانید از طریق منو به آن دسترسی پیدا کنید.
Firefoxにおけるデバッグモード	حالت اشکال‌زدایی در فایرفاکس
ブラウザーコンソール	کنسول مرورگر
事実上デバッグモードから操作できてしまいます	در عمل، می‌توانید آن را از حالت اشکال‌زدایی اجرا کنید.
HTMLソース表示	مشاهدهٔ منبع HTML
view-source:から始まるURLを入力すれば操作できてしまいます	شما می‌توانید این عملیات را به سادگی با وارد کردن یک URL که با 'view-source:' شروع می‌شود، انجام دهید.
HTML保護と組み合わせることでコンテンツを保護することができます	می‌توانید با ترکیب این روش با محافظت HTML، از محتوای خود محافظت کنید.
印刷	چاپ
印刷阻止をするもものの、ブラウザによってはうまく動作しません	اگرچه از چاپ‌گیری جلوگیری می‌کند، اما ممکن است در برخی مرورگرها به‌درستی کار نکند.
スクリーンショット	اسکرین‌شات
OSやブラウザ、方法によっては妨害できず、もしくは検出しないことがあります	بسته به سیستم‌عامل، مرورگر یا روش مورد استفاده، ممکن است مسدود کردن این کار امکان‌پذیر نباشد یا شناسایی نشود.
ウインドウが背面に移動した時スクリーンショットの疑い	اسکرین‌شات مشکوک هنگام رفتن پنجره به پس‌زمینه
あわせて、スクリーンショット以外の機能（タブ切り替え・ウィンドウ切り替え）にも反応してしまいます。	همچنین به عملکردهایی غیر از اسکرین‌شات
2キー押下のスクリーンショットの疑い	تصویربرداری مشکوک با فشردن دو کلید
上の項目の検出方法は完全ではありません、予防的に検出を行います	روش‌های شناسایی موارد فوق کاملاً مطمئن نیستند؛ شناسایی به‌عنوان یک اقدام احتیاطی انجام می‌شود.
スクリーンショットだけではなく、デバッグモード等も検出します	این نه تنها اسکرین‌شات‌ها بلکه حالت‌های اشکال‌زدایی و امثال آن را نیز شناسایی می‌کند.
ページ保存	ذخیرهٔ صفحه
右クリック	کلیک راست
アドオンがインストールされていると操作できてしまいます	اگر افزونه نصب شده باشد، قادر به استفاده از آن خواهید بود.
コピー・カット	کپی و برش
本プラグインの設定によってはこのイベントにたどり着くことはほとんどない場合があります	بسته به تنظیمات این افزونه، ممکن است به ندرت با این رویداد مواجه شوید.
テキスト全選択	انتخاب همه متن
テキスト選択	انتخاب متن
デバッガー起動ログ、デバッガー妨害	گزارش راه‌اندازی دیباگر، تداخل دیباگر
デバッグモードの使い勝手を少し悪くし、デバッガを起動したことをログに残します、ブラウザによってはこの挙動が止められてしまいます	این کار حالت اشکال‌زدایی را کمی کمتر کاربرپسند می‌کند و ثبت می‌کند که اشکال‌زن راه‌اندازی شده است؛ با این حال، برخی مرورگرها ممکن است این رفتار را مسدود کنند.
リダイレクトするURL	آدرس URL را تغییر مسیر دهید
利用規約などのページに転送すると良いでしょう	ایده خوبی است که کاربران را به صفحاتی مانند شرایط استفاده هدایت کنید.
空欄にすると元のURLにリダイレクトをします	اگر خالی گذاشته شود، به آدرس اینترنتی اصلی هدایت می‌شود.
リダイレクトまでの時間	زمان تا هدایت مجدد
リダイレクトなし	بدون هدایت
1秒	۱ ثانیه
2秒	۲ ثانیه
3秒	۳ ثانیه
4秒	۴ ثانیه
5秒	۵ ثانیه
6秒	۶ ثانیه
7秒	۷ ثانیه
8秒	۸ ثانیه
9秒	۹ ثانیه
10秒	۱۰ ثانیه
15秒	۱۵ ثانیه
20秒	۲۰ ثانیه
25秒	۲۵ ثانیه
30秒	۳۰ ثانیه
35秒	۳۵ ثانیه
40秒	۴۰ ثانیه
45秒	۴۵ ثانیه
50秒	۵۰ ثانیه
55秒	۵۵ ثانیه
1分	۱ دقیقه
1分10秒	۱ دقیقه و ۱۰ ثانیه
1分20秒	۱ دقیقه و ۲۰ ثانیه
1分30秒	یک دقیقه و سی ثانیه
1分40秒	۱ دقیقه و ۴۰ ثانیه
1分50秒	۱ دقیقه و ۵۰ ثانیه
2分	۲ دقیقه
ソース表示を許可する権限	اجازه مشاهده کد منبع
ADMINログイン時のみ通常のソース出力	خروجی عادی منبع فقط هنگام ورود به سیستم به‌عنوان ادمین نمایش داده می‌شود.
USERログインで通常のソース出力	خروجی نرمال منبع هنگام ورود به سیستم به‌عنوان کاربر
通常のHTML出力を管理者のみかユーザーログインかを選択します	انتخاب کنید که آیا خروجی استاندارد HTML فقط برای مدیران محدود باشد یا نیاز به ورود کاربر داشته باشد.
画像を無理やりダウンロードして実際にダウンロードされるもの	اجبار یک تصویر به دانلود و آنچه در واقع دانلود می‌شود
GIF形式で1×1ピクセルの透過画像	یک تصویر شفاف ۱×۱ پیکسلی در فرمت GIF
PNG形式で1×1ピクセルの透過画像	یک تصویر شفاف یک در یک پیکسل در فرمت PNG
PNG形式で黄色い背景の警告画面	یک صفحهٔ هشدار با پس‌زمینهٔ زرد در فرمت PNG
意味のないHTMLドキュメント	یک سند بی‌معنی HTML
HTML保護時のHEADタグの出力	خروجی تگ HEAD وقتی HTML محافظت شده باشد
出力しない	چاپ نکنید
TITLEタグのみ	فقط تگ عنوان
WordpressのHEADタグより取得	استخراج‌شده از تگ HEAD وردپرس
企業用途の会員専用ページや社内ページなどでは「出力しない」、「TITLEタグのみ」で良いでしょう	برای صفحات اختصاصی اعضا و صفحات داخلی با کاربرد سازمانی، انتخاب «خروجی ندهید» یا «فقط تگ عنوان» کافی است.
WordpressのHEADタグから取得しないと、SNSのシェアでOGP画像が表示されません	مگر اینکه اطلاعات را از تگ HEAD وردپرس بازیابی کنید، تصویر OGP هنگام اشتراک‌گذاری در شبکه‌های اجتماعی نمایش داده نخواهد شد.
画像botをアクセス禁止にする	ربات تصویر را مسدود کنید
画像botをHTMLに対し避けることにより、画像検索から直接リンクされることによって守れなかったコンテンツを守ることができます、ただし完全には対処することはできません	با جلوگیری از دسترسی ربات‌های تصویر به HTML، می‌توانید محتوایی را که در برابر لینک‌دهی مستقیم از طریق جستجوی تصویر قابل محافظت نبود، محافظت کنید؛ با این حال، این راه‌حل کامل نیست.
AI学習用botをアクセス禁止にする	دسترسی به ربات آموزش هوش مصنوعی را مسدود کنید
AIの学習用のbotをHTMLに対し避けることにより、AIで利用されないようにします、ただし完全には対処することはできません	با اجتناب از استفاده از ربات‌هایی که برای آموزش هوش مصنوعی بر روی HTML طراحی شده‌اند، اطمینان حاصل می‌کنیم که محتوا توسط هوش مصنوعی مورد استفاده قرار نگیرد؛ با این حال، این امر را نمی‌توان به طور کامل جلوگیری کرد.
ウェブアーカイブ、ウェブ魚拓をアクセス禁止にする	دسترسی به بایگانی‌های وب و اسنپ‌شات‌های وب را مسدود کنید
自動的に収集されるウェブアーカイブ並びにユーザーの任意で取得される魚拓のアクセスを禁止します、ただし完全には対処することはできません	ما دسترسی به آرشیوهای وب جمع‌آوری‌شده به‌طور خودکار و اسکرین‌شات‌های گرفته شده بنا به صلاحدید کاربر را ممنوع می‌کنیم؛ با این حال، نمی‌توانیم به‌طور کامل از آن جلوگیری کنیم.
無効なUAをアクセス禁止にする	مسدود کردن آژانس‌های کاربری نامعتبر
ユーザーエイジェントの文字に不正な文字列があった場合のアクセスを避けます	اگر رشتهٔ کاربر-نماینده حاوی کاراکترهای نامعتبر باشد، دسترسی را مسدود می‌کند.
Internet Explorerと旧Microsoft Edge(EdgeHTML)のアクセスに警告を表示する	هنگام دسترسی به سایت از طریق اینترنت اکسپلورر و مایکروسافت اج قدیمی
Internet Explorerと旧Microsoft Edgeのアクセスを避けます	از دسترسی از طریق اینترنت اکسپلورر و مایکروسافت اج قدیمی جلوگیری می‌کند.
alertメッセージを表示する言語	زبان نمایش پیام‌های هشدار
Wordpressの言語	زبان‌های وردپرس
ブラウザの設定言語	تنظیمات زبان مرورگر
メッセージをカスタム設定されている場合は言語を変更できません	اگر پیام‌ها سفارشی‌سازی شده باشند، نمی‌توانید زبان را تغییر دهید.
同意画面の言語	زبان صفحهٔ رضایت‌نامه
view-sourceメッセージを表示する言語	زبان نمایش پیام «view-source»
一時使用トークンの有効期限	تاریخ انقضای توکن‌های موقت
3分	۳ دقیقه
4分	۴ دقیقه
5分	۵ دقیقه
6分	۶ دقیقه
7分	۷ دقیقه
8分	۸ دقیقه
9分	۹ دقیقه
10分	۱۰ دقیقه
15分	۱۵ دقیقه
20分	۲۰ دقیقه
25分	۲۵ دقیقه
30分	۳۰ دقیقه
35分	۳۵ دقیقه
40分	۴۰ دقیقه
45分	۴۵ دقیقه
50分	۵۰ دقیقه
55分	۵۵ دقیقه
1時間	یک ساعت
画像URL情報の有効期限を設定します	تاریخ انقضای اطلاعات URL تصویر را تنظیم کنید
一度読み込まれると画像URL情報と一時使用トークンは無効化されます	پس از بارگذاری، URL تصویر و توکن موقت باطل خواهند شد.
画像は遅延読み込みされますが、この指定した時間の30秒前に強制的に画像が読み込まれます	تصاویر به‌صورت درخواستی بارگذاری می‌شوند، اما ۳۰ ثانیه قبل از زمان مشخص‌شده به‌طور خودکار بارگذاری خواهند شد.
一時使用トークンのビット数	تعداد بیت‌ها در یک توکن موقت
画像URL情報を暗号化するのに一時使用トークンをパスワードとして使用しますが、その強度を指定します	یک توکن موقت به‌عنوان رمز عبور برای رمزگذاری اطلاعات URL تصویر استفاده می‌شود؛ این تنظیم قدرت آن را مشخص می‌کند.
ドロップダウンメニューの下に表示される選択肢にいくにつれて強度が強くなるものの、サーバーへの負荷が高くなり、HTML転送量が多くなることがあります	اگرچه گزینه‌های نمایش‌داده‌شده در زیر منوی کشویی به تدریج با جزئیات بیشتری ارائه می‌شوند، اما این امر می‌تواند بار سنگینی بر سرور وارد کرده و منجر به انتقال حجم زیادی از داده‌های HTML شود.
ハッシュ化アルゴリズム	الگوریتم هش
画像URL情報を暗号化するのに一時使用トークンをパスワードとして使用しますが、その時ハッシュ化が必要です、その強度を設定します	یک توکن موقت به‌عنوان رمز عبور برای رمزگذاری اطلاعات URL تصویر استفاده می‌شود؛ این کار نیازمند هش‌کردن است و این تنظیم، قدرت آن هش‌کردن را تعیین می‌کند.
ドロップダウンメニューの下に表示される選択肢にいくにつれて強度が強くなるものの、サーバーへの負荷が高くなります	اگرچه با پیمایش به پایین در میان گزینه‌های نمایش‌داده‌شده در منوی کشویی، شدت افزایش می‌یابد، اما این کار بار بیشتری را بر سرور وارد می‌کند.
基本設定	تنظیمات پایه
高度な設定	تنظیمات پیشرفته
初期設定に戻す	بازگرداندن تنظیمات پیش‌فرض
デザイン・音の設定	تنظیمات طراحی و صدا
