設定	Postavke
おやじ ロング - 23.5秒 - 195,578bytes - 64kbps - ライセンス GPL2.0 or later (C)EJ	Oyaji Long - 23,5 sekundi - 195.578 bajtova - 64 kbps - Licenca: GPL 2.0 ili novija
ショパン エチュード Op.10-5 黒鍵 打ち込み版 高速版 - 1分0.0秒 - 369,778bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	Chopin Étude Op. 10 br. 5
ショパン エチュード Op.10-12 革命 打ち込み版 高速版 - 1分57.6秒 - 724,457bytes - 48kbps -  ライセンス：CC BY-ND 4.0 or later	Chopin Étude Op. 10 br. 12 'Revolucija' – računalno generirana verzija, visoka brzina – 1 minuta 57,6 sekundi – 724.457 bajtova – 48 kbps – Licenca: CC BY-ND 4.0 ili novija
ショパン スケルツォ 変ロ短調 Op2 打ち込み版 高速短縮版 - 1分48.0秒 - 665,369bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	Chopin: Scherzo u si♭-molu, op. 2 – računalno generirana verzija, skraćena verzija velike brzine – 1 minuta 48,0 sekundi – 665.369 bajtova – 48 kbps – Licenca: CC BY-ND 4.0 ili novija
リスト 超絶技巧練習曲 4番 マゼッパ 打ち込み版 高速短縮版 - 1分51.6秒 - 687,586bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	Popis: Étude d'Exécution Transcendante br. 4, "Mazeppa" – računalno generirana verzija, skraćena verzija visoke brzine – 1 minuta 51,6 sekundi – 687.586 bajtova – 48 kbps – Licenca: CC BY-ND 4.0 ili novija
ファンファーレ - 22.3秒 - 183,926bytes - 64kbps - ライセンス：パブリックドメイン	Fanfare – 22,3 sekunde – 183.926 bajtova – 64 kbps – Licenca: javno vlasništvo
レトロ風ファンファーレ - 2.2秒 - 10,536bytes - 32kbps - ライセンス：パブリックドメイン	Retro-stilska fanfara – 2,2 sekunde – 10.536 bajtova – 32 kbps – Licenca: javno vlasništvo
レトロ風オープン - 42.1秒 - 179,138bytes - 32kbps - ライセンス：パブリックドメイン	Retro-stilski uvod – 42,1 sekundi – 179.138 bajtova – 32 kbps – Licenca: javno vlasništvo
警告 by ChatGPT - 3.8秒 - 109,700bytes - 256kbps - ライセンス：パブリックドメイン	Upozorenje ChatGPT-a - 3,8 sekundi - 109.700 bajtova - 256 kbps - Licenca: Javno vlasništvo
マルウェア検出みたいな緊急感の高い音 その１ by ChatGPT - 3.3秒 - 102,850bytes - 256kbps - ライセンス：パブリックドメイン	Zvuk visoke hitnosti nalik na upozorenje o detekciji zlonamjernog softvera – 1. dio od ChatGPT-a – 3,3 sekunde – 102.850 bajtova – 256 kbps – Licenca: javno vlasništvo
マルウェア検出みたいな緊急感の高い音 その２ by ChatGPT - 3.3秒 - 103,122bytes - 256kbps - ライセンス：パブリックドメイン	Zvuk visoke hitnosti poput upozorenja na detekciju zlonamjernog softvera, 2. dio od ChatGPT-a - 3,3 sekunde - 103.122 bajta - 256 kbps - Licenca: Javno vlasništvo
MRI風サウンド by ChatGPT - 1分14.9秒 - 3,340,392bytes - 320kbps - ライセンス：パブリックドメイン	Zvuk u stilu MRI-ja od ChatGPT-a – 1 minuta 14,9 sekundi – 3.340.392 bajtova – 320 kbps – Licenca: Javno vlasništvo
警告表示中のBGMを選択します	Odaberite pozadinsku glazbu koja će se reproducirati tijekom upozorenja.
びっくりするような雰囲気を作ります	Stvara iznenađujuću atmosferu
Firefoxでは音声ブロックされます	Audio je blokiran u Firefoxu.
対象アクションを起こした時のビープ音	Bip kada se izvrši navedena radnja
有効 音量小さ目	Uključeno, glasnoća niska
有効 音量大き目	Aktivno, glasnoća postavljena na visoko
警告表示中にすべてのキー・マウスイベントでビープ音を鳴らします	Dok se prikazuje upozorenje, za sve događaje tipke i miša čut će se bip.
警告表示中に端末が暴走したかのような雰囲気を作ります	Stvara dojam da je uređaj poludio dok se prikazuje upozorenje.
対象アクションを起こした時のマウスカーソルの消去	Skrivanje pokazivača miša kada se izvrši određena radnja
警告表示中にブラウザのエリアのマウスカーソルを消去します	Sakriva pokazivač miša u području preglednika dok se prikazuje upozorenje
デバッグモード	Režim otklanjanja pogrešaka
妨害＋記録のみ	Samo ometanje + zapisi
妨害＋記録＋表示＋リダイレクト	Smetnje + Zapisivanje + Prikaz + Preusmjeravanje
メニューからは操作できてしまいます	I dalje mu možete pristupiti putem izbornika.
Firefoxにおけるデバッグモード	Režim otklanjanja pogrešaka u Firefoxu
ブラウザーコンソール	Konzole preglednika
事実上デバッグモードから操作できてしまいます	U praksi ga možete koristiti iz načina otklanjanja pogrešaka.
HTMLソース表示	Pogledaj izvorni HTML
view-source:から始まるURLを入力すれば操作できてしまいます	Možete izvršiti operaciju jednostavno unosom URL-a koji započinje s 'view-source:'
HTML保護と組み合わせることでコンテンツを保護することができます	Možete zaštititi svoj sadržaj kombiniranjem ovoga s HTML zaštitom.
印刷	Ispiši
印刷阻止をするもものの、ブラウザによってはうまく動作しません	Iako sprječava ispis, u nekim preglednicima možda neće ispravno raditi.
スクリーンショット	Snimka zaslona
OSやブラウザ、方法によっては妨害できず、もしくは検出しないことがあります	Ovisno o operativnom sustavu, pregledniku ili korištenoj metodi, možda neće biti moguće blokirati ovo ili ono možda neće biti otkriveno.
ウインドウが背面に移動した時スクリーンショットの疑い	Pretpostavljeni snimak zaslona kada se prozor pomakne u pozadinu
あわせて、スクリーンショット以外の機能（タブ切り替え・ウィンドウ切り替え）にも反応してしまいます。	Također reagira na funkcije osim snimanja zaslona
2キー押下のスクリーンショットの疑い	Navodni snimak zaslona napravljen pritiskom na dvije tipke
上の項目の検出方法は完全ではありません、予防的に検出を行います	Metode otkrivanja navedenih stavki nisu posve pouzdane; otkrivanje se provodi kao mjera opreza.
スクリーンショットだけではなく、デバッグモード等も検出します	Detektira ne samo snimke zaslona, nego i načine otklanjanja pogrešaka i slično.
ページ保存	Spasi stranicu
右クリック	Desni klik
アドオンがインストールされていると操作できてしまいます	Ako je dodatak instaliran, moći ćete ga koristiti.
コピー・カット	Kopiraj i izreži
本プラグインの設定によってはこのイベントにたどり着くことはほとんどない場合があります	Ovisno o postavkama ovog dodatka, rijetko biste mogli naići na ovaj događaj.
テキスト全選択	Odaberi sav tekst
テキスト選択	Odaberi tekst
デバッガー起動ログ、デバッガー妨害	Zapis pokretanja otklanjivača pogrešaka, ometanje otklanjivača pogrešaka
デバッグモードの使い勝手を少し悪くし、デバッガを起動したことをログに残します、ブラウザによってはこの挙動が止められてしまいます	Ovo čini način otklanjanja pogrešaka nešto manje prilagođen korisniku i bilježi činjenicu da je otklanjač pogrešaka pokrenut; međutim, neki preglednici mogu blokirati ovo ponašanje.
リダイレクトするURL	Preusmjeri URL
利用規約などのページに転送すると良いでしょう	Bilo bi dobro preusmjeriti korisnike na stranice poput Uvjeta korištenja.
空欄にすると元のURLにリダイレクトをします	Ako ostane prazno, preusmjerit će se na izvorni URL.
リダイレクトまでの時間	Vrijeme do preusmjeravanja
リダイレクトなし	Nema preusmjeravanja
1秒	1 sekunda
2秒	2 sekunde
3秒	3 sekunde
4秒	4 sekunde
5秒	5 sekundi
6秒	6 sekundi
7秒	7 sekundi
8秒	8 sekundi
9秒	9 sekundi
10秒	10 sekundi
15秒	15 sekundi
20秒	20 sekundi
25秒	25 sekundi
30秒	30 sekundi
35秒	35 sekundi
40秒	40 sekundi
45秒	45 sekundi
50秒	50 sekundi
55秒	55 sekundi
1分	1 minuta
1分10秒	1 minuta 10 sekundi
1分20秒	1 minuta 20 sekundi
1分30秒	1 minuta i 30 sekundi
1分40秒	1 minuta i 40 sekundi
1分50秒	1 minuta 50 sekundi
2分	2 minute
ソース表示を許可する権限	Dopuštenje za pregled izvornog koda
ADMINログイン時のみ通常のソース出力	Normalni izlaz izvora samo kada ste prijavljeni kao ADMIN
USERログインで通常のソース出力	Normalni izlaz izvora kada ste prijavljeni kao USER
通常のHTML出力を管理者のみかユーザーログインかを選択します	Odaberite hoće li standardni HTML izlaz biti ograničen samo na administratore ili zahtijevati prijavu korisnika.
画像を無理やりダウンロードして実際にダウンロードされるもの	Prisiljavanje slike na preuzimanje i ono što se zapravo preuzme
GIF形式で1×1ピクセルの透過画像	Prozirna slika od 1×1 piksela u GIF formatu
PNG形式で1×1ピクセルの透過画像	Prozirna slika od 1×1 piksela u PNG formatu
PNG形式で黄色い背景の警告画面	Upozoravajući zaslon s žutom pozadinom u PNG formatu
意味のないHTMLドキュメント	Besmisleni HTML dokument
HTML保護時のHEADタグの出力	Ispis HEAD oznake kada je HTML zaštićen
出力しない	Ne ispisujte
TITLEタグのみ	Samo oznaka TITLE
WordpressのHEADタグより取得	Preuzeto iz HEAD oznake WordPressa
企業用途の会員専用ページや社内ページなどでは「出力しない」、「TITLEタグのみ」で良いでしょう	Za korporativne stranice namijenjene isključivo članovima i interne stranice, odabir opcije 'Ne prikazuj' ili 'Samo oznaka TITLE' trebao bi biti dovoljan.
WordpressのHEADタグから取得しないと、SNSのシェアでOGP画像が表示されません	Osim ako ne dohvatite informacije iz HEAD oznake WordPressa, OGP slika se neće pojaviti pri dijeljenju na društvenim mrežama.
画像botをアクセス禁止にする	Blokiraj bot za slike
画像botをHTMLに対し避けることにより、画像検索から直接リンクされることによって守れなかったコンテンツを守ることができます、ただし完全には対処することはできません	Sprječavanjem pristupa HTML-u botova za slike možete zaštititi sadržaj koji se ne može zaštititi od izravnog povezivanja putem pretraživanja slika; međutim, ovo nije rješenje koje štiti u svakom slučaju.
AI学習用botをアクセス禁止にする	Blokiraj pristup botu za obuku umjetne inteligencije
AIの学習用のbotをHTMLに対し避けることにより、AIで利用されないようにします、ただし完全には対処することはできません	Izbjegavanjem upotrebe botova namijenjenih obuci umjetne inteligencije na HTML-u osiguravamo da sadržaj ne bude iskorišten od strane AI; međutim, to se ne može u potpunosti spriječiti.
ウェブアーカイブ、ウェブ魚拓をアクセス禁止にする	Blokirajte pristup web-arhivama i snimkama web-stranica
自動的に収集されるウェブアーカイブ並びにユーザーの任意で取得される魚拓のアクセスを禁止します、ただし完全には対処することはできません	Zabranjujemo pristup automatski prikupljenim internetskim arhivama i snimkama zaslona koje korisnik napravi po vlastitom nahođenju; međutim, to ne možemo u potpunosti spriječiti.
無効なUAをアクセス禁止にする	Blokiraj nevažeće korisničke agente
ユーザーエイジェントの文字に不正な文字列があった場合のアクセスを避けます	Sprječava pristup ako string korisničkog agenta sadrži nevažeće znakove
Internet Explorerと旧Microsoft Edge(EdgeHTML)のアクセスに警告を表示する	Prikaži upozorenje pri pristupu Internet Exploreru i starom Microsoft Edgeu
Internet Explorerと旧Microsoft Edgeのアクセスを避けます	Sprječava pristup putem Internet Explorera i starog Microsoft Edgea
alertメッセージを表示する言語	Jezik na kojem se prikazuju obavijesti
Wordpressの言語	WordPress jezici
ブラウザの設定言語	Postavke jezika preglednika
メッセージをカスタム設定されている場合は言語を変更できません	Ne možete promijeniti jezik ako su poruke prilagođene.
同意画面の言語	Jezik zaslona za davanje suglasnosti
view-sourceメッセージを表示する言語	Jezik u kojem će se prikazati poruka 'view-source'
一時使用トークンの有効期限	Rok trajanja privremenih tokena
3分	3 minute
4分	4 minute
5分	5 minuta
6分	6 minuta
7分	7 minuta
8分	8 minuta
9分	9 minuta
10分	10 minuta
15分	15 minuta
20分	20 minuta
25分	25 minuta
30分	30 minuta
35分	35 minuta
40分	40 minuta
45分	45 minuta
50分	50 minuta
55分	55 minuta
1時間	1 sat
画像URL情報の有効期限を設定します	Postavite datum isteka informacija o URL-u slike
一度読み込まれると画像URL情報と一時使用トークンは無効化されます	Nakon učitavanja, URL slike i privremeni token bit će poništeni.
画像は遅延読み込みされますが、この指定した時間の30秒前に強制的に画像が読み込まれます	Slike se učitavaju na zahtjev, ali će se automatski učitati 30 sekundi prije navedenog vremena.
一時使用トークンのビット数	Broj bita u privremenom tokenu
画像URL情報を暗号化するのに一時使用トークンをパスワードとして使用しますが、その強度を指定します	Privremeni token koristi se kao lozinka za šifriranje informacija o URL-u slike; ova postavka određuje njegovu snagu
ドロップダウンメニューの下に表示される選択肢にいくにつれて強度が強くなるものの、サーバーへの負荷が高くなり、HTML転送量が多くなることがあります	Iako opcije prikazane ispod padajućeg izbornika postaju sve detaljnije, to može opteretiti poslužitelj i rezultirati velikom količinom prenesenih HTML podataka.
ハッシュ化アルゴリズム	Hash algoritam
画像URL情報を暗号化するのに一時使用トークンをパスワードとして使用しますが、その時ハッシュ化が必要です、その強度を設定します	Privremeni token koristi se kao lozinka za šifriranje informacija o URL-u slike; to zahtijeva hashiranje, a ovo postavljanje određuje snagu tog hashiranja.
ドロップダウンメニューの下に表示される選択肢にいくにつれて強度が強くなるものの、サーバーへの負荷が高くなります	Iako se intenzitet povećava kako se spuštaš kroz popis opcija prikazanih u padajućem izborniku, to nameće veći teret na poslužitelj.
基本設定	Osnovna postavljanja
高度な設定	Napredne postavke
初期設定に戻す	Obnovite zadana postavljanja
デザイン・音の設定	Dizajn i zvučni postavci
イベントの設定	Postavke događaja
初回訪問時のお知らせの設定	Postavljanje obavijesti za prve posjete
メッセージの設定	Postavke poruke
右クリックやソースコード表示時に転送する URL を設定します	Postavite URL koji će se otvoriti pri desnom kliku ili pregledavanju izvornog koda
警告メッセージにはHTMLは使用できません	HTML se ne može koristiti u porukama upozorenja.
この画面で設定すると、高度な設定タブにある言語設定が無視されます	Ako ovo konfigurirate na ovom zaslonu, postavke jezika na kartici Napredno bit će zanemarene.
以下の文字列が使用できます	Sljedeći nizovi se mogu koristiti
改行	Prelom retka
押下されたキー	Pritisnuta tipka
Neo HTML Protector 設定	Postavke Neo HTML zaštitnika
お知らせ	Obavijest
メッセージ	Poruka
デザイン・音	Dizajn i zvuk
初期化	Inicijalizacija
このプラグインについて	O ovom dodatku
設定が初期化されました	Postavke su resetirane.
プラグインを初期化します なおIPログリーダーのデータはここでは削除されません	Inicijalizirajte dodatak. Imajte na umu da se podaci IP Log Readera u ovoj fazi neće izbrisati.
Neo HTML Protectorについて	O programu Neo HTML Protector
このプラグインはあなたのWordpressから出力されるHTMLや画像等を保護し、コンテンツの不正利用から守ることを目的としています。	Ovaj dodatak je dizajniran da zaštiti HTML, slike i ostali sadržaj generiran na vašoj WordPress stranici, štiteći ga od neovlaštenog korištenja.
コンテンツを完璧に守ることはできません。しかし可能な限りの方法において警告し、もし何かがあった場合に備えて準備することにより国で定められている方法で解決することができるはずです。	Nemoguće je u potpunosti zaštititi sadržaj. Međutim, izdavanjem upozorenja gdje god je to moguće i poduzimanjem priprema u slučaju da se nešto dogodi, trebali bismo biti u mogućnosti riješiti problem u skladu s procedurama koje je propisala vlada.
もちろん、利用規約やサイトポリシーを充実させる必要があります。このプラグインは利用規約生成アプリではありませんが、そのヒントを与えることができます。	Naravno, morat ćete osigurati da su vaši uvjeti i odredbe te pravila stranice sveobuhvatni. Iako ovaj dodatak nije alat za generiranje uvjeta i odredbi, može pružiti određene smjernice.
開発者: 夜桜　なの	Programer: Nano Yozakura
バージョン	Verzija
ビルド	Izgradi
サポートページ	Podržite stranicu
ISISちゃん	ISIS chan
Miss. 裏まにら氏歌唱	Izvela gospođica Ura Manira
支援のお願い	Zahtjev za podršku
Neo HTML Protectorをご利用いただき、ありがとうございます！	Hvala vam što koristite Neo HTML Protector!
本プラグインの開発と維持には多くの時間と知恵の絞りだしがかかっており、引き続き改善と更新を行っていくための資金を集めるために、もしご支援いただける方がいれば、寄付をお願いできればと思います。	Razvoj i održavanje ovog dodatka zahtijevali su mnogo vremena i truda, a kako bismo prikupili sredstva za daljnje poboljšanje i ažuriranje, bili bismo zahvalni ako bi netko tko nam može pomoći razmislio o donaciji.
寄付について	O donacijama
寄付は任意であり、強制ではありません。プラグインを無料でご利用いただけるように、どなたでも利用可能です。しかし、開発を継続するためにはご支援が大変ありがたく、少しでもご協力いただけると嬉しいです。	Donacije su potpuno dobrovoljne i nisu obavezne. Plugin je svima dostupan besplatno. Međutim, vaša podrška je izuzetno cijenjena kako bismo mogli nastaviti razvoj, i bili bismo oduševljeni ako biste mogli doprinijeti koliko god možete.
ご寄付は、下記のリンクから行っていただけます。日本の方であれば無料で寄付をすることも可能で、更にはアマゾンギフト券で気軽に寄付をすることが可能です。	Možete donirati putem poveznice u nastavku. Ako se nalazite u Japanu, možete donirati besplatno, a također lako donirati pomoću Amazon poklon-bonova.
寄付先	Dobrotvorne organizacije
皆様のご支援があれば、今後も素晴らしいアップデートをお届けできるよう頑張ります！	Uz vašu podršku, dat ćemo sve od sebe da vam i dalje donosimo fantastične novosti!
ご支援いただけることに感謝し、今後ともよろしくお願いいたします。	Zahvalni smo na vašoj podršci i radujemo se vašoj daljnjoj podršci u budućnosti.
ライセンス	Licenca
本プラグインはオープンソースで開発されており、GPL2.0以降のバージョンのライセンスを適用しています。	Ovaj dodatak razvijen je kao softver otvorenog koda i licenciran je pod GPLv2.0 ili novijom verzijom.
このプラグインに含まれるいくつかの技術は特許保護の対象です。	Neke od tehnologija uključenih u ovaj dodatak zaštićene su patentima.
特許技術の使用は、このプラグイン内での使用に限って認められます。	Korištenje patentirane tehnologije dopušteno je isključivo unutar ovog dodatka.
その他の使用については、作者に連絡して商用ライセンスを取得してください。	Za bilo koju drugu upotrebu, molimo kontaktirajte autora kako biste dobili komercijalnu licencu.
本プラグインには以下のライブラリを同梱しています	Ovaj dodatak uključuje sljedeće biblioteke
本プラグインには以下で生成したアスキーアートのフォント、並びにフォントファイルを同梱しています	Ovaj dodatak uključuje fontove ASCII umjetnosti generirane u nastavku, zajedno s datotekama fontova.
