ISISちゃん	ISIS chan
画像保護が有効な場合のみ、画像を正常に配信するため、IPアドレスと画像ファイル名をハッシュ化したデータをデータベースに最大60分間保存する。	تصاویر کی حفاظت فعال ہونے کی صورت میں ہی تصاویر صحیح طریقے سے پہنچائی جائیں، اس بات کو یقینی بنانے کے لیے ہم آئی پی ایڈریس اور تصویر کے فائل نام پر مشتمل ہیش شدہ ڈیٹا کو ڈیٹا بیس میں 60 منٹ تک محفوظ رکھتے ہیں۔
利用規約を設定する場合、必ずプライバシーポリシーに利用規約のリンクを設置して下さい	اگر آپ استعمال کی شرائط مرتب کر رہے ہیں تو براہِ کرم یقینی بنائیں کہ آپ اپنی پرائیویسی پالیسی میں ان کا لنک شامل کریں۔
利用規約の文字列	استعمال کی شرائط کا متن
利用規約のページ	شرائط و ضوابط کا صفحہ
ページ選択なし	کوئی صفحہ منتخب نہیں کیا گیا
検索エンジン等のURL	سرچ انجنوں وغیرہ کے لیے یو آر ایل
同意しなかった時に画面遷移する検索エンジンなどのURLを設定します	ان سرچ انجنز اور مشابہہ سائٹس کے لیے یو آر ایل سیٹ کریں جو رضامندی نہ دینے پر صارفین کو ری ڈائریکٹ کرتی ہیں۔
デバッグモード、コンソールの警告メッセージ	ڈی بگ موڈ، کنسول انتباہی پیغامات
右クリックの警告メッセージ	دائیں کلک انتباہی پیغام
印刷、PDF保存の警告メッセージ	پی ڈی ایف کے طور پر پرنٹ کرنے اور محفوظ کرنے کے بارے میں انتباہی پیغام
スクリーンショットの警告メッセージ	اسکرین شاٹ میں انتباہی پیغام
スクリーンショットの疑いの警告メッセージ	مشتبہ اسکرین شاٹس کے بارے میں انتباہی پیغام
テキスト全選択時の警告メッセージ	تمام متن منتخب ہونے پر انتباہی پیغام
ページ保存の警告メッセージ	صفحہ محفوظ کرنے کے بارے میں انتباہی پیغام
コピー・カットした時に表示するメッセージ	کاپی یا کاٹتے وقت دکھایا جانے والا پیغام
HTMLソース表示時に表示するメッセージ	HTML ماخذ دیکھتے وقت دکھانے والا پیغام
HTML難読化・保護時にソースの先頭に表示するメッセージ	جب HTML کو مبہم یا محفوظ کیا جائے تو ماخذ کوڈ کے اوپر دکھائے جانے والا پیغام
HTML保護時に一度限りの認証トークンが異常の場合に表示するメッセージ	ایچ ٹی ایم ایل تحفظ کے دوران اگر یک بار استعمال ہونے والا توثیقی ٹوکن غیر معتبر ہو تو دکھانے والا پیغام
CookieやJavascriptが有効でない場合に表示するメッセージ	اگر کوکیز یا جاوا اسکرپٹ غیر فعال ہوں تو دکھانے والا پیغام
実際にはJavascriptが無効時のみ表示されます	درحقیقت، یہ صرف اس وقت دکھائی دیتا ہے جب جاوا اسکرپٹ غیر فعال ہو۔
画像保護時に画像がダウンロードされ、その画像に表示するメッセージ 英語のみ	جب کوئی تصویر محفوظ کی جاتی ہے تو وہ ڈاؤن لوڈ ہو جاتی ہے اور اس پر ایک پیغام ظاہر ہوتا ہے
HTML難読化 (圧縮)	ایچ ٹی ایم ایل ابہام کاری
一般的なHTML圧縮です、難読化解除のサイトもあります	یہ معیاری HTML کمپریشن ہے؛ ایسی ویب سائٹس بھی ہیں جو اسے ڈی کوڈ کر سکتی ہیں۔
このオプションを有効にするとview-sourceのログが取得できます	اس آپشن کو فعال کرنے سے آپ ویو-سورس لاگ حاصل کر سکتے ہیں۔
HTML保護	ایچ ٹی ایم ایل تحفظ
HTML圧縮以上に最小限のHTMLしか出力せず、BODYタグ内の内容が全く出力されなくなります	یہ صرف HTML کا انتہائی کم از کم حصہ ہی آؤٹ پٹ کرتا ہے—HTML کمپریشن استعمال کرنے کی صورت میں بھی اس سے کم—اور BODY ٹیگ کے اندر موجود مواد بالکل بھی آؤٹ پٹ نہیں ہوتا۔
Firefoxに対しては無効です	یہ فائر فاکس پر لاگو نہیں ہوتا۔
SEOに著しく影響があります	اس کا SEO پر نمایاں اثر پڑتا ہے۔
HTMLをJavaScriptで描画	جاوا اسکرپٹ کے ذریعے ایچ ٹی ایم ایل پیش کرنا
Firefox対策としてHTMLをJavaScriptで描画をします	فائر فاکس کے متبادل کے طور پر، ہم جاوا اسکرپٹ استعمال کرتے ہوئے ایچ ٹی ایم ایل کو رینڈر کرتے ہیں۔
JavaScript描画で有効にするとウェブサイトの表示速度が著しく遅くなります	جاوا اسکرپٹ رینڈرنگ کو فعال کرنے سے ویب سائٹ کی لوڈنگ کی رفتار میں نمایاں سستی آئے گی۔
画像の保護	تصویر کی حفاظت
imgタグが呼び出されるごとに画像を保護	ہر بار جب img ٹیگ کال کیا جائے تو تصویر کا تحفظ کریں۔
出力される全HTMLのうち、Wordpressにアップロードされた画像をすべて保護	پورے HTML آؤٹ پٹ میں ورڈپریس پر اپلوڈ کی گئی تمام تصاویر کا تحفظ کریں۔
画像をダウンロードから保護します	تصاویر کو ڈاؤن لوڈ ہونے سے محفوظ رکھتا ہے۔
画像データを保護した時にはほぼ完全なるダウンロードを阻止し、完全なるワンタイムURLを発行し、セッションに保存されたトークンで認証し、phpから画像を表示します、その為ほぼ完全な画像盗用を防ぎます	جب تصویر کا ڈیٹا محفوظ ہوتا ہے، تو ہم تقریباً تمام ڈاؤن لوڈز کو روک دیتے ہیں، منفرد یک مرتبہ استعمال ہونے والی یو آر ایلز جاری کرتے ہیں، سیشن میں محفوظ ٹوکنز کے ذریعے تصدیق کرتے ہیں، اور تصاویر کو PHP کے ذریعے دکھاتے ہیں؛ اس سے تصویر چوری کے تقریباً تمام واقعات مؤثر طریقے سے روکے جاتے ہیں۔
画像データを保護した時には画像のキャッシュが効かないため、次回訪問時にサイトの読み込みが遅くなるため、SEOに影響があります	جب تصویر کا ڈیٹا محفوظ ہوتا ہے تو کیشنگ کام نہیں کرتی، جس کا مطلب ہے کہ سائٹ اگلی بار وزٹ کرنے پر زیادہ سست لوڈ ہوگی، اور اس طرح SEO متاثر ہوتا ہے۔
画像データを保護した時には、データベースの負荷が高くなる可能性があります	تصویری ڈیٹا کی حفاظت کرنے سے ڈیٹا بیس پر بوجھ بڑھ سکتا ہے۔
「imgタグが呼び出されるごとに画像を保護」の場合は、add_filterを使用し、imgタグの発行時にフィルタリングを行います、テーマによっては正しく動作しません	اگر آپ 'جب بھی img ٹیگ کال کیا جائے تو تصاویر کو محفوظ کریں' کا انتخاب کرتے ہیں تو سسٹم img ٹیگ بناتے وقت فلٹرنگ کے لیے add_filter استعمال کرتا ہے؛ تاہم، یہ بعض تھیمز کے ساتھ صحیح طریقے سے کام نہیں کر سکتا۔
「出力される全HTMLのうち、Wordpressにアップロードされた画像をすべて保護」の場合は、Wordpressのほぼすべての動作をキャプチャし、コンテンツ内のimgタグについてすべて処理します。テーマによっては正しく動作しません	اگر آپ 'پورے HTML آؤٹ پٹ میں WordPress پر اپلوڈ کی گئی تمام تصاویر کا تحفظ کریں' کا انتخاب کرتے ہیں تو پلگ ان تقریباً تمام WordPress آپریشنز کو ریکارڈ کرے گا اور مواد میں موجود ہر img ٹیگ پر عمل کرے گا۔ براہ کرم نوٹ کریں کہ یہ کچھ تھیمز کے ساتھ صحیح طریقے سے کام نہیں کر سکتا۔
なお、アイキャッチに指定した画像はOGPとして拡散されますので保護できません。どうしても保護すべき場合は高度な設定でHTML保護時のHEADタグの出力の選択を変更してください	براہ کرم نوٹ کریں کہ فیچرڈ امیجز کے طور پر منتخب کی گئی تصاویر OGP ڈیٹا کے طور پر شیئر کی جائیں گی اور محفوظ نہیں کی جا سکتیں۔ اگر آپ کو انہیں لازماً محفوظ کرنا ہے تو HTML پروٹیکشن فعال کرتے وقت ایڈوانسڈ سیٹنگز میں HEAD ٹیگ آؤٹ پٹ کی سیٹنگ تبدیل کریں۔
OS標準搭載のスクリーンショット機能を保護することはできません	آپریٹنگ سسٹم میں موجود اسکرین شاٹ فنکشن کو محفوظ نہیں کیا جا سکتا۔
画像URLの保護	تصویری یو آر ایلوں کا تحفظ
画像の保護と組み合わせて使用します、単体では意味がありません	اسے تصویر کی حفاظت کے ساتھ استعمال کرنا چاہیے؛ اکیلے یہ کسی کام کا نہیں۔
JavaScriptにより遅延読まれますのでSEOに影響があります	چونکہ اسے جاوا اسکرپٹ کے ذریعے سست طریقے سے لوڈ کیا جاتا ہے، اس سے SEO متاثر ہوتا ہے۔
画像のウォーターマーク	تصویر کا واٹر مارک
右下	نیچے دائیں
ランダム位置	تصادفی پوزیشن
画像の保護と組み合わせて使用します、動的な透かしで著作権を明示しつつ、閲覧者に監視されている印象を与え抑止力を高めます	تصویر کی حفاظت کے ساتھ استعمال کیے جانے پر، متحرک واٹر مارکس واضح طور پر کاپی رائٹ کی ملکیت کی نشاندہی کرتے ہیں اور ناظرین کو یہ تاثر دیتے ہیں کہ ان کی نگرانی کی جا رہی ہے، یوں یہ روک تھام کا باعث بنتے ہیں۔
JPG形式、PNG形式、WebP形式のみ対応します	صرف JPG، PNG اور WebP فارمیٹس کی حمایت کی جاتی ہے۔
有効にするとサーバーの負荷が高くなります	اس کو فعال کرنے سے سرور پر بوجھ بڑھ جائے گا۔
HTML難読化・保護時のHTMLソースコードのアスキーアートの出力	HTML کے ماخذ کوڈ کے دوران ASCII آرٹ پیدا کرنا، HTML کو مبہم بنانے اور تحفظ کے دوران
表示なし	کوئی ڈسپلے نہیں
view-sourceでHTMLソース表示をした時に警告の意思を示すアスキーアートを表示します	'view-source' استعمال کرتے ہوئے HTML سورس دیکھتے وقت انتباہ ظاہر کرنے والی ASCII آرٹ دکھاتا ہے۔
対象アクションを起こした時の表示デザイン	جب ہدف کی کارروائی انجام دی جائے تو ڈسپلے ڈیزائن دکھائیں۔
黄色の背景の黒文字のベーシックデザイン	ایک بنیادی ڈیزائن جس میں پیلی پس منظر پر سیاہ متن ہے۔
黒色の背景の赤文字のホラー風デザイン	ایک خوفناک طرز کا ڈیزائن جس میں سیاہ پس منظر پر سرخ متن ہے۔
黒色の背景の赤文字の光る文字のデザイン	ایک ڈیزائن جس میں سیاہ پس منظر پر چمکتے ہوئے سرخ متن کی خصوصیت ہے۔
対象アクションを起こした時のBGM	پس منظر کی موسیقی جو ہدف کی کارروائی انجام پانے پر بجتی ہے۔
サウンドなし	کوئی آواز نہیں
戦闘＆戦闘勝利 - 1分16.3秒 - 630,056bytes - 64kbps - ライセンス：CC2.1 or later	جنگ اور فتح - 1 منٹ 16.3 سیکنڈ - 630,056 بائٹس - 64 kbps - لائسنس: CC 2.1 یا اس کے بعد
おやじ ショート - 3.8秒 - 32,364bytes - 64kbps - ライセンス GPL2.0 or later (C)EJ	ڈیڈ شارٹ - 3.8 سیکنڈ - 32,364 بائٹس - 64 kbps - لائسنس: GPL 2.0 یا بعد کا
おやじ ロング - 23.5秒 - 195,578bytes - 64kbps - ライセンス GPL2.0 or later (C)EJ	اوئیاجی لانگ - 23.5 سیکنڈ - 195,578 بائٹس - 64 kbps - لائسنس: GPL 2.0 یا بعد کا
ショパン エチュード Op.10-5 黒鍵 打ち込み版 高速版 - 1分0.0秒 - 369,778bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	شوپن ایٹوڈ اوپس 10 نمبر 5
ショパン エチュード Op.10-12 革命 打ち込み版 高速版 - 1分57.6秒 - 724,457bytes - 48kbps -  ライセンス：CC BY-ND 4.0 or later	شوپن ایٹوڈ او پیس ۱۰ نمبر ۱۲ 'ریوولیوشن' – کمپیوٹر سے تیار کردہ ورژن، تیز رفتار – ۱ منٹ ۵۷.۶ سیکنڈ – ۷۲۴,۴۵۷ بائٹس – ۴۸ کے بی پی ایس – لائسنس: CC BY-ND 4.0 یا اس کے بعد
ショパン スケルツォ 変ロ短調 Op2 打ち込み版 高速短縮版 - 1分48.0秒 - 665,369bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	شوپن: شرزو ب-فلیٹ مائنر، اوپس۔ 2 – کمپیوٹر سے تیار کردہ ورژن، تیز رفتار مختصر ورژن – 1 منٹ 48.0 سیکنڈ – 665,369 بائٹس – 48 kbps – لائسنس: CC BY-ND 4.0 یا اس کے بعد
リスト 超絶技巧練習曲 4番 マゼッパ 打ち込み版 高速短縮版 - 1分51.6秒 - 687,586bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	فہرست: Étude d'Exécution Transcendante نمبر 4، 'میزپا' – کمپیوٹر سے تیار کردہ ورژن، تیز رفتار مختصر ورژن – 1 منٹ 51.6 سیکنڈ – 687,586 بائٹس – 48 kbps – لائسنس: CC BY-ND 4.0 یا اس کے بعد
ファンファーレ - 22.3秒 - 183,926bytes - 64kbps - ライセンス：パブリックドメイン	شہرت کی دھن – 22.3 سیکنڈ – 183,926 بائٹس – 64 kbps – لائسنس: پبلک ڈومین
レトロ風ファンファーレ - 2.2秒 - 10,536bytes - 32kbps - ライセンス：パブリックドメイン	ریٹرو طرز کا پرفارے – 2.2 سیکنڈ – 10,536 بائٹس – 32 kbps – لائسنس: پبلک ڈومین
レトロ風オープン - 42.1秒 - 179,138bytes - 32kbps - ライセンス：パブリックドメイン	ریٹرو طرز کا تعارف – 42.1 سیکنڈ – 179,138 بائٹس – 32 kbps – لائسنس: پبلک ڈومین
警告 by ChatGPT - 3.8秒 - 109,700bytes - 256kbps - ライセンス：パブリックドメイン	ChatGPT کی وارننگ - 3.8 سیکنڈ - 109,700 بائٹس - 256 kbps - لائسنس: پبلک ڈومین
マルウェア検出みたいな緊急感の高い音 その１ by ChatGPT - 3.3秒 - 102,850bytes - 256kbps - ライセンス：パブリックドメイン	ایک انتہائی ہنگامی آواز، جیسے مالویئر کی تشخیص کا الرٹ – حصہ 1 بذریعہ ChatGPT – 3.3 سیکنڈ – 102,850 بائٹس – 256 kbps – لائسنس: پبلک ڈومین
マルウェア検出みたいな緊急感の高い音 その２ by ChatGPT - 3.3秒 - 103,122bytes - 256kbps - ライセンス：パブリックドメイン	ایک انتہائی ہنگامی آواز، مالویئر ڈیٹیکشن الرٹ جیسی، حصہ 2 بذریعہ ChatGPT - 3.3 سیکنڈ - 103,122 بائٹس - 256 kbps - لائسنس: پبلک ڈومین
MRI風サウンド by ChatGPT - 1分14.9秒 - 3,340,392bytes - 320kbps - ライセンス：パブリックドメイン	ChatGPT کی طرف سے ایم آر آئی طرز کی آواز – 1 منٹ 14.9 سیکنڈ – 3,340,392 بائٹس – 320 kbps – لائسنس: پبلک ڈومین
警告表示中のBGMを選択します	انتباہ کے دوران چلانے کے لیے پس منظر موسیقی منتخب کریں۔
びっくりするような雰囲気を作ります	یہ ایک حیران کن ماحول پیدا کرتا ہے۔
Firefoxでは音声ブロックされます	فائر فاکس میں آڈیو بلاک ہے۔
対象アクションを起こした時のビープ音	جب مخصوص عمل انجام دیا جائے تو بیپ
有効 音量小さ目	آن، والیوم کم
有効 音量大き目	فعال، حجم زیادہ پر سیٹ
警告表示中にすべてのキー・マウスイベントでビープ音を鳴らします	تمام کی بورڈ اور ماؤس کے واقعات کے جواب میں ایک بیپ بجے گی جبکہ ایک انتباہ دکھایا جائے گا۔
警告表示中に端末が暴走したかのような雰囲気を作ります	یہ تاثر پیدا ہوتا ہے کہ جب انتباہ دکھائی دے رہا ہوتا ہے تو آلہ بے قابو ہو گیا ہے۔
対象アクションを起こした時のマウスカーソルの消去	جب کوئی مخصوص عمل انجام دیا جائے تو ماؤس کرسر کو چھپانا
警告表示中にブラウザのエリアのマウスカーソルを消去します	جب انتباہ دکھائی دے رہا ہو تو براؤزر کے علاقے میں ماؤس کرسر کو چھپا دیتا ہے۔
デバッグモード	ڈی بیگ موڈ
妨害＋記録のみ	صرف مداخلت + ریکارڈز
妨害＋記録＋表示＋リダイレクト	مداخلت + لاگنگ + ڈسپلے + ری ڈائریکٹ
メニューからは操作できてしまいます	آپ اب بھی مینو کے ذریعے اس تک رسائی حاصل کر سکتے ہیں۔
Firefoxにおけるデバッグモード	فائر فاکس میں ڈیبگ موڈ
ブラウザーコンソール	براؤزر کنسول
事実上デバッグモードから操作できてしまいます	درحقیقت، آپ اسے ڈیبگ موڈ سے چلا سکتے ہیں۔
HTMLソース表示	ایچ ٹی ایم ایل ماخذ دیکھیں
view-source:から始まるURLを入力すれば操作できてしまいます	آپ صرف 'view-source:' سے شروع ہونے والا یو آر ایل درج کرکے یہ آپریشن انجام دے سکتے ہیں۔
HTML保護と組み合わせることでコンテンツを保護することができます	آپ اس کو HTML تحفظ کے ساتھ ملا کر اپنے مواد کا تحفظ کر سکتے ہیں۔
印刷	چھاپیں
印刷阻止をするもものの、ブラウザによってはうまく動作しません	اگرچہ یہ پرنٹنگ کو روکتا ہے، لیکن یہ بعض براؤزرز میں صحیح طریقے سے کام نہیں کر سکتا۔
スクリーンショット	اسکرین شاٹ
OSやブラウザ、方法によっては妨害できず、もしくは検出しないことがあります	آپریٹنگ سسٹم، براؤزر یا استعمال شدہ طریقہ کار کے لحاظ سے، ممکن ہے کہ اسے بلاک نہ کیا جا سکے، یا اسے شناخت نہ کیا جا سکے۔
ウインドウが背面に移動した時スクリーンショットの疑い	جب ونڈو پس منظر میں جاتی ہے تو ممکنہ اسکرین شاٹ
あわせて、スクリーンショット以外の機能（タブ切り替え・ウィンドウ切り替え）にも反応してしまいます。	یہ اسکرین شاٹس کے علاوہ دیگر کاموں
2キー押下のスクリーンショットの疑い	دو کیز دبا کر لیا گیا مبینہ اسکرین شاٹ
上の項目の検出方法は完全ではありません、予防的に検出を行います	مندرجہ بالا اشیاء کے پتہ لگانے کے طریقے مکمل طور پر قابلِ اعتماد نہیں ہیں؛ پتہ لگانا ایک احتیاطی اقدام کے طور پر کیا جاتا ہے۔
スクリーンショットだけではなく、デバッグモード等も検出します	یہ نہ صرف اسکرین شاٹس بلکہ ڈیبیگ موڈز اور اس جیسی دیگر صورتوں کا بھی پتہ لگاتا ہے۔
ページ保存	صفحہ محفوظ کریں
右クリック	دائیں کلک کریں
アドオンがインストールされていると操作できてしまいます	اگر ایڈ-آن انسٹال ہو چکا ہے تو آپ اسے استعمال کر سکیں گے۔
コピー・カット	کاپی اور کاٹیں
本プラグインの設定によってはこのイベントにたどり着くことはほとんどない場合があります	اس پلگ ان کی ترتیبات کے مطابق، آپ کو شاذ و نادر ہی اس واقعے کا سامنا کرنا پڑ سکتا ہے۔
テキスト全選択	تمام متن منتخب کریں
テキスト選択	متن منتخب کریں
デバッガー起動ログ、デバッガー妨害	ڈیبیگر کے آغاز کا لاگ، ڈیبیگر کی مداخلت
デバッグモードの使い勝手を少し悪くし、デバッガを起動したことをログに残します、ブラウザによってはこの挙動が止められてしまいます	اس سے ڈیبگ موڈ قدرے کم صارف دوست ہو جاتا ہے اور یہ ریکارڈ کرتا ہے کہ ڈیبگر چلایا گیا ہے؛ تاہم، کچھ براؤزرز اس رویے کو روک سکتے ہیں۔
リダイレクトするURL	یو آر ایل موڑیں
利用規約などのページに転送すると良いでしょう	یہ ایک اچھا خیال ہوگا کہ صارفین کو استعمال کی شرائط جیسے صفحات پر بھیجا جائے۔
空欄にすると元のURLにリダイレクトをします	اگر خالی چھوڑا جائے تو یہ اصل یو آر ایل پر ری ڈائریکٹ کر دے گا۔
リダイレクトまでの時間	دوبارہ ہدایت تک کا وقت
リダイレクトなし	کوئی ری ڈائریکٹ نہیں
1秒	1 سیکنڈ
2秒	دو سیکنڈ
3秒	3 سیکنڈ
4秒	چار سیکنڈ
5秒	5 سیکنڈ
6秒	چھ سیکنڈ
7秒	سات سیکنڈ
8秒	8 سیکنڈ
9秒	9 سیکنڈ
10秒	دس سیکنڈ
15秒	پندرہ سیکنڈ
20秒	20 سیکنڈ
25秒	پچیس سیکنڈ
30秒	30 سیکنڈ
35秒	پینتالیس سیکنڈ
40秒	چالیس سیکنڈ
45秒	پینتالیس سیکنڈ
50秒	پچاس سیکنڈ
55秒	پینتالیس سیکنڈ
1分	ایک منٹ
1分10秒	ایک منٹ دس سیکنڈ
1分20秒	ایک منٹ بیس سیکنڈ
1分30秒	ایک منٹ تیس سیکنڈ
1分40秒	ایک منٹ چالیس سیکنڈ
1分50秒	ایک منٹ پچاس سیکنڈ
2分	دو منٹ
ソース表示を許可する権限	ماخذ کوڈ دیکھنے کی اجازت
ADMINログイン時のみ通常のソース出力	معمولی ماخذ کا آؤٹ پٹ صرف ADMIN کے طور پر لاگ ان ہونے پر دکھائی دیتا ہے۔
USERログインで通常のソース出力	جب USER کے طور پر لاگ ان ہو تو معمول کا ماخذ آؤٹ پٹ
通常のHTML出力を管理者のみかユーザーログインかを選択します	منتخب کریں کہ آیا معیاری HTML آؤٹ پٹ صرف منتظمین تک محدود ہو یا صارف لاگ ان درکار ہو۔
画像を無理やりダウンロードして実際にダウンロードされるもの	تصویر کو زبردستی ڈاؤن لوڈ کروانا اور حقیقت میں کیا ڈاؤن لوڈ ہوتا ہے
GIF形式で1×1ピクセルの透過画像	GIF فارمیٹ میں ایک 1×1 پکسل شفاف تصویر
PNG形式で1×1ピクセルの透過画像	پی این جی فارمیٹ میں ایک ایک ضرب ایک پکسل شفاف تصویر
PNG形式で黄色い背景の警告画面	پی این جی فارمیٹ میں پیلے پس منظر کے ساتھ ایک انتباہی اسکرین
意味のないHTMLドキュメント	ایک بے معنی HTML دستاویز
HTML保護時のHEADタグの出力	جب HTML محفوظ ہوتا ہے تو HEAD ٹیگ کا آؤٹ پٹ
出力しない	چھاپیں نہیں
TITLEタグのみ	صرف ٹائٹل ٹیگ
WordpressのHEADタグより取得	ورڈپریس کے HEAD ٹیگ سے حاصل کیا گیا
企業用途の会員専用ページや社内ページなどでは「出力しない」、「TITLEタグのみ」で良いでしょう	کارپوریٹ استعمال کے لیے صرف اراکین کے صفحات اور اندرونی صفحات کے لیے 'Do not output' یا 'TITLE tag only' کا انتخاب کافی ہے۔
WordpressのHEADタグから取得しないと、SNSのシェアでOGP画像が表示されません	جب تک آپ WordPress کے HEAD ٹیگ سے معلومات حاصل نہیں کرتے، سوشل میڈیا پر شیئر کرتے وقت OGP تصویر ظاہر نہیں ہوگی۔
画像botをアクセス禁止にする	تصویری بوٹ کو بلاک کریں
画像botをHTMLに対し避けることにより、画像検索から直接リンクされることによって守れなかったコンテンツを守ることができます、ただし完全には対処することはできません	تصویری بوٹس کو HTML تک رسائی سے روک کر آپ ایسی مواد کو محفوظ کر سکتے ہیں جسے تصویری تلاش کے ذریعے براہِ راست لنک کرنے سے محفوظ نہیں کیا جا سکتا؛ تاہم، یہ کوئی مکمل حل نہیں ہے۔
AI学習用botをアクセス禁止にする	AI ٹریننگ بوٹ تک رسائی کو بلاک کریں
AIの学習用のbotをHTMLに対し避けることにより、AIで利用されないようにします、ただし完全には対処することはできません	HTML پر AI کی تربیت کے لیے ڈیزائن کیے گئے بوٹس کے استعمال سے گریز کرکے ہم اس بات کو یقینی بناتے ہیں کہ مواد AI کے استعمال میں نہ آئے؛ تاہم، اسے مکمل طور پر روکا نہیں جا سکتا۔
ウェブアーカイブ、ウェブ魚拓をアクセス禁止にする	ویب آرکائیوز اور ویب سنپ شاٹس تک رسائی بلاک کریں۔
自動的に収集されるウェブアーカイブ並びにユーザーの任意で取得される魚拓のアクセスを禁止します、ただし完全には対処することはできません	ہم خودکار طور پر جمع کیے گئے ویب آرکائیوز اور صارف کی صوابدید پر لیے گئے اسکرین شاٹس تک رسائی کی ممانعت کرتے ہیں؛ تاہم، ہم اسے مکمل طور پر روک نہیں سکتے۔
無効なUAをアクセス禁止にする	غیر معتبر یوزر ایجنٹس کو بلاک کریں
ユーザーエイジェントの文字に不正な文字列があった場合のアクセスを避けます	اگر یوزر ایجنٹ اسٹرنگ میں غیر درست حروف ہوں تو رسائی روک دی جاتی ہے۔
Internet Explorerと旧Microsoft Edge(EdgeHTML)のアクセスに警告を表示する	انٹرنیٹ ایکسپلورر اور پرانے مائیکروسافٹ ایج
Internet Explorerと旧Microsoft Edgeのアクセスを避けます	انٹرنیٹ ایکسپلورر اور پرانے مائیکروسافٹ ایج کے ذریعے رسائی کو روکتا ہے۔
alertメッセージを表示する言語	وہ زبان جس میں انتباہی پیغامات دکھائے جاتے ہیں۔
Wordpressの言語	ورڈپریس کی زبانیں
ブラウザの設定言語	برائوزر کی زبان کی ترتیبات
メッセージをカスタム設定されている場合は言語を変更できません	اگر پیغامات کو حسبِ ضرورت ترتیب دیا گیا ہو تو آپ زبان تبدیل نہیں کر سکتے۔
同意画面の言語	رضامندی کی اسکرین کی زبان
view-sourceメッセージを表示する言語	وہ زبان جس میں 'view-source' پیغام دکھایا جائے
