設定	Mbohekorã
「imgタグが呼び出されるごとに画像を保護」の場合は、add_filterを使用し、imgタグの発行時にフィルタリングを行います、テーマによっては正しく動作しません	Reiporavóramo 'Eñangareko ta'angakuérare ojeipuru jave pe etikéta img', pe sistema oipuru add_filter ombohasávo pe etikéta img ojejapo jave; upeicharõ jepe, kóva ikatu ndoikói porã oimeraẽva téma ndive.
「出力される全HTMLのうち、Wordpressにアップロードされた画像をすべて保護」の場合は、Wordpressのほぼすべての動作をキャプチャし、コンテンツ内のimgタグについてすべて処理します。テーマによっては正しく動作しません	Reiporavóramo 'Eñangareko opaite ta'anga ojehupíva WordPress-pe oĩva pe HTML osẽva ryepýpe', pe plugin oipyhýta haimete opaite WordPress rembiapo ha omba'apóta opaite 'img tag' oĩva pe tembipuru ryepýpe. Tereikuaa kóva ikatu ndoikoporãi oĩramo umi 'theme' ndive.
なお、アイキャッチに指定した画像はOGPとして拡散されますので保護できません。どうしても保護すべき場合は高度な設定でHTML保護時のHEADタグの出力の選択を変更してください	Ejesarekomína umi ta'anga oñembohérava ta'anga tenondegua oñembohasataha OGP marandúicha ha ndaikatuiha oñeñangareko. Reñangarekosetereírõ hesekuéra, embohekopyahu pe ñemboheko HEAD etiqueta osẽva g̃uarã umi ñemboheko pypukuvépe, remoñepyrũvo pe ñeñangareko HTML.
OS標準搭載のスクリーンショット機能を保護することはできません	Ndikatúi oñeñangareko pe tembiporu oñenohẽ hag̃ua ta'anga oĩva sistema operativo ryepýpe.
画像URLの保護	Oñeñangareko ta'anga URL-kuérare
画像の保護と組み合わせて使用します、単体では意味がありません	Kóva ojepuruva'erã ta'anga ñeñangareko ndive; ha'eño, ndojapói mba'eve.
JavaScriptにより遅延読まれますのでSEOに影響があります	Oñemoinge mbegueterei rupi JavaScript rupive, kóva ombyai SEO.
画像のウォーターマーク	Ta'anga jehaipyre'i
右下	Upe akatúa guýpe
ランダム位置	Tenda oimeraẽva
画像の保護と組み合わせて使用します、動的な透かしで著作権を明示しつつ、閲覧者に監視されている印象を与え抑止力を高めます	Ojeipurúvo ta'anga ñeñangareko ndive, umi marca dinámica ohechauka porã mávapa ijára, ha upéicha avei omoñeñandu umi ohechávape oñemaña heseha, ha péicha omomombyry chupekuéra.
JPG形式、PNG形式、WebP形式のみ対応します	Oñemboaje JPG, PNG ha WebP formáto añoite.
有効にするとサーバーの負荷が高くなります	Kóva oñemoĩramo ombohetavéta mba'e ojejapova'erã servidór-pe.
HTML難読化・保護時のHTMLソースコードのアスキーアートの出力	Oñeguenohẽvo ta'anga ASCII código fuente HTML-gui oñembo'a ha oñeñangareko aja HTML-re.
表示なし	Ndaipóri jehechauka
view-sourceでHTMLソース表示をした時に警告の意思を示すアスキーアートを表示します	Ohechauka ta'anga ASCII ohechaukáva peteĩ ñe'ẽmondo ojehechávo HTML kuatiarogue oipurúvo 'view-source'.
対象アクションを起こした時の表示デザイン	Ohechauka diseño ojejapóvo pe tembiapo ojeipotáva.
黄色の背景の黒文字のベーシックデザイン	Peteĩ ta'anga ypy ojehechaukáva tai hũva peteĩ ao sa'yju ári.
黒色の背景の赤文字のホラー風デザイン	Peteĩ ta'anga kyhyje rehegua, orekóva jehai pytã peteĩ tesape hũ ári.
黒色の背景の赤文字の光る文字のデザイン	Peteĩ ta'anga oguerekóva jehai pytã rendy peteĩ tesape hũ ári.
対象アクションを起こした時のBGM	Purahei oñembopúva ojejapo vove pe tembiapo ojeipotáva.
サウンドなし	Ndaipóri tyapu
戦闘＆戦闘勝利 - 1分16.3秒 - 630,056bytes - 64kbps - ライセンス：CC2.1 or later	Ñorairõ ha Pu'aka - 1 aravo'i 16,3 aravo'imi - 630.056 byte - 64 kbps - Lisénsia: CC 2.1 térã upe rire
おやじ ショート - 3.8秒 - 32,364bytes - 64kbps - ライセンス GPL2.0 or later (C)EJ	Túva Mbyky - 3,8 segundo - 32.364 byte - 64 kbps - Lisénsia: GPL 2.0 térã upe rire
おやじ ロング - 23.5秒 - 195,578bytes - 64kbps - ライセンス GPL2.0 or later (C)EJ	Oyaji Puku - 23.5 aravo'i - 195.578 byte - 64 kbps - Lisénsia: GPL 2.0 térã upe rire
ショパン エチュード Op.10-5 黒鍵 打ち込み版 高速版 - 1分0.0秒 - 369,778bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	Chopin Étude Op. 10 No. 5
ショパン エチュード Op.10-12 革命 打ち込み版 高速版 - 1分57.6秒 - 724,457bytes - 48kbps -  ライセンス：CC BY-ND 4.0 or later	Chopin Étude Op. 10 No. 12 'Revolución' – Versión kombutadóra ojapopyréva, pya'e – 1 aravo'i 57,6 aravo'imi – 724.457 byte – 48 kbps – Lisénsia: CC BY-ND 4.0 térã upe riregua
ショパン スケルツォ 変ロ短調 Op2 打ち込み版 高速短縮版 - 1分48.0秒 - 665,369bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	Chopin: Scherzo Si bemol menor-pe, Op. 2 – Versión kombutadóra ojapóva, versión mbykypyre pya'e – 1 aravo'i 48,0 segundo – 665.369 byte – 48 kbps – Lisénsia: CC BY-ND 4.0 térã upe rire
リスト 超絶技巧練習曲 4番 マゼッパ 打ち込み版 高速短縮版 - 1分51.6秒 - 687,586bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	Tysýi: Étude d'Exécution Transcendante No. 4, 'Mazeppa' – Versión kombutadóra ojapopyréva, versión mbykypyre pya'e – 1 aravo'i 51,6 aravo'i'i – 687.586 byte – 48 kbps – Lisénsia: CC BY-ND 4.0 térã upe riregua
ファンファーレ - 22.3秒 - 183,926bytes - 64kbps - ライセンス：パブリックドメイン	Mbopu guasu – 22,3 aravo'i – 183.926 byte – 64 kbps – Lisénsia: Oparupigua mba'e
レトロ風ファンファーレ - 2.2秒 - 10,536bytes - 32kbps - ライセンス：パブリックドメイン	Purahéi guasu yma guaréicha – 2,2 segundo – 10.536 byte – 32 kbps – Lisénsia: Oparupigua mba'e
レトロ風オープン - 42.1秒 - 179,138bytes - 32kbps - ライセンス：パブリックドメイン	Moñepyrũha yma guareicha – 42,1 segundo – 179.138 byte – 32 kbps – Lisénsia: Opaite mba'e opavavépe g̃uarã
警告 by ChatGPT - 3.8秒 - 109,700bytes - 256kbps - ライセンス：パブリックドメイン	Marandu ChatGPT-gui - 3.8 segundo - 109.700 byte - 256 kbps - Lisénsia: Oparupigua mba'e
マルウェア検出みたいな緊急感の高い音 その１ by ChatGPT - 3.3秒 - 102,850bytes - 256kbps - ライセンス：パブリックドメイン	Peteĩ pu pya'e oikotevẽva oñehendu pya'e, ha'ete peteĩ ñemomarandu ojejuhuhague mba'evai – Vore 1, ChatGPT ojapóva – 3,3 segundo – 102.850 byte – 256 kbps – Lisénsia: Opaite ikatu oipuru.
マルウェア検出みたいな緊急感の高い音 その２ by ChatGPT - 3.3秒 - 103,122bytes - 256kbps - ライセンス：パブリックドメイン	Peteĩ pu pya'e oñeikotevẽva, oñehendúva peteĩ ñe'ẽmondoicha ojejuhuhague mba'evai, Mokõiha Vore, ChatGPT ojapóva - 3,3 segundo - 103.122 byte - 256 kbps - Lisénsia: Opaite yvypóra mba'e
MRI風サウンド by ChatGPT - 1分14.9秒 - 3,340,392bytes - 320kbps - ライセンス：パブリックドメイン	Pu MRI-ichagua ChatGPT ojapóva – 1 aravo'i 14,9 aravo'i'i – 3.340.392 byte – 320 kbps – Lisénsia: Oparavéva mba'e
警告表示中のBGMを選択します	Eiporavo purahéi oñembopúva oñemoñe'ẽ aja.
びっくりするような雰囲気を作ります	Omoheñói peteĩ tekoha ñanemondýiva.
Firefoxでは音声ブロックされます	Pu oñemboty Firefox-pe.
対象アクションを起こした時のビープ音	Peteĩ tyapu ojejapóvo pe tembiapo oje'éva.
有効 音量小さ目	Oñemyendy, pu mbovy
有効 音量大き目	Omba'apo, ipu hatã
警告表示中にすべてのキー・マウスイベントでビープ音を鳴らします	Peteĩ tyapu oñehendúta oñembohovái hag̃ua opaite tekládo ha mbarakaja rembiapo, ojehechaukávo peteĩ ñemomarandu.
警告表示中に端末が暴走したかのような雰囲気を作ります	Ohechauka pe tembiporu oñembotavyreívaicha ojehechaukávo pe ñemomarandu.
対象アクションを起こした時のマウスカーソルの消去	Ñomiñomi mbotyha techaukaha ojejapóvo peteĩ tembiapo tee.
警告表示中にブラウザのエリアのマウスカーソルを消去します	Oñomi mouse cursor pe navegador rendápe ojehechauka aja peteĩ ñemomarandu.
デバッグモード	Mba'evai jeheka rape
妨害＋記録のみ	Ñembosarái + Purahéi Kuatiakuéra añoite
妨害＋記録＋表示＋リダイレクト	Jejokoha + Jehaipyre ñembyaty + Jehechauka + Ñembohape
メニューからは操作できてしまいます	Ikatu gueteri reike hese pe menú rupive.
Firefoxにおけるデバッグモード	Mba'evai jeheka Firefox-pe
ブラウザーコンソール	Konsóla ohechaukáva
事実上デバッグモードから操作できてしまいます	Añetehápe, ikatu remomba'apo chupe modo de depuración-gui.
HTMLソース表示	Ehecha HTML moñepyrũha
view-source:から始まるURLを入力すれば操作できてしまいます	Ikatu ejapo upe tembiapo remoingévo peteĩ URL oñepyrũva 'view-source:' reheve.
HTML保護と組み合わせることでコンテンツを保護することができます	Ikatu eñangareko ne mba'ekuérare emoĩvo oñondive kóva pe ñangareko HTML ndive.
印刷	Emyanyhẽ
印刷阻止をするもものの、ブラウザによってはうまく動作しません	Ndaikatúiramo jepe oñembokuatia, ikatu ndoikoporãi umi navegador-pe.
スクリーンショット	Ta'anga oñenohẽva
OSやブラウザ、方法によっては妨害できず、もしくは検出しないことがあります	Mba'e sistema operativo, navegador térã tape ojeipurúvare, ikatu ndaikatúi ojejoko kóva, térã ikatu noñandúi.
ウインドウが背面に移動した時スクリーンショットの疑い	Oje'éva ha'eha ta'anga ojejapóva pe ovetã oho vove tapykue gotyo.
あわせて、スクリーンショット以外の機能（タブ切り替え・ウィンドウ切り替え）にも反応してしまいます。	Oñembohovái avei ambue tembiaporãme ndaha'éiramo ta'anga oñenohẽva
2キー押下のスクリーンショットの疑い	Oje'éva ta'anga oñenohẽhague oñembopévo mokõi teklá.
上の項目の検出方法は完全ではありません、予防的に検出を行います	Umi mba'e yvategua jehechakuaa rape ndaha'éi ojeroviahaite hag̃ua; ojejapo pe jehechakuaa ñeñangarekorãnte.
スクリーンショットだけではなく、デバッグモード等も検出します	Ohechakuaa ndaha'éi ta'anga oñenohẽva añónte, ha katu avei umi ñemyatyrõ rape ha umi mba'e ojoguáva.
ページ保存	Eñongatu kuatiarogue
右クリック	Eikutu akatúa
アドオンがインストールされていると操作できてしまいます	Pe ñembojoapy oñemoĩramo, ikatúta reipuru.
コピー・カット	Ekopia ha eikytĩ
本プラグインの設定によってはこのイベントにたどり着くことはほとんどない場合があります	Ko plugin ñembohekoitépe oñemopyendávo, ikatu sa'i jey rejuhu ko mba'e ojehúva.
テキスト全選択	Eiporavo opa jehaipyre
テキスト選択	Eiporavo jehaipyre
デバッガー起動ログ、デバッガー妨害	Debugger ñepyrũha marandu, debugger ñembotapykue
デバッグモードの使い勝手を少し悪くし、デバッガを起動したことをログに残します、ブラウザによってはこの挙動が止められてしまいます	Kóva ojapo pe modo de depuración hasy'ive michĩmi ojepuru hag̃ua ha omoĩ peteĩ marandu he'íva oñemboguapyhague pe depurador; upeicharõ jepe, oĩ umi navegador ikatuva'erã ojoko ko mba'e.
リダイレクトするURL	URL ambue gotyo
利用規約などのページに転送すると良いでしょう	Iporãta ñambohasa umi oipurúvape ambue kuatiápe, Tembipuru Rekorãicha.
空欄にすると元のURLにリダイレクトをします	Oñemoĩ'ỹrõ mba'eve, ombohasáta pe URL ypykuépe.
リダイレクトまでの時間	Ára oñembohasávo
リダイレクトなし	Ndaipóri ñembohape
1秒	Peteĩ segundo
2秒	Mokõi segundo
3秒	Mbohapy aravo'i
4秒	Irundy segundo
5秒	Po aravo'i
6秒	Poteĩ aravo'i
7秒	Pokõi aravo'i
8秒	Poapy aravo'i
9秒	Porundy aravo'i
10秒	Pa aravo'i
15秒	Poteĩ aravo'i
20秒	Mokõipa aravo'i
25秒	Mokõipa po aravo'i
30秒	Mbohapypa aravo'i
35秒	Mbohapypa aravo'i
40秒	Irundypa aravo'i
45秒	45 aravo'i
50秒	Pohaapy aravo'i
55秒	Poha aravo'i
1分	Peteĩ aravo'i
1分10秒	Peteĩ aravo'i ha pa aravo'i
1分20秒	Peteĩ aravo'i mokõipa
1分30秒	Peteĩ aravo'i mbohapypa aravo'i
1分40秒	Peteĩ aravo'i irundypa aravo'i
1分50秒	Peteĩ aravo'i ha poapy segúndo
2分	Mokõi aravo'i
ソース表示を許可する権限	Jeheja ojehecha hag̃ua código fuente
ADMINログイン時のみ通常のソース出力	Jehechauka jepivegua ojehecháta ADMIN-ramo añoite.
USERログインで通常のソース出力	Moñe'ẽha osẽva hekópe ojeikévo USER ramo.
通常のHTML出力を管理者のみかユーザーログインかを選択します	Eiporavo oñembotapykuepa pe HTML osẽva umi moakãharakuérape g̃uarãnte térãpa oikotevẽ oikévo puruhára.
画像を無理やりダウンロードして実際にダウンロードされるもの	Oñembojopy peteĩ ta'anga oguejy hag̃ua ha mba'épa añetehápe oguejy
GIF形式で1×1ピクセルの透過画像	Peteĩ ta'anga hesakãva peteĩ por pixel-pegua, formato GIF-pe.
PNG形式で1×1ピクセルの透過画像	Peteĩ ta'anga hesakãva peteĩ por pixel-pegua, formato PNG-pe.
PNG形式で黄色い背景の警告画面	Peteĩ ta'anga ñemomarandurã hovyũ ijapytepekuéva, formato PNG-pe.
意味のないHTMLドキュメント	Peteĩ kuatiañe'ẽ HTML he'ise'ỹva
HTML保護時のHEADタグの出力	HEAD etikéta osẽva oñeñangarekórõ HTML
出力しない	Ani oñembokuatia
TITLEタグのみ	Moñe'ẽrã téra añónte
WordpressのHEADタグより取得	Oñenohẽ WordPress HEAD etiketágui
企業用途の会員専用ページや社内ページなどでは「出力しない」、「TITLEタグのみ」で良いでしょう	Umi kuatiarogue oipurúva empresa-nte ha kuatiarogue pypegua-pe g̃uarã, oñembohekóramo 'Ani ojehechauka' térã 'Etikéta TITLE-nte', upéva oĩmbáma.
WordpressのHEADタグから取得しないと、SNSのシェアでOGP画像が表示されません	Nde reipe'áirõ marandu pe WordPress HEAD etiqueta-gui, pe OGP ta'anga ndojehechaukamo'ãi oñembohasávo redes sociales-pe.
画像botをアクセス禁止にする	Emboty pe ta'anga'i bot
画像botをHTMLに対し避けることにより、画像検索から直接リンクされることによって守れなかったコンテンツを守ることができます、ただし完全には対処することはできません	Nembotývo umi bot ta'angaguáva oike hag̃ua HTML-pe, ikatu reñangareko umi mba'e oĩvare ndaikatúiva oñeñangareko oñembojoaju hekopete'ỹre ta'anga jeheka rupive; upeicharõ jepe, kóva ndaha'éi peteĩ ñemyatyrõ ipaháva.
AI学習用botをアクセス禁止にする	Emboty pe jeike pe bot oñembokatupyrývape AI-pe g̃uarã.
AIの学習用のbotをHTMLに対し避けることにより、AIで利用されないようにします、ただし完全には対処することはできません	Ndojepurúigui umi bot ojejapóva AI ñembokatupyrýrã HTML-pe, roñangareko pe tembiapo'aty ani hag̃ua ojeipuru AI-pe; upeicharõ jepe, kóva ndaikatúi ojejokoite.
ウェブアーカイブ、ウェブ魚拓をアクセス禁止にする	Emboty ñeike umi ñanduti ñongatupyrépe ha ñanduti ra'angápe
自動的に収集されるウェブアーカイブ並びにユーザーの任意で取得される魚拓のアクセスを禁止します、ただし完全には対処することはできません	Ro'e'ẽngu'i ojeike hag̃ua umi ñanduti vore ñongatupyre oñembyaty ijeheguietévape ha umi ta'anga oñenohẽva puruhára rembipotápe; upeicharõ jepe, ndaikatúi rojokoite ko mba'e.
無効なUAをアクセス禁止にする	Emboty umi user agent ndoikóiva
ユーザーエイジェントの文字に不正な文字列があった場合のアクセスを避けます	Ndohejái oike oĩramo taikuéra ndoikóiva pe puruhára rérape.
Internet Explorerと旧Microsoft Edge(EdgeHTML)のアクセスに警告を表示する	Ohechauka peteĩ ñemomarandu ojeike jave Internet Explorer ha pe Microsoft Edge tuja
Internet Explorerと旧Microsoft Edgeのアクセスを避けます	Ojoko oike hag̃ua Internet Explorer ha Microsoft Edge tuja rupive.
alertメッセージを表示する言語	Ñe'ẽ ojehechaukahápe marandu ñemomarandurã
Wordpressの言語	WordPress ñe'ẽnguéra
ブラウザの設定言語	Navegador ñe'ẽ ñemboheko
メッセージをカスタム設定されている場合は言語を変更できません	Ndaikatúi remoambue ñe'ẽnguéra umi marandu oñemboheko ramo.
同意画面の言語	Ñe'ẽ jeheja ñemohendarã
view-sourceメッセージを表示する言語	Ñe'ẽ ojehechaukahápe marandu 'view-source'.
一時使用トークンの有効期限	Tokuéra sapy'arãgua ára opa hag̃ua
3分	Mbohapy aravo'i
4分	Irundy aravo'i
5分	Po aravo'i
6分	Poteĩ aravo'i
7分	Pokõi aravo'i
8分	Poapy aravo'i
9分	Porundy aravo'i
10分	Pa aravo'i
15分	Pópa aravo'i
20分	Mokõipa aravo'i
25分	Mokõipa po aravo'i
30分	Mbohapypa aravo'i
35分	Mbohapypa aravo'i
40分	Irundypa aravo'i
45分	Mboarapy aravo'i
50分	Poha pa aravo'i
55分	Poha aravo'i
1時間	Peteĩ aravo
画像URL情報の有効期限を設定します	Emohenda ta'anga URL marandu opa ára.
一度読み込まれると画像URL情報と一時使用トークンは無効化されます	Oñemoinge rire, ta'anga URL ha token sapy'arãgua ndoikovéima.
画像は遅延読み込みされますが、この指定した時間の30秒前に強制的に画像が読み込まれます	Ta'angakuéra oñemoinge ojejerurérõguare, hákatu oñemoingéta ijeheguiete 30 aravo'i pe ára oje'eva'ekue mboyve.
一時使用トークンのビット数	Mboýpa bits oĩ peteĩ token sapy'arãme
画像URL情報を暗号化するのに一時使用トークンをパスワードとして使用しますが、その強度を指定します	Ojeipuru peteĩ token sapy'arãgua ñe'ẽñemi ramo oñemboñemi hag̃ua ta'anga URL marandu; ko ñemohenda ohechauka imbareteha.
ドロップダウンメニューの下に表示される選択肢にいくにつれて強度が強くなるものの、サーバーへの負荷が高くなり、HTML転送量が多くなることがあります	Jepe umi jeiporavorã ojehechaukáva pe menú ojepe'áva guýpe ipypukuvévo ohóvo, kóva ikatu ombohasyeterei pe servidor-pe ha upéicha rupi oñembohasáta hetaiterei dato HTML.
ハッシュ化アルゴリズム	Algoritmo hash
画像URL情報を暗号化するのに一時使用トークンをパスワードとして使用しますが、その時ハッシュ化が必要です、その強度を設定します	Ojeipuru peteĩ token sapy'arãgua ñe'ẽñemi ramo oñemboñemi hag̃ua ta'anga URL marandu; kóva oikotevẽ hashing, ha ko ñemohenda ohechauka imbareteha pe hashing.
ドロップダウンメニューの下に表示される選択肢にいくにつれて強度が強くなるものの、サーバーへの負荷が高くなります	Jepémo pe mbarete okakuaa remboguejývo umi jeiporavorã ojehechaukáva pe menú oguejývape, kóva omoĩve pohýi pe servidór-re.
基本設定	Ñemohenda ypykuéra
高度な設定	Mboheko pypukuvéva
初期設定に戻す	Moĩ jey umi ñemboheko ypykue
デザイン・音の設定	Diseño ha ñe'ẽ myatyrõnguéra
イベントの設定	Tembiapo ñemohenda
初回訪問時のお知らせの設定	Ñemohenda marandurã jeike peteĩha ára guarã
メッセージの設定	Marandu ñemboheko
右クリックやソースコード表示時に転送する URL を設定します	Emohenda pe URL ojepe'átava ejopývo akatúa gotyo térã rehechávo ikódigo fuente.
警告メッセージにはHTMLは使用できません	HTML ndaikatúi ojeporu marandu ñemomarandurãme.
