設定	Aranjman
デバッグモードの使い勝手を少し悪くし、デバッガを起動したことをログに残します、ブラウザによってはこの挙動が止められてしまいます	Sa fè mòd debogaj la yon ti kras mwens fasil pou itilizatè a epi li anrejistre lefèt ke debogè a te lanse; sepandan, kèk navigatè ka bloke konpòtman sa a.
リダイレクトするURL	Redireksyone URL
利用規約などのページに転送すると良いでしょう	Li ta yon bon lide pou redirije itilizatè yo sou paj tankou Kondisyon Itilizasyon yo.
空欄にすると元のURLにリダイレクトをします	Si li rete vid, li pral redirije sou URL orijinal la.
リダイレクトまでの時間	Tan pou redireksyon
リダイレクトなし	Pa gen redireksyon
1秒	1 segonn
2秒	2 segonn
3秒	3 segonn
4秒	4 segonn
5秒	5 segonn
6秒	6 segonn
7秒	Sèt segonn
8秒	8 segonn
9秒	9 segonn
10秒	10 segonn
15秒	15 segonn
20秒	20 segonn
25秒	25 segonn
30秒	30 segonn
35秒	35 segonn
40秒	40 segonn
45秒	45 segonn
50秒	50 segonn
55秒	Senkant-senk segonn
1分	1 minit
1分10秒	1 minit 10 segonn
1分20秒	1 minit 20 segonn
1分30秒	1 minit 30 segonn
1分40秒	1 minit 40 segonn
1分50秒	1 minit 50 segonn
2分	2 minit
ソース表示を許可する権限	Pèmisyon pou wè kòd sous la
ADMINログイン時のみ通常のソース出力	Sòti nòmal la sèlman lè w konekte kòm ADMIN.
USERログインで通常のソース出力	Sòti nòmal sòs la lè w konekte kòm USER
通常のHTML出力を管理者のみかユーザーログインかを選択します	Chwazi si sòti HTML estanda a limite pou administratè sèlman oswa si li mande itilizatè a konekte.
画像を無理やりダウンロードして実際にダウンロードされるもの	Fòse telechajman yon imaj ak sa ki aktyèlman telechaje
GIF形式で1×1ピクセルの透過画像	Yon imaj transparan 1×1 piksèl nan fòma GIF
PNG形式で1×1ピクセルの透過画像	Yon imaj transparan 1×1 piksèl nan fòma PNG
PNG形式で黄色い背景の警告画面	Yon ekran avètisman ak yon fon jòn nan fòma PNG
意味のないHTMLドキュメント	Yon dokiman HTML san sans
HTML保護時のHEADタグの出力	Sòti etikèt HEAD la lè HTML pwoteje
出力しない	Pa enprime
TITLEタグのみ	Etikèt TIT sèlman
WordpressのHEADタグより取得	Rekipere nan etikèt HEAD WordPress la
企業用途の会員専用ページや社内ページなどでは「出力しない」、「TITLEタグのみ」で良いでしょう	Pou paj pou itilizasyon korporativ ki rezève pou manm sèlman ak paj entèn yo, chwazi 'Pa afiche' oswa 'Etikèt TITLE sèlman' ta dwe sifi.
WordpressのHEADタグから取得しないと、SNSのシェアでOGP画像が表示されません	Sòf si ou rekipere enfòmasyon an nan baliz HEAD WordPress la, imaj OGP la pap parèt lè w pataje sou rezo sosyal yo.
画像botをアクセス禁止にする	Bloke bot imaj la
画像botをHTMLに対し避けることにより、画像検索から直接リンクされることによって守れなかったコンテンツを守ることができます、ただし完全には対処することはできません	Lè w anpeche bot imaj jwenn aksè ak HTML, ou ka pwoteje kontni ki pa t ka pwoteje kont lyen dirèk atravè rechèch imaj; sepandan, sa pa bay yon solisyon konplè.
AI学習用botをアクセス禁止にする	Bloke aksè a bòt fòmasyon AI a
AIの学習用のbotをHTMLに対し避けることにより、AIで利用されないようにします、ただし完全には対処することはできません	Lè nou evite itilize bot ki fèt pou fòmasyon AI sou HTML, nou asire ke AI pa itilize kontni an; sepandan, sa pa ka anpeche nèt.
ウェブアーカイブ、ウェブ魚拓をアクセス禁止にする	Bloke aksè a achiv entènèt ak kaptire entènèt.
自動的に収集されるウェブアーカイブ並びにユーザーの任意で取得される魚拓のアクセスを禁止します、ただし完全には対処することはできません	Nou entèdi aksè a achiv entènèt ki ranmase otomatikman ak kapti ekran itilizatè a pran selon diskresyon li; sepandan, nou pa ka anpeche sa nèt.
無効なUAをアクセス禁止にする	Bloke ajan itilizatè ki pa valab
ユーザーエイジェントの文字に不正な文字列があった場合のアクセスを避けます	Anpeche aksè si chèn ajan itilizatè a gen karaktè ki pa valab.
Internet Explorerと旧Microsoft Edge(EdgeHTML)のアクセスに警告を表示する	Afiche yon avètisman lè w ap aksede Internet Explorer ak ansyen Microsoft Edge
Internet Explorerと旧Microsoft Edgeのアクセスを避けます	Anpeche aksè atravè Internet Explorer ak ansyen Microsoft Edge la.
alertメッセージを表示する言語	Lang kote mesaj alèt yo parèt
Wordpressの言語	Lang WordPress
ブラウザの設定言語	Aranjman lang navigatè a
メッセージをカスタム設定されている場合は言語を変更できません	Ou pa ka chanje lang lan si mesaj yo te pèsonalize.
同意画面の言語	Lang ekran konsantman an
view-sourceメッセージを表示する言語	Lang pou afiche mesaj 'view-source' la
一時使用トークンの有効期限	Dat ekspirasyon jeton tanporè yo
3分	3 minit
4分	4 minit
5分	5 minit
6分	6 minit
7分	Sèt minit
8分	8 minit
9分	9 minit
10分	10 minit
15分	15 minit
20分	20 minit
25分	25 minit
30分	30 minit
35分	35 minit
40分	Katrevent minit
45分	Karanndis minit
50分	Senkant minit
55分	Senkant-senk minit
1時間	1 èdtan
画像URL情報の有効期限を設定します	Mete dat ekspirasyon pou enfòmasyon URL imaj la.
一度読み込まれると画像URL情報と一時使用トークンは無効化されます	Yon fwa chaje, URL imaj la ak jeton tanporè a ap vin envalid.
画像は遅延読み込みされますが、この指定した時間の30秒前に強制的に画像が読み込まれます	Imaj yo chaje sou demann, men y ap chaje otomatikman 30 segonn anvan lè ki espesifye a.
一時使用トークンのビット数	Kantite bit nan yon jeton tanporè
画像URL情報を暗号化するのに一時使用トークンをパスワードとして使用しますが、その強度を指定します	Yon jeton tanporè itilize kòm modpas pou kripte enfòmasyon URL imaj la; paramèt sa a presize fòs li.
ドロップダウンメニューの下に表示される選択肢にいくにつれて強度が強くなるものの、サーバーへの負荷が高くなり、HTML転送量が多くなることがあります	Malgre opsyon ki parèt anba meni dewoulan an vin pi detaye, sa ka mete yon gwo chay sou sèvè a epi lakòz yon gwo volim done HTML transfere.
ハッシュ化アルゴリズム	Algoritm hash
画像URL情報を暗号化するのに一時使用トークンをパスワードとして使用しますが、その時ハッシュ化が必要です、その強度を設定します	Yon jeton tanporè itilize kòm modpas pou kripte enfòmasyon sou URL imaj la; sa mande pou fè hash, epi paramèt sa a detèmine fòs hash sa a.
ドロップダウンメニューの下に表示される選択肢にいくにつれて強度が強くなるものの、サーバーへの負荷が高くなります	Malgre entansite a ogmante pandan w ap desann nan opsyon ki parèt nan meni dewoulan an, sa mete yon pi gwo chaj sou sèvè a.
基本設定	Ajustman debaz
高度な設定	Ajusteman avanse
初期設定に戻す	Ranvèse chanjman yo
デザイン・音の設定	Aranjman ak paramèt son
イベントの設定	Aranjman evènman
初回訪問時のお知らせの設定	Konfigire notifikasyon pou premye vizit yo
メッセージの設定	Aranjman mesaj
右クリックやソースコード表示時に転送する URL を設定します	Mete URL pou louvri lè w klike adwat oswa lè w ap gade kòd sous la.
警告メッセージにはHTMLは使用できません	HTML pa ka itilize nan mesaj avètisman.
この画面で設定すると、高度な設定タブにある言語設定が無視されます	Si ou konfigire sa sou ekran sa a, paramèt lang yo nan onglet Avanse a ap inyore.
以下の文字列が使用できます	Swiv kòd sa yo ka itilize
改行	Liy kase
押下されたキー	Kle peze
Neo HTML Protector 設定	Aranjman Neo HTML Protector
お知らせ	Nòt
メッセージ	Mesaj
デザイン・音	Konsepsyon ak Son
初期化	Inisyalizasyon
このプラグインについて	Konsènan plugin sa a
設定が初期化されました	Anviwònman yo retabli.
プラグインを初期化します なおIPログリーダーのデータはここでは削除されません	Inisyalize plugin nan. Tanpri note ke done IP Log Reader yo pap efase nan etap sa a.
Neo HTML Protectorについて	Apwopo Neo HTML Protector
このプラグインはあなたのWordpressから出力されるHTMLや画像等を保護し、コンテンツの不正利用から守ることを目的としています。	Plugin sa a fèt pou pwoteje HTML, imaj ak lòt kontni sit WordPress ou a jenere, epi pwoteje li kont itilizasyon san otorizasyon.
コンテンツを完璧に守ることはできません。しかし可能な限りの方法において警告し、もし何かがあった場合に備えて準備することにより国で定められている方法で解決することができるはずです。	Li enposib pou pwoteje kontni an nèt. Sepandan, lè nou bay avètisman kèlkeswa kote sa posib epi fè preparasyon si nenpòt bagay ta rive, nou ta dwe kapab rezoud pwoblèm nan dapre pwosedi gouvènman an tabli.
もちろん、利用規約やサイトポリシーを充実させる必要があります。このプラグインは利用規約生成アプリではありませんが、そのヒントを与えることができます。	Natirèlman, ou bezwen asire ke tèm itilizasyon ou ak politik sit ou yo konplè. Malgre plugin sa a pa yon zouti pou jenere tèm itilizasyon, li ka bay kèk konsèy.
開発者: 夜桜　なの	Devlopè: Nano Yozakura
バージョン	Vèsyon
ビルド	Bati
サポートページ	Paj sipò
ISISちゃん	ISIS chan
Miss. 裏まにら氏歌唱	Pèfòme pa Madmwazèl Ura Manira
支援のお願い	Yon demann pou sipò
Neo HTML Protectorをご利用いただき、ありがとうございます！	Mèsi paske w ap itilize Neo HTML Protector!
本プラグインの開発と維持には多くの時間と知恵の絞りだしがかかっており、引き続き改善と更新を行っていくための資金を集めるために、もしご支援いただける方がいれば、寄付をお願いできればと思います。	Devlopman ak antretyen plugin sa a te mande anpil tan ak efò, e pou nou ka ranmase lajan pou kontinye amelyore ak mete l ajou, nou ta rekonesan si nenpòt moun ki kapab sipòte nou ta konsidere fè yon don.
寄付について	Konsènan Don yo
寄付は任意であり、強制ではありません。プラグインを無料でご利用いただけるように、どなたでも利用可能です。しかし、開発を継続するためにはご支援が大変ありがたく、少しでもご協力いただけると嬉しいです。	Don yo totalman volontè e yo pa obligatwa. Plugin nan disponib pou tout moun gratis. Sepandan, nou vrèman apresye sipò ou pou ede nou kontinye devlopman, e nou ta kontan anpil si ou ta kontribye kèlkeswa sa ou kapab.
ご寄付は、下記のリンクから行っていただけます。日本の方であれば無料で寄付をすることも可能で、更にはアマゾンギフト券で気軽に寄付をすることが可能です。	Ou ka fè yon don atravè lyen ki anba a. Si w baze nan Japon, ou ka fè yon don san okenn frè, epi ou ka tou fasilman fè yon don ak kat kado Amazon.
寄付先	Òganizasyon charitab
皆様のご支援があれば、今後も素晴らしいアップデートをお届けできるよう頑張ります！	Avèk sipò ou, n ap fè tout sa n kapab pou n kontinye pote w bèl mizajou!
ご支援いただけることに感謝し、今後ともよろしくお願いいたします。	Nou rekonesan pou sipò ou e nou swete w kontinye sipòte nou nan lavni.
ライセンス	Lisans
本プラグインはオープンソースで開発されており、GPL2.0以降のバージョンのライセンスを適用しています。	Plugin sa a devlope kòm yon lojisyèl sous louvri epi li gen lisans GPLv2.0 oswa yon vèsyon ki pi resan.
このプラグインに含まれるいくつかの技術は特許保護の対象です。	Kèk nan teknoloji ki enkli nan plugin sa a pwoteje pa patant.
特許技術の使用は、このプラグイン内での使用に限って認められます。	Itilizasyon teknoloji patante a pèmèt sèlman andedan plugin sa a.
その他の使用については、作者に連絡して商用ライセンスを取得してください。	Pou nenpòt lòt itilizasyon, tanpri kontakte otè a pou jwenn yon lisans komèsyal.
