設定	Налады
画像の保護と組み合わせて使用します、動的な透かしで著作権を明示しつつ、閲覧者に監視されている印象を与え抑止力を高めます	Выкарыстоўваючыся разам з абаронай выявы, дынамічныя вадзяныя знакі відавочна паказваюць на прыналежнасць правоў аўтарства і ствараюць у гледачоў уражанне, што за імі вядзецца назіранне, тым самым служачы сродкам адпужвання.
JPG形式、PNG形式、WebP形式のみ対応します	Падтрымліваюцца толькі фарматы JPG, PNG і WebP.
有効にするとサーバーの負荷が高くなります	Уключэнне гэтага павялічыць нагрузку на сервер.
HTML難読化・保護時のHTMLソースコードのアスキーアートの出力	Вывад ASCII-арту з зыходнага кода HTML падчас абфускацыі і абароны
表示なし	Няма дысплея
view-sourceでHTMLソース表示をした時に警告の意思を示すアスキーアートを表示します	Паказвае ASCII-арт-папярэджанне пры праглядзе зыходнага кода HTML з дапамогай 'view-source'.
対象アクションを起こした時の表示デザイン	Паказаць дызайн, калі выканана мэтавае дзеянне
黄色の背景の黒文字のベーシックデザイン	Базавы дызайн з чорным тэкстам на жоўтым фоне
黒色の背景の赤文字のホラー風デザイン	Дызайн у стылі хоррара з чырвоным тэкстам на чорным фоне.
黒色の背景の赤文字の光る文字のデザイン	Дызайн з яркім чырвоным тэкстам на чорным фоне
対象アクションを起こした時のBGM	Фонавая музыка, якая грае, калі выканана мэтавая дзеянне
サウンドなし	Няма гуку
戦闘＆戦闘勝利 - 1分16.3秒 - 630,056bytes - 64kbps - ライセンス：CC2.1 or later	Бітва і перамога - 1 хвіліна 16,3 секунды - 630 056 байтаў - 64 кбіт/с - Ліцэнзія: CC 2.1 або пазней
おやじ ショート - 3.8秒 - 32,364bytes - 64kbps - ライセンス GPL2.0 or later (C)EJ	Бацька Кароткі - 3,8 секунды - 32 364 байты - 64 кбіт/с - Ліцэнзія: GPL 2.0 або пазней
おやじ ロング - 23.5秒 - 195,578bytes - 64kbps - ライセンス GPL2.0 or later (C)EJ	Oyaji Long - 23,5 секунды - 195 578 байтаў - 64 кбіт/с - Ліцэнзія: GPL 2.0 або пазней
ショパン エチュード Op.10-5 黒鍵 打ち込み版 高速版 - 1分0.0秒 - 369,778bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	Шапен Эцюд апа 10 № 5
ショパン エチュード Op.10-12 革命 打ち込み版 高速版 - 1分57.6秒 - 724,457bytes - 48kbps -  ライセンス：CC BY-ND 4.0 or later	Шапэн Эцюд апус 10 № 12 «Рэвалюцыйны» – Праграмаваная версія, хуткасная версія – 1 хвіліна 57,6 секунд – 724 457 байтаў – 48 кбіт/с – Ліцэнзія: CC BY-ND 4.0 або пазнейшая
ショパン スケルツォ 変ロ短調 Op2 打ち込み版 高速短縮版 - 1分48.0秒 - 665,369bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	Шапэн: Скерца ў сі-бемоль-мажоры, апас. 2 – камп'ютарная версія, высокахуткасная скарочаная версія – 1 хвіліна 48,0 секунд – 665 369 байтаў – 48 кбіт/с – Ліцэнзія: CC BY-ND 4.0 або пазней
リスト 超絶技巧練習曲 4番 マゼッパ 打ち込み版 高速短縮版 - 1分51.6秒 - 687,586bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	Спіс: Трансцэндэнтны выканальніцкі этюд № 4, «Мазепа» – камп'ютарная версія, высокахуткасная скарочаная версія – 1 хвіліна 51,6 секунды – 687 586 байтаў – 48 кбіт/с – Ліцэнзія: CC BY-ND 4.0 або пазнейшая
ファンファーレ - 22.3秒 - 183,926bytes - 64kbps - ライセンス：パブリックドメイン	Фанфары – 22,3 секунды – 183 926 байтаў – 64 кбіт/с – Ліцэнзія: Грамадскае набытка
レトロ風ファンファーレ - 2.2秒 - 10,536bytes - 32kbps - ライセンス：パブリックドメイン	Рэтра-фанфарная музыка – 2,2 секунды – 10 536 байтаў – 32 кбіт/с – Ліцэнзія: Грамадскае надзяленне
レトロ風オープン - 42.1秒 - 179,138bytes - 32kbps - ライセンス：パブリックドメイン	Інтра ў рэтра-стылі – 42,1 секунды – 179 138 байтаў – 32 кбпс – Ліцэнзія: Агульнае надзея
警告 by ChatGPT - 3.8秒 - 109,700bytes - 256kbps - ライセンス：パブリックドメイン	Папярэджанне ад ChatGPT - 3,8 секунды - 109 700 байтаў - 256 кбіт/с - Ліцэнзія: Грамадскае набыццё
マルウェア検出みたいな緊急感の高い音 その１ by ChatGPT - 3.3秒 - 102,850bytes - 256kbps - ライセンス：パブリックドメイン	Гук высокай тэрміновасці, як папярэджанне аб выяўленні шкоднаснай праграмы – Частка 1 ад ChatGPT – 3,3 секунды – 102 850 байтаў – 256 кбіт/с – Ліцэнзія: Грамадскае надзяленне
マルウェア検出みたいな緊急感の高い音 その２ by ChatGPT - 3.3秒 - 103,122bytes - 256kbps - ライセンス：パブリックドメイン	Гук высокай тэрміновасці, як папярэджанне аб выяўленні шкоднаснай праграмы, Частка 2 ад ChatGPT - 3,3 секунды - 103 122 байты - 256 кбіт/с - Ліцэнзія: Грамадскае набыццё
MRI風サウンド by ChatGPT - 1分14.9秒 - 3,340,392bytes - 320kbps - ライセンス：パブリックドメイン	Гук у стылі МРТ ад ChatGPT – 1 хвіліна 14,9 секунд – 3 340 392 байты – 320 кбіт/с – Ліцэнзія: Грамадскі домен
警告表示中のBGMを選択します	Выберыце фонавую музыку для прайгравання падчас папярэджання.
びっくりするような雰囲気を作ります	Стварае здзіўляльную атмасферу
Firefoxでは音声ブロックされます	Аўдыяблакіравана ў Firefox
対象アクションを起こした時のビープ音	Пытанне пры выкананні зададзенага дзеяння
有効 音量小さ目	Уключана, гучнасць нізкая
有効 音量大き目	Актыўны, гучнасць усталявана на максімум
警告表示中にすべてのキー・マウスイベントでビープ音を鳴らします	У адказ на ўсе падзеі клавіш і мышы будзе гучаць біп, пакуль адлюстроўваецца папярэджанне.
警告表示中に端末が暴走したかのような雰囲気を作ります	Ствараецца ўражанне, што прылада выйшла з-пад кантролю, пакуль адлюстроўваецца папярэджанне.
対象アクションを起こした時のマウスカーソルの消去	Схаваць курсор мышы пры выкананні пэўнай дзеі
警告表示中にブラウザのエリアのマウスカーソルを消去します	Схаваць курсор мышы ў вобласці браўзера на час адлюстравання папярэджання
デバッグモード	Рэжым адладкі
妨害＋記録のみ	Толькі перашкоды + запісы
妨害＋記録＋表示＋リダイレクト	Інтэрферэнцыя + Запіс + Вывад + Перанакіраванне
メニューからは操作できてしまいます	Вы ўсё яшчэ можаце атрымаць да яго доступ праз меню.
Firefoxにおけるデバッグモード	Рэжым адладкі ў Firefox
ブラウザーコンソール	Кансоль браўзера
事実上デバッグモードから操作できてしまいます	Па сутнасці, вы можаце кіраваць ім з рэжыму адладкі.
HTMLソース表示	Прагледзець зыходны HTML
view-source:から始まるURLを入力すれば操作できてしまいます	Вы можаце выканаць аперацыю, проста ўвёўшы URL, які пачынаецца з 'view-source:'
HTML保護と組み合わせることでコンテンツを保護することができます	Вы можаце абараніць свой кантэнт, спалучыўшы гэта з абаронай HTML.
印刷	Друкаваць
印刷阻止をするもものの、ブラウザによってはうまく動作しません	Хоць гэта і прадухіляе друк, у некаторых браўзерах яно можа працаваць неналежным чынам.
スクリーンショット	Здымак экрана
OSやブラウザ、方法によっては妨害できず、もしくは検出しないことがあります	У залежнасці ад аперацыйнай сістэмы, браўзера або выкарыстанага метаду, гэта можа быць заблакавана, або можа быць не выяўлена.
ウインドウが背面に移動した時スクリーンショットの疑い	Меркаваны скрыншот, калі акно пераходзіць на другі план
あわせて、スクリーンショット以外の機能（タブ切り替え・ウィンドウ切り替え）にも反応してしまいます。	Ён таксама рэагуе на іншыя дзеянні, акрамя здымкаў экрана
2キー押下のスクリーンショットの疑い	Меркаваны скрыншот, зроблены націскам двух клавіш
上の項目の検出方法は完全ではありません、予防的に検出を行います	Метады выяўлення вышэйзгаданых прадметаў не з'яўляюцца безадмоўнымі; выяўленне праводзіцца ў якасці меры засцярогі.
スクリーンショットだけではなく、デバッグモード等も検出します	Ён выяўляе не толькі скрыншоты, але і рэжымы адладкі і падобнае.
ページ保存	Захаваць старонку
右クリック	правы клік
アドオンがインストールされていると操作できてしまいます	Калі дадатак усталяваны, вы зможаце ім карыстацца.
コピー・カット	Скапіраваць і выразаць
本プラグインの設定によってはこのイベントにたどり着くことはほとんどない場合があります	У залежнасці ад налад гэтага плагіна, вы можаце рэдка сутыкацца з гэтай падзеяй.
テキスト全選択	Выбраць увесь тэкст
テキスト選択	Выбраць тэкст
デバッガー起動ログ、デバッガー妨害	Журнал запуску адладчыка, умяшанне адладчыка
デバッグモードの使い勝手を少し悪くし、デバッガを起動したことをログに残します、ブラウザによってはこの挙動が止められてしまいます	Гэта робіць рэжым адладкі крыху менш зручным і запісвае ў лог факт запуску адладчыка; аднак некаторыя браўзеры могуць заблакіраваць такую паводзіну.
リダイレクトするURL	Перанакіраваць URL
利用規約などのページに転送すると良いでしょう	Было б добрай ідэяй перанакіроўваць карыстальнікаў на такія старонкі, як «Умовы выкарыстання».
空欄にすると元のURLにリダイレクトをします	Калі пакінуць пустым, адбудзецца перанакіраванне на арыгінальны URL.
リダイレクトまでの時間	Час да пераадрасавання
リダイレクトなし	Няма перанакіравання
1秒	1 секунда
2秒	2 секунды
3秒	3 секунды
4秒	4 секунды
5秒	5 секунд
6秒	6 секунд
7秒	7 секунд
8秒	8 секунд
9秒	9 секунд
10秒	10 секунд
15秒	15 секунд
20秒	20 секунд
25秒	25 секунд
30秒	30 секунд
35秒	35 секунд
40秒	40 секунд
45秒	45 секунд
50秒	50 секунд
55秒	55 секунд
1分	1 хвіліна
1分10秒	1 хвіліна 10 секунд
1分20秒	1 хвіліна 20 секунд
1分30秒	1 хвіліна 30 секунд
1分40秒	1 хвіліна 40 секунд
1分50秒	1 хвіліна 50 секунд
2分	2 хвіліны
ソース表示を許可する権限	Дазвол на прагляд зыходнага кода
ADMINログイン時のみ通常のソース出力	Звычайны выхад са крыніцы толькі пры ўваходзе як ADMIN
USERログインで通常のソース出力	Звычайны выхад са сродкаў, калі ўліковы запіс USER увайшоў
通常のHTML出力を管理者のみかユーザーログインかを選択します	Выберыце, ці стандартны HTML-вывад абмежаваны толькі адміністратарамі, ці патрабуе ўваходу карыстальніка.
画像を無理やりダウンロードして実際にダウンロードされるもの	Прымусовае спампоўванне выявы і тое, што насамрэч спампоўваецца
GIF形式で1×1ピクセルの透過画像	Празрыстая выява 1×1 піксель у фармаце GIF
PNG形式で1×1ピクセルの透過画像	Празрысты малюнак памерам 1×1 піксель у фармаце PNG
PNG形式で黄色い背景の警告画面	Папераджальны экран з жоўтым фонам у фармаце PNG
意味のないHTMLドキュメント	Бязсэнсоўны HTML-дакумент
HTML保護時のHEADタグの出力	Вывад тэга HEAD пры абароне HTML
出力しない	Не друкаваць
TITLEタグのみ	Толькі тэг TITLE
WordpressのHEADタグより取得	Атрымана з тэга HEAD у WordPress
企業用途の会員専用ページや社内ページなどでは「出力しない」、「TITLEタグのみ」で良いでしょう	Для карпаратыўнага выкарыстання, для старонак толькі для членаў і ўнутраных старонак, дастаткова выбраць «Не адлюстроўваць» або «Толькі тэг TITLE».
WordpressのHEADタグから取得しないと、SNSのシェアでOGP画像が表示されません	Калі вы не атрымаеце інфармацыю з тэга HEAD у WordPress, выява OGP не будзе адлюстроўвацца пры абмене ў сацыяльных сетках.
画像botをアクセス禁止にする	Блакіраваць бот выяў
画像botをHTMLに対し避けることにより、画像検索から直接リンクされることによって守れなかったコンテンツを守ることができます、ただし完全には対処することはできません	Блакіроўка доступу ботаў-выяў да HTML дазваляе абараніць кантэнт, які немагчыма было абараніць ад прамога спасылання праз пошук выяў; аднак гэта не з'яўляецца поўным рашэннем.
AI学習用botをアクセス禁止にする	Блакіраваць доступ да бота для трэніроўкі ШІ
AIの学習用のbotをHTMLに対し避けることにより、AIで利用されないようにします、ただし完全には対処することはできません	Пазбягаючы выкарыстання ботаў, прызначаных для навучання ШІ на HTML, мы гарантуем, што кантэнт не будзе выкарыстоўвацца ШІ; аднак гэта немагчыма цалкам прадухіліць.
ウェブアーカイブ、ウェブ魚拓をアクセス禁止にする	Блакіраваць доступ да вэб-архіваў і вэб-здымкаў
自動的に収集されるウェブアーカイブ並びにユーザーの任意で取得される魚拓のアクセスを禁止します、ただし完全には対処することはできません	Мы забараняем доступ да аўтаматычна сабраных вэб-архіваў і скрыншотаў, зробленых на меркаванне карыстальніка; аднак мы не можам цалкам гэта прадухіліць.
無効なUAをアクセス禁止にする	Блакіраваць несапраўдныя агенты карыстальніка
ユーザーエイジェントの文字に不正な文字列があった場合のアクセスを避けます	Блакуе доступ, калі ў радку карыстальніцкага агента ўтрымліваюцца несапраўдныя сімвалы.
Internet Explorerと旧Microsoft Edge(EdgeHTML)のアクセスに警告を表示する	Паказваць папярэджанне пры доступе да Internet Explorer і старога Microsoft Edge
Internet Explorerと旧Microsoft Edgeのアクセスを避けます	Блакуе доступ праз Internet Explorer і стары Microsoft Edge
alertメッセージを表示する言語	Мова, якой адлюстроўваюцца апавяшчальныя паведамленні
Wordpressの言語	Мовы WordPress
ブラウザの設定言語	Мова браўзера
メッセージをカスタム設定されている場合は言語を変更できません	Вы не можаце змяніць мову, калі паведамленні былі настроены.
同意画面の言語	Мова экрана згод
view-sourceメッセージを表示する言語	Мова для адлюстравання паведамлення «view-source»
一時使用トークンの有効期限	Тэрмін дзеяння часовых токенаў
3分	3 хвіліны
4分	4 хвіліны
5分	5 хвілін
6分	6 хвілін
7分	7 хвілін
8分	8 хвілін
9分	9 хвілін
10分	10 хвілін
15分	15 хвілін
20分	20 хвілін
25分	25 хвілін
30分	30 хвілін
35分	35 хвілін
40分	40 хвілін
45分	45 хвілін
50分	50 хвілін
55分	55 хвілін
1時間	1 гадзіна
画像URL情報の有効期限を設定します	Усталюйце тэрмін прыдатнасці для інфармацыі пра URL-адрас выявы
一度読み込まれると画像URL情報と一時使用トークンは無効化されます	Пасля загрузкі URL-адрас выявы і часовы токен будуць ануляваны.
画像は遅延読み込みされますが、この指定した時間の30秒前に強制的に画像が読み込まれます	Выявы загружаюцца па запыце, але яны будуць аўтаматычна загружаны за 30 секунд да ўказанага часу.
一時使用トークンのビット数	Колькасць бітаў у часовым токене
画像URL情報を暗号化するのに一時使用トークンをパスワードとして使用しますが、その強度を指定します	Часовы токен выкарыстоўваецца ў якасці пароля для шыфравання інфармацыі аб URL-адрасе выявы; гэтая налада вызначае яго моц.
ドロップダウンメニューの下に表示される選択肢にいくにつれて強度が強くなるものの、サーバーへの負荷が高くなり、HTML転送量が多くなることがあります	Хоць варыянты, якія адлюстроўваюцца пад выпадальным меню, становяцца ўсё больш падрабязнымі, гэта можа стварыць большую нагрузку на сервер і прывесці да перадачы больскага аб'ёму HTML-даных.
ハッシュ化アルゴリズム	Хэш-алгарытм
画像URL情報を暗号化するのに一時使用トークンをパスワードとして使用しますが、その時ハッシュ化が必要です、その強度を設定します	Часовы токен выкарыстоўваецца ў якасці пароля для шыфравання інфармацыі аб URL-адрасе выявы; гэта патрабуе хэшыравання, і гэтае наладжванне вызначае яго моц.
ドロップダウンメニューの下に表示される選択肢にいくにつれて強度が強くなるものの、サーバーへの負荷が高くなります	Хоць інтэнсіўнасць павялічваецца пры пракручванні спіса варыянтаў у выпадальным меню, гэта стварае большую нагрузку на сервер.
基本設定	Асноўныя налады
高度な設定	Пашыраныя налады
初期設定に戻す	Аднавіць значэнні па змаўчанні
デザイン・音の設定	Дызайн і налады гуку
イベントの設定	Налады мерапрыемства
初回訪問時のお知らせの設定	Наладжванне апавяшчэнняў для першых візітаў
メッセージの設定	Налады паведамлення
右クリックやソースコード表示時に転送する URL を設定します	Усталюйце URL, які будзе адкрывацца пры націсканні правай кнопкай мышы або праглядзе зыходнага кода
警告メッセージにはHTMLは使用できません	HTML нельга выкарыстоўваць у паведамленнях аб папярэджанні
この画面で設定すると、高度な設定タブにある言語設定が無視されます	Калі вы наладзіце гэта на гэтым экране, налады мовы на ўкладцы «Дадаткова» будуць ігнаравацца.
以下の文字列が使用できます	Можна выкарыстоўваць наступныя радкі
改行	Перанос радка
押下されたキー	Клавіша націснутая
Neo HTML Protector 設定	Налады Neo HTML Protector
お知らせ	Паведамленне
メッセージ	Паведамленне
デザイン・音	Дызайн і гук
初期化	Ініцыялізацыя
このプラグインについて	Пра гэты плагін
設定が初期化されました	Налады скінутыя
プラグインを初期化します なおIPログリーダーのデータはここでは削除されません	Ініцыялізуйце плагін. Звярніце ўвагу, што даныя IP Log Reader на гэтым этапе не будуць выдалены.
Neo HTML Protectorについて	Пра Neo HTML Protector
このプラグインはあなたのWordpressから出力されるHTMLや画像等を保護し、コンテンツの不正利用から守ることを目的としています。	Гэты плагін прызначаны для абароны HTML-кода, выяў і іншага кантэнту, які генеруецца вашым сайтам на WordPress, абараняючы яго ад несанкцыянаванага выкарыстання.
コンテンツを完璧に守ることはできません。しかし可能な限りの方法において警告し、もし何かがあった場合に備えて準備することにより国で定められている方法で解決することができるはずです。	Немагчыма цалкам абараніць кантэнт. Аднак, даючы папярэджанні паўсюль, дзе гэта магчыма, і рыхтуючыся на выпадак, калі нешта здарыцца, мы зможам вырашыць гэтае пытанне ў адпаведнасці з працэдурамі, устаноўленымі ўрадам.
もちろん、利用規約やサイトポリシーを充実させる必要があります。このプラグインは利用規約生成アプリではありませんが、そのヒントを与えることができます。	Вядома, вам трэба будзе пераканацца, што вашы ўмовы выкарыстання і палітыка сайта з'яўляюцца вычарпальнымі. Хоць гэты плагін не з'яўляецца інструментам для генерацыі ўмоў выкарыстання, ён можа даць пэўныя рэкамендацыі.
開発者: 夜桜　なの	Распрацоўшчык: Nano Yozakura
バージョン	Версія
ビルド	Будуй
サポートページ	Старонка падтрымкі
ISISちゃん	ISIS chan
Miss. 裏まにら氏歌唱	Выконвае міс Ура Маніра
支援のお願い	Запыт аб падтрымцы
Neo HTML Protectorをご利用いただき、ありがとうございます！	Дзякуй, што карыстаецеся Neo HTML Protector!
本プラグインの開発と維持には多くの時間と知恵の絞りだしがかかっており、引き続き改善と更新を行っていくための資金を集めるために、もしご支援いただける方がいれば、寄付をお願いできればと思います。	Распрацоўка і падтрымка гэтага плагіна запатрабавалі шмат часу і высілкаў, і для таго, каб сабраць сродкі на яго далейшае ўдасканаленне і абнаўленне, мы будзем удзячныя, калі ўсе, хто можа нас падтрымаць, разгледзяць магчымасць зрабіць ахвяраванне.
寄付について	Пра ахвяраванні
