設定	ဆက်တင်များ
スクリーンショットの疑いの警告メッセージ	သံသယရှိသော screenshot များနှင့်ပတ်သက်သည့် သတိပေးစာ
テキスト全選択時の警告メッセージ	စာသားအားလုံးကိုရွေးချယ်ထားသောအခါ သတိပေးစာသား
ページ保存の警告メッセージ	စာမျက်နှာ သိမ်းဆည်းခြင်းနှင့် ပတ်သက်သည့် သတိပေးစာ
コピー・カットした時に表示するメッセージ	ကူးယူခြင်း သို့မဟုတ် ဖြတ်ထုတ်ခြင်း ပြုလုပ်သောအခါ ပြသသည့် စာသား
HTMLソース表示時に表示するメッセージ	HTML မူရင်းကုဒ်ကြည့်ရှုနေစဉ် ပြသမည့် စာတို
HTML難読化・保護時にソースの先頭に表示するメッセージ	HTML ကို မှိုကွယ်ခြင်း သို့မဟုတ် ကာကွယ်ခြင်း ပြုလုပ်သောအခါ အရင်းအမြစ်ကုဒ်၏ ထိပ်ဆုံးတွင် ပြသမည့် စာသား
HTML保護時に一度限りの認証トークンが異常の場合に表示するメッセージ	HTML ကာကွယ်မှုအတွင်း တစ်ကြိမ်သုံး အတည်ပြုကုဒ် မမှန်ကန်ပါက ပြသရန် မက်ဆေ့ခ်ျ
CookieやJavascriptが有効でない場合に表示するメッセージ	ကွကီများ သို့မဟုတ် JavaScript ကို ပိတ်ထားပါက ပြသမည့် သတင်းစကား
実際にはJavascriptが無効時のみ表示されます	အမှန်တော့ JavaScript ကို ပိတ်ထားတဲ့အခါမှသာ ဒီကို ပြသပါသည်။
画像保護時に画像がダウンロードされ、その画像に表示するメッセージ 英語のみ	ပုံတစ်ပုံကိုကာကွယ်ထားလျှင်၊ ၎င်းကိုဒေါင်းလုဒ်ဆွဲပြီး၊ အဲဒီပုံပေါ်တွင်စာတစ်စောင်ပြသမည်
HTML難読化 (圧縮)	HTML ဖျောက်ဖျက်ခြင်း
一般的なHTML圧縮です、難読化解除のサイトもあります	ဒါက စံ HTML ဖိသိပ်ခြင်းဖြစ်ပြီး၊ ၎င်းကို ပြန်ဖော်ပေးနိုင်တဲ့ ဝက်ဘ်ဆိုဒ်များလည်း ရှိသည်။
このオプションを有効にするとview-sourceのログが取得できます	ဤရွေးချယ်စရာကို ဖွင့်ထားခြင်းဖြင့် view-source မှတ်တမ်းများကို ပြန်လည်ရယူနိုင်ပါသည်။
HTML保護	HTML ကာကွယ်မှု
HTML圧縮以上に最小限のHTMLしか出力せず、BODYタグ内の内容が全く出力されなくなります	ဤသည် HTML ကို အနည်းဆုံးလိုအပ်သမျှသာ ထုတ်ပေးပြီး HTML ဖိသိပ်ခြင်းအသုံးပြုသည့်အခါထက်ပိုနည်းပါးကာ BODY တက်အတွင်းရှိ အကြောင်းအရာများကို လုံးဝ မထုတ်ပေးပါ။
Firefoxに対しては無効です	ဤသည် Firefox အတွက် မသက်ဆိုင်ပါ။
SEOに著しく影響があります	ဤသည် SEO အပေါ် အရေးကြီးသော သက်ရောက်မှု ရှိသည်။
HTMLをJavaScriptで描画	JavaScript ဖြင့် HTML ဖော်ပြခြင်း
Firefox対策としてHTMLをJavaScriptで描画をします	Firefox ကိုကျော်လွှားရန်အတွက် ကျွန်ုပ်တို့သည် JavaScript ဖြင့် HTML ကို ဖော်ပြသည်။
JavaScript描画で有効にするとウェブサイトの表示速度が著しく遅くなります	JavaScript rendering ကို ဖွင့်ထားခြင်းက ဝက်ဘ်ဆိုဒ်ဖွင့်ချိန်ကို အလွန်နှေးကွေးစေပါလိမ့်မည်။
画像の保護	ပုံကာကွယ်ခြင်း
imgタグが呼び出されるごとに画像を保護	Img tag ကို ခေါ်တိုင်း ပုံကို ကာကွယ်ပါ။
出力される全HTMLのうち、Wordpressにアップロードされた画像をすべて保護	WordPress သို့ တင်ထားသော ပုံအားလုံးကို HTML ထွက်စာတန်းတစ်ခုလုံးအတွင်း ကာကွယ်ပါ။
画像をダウンロードから保護します	ပုံများကို ဒေါင်းလုဒ်ဆွဲခြင်းမှ ကာကွယ်ပေးသည်။
画像データを保護した時にはほぼ完全なるダウンロードを阻止し、完全なるワンタイムURLを発行し、セッションに保存されたトークンで認証し、phpから画像を表示します、その為ほぼ完全な画像盗用を防ぎます	ပုံဒေတာကို ကာကွယ်ထားသောအခါ ကျွန်ုပ်တို့သည် ဒေါင်းလုဒ်ဆွဲခြင်းအားလုံးကို တားဆီးကာ တစ်ကြိမ်သုံး URL များ ထုတ်ပေးပြီး session တွင် သိမ်းဆည်းထားသော token များဖြင့် အတည်ပြုကာ PHP ဖြင့် ပုံများကို ပြသသည်။ ဤနည်းဖြင့် ပုံခိုးယူမှုအများစုကို ထိရောက်စွာ တားဆီးနိုင်သည်။
画像データを保護した時には画像のキャッシュが効かないため、次回訪問時にサイトの読み込みが遅くなるため、SEOに影響があります	ပုံအချက်အလက်များကို ကာကွယ်ထားလျှင် ကက်ရှ်မလုပ်နိုင်တော့ဘဲ နောက်တစ်ကြိမ် ဝင်ကြည့်သောအခါ ဝက်ဘ်ဆိုဒ်ဖွင့်မြန်နှုန်း ကျဆင်းသွားပြီး SEO ကို ထိခိုက်စေသည်။
画像データを保護した時には、データベースの負荷が高くなる可能性があります	ပုံဒေတာကို ကာကွယ်ခြင်းကြောင့် ဒေတာဘေ့စ်ပေါ်ရှိ ဝန်ပမာဏ တိုးနိုင်သည်။
「imgタグが呼び出されるごとに画像を保護」の場合は、add_filterを使用し、imgタグの発行時にフィルタリングを行います、テーマによっては正しく動作しません	သင် 'img tag ကို ခေါ်တိုင်း ပုံများကို ကာကွယ်ရန်' ကို ရွေးချယ်ပါက၊ စနစ်သည် img tag ဖန်တီးသည့်အခါ add_filter ကို အသုံးပြု၍ စစ်ထုတ်ခြင်း ပြုလုပ်သည်။ သို့သော် တချို့ theme များတွင် မှန်ကန်စွာ အလုပ်မလုပ်နိုင်ပါ။
「出力される全HTMLのうち、Wordpressにアップロードされた画像をすべて保護」の場合は、Wordpressのほぼすべての動作をキャプチャし、コンテンツ内のimgタグについてすべて処理します。テーマによっては正しく動作しません	"HTML ထွက်အားလုံးအတွင်း WordPress သို့ တင်ထားသော ပုံများအားလုံးကို ကာကွယ်ရန်" ကို ရွေးချယ်ပါက၊ ဤ plugin သည် WordPress လုပ်ဆောင်ချက်များအများစုကို ဖမ်းယူကာ အကြောင်းအရာအတွင်းရှိ img tag တစ်ခုချင်းစီကို လုပ်ဆောင်ပါမည်။ သို့သော် တချို့ theme များတွင် မှန်ကန်စွာ အလုပ်မလုပ်နိုင်နိုင်ပါသည်။
なお、アイキャッチに指定した画像はOGPとして拡散されますので保護できません。どうしても保護すべき場合は高度な設定でHTML保護時のHEADタグの出力の選択を変更してください	အထူးပုံများအဖြစ် သတ်မှတ်ထားသော ပုံများကို OGP ဒေတာအဖြစ် မျှဝေမည်ဖြစ်၍ ကာကွယ်၍ မရနိုင်ပါ။ အကယ်၍ သေချာစွာ ကာကွယ်လိုပါက HTML ကာကွယ်မှုကို ဖွင့်ထားစဉ် အဆင့်မြင့်ဆက်တင်များတွင် HEAD tag ထုတ်လွှင့်မှုဆက်တင်ကို ပြောင်းလဲပါ။
OS標準搭載のスクリーンショット機能を保護することはできません	အော်ပရေတာင်းစနစ်ထဲတွင် တပ်ဆင်ထားသော screenshot လုပ်ဆောင်ချက်ကို ကာကွယ်၍ မရနိုင်ပါ။
画像URLの保護	ပုံ URL များကို ကာကွယ်ခြင်း
画像の保護と組み合わせて使用します、単体では意味がありません	ဤကို ပုံကာကွယ်မှုနှင့်အတူသာ အသုံးပြုသင့်သည်။ တစ်ခုတည်းအသုံးပြုလျှင် မည်သည့်အကျိုးမျှ မရှိပါ။
JavaScriptにより遅延読まれますのでSEOに影響があります	JavaScript ဖြင့် အလွတ်လပ်စွာ တင်သွင်းထားသောကြောင့် SEO ကို ထိခိုက်စေသည်။
画像のウォーターマーク	ပုံရေတံဆိပ်
右下	အောက်ညာဘက်
ランダム位置	မမှန်ကန်သော တည်နေရာ
画像の保護と組み合わせて使用します、動的な透かしで著作権を明示しつつ、閲覧者に監視されている印象を与え抑止力を高めます	ပုံရိပ်ကာကွယ်မှုနှင့် တွဲဖက်အသုံးပြုသော dynamic watermark များသည် မူပိုင်ခွင့်ပိုင်ဆိုင်မှုကို ထင်ရှားစွာ ပြသပေးပြီး ကြည့်ရှုသူများအား စောင့်ကြည့်ခံနေရသည်ဟု ခံစားစေကာ ထိုအားဖြင့် တားဆီးကန့်သတ်သည့် အကျိုးသက်ရောက်မှုကို ဖြစ်စေသည်။
JPG形式、PNG形式、WebP形式のみ対応します	JPG၊ PNG နှင့် WebP ဖော်မတ်များကိုသာ ထောက်ပံ့ပါသည်။
有効にするとサーバーの負荷が高くなります	ဤကို ဖွင့်ထားခြင်းဖြင့် ဆာဗာပေါ်တွင် အလုပ်ပမာဏ တိုးမည်။
HTML難読化・保護時のHTMLソースコードのアスキーアートの出力	HTML မူလကုဒ်မှ ASCII အနုပညာ ထုတ်ယူခြင်း HTML ဖျောက်ကွယ်ခြင်းနှင့် ကာကွယ်ခြင်းအတွင်း
表示なし	မပြသပါ
view-sourceでHTMLソース表示をした時に警告の意思を示すアスキーアートを表示します	'view-source' ကို အသုံးပြု၍ HTML မူရင်းကုဒ်ကို ကြည့်ရှုသောအခါ သတိပေးချက်ကို ဖော်ပြသည့် ASCII အနုပညာ
対象アクションを起こした時の表示デザイン	ရည်မှန်းထားသော လုပ်ဆောင်ချက် ပြည့်မီသည့်အခါ ဒီဇိုင်းကို ပြသပါ။
黄色の背景の黒文字のベーシックデザイン	အဝါရောင်နောက်ခံပေါ်တွင် အနက်ရောင်စာသားပါသော ရိုးရှင်းသော ဒီဇိုင်း
黒色の背景の赤文字のホラー風デザイン	အနက်ရောင်နောက်ခံပေါ်တွင် အနီရောင်စာသားဖြင့် ဖော်ပြထားသည့် ထိတ်လန့်စရာပုံစံ ဒီဇိုင်း
黒色の背景の赤文字の光る文字のデザイン	အနက်ရောင်နောက်ခံပေါ်တွင် တောက်ပလင်းနေသော အနီရောင်စာသားပါဝင်သည့် ဒီဇိုင်း
対象アクションを起こした時のBGM	ရည်မှန်းထားသော လှုပ်ရှားမှု ပြုလုပ်သည့်အခါ ဖျော်ဖြေတေးဂီတ သီဆိုခြင်း
サウンドなし	အသံမထွက်
戦闘＆戦闘勝利 - 1分16.3秒 - 630,056bytes - 64kbps - ライセンス：CC2.1 or later	တိုက်ပွဲနှင့် အနိုင်ရခြင်း - ၁ မိနစ် ၁၆.၃ စက္ကန့် - ၆၃၀,၀၅၆ ဘိုက် - ၆၄ kbps - လိုင်စင်: CC 2.1 သို့မဟုတ် နောက်ပိုင်း
おやじ ショート - 3.8秒 - 32,364bytes - 64kbps - ライセンス GPL2.0 or later (C)EJ	ဒက်ရှော့ - ၃.၈ စက္ကန့် - ၃၂,၃၆၄ ဘိုက် - ၆၄ kbps - လိုင်စင်: GPL 2.0 သို့မဟုတ် နောက်ပိုင်း
おやじ ロング - 23.5秒 - 195,578bytes - 64kbps - ライセンス GPL2.0 or later (C)EJ	အိုယာဂျီ လောင် - 23.5 စက္ကန့် - 195,578 ဘိုက် - 64 kbps - လိုင်စင်: GPL 2.0 သို့မဟုတ် နောက်ပိုင်း
ショパン エチュード Op.10-5 黒鍵 打ち込み版 高速版 - 1分0.0秒 - 369,778bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	ချိုပင် Étude Op. 10 နံပါတ် ၅
ショパン エチュード Op.10-12 革命 打ち込み版 高速版 - 1分57.6秒 - 724,457bytes - 48kbps -  ライセンス：CC BY-ND 4.0 or later	ချိုပင် Étude Op. 10 နံပါတ် ၁၂ 'Revolution' – ကွန်ပျူတာဖြင့် ဖန်တီးထားသော ဗားရှင်း၊ မြန်နှုန်းမြင့် – ၁ မိနစ် ၅၇.၆ စက္ကန့် – ၇၂၄,၄၅၇ ဘိုက် – ၄၈ kbps – လိုင်စင်: CC BY-ND 4.0 သို့မဟုတ် နောက်ပိုင်း
ショパン スケルツォ 変ロ短調 Op2 打ち込み版 高速短縮版 - 1分48.0秒 - 665,369bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	ချိုပင်: B-ဖလက် မိုင်နာတွင် ရေးသားထားသော စကာဇို၊ အိုပပ် ၂ – ကွန်ပျူတာဖြင့် ထုတ်လုပ်ထားသော ဗားရှင်း၊ မြန်နှုန်းမြင့် တိုချုပ်ဗားရှင်း – ၁ မိနစ် ၄၈.၀ စက္ကန့် – ၆၆၅,၃၆၉ ဘိုက် – ၄၈ kbps – လိုင်စင်: CC BY-ND 4.0 သို့မဟုတ် နောက်ပိုင်း
リスト 超絶技巧練習曲 4番 マゼッパ 打ち込み版 高速短縮版 - 1分51.6秒 - 687,586bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	စာရင်း: ထူးခြားမြင့်မားသော အကောင်အထည်ဖော်လေ့လာမှု နံပါတ် ၄၊ 'Mazeppa' – ကွန်ပျူတာဖြင့် ထုတ်လုပ်ထားသော ဗားရှင်း၊ မြန်နှုန်းမြင့် တိုချုံးထားသော ဗားရှင်း – ၁ မိနစ် ၅၁.၆ စက္ကန့် – ၆၈၇,၅၈၆ ဘိုက် – ၄၈ kbps – လိုင်စင်: CC BY-ND 4.0 သို့မဟုတ် နောက်ပိုင်း
ファンファーレ - 22.3秒 - 183,926bytes - 64kbps - ライセンス：パブリックドメイン	ဂုဏ်ပြုတီးဝိုင်း – 22.3 စက္ကန့် – 183,926 ဘိုက် – 64 kbps – လိုင်စင်: အများပြည်သူပိုင်
レトロ風ファンファーレ - 2.2秒 - 10,536bytes - 32kbps - ライセンス：パブリックドメイン	ရက်ထရိုစတိုင် ဂုဏ်ပြုသံ – 2.2 စက္ကန့် – 10,536 ဘိုက် – 32 kbps – လိုင်စင်: အများပြည်သူပိုင်
レトロ風オープン - 42.1秒 - 179,138bytes - 32kbps - ライセンス：パブリックドメイン	ရက်ထရိုစတိုင် မိတ်ဆက် – ၄၂.၁ စက္ကန့် – ၁၇၉,၁၃၈ ဘိုက် – ၃၂ kbps – လိုင်စင်: အများပြည်သူပိုင်
警告 by ChatGPT - 3.8秒 - 109,700bytes - 256kbps - ライセンス：パブリックドメイン	ChatGPT မှ သတိပေးချက် - ၃.၈ စက္ကန့် - ၁၀၉,၇၀၀ ဘိုက် - ၂၅၆ kbps - လိုင်စင်: အများပြည်သူပိုင်
マルウェア検出みたいな緊急感の高い音 その１ by ChatGPT - 3.3秒 - 102,850bytes - 256kbps - ライセンス：パブリックドメイン	မော်လ်ဝဲရှာဖွေမှု သတိပေးချက်ကဲ့သို့ အရေးပေါ်မြင့် အသံ – အပိုင်း ၁၊ ChatGPT မှ – ၃.၃ စက္ကန့် – ၁၀၂,၈၅၀ ဘိုက် – ၂၅၆ kbps – လိုင်စင်: အများပြည်သူပိုင်
マルウェア検出みたいな緊急感の高い音 その２ by ChatGPT - 3.3秒 - 103,122bytes - 256kbps - ライセンス：パブリックドメイン	မော်လ်ဝဲရှာဖွေမှု သတိပေးချက်ကဲ့သို့ အရေးပေါ်အသံ၊ အပိုင်း ၂၊ ChatGPT မှ - ၃.၃ စက္ကန့် - ၁၀၃,၁၂၂ ဘိုက် - ၂၅၆ kbps - လိုင်စင်: အများပြည်သူပိုင်
MRI風サウンド by ChatGPT - 1分14.9秒 - 3,340,392bytes - 320kbps - ライセンス：パブリックドメイン	ChatGPT ဖြင့် ဖန်တီးထားသော MRI ပုံစံ အသံ – ၁ မိနစ် ၁၄.၉ စက္ကန့် – ၃,၃၄၀,၃၉၂ ဘိုက် – ၃၂၀ kbps – လိုင်စင်: အများပြည်သူပိုင်
警告表示中のBGMを選択します	သတိပေးစဉ်တွင် ဖွင့်ရန် နောက်ခံတေးဂီတကို ရွေးချယ်ပါ။
びっくりするような雰囲気を作ります	ဒါက အံ့ဩဖွယ် ပတ်ဝန်းကျင်တစ်ခုကို ဖန်တီးပေးသည်။
Firefoxでは音声ブロックされます	Firefox တွင် အသံ ပိတ်ထားသည်။
対象アクションを起こした時のビープ音	သတ်မှတ်ထားသော လုပ်ဆောင်မှု ပြုလုပ်သည့်အခါ ဘီးပ်သံ ထွက်မည်။
有効 音量小さ目	ဖွင့်ထားသည်၊ အသံနည်း
有効 音量大き目	ဖွင့်ထားပြီး အသံအဆင့်ကို အမြင့်ဆုံးထားထားသည်
警告表示中にすべてのキー・マウスイベントでビープ音を鳴らします	သတိပေးချက် ပြသနေစဉ် အတွင်း ကီးဘုတ်နှင့် မောက်စ် လှုပ်ရှားမှုများအားလုံးအတွက် ဘီးပ်အသံ ထွက်မည်။
警告表示中に端末が暴走したかのような雰囲気を作ります	သတိပေးချက် ပြသနေစဉ်တွင် စက်ပစ္စည်းသည် ထိန်းချုပ်မှုမရအောင် ထိန်းမနိုင်ဘဲ လည်ပတ်နေသလို ထင်မြင်ခံစားမှုကို ဖန်တီးပေးသည်။
対象アクションを起こした時のマウスカーソルの消去	သတ်မှတ်ထားသော လှုပ်ရှားမှုတစ်ခု ပြုလုပ်သောအခါ မောက်စ် ကာဆာကို ဖျောက်ခြင်း
警告表示中にブラウザのエリアのマウスカーソルを消去します	သတိပေးချက် ပြသနေစဉ် ဘရောက်ဇာဒေသတွင် မောက်စ်ကပ်ဆာကို ဖုံးကွယ်ထားသည်။
デバッグモード	အမှားရှာဖွေရေးမုဒ်
妨害＋記録のみ	အနှောင့်အယှက် + မှတ်တမ်းများသာ
妨害＋記録＋表示＋リダイレクト	အနှောင့်အယှက် + မှတ်တမ်းတင်ခြင်း + ပြသခြင်း + လမ်းကြောင်းပြောင်းခြင်း
メニューからは操作できてしまいます	မီနူးမှတဆင့် သင် အခုလည်း ဝင်ရောက်ကြည့်ရှုနိုင်ဆဲဖြစ်သည်။
Firefoxにおけるデバッグモード	Firefox တွင် Debug မုဒ်
ブラウザーコンソール	ဘရောက်ဇာ ကွန်ဆိုးလ်
事実上デバッグモードから操作できてしまいます	အကျိုးသက်ရောက်မှုအရ၊ သင်သည် ၎င်းကို debug မုဒ်မှ လည်ပတ်နိုင်ပါသည်။
HTMLソース表示	HTML မူရင်းကုဒ်ကို ကြည့်ပါ။
view-source:から始まるURLを入力すれば操作できてしまいます	'view-source:' ဖြင့် စတင်သော URL ကို ရိုက်ထည့်ခြင်းဖြင့်သာ ဤ လုပ်ငန်းစဉ်ကို လွယ်ကူစွာ ဆောင်ရွက်နိုင်ပါသည်။
HTML保護と組み合わせることでコンテンツを保護することができます	ဤနည်းကို HTML ကာကွယ်မှုနှင့် ပေါင်းစပ်၍ သင့်အကြောင်းအရာကို ကာကွယ်နိုင်သည်။
印刷	ပုံနှိပ်ရန်
印刷阻止をするもものの、ブラウザによってはうまく動作しません	ပုံနှိပ်ခြင်းကို တားဆီးပေမယ့် အချို့ ဘရောက်ဇာများတွင် မှန်ကန်စွာ အလုပ်မလုပ်နိုင်ပါ။
スクリーンショット	မျက်နှာပြင်ဓာတ်ပုံ
OSやブラウザ、方法によっては妨害できず、もしくは検出しないことがあります	အသုံးပြုသော အော်ပရေတာစနစ်၊ ဘရောက်ဇာ သို့မဟုတ် နည်းလမ်းပေါ် မူတည်၍ ဤကို တားဆီး၍ မရနိုင်ခြင်း သို့မဟုတ် တွေ့ရှိ၍ မရနိုင်ခြင်း ဖြစ်နိုင်ပါသည်။
ウインドウが背面に移動した時スクリーンショットの疑い	ပြတင်းပေါက်ကို နောက်ခံသို့ရွှေ့တဲ့အခါ မှတ်ယူထားသော screenshot ဖြစ်သည်ဟု သံသယရှိသည်။
あわせて、スクリーンショット以外の機能（タブ切り替え・ウィンドウ切り替え）にも反応してしまいます。	ဓာတ်ပုံဖမ်းခြင်းအပြင်
2キー押下のスクリーンショットの疑い	သံသယဖြစ်စေသော စကရင်ရှော့ကို ခလုတ်နှစ်ခုကို တပြိုင်နက်နှိပ်၍ ရိုက်ယူထားသည်ဟု သံသယရှိသည်။
上の項目の検出方法は完全ではありません、予防的に検出を行います	အထက်ပါအချက်များအတွက် ရှာဖွေရေးနည်းလမ်းများမှာ အပြည့်အဝယုံကြည်စိတ်ချရခြင်းမရှိပါ၊ ရှာဖွေခြင်းကို ကြိုတင်ကာကွယ်ရေးအဖြစ်သာ ဆောင်ရွက်ပါသည်။
スクリーンショットだけではなく、デバッグモード等も検出します	ဤကိရိယာသည် စကရင်ပုံများသာမက debug မုဒ်များနှင့် ဆင်တူသည့် အခြေအနေများကိုလည်း တွေ့ရှိနိုင်သည်။
ページ保存	စာမျက်နှာ သိမ်းဆည်းပါ
右クリック	ညာဘက်နှိပ်
アドオンがインストールされていると操作できてしまいます	အက်ဒ်-အွန်ကို တပ်ဆင်ထားပါက သင်၎င်းကို အသုံးပြုနိုင်ပါလိမ့်မည်။
コピー・カット	ကူးယူပြီး ဖြတ်ထုတ်
本プラグインの設定によってはこのイベントにたどり着くことはほとんどない場合があります	ဤပလပ်ဂင်၏ ဆက်တင်များပေါ် မူတည်၍ ဤဖြစ်ရပ်ကို မကြာခဏမတွေ့ရနိုင်ပါ။
