設定	Mîheng
Firefox対策としてHTMLをJavaScriptで描画をします	Ji bo ku li dora Firefoxê bixebitin, em HTMLê bi rêya JavaScriptê render dikin.
JavaScript描画で有効にするとウェブサイトの表示速度が著しく遅くなります	Çalakkirina rindreya JavaScriptê dê leza barkirina malperê bi awayekî berbiçav hêdî bike.
画像の保護	Parastina wêneyan
imgタグが呼び出されるごとに画像を保護	Her carê ku etîketa img tê gazîkirin, wêneyê biparêze.
出力される全HTMLのうち、Wordpressにアップロードされた画像をすべて保護	Hemû wêneyên ku li WordPressê hatine barkirin di nav tevahiya derketina HTMLê de biparêze.
画像をダウンロードから保護します	Wêneyan ji daxistinê diparêze
画像データを保護した時にはほぼ完全なるダウンロードを阻止し、完全なるワンタイムURLを発行し、セッションに保存されたトークンで認証し、phpから画像を表示します、その為ほぼ完全な画像盗用を防ぎます	Dema ku daneyên wêneyan tên parastin, em hema hema bi temamî pêşî li daxistinan digirin, URLên yekcarî û yekta çêdikin, bi bikaranîna tokenên di danişînê
画像データを保護した時には画像のキャッシュが効かないため、次回訪問時にサイトの読み込みが遅くなるため、SEOに影響があります	Dema ku daneyên wêneyan tên parastin, keşkirin naxebite, ku ev tê wê wateyê ku malper di serdanên paşîn de dê hêdîtir vebe, û bi vî awayî bandorê li SEOyê dike.
画像データを保護した時には、データベースの負荷が高くなる可能性があります	Parastina daneyên wêneyê dibe ku barê li ser databasê zêde bike.
「imgタグが呼び出されるごとに画像を保護」の場合は、add_filterを使用し、imgタグの発行時にフィルタリングを行います、テーマによっては正しく動作しません	Heke hûn 'Wêneyan biparêze her gava ku etîketa img tê gazîkirin' hilbijêrin, sîstem add_filter bi kar tîne da ku dema etîketa img tê çêkirin parzûnkirinê pêk bîne; lêbelê, dibe ku ev bi hin temayan re rast nexebite.
「出力される全HTMLのうち、Wordpressにアップロードされた画像をすべて保護」の場合は、Wordpressのほぼすべての動作をキャプチャし、コンテンツ内のimgタグについてすべて処理します。テーマによっては正しく動作しません	Heke hûn 'Hemû wêneyên ku di nav tevahiya derketina HTMLê de li WordPressê hatine barkirin biparêze' hilbijêrin, pêvek dê hema hema hemû operasyonên WordPressê bigire û her etîketa img a di nav naverokê de bişixulîne. Ji kerema xwe bala xwe bidinê ku dibe ev bi hin temayan re rast nexebite.
なお、アイキャッチに指定した画像はOGPとして拡散されますので保護できません。どうしても保護すべき場合は高度な設定でHTML保護時のHEADタグの出力の選択を変更してください	Ji kerema xwe bala xwe bidinê ku wêneyên wekî wêneyên taybet hatine destnîşankirin, dê wekî daneyên OGP werin parvekirin û nikarin werin parastin. Heke hûn bi teqezî dixwazin wan biparêzin, dema ku hûn parastina HTML'ê çalak dikin, ji kerema xwe di mîhengên pêşketî de mîhenga derketina etîketa HEAD biguherînin.
OS標準搭載のスクリーンショット機能を保護することはできません	Fonksiyona girtina dîmenê ya ku wekî standard di pergala xebitandinê de heye, nayê parastin.
画像URLの保護	Parastina URLyên wêneyan
画像の保護と組み合わせて使用します、単体では意味がありません	Divê ev bi parastina wêneyan re were bikaranîn; bi serê xwe, tu armancek wê nîne.
JavaScriptにより遅延読まれますのでSEOに影響があります	Ji ber ku ew bi awayekî tembelane bi rêya JavaScript tê barkirin, ev yek bandorê li SEOyê dike.
画像のウォーターマーク	Nîşana avê ya wêneyê
右下	Rastê jêrîn
ランダム位置	Pozîsyona tesadufî
画像の保護と組み合わせて使用します、動的な透かしで著作権を明示しつつ、閲覧者に監視されている印象を与え抑止力を高めます	Di heman demê de bi parastina wêneyan re tên bikaranîn, nîşanên avê yên dînamîk bi awayekî zelal xwedîtiya mafê telîfê nîşan didin û di heman demê de hesta şopandinê didin temaşevanan, û bi vî awayî wekî handerekê kar dikin.
JPG形式、PNG形式、WebP形式のみ対応します	Tenê formatên JPG, PNG û WebP tên piştgirîkirin.
有効にするとサーバーの負荷が高くなります	Vekirina vê dê barê ser serverê zêde bike.
HTML難読化・保護時のHTMLソースコードのアスキーアートの出力	Derxistina hunera ASCII ji koda çavkaniyê ya HTMLê di dema tevlihevkirin û parastinê de
表示なし	Tiştek nayê nîşandan
view-sourceでHTMLソース表示をした時に警告の意思を示すアスキーアートを表示します	Dema ku çavkaniya HTMLê bi rêya 'view-source' tê dîtin, hunera ASCII ya ku hişyariyekê nîşan dide.
対象アクションを起こした時の表示デザイン	Dîzayna pêşandanê dema ku çalakiya armanc pêk tê
黄色の背景の黒文字のベーシックデザイン	Sêwiraneke bingehîn ku nivîsa reş li ser paşxaneyeke zer e.
黒色の背景の赤文字のホラー風デザイン	Sêwiraneke bi şêwazê tirsê ku nivîsa sor li ser paşxaneyeke reş e.
黒色の背景の赤文字の光る文字のデザイン	Sêwiranek bi nivîsa sor a geş li ser paşxaneyeke reş.
対象アクションを起こした時のBGM	Muzîka paşxanê ya ku dema çalakiya armanc pêk tê lê dide
サウンドなし	Deng tune
戦闘＆戦闘勝利 - 1分16.3秒 - 630,056bytes - 64kbps - ライセンス：CC2.1 or later	Şer & Serkeftin - 1 deqe 16.3 saniye - 630,056 bayt - 64 kbps - Lîsans: CC 2.1 an jê nûjentir
おやじ ショート - 3.8秒 - 32,364bytes - 64kbps - ライセンス GPL2.0 or later (C)EJ	Dad Short - 3.8 saniye - 32,364 bayt - 64 kbps - Lîsans: GPL 2.0 an paşê
おやじ ロング - 23.5秒 - 195,578bytes - 64kbps - ライセンス GPL2.0 or later (C)EJ	Oyaji Long - 23.5 saniye - 195,578 bayt - 64 kbps - Lîsans: GPL 2.0 an paşê
ショパン エチュード Op.10-5 黒鍵 打ち込み版 高速版 - 1分0.0秒 - 369,778bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	Chopin Étude Op. 10 Hejmar 5
ショパン エチュード Op.10-12 革命 打ち込み版 高速版 - 1分57.6秒 - 724,457bytes - 48kbps -  ライセンス：CC BY-ND 4.0 or later	Chopin Étude Op. 10 Hejmar 12 'Şoreş' – Versiyona bi komputerê hatî çêkirin, versiyona bilez – 1 deqe 57.6 saniye – 724,457 bayt – 48 kbps – Lîsans: CC BY-ND 4.0 an jê nûjentir
ショパン スケルツォ 変ロ短調 Op2 打ち込み版 高速短縮版 - 1分48.0秒 - 665,369bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	Chopin: Şerzo di B-mol minur de, Op. 2 – Guhertoya ji aliyê komputerê ve hatiye çêkirin, guhertoya kurtkirî ya bilez – 1 deqe 48.0 saniye – 665,369 bayt – 48 kbps – Lîsans: CC BY-ND 4.0 an jê nûjentir
リスト 超絶技巧練習曲 4番 マゼッパ 打ち込み版 高速短縮版 - 1分51.6秒 - 687,586bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	Lîste: Étude d'Exécution No. 4 'Mazeppa'
ファンファーレ - 22.3秒 - 183,926bytes - 64kbps - ライセンス：パブリックドメイン	Fanfare – 22.3 saniye – 183,926 bayt – 64 kbps – Lîsans: Qada Giştî
レトロ風ファンファーレ - 2.2秒 - 10,536bytes - 32kbps - ライセンス：パブリックドメイン	Fanfareya bi şêwaza retro – 2.2 saniye – 10,536 bayt – 32 kbps – Lîsans: Qada Giştî
レトロ風オープン - 42.1秒 - 179,138bytes - 32kbps - ライセンス：パブリックドメイン	Pêşgotina bi şêwaza retro – 42.1 saniye – 179,138 bayt – 32 kbps – Lîsans: Qada Giştî
警告 by ChatGPT - 3.8秒 - 109,700bytes - 256kbps - ライセンス：パブリックドメイン	Hişyarî ji aliyê ChatGPT - 3.8 saniye - 109,700 bayt - 256 kbps - Lîsans: Qada Giştî
マルウェア検出みたいな緊急感の高い音 その１ by ChatGPT - 3.3秒 - 102,850bytes - 256kbps - ライセンス：パブリックドメイン	Dengê lezgîn ê bilind wekî hişyariyek tespîtkirina malwareyê – Beş 1 ji aliyê ChatGPT – 3.3 saniye – 102,850 bayt – 256 kbps – Lîsans: Qada Giştî
マルウェア検出みたいな緊急感の高い音 その２ by ChatGPT - 3.3秒 - 103,122bytes - 256kbps - ライセンス：パブリックドメイン	Dengê lezgîn ê bilind wekî hişyariyek tespîtkirina malwareyê, Beş 2 ji aliyê ChatGPT - 3.3 saniye - 103,122 bayt - 256 kbps - Lîsans: Qada Giştî
MRI風サウンド by ChatGPT - 1分14.9秒 - 3,340,392bytes - 320kbps - ライセンス：パブリックドメイン	Dengê bi şêwazê MRI ji aliyê ChatGPT ve – 1 deqe 14.9 saniye – 3,340,392 bayt – 320 kbps – Lîsans: Qada Giştî
警告表示中のBGMを選択します	Muzîka paşxanê ya ji bo dema hişyariyê hilbijêre.
びっくりするような雰囲気を作ります	Ew atmosfereke sosret diafirîne.
Firefoxでは音声ブロックされます	Deng di Firefoxê de hatiye astengkirin.
対象アクションを起こした時のビープ音	Dengê bipêkê dema ku çalakiya diyarkirî tê kirin
有効 音量小さ目	Vekirî, deng nizm
有効 音量大き目	Çalak, deng bilind e
警告表示中にすべてのキー・マウスイベントでビープ音を鳴らします	Dengê bîpê dê ji bo hemû çalakiyên klavye û mişkê lê bide, dema ku hişyariyek tê nîşandan.
警告表示中に端末が暴走したかのような雰囲気を作ります	Wisa xuya dike ku amûr ji kontrolê derketiye dema ku hişyarî tê nîşandan.
対象アクションを起こした時のマウスカーソルの消去	Veşartina kursora mişkê dema ku kiryareke taybet tê kirin
警告表示中にブラウザのエリアのマウスカーソルを消去します	Dema ku hişyariyek tê nîşandan, kursora mişkê di qada gerokê de vedişêre.
デバッグモード	Modêya xeletiyan
妨害＋記録のみ	Tenê Destwerdan + Tomar
妨害＋記録＋表示＋リダイレクト	Mudaxele + Tomarkirin + Nîşandan + Veguherandin
メニューからは操作できてしまいます	Hûn hîn jî dikarin bi rêya menuyê xwe bigihîninê.
Firefoxにおけるデバッグモード	Modêya debugê di Firefoxê de
ブラウザーコンソール	Konsola gerokê
事実上デバッグモードから操作できてしまいます	Di pratîkê de, hûn dikarin wê ji moda debugê bixebitînin.
HTMLソース表示	Çavkaniya HTMLê bibîne
view-source:から始まるURLを入力すれば操作できてしまいます	Hûn dikarin operasyonê bi hêsanî bi nivîsandina URL'ek ku bi 'view-source:' dest pê dike, pêk bînin.
HTML保護と組み合わせることでコンテンツを保護することができます	Hûn dikarin naveroka xwe bi hevgirtina vê bi parastina HTMLê re biparêzin.
印刷	Çap bike
印刷阻止をするもものの、ブラウザによってはうまく動作しません	Her çend ew çapkirinê asteng dike jî, dibe ku di hin gerokan de bi awayekî rast nexebite.
スクリーンショット	Wêneyê ekranê
OSやブラウザ、方法によっては妨害できず、もしくは検出しないことがあります	Li gorî pergala xebitandinê, gerok an rêbaza ku tê bikaranîn, dibe ku ne mimkun be ku ev were astengkirin, an jî dibe ku neyê tespîtkirin.
ウインドウが背面に移動した時スクリーンショットの疑い	Girtina dîmenê ya gumanbar dema ku pencere derbasî paşxanê dibe
あわせて、スクリーンショット以外の機能（タブ切り替え・ウィンドウ切り替え）にも反応してしまいます。	Ew herwiha bersivê dide fonksiyonên din ji bilî wênekirina ekranê
2キー押下のスクリーンショットの疑い	Wêneyê ekranê yê gumanbar ku bi pêlkirina du bişkokan hatiye kişandin
上の項目の検出方法は完全ではありません、予防的に検出を行います	Rêbazên tespîtkirinê yên ji bo xalên jorîn ne bêxeletî ne; tespîtkirin wek tedbîreke pêşîlêgir tê kirin.
スクリーンショットだけではなく、デバッグモード等も検出します	Ew ne tenê dîmenên ekranê, lê herwiha modên debugê û tiştên wekî wan jî tespît dike.
ページ保存	Rûpelê tomar bike
右クリック	Klîka rastê
アドオンがインストールされていると操作できてしまいます	Heke pêveka hatibe sazkirin, hûn ê karibin wê bi kar bînin.
コピー・カット	Kopî bike û jê bike
本プラグインの設定によってはこのイベントにたどり着くことはほとんどない場合があります	Li gorî mîhengên vê pêvekê, dibe ku hûn kêm caran rastî vê bûyerê werin.
テキスト全選択	Hemû nivîsê hilbijêre
テキスト選択	Nivîsê hilbijêre
デバッガー起動ログ、デバッガー妨害	Têketina destpêkirina debugger, destwerdana debugger
デバッグモードの使い勝手を少し悪くし、デバッガを起動したことをログに残します、ブラウザによってはこの挙動が止められてしまいます	Ev yek moda debugê hinekî kêmtir bikarhêner-heval dike û tomar dike ku debugger hatiye destpêkirin; lêbelê, dibe ku hin gerok vê tevgerê asteng bikin.
リダイレクトするURL	URL'ê beralî bike
利用規約などのページに転送すると良いでしょう	Wê ramaneke baş be ku bikarhêner ber bi rûpelên wekî Mercên Bikaranînê ve bên beralîkirin.
空欄にすると元のURLにリダイレクトをします	Heke vala bê hiştin, ew ê ber bi URL'a resen ve were beralîkirin.
リダイレクトまでの時間	Dema heta beralîkirinê
リダイレクトなし	Ne vegerandin
1秒	1 saniye
2秒	2 saniye
3秒	3 saniye
4秒	4 saniye
5秒	5 saniye
6秒	6 saniye
7秒	7 saniye
8秒	8 saniye
9秒	9 saniye
10秒	10 saniye
15秒	15 saniye
20秒	Bîst saniye
25秒	25 saniye
30秒	30 saniye
35秒	35 saniye
40秒	40 saniye
45秒	45 saniye
50秒	50 saniye
55秒	55 saniye
1分	1 deqe
1分10秒	1 deqe 10 saniye
1分20秒	1 deqe û 20 saniye
1分30秒	1 deqe û 30 saniye
1分40秒	1 deqe û 40 saniye
1分50秒	1 deqe û 50 saniye
2分	2 deqe
ソース表示を許可する権限	Destûr ji bo dîtina koda çavkaniyê
ADMINログイン時のみ通常のソース出力	Derketina çavkaniyê ya normal tenê dema ku wekî ADMIN têketî ye.
USERログインで通常のソース出力	Derketina normal a çavkaniyê dema ku wek USER têketî ye
通常のHTML出力を管理者のみかユーザーログインかを選択します	Hilbijêre ka gelo derketina HTML a standard tenê ji bo rêveberan sînordar be an jî pêdivî bi têketina bikarhêner hebe.
画像を無理やりダウンロードして実際にダウンロードされるもの	Zorandana daxistina wêneyekî û tiştê ku bi rastî tê daxistin
GIF形式で1×1ピクセルの透過画像	Wêneyek şefaf a 1x1-pîkselî di formata GIF de
PNG形式で1×1ピクセルの透過画像	Wêneyek şefaf a 1x1-pîkselî di formata PNG de
PNG形式で黄色い背景の警告画面	Ekrana hişyariyê ya bi paşxaneya zer di formata PNG de
意味のないHTMLドキュメント	Belgeyeke HTMLê ya bêwate
HTML保護時のHEADタグの出力	Derketina etîketa HEAD dema ku HTML parastî be
出力しない	Nenivîsîne
TITLEタグのみ	Tenê etîketa TITLE
WordpressのHEADタグより取得	Ji etîketa HEAD a WordPressê hatiye wergirtin
企業用途の会員専用ページや社内ページなどでは「出力しない」、「TITLEタグのみ」で良いでしょう	Ji bo rûpelên tenê-ji-bo-endam ên ji bo bikaranîna şîrketî û rûpelên navxweyî, hilbijartina 'Do not output' an jî 'TITLE tag only' bes e.
WordpressのHEADタグから取得しないと、SNSのシェアでOGP画像が表示されません	Heta ku hûn agahiyan ji etîketa HEAD a WordPressê wernegirin, wêneya OGPê dema parvekirina li ser medyaya civakî nayê nîşandan.
画像botをアクセス禁止にする	Botanê wêneyan asteng bike
画像botをHTMLに対し避けることにより、画像検索から直接リンクされることによって守れなかったコンテンツを守ることができます、ただし完全には対処することはできません	Bi rêgirtina li botên wêneyan ji gihîştina HTMLê, hûn dikarin naveroka ku bi rêya lêgerîna wêneyan li hember girêdana rasterast diparêzin; lêbelê, ev ne çareseriyeke temam e.
AI学習用botをアクセス禁止にする	Gihîştina botê perwerdehiya AIyê asteng bike
AIの学習用のbotをHTMLに対し避けることにより、AIで利用されないようにします、ただし完全には対処することはできません	Bi dûrketina ji bikaranîna botên ku ji bo perwerdehiya AIyê li ser HTMLê hatine sêwirandin, em misoger dikin ku naverok ji aliyê AIyê ve neyê bikaranîn; lêbelê, ev yek bi temamî nayê pêşîlêgirtin.
ウェブアーカイブ、ウェブ魚拓をアクセス禁止にする	Gihîştina arşîvên malperan û wêneyên malperan asteng bike
自動的に収集されるウェブアーカイブ並びにユーザーの任意で取得される魚拓のアクセスを禁止します、ただし完全には対処することはできません	Em rê li ber gihîştina arşîvên malperê yên ku bixweber tên berhevkirin û dîmenên ekranê yên ku li gorî daxwaza bikarhêner hatine kişandin digirin; lêbelê, em nikarin bi temamî pêşî li vê yekê bigirin.
無効なUAをアクセス禁止にする	Ajansên bikarhêner ên ne derbasdar asteng bike
ユーザーエイジェントの文字に不正な文字列があった場合のアクセスを避けます	Heke rêza user agent tîpên ne derbasdar dihewîne, gihîştinê asteng dike.
Internet Explorerと旧Microsoft Edge(EdgeHTML)のアクセスに警告を表示する	Dema ku hûn xwe digihînin Internet Explorer û Microsoft Edge ya kevn
Internet Explorerと旧Microsoft Edgeのアクセスを避けます	Gihîştinê bi rêya Internet Explorer û Microsoft Edge ya kevn asteng dike.
alertメッセージを表示する言語	Zimanê ku peyamên hişyariyê pê têne nîşandan
Wordpressの言語	Zimanên WordPressê
ブラウザの設定言語	Mîhengên zimanê gerokê
メッセージをカスタム設定されている場合は言語を変更できません	Heke peyam hatibin xwerûkirin, hûn nikarin zimanê biguherînin.
同意画面の言語	Zimanê ekrana razîbûnê
view-sourceメッセージを表示する言語	Zimanê ku peyama 'view-source' pê were nîşandan
一時使用トークンの有効期限	Dîroka qedandinê ya tokenên demkî
3分	3 deqe
4分	çar deqe
5分	Pênc deqe
6分	6 deqe
7分	Heft deqe
8分	Heşt deqe
9分	Noh deqe
10分	Deh deqe
15分	15 deqe
20分	Bîst deqe
25分	Bîst û pênc deqe
30分	Sî deqe
35分	Sî û pênc deqe
40分	çilî deqe
45分	Çil û pênc deqe
50分	Pêncî deqe
55分	Pêncî û pênc deqe
1時間	Saetek
画像URL情報の有効期限を設定します	Dîroka qedandinê ji bo agahiyên URL-a wêneyê diyar bike.
一度読み込まれると画像URL情報と一時使用トークンは無効化されます	Piştî barkirinê, URL-a wêneyê û tokenê demkî dê betal bibin.
画像は遅延読み込みされますが、この指定した時間の30秒前に強制的に画像が読み込まれます	Wêne li gorî daxwazê tên barkirin, lê ew ê 30 saniye berî dema diyarkirî bixweber bên barkirin.
一時使用トークンのビット数	Hejmara bîtan di tokenek demkî de
画像URL情報を暗号化するのに一時使用トークンをパスワードとして使用しますが、その強度を指定します	Nîşaneke demkî wekî şîfreyê ji bo şîfrekirina agahiyên URL-ya wêneyî tê bikaranîn; ev eyar hêza wê diyar dike.
ドロップダウンメニューの下に表示される選択肢にいくにつれて強度が強くなるものの、サーバーへの負荷が高くなり、HTML転送量が多くなることがあります	Her çend vebijarkên ku li binê menuya dakêşbar tên nîşandan her ku diçe hûrgiltir dibin jî, ev yek dikare barekî giran bixe ser serverê û bibe sedema veguhestina hejmareke mezin a daneyên HTMLê.
ハッシュ化アルゴリズム	Algorîtmaya Hashê
画像URL情報を暗号化するのに一時使用トークンをパスワードとして使用しますが、その時ハッシュ化が必要です、その強度を設定します	Nîşaneke demkî wekî şîfreyê ji bo şîfrekirina agahiyên URL-ya wêneyî tê bikaranîn; ev yek hejmarkirinê
ドロップダウンメニューの下に表示される選択肢にいくにつれて強度が強くなるものの、サーバーへの負荷が高くなります	Her çiqas gava ku hûn di lîsteya vebijarkên di menuya dakêş de berjêr dibin, tundî zêde dibe jî, ev yek barekî girantir datîne ser serverê.
基本設定	Mîhengên bingehîn
高度な設定	Mîhengên pêşketî
初期設定に戻す	Vegerandina mîhengên xwerû
デザイン・音の設定	Sazkirinên dîzayn û dengî
イベントの設定	Mîhengên çalakiyê
初回訪問時のお知らせの設定	Sazkirina agahdariyan ji bo serdanên yekem
メッセージの設定	Mîhengên peyamê
右クリックやソースコード表示時に転送する URL を設定します	URL'a ku dema rast-klîk tê kirin an jî koda çavkaniyê tê dîtin were vekirin, diyar bike.
警告メッセージにはHTMLは使用できません	HTML di peyamên hişyariyê de nayê bikaranîn.
この画面で設定すると、高度な設定タブにある言語設定が無視されます	Heke hûn vê li ser vê ekranê eyar bikin, mîhengên ziman ên di tabloya Pêşketî de dê bên paşguhkirin.
以下の文字列が使用できます	Ev rêzikên jêrîn dikarin bên bikaranîn.
改行	Birekî rêzê
押下されたキー	Mifte hat pêçandin
Neo HTML Protector 設定	Mîhengên Neo HTML Protector
お知らせ	Agahdarî
メッセージ	Peyam
デザイン・音	Sêwiran û Deng
初期化	Destpêkirin
このプラグインについて	Derbarê vê pêvekê
設定が初期化されました	Mîheng hatin sifirkirin.
プラグインを初期化します なおIPログリーダーのデータはここでは削除されません	Pêvokê destpê bikin. Ji kerema xwe bala xwe bidinê ku daneyên IP Log Reader di vê qonaxê de nayên jêbirin.
Neo HTML Protectorについて	Derbarê Neo HTML Protector
このプラグインはあなたのWordpressから出力されるHTMLや画像等を保護し、コンテンツの不正利用から守ることを目的としています。	Ev pêvek hatiye sêwirandin da ku HTML, wêne û naverokên din ên ku ji hêla malpera we ya WordPressê ve têne çêkirin biparêze, û wê li hember bikaranîna bêdestûr biparêze.
コンテンツを完璧に守ることはできません。しかし可能な限りの方法において警告し、もし何かがあった場合に備えて準備することにより国で定められている方法で解決することができるはずです。	Parastina naverokê bi temamî ne mimkun e. Lêbelê, bi dayîna hişyariyan li her dera ku mimkun be û bi amadekariyên ji bo her rewşekê, divê em karibin meseleyê li gorî prosedurên ku ji aliyê hikûmetê ve hatine danîn çareser bikin.
もちろん、利用規約やサイトポリシーを充実させる必要があります。このプラグインは利用規約生成アプリではありませんが、そのヒントを与えることができます。	Helbet, divê hûn piştrast bikin ku şert û mercên we û polîtîkaya malperê berfireh in. Her çend ev pêvek ne amûrek ji bo çêkirina şert û mercan e, ew dikare hin rêberiyê peyda bike.
