設定	विन्यासाः
画像データを保護した時にはほぼ完全なるダウンロードを阻止し、完全なるワンタイムURLを発行し、セッションに保存されたトークンで認証し、phpから画像を表示します、その為ほぼ完全な画像盗用を防ぎます	यदा चित्रदत्तानि संरक्ष्यन्ते, तदा वयं प्रायः सर्वे डाउनलोड् निरोधयामः, एकवारोपयोगी विशिष्ट-URLs निर्गमयामः, सत्रे सञ्चितानां टोकनानां साहाय्येन प्रमाणीकरणं कुर्मः, चित्राणि च PHP मार्गेण प्रदर्शयामः; एतत् प्रभावतः प्रायः सर्वे चित्रचोर्यम् निरोधयति।
画像データを保護した時には画像のキャッシュが効かないため、次回訪問時にサイトの読み込みが遅くなるため、SEOに影響があります	यदा चित्रदत्तानि संरक्षितानि भवन्ति, तदा कैशिंग् न कार्यं करोति, यतः साइट् पुनरागमनेषु मन्दतरं लोड् भवति, एवं एसईओ प्रभावितम् भवति।
画像データを保護した時には、データベースの負荷が高くなる可能性があります	चित्रदत्तांशस्य संरक्षणं दत्तसङ्ग्रहस्य भारं वर्धयितुं शक्नोति।
「imgタグが呼び出されるごとに画像を保護」の場合は、add_filterを使用し、imgタグの発行時にフィルタリングを行います、テーマによっては正しく動作しません	यदि भवन्तः 'यदा कदाचित् img-टैग् आह्व्यते तदा चित्राणि संरक्षितानि भवन्तु' इति विकल्पं चयनं कुर्वन्ति, तदा प्रणाली img-टैग् सृज्यते तस्मिन् छन्नकरणं कर्तुं add_filter इति क्रियाम् उपयुज्यते; तथापि केषुचित् थीमेषु एतत् सम्यक् न कार्यं भवति।
「出力される全HTMLのうち、Wordpressにアップロードされた画像をすべて保護」の場合は、Wordpressのほぼすべての動作をキャプチャし、コンテンツ内のimgタグについてすべて処理します。テーマによっては正しく動作しません	यदि भवन्तः 'सम्पूर्ण HTML-उत्पादनस्य अन्तर्गतं WordPress-उपरि आरोहितानां सर्वेषां छायाचित्राणां संरक्षणम्' इति विकल्पं चयनं कुर्वन्ति, तर्हि प्लगइनः प्रायः सर्वे WordPress-क्रियाः आहृत्य सामग्रीमध्ये प्रत्येकं img-टैगं प्रक्रिया करिष्यति। कृपया मन्यताम् यत् कतिपयेषु थीमेषु एतत् सम्यक् न कार्यं भवेत्।
なお、アイキャッチに指定した画像はOGPとして拡散されますので保護できません。どうしても保護すべき場合は高度な設定でHTML保護時のHEADタグの出力の選択を変更してください	कृपया अवगच्छत यत् विशेषचित्ररूपेण निर्दिष्टाः चित्राः OGP-दत्तांशरूपेण वितरिताः स्युः, न च रक्षितुं शक्यन्ते। यदि त्वम् तान् अनिवार्यरूपेण रक्षितुम् इच्छसि, तर्हि HTML-संरक्षणं सक्रिययित्वा उन्नतविन्यासेषु HEAD-टैग्-उत्पादनस्य विन्यासं परिवर्तय।
OS標準搭載のスクリーンショット機能を保護することはできません	सञ्चालनतन्त्रे मानकरूपेण अन्तर्भूतं स्क्रीनचित्रग्रहणकार्यं रक्षितुं न शक्यते।
画像URLの保護	चित्र-यूआरएल्-रक्षणम्
画像の保護と組み合わせて使用します、単体では意味がありません	एतत् चित्ररक्षया सहैव प्रयुज्यते; स्वयमेव तद् निरर्थकम्।
JavaScriptにより遅延読まれますのでSEOに影響があります	यतः जावास्क्रिप्ट् द्वारा आलस्येन लोड् क्रियते, अतः एतत् एसईओ प्रभावितयति।
画像のウォーターマーク	चित्रजलचिह्नम्
右下	अधःदक्षिणम्
ランダム位置	यदृच्छास्थानम्
画像の保護と組み合わせて使用します、動的な透かしで著作権を明示しつつ、閲覧者に監視されている印象を与え抑止力を高めます	चित्ररक्षणेन सह योजिताः गतिशीलजलचिह्नाः प्रतिलिपिस्वामित्वं स्पष्टतया सूचयन्ति तथा दर्शकान् निरीक्ष्यन्ते इति अनुभूतिं ददन्ति, अत एव निरोधकत्वेन कार्यं कुर्वन्ति।
JPG形式、PNG形式、WebP形式のみ対応します	केवलं JPG, PNG च WebP स्वरूपाणि समर्थितानि।
有効にするとサーバーの負荷が高くなります	एतत् सक्रियं कृत्वा सर्वरस्य भारः वर्धिष्यते।
HTML難読化・保護時のHTMLソースコードのアスキーアートの出力	अस्पष्टीकरणे रक्षणे च एचटीएमएल् स्रोतकोडात् एएससीआईआई-कला-उत्पादनम्
表示なし	न प्रदर्शनम्
view-sourceでHTMLソース表示をした時に警告の意思を示すアスキーアートを表示します	व्यू-सोर्स् इति आज्ञया एचटीएमएल् स्रोतम् अवलोक्य चेतावनीसूचकं एएससीआईआई-कलाचित्रं प्रदर्शयति।
対象アクションを起こした時の表示デザイン	लक्ष्यकृत्यं सम्पादिते प्रदर्शनरचनां प्रदर्शयतु।
黄色の背景の黒文字のベーシックデザイン	पीतपृष्ठभूमौ कृष्णलेखनयुक्तं मूलरूपरेखाम्।
黒色の背景の赤文字のホラー風デザイン	भयानकशैलीयुक्तं रचनाविधानम् यत्र कृष्णपृष्ठभूमौ रक्तवर्णलेखनम् दृश्यते।
黒色の背景の赤文字の光る文字のデザイン	कृष्णपृष्ठभूमौ दीप्तलोहितलेखयुक्तं रूपरचनाम्
対象アクションを起こした時のBGM	लक्ष्यकृत्यसम्पादनकाले यत् पृष्ठभूमिसङ्गीतम् वाद्यते
サウンドなし	नादः नास्ति
戦闘＆戦闘勝利 - 1分16.3秒 - 630,056bytes - 64kbps - ライセンス：CC2.1 or later	युद्धं च विजयश्च - १ निमेषः १६.३ सेकण्डाः - ६३०,०५६ बाइट्स् - ६४ kbps - अनुज्ञापत्रम्: CC 2.1 वा ततः परम्
おやじ ショート - 3.8秒 - 32,364bytes - 64kbps - ライセンス GPL2.0 or later (C)EJ	पितृसंक्षेपः - ३.८ सेकण्डाः - ३२,३६४ बाइट्स् - ६४ केबीपीएस् - अनुज्ञापत्रम्: जीपीएल् २.० अथवा पश्चात्
おやじ ロング - 23.5秒 - 195,578bytes - 64kbps - ライセンス GPL2.0 or later (C)EJ	ओयाजी लोंग् - २३.५ सेकण्डाः - १९५,५७८ बाइट्स् - ६४ केबीपीएस् - अनुज्ञापत्रम्: जीपीएल् २.० वा पश्चात्
ショパン エチュード Op.10-5 黒鍵 打ち込み版 高速版 - 1分0.0秒 - 369,778bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	चोपिनः एट्यूड् ओप्. १० संख्या ५
ショパン エチュード Op.10-12 革命 打ち込み版 高速版 - 1分57.6秒 - 724,457bytes - 48kbps -  ライセンス：CC BY-ND 4.0 or later	चोपिनः एट्यूड् ओप्. १० संख्या १२ 'क्रान्ति' – प्रोग्रामितरूपम्, तीव्रगतिरूपम् – १ निमेषः ५७.६ सेकण्डाः – ७२४,४५७ बाइट्स् – ४८ केबीपीएस् – अनुज्ञापत्रम्: CC BY-ND 4.0 वा ततः परम्
ショパン スケルツォ 変ロ短調 Op2 打ち込み版 高速短縮版 - 1分48.0秒 - 665,369bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	चोपिनः: स्वरूपक्रीडा बी-फ्लैट् लघुस्वरप्रकारे, रचनासंख्या २ – सङ्गणक-निर्मितं संस्करणम्, तीव्रगति-संक्षिप्तसंस्करणम् – १ निमेषः ४८.० सेकण्डाः – ६६५,३६९ बाइट्स् – ४८ केबीपीएस् – अनुज्ञापत्रम्: CC BY-ND 4.0 वा ततः परम्
リスト 超絶技巧練習曲 4番 マゼッパ 打ち込み版 高速短縮版 - 1分51.6秒 - 687,586bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	सूची: Étude d'Exécution Transcendante संख्या ४ 'Mazeppa' – सङ्गणक-निर्मितं संस्करणम्, तीव्रगति-संक्षिप्तं संस्करणम् – १ निमेषः ५१.६ सेकण्डाः – ६८७,५८६ बाइट्स् – ४८ केबीपीएस् – अनुज्ञापत्रम्: CC BY-ND 4.0 अथवा ततः परम्
ファンファーレ - 22.3秒 - 183,926bytes - 64kbps - ライセンス：パブリックドメイン	शोभायात्रा – २२.३ सेकेण्ड् – १८३,९२६ बाइट् – ६४ केबीपीएस् – अनुज्ञा: सार्वजनिकक्षेत्रम्
レトロ風ファンファーレ - 2.2秒 - 10,536bytes - 32kbps - ライセンス：パブリックドメイン	पुनरागत्यशैलीयः उत्सवनादः – २.२ सेकेण्ड् – १०५३६ बाइट् – ३२ केबीपीएस् – अनुज्ञापत्रम्: सार्वजनिकाधिकारः
レトロ風オープン - 42.1秒 - 179,138bytes - 32kbps - ライセンス：パブリックドメイン	पुनरारम्भशैलीपरिचयः – ४२.१ सेकेण्डाः – १७९,१३८ बाइट्स् – ३२ केबीपीएस् – अनुमतिपत्रम्: सार्वजनिकस्वामित्वम्
警告 by ChatGPT - 3.8秒 - 109,700bytes - 256kbps - ライセンス：パブリックドメイン	चेतावनी ChatGPT द्वारा - ३.८ सेकेण्ड् - १०९,७०० बाइट् - २५६ kbps - अनुज्ञापत्रम्: सार्वजनिकक्षेत्रम्
マルウェア検出みたいな緊急感の高い音 その１ by ChatGPT - 3.3秒 - 102,850bytes - 256kbps - ライセンス：パブリックドメイン	उच्च-आपात् ध्वनिः, मालवेर-निदान-चेतावनीवत् – भागः १ ChatGPT-कृतम् – ३.३ सेकेण्ड् – १०२,८५० बाइट् – २५६ kbps – अनुज्ञापत्रम्: सार्वजनिक-क्षेत्रम्
マルウェア検出みたいな緊急感の高い音 その２ by ChatGPT - 3.3秒 - 103,122bytes - 256kbps - ライセンス：パブリックドメイン	उच्च-आपातत्वं यथा मालवेर-निदान-चेतावनीवत्, भागः द्वितीयः ChatGPT द्वारा - ३.३ सेकेण्ड् - १०३,१२२ बाइट् - २५६ kbps - अनुज्ञापत्रम्: सार्वजनिक-क्षेत्रम्
MRI風サウンド by ChatGPT - 1分14.9秒 - 3,340,392bytes - 320kbps - ライセンス：パブリックドメイン	एमआरआई-शैली ध्वनि ChatGPT-कृतम् – १ निमेषः १४.९ सेकण्डाः – ३३४०३९२ बाइट्स् – ३२० kbps – अनुज्ञापत्रम्: सार्वजनिकाधिकारः
警告表示中のBGMを選択します	चेतावनीकाले वादनार्थं पृष्ठसंगीतं चयनयतु।
びっくりするような雰囲気を作ります	तत् आश्चर्यजनकं वातावरणं सृजति।
Firefoxでは音声ブロックされます	फायरफ़ॉक्से ध्वनि अवरुद्धा अस्ति।
対象アクションを起こした時のビープ音	निर्दिष्टकृत्यसम्पादनकाले बीप् ध्वनिः
有効 音量小さ目	चालय, ध्वनि न्यूनः।
有効 音量大き目	सक्रियम्, ध्वनि उच्चतम्
警告表示中にすべてのキー・マウスイベントでビープ音を鳴らします	यदा चेतावनी दृश्यते तदा सर्वेषु कुंजी-चूहा-घटनासु बीप् ध्वनिः भविष्यति।
警告表示中に端末が暴走したかのような雰囲気を作ります	यदा चेतावनी दृश्यते तदा उपकरणं अनियन्त्रितं जातम् इति आभासः सृज्यते।
対象アクションを起こした時のマウスカーソルの消去	यदा विशिष्टः क्रिया सम्पद्यते तदा माउस-सूचकं लुप्तयतु।
警告表示中にブラウザのエリアのマウスカーソルを消去します	यदा चेतावनी प्रदर्शिता भवति तदा ब्राउज़र् क्षेत्रे माउस् सूचकं लुप्तयति।
デバッグモード	दोषशोधनप्रकारः
妨害＋記録のみ	हस्तक्षेपः केवलं अभिलेखैः
妨害＋記録＋表示＋リダイレクト	हस्तक्षेपः + अभिलेखनम् + प्रदर्शनम् + पुनर्निर्देशनम्
メニューからは操作できてしまいます	त्वं अद्यापि मेनू मार्गेण तं प्राप्तुं शक्नोषि।
Firefoxにおけるデバッグモード	फायरफ़ॉक्से दोषशोधनप्रकारः
ブラウザーコンソール	अन्वेषक-पटल-सन्देशपटिका
事実上デバッグモードから操作できてしまいます	वास्तवतः त्वं तं दोषशोधनमोदात् सञ्चालयितुं शक्नोषि।
HTMLソース表示	HTML-मूलस्रोतम् पश्यतु
view-source:から始まるURLを入力すれば操作できてしまいます	View-source: इति आरभ्य URL प्रविश्य एव त्वं तं कार्यं सरलतया कर्तुं शक्नोषि।
HTML保護と組み合わせることでコンテンツを保護することができます	एतत् एच्‌टीएमएल् रक्षणेन संयोज्य त्वं तव विषयवस्तुं रक्षितुं शक्नोषि।
印刷	मुद्रयतु
印刷阻止をするもものの、ブラウザによってはうまく動作しません	यद्यपि एतत् मुद्रणं निरोधयति, तथापि कतिपयेषु ब्राउजरेषु सम्यक् न कार्यं भवेत्।
スクリーンショット	पटलचित्रम्
OSやブラウザ、方法によっては妨害できず、もしくは検出しないことがあります	प्रयुक्तस्य सञ्चालकप्रणाली, ब्राउज़र् वा पद्धतिः आधारेण एतत् अवरोधयितुं न शक्यते वा न ज्ञातुं शक्यते।
ウインドウが背面に移動した時スクリーンショットの疑い	यदा विंडो पृष्ठभूमौ गच्छति तदा संशयित स्क्रीनशॉट्।
あわせて、スクリーンショット以外の機能（タブ切り替え・ウィンドウ切り替え）にも反応してしまいます。	एतत् स्क्रीनशॉट्-कार्येभ्यः परं अपि अन्येषु कार्येषु
2キー押下のスクリーンショットの疑い	द्वयोः कुञ्जीयोः दबनेन गृहीतम् इति संशयितम् स्क्रीनशॉट्
上の項目の検出方法は完全ではありません、予防的に検出を行います	उपरोक्तवस्तूनां अन्वेषणविधयः पूर्णतया विश्वसनीयाः न सन्ति; अन्वेषणं सावधानतात्मकउपायरूपेण क्रियते।
スクリーンショットだけではなく、デバッグモード等も検出します	न केवलं स्क्रीनशॉट् एव, अपितु डिबग्-मोड् इत्यादीनि अपि च चिह्नयति।
ページ保存	पृष्ठं रक्षतु
右クリック	दक्षिणक्लिक्
アドオンがインストールされていると操作できてしまいます	यदि पूरकः स्थापितः अस्ति तर्हि त्वं तं उपयुज्यसे।
コピー・カット	प्रतिलिपिं कुरु तथा छिद्रय।
本プラグインの設定によってはこのイベントにたどり着くことはほとんどない場合があります	अस्य प्लगइन्स्य विन्यासानुसारम् भवतः दुर्लभतया एषा घटना दृश्यते।
テキスト全選択	सर्वं पाठं चयनयतु
テキスト選択	पाठं चयनय
デバッガー起動ログ、デバッガー妨害	त्रुटिनिवारकस्य प्रारम्भ-पञ्जिका, त्रुटिनिवारकस्य हस्तक्षेपः
デバッグモードの使い勝手を少し悪くし、デバッガを起動したことをログに残します、ブラウザによってはこの挙動が止められてしまいます	एतत् दोषशोधनप्रकारं किंचित् अल्पं उपयोगकर्तृ-अनुकूलं करोति तथा दोषशोधकस्य आरम्भः अभवत् इति तथ्यं अभिलेखयति; तथापि केचन ब्राउजराः एतत् आचरणं निरोधयितुं शक्नुवन्ति।
リダイレクトするURL	पुनर्निर्देशन-यूआरएल्
利用規約などのページに転送すると良いでしょう	उपयोगकर्तॄन् उपयोगनियमपृष्ठेषु पुनर्निर्देशयितुं उत्तमः विचारः स्यात्।
空欄にすると元のURLにリダイレクトをします	यदि रिक्तं त्यज्यते तर्हि तत् मूल-यूआरएल् प्रति पुनर्निर्देशयिष्यति।
リダイレクトまでの時間	पुनर्निर्देशनपर्यन्तं समयः
リダイレクトなし	पुनर्निर्देशनं नास्ति
1秒	एकः क्षणः
2秒	द्वे क्षणौ
3秒	त्रि क्षणानि
4秒	चत्वारि क्षणानि
5秒	पञ्च क्षणानि
6秒	षट् क्षणानि
7秒	सप्त क्षणानि
8秒	अष्ट क्षणानि
9秒	नव क्षणानि
10秒	दश क्षणानि
15秒	पञ्चदश क्षणानि
20秒	विंशतिसेकण्डाः
25秒	पञ्चविंशत् क्षणानि
30秒	त्रिंशत् क्षणानि
35秒	पञ्चत्रिंशत् क्षणानि
40秒	चत्वारिंशत् क्षणानि
45秒	पञ्चचत्वारिंशत् क्षणाः
50秒	पञ्चाशत् क्षणानि
55秒	पञ्चपञ्चाशत् क्षणाः
1分	एकमिनिट्
1分10秒	एकः निमेषः दश क्षणानि
1分20秒	एकमिनटः विंशतिसेकण्डः
1分30秒	एकमिनट् त्रिंशत् सेकण्डाः
1分40秒	एकमिनट् चत्वारिंशत् सेकण्डाः
1分50秒	एकमिनटपञ्चाशत्सेकण्डाः
2分	द्वे निमेषे
ソース表示を許可する権限	स्रोतकोड् पश्यितुं अनुमतिः
ADMINログイン時のみ通常のソース出力	सामान्यस्रोतनिष्क्रमणं केवलं यदा व्यवस्थापकपदे प्रवेशः कृतः तदा भवति।
USERログインで通常のソース出力	यूज़र् इति नाम्ना प्रवेशे सामान्य स्रोत-निष्क्रमणम्
通常のHTML出力を管理者のみかユーザーログインかを選択します	निर्धारयतु यत् मानक HTML-निष्कर्षः केवलं प्रशासकेभ्यः सीमितः स्यात् वा उपयोगकर्तृप्रवेशः अपेक्षितः स्यात्।
画像を無理やりダウンロードして実際にダウンロードされるもの	चित्रस्य अनिवार्यं डाउनलोड् कर्तुं बाधयितुं तथा यत् वस्तुतः डाउनलोड् भवति।
GIF形式で1×1ピクセルの透過画像	GIF-रूपे एकपिक्सेलपरिमाणस्य पारदर्शी प्रतिमा
PNG形式で1×1ピクセルの透過画像	पीएनजी-रूपे एकपिक्सेलपरिमाणस्य पारदर्शी प्रतिमा
PNG形式で黄色い背景の警告画面	पीएनजी स्वरूपे पीतपृष्ठभूमि सहितं चेतावनीपटलम्
意味のないHTMLドキュメント	अर्थहीनः एचटीएमएल् दस्तावेजः
HTML保護時のHEADタグの出力	यदा एच् टी एम् एल् संरक्षितम् अस्ति तदा HEAD-टैगस्य परिणामः
出力しない	मा मुद्रयतु
TITLEタグのみ	शीर्षक-टैगः एव
WordpressのHEADタグより取得	वर्डप्रेस् हेड्-टैगात् प्राप्तम्
企業用途の会員専用ページや社内ページなどでは「出力しない」、「TITLEタグのみ」で良いでしょう	संस्थागत-उपयोगार्थ केवल-सदस्य-पृष्ठेषु च आन्तरिक-पृष्ठेषु च 'Do not output' अथवा 'TITLE tag only' इति विकल्पः पर्याप्तः।
WordpressのHEADタグから取得しないと、SNSのシェアでOGP画像が表示されません	यावत् त्वं वर्डप्रेस् HEAD-टैगात् सूचना न प्राप्नोषि, तावत् सामाजिकमाध्यमेषु साझा कुर्वन् OGP-चित्रं न दृश्यते।
画像botをアクセス禁止にする	चित्रबोट् निरोधय
画像botをHTMLに対し避けることにより、画像検索から直接リンクされることによって守れなかったコンテンツを守ることができます、ただし完全には対処することはできません	चित्रबॉट्स् एच् टी एम् एल् अभिगमनात् निरोध्य, यत् सामग्रीं चित्रान्वेषणेन प्रत्यक्षसंबन्धेन रक्षितुं न शक्यते, तत् रक्षितुं शक्यते; तथापि एतत् पूर्णसमाधानं न ददाति।
AI学習用botをアクセス禁止にする	कृत्रिमबुद्धि-प्रशिक्षण-बोटस्य प्रवेशः निषेध्यताम्।
AIの学習用のbotをHTMLに対し避けることにより、AIで利用されないようにします、ただし完全には対処することはできません	HTML-आधारिते कृत्रिमबुद्धिप्रशिक्षणार्थं निर्मितानां बोट्स् उपयोगात् परित्यागेन वयं सुनिश्चितयामः यत् सामग्री कृत्रिमबुद्ध्या न उपयुज्यते; तथापि पूर्णतया निरोधः न शक्यते।
ウェブアーカイブ、ウェブ魚拓をアクセス禁止にする	वेब् अभिलेखागाराणां च वेब् प्रतिमानानां च प्रवेशः निषेध्यताम्।
