設定	ക്രമീകരണങ്ങൾ
HTMLをJavaScriptで描画	ജാവാസ്ക്രിപ്റ്റ് ഉപയോഗിച്ച് എച്ച്‌ടിഎംഎൽ റെൻഡർ ചെയ്യൽ
Firefox対策としてHTMLをJavaScriptで描画をします	ഫയർഫോക്സിലെ പ്രശ്നം ഒഴിവാക്കാൻ, ഞങ്ങൾ ജാവാസ്ക്രിപ്റ്റ് ഉപയോഗിച്ച് HTML റെൻഡർ ചെയ്യുന്നു.
JavaScript描画で有効にするとウェブサイトの表示速度が著しく遅くなります	ജാവാസ്ക്രിപ്റ്റ് റെൻഡറിംഗ് പ്രവർത്തനക്ഷമമാക്കുന്നത് വെബ്സൈറ്റിന്റെ ലോഡിംഗ് വേഗത ഗണ്യമായി കുറയ്ക്കും.
画像の保護	ചിത്ര സംരക്ഷണം
imgタグが呼び出されるごとに画像を保護	എല്ലാ തവണയും img ടാഗ് വിളിക്കുമ്പോൾ ചിത്രം സംരക്ഷിക്കുക
出力される全HTMLのうち、Wordpressにアップロードされた画像をすべて保護	HTML ഔട്ട്പുട്ട് മുഴുവനായി, വേർഡ്പ്രസ്സിൽ അപ്‌ലോഡ് ചെയ്ത എല്ലാ ചിത്രങ്ങളും സംരക്ഷിക്കുക.
画像をダウンロードから保護します	ചിത്രങ്ങൾ ഡൗൺലോഡ് ചെയ്യപ്പെടുന്നത് തടയുന്നു
画像データを保護した時にはほぼ完全なるダウンロードを阻止し、完全なるワンタイムURLを発行し、セッションに保存されたトークンで認証し、phpから画像を表示します、その為ほぼ完全な画像盗用を防ぎます	ചിത്രങ്ങളുടെ ഡാറ്റ സംരക്ഷിക്കപ്പെടുമ്പോൾ, ഞങ്ങൾ മിക്കവാറും എല്ലാ ഡൗൺലോഡുകളും തടയുകയും, സവിശേഷമായ ഒറ്റത്തവണ ഉപയോഗിക്കാവുന്ന URL-കൾ നൽകുകയും, സെഷനിൽ സൂക്ഷിച്ചിരിക്കുന്ന ടോക്കണുകൾ ഉപയോഗിച്ച് പ്രാമാണീകരിക്കുകയും, ചിത്രങ്ങൾ PHP വഴി പ്രദർശിപ്പിക്കുകയും ചെയ്യുന്നു; ഇത് ചിത്ര മോഷണത്തിന്റെ മിക്കവാറും എല്ലാ സാധ്യതകളെയും ഫലപ്രദമായി തടയുന്നു.
画像データを保護した時には画像のキャッシュが効かないため、次回訪問時にサイトの読み込みが遅くなるため、SEOに影響があります	ചിത്രങ്ങളുടെ ഡാറ്റ സംരക്ഷിക്കുമ്പോൾ കാഷിംഗ് പ്രവർത്തിക്കില്ല, ഇതിനർത്ഥം തുടർന്നുള്ള സന്ദർശനങ്ങളിൽ സൈറ്റ് കൂടുതൽ സാവധാനത്തിൽ ലോഡുചെയ്യുമെന്നും അതുവഴി എസ്.ഇ.ഒ-യെ
画像データを保護した時には、データベースの負荷が高くなる可能性があります	ചിത്രത്തിന്റെ ഡാറ്റ സംരക്ഷിക്കുന്നത് ഡാറ്റാബേസിലെ ലോഡ് വർദ്ധിപ്പിച്ചേക്കാം.
「imgタグが呼び出されるごとに画像を保護」の場合は、add_filterを使用し、imgタグの発行時にフィルタリングを行います、テーマによっては正しく動作しません	നിങ്ങൾ 'ഓരോ തവണയും ഒരു img ടാഗ് ഉപയോഗിക്കുമ്പോൾ ചിത്രങ്ങൾ സംരക്ഷിക്കുക' തിരഞ്ഞെടുക്കുകയാണെങ്കിൽ, img ടാഗ് ഉണ്ടാക്കുമ്പോൾ ഫിൽട്ടറിംഗ് പ്രയോഗിക്കാൻ സിസ്റ്റം add_filter ഉപയോഗിക്കുന്നു; എന്നിരുന്നാലും, ചില തീമുകളിൽ ഇത് ശരിയായി പ്രവർത്തിച്ചേക്കില്ല.
「出力される全HTMLのうち、Wordpressにアップロードされた画像をすべて保護」の場合は、Wordpressのほぼすべての動作をキャプチャし、コンテンツ内のimgタグについてすべて処理します。テーマによっては正しく動作しません	നിങ്ങൾ 'മുഴുവൻ HTML ഔട്ട്പുട്ടിലും വേർഡ്പ്രസ്സിലേക്ക് അപ്‌ലോഡ് ചെയ്ത എല്ലാ ചിത്രങ്ങളും സംരക്ഷിക്കുക' എന്നത് തിരഞ്ഞെടുക്കുകയാണെങ്കിൽ, പ്ലഗിൻ മിക്കവാറും എല്ലാ വേർഡ്പ്രസ്സ് പ്രവർത്തനങ്ങളെയും പിടിച്ചെടുക്കുകയും ഉള്ളടക്കത്തിലെ ഓരോ img ടാഗും പ്രോസസ്സ് ചെയ്യുകയും ചെയ്യും. ചില തീമുകളിൽ ഇത് ശരിയായി പ്രവർത്തിച്ചേക്കില്ലെന്ന് ദയവായി ശ്രദ്ധിക്കുക.
なお、アイキャッチに指定した画像はOGPとして拡散されますので保護できません。どうしても保護すべき場合は高度な設定でHTML保護時のHEADタグの出力の選択を変更してください	ഫീച്ചേർഡ് ഇമേജുകളായി നിർദ്ദേശിച്ച ചിത്രങ്ങൾ OGP ഡാറ്റയായി പങ്കുവെക്കപ്പെടുമെന്നും അവയെ സംരക്ഷിക്കാൻ കഴിയില്ലെന്നും ദയവായി ശ്രദ്ധിക്കുക. അവയെ നിങ്ങൾക്ക് തീർച്ചയായും സംരക്ഷിക്കണമെന്നുണ്ടെങ്കിൽ, HTML പ്രൊട്ടക്ഷൻ പ്രവർത്തനക്ഷമമാക്കുമ്പോൾ, അഡ്വാൻസ്ഡ് ക്രമീകരണങ്ങളിലെ HEAD ടാഗ് ഔട്ട്പുട്ടിനായുള്ള സെറ്റിംഗ് മാറ്റുക.
OS標準搭載のスクリーンショット機能を保護することはできません	ഓപ്പറേറ്റിംഗ് സിസ്റ്റത്തിൽ സ്റ്റാൻഡേർഡായി ഉൾപ്പെടുത്തിയിട്ടുള്ള സ്ക്രീൻഷോട്ട് ഫംഗ്ഷന് സംരക്ഷണം നൽകാൻ കഴിയില്ല.
画像URLの保護	ചിത്രത്തിന്റെ URL-കൾ സംരക്ഷിക്കുക
画像の保護と組み合わせて使用します、単体では意味がありません	ഇത് ചിത്ര സംരക്ഷണത്തോടൊപ്പം ഉപയോഗിക്കേണ്ടതാണ്; തനിയെ ഉപയോഗിച്ചാൽ ഇതിന് ഒരു പ്രയോജനവുമില്ല.
JavaScriptにより遅延読まれますのでSEOに影響があります	ജാവാസ്ക്രിപ്റ്റ് വഴി ലോഡ് ചെയ്യുന്നതിനാൽ, ഇത് എസ്.ഇ.ഒ-യെ ബാധിക്കുന്നു.
画像のウォーターマーク	ചിത്രത്തിലെ വാട്ടർമാർക്ക്
右下	വലതുവശത്ത് താഴെ
ランダム位置	യദൃശ്ചികമായ സ്ഥാനം
画像の保護と組み合わせて使用します、動的な透かしで著作権を明示しつつ、閲覧者に監視されている印象を与え抑止力を高めます	ചിത്രങ്ങളുടെ സംരക്ഷണത്തോടൊപ്പം ഉപയോഗിക്കുമ്പോൾ, ഡൈനാമിക് വാട്ടർമാർക്കുകൾ പകർപ്പവകാശ ഉടമസ്ഥാവകാശം വ്യക്തമായി സൂചിപ്പിക്കുകയും, കാഴ്ചക്കാരെ നിരീക്ഷിക്കുന്നുണ്ടെന്ന തോന്നൽ നൽകി അവരെ പിന്തിരിപ്പിക്കുകയും ചെയ്യുന്നു.
JPG形式、PNG形式、WebP形式のみ対応します	JPG, PNG, WebP ഫോർമാറ്റുകൾ മാത്രമേ പിന്തുണയ്ക്കുന്നുള്ളൂ.
有効にするとサーバーの負荷が高くなります	ഇത് പ്രവർത്തനക്ഷമമാക്കുന്നത് സെർവറിലെ ലോഡ് വർദ്ധിപ്പിക്കും.
HTML難読化・保護時のHTMLソースコードのアスキーアートの出力	വ്യക്തത കുറയ്ക്കലും സംരക്ഷണവും നടത്തുമ്പോൾ HTML സോഴ്സ് കോഡിൽ നിന്ന് ASCII ആർട്ട് ഔട്ട്പുട്ട് ചെയ്യൽ
表示なし	പ്രദർശനമില്ല
view-sourceでHTMLソース表示をした時に警告の意思を示すアスキーアートを表示します	'view-source' ഉപയോഗിച്ച് HTML സോഴ്സ് കാണുമ്പോൾ മുന്നറിയിപ്പ് സൂചിപ്പിക്കുന്ന ASCII ആർട്ട് പ്രദർശിപ്പിക്കുന്നു.
対象アクションを起こした時の表示デザイン	ലക്ഷ്യമിടുന്ന പ്രവർത്തനം നടക്കുമ്പോൾ ഡിസ്‌പ്ലേ ഡിസൈൻ കാണിക്കുക
黄色の背景の黒文字のベーシックデザイン	മഞ്ഞ പശ്ചാത്തലത്തിൽ കറുത്ത എഴുത്തുള്ള ഒരു അടിസ്ഥാനപരമായ രൂപകൽപ്പന
黒色の背景の赤文字のホラー風デザイン	കറുത്ത പശ്ചാത്തലത്തിൽ ചുവന്ന എഴുത്തുള്ള ഒരു ഹൊറർ ശൈലിയിലുള്ള ഡിസൈൻ
黒色の背景の赤文字の光る文字のデザイン	കറുത്ത പശ്ചാത്തലത്തിൽ തിളങ്ങുന്ന ചുവന്ന എഴുത്തുള്ള ഒരു രൂപകൽപ്പന
対象アクションを起こした時のBGM	ലക്ഷ്യമിടുന്ന പ്രവൃത്തി നടക്കുമ്പോൾ പശ്ചാത്തല സംഗീതം പ്ലേ ചെയ്യുക
サウンドなし	ശബ്ദമില്ല
戦闘＆戦闘勝利 - 1分16.3秒 - 630,056bytes - 64kbps - ライセンス：CC2.1 or later	യുദ്ധവും വിജയവും - 1 മിനിറ്റ് 16.3 സെക്കൻഡ് - 630,056 ബൈറ്റ്സ് - 64 kbps - ലൈസൻസ്: CC 2.1 അല്ലെങ്കിൽ പുതിയത്
おやじ ショート - 3.8秒 - 32,364bytes - 64kbps - ライセンス GPL2.0 or later (C)EJ	ഡാഡ് ഷോർട്ട് - 3.8 സെക്കൻഡ് - 32,364 ബൈറ്റ്സ് - 64 kbps - ലൈസൻസ്: GPL 2.0 അല്ലെങ്കിൽ പിന്നീടുള്ളത്
おやじ ロング - 23.5秒 - 195,578bytes - 64kbps - ライセンス GPL2.0 or later (C)EJ	ഒയാജി ലോംഗ് - 23.5 സെക്കൻഡ് - 195,578 ബൈറ്റ്സ് - 64 kbps - ലൈസൻസ്: GPL 2.0 അല്ലെങ്കിൽ പിന്നീടുള്ളത്
ショパン エチュード Op.10-5 黒鍵 打ち込み版 高速版 - 1分0.0秒 - 369,778bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	ഷോപ്പൻ എറ്റ്യൂഡ് ഓപ്പ്. 10 നമ്പർ 5
ショパン エチュード Op.10-12 革命 打ち込み版 高速版 - 1分57.6秒 - 724,457bytes - 48kbps -  ライセンス：CC BY-ND 4.0 or later	ഷോപ്പൻ എറ്റ്യൂഡ് ഓപ്പ്. 10 നമ്പർ 12 'റെവല്യൂഷൻ' – കമ്പ്യൂട്ടർ നിർമ്മിത പതിപ്പ്, അതിവേഗ പതിപ്പ് – 1 മിനിറ്റ് 57.6 സെക്കൻഡ് – 724,457 ബൈറ്റ്സ് – 48 kbps – ലൈസൻസ്: CC BY-ND 4.0 അല്ലെങ്കിൽ അതിനുശേഷമുള്ളത്
ショパン スケルツォ 変ロ短調 Op2 打ち込み版 高速短縮版 - 1分48.0秒 - 665,369bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	ഷോപ്പൻ: എസ്സെർസോ ഇൻ ബി ഫ്ലാറ്റ് മൈനർ, ഓപ്. 2 – കമ്പ്യൂട്ടർ നിർമ്മിത പതിപ്പ്, അതിവേഗ സംഗ്രഹിച്ച പതിപ്പ് – 1 മിനിറ്റ് 48.0 സെക്കൻഡ് – 665,369 ബൈറ്റ്സ് – 48 kbps – ലൈസൻസ്: CC BY-ND 4.0 അല്ലെങ്കിൽ അതിനുശേഷമുള്ളത്
リスト 超絶技巧練習曲 4番 マゼッパ 打ち込み版 高速短縮版 - 1分51.6秒 - 687,586bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	പട്ടിക: എറ്റ്യൂഡ് ഡി ഡെക്സെക്യൂഷൻ ട്രാൻസെൻഡൻ്റ നമ്പർ 4, 'മസെപ്പ' – കമ്പ്യൂട്ടർ നിർമ്മിത പതിപ്പ്, അതിവേഗ സംക്ഷിപ്ത പതിപ്പ് – 1 മിനിറ്റ് 51.6 സെക്കൻഡ് – 687,586 ബൈറ്റ്സ് – 48 kbps – ലൈസൻസ്: CC BY-ND 4.0 അല്ലെങ്കിൽ അതിനുശേഷമുള്ളത്
ファンファーレ - 22.3秒 - 183,926bytes - 64kbps - ライセンス：パブリックドメイン	ആഘോഷപ്പരവേഷം – 22.3 സെക്കൻഡ് – 183,926 ബൈറ്റ്സ് – 64 kbps – ലൈസൻസ്: പബ്ലിക് ഡൊമെയ്ൻ
レトロ風ファンファーレ - 2.2秒 - 10,536bytes - 32kbps - ライセンス：パブリックドメイン	റെട്രോ ശൈലിയിലുള്ള ആഘോഷം – 2.2 സെക്കൻഡ് – 10,536 ബൈറ്റ്സ് – 32 kbps – ലൈസൻസ്: പബ്ലിക് ഡൊമെയ്ൻ
レトロ風オープン - 42.1秒 - 179,138bytes - 32kbps - ライセンス：パブリックドメイン	റെട്രോ ശൈലിയിലുള്ള ഇന്റ്രോ – 42.1 സെക്കൻഡ് – 179,138 ബൈറ്റ് – 32 kbps – ലൈസൻസ്: പബ്ലിക് ഡൊമെയ്ൻ
警告 by ChatGPT - 3.8秒 - 109,700bytes - 256kbps - ライセンス：パブリックドメイン	ChatGPT-യുടെ മുന്നറിയിപ്പ് - 3.8 സെക്കൻഡ് - 109,700 ബൈറ്റ്സ് - 256 kbps - ലൈസൻസ്: പബ്ലിക് ഡൊമെയ്ൻ
マルウェア検出みたいな緊急感の高い音 その１ by ChatGPT - 3.3秒 - 102,850bytes - 256kbps - ライセンス：パブリックドメイン	ഒരു മാൽവെയർ ഡിറ്റക്ഷൻ അലേർട്ട് പോലെ ഉയർന്ന അടിയന്തര സ്വരം - ഭാഗം 1, ChatGPT-യിൽ നിന്ന് - 3.3 സെക്കൻഡ് - 102,850 ബൈറ്റ്സ് - 256 kbps - ലൈസൻസ്: പബ്ലിക് ഡൊമെയ്ൻ
マルウェア検出みたいな緊急感の高い音 その２ by ChatGPT - 3.3秒 - 103,122bytes - 256kbps - ライセンス：パブリックドメイン	ഒരു മാൽവെയർ ഡിറ്റക്ഷൻ അലേർട്ട് പോലെ അടിയന്തരമായ ഒരു ശബ്ദം, ഭാഗം 2, ChatGPT എഴുതിയത് - 3.3 സെക്കൻഡ് - 103,122 ബൈറ്റ്സ് - 256 kbps - ലൈസൻസ്: പബ്ലിക് ഡൊമെയ്ൻ
MRI風サウンド by ChatGPT - 1分14.9秒 - 3,340,392bytes - 320kbps - ライセンス：パブリックドメイン	ചാറ്റ്ജിപിടി നിർമ്മിച്ച എംആർഐ ശൈലിയിലുള്ള ശബ്ദം – 1 മിനിറ്റ് 14.9 സെക്കൻഡ് – 3,340,392 ബൈറ്റ് – 320 kbps – ലൈസൻസ്: പബ്ലിക് ഡൊമെയ്ൻ
警告表示中のBGMを選択します	മുന്നറിയിപ്പ് സമയത്ത് പ്ലേ ചെയ്യാനുള്ള പശ്ചാത്തല സംഗീതം തിരഞ്ഞെടുക്കുക
びっくりするような雰囲気を作ります	അത് അത്ഭുതപ്പെടുത്തുന്ന ഒരു അന്തരീക്ഷം സൃഷ്ടിക്കുന്നു
Firefoxでは音声ブロックされます	ഫയർഫോക്സിൽ ഓഡിയോ തടഞ്ഞിരിക്കുന്നു
対象アクションを起こした時のビープ音	നിർദ്ദിഷ്‌ട പ്രവർത്തനം നടത്തുമ്പോൾ ഒരു ബീപ്പ്
有効 音量小さ目	ഓൺ, വോളിയം കുറവ്
有効 音量大き目	സജീവം, വോളിയം ഉയർന്നതായി സജ്ജീകരിച്ചിരിക്കുന്നു
警告表示中にすべてのキー・マウスイベントでビープ音を鳴らします	മുന്നറിയിപ്പ് ദൃശ്യമാകുമ്പോൾ എല്ലാ കീ, മൗസ് ഇവന്റുകൾക്കും ഒരു ബീപ് ശബ്ദിക്കും.
警告表示中に端末が暴走したかのような雰囲気を作ります	മുന്നറിയിപ്പ് ദൃശ്യമാകുമ്പോൾ ഉപകരണം നിയന്ത്രണമില്ലാതെ പ്രവർത്തിക്കുന്നു എന്ന തോന്നൽ ഇത് ഉണ്ടാക്കുന്നു.
対象アクションを起こした時のマウスカーソルの消去	ഒരു പ്രത്യേക പ്രവർത്തനം നടക്കുമ്പോൾ മൗസ് കഴ്സർ മറയ്ക്കുക
警告表示中にブラウザのエリアのマウスカーソルを消去します	മുന്നറിയിപ്പ് പ്രദർശിപ്പിക്കുമ്പോൾ ബ്രൗസർ ഏരിയയിൽ മൗസ് കഴ്സർ മറയ്ക്കുന്നു
デバッグモード	ഡീബഗ് മോഡ്
妨害＋記録のみ	ഇൻ്റർഫെറൻസ് + റെക്കോർഡ്സ് മാത്രം
妨害＋記録＋表示＋リダイレクト	ഇടപെടൽ + രേഖപ്പെടുത്തൽ + പ്രദർശനം + തിരിച്ചുവിടൽ
メニューからは操作できてしまいます	നിങ്ങൾക്ക് ഇപ്പോഴും മെനു വഴി ഇത് ആക്‌സസ് ചെയ്യാൻ കഴിയും.
Firefoxにおけるデバッグモード	ഫയർഫോക്സിലെ ഡീബഗ് മോഡ്
ブラウザーコンソール	ബ്രൗസർ കൺസോൾ
