設定	ছেটিংছ
「出力される全HTMLのうち、Wordpressにアップロードされた画像をすべて保護」の場合は、Wordpressのほぼすべての動作をキャプチャし、コンテンツ内のimgタグについてすべて処理します。テーマによっては正しく動作しません	যদি আপুনি 'গোটেই HTML আউটপুটৰ ভিতৰত WordPress-লৈ আপলোড কৰা সকলো ছবি সুৰক্ষিত কৰক' বাছনি কৰে, তেন্তে প্লাগইনটোৱে প্ৰায় সকলো WordPress কাৰ্য্যকলাপ কেপচাৰ কৰিব আৰু সমলৰ ভিতৰত থকা প্ৰতিটো img টেগ প্ৰক্ৰিয়াকৰণ কৰিব। অনুগ্ৰহ কৰি মন কৰিব যে কিছুমান থিমৰ সৈতে ই সঠিকভাৱে কাম নকৰিব পাৰে।
なお、アイキャッチに指定した画像はOGPとして拡散されますので保護できません。どうしても保護すべき場合は高度な設定でHTML保護時のHEADタグの出力の選択を変更してください	অনুগ্ৰহ কৰি মন কৰিব যে 'ফিচাৰ্ড ইমেজ' হিচাপে চিহ্নিত ছবিসমূহ OGP ডেটা হিচাপে শ্বেয়াৰ কৰা হ'ব আৰু সেইবোৰ সুৰক্ষিত কৰিব নোৱাৰি। যদি আপুনি সেইবোৰ সুৰক্ষিত কৰিবই বিচাৰে, তেন্তে HTML সুৰক্ষা সক্ষম কৰাৰ সময়ত উন্নত ছেটিংছত HEAD টেগ আউটপুটৰ বাবে ছেটিংটো সলনি কৰক।
OS標準搭載のスクリーンショット機能を保護することはできません	অপাৰেটিং চিষ্টেমত অন্তৰ্নিৰ্মিত স্ক্ৰীণশ্বট কাৰ্যটো সুৰক্ষিত কৰিব নোৱাৰি।
画像URLの保護	ছবিৰ URLসমূহ সুৰক্ষিত কৰা
画像の保護と組み合わせて使用します、単体では意味がありません	ইয়াক ছবি সুৰক্ষাৰ সৈতে একেলগে ব্যৱহাৰ কৰিব লাগে; অকলে ইয়াৰ কোনো উদ্দেশ্য নাই।
JavaScriptにより遅延読まれますのでSEOに影響があります	যিহেতু ইয়াক জাভাস্ক্রিপ্টৰ জৰিয়তে অলসভাৱে লোড কৰা হয়, ই SEO-ক প্ৰভাৱিত কৰে।
画像のウォーターマーク	ছবিৰ ৱাটাৰমাৰ্ক
右下	সোঁফালৰ তলত
ランダム位置	যাদৃচ্ছিক অৱস্থান
画像の保護と組み合わせて使用します、動的な透かしで著作権を明示しつつ、閲覧者に監視されている印象を与え抑止力を高めます	ছবি সুৰক্ষাৰ সৈতে একেলগে ব্যৱহাৰ কৰিলে, ডাইনেমিক ৱাটাৰমাৰ্কসমূহে স্পষ্টভাৱে স্বত্বাধিকাৰীত্ব সূচায় আৰু দৰ্শকক তেওঁলোক নিৰীক্ষণৰ অধীনত আছে বুলি অনুভৱ কৰায়, যাৰ ফলত ই এক প্ৰতিৰোধক হিচাপে কাম কৰে।
JPG形式、PNG形式、WebP形式のみ対応します	কেৱল JPG, PNG আৰু WebP ফৰ্মেটসমূহহে সমৰ্থিত।
有効にするとサーバーの負荷が高くなります	এয়া সক্ষম কৰিলে ছাৰ্ভাৰৰ ওপৰত বোজা বৃদ্ধি পাব।
HTML難読化・保護時のHTMLソースコードのアスキーアートの出力	HTML অবস্কিউকেশ্বন আৰু সুৰক্ষাৰ সময়ত HTML উৎস কোডৰ পৰা ASCII শিল্প নিৰ্গত কৰা
表示なし	কোনো প্ৰদৰ্শন নাই
view-sourceでHTMLソース表示をした時に警告の意思を示すアスキーアートを表示します	'view-source' ব্যৱহাৰ কৰি HTML উৎস দৰ্শন কৰাৰ সময়ত সতৰ্কবাণী সূচোৱা ASCII কলা প্ৰদৰ্শন কৰে।
対象アクションを起こした時の表示デザイン	লক্ষ্য কাৰ্য সম্পন্ন হ'লে ডিজাইন প্ৰদৰ্শন কৰক
黄色の背景の黒文字のベーシックデザイン	হালধীয়া পটভূমিত ক'লা আখৰৰ এটা সাধাৰণ ডিজাইন।
黒色の背景の赤文字のホラー風デザイン	ক'লা পটভূমিত ৰঙা আখৰৰ এক ভৌতিক শৈলীৰ ডিজাইন।
黒色の背景の赤文字の光る文字のデザイン	ক'লা পটভূমিত উজ্জ্বল ৰঙা আখৰৰ এটা ডিজাইন
対象アクションを起こした時のBGM	লক্ষ্য কাৰ্য সম্পন্ন হ'লে বজোৱা পটভূমি সংগীত
サウンドなし	কোনো শব্দ নাই
戦闘＆戦闘勝利 - 1分16.3秒 - 630,056bytes - 64kbps - ライセンス：CC2.1 or later	যুদ্ধ আৰু বিজয় - ১ মিনিট ১৬.৩ ছেকেণ্ড - ৬৩০,০৫৬ বাইট - ৬৪ কেবিপিএছ - অনুজ্ঞাপত্ৰ: CC ২.১ বা পৰৱৰ্তী
おやじ ショート - 3.8秒 - 32,364bytes - 64kbps - ライセンス GPL2.0 or later (C)EJ	ড্যাড শ্বৰ্ট - ৩.৮ ছেকেণ্ড - ৩২,৩৬৪ বাইট - ৬৪ কেবিপিএছ - অনুজ্ঞাপত্ৰ: GPL 2.0 বা পৰৱৰ্তী
おやじ ロング - 23.5秒 - 195,578bytes - 64kbps - ライセンス GPL2.0 or later (C)EJ	ওয়াজি লং - ২৩.৫ ছেকেণ্ড - ১৯৫,৫৭৮ বাইট - ৬৪ কেবিপিএছ - অনুজ্ঞাপত্ৰ: GPL 2.0 বা পৰৱৰ্তী
ショパン エチュード Op.10-5 黒鍵 打ち込み版 高速版 - 1分0.0秒 - 369,778bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	চোপিন এট্যুড অপা. ১০ নং ৫
ショパン エチュード Op.10-12 革命 打ち込み版 高速版 - 1分57.6秒 - 724,457bytes - 48kbps -  ライセンス：CC BY-ND 4.0 or later	চোপিনৰ এট্যুড অপুছা ১০ নং ১২ 'ৰেভ'লেশ্বন' – কম্পিউটাৰ-সৃষ্ট সংস্কৰণ, উচ্চ-গতিত – ১ মিনিট ৫৭.৬ ছেকেণ্ড – ৭২৪,৪৫৭ বাইট – ৪৮ কেবিপিএছ – অনুজ্ঞাপত্ৰ: CC BY-ND 4.0 বা তাতকৈ নতুন
ショパン スケルツォ 変ロ短調 Op2 打ち込み版 高速短縮版 - 1分48.0秒 - 665,369bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	চোপিন: বি-ফ্লেট মাইনৰৰ শ্বেৰ্‌জো, অপুছ্ ২ – কম্পিউটাৰ-সৃষ্ট সংস্কৰণ, উচ্চ-গতিৰ সংক্ষিপ্ত সংস্কৰণ – ১ মিনিট ৪৮.০ ছেকেণ্ড – ৬৬৫,৩৬৯ বাইট – ৪৮ কেবিপিএছ – অনুজ্ঞাপত্ৰ: CC BY-ND 4.0 বা তাতকৈ নতুন
リスト 超絶技巧練習曲 4番 マゼッパ 打ち込み版 高速短縮版 - 1分51.6秒 - 687,586bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	তালিকা: Étude d'Exécution Transcendante No. 4, 'Mazeppa' – কম্পিউটাৰ-সৃষ্ট সংস্কৰণ, উচ্চ-গতিৰ সংক্ষিপ্ত সংস্কৰণ – ১ মিনিট ৫১.৬ ছেকেণ্ড – ৬৮৭,৫৮৬ বাইট – ৪৮ কেবিপিএছ – অনুজ্ঞাপত্ৰ: CC BY-ND 4.0 বা তাতকৈ নতুন
ファンファーレ - 22.3秒 - 183,926bytes - 64kbps - ライセンス：パブリックドメイン	ফেনফেয়াৰ – ২২.৩ ছেকেণ্ড – ১৮৩,৯২৬ বাইট – ৬৪ কেবিপিএছ – অনুজ্ঞাপত্ৰ: পাব্লিক ডমেইন
レトロ風ファンファーレ - 2.2秒 - 10,536bytes - 32kbps - ライセンス：パブリックドメイン	ৰেট্ৰ'-ষ্টাইলৰ বাদ্যযন্ত্ৰ – ২.২ ছেকেণ্ড – ১০,৫৩৬ বাইট – ৩২ কেবিপিএছ – অনুজ্ঞাপত্ৰ: পাব্লিক ডমেইন
レトロ風オープン - 42.1秒 - 179,138bytes - 32kbps - ライセンス：パブリックドメイン	ৰেট্ৰ'-ষ্টাইলৰ পাতনি – ৪২.১ ছেকেণ্ড – ১৭৯,১৩৮ বাইট – ৩২ কেবিপিএছ – অনুজ্ঞাপত্ৰ: পাব্লিক ডমেইন
警告 by ChatGPT - 3.8秒 - 109,700bytes - 256kbps - ライセンス：パブリックドメイン	ChatGPT-ৰ সতৰ্কবাণী - ৩.৮ ছেকেণ্ড - ১০৯,৭০০ বাইট - ২৫৬ কেবিপিএছ - অনুজ্ঞাপত্ৰ: পাব্লিক ডমেইন
マルウェア検出みたいな緊急感の高い音 その１ by ChatGPT - 3.3秒 - 102,850bytes - 256kbps - ライセンス：パブリックドメイン	এক উচ্চ-জৰুৰী ধ্বনি, যেন এটা মেলৱেৰ চিনাক্তকৰণ সতৰ্কবাণী – প্ৰথম খণ্ড ChatGPT-ৰ দ্বাৰা – ৩.৩ ছেকেণ্ড – ১০২,৮৫০ বাইট – ২৫৬ kbps – অনুজ্ঞাপত্ৰ: পাব্লিক ডমেইন
マルウェア検出みたいな緊急感の高い音 その２ by ChatGPT - 3.3秒 - 103,122bytes - 256kbps - ライセンス：パブリックドメイン	এটা উচ্চ-জৰুৰী শব্দ, এটা মেলৱেৰ চিনাক্তকৰণ সতৰ্কবাণীৰ দৰে, অংশ ২ ChatGPT-ৰ দ্বাৰা - ৩.৩ ছেকেণ্ড - ১০৩,১২২ বাইট - ২৫৬ কেবিপিএছ - অনুজ্ঞাপত্ৰ: পাব্লিক ডমেইন
MRI風サウンド by ChatGPT - 1分14.9秒 - 3,340,392bytes - 320kbps - ライセンス：パブリックドメイン	চিএটজিপিটিৰ দ্বাৰা এমআৰআই-শৈলীৰ শব্দ – ১ মিনিট ১৪.৯ ছেকেণ্ড – ৩,৩৪০,৩৯২ বাইট – ৩২০ কেবিপিএছ – অনুজ্ঞাপত্ৰ: পাব্লিক ডমেইন
警告表示中のBGMを選択します	সতৰ্কবাণীৰ সময়ত বজাবলৈ পটভূমি সংগীত বাছনি কৰক
びっくりするような雰囲気を作ります	ই এক আশ্চৰ্যজনক পৰিৱেশৰ সৃষ্টি কৰে
Firefoxでは音声ブロックされます	ফায়াৰফক্সত অডিঅ' বন্ধ কৰা হৈছে।
対象アクションを起こした時のビープ音	নিৰ্দিষ্ট কাৰ্য সম্পন্ন হ'লে এটা বিপ শব্দ
有効 音量小さ目	চালু, ভলিউম কম
有効 音量大き目	সক্ৰিয়, ভলিউম উচ্চতাত ছেট কৰা হৈছে
警告表示中にすべてのキー・マウスイベントでビープ音を鳴らします	এটা বিপ শব্দ হ'ব আৰু লগতে এটা সতৰ্কবাণী প্ৰদৰ্শিত হ'ব।
警告表示中に端末が暴走したかのような雰囲気を作ります	ৱাৰ্নিংটো দেখুওৱাৰ সময়ত ডিভাইচটোৱে যেন নিয়ন্ত্ৰণ হেৰুৱাই পেলাইছে, তেনে এটা ধাৰণা হয়।
対象アクションを起こした時のマウスカーソルの消去	এটা নিৰ্দিষ্ট কাৰ্য সম্পন্ন হ'লে মাউচ কাৰ্ছৰটো লুকুৱাই ৰখা
警告表示中にブラウザのエリアのマウスカーソルを消去します	এটা সতৰ্কবাণী প্ৰদৰ্শিত হৈ থকাৰ সময়ত ব্ৰাউজাৰ এলেকাত মাউছ কাৰ্ছৰটো লুকুৱাই ৰাখে।
デバッグモード	ডিবাগ মোড
妨害＋記録のみ	হস্তক্ষেপ + কেৱল ৰেকৰ্ড
妨害＋記録＋表示＋リダイレクト	হস্তক্ষেপ + লগিং + প্ৰদৰ্শন + পুনঃনিৰ্দেশ
メニューからは操作できてしまいます	আপুনি এতিয়াও মেনুৰ জৰিয়তে ইয়াক ব্যৱহাৰ কৰিব পাৰে।
Firefoxにおけるデバッグモード	ফায়াৰফক্সত ডিবাগ মোড
ブラウザーコンソール	ব্ৰাউজাৰ কনছ'ল
事実上デバッグモードから操作できてしまいます	প্ৰকৃততে, আপুনি ইয়াক ডিবাগ মোডৰ পৰা চলাব পাৰে।
HTMLソース表示	এইচটিএমএল উৎস চাওক
view-source:から始まるURLを入力すれば操作できてしまいます	আপুনি 'view-source:' ৰে আৰম্ভ হোৱা এটা URL দিয়াই এই কাৰ্যটো সম্পন্ন কৰিব পাৰে।
HTML保護と組み合わせることでコンテンツを保護することができます	আপুনি এইটোক HTML সুৰক্ষাৰ সৈতে একত্ৰিত কৰি আপোনাৰ সমল সুৰক্ষিত কৰিব পাৰে।
印刷	ছপা কৰা
印刷阻止をするもものの、ブラウザによってはうまく動作しません	যদিও ই প্ৰিণ্টিং বন্ধ কৰে, কিছুমান ব্ৰাউজাৰত ই সঠিকভাৱে কাম নকৰিব পাৰে।
スクリーンショット	স্ক্রীণশ্বট
OSやブラウザ、方法によっては妨害できず、もしくは検出しないことがあります	অপাৰেটিং চিষ্টেম, ব্ৰাউজাৰ বা ব্যৱহৃত পদ্ধতিৰ ওপৰত নিৰ্ভৰ কৰি, এইটো বাধা দিয়াটো সম্ভৱ নহ'বও পাৰে, বা ইয়াক চিনাক্ত কৰিব নোৱাৰিবও পাৰে।
ウインドウが背面に移動した時スクリーンショットの疑い	উইণ্ডোখন বেকগ্ৰাউণ্ডলৈ গ'লে সন্দেহযুক্ত স্ক্ৰীণশ্বট
あわせて、スクリーンショット以外の機能（タブ切り替え・ウィンドウ切り替え）にも反応してしまいます。	ই স্ক্ৰীণশ্বটৰ বাহিৰেও অন্য ফাংচনসমূহতো সঁহাৰি দিয়ে
2キー押下のスクリーンショットの疑い	দুটা কী টিপি লোৱা বুলি সন্দেহ কৰা স্ক্ৰীণশ্বট
上の項目の検出方法は完全ではありません、予防的に検出を行います	ওপৰোক্ত সামগ্ৰীবোৰৰ চিনাক্তকৰণ পদ্ধতিবোৰ সম্পূৰ্ণ নিৰ্ভুল নহয়; চিনাক্তকৰণ এক সতৰ্কতামূলক ব্যৱস্থা হিচাপে কৰা হয়।
スクリーンショットだけではなく、デバッグモード等も検出します	ই কেৱল স্ক্ৰীণশ্বটই নহয়, ডিবাগ মোড আৰু তেনেধৰণৰ আন বহুতো বস্তুও চিনাক্ত কৰে।
ページ保存	পৃষ্ঠা সংৰক্ষণ কৰক
右クリック	সোঁ-ক্লিক
アドオンがインストールされていると操作できてしまいます	যদি এড-অনটো ইনষ্টল কৰা থাকে, আপুনি ইয়াক ব্যৱহাৰ কৰিব পাৰিব।
コピー・カット	নকল আৰু কাটো
本プラグインの設定によってはこのイベントにたどり着くことはほとんどない場合があります	এই প্লাগইনটোৰ ছেটিংছৰ ওপৰত নিৰ্ভৰ কৰি, আপুনি এই ঘটনাটো খুব কমেইহে সন্মুখীন হ'ব পাৰে।
テキスト全選択	সকলো পাঠ্য বাছনি কৰক
テキスト選択	পাঠ্য বাছনি কৰক
デバッガー起動ログ、デバッガー妨害	ডিবাগাৰ আৰম্ভণি লগ, ডিবাগাৰৰ হস্তক্ষেপ
デバッグモードの使い勝手を少し悪くし、デバッガを起動したことをログに残します、ブラウザによってはこの挙動が止められてしまいます	ই ডিবাগ মোডটোক কিছু পৰিমাণে ব্যৱহাৰকাৰী-অনুকূল কৰি তোলে আৰু ডিবাগাৰটো আৰম্ভ কৰা হৈছে বুলি লগ কৰে; কিন্তু, কিছুমান ব্ৰাউজাৰে এই আচৰণটোক বাধা দিব পাৰে।
リダイレクトするURL	ইউআৰএল পুনঃনিৰ্দেশিত কৰক
利用規約などのページに転送すると良いでしょう	ব্যৱহাৰকাৰীসকলক 'ব্যৱহাৰৰ চৰ্তাৱলী'ৰ দৰে পৃষ্ঠালৈ পুনঃনিৰ্দেশিত কৰাটো এটা ভাল ধাৰণা হ'ব।
空欄にすると元のURLにリダイレクトをします	খালি ৰাখিলে, ই মূল URL-লৈ পুনঃনিৰ্দেশিত হ'ব।
リダイレクトまでの時間	পুনঃনিৰ্দেশনালৈ সময়
リダイレクトなし	কোনো পুনঃনিৰ্দেশন নাই
1秒	১ ছেকেণ্ড
