設定	Կարգավորումներ
HTMLソース表示時に表示するメッセージ	Հաղորդագրություն, որը ցուցադրվում է HTML-աղբյուրը դիտելիս
HTML難読化・保護時にソースの先頭に表示するメッセージ	Հաղորդագրություն, որը ցուցադրվում է աղբյուրային կոդի վերևում՝ HTML-ը obfuscating կամ պաշտպանելիս
HTML保護時に一度限りの認証トークンが異常の場合に表示するメッセージ	Հաղորդագրություն, որը ցուցադրվում է, եթե HTML պաշտպանության ընթացքում մեկանգամյա վավերացման տոկենը անվավեր է
CookieやJavascriptが有効でない場合に表示するメッセージ	Հաղորդագրություն, որը ցուցադրվում է, եթե cookie-ները կամ JavaScript-ը անջատված են
実際にはJavascriptが無効時のみ表示されます	Իրականում սա ցուցադրվում է միայն այն ժամանակ, երբ JavaScript-ը անջատված է։
画像保護時に画像がダウンロードされ、その画像に表示するメッセージ 英語のみ	Երբ պատկերը պաշտպանված է, այն ներբեռնվում է, և պատկերի վրա ցուցադրվում է հաղորդագրություն
HTML難読化 (圧縮)	HTML-ի մթագնում
一般的なHTML圧縮です、難読化解除のサイトもあります	Սա ստանդարտ HTML կոմպրեսիա է; կան նաև կայքեր, որոնք կարող են այն դեկոդավորել։
このオプションを有効にするとview-sourceのログが取得できます	Այս տարբերակը միացնելով՝ հնարավորություն է ստեղծվում ստանալ view-source լոգը։
HTML保護	HTML պաշտպանություն
HTML圧縮以上に最小限のHTMLしか出力せず、BODYタグ内の内容が全く出力されなくなります	Այն արտածում է միայն HTML-ի ամենաանհրաժեշտ նվազագույնը՝ նույնիսկ ավելի քիչ, քան HTML կոմպրեսիայի դեպքում, և BODY պիտակի ներսի բովանդակությունը ընդհանրապես չի արտածվում։
Firefoxに対しては無効です	Սա չի վերաբերում Firefox-ին։
SEOに著しく影響があります	Սա զգալի ազդեցություն ունի SEO-ի վրա։
HTMLをJavaScriptで描画	HTML-ի ներկայացում JavaScript-ով
Firefox対策としてHTMLをJavaScriptで描画をします	Firefox-ի սահմանափակումները շրջանցելու համար մենք HTML-ը ներկայացնում ենք JavaScript-ով։
JavaScript描画で有効にするとウェブサイトの表示速度が著しく遅くなります	JavaScript-ի ցուցադրումը միացնելը զգալիորեն կդանդաղեցնի կայքի բեռման արագությունը։
画像の保護	Պատկերի պաշտպանություն
imgタグが呼び出されるごとに画像を保護	Պաշտպանեք պատկերը յուրաքանչյուր անգամ, երբ կանչվում է img թեգը։
出力される全HTMLのうち、Wordpressにアップロードされた画像をすべて保護	Պաշտպանեք WordPress-ում վերբեռնված բոլոր պատկերները ամբողջ HTML ելքի շրջանակում։
画像をダウンロードから保護します	Պաշտպանում է պատկերները ներբեռնելուց
画像データを保護した時にはほぼ完全なるダウンロードを阻止し、完全なるワンタイムURLを発行し、セッションに保存されたトークンで認証し、phpから画像を表示します、その為ほぼ完全な画像盗用を防ぎます	Երբ պատկերների տվյալները պաշտպանված են, մենք գրեթե բոլոր ներբեռնումները արգելափակում ենք, տրամադրում ենք յուրահատուկ մեկանգամյա URL-ներ, նստաշրջանում պահվող տոկեններով ավտենտիֆիկացնում և պատկերները ցուցադրում ենք PHP-ի միջոցով; սա արդյունավետորեն կանխում է պատկերների գողության գրեթե բոլոր դեպքերը։
画像データを保護した時には画像のキャッシュが効かないため、次回訪問時にサイトの読み込みが遅くなるため、SEOに影響があります	Երբ պատկերի տվյալները պաշտպանված են, քեշավորումը չի աշխատում, ինչը նշանակում է, որ կայքը հաջորդ այցելությունների ժամանակ ավելի դանդաղ կբեռնվի և դա ազդում է SEO-ի վրա։
画像データを保護した時には、データベースの負荷が高くなる可能性があります	Պատկերի տվյալների պաշտպանությունը կարող է մեծացնել տվյալների բազայի բեռը։
「imgタグが呼び出されるごとに画像を保護」の場合は、add_filterを使用し、imgタグの発行時にフィルタリングを行います、テーマによっては正しく動作しません	Եթե ընտրեք «Պաշտպանել պատկերները յուրաքանչյուր img թեգի կանչի ժամանակ», համակարգը օգտագործում է add_filter-ը՝ կիրառելու ֆիլտրացիա img թեգի գեներացման ժամանակ; սակայն դա որոշ թեմաների հետ կարող է ճիշտ չաշխատել։
「出力される全HTMLのうち、Wordpressにアップロードされた画像をすべて保護」の場合は、Wordpressのほぼすべての動作をキャプチャし、コンテンツ内のimgタグについてすべて処理します。テーマによっては正しく動作しません	Եթե ընտրեք «Պաշտպանել WordPress-ում բեռնված բոլոր պատկերները ամբողջ HTML ելքի շրջանակում», պլագինը գրանցելու է գրեթե բոլոր WordPress գործողությունները և մշակելու է բովանդակության մեջ գտնվող յուրաքանչյուր img պիտակը։ Խնդրում ենք նկատի ունենալ, որ սա որոշ թեմաների հետ կարող է ճիշտ չաշխատել։
なお、アイキャッチに指定した画像はOGPとして拡散されますので保護できません。どうしても保護すべき場合は高度な設定でHTML保護時のHEADタグの出力の選択を変更してください	Խնդրում ենք նկատի ունենալ, որ որպես առանձնացված
OS標準搭載のスクリーンショット機能を保護することはできません	Օպերացիոն համակարգում ներառված էկրանային նկարի ֆունկցիան չի կարող պաշտպանվել։
画像URLの保護	Պաշտպանելով պատկերի URL-ները
画像の保護と組み合わせて使用します、単体では意味がありません	Սա պետք է օգտագործվի պատկերի պաշտպանության հետ միասին; ինքնուրույն այն որևէ նշանակություն չունի։
JavaScriptにより遅延読まれますのでSEOに影響があります	Քանի որ այն ծույլ կերպով բեռնվում է JavaScript-ի միջոցով, դա ազդում է SEO-ի վրա։
画像のウォーターマーク	Նկարի ջրանիշ
右下	ներքևի աջ
ランダム位置	Հատուկ դիրք
画像の保護と組み合わせて使用します、動的な透かしで著作権を明示しつつ、閲覧者に監視されている印象を与え抑止力を高めます	Նկարների պաշտպանության հետ համատեղ օգտագործելիս դինամիկ ջրանիշները հստակ ցույց են տալիս հեղինակային իրավունքների սեփականատիրոջը և դիտողներին ստեղծում են հսկողության տպավորություն, ինչը ծառայում է որպես զսպող միջոց։
JPG形式、PNG形式、WebP形式のみ対応します	Աջակցվում են միայն JPG, PNG և WebP ֆորմատները։
有効にするとサーバーの負荷が高くなります	Սա միացնելը կավելացնի սերվերի բեռը։
HTML難読化・保護時のHTMLソースコードのアスキーアートの出力	HTML-ի աղբյուրային կոդից ASCII արվեստի արտածում HTML-ի մթագնման և պաշտպանության ընթացքում
表示なし	Ցուցադրություն չկա
view-sourceでHTMLソース表示をした時に警告の意思を示すアスキーアートを表示します	«view-source»-ով HTML-ի աղբյուրը դիտելիս ցուցադրում է ASCII արվեստ, որը նախազգուշացնում է
対象アクションを起こした時の表示デザイン	Ցուցադրել դիզայնը, երբ կատարվում է թիրախային գործողությունը
黄色の背景の黒文字のベーシックデザイン	Ստանդարտ դիզայն՝ սև տեքստով դեղին ֆոնի վրա
黒色の背景の赤文字のホラー風デザイン	Սարսափային ոճի դիզայն՝ սև ֆոնի վրա կարմիր տեքստով
黒色の背景の赤文字の光る文字のデザイン	Սև ֆոնի վրա փայլուն կարմիր տեքստով դիզայն
対象アクションを起こした時のBGM	Նպատակային գործողություն կատարվելիս հնչող ֆոնային երաժշտություն
サウンドなし	Չկա ձայն
戦闘＆戦闘勝利 - 1分16.3秒 - 630,056bytes - 64kbps - ライセンス：CC2.1 or later	Մարտ և հաղթանակ - 1 րոպե 16.3 վայրկյան - 630 056 բայթ - 64 kbps - Լիցենզիա՝ CC 2.1 կամ ավելի նոր
おやじ ショート - 3.8秒 - 32,364bytes - 64kbps - ライセンス GPL2.0 or later (C)EJ	Դադ Շորտ - 3.8 վայրկյան - 32,364 բայթ - 64 kbps - Լիցենզիա՝ GPL 2.0 կամ ավելի նոր
おやじ ロング - 23.5秒 - 195,578bytes - 64kbps - ライセンス GPL2.0 or later (C)EJ	Օյաջի Լոնգ - 23.5 վայրկյան - 195,578 բայթ - 64 kbps - Լիցենզիա՝ GPL 2.0 կամ ավելի նոր
ショパン エチュード Op.10-5 黒鍵 打ち込み版 高速版 - 1分0.0秒 - 369,778bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	Չոպինի էտյուդ Օպ. 10 թիվ 5
ショパン エチュード Op.10-12 革命 打ち込み版 高速版 - 1分57.6秒 - 724,457bytes - 48kbps -  ライセンス：CC BY-ND 4.0 or later	Չոպինի էտյուդ Օպ. 10 թիվ 12 «Ռևոլյուցիա» – համակարգչային գեներացված տարբերակ, բարձր արագությամբ – 1 րոպե 57.6 վայրկյան – 724,457 բայթ – 48 կբ/վրկ – Լիցենզիա՝ CC BY-ND 4.0 կամ ավելի նոր
ショパン スケルツォ 変ロ短調 Op2 打ち込み版 高速短縮版 - 1分48.0秒 - 665,369bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	Չոպին. Շերցո Բ-ֆլատ մինոր, օպ. 2 – համակարգչային գեներացված տարբերակ, արագացված կրճատված տարբերակ – 1 րոպե 48.0 վայրկյան – 665,369 բայթ – 48 կբ/վ – Լիցենզիա՝ CC BY-ND 4.0 կամ ավելի նոր
リスト 超絶技巧練習曲 4番 マゼッパ 打ち込み版 高速短縮版 - 1分51.6秒 - 687,586bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	Ցուցակ: Էտյուդ դ'Էգզեկյուտիոն Տրանսցենդանտ N° 4, «Մազեպպա» – համակարգչային գեներացված տարբերակ, բարձր արագությամբ կրճատված տարբերակ – 1 րոպե 51.6 վայրկյան – 687,586 բայթ – 48 կբ/վրկ – Լիցենզիա: CC BY-ND 4.0 կամ ավելի նոր
ファンファーレ - 22.3秒 - 183,926bytes - 64kbps - ライセンス：パブリックドメイン	Ֆանֆար – 22.3 վայրկյան – 183,926 բայթ – 64 kbps – Լիցենզիա՝ հանրային տիրույթ
レトロ風ファンファーレ - 2.2秒 - 10,536bytes - 32kbps - ライセンス：パブリックドメイン	Ռետրո ոճի շքեղ երաժշտություն – 2.2 վայրկյան – 10 536 բայթ – 32 kbps – Լիցենզիա՝ հանրային գույք
レトロ風オープン - 42.1秒 - 179,138bytes - 32kbps - ライセンス：パブリックドメイン	Ռետրո ոճի ներածություն – 42.1 վայրկյան – 179,138 բայթ – 32 kbps – Լիցենզիա՝ հանրային գույք
警告 by ChatGPT - 3.8秒 - 109,700bytes - 256kbps - ライセンス：パブリックドメイン	ChatGPT-ի նախազգուշացում - 3.8 վայրկյան - 109,700 բայթ - 256 kbps - Լիցենզիա՝ հանրային տիրույթ
マルウェア検出みたいな緊急感の高い音 その１ by ChatGPT - 3.3秒 - 102,850bytes - 256kbps - ライセンス：パブリックドメイン	Բարձր առաջնահերթության ձայն՝ վնասակար ծրագրերի հայտնաբերման ազդանշանի նման – Մաս 1, ChatGPT-ի կողմից – 3.3 վայրկյան – 102,850 բայթ – 256 kbps – Լիցենզիա՝ հանրային գույք
マルウェア検出みたいな緊急感の高い音 その２ by ChatGPT - 3.3秒 - 103,122bytes - 256kbps - ライセンス：パブリックドメイン	Բարձր առաջնահերթության ձայն՝ վնասակար ծրագրերի հայտնաբերման ազդանշանի նման, Մաս 2, ChatGPT-ի կողմից - 3.3 վայրկյան - 103,122 բայթ - 256 kbps - Լիցենզիա՝ հանրային գույք
MRI風サウンド by ChatGPT - 1分14.9秒 - 3,340,392bytes - 320kbps - ライセンス：パブリックドメイン	MRI ոճի ձայն ChatGPT-ից – 1 րոպե 14.9 վայրկյան – 3,340,392 բայթ – 320 kbps – Լիցենզիա՝ հանրային տիրույթ
警告表示中のBGMを選択します	Ընտրեք նախազգուշացման ընթացքում նվագարկվող ֆոնային երաժշտությունը։
びっくりするような雰囲気を作ります	Այն ստեղծում է անակնկալ մթնոլորտ։
Firefoxでは音声ブロックされます	Firefox-ում ձայնը արգելափակված է
対象アクションを起こした時のビープ音	Նշված գործողությունը կատարվելիս հնչում է բիպ
有効 音量小さ目	Միացված է, ձայնի մակարդակը ցածր է
有効 音量大き目	Ակտիվ է, ծավալը բարձր է
警告表示中にすべてのキー・マウスイベントでビープ音を鳴らします	Զգուշացում ցուցադրվելու ընթացքում բոլոր ստեղնաշարի և մկնիկի իրադարձություններին կհնչի բիպ։
警告表示中に端末が暴走したかのような雰囲気を作ります	Ստեղծվում է տպավորություն, որ սարքը խափանվել է զգուշացումը ցուցադրվելու ընթացքում։
対象アクションを起こした時のマウスカーソルの消去	Մկնիկի կուրսորի թաքցումը, երբ կատարվում է որոշակի գործողություն
警告表示中にブラウザのエリアのマウスカーソルを消去します	Թաքցնում է մկնիկի կուրսորը զննարկչի տարածքում, երբ ցուցադրվում է նախազգուշացում։
デバッグモード	Սխալների հայտնաբերման ռեժիմ
妨害＋記録のみ	Միայն խանգարումներ + ռեկորդներ
妨害＋記録＋表示＋リダイレクト	Խանգարում + գրանցում + ցուցադրում + վերաուղղում
メニューからは操作できてしまいます	Դուք դեռ կարող եք դրան մուտք գործել մենյուի միջոցով։
Firefoxにおけるデバッグモード	Firefox-ի սխալների հայտնաբերման ռեժիմը
ブラウザーコンソール	Դիտարկիչի կոնսոլ
事実上デバッグモードから操作できてしまいます	Իրականում կարող եք այն գործարկել debug ռեժիմից։
HTMLソース表示	Դիտել HTML աղբյուրը
view-source:から始まるURLを入力すれば操作できてしまいます	Դուք կարող եք իրականացնել գործողությունը պարզապես մուտքագրելով URL, որը սկսվում է «view-source:»-ով։
HTML保護と組み合わせることでコンテンツを保護することができます	Դուք կարող եք պաշտպանել ձեր բովանդակությունը՝ այս մեթոդը համատեղելով HTML պաշտպանության հետ։
印刷	Տպել
印刷阻止をするもものの、ブラウザによってはうまく動作しません	Չնայած այն խանգարում է տպել, որոշ զննարկիչներում այն կարող է ճիշտ չաշխատել։
スクリーンショット	Էկրանահարում
OSやブラウザ、方法によっては妨害できず、もしくは検出しないことがあります	Շահագործման համակարգից, զննարկչից կամ կիրառվող մեթոդից կախված՝ հնարավոր է, որ սա չհաջողվի արգելափակել կամ չհայտնաբերվի։
ウインドウが背面に移動した時スクリーンショットの疑い	Կասկածվող էկրանահարված, երբ պատուհանը տեղափոխվում է ֆոն
あわせて、スクリーンショット以外の機能（タブ切り替え・ウィンドウ切り替え）にも反応してしまいます。	Այն նաև արձագանքում է այլ ֆունկցիաների, ոչ միայն էկրանահարումների
2キー押下のスクリーンショットの疑い	Կասկածվող էկրանահան, որը վերցվել է երկու ստեղների միաժամանակ սեղմմամբ
上の項目の検出方法は完全ではありません、予防的に検出を行います	Վերոհիշյալ տարրերի հայտնաբերման մեթոդները ամբողջովին հուսալի չեն; հայտնաբերումը կատարվում է որպես նախազգուշական միջոց։
スクリーンショットだけではなく、デバッグモード等も検出します	Այն հայտնաբերում է ոչ միայն էկրանահարվածներ, այլև debug ռեժիմներ և նմանատիպ այլ տարրեր։
ページ保存	Էջը պահպանել
右クリック	աջ կտտացնել
アドオンがインストールされていると操作できてしまいます	Եթե հավելումը տեղադրված է, դուք կկարողանաք օգտագործել այն։
コピー・カット	Պատճենել և կտրել
本プラグインの設定によってはこのイベントにたどり着くことはほとんどない場合があります	Այս պլագինի կարգավորումներից կախված՝ դուք հազվադեպ կարող եք հանդիպել այս իրադարձությանը։
テキスト全選択	Ընտրեք ամբողջ տեքստը
テキスト選択	Ընտրեք տեքստը
デバッガー起動ログ、デバッガー妨害	Դեբագերի մեկնարկային լոգ, դեբագերի միջամտություն
デバッグモードの使い勝手を少し悪くし、デバッガを起動したことをログに残します、ブラウザによってはこの挙動が止められてしまいます	Սա դեբագային ռեժիմը դարձնում է մի փոքր պակաս հարմար օգտվողի համար և գրանցում է, որ դեբագերը գործարկվել է; սակայն որոշ զննարկիչներ կարող են արգելափակել այս վարքագիծը։
リダイレクトするURL	Վերաուղղել URL-ը
利用規約などのページに転送すると良いでしょう	Լավ գաղափար կլիներ օգտվողներին ուղղորդել «Օգտագործման պայմաններ» էջերի նման էջեր։
空欄にすると元のURLにリダイレクトをします	Եթե դատարկ թողնվի, այն կուղղորդի սկզբնական URL-ին։
リダイレクトまでの時間	Վերաուղղման մինչև ժամանակը
リダイレクトなし	Չկա վերաուղղում
1秒	1 վայրկյան
2秒	2 վայրկյան
3秒	3 վայրկյան
4秒	4 վայրկյան
5秒	5 վայրկյան
6秒	6 վայրկյան
7秒	7 վայրկյան
8秒	8 վայրկյան
9秒	9 վայրկյան
10秒	10 վայրկյան
15秒	15 վայրկյան
20秒	20 վայրկյան
25秒	25 վայրկյան
30秒	30 վայրկյան
35秒	35 վայրկյան
40秒	40 վայրկյան
45秒	45 վայրկյան
50秒	50 վայրկյան
55秒	55 վայրկյան
1分	մեկ րոպե
1分10秒	1 րոպե 10 վայրկյան
1分20秒	1 րոպե 20 վայրկյան
1分30秒	1 րոպե 30 վայրկյան
1分40秒	1 րոպե 40 վայրկյան
1分50秒	1 րոպե 50 վայրկյան
2分	երկու րոպե
ソース表示を許可する権限	Աղբյուրի կոդը դիտելու թույլտվություն
ADMINログイン時のみ通常のソース出力	Սովորական աղբյուրի ելքը միայն ADMIN օգտանվամբ մուտք գործած ժամանակ
USERログインで通常のソース出力	Սովորական ելք աղբյուրից, երբ մուտք է գործված USER օգտվողի հաշվով
通常のHTML出力を管理者のみかユーザーログインかを選択します	Ընտրեք՝ արդյոք ստանդարտ HTML ելքը սահմանափակված է միայն ադմինիստրատորների համար, թե՞ պահանջում է օգտվողի մուտք։
画像を無理やりダウンロードして実際にダウンロードされるもの	Պատկերը բռնի կերպով ներբեռնելու և իրականում ներբեռնվողի մասին
GIF形式で1×1ピクセルの透過画像	GIF ֆորմատով 1×1 պիքսել թափանցիկ պատկեր
PNG形式で1×1ピクセルの透過画像	PNG ֆորմատով 1×1 պիքսել թափանցիկ պատկեր
PNG形式で黄色い背景の警告画面	PNG ֆորմատով դեղին ֆոնով նախազգուշացման էկրան
意味のないHTMLドキュメント	Անիմաստ HTML փաստաթուղթ
HTML保護時のHEADタグの出力	HTML-ի պաշտպանված վիճակում HEAD թեգի ելքը
出力しない	Չտպել
TITLEタグのみ	Միայն TITLE թեգը
WordpressのHEADタグより取得	WordPress HEAD պիտակից վերցված
企業用途の会員専用ページや社内ページなどでは「出力しない」、「TITLEタグのみ」で良いでしょう	Կորպորատիվ օգտագործման միայն անդամների համար նախատեսված էջերի և ներքին էջերի դեպքում բավարար է ընտրել «Չարտադրել» կամ «Միայն TITLE պիտակ»։
WordpressのHEADタグから取得しないと、SNSのシェアでOGP画像が表示されません	Եթե չեք ստանա տվյալները WordPress HEAD թեգից, OGP պատկերը չի հայտնվի սոցիալական ցանցերում կիսելիս։
画像botをアクセス禁止にする	Փակել պատկերի բոտը
画像botをHTMLに対し避けることにより、画像検索から直接リンクされることによって守れなかったコンテンツを守ることができます、ただし完全には対処することはできません	Պատկերային բոտերին HTML-ին մուտք գործելուց արգելելով՝ դուք կարող եք պաշտպանել այն բովանդակությունը, որը հնարավոր չէր պաշտպանել պատկերների որոնման միջոցով ուղղակի հղումներից; սակայն սա ամբողջական լուծում չէ։
AI学習用botをアクセス禁止にする	Բլոկել մուտքը AI ուսուցման բոտին
AIの学習用のbotをHTMLに対し避けることにより、AIで利用されないようにします、ただし完全には対処することはできません	HTML-ի վրա AI-ի ուսուցման համար նախատեսված բոտերի օգտագործումից խուսափելով՝ մենք ապահովում ենք, որ բովանդակությունը չօգտագործվի AI-ի կողմից; սակայն դա չի կարող ամբողջությամբ կանխարգելվել։
ウェブアーカイブ、ウェブ魚拓をアクセス禁止にする	Չթույլատրել մուտք վեբ արխիվներ և վեբ պատճեններ
自動的に収集されるウェブアーカイブ並びにユーザーの任意で取得される魚拓のアクセスを禁止します、ただし完全には対処することはできません	Մենք արգելում ենք մուտքը ավտոմատ կերպով հավաքված վեբ արխիվներին և օգտվողի հայեցողությամբ վերցված էկրանային նկարներին, սակայն ամբողջությամբ դա կանխել չենք կարող։
無効なUAをアクセス禁止にする	արգելափակել անվավեր օգտվող գործակալներին
ユーザーエイジェントの文字に不正な文字列があった場合のアクセスを避けます	Թույլ չի տալիս մուտք, եթե օգտվողի գործակալության տողը պարունակում է անվավեր նիշեր։
Internet Explorerと旧Microsoft Edge(EdgeHTML)のアクセスに警告を表示する	Internet Explorer-ին և հին Microsoft Edge-ին
Internet Explorerと旧Microsoft Edgeのアクセスを避けます	Խոչընդոտում է Internet Explorer-ով և հին Microsoft Edge-ով մուտքը
alertメッセージを表示する言語	Լեզու, որով ցուցադրվում են զգուշացուցիչ հաղորդագրությունները
Wordpressの言語	WordPress լեզուներ
ブラウザの設定言語	Դիտարկիչի լեզվի կարգավորումներ
メッセージをカスタム設定されている場合は言語を変更できません	Եթե հաղորդագրությունները հարմարեցված են, դուք չեք կարող փոխել լեզուն։
同意画面の言語	Համաձայնության էկրանին լեզուն
view-sourceメッセージを表示する言語	«view-source» հաղորդագրությունը ցուցադրելու լեզու
一時使用トークンの有効期限	Ժամկետանցման ամսաթիվ ժամանակավոր տոկենների համար
3分	3 րոպե
4分	4 րոպե
5分	5 րոպե
6分	6 րոպե
7分	7 րոպե
8分	8 րոպե
9分	9 րոպե
10分	10 րոպե
15分	15 րոպե
20分	20 րոպե
25分	25 րոպե
30分	30 րոպե
35分	35 րոպե
40分	40 րոպե
45分	45 րոպե
50分	50 րոպե
55分	55 րոպե
1時間	մեկ ժամ
画像URL情報の有効期限を設定します	Տեղադրեք պատկերի URL-ի տեղեկատվության ավարտի ամսաթիվը
一度読み込まれると画像URL情報と一時使用トークンは無効化されます	Մի անգամ բեռնվելուց հետո պատկերի URL-ը և ժամանակավոր տոկենը անվավեր կդառնան։
画像は遅延読み込みされますが、この指定した時間の30秒前に強制的に画像が読み込まれます	Նկարները բեռնվում են ըստ պահանջի, սակայն դրանք ավտոմատ կերպով կբեռնվեն նշված ժամանակից 30 վայրկյան առաջ։
一時使用トークンのビット数	Ժամանակավոր տոկենի բիթերի քանակը
画像URL情報を暗号化するのに一時使用トークンをパスワードとして使用しますが、その強度を指定します	Ժամանակավոր տոկենը օգտագործվում է որպես գաղտնաբառ՝ պատկերի URL-ի տվյալները գաղտնագրելու համար; այս կարգավորումը սահմանում է դրա ուժը
ドロップダウンメニューの下に表示される選択肢にいくにつれて強度が強くなるものの、サーバーへの負荷が高くなり、HTML転送量が多くなることがあります	Չնայած բացվող մենյուի տակ ցուցադրվող տարբերակները դառնում են ավելի մանրամասն, սա կարող է ծանր բեռ դնել սերվերի վրա և հանգեցնել մեծ ծավալով HTML տվյալների փոխանցման։
ハッシュ化アルゴリズム	Հեշ ալգորիթմ
画像URL情報を暗号化するのに一時使用トークンをパスワードとして使用しますが、その時ハッシュ化が必要です、その強度を設定します	Ժամանակավոր տոկենը օգտագործվում է որպես գաղտնաբառ՝ պատկերի URL-ի տվյալները գաղտնագրելու համար; դա պահանջում է հեշավորում, և այս կարգավորումը որոշում է այդ հեշավորման ուժը։
