設定	Көйләүҙәр
プライバシーポリシーのURLはこちらから設定して下さい	Зинһар, шәхси мәғлүмәттәрҙе һаҡлау сәйәсәте өсөн URL-адресты бында ҡуйығыҙ.
プライバシーポリシーには以下の内容を追加して下さい	Зинһар, шәхси мәғлүмәттәрҙе һаҡлау сәйәсәтенә түбәндәгеләрҙе өҫтәгеҙ.
不正操作検知のため、CookieおよびデータベースにIPアドレス等の識別子を保存する。保存されたデータは、管理者の任意のタイミングで削除を行う。	Алдаулы эшмәкәрлекте асыҡлау өсөн IP-адрестар кеүек идентификаторҙар cookie-файлдарҙа һәм мәғлүмәттәр базаһында һаҡлана. Һаҡланған мәғлүмәттәр администраторҙың ҡарарына ярашлы юйыла.
画像保護が有効な場合のみ、画像を正常に配信するため、IPアドレスと画像ファイル名をハッシュ化したデータをデータベースに最大60分間保存する。	Рәсемде һаҡлау функцияһы актив булғанда ғына рәсемдәрҙең дөрөҫ еткерелеүен тәьмин итеү өсөн беҙ IP-адрес һәм рәсем файлының исемен үҙ эсенә алған хешланған мәғлүмәтте базала 60 минутҡа тиклем һаҡлайбыҙ.
利用規約を設定する場合、必ずプライバシーポリシーに利用規約のリンクを設置して下さい	Әгәр ҙә һеҙ ҡулланыу шарттарын төҙөйһөгөҙ икән, зинһар, уларҙың һылтанмаһын шәхси мәғлүмәттәрҙе һаҡлау сәйәсәтегеҙҙә индереүегеҙҙе тәьмин итегеҙ.
利用規約の文字列	Ҡулланыу шарттары тексы
利用規約のページ	Шарттар һәм ҡағиҙәләр бите
ページ選択なし	Бер ҙә бит һайланмаған
検索エンジン等のURL	Эҙләү системалары өсөн URL-адрестар һәм башҡалар.
同意しなかった時に画面遷移する検索エンジンなどのURLを設定します	Рөхсәт бирелмәгән осраҡта ҡулланыусыларҙы йүнәлткән эҙләү системалары һәм шундый сайттар өсөн URL-адресты билдәләгеҙ
デバッグモード、コンソールの警告メッセージ	Хаталарҙы төҙәтеү режимы, консоль иҫкәртеү хәбәрҙәре
右クリックの警告メッセージ	Уң төймә менән баҫҡанда кисәтеү хәбәре
印刷、PDF保存の警告メッセージ	PDF-ҡа баҫтырыу һәм һаҡлау тураһында иҫкәртеү хәбәре
スクリーンショットの警告メッセージ	Скриншоттағы иҫкәртеү хәбәре
スクリーンショットの疑いの警告メッセージ	Шикләнелгән скриншоттар тураһында иҫкәртеү хәбәре
テキスト全選択時の警告メッセージ	Бөтә текст һайланған ваҡытта иҫкәртеү хәбәре
ページ保存の警告メッセージ	Битте һаҡлау тураһында иҫкәртеү хәбәре
コピー・カットした時に表示するメッセージ	Күсергәндә йәки ҡырҡҡанда күрһәтелә торған хәбәр
HTMLソース表示時に表示するメッセージ	HTML сығанағын ҡарағанда күрһәтелә торған хәбәр
HTML難読化・保護時にソースの先頭に表示するメッセージ	HTML-ҙы обфускациялау йәки һаҡлау ваҡытында сығанаҡ кодының иң өҫтөндә күрһәтелә торған хәбәр
HTML保護時に一度限りの認証トークンが異常の場合に表示するメッセージ	HTML-ҙы һаҡлау ваҡытында бер тапҡыр ҡулланыла торған аутентификация токены дөрөҫ булмаһа күрһәтелә торған хәбәр
CookieやJavascriptが有効でない場合に表示するメッセージ	Әгәр cookie-файлдар йәки JavaScript һүндерелгән булһа, күрһәтеләсәк хәбәр
実際にはJavascriptが無効時のみ表示されます	Ысынлап та, был бары тик JavaScript сүндерелгән осраҡта ғына күрһәтелә.
画像保護時に画像がダウンロードされ、その画像に表示するメッセージ 英語のみ	Рәсем һаҡланған ваҡытта ул йөкләнә һәм уның өҫтөндә хәбәр күрһәтелә
HTML難読化 (圧縮)	HTML-ды бутатыу
一般的なHTML圧縮です、難読化解除のサイトもあります	Был стандарт HTML ҡыҫтырыу; уны кире декодлай алған веб-сайттар ҙа бар.
このオプションを有効にするとview-sourceのログが取得できます	Был опцияны эшләтеп, view-source журналын алырға мөмкинлек барлыҡҡа килә.
HTML保護	HTML һаҡлау
HTML圧縮以上に最小限のHTMLしか出力せず、BODYタグ内の内容が全く出力されなくなります	Ул HTML-ҙың иң кәрәкле минимумын ғына сығара — HTML-ҙы ҡыҫҡартҡанда ҡулланғандан да аҙраҡ — һәм BODY тегы эсендәге контент бөтөнләй сығарылмай.
Firefoxに対しては無効です	Был Firefox-ҡа ҡағылмай
SEOに著しく影響があります	Был SEO-ға ҙур йоғонто яһай.
HTMLをJavaScriptで描画	JavaScript ярҙамында HTML-ды рендеринг итеү
Firefox対策としてHTMLをJavaScriptで描画をします	Firefox-ты урап үтеү өсөн беҙ HTML-ды JavaScript ярҙамында рендерлайбыҙ.
JavaScript描画で有効にするとウェブサイトの表示速度が著しく遅くなります	JavaScript-ты рендеринглауҙы эшләтеү веб-сайттың йөкләнеү тиҙлеген айырыуса әкренәйтәсәк.
画像の保護	Рәсемде һаҡлау
imgタグが呼び出されるごとに画像を保護	Img тегын һәр саҡ саҡырғанда рәсемде һаҡла
出力される全HTMLのうち、Wordpressにアップロードされた画像をすべて保護	Бөтә HTML-сығарылышта WordPress-ҡа йөкләнгән бөтә рәсемдәрҙе һаҡла
画像をダウンロードから保護します	Рәсемдәрҙең йөкләнеп алыныуын булдырмай
画像データを保護した時にはほぼ完全なるダウンロードを阻止し、完全なるワンタイムURLを発行し、セッションに保存されたトークンで認証し、phpから画像を表示します、その為ほぼ完全な画像盗用を防ぎます	Рәсем мәғлүмәттәре һаҡланған ваҡытта беҙ йөкләнештәрҙең күпселеген тыябыҙ, уникаль бер тапҡыр ҡулланыла торған URL-адрестар бирәбеҙ, сессияла һаҡланған токендар ярҙамында аутентификация үткәрәбеҙ һәм рәсемдәрҙе PHP аша күрһәтәбеҙ; был ысул рәсем урлауҙың күп осраҡтарын һөҙөмтәле рәүештә булдырмай.
画像データを保護した時には画像のキャッシュが効かないため、次回訪問時にサイトの読み込みが遅くなるため、SEOに影響があります	Рәсем мәғлүмәттәре һаҡланған осраҡта кэширләү эшләмәй, был сайтҡа киләһе килеүҙәрҙә әкренерәк йөкләнеүенә һәм шуның менән SEO-ға йоғонто яһай.
画像データを保護した時には、データベースの負荷が高くなる可能性があります	Рәсем мәғлүмәттәрен һаҡлау мәғлүмәттәр базаһына йөкләнеште арттырыуы мөмкин.
「imgタグが呼び出されるごとに画像を保護」の場合は、add_filterを使用し、imgタグの発行時にフィルタリングを行います、テーマによっては正しく動作しません	Әгәр һеҙ «img-тег саҡырылғанда һәр ваҡыт рәсемдәрҙе һаҡлау» пунктын һайлаһағыҙ, система img-тег барлыҡҡа килтерелгәндә add_filter-ҙы ҡулланып фильтрация үткәрә; әммә ҡайһы бер темаларҙа был дөрөҫ эшләмәүе мөмкин.
「出力される全HTMLのうち、Wordpressにアップロードされた画像をすべて保護」の場合は、Wordpressのほぼすべての動作をキャプチャし、コンテンツ内のimgタグについてすべて処理します。テーマによっては正しく動作しません	Әгәр ҙә һеҙ «Бөтөн HTML сығарылышында WordPress-ҡа йөкләнгән бөтә рәсемдәрҙе һаҡлау» пунктын һайлаһағыҙ, плагин WordPress-тың күпселек операцияларын теркәйәсәк һәм контенттағы һәр img тегын эшкәртәсәк. Иғтибар итегеҙ: ҡайһы бер темалар менән был дөрөҫ эшләмәүе мөмкин.
なお、アイキャッチに指定した画像はOGPとして拡散されますので保護できません。どうしても保護すべき場合は高度な設定でHTML保護時のHEADタグの出力の選択を変更してください	Иғтибар итегеҙ: «Өҫтөнлөклө рәсемдәр» тип билдәләнгән рәсемдәр OGP-мәғлүмәттәре булараҡ уртаҡлашыла һәм һаҡланмай. Әгәр ҙә уларҙы мотлаҡ һаҡларға кәрәк икән, HTML-һаҡлауҙы активлаштырғанда алдынғы көйләүҙәрҙә HEAD-тегын сығарыу көйләүен үҙгәртегеҙ.
OS標準搭載のスクリーンショット機能を保護することはできません	Операцион системаға стандарт рәүештә индерелгән скриншот функцияһын һаҡлап булмай.
画像URLの保護	Рәсем URL-дарын һаҡлау
画像の保護と組み合わせて使用します、単体では意味がありません	Был рәсемде һаҡлау менән бергә ҡулланылырға тейеш; үҙе генә ҡулланғанда бер ниндәй ҙә файҙаһы юҡ.
JavaScriptにより遅延読まれますのでSEOに影響があります	JavaScript аша ялҡау рәүештә йөкләнгәнгә, был SEO-ға йоғонто яһай.
画像のウォーターマーク	Рәсемгә водяной тамға
右下	аҫҡы уң яҡ
ランダム位置	Оҫраҡлы урын
画像の保護と組み合わせて使用します、動的な透かしで著作権を明示しつつ、閲覧者に監視されている印象を与え抑止力を高めます	Рәсемде һаҡлау менән берлектә ҡулланғанда, динамик су тамғалары автор хоҡуғын асыҡ күрһәтеп, тамашасыларға күҙәтелеп торғандай тойғо тыуҙыра һәм шуның менән кире ҡағыу сараһы булып эшләй.
JPG形式、PNG形式、WebP形式のみ対応します	Тик JPG, PNG һәм WebP форматтары ғына хуплана.
有効にするとサーバーの負荷が高くなります	Быны эшләтеү сервер йөкләнешен арттырасаҡ.
HTML難読化・保護時のHTMLソースコードのアスキーアートの出力	HTML-ҙы обфускациялау һәм һаҡлау ваҡытында сығанаҡ кодоҙан ASCII-арт сығарыу
表示なし	Экран юҡ
view-sourceでHTMLソース表示をした時に警告の意思を示すアスキーアートを表示します	«view-source» ҡулланып HTML сығанаҡ кодын ҡарағанда иҫкәртеү күрһәтеүсе ASCII-арт
対象アクションを起こした時の表示デザイン	Максатлы эш башҡарылғанда күрһәтеү дизайнын күрһәтергә
黄色の背景の黒文字のベーシックデザイン	Һары фонда ҡара текстлы төп дизайн
黒色の背景の赤文字のホラー風デザイン	Ҡара фонда ҡыҙыл текст менән ҡурҡыныс стилендәге дизайн
黒色の背景の赤文字の光る文字のデザイン	Ҡара фонда балҡып торған ҡыҙыл текстлы дизайн
対象アクションを起こした時のBGM	Максатлы эш башҡарылғанда яңғыраған фон музыка
サウンドなし	Тауыш юҡ
戦闘＆戦闘勝利 - 1分16.3秒 - 630,056bytes - 64kbps - ライセンス：CC2.1 or later	Суғыш һәм Еңеү - 1 минут 16,3 секунд - 630 056 байт - 64 кбит/с - Лицензия: CC 2.1 йәки унан һуң
おやじ ショート - 3.8秒 - 32,364bytes - 64kbps - ライセンス GPL2.0 or later (C)EJ	Dad Short - 3,8 секунд - 32 364 байт - 64 кбит/с - Лицензия: GPL 2.0 йәки һуңыраҡ
おやじ ロング - 23.5秒 - 195,578bytes - 64kbps - ライセンス GPL2.0 or later (C)EJ	Oyaji Long - 23,5 секунд - 195 578 байт - 64 кбит/с - Лицензия: GPL 2.0 йәки һуңыраҡ
ショパン エチュード Op.10-5 黒鍵 打ち込み版 高速版 - 1分0.0秒 - 369,778bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	Шопен Этюды, Оп. 10 № 5
ショパン エチュード Op.10-12 革命 打ち込み版 高速版 - 1分57.6秒 - 724,457bytes - 48kbps -  ライセンス：CC BY-ND 4.0 or later	Шопен Этюды, опус 10, № 12 «Революция» – компьютер тарафынан эшләнгән версия, юғары тиҙлектә – 1 минут 57,6 секунд – 724 457 байт – 48 кбит/с – Лицензия: CC BY-ND 4.0 йәки һуңғараҡ
ショパン スケルツォ 変ロ短調 Op2 打ち込み版 高速短縮版 - 1分48.0秒 - 665,369bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	Шопен: Си-бемоль минорҙағы Шерцо, опус 2 – компьютер тарафынан эшләнгән версия, юғары тиҙлектә ҡыҫҡартылған версия – 1 минут 48,0 секунд – 665 369 байт – 48 кбит/с – Лицензия: CC BY-ND 4.0 йәки унан һуң
リスト 超絶技巧練習曲 4番 マゼッパ 打ち込み版 高速短縮版 - 1分51.6秒 - 687,586bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	Исемлек: «Этюд д'Эгзекюсион Трансцендант» № 4, «Мазепа» – компьютерҙа эшләнгән версия, юғары тиҙлектә ҡыҫҡартылған версия – 1 минут 51,6 секунд – 687 586 байт – 48 кбит/с – Лицензия: CC BY-ND 4.0 йәки унан һуң
ファンファーレ - 22.3秒 - 183,926bytes - 64kbps - ライセンス：パブリックドメイン	Тантаналы марш – 22,3 секунд – 183 926 байт – 64 кбит/с – Лицензия: Ачык домен
レトロ風ファンファーレ - 2.2秒 - 10,536bytes - 32kbps - ライセンス：パブリックドメイン	Ретро-стильдәге фанфар – 2,2 секунд – 10 536 байт – 32 кбит/с – Лицензия: Асыҡ лицензия
レトロ風オープン - 42.1秒 - 179,138bytes - 32kbps - ライセンス：パブリックドメイン	Ретро-стильле интро – 42,1 секунд – 179 138 байт – 32 kbps – Лицензия: Асыҡ домен
警告 by ChatGPT - 3.8秒 - 109,700bytes - 256kbps - ライセンス：パブリックドメイン	ChatGPT-тан иҫкәртеү - 3,8 секунд - 109 700 байт - 256 кбит/с - Лицензия: Асыҡ домен
マルウェア検出みたいな緊急感の高い音 その１ by ChatGPT - 3.3秒 - 102,850bytes - 256kbps - ライセンス：パブリックドメイン	Зыянлы программаны асыҡлау тураһында кисәтеү кеүек юғары ашығыс тауыш – 1-се өлөш, ChatGPT тарафынан – 3,3 секунд – 102 850 байт – 256 кбит/с – Лицензия: Асыҡ лицензия
マルウェア検出みたいな緊急感の高い音 その２ by ChatGPT - 3.3秒 - 103,122bytes - 256kbps - ライセンス：パブリックドメイン	Зыянлы программаны асыҡлау тураһында кисәтеү кеүек юғары ашығыс тауыш, 2-се өлөш, ChatGPT тарафынан - 3,3 секунд - 103 122 байт - 256 кбит/с - Лицензия: Асыҡ лицензия
MRI風サウンド by ChatGPT - 1分14.9秒 - 3,340,392bytes - 320kbps - ライセンス：パブリックドメイン	ChatGPT тарафынан эшләнгән МРТ-стилендәге тауыш – 1 минут 14,9 секунд – 3 340 392 байт – 320 kbps – Лицензия: Асыҡ домен
警告表示中のBGMを選択します	Кисәтеү ваҡытында уйланырға фон музыкаһын һайлағыҙ
びっくりするような雰囲気を作ります	Ул аптыратырлыҡ атмосфера тыуҙыра
Firefoxでは音声ブロックされます	Firefox-та аудио блокланған
対象アクションを起こした時のビープ音	Билдәләнгән эш башҡарылғанда «бип» тауышы
有効 音量小さ目	Көйләү, тауыш түбән
有効 音量大き目	Эшләй, тауышы юғары ҡуйылған
警告表示中にすべてのキー・マウスイベントでビープ音を鳴らします	Ҡиҫәтеү күрһәтелгәндә бөтә клавиша һәм тышҡы тышҡы контроллер
警告表示中に端末が暴走したかのような雰囲気を作ります	Ҡоролма иҫкәртеү күрһәтелгән ваҡытта контролдән сыҡҡан һымаҡ тойола.
対象アクションを起こした時のマウスカーソルの消去	Билдәле бер эш башҡарылғанда тышҡан курсорын йәшереү
警告表示中にブラウザのエリアのマウスカーソルを消去します	Хата тураһында иҫкәртеү күрһәтелгәндә браузер өлкәһендә тышҡы ҡорал курсорын йәшерә.
デバッグモード	Хаталарҙы төҙәтеү режимы
妨害＋記録のみ	Интерференция + яҙмалар ғына
妨害＋記録＋表示＋リダイレクト	Боҙоу + Теркәү + Күрһәтеү + Йүнәлтеү
メニューからは操作できてしまいます	Һеҙ әле лә уны меню аша асып ала алаһығыҙ.
Firefoxにおけるデバッグモード	Firefox-та отладка режимы
ブラウザーコンソール	Браузер консоле
事実上デバッグモードから操作できてしまいます	Ғәмәлдә, уны отладка режимынан эшләтеп була.
HTMLソース表示	HTML сығанағын ҡара
view-source:から始まるURLを入力すれば操作できてしまいます	Һеҙ 'view-source:' менән башланған URL-ды индереп кенә операцияны башҡара алаһығыҙ.
HTML保護と組み合わせることでコンテンツを保護することができます	Һеҙ был ысулды HTML һаҡлау менән берләштереп, контентығыҙҙы һаҡлай алаһығыҙ.
印刷	Бастырырға
印刷阻止をするもものの、ブラウザによってはうまく動作しません	Ул баҫтырыуҙы тыйһа ла, ҡайһы бер браузерҙарҙа ул дөрөҫ эшләмәҫкә мөмкин.
スクリーンショット	Экран төшөрмәһе
OSやブラウザ、方法によっては妨害できず、もしくは検出しないことがあります	Ҡулланылған операцион системаға, браузерға йәки ысулға ҡарап, уны блоклау мөмкин булмауы йәки ул асыҡланмауы мөмкин.
ウインドウが背面に移動した時スクリーンショットの疑い	Тәрәзә фонға күскәндә шикле скриншот
あわせて、スクリーンショット以外の機能（タブ切り替え・ウィンドウ切り替え）にも反応してしまいます。	Ул шулай уҡ скриншоттарҙан тыш башҡа функцияларға ла яуап бирә
2キー押下のスクリーンショットの疑い	Ике төймә баҫып алынған тип шикләнгән скриншот
上の項目の検出方法は完全ではありません、予防的に検出を行います	Юғарыла аталған әйберҙәрҙе асыҡлау ысулдары тулыһынса ышаныслы түгел; асыҡлау сараһы иҫкәртеү маҡсатында үткәрелә.
スクリーンショットだけではなく、デバッグモード等も検出します	Ул скриншоттарҙы ғына түгел, debug режимдарын һәм шундый башҡаларҙы ла асыҡлай.
ページ保存	Битте һаҡларға
右クリック	уң төймә менән баҫыу
アドオンがインストールされていると操作できてしまいます	Әгәр өҫтәмә ҡуйылған булһа, һеҙ уны ҡуллана аласаҡһығыҙ.
コピー・カット	Күсерергә һәм ҡырҡып алырға
本プラグインの設定によってはこのイベントにたどり着くことはほとんどない場合があります	Был плагиндың көйләүҙәренә ҡарап, һеҙ был ваҡиғаны һирәк кенә осратырға мөмкинһегеҙ.
テキスト全選択	Бөтә текстты һайла
テキスト選択	Тексты һайла
デバッガー起動ログ、デバッガー妨害	Отладчикты эшләтеп ебәреү журналы, отладчиктың ҡыҫылыуы
デバッグモードの使い勝手を少し悪くし、デバッガを起動したことをログに残します、ブラウザによってはこの挙動が止められてしまいます	Был debug режимын ҡулланыусы өсөн бер аҙ уңайһыҙ итә һәм отладчик эшләтелгәнлеген теркәй; әммә ҡайһы бер браузерҙар был тәртипкә тыйыу ҡуйыуы мөмкин.
リダイレクトするURL	URL-ҙы йүнәлтеү
利用規約などのページに転送すると良いでしょう	Ҡулланыусыларҙы, мәҫәлән, «Ҡулланыу шарттары» битенә йүнәлтеү яҡшы идея булыр ине.
空欄にすると元のURLにリダイレクトをします	Әгәр буш ҡалдырылһа, ул оригиналь URL-ға йүнәлтеләсәк.
リダイレクトまでの時間	Ҡайтанан йүнәлтеүгә тиклемге ваҡыт
リダイレクトなし	Юнәлтеү юҡ
1秒	1 секунд
2秒	2 секунд
3秒	3 секунд
4秒	4 секунд
5秒	5 секунд
6秒	6 секунд
7秒	7 секунд
8秒	8 секунд
9秒	9 секунд
10秒	10 секунд
15秒	15 секунд
20秒	20 секунд
25秒	25 секунд
30秒	30 секунд
35秒	35 секунд
40秒	40 секунд
45秒	45 секунд
50秒	50 секунд
55秒	55 секунд
1分	1 минут
1分10秒	1 минут 10 секунд
1分20秒	1 минут 20 секунд
1分30秒	1 минут 30 секунд
1分40秒	1 минут 40 секунд
1分50秒	1 минут 50 секунд
2分	2 минут
ソース表示を許可する権限	Чығанаҡ кодын ҡарау рөхсәте
ADMINログイン時のみ通常のソース出力	Ғәҙәти сығанаҡ сығарылышы тик ADMIN исеме менән ингәндә генә
USERログインで通常のソース出力	Кулланыусы булараҡ ингәндә нормаль сығанаҡ сығышы
通常のHTML出力を管理者のみかユーザーログインかを選択します	Стандарт HTML-сығарылышты тик администраторҙарға ғына сикләргә йәки ҡулланыусы логины талап итергә һайлағыҙ.
画像を無理やりダウンロードして実際にダウンロードされるもの	Рәсемде көсләп йөкләү һәм ысынлап нимә йөкләнә
GIF形式で1×1ピクセルの透過画像	GIF форматындағы 1×1 пикселле үтә күренмәле рәсем
PNG形式で1×1ピクセルの透過画像	PNG форматындағы 1×1 пикселле үтә күренмәле рәсем
PNG形式で黄色い背景の警告画面	PNG форматында һары фонлы иҫкәртеү экраны
意味のないHTMLドキュメント	Мәғәнәһеҙ HTML документ
HTML保護時のHEADタグの出力	HTML һаҡланған осраҡта HEAD тегын сығарыу
出力しない	Баҫтырмағыҙ
TITLEタグのみ	Тик TITLE тегы ғына
WordpressのHEADタグより取得	WordPress HEAD тегынан алынды
企業用途の会員専用ページや社内ページなどでは「出力しない」、「TITLEタグのみ」で良いでしょう	Корпоратив ҡулланыу өсөн әғзаларға ғына тәғәйенләнгән биттәрҙә һәм эске биттәрҙә «Күрһәтмә» йәки «Тик TITLE-тег» вариантын һайлау етә.
WordpressのHEADタグから取得しないと、SNSのシェアでOGP画像が表示されません	Әгәр ҙә һеҙ WordPress HEAD тегынан был мәғлүмәтте алмаһағыҙ, социаль селтәрҙәрҙә уртаҡлашҡанда OGP рәсеме күрһәтелмәйәсәк.
画像botをアクセス禁止にする	Рәсем ботын блокла
画像botをHTMLに対し避けることにより、画像検索から直接リンクされることによって守れなかったコンテンツを守ることができます、ただし完全には対処することはできません	HTML-ға рәсем боттарының инеүен тыйып, рәсем эҙләү аша тура һылтанмаларҙан һаҡлап булмай торған контентты яҡлай алаһығыҙ; әммә был тулыһынса проблеманы хәл итмәй.
AI学習用botをアクセス禁止にする	AI-ты уҡытыу ботына инеүҙе блоклау
AIの学習用のbotをHTMLに対し避けることにより、AIで利用されないようにします、ただし完全には対処することはできません	HTML өсөн яһалма интеллектты уҡытыуға йүнәлтелгән боттарҙы ҡулланмау аша беҙ контенттың яһалма интеллект тарафынан файҙаланылмауын тәьмин итәбеҙ; әммә уны тулыһынса булдырмай ҡалыу мөмкин түгел.
ウェブアーカイブ、ウェブ魚拓をアクセス禁止にする	Веб-архивтарға һәм веб-шнупшоттарға инеүҙе блоклау
自動的に収集されるウェブアーカイブ並びにユーザーの任意で取得される魚拓のアクセスを禁止します、ただし完全には対処することはできません	Беҙ автоматик рәүештә йыйылған веб-архивтарға һәм ҡулланыусының үҙ теләге менән төшөрөлгән скриншоттарға инеүҙе тыябыҙ; әммә был эште тулыһынса булдырмайбыҙ.
無効なUAをアクセス禁止にする	Дөрөҫ булмаған ҡулланыусы агенттарҙы блоклау
ユーザーエイジェントの文字に不正な文字列があった場合のアクセスを避けます	Әгәр user agent юлдамаһында дөрөҫ булмаған символдар булһа, инеү тыяла.
Internet Explorerと旧Microsoft Edge(EdgeHTML)のアクセスに警告を表示する	Internet Explorer-ға һәм иҫке Microsoft Edge
Internet Explorerと旧Microsoft Edgeのアクセスを避けます	Internet Explorer һәм иҫке Microsoft Edge аша инеүҙе тыя
alertメッセージを表示する言語	Иҫкәртеү хәбәрҙәре күрһәтелгән тел
Wordpressの言語	WordPress телдәре
ブラウザの設定言語	Браузерҙың тел көйләүҙәре
メッセージをカスタム設定されている場合は言語を変更できません	Әгәр хәбәрҙәр көйләнгән булһа, телде үҙгәртә алмайһығыҙ.
同意画面の言語	Рөхсәт биреү экранының теле
view-sourceメッセージを表示する言語	«view-source» хәбәрен күрһәтеү өсөн тел
一時使用トークンの有効期限	Ваҡытлы токендарҙың ғәмәл ваҡыты
3分	3 минут
4分	4 минут
5分	5 минут
6分	6 минут
7分	7 минут
8分	8 минут
9分	9 минут
10分	10 минут
15分	15 минут
20分	20 минут
25分	25 минут
30分	30 минут
35分	35 минут
40分	40 минут
45分	45 минут
50分	50 минут
55分	55 минут
1時間	1 сәғәт
画像URL情報の有効期限を設定します	Рәсем URL-ы тураһында мәғлүмәттең ғәмәлдә булыу ваҡытын билдәләгеҙ
一度読み込まれると画像URL情報と一時使用トークンは無効化されます	Йөкләнгәндән һуң, рәсем URL-ы һәм ваҡытлыса токен ғәмәлдән сығарыласаҡ.
画像は遅延読み込みされますが、この指定した時間の30秒前に強制的に画像が読み込まれます	Рәсемдәр һорау буйынса йөкләнә, әммә билдәләнгән ваҡытҡа 30 секунд ҡалғас, улар автоматик рәүештә йөкләнәсәк.
一時使用トークンのビット数	Ваҡытлыса токендағы биттар һаны
画像URL情報を暗号化するのに一時使用トークンをパスワードとして使用しますが、その強度を指定します	Ваҡытлыса токен рәсем URL-ындағы мәғлүмәтте шифрлау өсөн пароль итеп ҡулланыла; был көйләү уның көсөн билдәләй.
ドロップダウンメニューの下に表示される選択肢にいくにつれて強度が強くなるものの、サーバーへの負荷が高くなり、HTML転送量が多くなることがあります	Раҫланған меню аҫтында күрһәтелгән варианттар барған һайын деталлерәк булһа ла, был серверға ҙур йөк һала һәм күп күләмле HTML-мәғлүмәт тапшырылыуына килтерә ала.
ハッシュ化アルゴリズム	Хэш алгоритмы
画像URL情報を暗号化するのに一時使用トークンをパスワードとして使用しますが、その時ハッシュ化が必要です、その強度を設定します	Рәсем URL-ындағы мәғлүмәтте шифрлау өсөн пароль итеп ваҡытлыса токен ҡулланыла; был хэшлауҙы талап итә, һәм был көйләү шул хэшлауҙың ныҡлығын билдәләй.
ドロップダウンメニューの下に表示される選択肢にいくにつれて強度が強くなるものの、サーバーへの負荷が高くなります	Түбән төшөрөлгән менюла күрһәтелгән варианттар исемлегенән аҫҡа табан хәрәкәт иткән һайын интенсивлыҡ арта, әммә был серверға ҙурыраҡ йөк һала.
基本設定	Төп көйләүҙәр
高度な設定	Ҡушымса көйләүҙәр
初期設定に戻す	Төп көйләүҙәрҙе кире ҡайтарыу
デザイン・音の設定	Дизайн һәм тауыш көйләүҙәре
イベントの設定	Сара көйләүҙәре
初回訪問時のお知らせの設定	Тәүге тапҡыр килеүҙәр өсөн хәбәрҙәр көйләү
メッセージの設定	Хәбәр көйләүҙәре
