設定	সেটিংস
画像保護が有効な場合のみ、画像を正常に配信するため、IPアドレスと画像ファイル名をハッシュ化したデータをデータベースに最大60分間保存する。	চিত্র সুরক্ষা সক্রিয় থাকলে চিত্রগুলো সঠিকভাবে সরবরাহিত হয় তা নিশ্চিত করতে, আমরা আইপি ঠিকানা ও চিত্র ফাইলের নামসহ হ্যাশকৃত তথ্য ডাটাবেসে সর্বোচ্চ ৬০ মিনিট পর্যন্ত সংরক্ষণ করি।
利用規約を設定する場合、必ずプライバシーポリシーに利用規約のリンクを設置して下さい	যদি আপনি ব্যবহারের শর্তাবলী সেট আপ করছেন, তবে অনুগ্রহ করে নিশ্চিত করুন যে আপনি আপনার গোপনীয়তা নীতিতে সেগুলোর একটি লিঙ্ক অন্তর্ভুক্ত করেছেন।
利用規約の文字列	ব্যবহারের শর্তাবলীর পাঠ
利用規約のページ	শর্তাবলী ও নিয়মাবলী পৃষ্ঠা
ページ選択なし	কোনও পৃষ্ঠা নির্বাচিত নয়
検索エンジン等のURL	সার্চ ইঞ্জিন ইত্যাদির জন্য URL-সমূহ
同意しなかった時に画面遷移する検索エンジンなどのURLを設定します	যখন সম্মতি দেওয়া হয় না তখন ব্যবহারকারীদের পুনঃনির্দেশ করে এমন সার্চ ইঞ্জিন এবং অনুরূপ সাইটগুলির জন্য URL সেট করুন।
デバッグモード、コンソールの警告メッセージ	ত্রুটি মোড, কনসোলের সতর্কবার্তা
右クリックの警告メッセージ	ডান-ক্লিক সতর্কবার্তা
印刷、PDF保存の警告メッセージ	PDF হিসেবে মুদ্রণ ও সংরক্ষণ সম্পর্কিত সতর্কবার্তা
スクリーンショットの警告メッセージ	স্ক্রিনশটে সতর্কবার্তা
スクリーンショットの疑いの警告メッセージ	সন্দেহভাজন স্ক্রিনশট সম্পর্কিত সতর্কবার্তা
テキスト全選択時の警告メッセージ	সমস্ত টেক্সট নির্বাচিত হলে সতর্কবার্তা
ページ保存の警告メッセージ	পৃষ্ঠা সংরক্ষণ সম্পর্কিত সতর্কবার্তা
コピー・カットした時に表示するメッセージ	কপি বা কাট করার সময় প্রদর্শিত বার্তা
HTMLソース表示時に表示するメッセージ	এইচটিএমএল সোর্স দেখার সময় প্রদর্শনের বার্তা
HTML難読化・保護時にソースの先頭に表示するメッセージ	HTML অস্পষ্টকরণ বা সুরক্ষার সময় সোর্স কোডের শীর্ষে প্রদর্শনের বার্তা
HTML保護時に一度限りの認証トークンが異常の場合に表示するメッセージ	এইচটিএমএল সুরক্ষার সময় এককালীন প্রমাণীকরণ টোকেন অসিদ্ধ হলে প্রদর্শনের বার্তা
CookieやJavascriptが有効でない場合に表示するメッセージ	কুকিজ বা জাভাস্ক্রিপ্ট নিষ্ক্রিয় থাকলে প্রদর্শনের বার্তা
実際にはJavascriptが無効時のみ表示されます	আসলে, এটি শুধুমাত্র তখনই প্রদর্শিত হয় যখন জাভাস্ক্রিপ্ট নিষ্ক্রিয় থাকে।
画像保護時に画像がダウンロードされ、その画像に表示するメッセージ 英語のみ	যখন একটি ছবি সুরক্ষিত থাকে, তখন তা ডাউনলোড হয় এবং ছবির উপর একটি বার্তা প্রদর্শিত হয়
HTML難読化 (圧縮)	এইচটিএমএল অবস্কিউরেশন
一般的なHTML圧縮です、難読化解除のサイトもあります	এটি স্ট্যান্ডার্ড HTML সংকোচন; এমন কিছু ওয়েবসাইটও আছে যা এটিকে ডিকোড করতে পারে।
このオプションを有効にするとview-sourceのログが取得できます	এই বিকল্পটি সক্ষম করলে আপনি ভিউ-সোর্স লগ পুনরুদ্ধার করতে পারবেন।
HTML保護	এইচটিএমএল সুরক্ষা
HTML圧縮以上に最小限のHTMLしか出力せず、BODYタグ内の内容が全く出力されなくなります	এটি শুধুমাত্র ন্যূনতম HTML আউটপুট করে—HTML সংকোচন ব্যবহার করার তুলনায়ও কম—এবং BODY ট্যাগের ভিতরের বিষয়বস্তু মোটেও আউটপুট হবে না।
Firefoxに対しては無効です	এটি ফায়ারফক্সে প্রযোজ্য নয়।
SEOに著しく影響があります	এটির এসইও-তে উল্লেখযোগ্য প্রভাব রয়েছে।
HTMLをJavaScriptで描画	জাভাস্ক্রিপ্ট ব্যবহার করে HTML রেন্ডার করা
Firefox対策としてHTMLをJavaScriptで描画をします	ফায়ারফক্সের সমস্যা এড়াতে আমরা জাভাস্ক্রিপ্ট ব্যবহার করে HTML রেন্ডার করি।
JavaScript描画で有効にするとウェブサイトの表示速度が著しく遅くなります	জাভাস্ক্রিপ্ট রেন্ডারিং সক্ষম করলে ওয়েবসাইটের লোডিং গতি উল্লেখযোগ্যভাবে ধীর হয়ে যাবে।
画像の保護	ছবির সুরক্ষা
imgタグが呼び出されるごとに画像を保護	প্রতি বার img ট্যাগ কল হলে ছবিটি সুরক্ষিত রাখুন।
出力される全HTMLのうち、Wordpressにアップロードされた画像をすべて保護	সমগ্র HTML আউটপুটের মধ্যে WordPress-এ আপলোড করা সমস্ত ছবি সুরক্ষিত করুন।
画像をダウンロードから保護します	ছবি ডাউনলোড হওয়া থেকে রক্ষা করে
画像データを保護した時にはほぼ完全なるダウンロードを阻止し、完全なるワンタイムURLを発行し、セッションに保存されたトークンで認証し、phpから画像を表示します、その為ほぼ完全な画像盗用を防ぎます	যখন ইমেজ ডেটা সুরক্ষিত থাকে, আমরা প্রায় সব ডাউনলোডই রোধ করি, অনন্য এককালীন ইউআরএল ইস্যু করি, সেশনে সংরক্ষিত টোকেন ব্যবহার করে প্রমাণীকরণ করি এবং PHP-এর মাধ্যমে ইমেজগুলো প্রদর্শন করি; এতে ইমেজ চুরির প্রায় সব ঘটনাই কার্যকরভাবে প্রতিরোধ হয়।
画像データを保護した時には画像のキャッシュが効かないため、次回訪問時にサイトの読み込みが遅くなるため、SEOに影響があります	যখন ইমেজ ডেটা সুরক্ষিত থাকে, ক্যাশিং কাজ করে না, যার ফলে পরবর্তী ভিজিটগুলিতে সাইটটি ধীরে লোড হবে এবং এতে এসইও প্রভাবিত হয়।
画像データを保護した時には、データベースの負荷が高くなる可能性があります	ইমেজ ডেটা সুরক্ষিত করলে ডাটাবেসের লোড বাড়তে পারে।
「imgタグが呼び出されるごとに画像を保護」の場合は、add_filterを使用し、imgタグの発行時にフィルタリングを行います、テーマによっては正しく動作しません	যদি আপনি 'যখনই img ট্যাগ কল করা হয় তখনই ছবি সুরক্ষিত করো' নির্বাচন করেন, সিস্টেম img ট্যাগ তৈরি করার সময় ফিল্টারিং প্রয়োগ করতে add_filter ব্যবহার করে; তবে কিছু থিমে এটি সঠিকভাবে কাজ নাও করতে পারে।
「出力される全HTMLのうち、Wordpressにアップロードされた画像をすべて保護」の場合は、Wordpressのほぼすべての動作をキャプチャし、コンテンツ内のimgタグについてすべて処理します。テーマによっては正しく動作しません	যদি আপনি 'সমগ্র HTML আউটপুটে WordPress-এ আপলোড করা সব ছবি সুরক্ষিত করুন' নির্বাচন করেন, তাহলে প্লাগইনটি প্রায় সব WordPress অপারেশন ক্যাপচার করবে এবং বিষয়বস্তুর প্রতিটি img ট্যাগ প্রক্রিয়া করবে। অনুগ্রহ করে লক্ষ্য করুন যে কিছু থিমের সাথে এটি সঠিকভাবে কাজ নাও করতে পারে।
なお、アイキャッチに指定した画像はOGPとして拡散されますので保護できません。どうしても保護すべき場合は高度な設定でHTML保護時のHEADタグの出力の選択を変更してください	অনুগ্রহ করে লক্ষ্য করুন যে ফিচারড ইমেজ হিসেবে চিহ্নিত ছবিগুলো OGP ডেটা হিসেবে শেয়ার হবে এবং সুরক্ষিত করা যাবে না। যদি আপনাকে অবশ্যই সেগুলো সুরক্ষিত করতেই হয়, তাহলে HTML সুরক্ষা সক্ষম করার সময় উন্নত সেটিংসে HEAD ট্যাগ আউটপুটের সেটিং পরিবর্তন করুন।
OS標準搭載のスクリーンショット機能を保護することはできません	অপারেটিং সিস্টেমে অন্তর্নির্মিত স্ক্রিনশট ফাংশন সুরক্ষিত করা যাবে না।
画像URLの保護	ইমেজ ইউআরএল সুরক্ষা
画像の保護と組み合わせて使用します、単体では意味がありません	এটি চিত্র সুরক্ষার সাথে একত্রে ব্যবহার করা উচিত; একা এটি কোনো কাজে আসে না।
JavaScriptにより遅延読まれますのでSEOに影響があります	যেহেতু এটি জাভাস্ক্রিপ্টের মাধ্যমে অলসভাবে লোড হয়, তাই এটি এসইও-কে প্রভাবিত করে।
画像のウォーターマーク	ছবির ওয়াটারমার্ক
右下	ডান নিচের অংশ
ランダム位置	এলোমেলো অবস্থান
画像の保護と組み合わせて使用します、動的な透かしで著作権を明示しつつ、閲覧者に監視されている印象を与え抑止力を高めます	ছবি সুরক্ষার সঙ্গে সমন্বয়ে ব্যবহৃত হলে, গতিশীল ওয়াটারমার্কগুলি স্পষ্টভাবে কপিরাইট মালিকানা নির্দেশ করে এবং দর্শকদের তারা পর্যবেক্ষণ করা হচ্ছে এমন অনুভূতি দেয়, ফলে এটি প্রতিরোধক হিসেবে কাজ করে।
JPG形式、PNG形式、WebP形式のみ対応します	শুধুমাত্র JPG, PNG এবং WebP ফরম্যাট সমর্থিত।
有効にするとサーバーの負荷が高くなります	এটি সক্ষম করলে সার্ভারের লোড বৃদ্ধি পাবে।
HTML難読化・保護時のHTMLソースコードのアスキーアートの出力	অবফুস্কেশন এবং সুরক্ষার সময় HTML সোর্স কোড থেকে ASCII আর্ট আউটপুট করা
表示なし	কোনও প্রদর্শনী নেই
view-sourceでHTMLソース表示をした時に警告の意思を示すアスキーアートを表示します	'view-source' ব্যবহার করে HTML সোর্স দেখার সময় সতর্কবার্তা নির্দেশ করে এমন ASCII আর্ট প্রদর্শন করে।
対象アクションを起こした時の表示デザイン	লক্ষ্য ক্রিয়া সম্পন্ন হলে ডিজাইন প্রদর্শন করুন
黄色の背景の黒文字のベーシックデザイン	হলুদ পটভূমিতে কালো লেখার একটি মৌলিক ডিজাইন
黒色の背景の赤文字のホラー風デザイン	কালো পটভূমিতে লাল টেক্সটসহ একটি হরর-স্টাইলের ডিজাইন
黒色の背景の赤文字の光る文字のデザイン	কালো পটভূমিতে উজ্জ্বল লাল টেক্সটযুক্ত একটি ডিজাইন
対象アクションを起こした時のBGM	লক্ষ্য ক্রিয়া সম্পাদিত হলে বাজানো পটভূমি সঙ্গীত
サウンドなし	কোনও শব্দ নেই
戦闘＆戦闘勝利 - 1分16.3秒 - 630,056bytes - 64kbps - ライセンス：CC2.1 or later	যুদ্ধ ও বিজয় - ১ মিনিট ১৬.৩ সেকেন্ড - ৬৩০,০৫৬ বাইট - ৬৪ কেবিপিএস - লাইসেন্স: CC 2.1 বা পরবর্তী
おやじ ショート - 3.8秒 - 32,364bytes - 64kbps - ライセンス GPL2.0 or later (C)EJ	ড্যাড শর্ট - ৩.৮ সেকেন্ড - ৩২,৩৬৪ বাইট - ৬৪ কেবিপিএস - লাইসেন্স: GPL 2.0 বা পরবর্তী
おやじ ロング - 23.5秒 - 195,578bytes - 64kbps - ライセンス GPL2.0 or later (C)EJ	ওয়াজি লং - ২৩.৫ সেকেন্ড - ১৯৫,৫৭৮ বাইট - ৬৪ কেবিপিএস - লাইসেন্স: GPL 2.0 বা পরবর্তী
ショパン エチュード Op.10-5 黒鍵 打ち込み版 高速版 - 1分0.0秒 - 369,778bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	চোপিন এট্যুড ওপাস ১০ নং ৫
ショパン エチュード Op.10-12 革命 打ち込み版 高速版 - 1分57.6秒 - 724,457bytes - 48kbps -  ライセンス：CC BY-ND 4.0 or later	চোপিন এট্যুড ওপাস ১০ নং ১২ 'রেভোলিউশন' – কম্পিউটার-উৎপাদিত সংস্করণ, উচ্চ-গতি – ১ মিনিট ৫৭.৬ সেকেন্ড – ৭২৪,৪৫৭ বাইট – ৪৮ কেবিপিএস – লাইসেন্স: CC BY-ND 4.0 বা পরবর্তী
ショパン スケルツォ 変ロ短調 Op2 打ち込み版 高速短縮版 - 1分48.0秒 - 665,369bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	চোপিন: বি-ফ্ল্যাট মাইনরে স্কেржао, ওপাস ২ – কম্পিউটার-উৎপাদিত সংস্করণ, উচ্চ-গতির সংক্ষিপ্ত সংস্করণ – ১ মিনিট ৪৮.০ সেকেন্ড – ৬৬৫,৩৬৯ বাইট – ৪৮ কেবিপিএস – লাইসেন্স: CC BY-ND 4.0 বা পরবর্তী
リスト 超絶技巧練習曲 4番 マゼッパ 打ち込み版 高速短縮版 - 1分51.6秒 - 687,586bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	তালিকা: Étude d'Exécution Transcendante নং ৪, 'মেজেপা' – কম্পিউটার-উত্পন্ন সংস্করণ, উচ্চ-গতির সংক্ষিপ্ত সংস্করণ – ১ মিনিট ৫১.৬ সেকেন্ড – ৬৮৭,৫৮৬ বাইট – ৪৮ কেবিপিএস – লাইসেন্স: CC BY-ND 4.0 বা পরবর্তী
ファンファーレ - 22.3秒 - 183,926bytes - 64kbps - ライセンス：パブリックドメイン	ফ্যানফেয়ার – ২২.৩ সেকেন্ড – ১৮৩,৯২৬ বাইট – ৬৪ কেবিপিএস – লাইসেন্স: পাবলিক ডোমেইন
レトロ風ファンファーレ - 2.2秒 - 10,536bytes - 32kbps - ライセンス：パブリックドメイン	রেট্রো-স্টাইল ফ্যানফেয়ার – ২.২ সেকেন্ড – ১০,৫৩৬ বাইট – ৩২ কেবিপিএস – লাইসেন্স: পাবলিক ডোমেইন
レトロ風オープン - 42.1秒 - 179,138bytes - 32kbps - ライセンス：パブリックドメイン	রেট্রো-স্টাইল ইন্ট্রো – ৪২.১ সেকেন্ড – ১৭৯,১৩৮ বাইট – ৩২ কেবিপিএস – লাইসেন্স: পাবলিক ডোমেইন
警告 by ChatGPT - 3.8秒 - 109,700bytes - 256kbps - ライセンス：パブリックドメイン	 ChatGPT-এর সতর্কবার্তা - ৩.৮ সেকেন্ড - ১০৯,৭০০ বাইট - ২৫৬ কেবিপিএস - লাইসেন্স: পাবলিক ডোমেইন
マルウェア検出みたいな緊急感の高い音 その１ by ChatGPT - 3.3秒 - 102,850bytes - 256kbps - ライセンス：パブリックドメイン	একটি উচ্চ-জরুরি সাউন্ড, ম্যালওয়্যার সনাক্তকরণের সতর্কবার্তার মতো – পার্ট ১, ChatGPT দ্বারা – ৩.৩ সেকেন্ড – ১০২,৮৫০ বাইট – ২৫৬ কেবিপিএস – লাইসেন্স: পাবলিক ডোমেইন
マルウェア検出みたいな緊急感の高い音 その２ by ChatGPT - 3.3秒 - 103,122bytes - 256kbps - ライセンス：パブリックドメイン	একটি উচ্চ-জরুরি সাউন্ড, ম্যালওয়্যার সনাক্তকরণের সতর্কবার্তার মতো, পার্ট ২ ChatGPT দ্বারা - ৩.৩ সেকেন্ড - ১০৩,১২২ বাইট - ২৫৬ কেবিপিএস - লাইসেন্স: পাবলিক ডোমেইন
MRI風サウンド by ChatGPT - 1分14.9秒 - 3,340,392bytes - 320kbps - ライセンス：パブリックドメイン	এমআরআই-স্টাইল সাউন্ড ChatGPT দ্বারা – ১ মিনিট ১৪.৯ সেকেন্ড – ৩,৩৪০,৩৯২ বাইট – ৩২০ কেবিপিএস – লাইসেন্স: পাবলিক ডোমেইন
警告表示中のBGMを選択します	সতর্কবার্তার সময় বাজানোর জন্য পটভূমি সঙ্গীত নির্বাচন করুন।
びっくりするような雰囲気を作ります	এটি একটি আশ্চর্যজনক পরিবেশ তৈরি করে।
Firefoxでは音声ブロックされます	ফায়ারফক্সে অডিও ব্লক করা হয়েছে।
対象アクションを起こした時のビープ音	নির্দিষ্ট কর্ম সম্পাদিত হলে একটি বীপ
有効 音量小さ目	চালু, ভলিউম কম
有効 音量大き目	সক্রিয়, ভলিউম উচ্চ পর্যায়ে সেট করা আছে
警告表示中にすべてのキー・マウスイベントでビープ音を鳴らします	একটি বিপ শব্দ হবে সমস্ত কী এবং মাউস ইভেন্টের জন্য, যখন একটি সতর্কবার্তা প্রদর্শিত হবে।
警告表示中に端末が暴走したかのような雰囲気を作ります	এটি এমন একটা ধারণা তৈরি করে যে সতর্কবার্তা প্রদর্শনের সময় ডিভাইসটি নিয়ন্ত্রণহীন হয়ে পড়েছে।
対象アクションを起こした時のマウスカーソルの消去	নির্দিষ্ট কোনো ক্রিয়া সম্পাদিত হলে মাউস কার্সর লুকানো
警告表示中にブラウザのエリアのマウスカーソルを消去します	সতর্কবার্তা প্রদর্শনের সময় ব্রাউজার এলাকায় মাউস কার্সর লুকিয়ে রাখে।
デバッグモード	ত্রুটি নির্মূল মোড
妨害＋記録のみ	শুধুমাত্র হস্তক্ষেপ + রেকর্ডস
妨害＋記録＋表示＋リダイレクト	হস্তক্ষেপ + লগিং + প্রদর্শন + পুনঃনির্দেশ
メニューからは操作できてしまいます	আপনি এখনও মেনুর মাধ্যমে এটিতে অ্যাক্সেস করতে পারবেন।
Firefoxにおけるデバッグモード	ফায়ারফক্সে ডিবাগ মোড
ブラウザーコンソール	ব্রাউজার কনসোল
事実上デバッグモードから操作できてしまいます	বাস্তবে, আপনি এটিকে ডিবাগ মোড থেকে চালাতে পারেন।
HTMLソース表示	এইচটিএমএল উৎস দেখুন
view-source:から始まるURLを入力すれば操作できてしまいます	আপনি কেবল 'view-source:' দিয়ে শুরু হওয়া একটি URL লিখে অপারেশনটি সম্পন্ন করতে পারেন।
HTML保護と組み合わせることでコンテンツを保護することができます	আপনি এইটিকে HTML সুরক্ষার সাথে মিলিয়ে আপনার বিষয়বস্তু সুরক্ষিত করতে পারেন।
印刷	প্রিন্ট করুন
印刷阻止をするもものの、ブラウザによってはうまく動作しません	যদিও এটি প্রিন্ট বন্ধ করে, কিছু ব্রাউজারে এটি সঠিকভাবে কাজ নাও করতে পারে।
スクリーンショット	স্ক্রিনশট
OSやブラウザ、方法によっては妨害できず、もしくは検出しないことがあります	ব্যবহৃত অপারেটিং সিস্টেম, ব্রাউজার বা পদ্ধতির উপর নির্ভর করে, এটি ব্লক করা সম্ভব নাও হতে পারে, অথবা এটি সনাক্তও নাও হতে পারে।
ウインドウが背面に移動した時スクリーンショットの疑い	উইন্ডো পটভূমিতে সরে গেলে সন্দেহজনক স্ক্রিনশট
あわせて、スクリーンショット以外の機能（タブ切り替え・ウィンドウ切り替え）にも反応してしまいます。	এটি স্ক্রিনশট ছাড়াও অন্যান্য ফাংশনেও সাড়া দেয়
2キー押下のスクリーンショットの疑い	দুটি কী একসঙ্গে চেপে নেওয়া সন্দেহভাজন স্ক্রিনশট
上の項目の検出方法は完全ではありません、予防的に検出を行います	উপরোক্ত আইটেমগুলির সনাক্তকরণ পদ্ধতি সম্পূর্ণ নির্ভরযোগ্য নয়; সনাক্তকরণ সতর্কতামূলক ব্যবস্থা হিসেবে করা হয়।
スクリーンショットだけではなく、デバッグモード等も検出します	এটি শুধুমাত্র স্ক্রিনশটই নয়, ডিবাগ মোড এবং এ ধরনের অন্যান্য বিষয়ও সনাক্ত করে।
ページ保存	পৃষ্ঠা সংরক্ষণ করুন
右クリック	ডান-ক্লিক করুন
アドオンがインストールされていると操作できてしまいます	যদি অ্যাড-অনটি ইনস্টল করা থাকে, আপনি এটি ব্যবহার করতে পারবেন।
コピー・カット	কপি এবং কাটুন
本プラグインの設定によってはこのイベントにたどり着くことはほとんどない場合があります	এই প্লাগইনের সেটিংসের উপর নির্ভর করে, আপনি এই ইভেন্টটি খুব কমই দেখতে পারেন।
テキスト全選択	সমস্ত টেক্সট নির্বাচন করুন
テキスト選択	টেক্সট নির্বাচন করুন
デバッガー起動ログ、デバッガー妨害	ডিবাগার স্টার্টআপ লগ, ডিবাগার হস্তক্ষেপ
デバッグモードの使い勝手を少し悪くし、デバッガを起動したことをログに残します、ブラウザによってはこの挙動が止められてしまいます	এটি ডিবাগ মোডকে কিছুটা কম ব্যবহারকারী-বান্ধব করে তোলে এবং ডিবাগার চালু হওয়ার বিষয়টি লগ করে; তবে কিছু ব্রাউজার এই আচরণটি ব্লক করতে পারে।
リダイレクトするURL	ইউআরএল পুনঃনির্দেশ করুন
利用規約などのページに転送すると良いでしょう	ব্যবহারকারীদের শর্তাবলী পৃষ্ঠার মতো পৃষ্ঠাগুলিতে পুনঃনির্দেশ করা একটি ভাল ধারণা হবে।
空欄にすると元のURLにリダイレクトをします	যদি ফাঁকা রাখা হয়, এটি মূল URL-এ পুনঃনির্দেশ করবে।
リダイレクトまでの時間	পুনঃনির্দেশ পর্যন্ত সময়
リダイレクトなし	কোনও পুনঃনির্দেশ নেই
1秒	১ সেকেন্ড
2秒	২ সেকেন্ড
3秒	৩ সেকেন্ড
4秒	৪ সেকেন্ড
5秒	৫ সেকেন্ড
6秒	৬ সেকেন্ড
7秒	৭ সেকেন্ড
8秒	৮ সেকেন্ড
9秒	৯ সেকেন্ড
10秒	১০ সেকেন্ড
15秒	১৫ সেকেন্ড
20秒	২০ সেকেন্ড
25秒	২৫ সেকেন্ড
30秒	৩০ সেকেন্ড
35秒	৩৫ সেকেন্ড
40秒	৪০ সেকেন্ড
45秒	৪৫ সেকেন্ড
50秒	৫০ সেকেন্ড
55秒	৫৫ সেকেন্ড
1分	১ মিনিট
1分10秒	১ মিনিট ১০ সেকেন্ড
1分20秒	১ মিনিট ২০ সেকেন্ড
1分30秒	এক মিনিট ত্রিশ সেকেন্ড
1分40秒	১ মিনিট ৪০ সেকেন্ড
1分50秒	১ মিনিট ৫০ সেকেন্ড
2分	২ মিনিট
ソース表示を許可する権限	সোর্স কোড দেখার অনুমতি
ADMINログイン時のみ通常のソース出力	স্বাভাবিক উৎস আউটপুট শুধুমাত্র ADMIN হিসেবে লগ ইন করার সময়ই দেখা যাবে।
USERログインで通常のソース出力	ইউজার হিসেবে লগইন করার সময় স্বাভাবিক সোর্স আউটপুট
通常のHTML出力を管理者のみかユーザーログインかを選択します	নির্বাচন করুন স্ট্যান্ডার্ড HTML আউটপুট শুধুমাত্র প্রশাসকদের জন্য সীমাবদ্ধ থাকবে নাকি ব্যবহারকারীর লগইন প্রয়োজন হবে।
画像を無理やりダウンロードして実際にダウンロードされるもの	একটি ইমেজ ডাউনলোড করতে বাধ্য করা এবং প্রকৃতপক্ষে কী ডাউনলোড হয়
GIF形式で1×1ピクセルの透過画像	GIF ফরম্যাটে একটি 1×1 পিক্সেলের স্বচ্ছ চিত্র
PNG形式で1×1ピクセルの透過画像	PNG ফরম্যাটে 1×1 পিক্সেলের স্বচ্ছ চিত্র
PNG形式で黄色い背景の警告画面	PNG ফরম্যাটে হলুদ পটভূমি সহ একটি সতর্কতা স্ক্রীন
意味のないHTMLドキュメント	একটি অর্থহীন HTML ডকুমেন্ট
HTML保護時のHEADタグの出力	যখন HTML সুরক্ষিত থাকে তখন HEAD ট্যাগের আউটপুট
出力しない	প্রিন্ট করবেন না
TITLEタグのみ	শুধুমাত্র TITLE ট্যাগ
WordpressのHEADタグより取得	ওয়ার্ডপ্রেসের HEAD ট্যাগ থেকে সংগৃহীত
企業用途の会員専用ページや社内ページなどでは「出力しない」、「TITLEタグのみ」で良いでしょう	কর্পোরেট ব্যবহারের জন্য শুধুমাত্র সদস্যদের জন্য পৃষ্ঠা এবং অভ্যন্তরীণ পৃষ্ঠাগুলির ক্ষেত্রে 'Do not output' বা 'TITLE tag only' নির্বাচন করলেই যথেষ্ট হবে।
WordpressのHEADタグから取得しないと、SNSのシェアでOGP画像が表示されません	আপনি যদি WordPress HEAD ট্যাগ থেকে তথ্য পুনরুদ্ধার না করেন, তাহলে সামাজিক মাধ্যমে শেয়ার করার সময় OGP ইমেজ প্রদর্শিত হবে না।
画像botをアクセス禁止にする	ইমেজ বটটিকে ব্লক করুন
画像botをHTMLに対し避けることにより、画像検索から直接リンクされることによって守れなかったコンテンツを守ることができます、ただし完全には対処することはできません	ইমেজ বটগুলোকে HTML অ্যাক্সেস করতে বাধা দিয়ে, আপনি এমন বিষয়বস্তু রক্ষা করতে পারেন যা ইমেজ সার্চের মাধ্যমে সরাসরি লিঙ্কিং থেকে সুরক্ষিত করা যায়নি; তবে এটি সম্পূর্ণ সমাধান নয়।
AI学習用botをアクセス禁止にする	এআই প্রশিক্ষণ বটের অ্যাক্সেস ব্লক করুন
