設定	அமைப்புகள்
画像データを保護した時には、データベースの負荷が高くなる可能性があります	படத் தரவைப் பாதுகாப்பது தரவுத்தளத்தின் சுமையை அதிகரிக்கக்கூடும்.
「imgタグが呼び出されるごとに画像を保護」の場合は、add_filterを使用し、imgタグの発行時にフィルタリングを行います、テーマによっては正しく動作しません	நீங்கள் 'img டேக் அழைக்கப்படும் போதெல்லாம் படங்களைப் பாதுகாக்கவும்' என்பதைத் தேர்ந்தெடுத்தால், img டேக் உருவாக்கப்படும்போது வடிகட்டுதலைப் பயன்படுத்த அமைப்பு add_filter-ஐப் பயன்படுத்துகிறது; இருப்பினும், இது சில தீம்களுடன் சரியாகச் செயல்படாமல் போகலாம்.
「出力される全HTMLのうち、Wordpressにアップロードされた画像をすべて保護」の場合は、Wordpressのほぼすべての動作をキャプチャし、コンテンツ内のimgタグについてすべて処理します。テーマによっては正しく動作しません	'முழு HTML வெளியீட்டிற்குள் வேர்ட்பிரஸில் பதிவேற்றப்பட்ட அனைத்து படங்களையும் பாதுகாக்கவும்' என்பதை நீங்கள் தேர்ந்தெடுத்தால், இந்த செருகுநிரல் ஏறக்குறைய அனைத்து வேர்ட்பிரஸ் செயல்பாடுகளையும் பதிவுசெய்து, உள்ளடக்கத்தில் உள்ள ஒவ்வொரு img குறிச்சொல்லையும் செயலாக்கும். சில தீம்களுடன் இது சரியாக வேலை செய்யாமல் போகலாம் என்பதை நினைவில் கொள்ளவும்.
なお、アイキャッチに指定した画像はOGPとして拡散されますので保護できません。どうしても保護すべき場合は高度な設定でHTML保護時のHEADタグの出力の選択を変更してください	சிறப்புப் படங்களாகக் குறிக்கப்படும் படங்கள் OGP தரவுகளாகப் பகிரப்படும் என்பதையும், அவற்றைப் பாதுகாக்க முடியாது என்பதையும் தயவுசெய்து கவனத்தில் கொள்ளவும். அவற்றை நீங்கள் கட்டாயம் பாதுகாக்க வேண்டும் என்றால், HTML பாதுகாப்பை இயக்கும்போது, மேம்பட்ட அமைப்புகளில் HEAD குறிச்சொல் வெளியீட்டிற்கான அமைப்பை மாற்றவும்.
OS標準搭載のスクリーンショット機能を保護することはできません	ஆப்பரேட்டிங் சிஸ்டத்தில் நிலையாக சேர்க்கப்பட்டுள்ள ஸ்கிரீன்ஷாட் செயல்பாட்டைப் பாதுகாக்க முடியாது.
画像URLの保護	பட URL-களைப் பாதுகாத்தல்
画像の保護と組み合わせて使用します、単体では意味がありません	இதை படப் பாதுகாப்போடு இணைத்தே பயன்படுத்த வேண்டும்; தனியாகப் பயன்படுத்தினால், இதற்கு எந்தப் பயனும் இல்லை.
JavaScriptにより遅延読まれますのでSEOに影響があります	இது ஜாவாஸ்கிரிப்ட் மூலம் சோம்பேறித்தனமாக ஏற்றப்படுவதால், இது எஸ்சிஓ-வைப் பாதிக்கிறது.
画像のウォーターマーク	பட நீர் அடையாளம்
右下	கீழ் வலதுபுறம்
ランダム位置	யாதிருசயமான நிலை
画像の保護と組み合わせて使用します、動的な透かしで著作権を明示しつつ、閲覧者に監視されている印象を与え抑止力を高めます	படப் பாதுகாப்போடு இணைந்து பயன்படுத்தப்படும் இயக்கவியல் நீர் அடையாளங்கள், பதிப்புரிமை உரிமையைத் தெளிவாகக் குறிப்பிடுவதோடு, பார்வையாளர்கள் கண்காணிக்கப்படுகிறார்கள் என்ற எண்ணத்தையும் ஏற்படுத்தி, அதன் மூலம் தடுப்பு நடவடிக்கையாகச் செயல்படுகின்றன.
JPG形式、PNG形式、WebP形式のみ対応します	JPG, PNG மற்றும் WebP வடிவங்கள் மட்டுமே ஆதரிக்கப்படுகின்றன.
有効にするとサーバーの負荷が高くなります	இதை இயக்குவது சேவையகத்தின் சுமையை அதிகரிக்கும்.
HTML難読化・保護時のHTMLソースコードのアスキーアートの出力	மங்கலாக்கம் மற்றும் பாதுகாப்பின் போது HTML மூலக் குறியீட்டிலிருந்து ASCII கலை வெளியிடுதல்
表示なし	காட்சி இல்லை
view-sourceでHTMLソース表示をした時に警告の意思を示すアスキーアートを表示します	'view-source' பயன்படுத்தி HTML மூலத்தைக் காணும்போது, எச்சரிக்கையைக் குறிக்கும் ASCII கலைப்படைப்பைக் காட்டுகிறது.
対象アクションを起こした時の表示デザイン	குறிக்கோள் செயல்பாடு செய்யப்படும்போது காட்சியை வடிவமைக்கவும்
黄色の背景の黒文字のベーシックデザイン	மஞ்சள் பின்னணியில் கருப்பு உரையைக் கொண்ட ஒரு அடிப்படை வடிவமைப்பு
黒色の背景の赤文字のホラー風デザイン	கருப்புப் பின்னணியில் சிவப்பு எழுத்துக்களுடன் கூடிய ஒரு திகில் பாணி வடிவமைப்பு
黒色の背景の赤文字の光る文字のデザイン	கருப்புப் பின்னணியில் ஒளிரும் சிவப்பு உரையைக் கொண்ட ஒரு வடிவமைப்பு
対象アクションを起こした時のBGM	இலக்கு செயல்பாடு செய்யப்படும்போது ஒலிக்கும் பின்னணி இசை
サウンドなし	ஒலி இல்லை
戦闘＆戦闘勝利 - 1分16.3秒 - 630,056bytes - 64kbps - ライセンス：CC2.1 or later	போர் மற்றும் வெற்றி - 1 நிமிடம் 16.3 வினாடிகள் - 630,056 பைட்டுகள் - 64 kbps - உரிமம்: CC 2.1 அல்லது அதற்குப் பிந்தையது
おやじ ショート - 3.8秒 - 32,364bytes - 64kbps - ライセンス GPL2.0 or later (C)EJ	அப்பா ஷார்ட் - 3.8 வினாடிகள் - 32,364 பைட்டுகள் - 64 kbps - உரிமம்: GPL 2.0 அல்லது பிந்தையது
おやじ ロング - 23.5秒 - 195,578bytes - 64kbps - ライセンス GPL2.0 or later (C)EJ	ஓயாஜி லாங் - 23.5 வினாடிகள் - 195,578 பைட்டுகள் - 64 kbps - உரிமம்: GPL 2.0 அல்லது அதற்குப் பிந்தையது
ショパン エチュード Op.10-5 黒鍵 打ち込み版 高速版 - 1分0.0秒 - 369,778bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	ஷோபன் எட்டுட் ஓ.பி. 10 எண் 5
ショパン エチュード Op.10-12 革命 打ち込み版 高速版 - 1分57.6秒 - 724,457bytes - 48kbps -  ライセンス：CC BY-ND 4.0 or later	ஷோபன் எட்டுட் ஓ.பி. 10 எண் 12 'புரட்சி' – கணினி உருவாக்கிய பதிப்பு, அதிவேகப் பதிப்பு – 1 நிமிடம் 57.6 வினாடிகள் – 724,457 பைட்டுகள் – 48 kbps – உரிமம்: CC BY-ND 4.0 அல்லது அதற்குப் பிந்தையது
ショパン スケルツォ 変ロ短調 Op2 打ち込み版 高速短縮版 - 1分48.0秒 - 665,369bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	ஷோபன்: ஷெர்சோ இன் பி பிளாட் மைனர், ஓப். 2 – கணினியால் உருவாக்கப்பட்ட பதிப்பு, அதிவேக சுருக்கப்பட்ட பதிப்பு – 1 நிமிடம் 48.0 வினாடிகள் – 665,369 பைட்டுகள் – 48 kbps – உரிமம்: CC BY-ND 4.0 அல்லது அதற்குப் பிந்தையது
リスト 超絶技巧練習曲 4番 マゼッパ 打ち込み版 高速短縮版 - 1分51.6秒 - 687,586bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	பட்டியல்: எட்டுட் டி'எக்சிகியூஷன் எண் 4 'மேசெப்பா'
ファンファーレ - 22.3秒 - 183,926bytes - 64kbps - ライセンス：パブリックドメイン	வெற்றி ஆரவாரம் – 22.3 வினாடிகள் – 183,926 பைட்டுகள் – 64 kbps – உரிமம்: பொதுக் களஞ்சியம்
レトロ風ファンファーレ - 2.2秒 - 10,536bytes - 32kbps - ライセンス：パブリックドメイン	ரெட்ரோ பாணி ஆரவாரம் – 2.2 வினாடிகள் – 10,536 பைட்டுகள் – 32 kbps – உரிமம்: பொதுக் களஞ்சியம்
レトロ風オープン - 42.1秒 - 179,138bytes - 32kbps - ライセンス：パブリックドメイン	ரெட்ரோ பாணி அறிமுகம் – 42.1 வினாடிகள் – 179,138 பைட்டுகள் – 32 kbps – உரிமம்: பொதுக் களம்
警告 by ChatGPT - 3.8秒 - 109,700bytes - 256kbps - ライセンス：パブリックドメイン	ChatGPT எச்சரிக்கை - 3.8 வினாடிகள் - 109,700 பைட்டுகள் - 256 kbps - உரிமம்: பொதுக் களம்
マルウェア検出みたいな緊急感の高い音 その１ by ChatGPT - 3.3秒 - 102,850bytes - 256kbps - ライセンス：パブリックドメイン	ஒரு தீங்கிழைப்பு மென்பொருள் கண்டறிதல் எச்சரிக்கையைப் போன்ற உயர்-அவசர ஒலி – பகுதி 1 ChatGPT-ஆல் – 3.3 வினாடிகள் – 102,850 பைட்டுகள் – 256 kbps – உரிமம்: பொதுக் களம்
マルウェア検出みたいな緊急感の高い音 その２ by ChatGPT - 3.3秒 - 103,122bytes - 256kbps - ライセンス：パブリックドメイン	ஒரு தீங்கிழைப்பு மென்பொருள் கண்டறிதல் எச்சரிக்கையைப் போன்ற உயர்-அவசர ஒலி, பகுதி 2, ChatGPT-ஆல் உருவாக்கப்பட்டது - 3.3 வினாடிகள் - 103,122 பைட்டுகள் - 256 kbps - உரிமம்: பொதுக் களத்தில்
MRI風サウンド by ChatGPT - 1分14.9秒 - 3,340,392bytes - 320kbps - ライセンス：パブリックドメイン	ChatGPT-யின் MRI-பாணி ஒலி – 1 நிமிடம் 14.9 வினாடிகள் – 3,340,392 பைட்டுகள் – 320 kbps – உரிமம்: பொதுக் களம்
警告表示中のBGMを選択します	எச்சரிக்கையின் போது ஒலிபரப்பப்படும் பின்னணி இசையைத் தேர்ந்தெடுக்கவும்
びっくりするような雰囲気を作ります	இது ஒரு வியப்பூட்டும் சூழலை உருவாக்குகிறது
Firefoxでは音声ブロックされます	ஃபயர்பாக்ஸில் ஆடியோ தடுக்கப்பட்டுள்ளது
対象アクションを起こした時のビープ音	குறிப்பிடப்பட்ட செயல்பாடு செய்யப்படும்போது ஒரு பீப் ஒலி
有効 音量小さ目	இணைக்கப்பட்டுள்ளது, ஒலி குறைவாக உள்ளது
有効 音量大き目	செயல்படுகிறது, ஒலி அளவு அதிகமாக உள்ளது
警告表示中にすべてのキー・マウスイベントでビープ音を鳴らします	எச்சரிக்கை காட்டப்படும்போது, அனைத்து விசை மற்றும் சுட்டி நிகழ்வுகளுக்கும் ஒரு பீப் ஒலிக்கும்.
警告表示中に端末が暴走したかのような雰囲気を作ります	எச்சரிக்கை காட்டப்படும்போது, சாதனம் கட்டுப்பாடில்லாமல் சென்றுவிட்டது போன்ற ஒரு தோற்றத்தை இது உருவாக்குகிறது.
対象アクションを起こした時のマウスカーソルの消去	ஒரு குறிப்பிட்ட செயல்பாடு செய்யப்படும்போது மவுஸ் சுட்டியை மறைத்தல்
警告表示中にブラウザのエリアのマウスカーソルを消去します	எச்சரிக்கை காட்டப்படும்போது, உலாவிப் பகுதியில் மவுஸ் சுட்டியை மறைக்கிறது.
デバッグモード	பிழைதிருத்த முறை
妨害＋記録のみ	தலையீடு + பதிவுகள் மட்டுமே
妨害＋記録＋表示＋リダイレクト	குறுக்கீடு + பதிவு + காட்சி + திசைதிருப்பல்
メニューからは操作できてしまいます	நீங்கள் அதை மெனுவின் வழியாக இன்னும் அணுகலாம்.
Firefoxにおけるデバッグモード	ஃபயர்பாக்ஸில் பிழைதிருத்த முறை
ブラウザーコンソール	உலாவி கன்சோல்
事実上デバッグモードから操作できてしまいます	உண்மையில், நீங்கள் அதை பிழைதிருத்த பயன்முறையிலிருந்து இயக்கலாம்.
HTMLソース表示	HTML மூலத்தைக் காண்க
view-source:から始まるURLを入力すれば操作できてしまいます	'view-source:' என்று தொடங்கும் ஒரு URL-ஐ உள்ளிட்டு, நீங்கள் இந்தச் செயல்பாட்டை எளிதாகச் செய்யலாம்.
HTML保護と組み合わせることでコンテンツを保護することができます	இதை HTML பாதுகாப்போடு இணைப்பதன் மூலம் உங்கள் உள்ளடக்கத்தைப் பாதுகாக்கலாம்.
印刷	அச்சிடுக
印刷阻止をするもものの、ブラウザによってはうまく動作しません	அச்சிடத் தடுத்தாலும், இது சில உலாவிகளில் சரியாகச் செயல்படாமல் போகலாம்.
スクリーンショット	திரைப்பிடிப்பு
OSやブラウザ、方法によっては妨害できず、もしくは検出しないことがあります	பயன்படுத்தப்படும் இயக்க முறைமை, உலாவி அல்லது முறையைப் பொறுத்து, இதைத் தடுக்க முடியாமல் போகலாம் அல்லது இது கண்டறியப்படாமல் போகலாம்.
ウインドウが背面に移動した時スクリーンショットの疑い	விண்டோ பின்னணிக்குச் செல்லும்போது எடுக்கப்பட்டதாகக் கருதப்படும் ஸ்கிரீன்ஷாட்
あわせて、スクリーンショット以外の機能（タブ切り替え・ウィンドウ切り替え）にも反応してしまいます。	இது ஸ்கிரீன்ஷாட்களுக்கு அப்பால் மற்ற செயல்பாடுகளுக்கும்
2キー押下のスクリーンショットの疑い	இரண்டு விசைகளை அழுத்துவதன் மூலம் எடுக்கப்பட்டதாகக் கருதப்படும் ஸ்கிரீன்ஷாட்
上の項目の検出方法は完全ではありません、予防的に検出を行います	மேற்கூறிய பொருட்களுக்கான கண்டறியும் முறைகள் முழுமையானவை அல்ல; கண்டறிதல் ஒரு முன்னெச்சரிக்கை நடவடிக்கையாக மேற்கொள்ளப்படுகிறது.
スクリーンショットだけではなく、デバッグモード等も検出します	இது ஸ்கிரீன்ஷாட்களை மட்டுமல்ல, டீபக் மோடுகள் மற்றும் அது போன்றவற்றையும் கண்டறிகிறது.
ページ保存	பக்கத்தைச் சேமி
右クリック	வலது கிளிக் செய்யவும்
アドオンがインストールされていると操作できてしまいます	கூடுதல் நிறுவப்பட்டிருந்தால், உங்களால் அதைப் பயன்படுத்த முடியும்.
コピー・カット	நகலெடுத்து வெட்டு
本プラグインの設定によってはこのイベントにたどり着くことはほとんどない場合があります	இந்தப் பிளகினின் அமைப்புகளைப் பொறுத்து, இந்த நிகழ்வை நீங்கள் அரிதாகவே சந்திக்க நேரிடலாம்.
テキスト全選択	அனைத்து உரையையும் தேர்ந்தெடுக்கவும்
テキスト選択	எழுத்தைத் தேர்ந்தெடுக்கவும்
デバッガー起動ログ、デバッガー妨害	பிழைதிருத்தி தொடக்கப் பதிவு, பிழைதிருத்தி குறுக்கீடு
デバッグモードの使い勝手を少し悪くし、デバッガを起動したことをログに残します、ブラウザによってはこの挙動が止められてしまいます	இது பிழைதிருத்த முறையை சற்று குறைவான பயனர் நட்புத்தன்மையுடன் ஆக்குகிறது மற்றும் பிழைதிருத்திகள் தொடங்கப்பட்டன என்ற உண்மையைப் பதிவு செய்கிறது; இருப்பினும், சில உலாவிகள் இந்த நடத்தைக்குத் தடையிடலாம்.
リダイレクトするURL	மறுதிசைப்படுத்த URL
利用規約などのページに転送すると良いでしょう	பயனர்களை பயன்பாட்டு விதிமுறைகள் போன்ற பக்கங்களுக்குத் திருப்பிவிடுவது ஒரு நல்ல யோசனையாக இருக்கும்.
空欄にすると元のURLにリダイレクトをします	வெறுமையாக விட்டால், அது அசல் URL-க்கு திருப்பிவிடும்.
リダイレクトまでの時間	மறுதிசைப்படுத்தலுக்கு நேரம்
リダイレクトなし	மறுதிசைப்படுத்தல் இல்லை
1秒	1 வினாடி
2秒	2 வினாடிகள்
3秒	3 வினாடிகள்
4秒	4 வினாடிகள்
5秒	5 வினாடிகள்
6秒	6 வினாடிகள்
7秒	7 வினாடிகள்
8秒	8 வினாடிகள்
9秒	9 வினாடிகள்
10秒	10 வினாடிகள்
15秒	15 வினாடிகள்
20秒	20 வினாடிகள்
25秒	25 வினாடிகள்
30秒	30 வினாடிகள்
35秒	35 வினாடிகள்
40秒	40 வினாடிகள்
45秒	45 வினாடிகள்
50秒	50 வினாடிகள்
55秒	55 வினாடிகள்
1分	1 நிமிடம்
1分10秒	1 நிமிடம் 10 வினாடிகள்
1分20秒	1 நிமிடம் 20 வினாடிகள்
1分30秒	1 நிமிடம் 30 வினாடிகள்
1分40秒	1 நிமிடம் 40 வினாடிகள்
1分50秒	1 நிமிடம் 50 வினாடிகள்
2分	2 நிமிடங்கள்
ソース表示を許可する権限	மூலக் குறியீட்டைப் பார்க்க அனுமதி
ADMINログイン時のみ通常のソース出力	ADMIN ஆக உள்நுழைந்திருக்கும்போது மட்டுமே சாதாரண மூல வெளியீடு
USERログインで通常のソース出力	பயனர் என உள்நுழைந்திருக்கும்போது சாதாரண மூல வெளியீடு
通常のHTML出力を管理者のみかユーザーログインかを選択します	சாதாரண HTML வெளியீடு நிர்வாகிகளுக்கு மட்டும் கட்டுப்படுத்தப்பட்டதா அல்லது பயனர் உள்நுழைவு தேவையா என்பதைத் தேர்ந்தெடுக்கவும்.
画像を無理やりダウンロードして実際にダウンロードされるもの	ஒரு படத்தைப் பதிவிறக்கம் செய்யக் கட்டாயப்படுத்துதல் மற்றும் உண்மையில் என்ன பதிவிறக்கம் செய்யப்படுகிறது
GIF形式で1×1ピクセルの透過画像	GIF வடிவத்தில் உள்ள 1×1 பிக்சல் வெளிப்படையான படம்
PNG形式で1×1ピクセルの透過画像	PNG வடிவத்தில் உள்ள 1×1 பிக்சல் வெளிப்படையான படம்
PNG形式で黄色い背景の警告画面	PNG வடிவத்தில் மஞ்சள் பின்னணியுடன் கூடிய எச்சரிக்கைத் திரை
