設定	Тохиргоо
EU GDPR向け同意するの文字列	ЕХ-ны GDPR-д зориулсан зөвшөөрлийн текст
EU GDPR向け同意しないの文字列	ЕХ-ны GDPR-ийн 'Зөвшөөрөхгүй байх' гэсэн хэсгийн текст
プライバシーポリシーの文字列	Нууцлалын бодлогын текст
プライバシーポリシーのURLはこちらから設定して下さい	Нууцлалын бодлогын URL-ийг энд тохируулна уу.
プライバシーポリシーには以下の内容を追加して下さい	Нууцлалын бодлогод дараахыг нэмж оруулаарай
不正操作検知のため、CookieおよびデータベースにIPアドレス等の識別子を保存する。保存されたデータは、管理者の任意のタイミングで削除を行う。	Худалдан авалтын залилан мэхлэлийг илрүүлэхийн тулд IP хаяг зэрэг таних тэмдэглэгээг күүки болон өгөгдлийн санд хадгалдаг. Хадгалагдсан өгөгдлийг администратор хүссэнээр устгадаг.
画像保護が有効な場合のみ、画像を正常に配信するため、IPアドレスと画像ファイル名をハッシュ化したデータをデータベースに最大60分間保存する。	Зураг хамгаалалтыг идэвхжүүлсэн үед зургуудыг зөв хүргэх зорилгоор бид IP хаяг болон зургийн файлын нэрийг агуулсан хэшлэгдсэн өгөгдлийг өгөгдлийн сандоо 60 минут хүртэл хадгалдаг.
利用規約を設定する場合、必ずプライバシーポリシーに利用規約のリンクを設置して下さい	Хэрэв та Ашиглах нөхцлийг тогтоож байгаа бол, тэдгээрийн холбоосыг Нууцлалын бодлогодоо оруулахыг баталгаажуулна уу.
利用規約の文字列	Ашиглах нөхцлийн текст
利用規約のページ	Нөхцөл, журам хуудас
ページ選択なし	Худалбаа сонгоогүй
検索エンジン等のURL	Хайлтын системүүд болон бусад зориулалтын URL-үүд
同意しなかった時に画面遷移する検索エンジンなどのURLを設定します	Зөвшөөрөл өгөөгүй үед хэрэглэгчдийг чиглүүлдэг хайлтын систем болон түүнтэй төстэй сайтуудын URL-ыг тохируулна
デバッグモード、コンソールの警告メッセージ	Алдаа олж засах горим, консолийн анхааруулга мессежүүд
右クリックの警告メッセージ	Баруун товчоор сэрэмжлүүлэх мессеж
印刷、PDF保存の警告メッセージ	PDF хэлбэрээр хэвлэх, хадгалахтай холбоотой анхааруулга
スクリーンショットの警告メッセージ	Скриншот дээрх анхааруулга мессеж
スクリーンショットの疑いの警告メッセージ	Сэжигтэй дэлгэцийн агшингийн зургуудын талаархи анхааруулга
テキスト全選択時の警告メッセージ	Бүх текст сонгогдсон үед гарч буй анхааруулга
ページ保存の警告メッセージ	Хуудас хадгалахтай холбоотой анхааруулга
コピー・カットした時に表示するメッセージ	Хуулбарлах эсвэл тайрах үед харуулах мессеж
HTMLソース表示時に表示するメッセージ	HTML эх кодыг үзэх үед харуулах мессеж
HTML難読化・保護時にソースの先頭に表示するメッセージ	HTML-ийг нууж буюу хамгаалах үед эх кодын дээд хэсэгт харуулах мессеж
HTML保護時に一度限りの認証トークンが異常の場合に表示するメッセージ	HTML хамгаалалтын явцад нэг удаагийн баталгаажуулалтын токен хүчин төгөлдөр бус бол харуулах мессеж
CookieやJavascriptが有効でない場合に表示するメッセージ	Хэрэв күүки эсвэл JavaScript идэвхгүй бол харуулах мессеж
実際にはJavascriptが無効時のみ表示されます	Үнэндээ энэ нь зөвхөн JavaScript-ийг идэвхгүй болгосон үед л харагддаг.
画像保護時に画像がダウンロードされ、その画像に表示するメッセージ 英語のみ	Зургийг хамгаалсан үед, тэр зураг татагдаж, дээр нь мессеж
HTML難読化 (圧縮)	HTML-ийн будлиантуулалт
一般的なHTML圧縮です、難読化解除のサイトもあります	Энэ бол стандарт HTML шахалт юм; үүнийг задлах боломжтой вэбсайтууд ч байдаг.
このオプションを有効にするとview-sourceのログが取得できます	Энэ сонголтыг идэвхжүүлснээр та view-source логыг татаж авч болно.
HTML保護	HTML хамгаалалт
HTML圧縮以上に最小限のHTMLしか出力せず、BODYタグ内の内容が全く出力されなくなります	Энэ нь зөвхөн хамгийн бага шаардлагатай HTML-ийг гаргадаг — HTML шахалт ашиглаж байсан үеэс ч бага — мөн BODY тагийн доторх агуулгыг огт гаргадаггүй.
Firefoxに対しては無効です	Энэ нь Firefox-д хамаарахгүй
SEOに著しく影響があります	Энэ нь SEO-д ихээхэн нөлөө үзүүлдэг.
HTMLをJavaScriptで描画	JavaScript ашиглан HTML үүсгэх
Firefox対策としてHTMLをJavaScriptで描画をします	Firefox-ыг тойрон гарахын тулд бид HTML-ийг JavaScript ашиглан гаргадаг
JavaScript描画で有効にするとウェブサイトの表示速度が著しく遅くなります	JavaScript-ийн рендерийг идэвхжүүлэх нь вэбсайтын ачааллын хурдыг ихээхэн удаашруулна.
画像の保護	Зургийн хамгаалалт
imgタグが呼び出されるごとに画像を保護	Img таг дуудагдах бүрт зургийг хамгаалах
出力される全HTMLのうち、Wordpressにアップロードされた画像をすべて保護	WordPress-д байршуулсан бүх зургийг HTML-ийн бүхэл гаралтын дотор хамгаалах
画像をダウンロードから保護します	Зураг татаж авахыг хамгаална
画像データを保護した時にはほぼ完全なるダウンロードを阻止し、完全なるワンタイムURLを発行し、セッションに保存されたトークンで認証し、phpから画像を表示します、その為ほぼ完全な画像盗用を防ぎます	Зургийн өгөгдлийг хамгаалах үед бид бараг бүх таталтыг зогсоож, цор ганц удаагийн URL үүсгэж, сессэд хадгалагдсан токенуудаар баталгаажуулж, PHP-ээр зургуудыг харуулдаг; ингэснээр бараг бүх зургийн хулгайг үр дүнтэй зогсоодог.
画像データを保護した時には画像のキャッシュが効かないため、次回訪問時にサイトの読み込みが遅くなるため、SEOに影響があります	Зургийн өгөгдлийг хамгаалахад кэшлэлт ажиллахгүй тул сайт дараагийн удаа зочлох үед удаан ачаалагдаж, ингэснээр SEO-д нөлөөлдөг.
画像データを保護した時には、データベースの負荷が高くなる可能性があります	Зургийн өгөгдлийг хамгаалах нь өгөгдлийн сангийн ачааллыг нэмэгдүүлж болно.
「imgタグが呼び出されるごとに画像を保護」の場合は、add_filterを使用し、imgタグの発行時にフィルタリングを行います、テーマによっては正しく動作しません	Хэрэв та 'img таг дуудагдах бүрт зургуудыг хамгаалах' гэж сонговол систем img таг үүсэх үед add_filter-ийг ашиглан шүүлтүүр хэрэглэдэг; гэхдээ энэ нь зарим сэдэвтэй зөв ажиллахгүй байж болно.
「出力される全HTMLのうち、Wordpressにアップロードされた画像をすべて保護」の場合は、Wordpressのほぼすべての動作をキャプチャし、コンテンツ内のimgタグについてすべて処理します。テーマによっては正しく動作しません	Хэрэв та 'Бүх HTML гаралтын хүрээнд WordPress-д байршуулсан бүх зургийг хамгаалах' сонголтыг сонговол, плагин нь бараг бүх WordPress үйлдлийг барьж авч, агуулга дахь img таг бүрийг боловсруулна. Зарим сэдэвтэй энэ нь зөв ажиллахгүй байж магадгүйг анхаарна уу.
なお、アイキャッチに指定した画像はOGPとして拡散されますので保護できません。どうしても保護すべき場合は高度な設定でHTML保護時のHEADタグの出力の選択を変更してください	Анхаарна уу: онцлох зураг гэж тэмдэглэсэн зургууд OGP өгөгдөл болгон хуваалцагдаж, хамгаалагдах боломжгүй. Хэрэв заавал хамгаалах шаардлагатай бол HTML хамгаалалтыг идэвхжүүлэхдээ дэвшилтэт тохиргооноос HEAD шошго гаралтын тохиргоог өөрчилнө үү.
OS標準搭載のスクリーンショット機能を保護することはできません	Үйлдлийн системд суурилсан дэлгэцийн агшны функцийг хамгаалж болдоггүй
画像URLの保護	Зургийн URL-үүдийг хамгаалах
画像の保護と組み合わせて使用します、単体では意味がありません	Энэ нь зураг хамгаалалттай хамт ашиглагдах ёстой; ганцаараа ямар ч зорилготой биш.
JavaScriptにより遅延読まれますのでSEOに影響があります	JavaScript-ээр залхуугаар ачаалдаг тул энэ нь SEO-д нөлөөлдөг
画像のウォーターマーク	Зургийн усны тэмдэг
右下	баруун доод
ランダム位置	Санамсаргүй байрлал
画像の保護と組み合わせて使用します、動的な透かしで著作権を明示しつつ、閲覧者に監視されている印象を与え抑止力を高めます	Зургийн хамгаалалттай хамт ашигласнаар динамик усны тэмдэг нь зохиогчийн эрхийн эзэмшигчийг тодорхой харуулж, үзэгчдэд хяналт тавигдаж байгаа мэт сэтгэгдэл төрүүлж, ингэснээр сэргийлэх үүрэг гүйцэтгэдэг.
JPG形式、PNG形式、WebP形式のみ対応します	Зөвхөн JPG, PNG болон WebP форматуудыг дэмждэг
有効にするとサーバーの負荷が高くなります	Үүнийг идэвхжүүлснээр серверийн ачаалал нэмэгдэнэ.
HTML難読化・保護時のHTMLソースコードのアスキーアートの出力	HTML-ийн эх кодоос ASCII урлаг гаргах HTML-ийг будлиантуулах, хамгаалах явцад
表示なし	Дэлгэцгүй
view-sourceでHTMLソース表示をした時に警告の意思を示すアスキーアートを表示します	'view-source' ашиглан HTML эх кодыг үзэх үед анхааруулга заасан ASCII урлагийг харуулна
対象アクションを起こした時の表示デザイン	Зорилтот үйлдэл гүйцэтгэх үед дэлгэцийн дизайныг харуулах
黄色の背景の黒文字のベーシックデザイン	Шар өнгийн дэвсгэр дээр хар тексттэй энгийн загвар
黒色の背景の赤文字のホラー風デザイン	Хар дэвсгэр дээр улаан үсгээр бичсэн аймшгийн хэв маягийн дизайн
黒色の背景の赤文字の光る文字のデザイン	Хар дэвсгэр дээр улаан гэрэлтсэн текст бүхий загвар
対象アクションを起こした時のBGM	Зорилтот үйлдэл гүйцэтгэгдэх үед тоглодог фон хөгжим
サウンドなし	Дуугүй
戦闘＆戦闘勝利 - 1分16.3秒 - 630,056bytes - 64kbps - ライセンス：CC2.1 or later	Тулаан ба ялалт - 1 минут 16.3 секунд - 630,056 байт - 64 kbps - Зөвшөөрөл: CC 2.1 эсвэл түүнээс хойш
おやじ ショート - 3.8秒 - 32,364bytes - 64kbps - ライセンス GPL2.0 or later (C)EJ	Аав богино - 3.8 секунд - 32,364 байт - 64 кбит/с - Лиценз: GPL 2.0 эсвэл түүнээс хойш
おやじ ロング - 23.5秒 - 195,578bytes - 64kbps - ライセンス GPL2.0 or later (C)EJ	Ояжи Лонг - 23.5 секунд - 195,578 байт - 64 kbps - Лиценз: GPL 2.0 эсвэл түүнээс хойш
ショパン エチュード Op.10-5 黒鍵 打ち込み版 高速版 - 1分0.0秒 - 369,778bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	Шопен Этюд Op. 10 №5
ショパン エチュード Op.10-12 革命 打ち込み版 高速版 - 1分57.6秒 - 724,457bytes - 48kbps -  ライセンス：CC BY-ND 4.0 or later	Шопен Этюд Op. 10 №12 'Революци' – компьютероор үүсгэсэн хувилбар, өндөр хурдтай – 1 минут 57.6 секунд – 724,457 байт – 48 кбит/с – Зөвшөөрөл: CC BY-ND 4.0 эсвэл түүнээс хойших
ショパン スケルツォ 変ロ短調 Op2 打ち込み版 高速短縮版 - 1分48.0秒 - 665,369bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	Шопен: Си-бемол минор дахь Шерцо, Опус 2 – Компьютерт боловсруулсан хувилбар, өндөр хурдтай товчилсон хувилбар – 1 минут 48.0 секунд – 665,369 байт – 48 кбит/с – Зөвшөөрөл: CC BY-ND 4.0 эсвэл түүнээс хойшхи
リスト 超絶技巧練習曲 4番 マゼッパ 打ち込み版 高速短縮版 - 1分51.6秒 - 687,586bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	Жагсаалт: Дээд зэрэглэлийн гүйцэтгэлийн судалгаа №4, «Мазепа» – компьютероор үүсгэсэн хувилбар, өндөр хурдтай товчилсон хувилбар – 1 минут 51.6 секунд – 687,586 байт – 48 кбит/с – Зөвшөөрөл: CC BY-ND 4.0 эсвэл түүнээс хойших
ファンファーレ - 22.3秒 - 183,926bytes - 64kbps - ライセンス：パブリックドメイン	Жааз – 22.3 секунд – 183,926 байт – 64 kbps – Зөвшөөрөл: Нийтийн өмч
レトロ風ファンファーレ - 2.2秒 - 10,536bytes - 32kbps - ライセンス：パブリックドメイン	Ретро хэв маягийн ёслолын ая – 2.2 секунд – 10,536 байт – 32 kbps – Зөвшөөрөл: Нийтийн өмч
レトロ風オープン - 42.1秒 - 179,138bytes - 32kbps - ライセンス：パブリックドメイン	Ретро хэв маягийн танилцуулга – 42.1 секунд – 179,138 байт – 32 kbps – Зөвшөөрөл: Нийтийн өмч
警告 by ChatGPT - 3.8秒 - 109,700bytes - 256kbps - ライセンス：パブリックドメイン	ChatGPT-ийн анхааруулга - 3.8 секунд - 109,700 байт - 256 kbps - Зөвшөөрөл: Нийтийн өмч
マルウェア検出みたいな緊急感の高い音 その１ by ChatGPT - 3.3秒 - 102,850bytes - 256kbps - ライセンス：パブリックドメイン	Хачирхалтай, яаралтай сонсогдох, хортой программ илрүүлсэн дохио шиг дуу – 1-р хэсэг, ChatGPT-ээр – 3.3 секунд – 102,850 байт – 256 kbps – Зөвшөөрөл: Нийтийн өмч
マルウェア検出みたいな緊急感の高い音 その２ by ChatGPT - 3.3秒 - 103,122bytes - 256kbps - ライセンス：パブリックドメイン	Хачирхалтай дуу чимээ, хортой програмыг илрүүлэх анхааруулга мэт яаралтай мэдэгдэл, 2-р хэсэг – ChatGPT-ээр үүсгэсэн – 3.3 секунд – 103,122 байт – 256 kbps – Зөвшөөрөл: Нийтийн өмч
MRI風サウンド by ChatGPT - 1分14.9秒 - 3,340,392bytes - 320kbps - ライセンス：パブリックドメイン	ChatGPT-ээр бүтээсэн MRI хэв маягийн дуу – 1 минут 14.9 секунд – 3,340,392 байт – 320 kbps – Зөвшөөрөл: Нийтийн өмч
警告表示中のBGMを選択します	Анхааруулга өгөх үед тоглуулах фон хөгжмийг сонгоно уу.
びっくりするような雰囲気を作ります	Энэ нь гайхмаар уур амьсгал бүрдүүлдэг
Firefoxでは音声ブロックされます	Firefox-д аудио хаагдсан байна
対象アクションを起こした時のビープ音	Тодорхойлсон үйлдэл гүйцэтгэгдэхэд бип дуу гаргах
有効 音量小さ目	Нээгдсэн, дууны түвшин бага
有効 音量大き目	Идэвхтэй, дууны түвшин өндөр
警告表示中にすべてのキー・マウスイベントでビープ音を鳴らします	Анхааруулга харагдаж байх үед бүх товчлуур болон хулганын үйлдэлд хариу болгон "бип" дуугарах болно.
警告表示中に端末が暴走したかのような雰囲気を作ります	Анхааруулга харагдаж байх үед төхөөрөмж хяналтаас гарсан мэт сэтгэгдэл төрүүлдэг.
対象アクションを起こした時のマウスカーソルの消去	Тодорхой үйлдэл гүйцэтгэх үед хулганын курсорыг нуух
警告表示中にブラウザのエリアのマウスカーソルを消去します	Анхааруулга харуулагдаж байх үед хөтөчийн хэсэгт хулганын курсорыг нууна
デバッグモード	Алдаа олж засах горим
妨害＋記録のみ	Зөрчил + Бичлэгүүд л
妨害＋記録＋表示＋リダイレクト	Саад хийх + Бүртгэх + Дэлгэц + Чад барих
メニューからは操作できてしまいます	Та одоо ч цэсээр дамжуулан түүнд хандаж болно.
Firefoxにおけるデバッグモード	Firefox-ийн алдаа олж засах горим
ブラウザーコンソール	Хөтөчийн консол
事実上デバッグモードから操作できてしまいます	Үнэндээ та үүнийг debug горимд ажиллуулж болно.
HTMLソース表示	HTML эх кодыг үзэх
view-source:から始まるURLを入力すれば操作できてしまいます	Та 'view-source:' гэж эхэлдэг URL-ыг оруулах замаар энэхүү үйлдлийг амархан гүйцэтгэж болно.
HTML保護と組み合わせることでコンテンツを保護することができます	Та үүнийг HTML хамгаалалттай хослуулан агуулгаа хамгаалж болно.
印刷	Хэвлэх
印刷阻止をするもものの、ブラウザによってはうまく動作しません	Хэвлэх үйлдлийг хаадаг ч зарим хөтөч дээр зөв ажиллахгүй байж болно.
スクリーンショット	Дэлгэцийн агшингийн зураг
OSやブラウザ、方法によっては妨害できず、もしくは検出しないことがあります	Ашиглаж буй үйлдлийн систем, хөтөч эсвэл аргаас хамааран үүнийг хаах боломжгүй эсвэл илрүүлэхгүй байж болно.
ウインドウが背面に移動した時スクリーンショットの疑い	Цонх арын планда шилжсэн үед авсан гэж сэжиглэгдсэн дэлгэцийн зургийг
あわせて、スクリーンショット以外の機能（タブ切り替え・ウィンドウ切り替え）にも反応してしまいます。	Мөн дэлгэцийн зургийг авахын зэрэгцээ
2キー押下のスクリーンショットの疑い	Хоёр товч дарах замаар авсан гэж сэжиглэгдэж буй дэлгэцийн агшин
上の項目の検出方法は完全ではありません、予防的に検出を行います	Дээрх зүйлсийг илрүүлэх аргууд нь бүрэн найдвартай биш; илрүүлгийг урьдчилан сэргийлэх арга хэмжээ болгон явуулдаг.
スクリーンショットだけではなく、デバッグモード等も検出します	Энэ нь зөвхөн дэлгэцийн агшин зургуудыг биш, мөн debug горим болон түүнтэй төстэй горимүүдийг ч илрүүлдэг.
ページ保存	Хуудас хадгалах
右クリック	Баруун товшоод
アドオンがインストールされていると操作できてしまいます	Хэрэв нэмэлт суулгагдсан бол та үүнийг ашиглах боломжтой болно.
コピー・カット	Хуулбарлаж тайрах
本プラグインの設定によってはこのイベントにたどり着くことはほとんどない場合があります	Энэхүү плагины тохиргооноос хамааран та энэ үйл явдлыг ховорхон тохиолдож болно.
テキスト全選択	Бүх текстийг сонгох
テキスト選択	Текстийг сонгох
デバッガー起動ログ、デバッガー妨害	Дебаггерийн эхлүүлэх журнал, дебаггерийн саад
デバッグモードの使い勝手を少し悪くし、デバッガを起動したことをログに残します、ブラウザによってはこの挙動が止められてしまいます	Энэ нь debug горимд хэрэглэгчдэд арай бага ээлтэй болгож, дебаггер эхэлсэн гэдгийг бүртгэдэг; гэхдээ зарим хөтөч энэ үйлдлийг хааж болно.
リダイレクトするURL	URL-ийг чиглүүлэх
利用規約などのページに転送すると良いでしょう	Хэрэглэгчдийг Ашиглах нөхцөл зэрэг хуудас руу чиглүүлэх нь сайн санаа байх болно.
空欄にすると元のURLにリダイレクトをします	Харандаа орхивол анхны URL хаяг руу чиглүүлнэ.
リダイレクトまでの時間	Дахин чиглүүлэх хүртэлх хугацаа
リダイレクトなし	Дахин чиглүүлэхгүй
1秒	1 секунд
2秒	2 секунд
3秒	3 секунд
4秒	4 секунд
5秒	5 секунд
6秒	6 секунд
7秒	7 секунд
8秒	8 секунд
9秒	9 секунд
10秒	10 секунд
15秒	15 секунд
20秒	20 секунд
25秒	25 секунд
30秒	30 секунд
35秒	35 секунд
40秒	40 секунд
45秒	45 секунд
50秒	50 секунд
55秒	55 секунд
1分	1 минут
1分10秒	1 минут 10 секунд
1分20秒	1 минут 20 секунд
1分30秒	1 минут 30 секунд
1分40秒	1 минут 40 секунд
1分50秒	1 минут 50 секунд
2分	2 минут
ソース表示を許可する権限	Эх кодыг үзэх зөвшөөрөл
ADMINログイン時のみ通常のソース出力	Энгийн эх сурвалжийн гаралтыг зөвхөн ADMIN-ээр нэвтэрсэн үед л харуулна
USERログインで通常のソース出力	Хэрэглэгч USER-ээр нэвтэрсэн үед ердийн эх сурвалжийн гаралт
通常のHTML出力を管理者のみかユーザーログインかを選択します	Стандарт HTML гаралтыг зөвхөн администраторуудад хязгаарлах эсэх эсвэл хэрэглэгчийн нэвтрэх шаардлагатай эсэхийг сонгоно уу.
画像を無理やりダウンロードして実際にダウンロードされるもの	Зургийг албадан татаж авах ба үнэндээ юу татагдаж байгаа вэ
GIF形式で1×1ピクセルの透過画像	GIF форматын 1×1 пикселийн тунгалаг зураг
PNG形式で1×1ピクセルの透過画像	PNG форматын 1×1 пикселийн тунгалаг зураг
PNG形式で黄色い背景の警告画面	PNG форматын шар дэвсгэртэй анхааруулах дэлгэц
意味のないHTMLドキュメント	Ач холбогдолгүй HTML баримт бичиг
HTML保護時のHEADタグの出力	HTML хамгаалагдсан үед HEAD тагийн гарал
出力しない	Хэвлэхгүй
TITLEタグのみ	Зөвхөн TITLE таг
WordpressのHEADタグより取得	WordPress-ийн HEAD тагнаас авсан
企業用途の会員専用ページや社内ページなどでは「出力しない」、「TITLEタグのみ」で良いでしょう	Корпорацийн хэрэглээнд зориулсан зөвхөн гишүүдэд зориулсан болон дотоод хуудаснуудын хувьд 'Гаралтыг харуулахгүй' эсвэл 'Зөвхөн TITLE таг' сонгох нь хангалттай.
WordpressのHEADタグから取得しないと、SNSのシェアでOGP画像が表示されません	Хэрвээ та WordPress-ийн HEAD тагаас мэдээллийг авч ашиглахгүй бол нийгмийн сүлжээнд хуваалцах үед OGP зураг гарч ирэхгүй.
画像botをアクセス禁止にする	Зурагны ботыг хаах
画像botをHTMLに対し避けることにより、画像検索から直接リンクされることによって守れなかったコンテンツを守ることができます、ただし完全には対処することはできません	Зураг ботуудыг HTML-д хандахаас сэргийлснээр зураг хайлтын шууд холбоосоор хамгаалагдаж чадаагүй агуулгыг хамгаалж болно; гэвч энэ нь бүрэн шийдэл биш юм.
AI学習用botをアクセス禁止にする	AI сургалтын ботын хандалтыг хаах
AIの学習用のbotをHTMLに対し避けることにより、AIで利用されないようにします、ただし完全には対処することはできません	HTML дээр хиймэл оюун ухааны сургалтад зориулагдсан ботуудыг ашиглахаас зайлсхийснээр бид контентыг хиймэл оюун ухаанд ашиглагдахаас сэргийлдэг; гэвч үүнийг бүрэн зогсоох боломжгүй.
ウェブアーカイブ、ウェブ魚拓をアクセス禁止にする	Вэб архив болон вэб хуулбар руу хандахыг хаах
自動的に収集されるウェブアーカイブ並びにユーザーの任意で取得される魚拓のアクセスを禁止します、ただし完全には対処することはできません	Бид хэрэглэгчийн шийдвэрээр автоматаар цуглуулсан вэб архив болон дэлгэцийн агшин зургууд руу хандахыг хориглодог; гэвч үүнийг бүрэн зогсоож чадахгүй.
無効なUAをアクセス禁止にする	Хүчингүй хэрэглэгчийн агентүүдийг хаах
ユーザーエイジェントの文字に不正な文字列があった場合のアクセスを避けます	Хэрэв хэрэглэгчийн агент мөр хүчингүй тэмдэгт агуулсан бол хандалтыг хаадаг
Internet Explorerと旧Microsoft Edge(EdgeHTML)のアクセスに警告を表示する	Internet Explorer болон хуучин Microsoft Edge
Internet Explorerと旧Microsoft Edgeのアクセスを避けます	Internet Explorer болон хуучин Microsoft Edge-ээр хандахаас сэргийлнэ
alertメッセージを表示する言語	Анхааруулга мессежүүдийг харуулах хэл
Wordpressの言語	WordPress хэлнүүд
ブラウザの設定言語	Вэб хөтөчийн хэлний тохиргоо
メッセージをカスタム設定されている場合は言語を変更できません	Хэрэв мессежүүдийг тохируулсан бол та хэлний тохиргоог өөрчилж чадахгүй.
同意画面の言語	Зөвшөөрлийн дэлгэцийн хэл
view-sourceメッセージを表示する言語	'view-source' мессежийг харуулах хэл
一時使用トークンの有効期限	Зохисгүй болсон токенуудын хугацаа дуусах огноо
3分	3 минут
4分	4 минут
5分	5 минут
6分	6 минут
7分	7 минут
8分	8 минут
9分	9 минут
10分	10 минут
15分	15 минут
20分	20 минут
25分	25 минут
30分	30 минут
35分	35 минут
40分	40 минут
45分	45 минут
50分	50 минут
55分	55 минут
1時間	1 цаг
画像URL情報の有効期限を設定します	Зургийн URL мэдээллийн хүчинтэй дуусах огноог тохируулна
一度読み込まれると画像URL情報と一時使用トークンは無効化されます	Нэгэнт ачаалагдсаны дараа зурагны URL болон түр токен хүчингүй болно.
画像は遅延読み込みされますが、この指定した時間の30秒前に強制的に画像が読み込まれます	Зурагнуудыг хэрэгцээ гарсан үед ачаалдаг боловч заасан цагаас 30 секундын өмнө автоматаар ачаалагдана.
一時使用トークンのビット数	Зохисгүй токен дахь битүүдийн тоо
画像URL情報を暗号化するのに一時使用トークンをパスワードとして使用しますが、その強度を指定します	Зурагны URL мэдээллийг шифрлэхэд түр токеныг нууц үг болгон ашигладаг; энэ тохиргоо нь түүний хүч чадлыг тодорхойлдог
ドロップダウンメニューの下に表示される選択肢にいくにつれて強度が強くなるものの、サーバーへの負荷が高くなり、HTML転送量が多くなることがあります	Хэдийгээр доош татах цэсний доор харуулсан сонголтууд улам бүр дэлгэрэнгүй болж байгаа ч энэ нь серверт их ачаалал өгч, их хэмжээний HTML өгөгдөл дамжуулагдахад хүргэж болно.
ハッシュ化アルゴリズム	Хэшийн алгоритм
画像URL情報を暗号化するのに一時使用トークンをパスワードとして使用しますが、その時ハッシュ化が必要です、その強度を設定します	Зурагны URL мэдээллийг шифрлэхэд түр токеныг нууц үг болгон ашигладаг; энэ нь хэшинг шаарддаг бөгөөд энэ тохиргоо нь тухайн хэшингийн хүч чадлыг тодорхойлдог.
ドロップダウンメニューの下に表示される選択肢にいくにつれて強度が強くなるものの、サーバーへの負荷が高くなります	Доош гүйлгэх тусам унадаг цэсэнд харуулсан сонголтуудын эрчим нэмэгддэг ч энэ нь серверт илүү их ачаалал өгдөг.
基本設定	Үндсэн тохиргоо
高度な設定	Дэвшилтэт тохиргоо
初期設定に戻す	Анхдагч тохиргоог сэргээх
デザイン・音の設定	Дизайн ба дууны тохиргоо
イベントの設定	Үйл явдлын тохиргоо
初回訪問時のお知らせの設定	Анхны удаа зочлох мэдэгдлийг тохируулах
メッセージの設定	Зурвасын тохиргоо
右クリックやソースコード表示時に転送する URL を設定します	Баруун товшоод эсвэл эх кодыг нь үзэхэд нээгдэх URL-ийг тохируулна
警告メッセージにはHTMLは使用できません	HTML-ийг анхааруулга мессежүүдэд ашиглаж болохгүй
この画面で設定すると、高度な設定タブにある言語設定が無視されます	Хэрэв та энэ дэлгэц дээр үүнийг тохируулбал, Дэвшилтэт таб дахь хэлний тохиргоог үл тоомсорлоно.
以下の文字列が使用できます	Дараах мөрүүдийг ашиглаж болно
改行	Мөр таслах
押下されたキー	Түлхүүр дарагдсан
Neo HTML Protector 設定	Neo HTML хамгаалагчийн тохиргоо
