設定	Cài đặt
おやじ ショート - 3.8秒 - 32,364bytes - 64kbps - ライセンス GPL2.0 or later (C)EJ	Oyaji Short - 3,8 giây - 32.364 byte - 64 kbps - Giấy phép GPL 2.0 hoặc mới hơn
おやじ ロング - 23.5秒 - 195,578bytes - 64kbps - ライセンス GPL2.0 or later (C)EJ	Oyaji Long - 23,5 giây - 195.578 byte - 64 kbps - Giấy phép GPL 2.0 hoặc mới hơn
ショパン エチュード Op.10-5 黒鍵 打ち込み版 高速版 - 1分0.0秒 - 369,778bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	Chopin: Etude Op.10-5
ショパン エチュード Op.10-12 革命 打ち込み版 高速版 - 1分57.6秒 - 724,457bytes - 48kbps -  ライセンス：CC BY-ND 4.0 or later	Chopin: Etude Op.10-12 "Cách mạng" - Phiên bản nhập liệu - Phiên bản tốc độ cao - 1 phút 57,6 giây - 724.457 byte - 48 kbps - Giấy phép: CC BY-ND 4.0 hoặc phiên bản mới hơn
ショパン スケルツォ 変ロ短調 Op2 打ち込み版 高速短縮版 - 1分48.0秒 - 665,369bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	Chopin: Scherzo, giọng Si thứ, Op. 2 – Phiên bản nhạc điện tử, bản rút gọn tốc độ cao – 1 phút 48,0 giây – 665.369 byte – 48 kbps – Giấy phép: CC BY-ND 4.0 hoặc phiên bản mới hơn
リスト 超絶技巧練習曲 4番 マゼッパ 打ち込み版 高速短縮版 - 1分51.6秒 - 687,586bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	Danh sách: Etude số 4 "Mazeppa" - Phiên bản nhập liệu - Phiên bản rút gọn tốc độ cao - 1 phút 51,6 giây - 687.586 byte - 48 kbps - Giấy phép: CC BY-ND 4.0 hoặc phiên bản mới hơn
ファンファーレ - 22.3秒 - 183,926bytes - 64kbps - ライセンス：パブリックドメイン	Fanfare - 22,3 giây - 183.926 byte - 64 kbps - Giấy phép: Công cộng
レトロ風ファンファーレ - 2.2秒 - 10,536bytes - 32kbps - ライセンス：パブリックドメイン	Tiếng kèn đồng phong cách retro - 2,2 giây - 10.536 byte - 32 kbps - Giấy phép: Miễn phí
レトロ風オープン - 42.1秒 - 179,138bytes - 32kbps - ライセンス：パブリックドメイン	Phong cách retro - 42,1 giây - 179.138 byte - 32 kbps - Giấy phép: Miễn phí
警告 by ChatGPT - 3.8秒 - 109,700bytes - 256kbps - ライセンス：パブリックドメイン	Cảnh báo bởi ChatGPT - 3,8 giây - 109.700 byte - 256 kbps - Giấy phép: Miễn phí
マルウェア検出みたいな緊急感の高い音 その１ by ChatGPT - 3.3秒 - 102,850bytes - 256kbps - ライセンス：パブリックドメイン	Âm thanh mang tính khẩn cấp như cảnh báo phát hiện phần mềm độc hại - Phần 1 bởi ChatGPT - 3,3 giây - 102.850 byte - 256 kbps - Giấy phép: Miễn phí
マルウェア検出みたいな緊急感の高い音 その２ by ChatGPT - 3.3秒 - 103,122bytes - 256kbps - ライセンス：パブリックドメイン	Âm thanh mang tính khẩn cấp như cảnh báo phát hiện phần mềm độc hại - Phần 2 bởi ChatGPT - 3,3 giây - 103.122 byte - 256 kbps - Giấy phép: Miễn phí
MRI風サウンド by ChatGPT - 1分14.9秒 - 3,340,392bytes - 320kbps - ライセンス：パブリックドメイン	Âm thanh phong cách MRI do ChatGPT tạo ra - 1 phút 14,9 giây - 3.340.392 byte - 320 kbps - Giấy phép: Miễn phí
警告表示中のBGMを選択します	Chọn nhạc nền khi hiển thị cảnh báo
びっくりするような雰囲気を作ります	Tạo ra một bầu không khí đầy bất ngờ
Firefoxでは音声ブロックされます	Trong Firefox, âm thanh sẽ bị chặn
対象アクションを起こした時のビープ音	Tiếng bíp khi thực hiện hành động tương ứng
有効 音量小さ目	Đang hoạt động, âm lượng nhỏ
有効 音量大き目	Đang hoạt động, âm lượng lớn
警告表示中にすべてのキー・マウスイベントでビープ音を鳴らします	Khi hiển thị cảnh báo, hệ thống sẽ phát ra tiếng bíp mỗi khi có sự kiện từ bàn phím hoặc chuột
警告表示中に端末が暴走したかのような雰囲気を作ります	Tạo ra cảm giác như thiết bị đang hoạt động bất thường trong khi hiển thị cảnh báo
対象アクションを起こした時のマウスカーソルの消去	Ẩn con trỏ chuột khi thực hiện hành động tương ứng
警告表示中にブラウザのエリアのマウスカーソルを消去します	Xóa con trỏ chuột khỏi khu vực trình duyệt khi hiển thị cảnh báo
デバッグモード	Chế độ gỡ lỗi
妨害＋記録のみ	Chỉ cản trở + ghi chép
妨害＋記録＋表示＋リダイレクト	Chặn + Ghi lại + Hiển thị + Chuyển hướng
メニューからは操作できてしまいます	Có thể thực hiện thao tác này từ menu
Firefoxにおけるデバッグモード	Chế độ gỡ lỗi trong Firefox
ブラウザーコンソール	Bảng điều khiển trình duyệt
事実上デバッグモードから操作できてしまいます	Trên thực tế, bạn có thể thao tác ngay từ chế độ gỡ lỗi
HTMLソース表示	Hiển thị mã nguồn HTML
view-source:から始まるURLを入力すれば操作できてしまいます	Chỉ cần nhập URL bắt đầu bằng "view-source:" là có thể thực hiện thao tác được
HTML保護と組み合わせることでコンテンツを保護することができます	Bạn có thể bảo vệ nội dung bằng cách kết hợp với tính năng bảo vệ HTML
印刷	In
印刷阻止をするもものの、ブラウザによってはうまく動作しません	Mặc dù đã chặn in, nhưng tính năng này có thể không hoạt động đúng trên một số trình duyệt
スクリーンショット	Ảnh chụp màn hình
OSやブラウザ、方法によっては妨害できず、もしくは検出しないことがあります	Tùy thuộc vào hệ điều hành, trình duyệt hoặc phương pháp sử dụng, có thể không ngăn chặn được hoặc không phát hiện ra
ウインドウが背面に移動した時スクリーンショットの疑い	Có khả năng đã chụp ảnh màn hình khi cửa sổ di chuyển ra phía sau
あわせて、スクリーンショット以外の機能（タブ切り替え・ウィンドウ切り替え）にも反応してしまいます。	Ngoài ra, nó còn phản ứng với các chức năng khác ngoài chụp ảnh màn hình
2キー押下のスクリーンショットの疑い	Nghi ngờ chụp ảnh màn hình khi nhấn 2 phím
上の項目の検出方法は完全ではありません、予防的に検出を行います	Phương pháp phát hiện nêu trên không phải là hoàn hảo; việc phát hiện được thực hiện nhằm mục đích phòng ngừa
スクリーンショットだけではなく、デバッグモード等も検出します	Không chỉ phát hiện ảnh chụp màn hình mà còn phát hiện cả chế độ gỡ lỗi, v.v.
ページ保存	Lưu trang
右クリック	Nhấp chuột phải
アドオンがインストールされていると操作できてしまいます	Nếu tiện ích mở rộng đã được cài đặt, người dùng vẫn có thể thực hiện thao tác
コピー・カット	Sao chép và cắt
本プラグインの設定によってはこのイベントにたどり着くことはほとんどない場合があります	Tùy thuộc vào cài đặt của plugin này, có thể bạn sẽ hiếm khi gặp phải sự kiện này
テキスト全選択	Chọn toàn bộ văn bản
テキスト選択	Chọn văn bản
デバッガー起動ログ、デバッガー妨害	Nhật ký khởi động trình gỡ lỗi, sự cố trình gỡ lỗi
デバッグモードの使い勝手を少し悪くし、デバッガを起動したことをログに残します、ブラウザによってはこの挙動が止められてしまいます	Chế độ gỡ lỗi sẽ trở nên khó sử dụng hơn một chút và việc khởi động trình gỡ lỗi sẽ được ghi lại trong nhật ký; tuy nhiên, tùy thuộc vào trình duyệt, hành vi này có thể bị vô hiệu hóa
リダイレクトするURL	URL chuyển hướng
利用規約などのページに転送すると良いでしょう	Bạn nên chuyển hướng người dùng đến các trang như Điều khoản sử dụng
空欄にすると元のURLにリダイレクトをします	Nếu để trống, trang sẽ được chuyển hướng đến URL ban đầu
リダイレクトまでの時間	Thời gian chuyển hướng
リダイレクトなし	Không chuyển hướng
1秒	1 giây
2秒	2 giây
3秒	3 giây
4秒	4 giây
5秒	5 giây
6秒	6 giây
7秒	7 giây
8秒	8 giây
9秒	9 giây
10秒	10 giây
15秒	15 giây
20秒	20 giây
25秒	25 giây
30秒	30 giây
35秒	35 giây
40秒	40 giây
45秒	45 giây
50秒	50 giây
55秒	55 giây
1分	1 phút
1分10秒	1 phút 10 giây
1分20秒	1 phút 20 giây
1分30秒	1 phút 30 giây
1分40秒	1 phút 40 giây
1分50秒	1 phút 50 giây
2分	2 phút
ソース表示を許可する権限	Quyền cho phép hiển thị nguồn
ADMINログイン時のみ通常のソース出力	Chỉ hiển thị mã nguồn thông thường khi đăng nhập với tư cách quản trị viên
USERログインで通常のソース出力	Đăng nhập USER để xuất nguồn thông thường
通常のHTML出力を管理者のみかユーザーログインかを選択します	Chọn xem chỉ quản trị viên hay cả người dùng đã đăng nhập mới có thể xem nội dung HTML thông thường
画像を無理やりダウンロードして実際にダウンロードされるもの	Những tệp tin bị buộc phải tải xuống và những tệp tin thực sự được tải xuống
GIF形式で1×1ピクセルの透過画像	Hình ảnh trong suốt kích thước 1×1 pixel ở định dạng GIF
PNG形式で1×1ピクセルの透過画像	Hình ảnh trong suốt kích thước 1×1 pixel ở định dạng PNG
PNG形式で黄色い背景の警告画面	Màn hình cảnh báo nền vàng ở định dạng PNG
意味のないHTMLドキュメント	Tài liệu HTML vô nghĩa
HTML保護時のHEADタグの出力	Hiển thị thẻ HEAD khi bảo vệ HTML
出力しない	Không hiển thị
TITLEタグのみ	Chỉ thẻ TITLE
WordpressのHEADタグより取得	Lấy từ thẻ HEAD của WordPress
企業用途の会員専用ページや社内ページなどでは「出力しない」、「TITLEタグのみ」で良いでしょう	Trên các trang dành riêng cho thành viên hoặc trang nội bộ của doanh nghiệp, bạn chỉ cần chọn “Không hiển thị” hoặc “Chỉ hiển thị thẻ TITLE” là được.
WordpressのHEADタグから取得しないと、SNSのシェアでOGP画像が表示されません	Nếu không lấy từ thẻ HEAD của WordPress, hình ảnh OGP sẽ không hiển thị khi chia sẻ lên mạng xã hội
画像botをアクセス禁止にする	Chặn bot hình ảnh
画像botをHTMLに対し避けることにより、画像検索から直接リンクされることによって守れなかったコンテンツを守ることができます、ただし完全には対処することはできません	Bằng cách ngăn chặn bot tìm kiếm hình ảnh truy cập vào mã HTML, bạn có thể bảo vệ những nội dung mà trước đây không thể bảo vệ được do bị liên kết trực tiếp từ kết quả tìm kiếm hình ảnh; tuy nhiên, biện pháp này không thể giải quyết triệt để vấn đề.
AI学習用botをアクセス禁止にする	Chặn truy cập vào bot dùng cho việc huấn luyện AI
AIの学習用のbotをHTMLに対し避けることにより、AIで利用されないようにします、ただし完全には対処することはできません	Bằng cách chặn các bot dùng để huấn luyện AI truy cập vào trang HTML, chúng ta có thể ngăn chúng không sử dụng dữ liệu này; tuy nhiên, không thể ngăn chặn hoàn toàn được.
ウェブアーカイブ、ウェブ魚拓をアクセス禁止にする	Chặn truy cập vào kho lưu trữ web và bản sao lưu trang web
自動的に収集されるウェブアーカイブ並びにユーザーの任意で取得される魚拓のアクセスを禁止します、ただし完全には対処することはできません	Chúng tôi sẽ chặn truy cập vào các bản lưu trữ web được thu thập tự động cũng như các bản chụp màn hình do người dùng tự thực hiện; tuy nhiên, chúng tôi không thể ngăn chặn hoàn toàn
無効なUAをアクセス禁止にする	Chặn truy cập từ các UA không hợp lệ
ユーザーエイジェントの文字に不正な文字列があった場合のアクセスを避けます	Hệ thống sẽ chặn truy cập nếu chuỗi ký tự trong User-Agent chứa các ký tự không hợp lệ
Internet Explorerと旧Microsoft Edge(EdgeHTML)のアクセスに警告を表示する	Hiển thị cảnh báo khi truy cập bằng Internet Explorer và Microsoft Edge phiên bản cũ
Internet Explorerと旧Microsoft Edgeのアクセスを避けます	Ngăn chặn truy cập từ Internet Explorer và Microsoft Edge phiên bản cũ
alertメッセージを表示する言語	Ngôn ngữ hiển thị thông báo cảnh báo
Wordpressの言語	Ngôn ngữ của WordPress
ブラウザの設定言語	Ngôn ngữ cài đặt của trình duyệt
メッセージをカスタム設定されている場合は言語を変更できません	Nếu tin nhắn đã được tùy chỉnh, bạn không thể thay đổi ngôn ngữ
同意画面の言語	Ngôn ngữ trên màn hình xác nhận
view-sourceメッセージを表示する言語	Ngôn ngữ hiển thị thông báo view-source
一時使用トークンの有効期限	Thời hạn hiệu lực của mã sử dụng một lần
3分	3 phút
4分	4 phút
5分	5 phút
6分	6 phút
7分	7 phút
8分	8 phút
9分	9 phút
10分	10 phút
15分	15 phút
20分	20 phút
25分	25 phút
30分	30 phút
35分	35 phút
40分	40 phút
45分	45 phút
50分	50 phút
55分	55 phút
1時間	1 giờ
画像URL情報の有効期限を設定します	Đặt thời hạn hiệu lực cho thông tin URL hình ảnh
一度読み込まれると画像URL情報と一時使用トークンは無効化されます	Sau khi được tải vào, thông tin URL hình ảnh và mã thông báo sử dụng tạm thời sẽ bị vô hiệu hóa
画像は遅延読み込みされますが、この指定した時間の30秒前に強制的に画像が読み込まれます	Hình ảnh sẽ được tải chậm, nhưng sẽ được tải trước 30 giây so với thời gian đã chỉ định
一時使用トークンのビット数	Số bit của mã thông báo sử dụng một lần
画像URL情報を暗号化するのに一時使用トークンをパスワードとして使用しますが、その強度を指定します	Chúng tôi sử dụng mã thông báo tạm thời làm mật khẩu để mã hóa thông tin URL hình ảnh; bạn hãy chỉ định mức độ bảo mật của mã thông báo này
ドロップダウンメニューの下に表示される選択肢にいくにつれて強度が強くなるものの、サーバーへの負荷が高くなり、HTML転送量が多くなることがあります	Mặc dù mức độ hiển thị sẽ tăng dần khi người dùng cuộn xuống các tùy chọn trong menu thả xuống, nhưng điều này có thể làm tăng tải trọng lên máy chủ và lượng dữ liệu HTML được truyền tải
ハッシュ化アルゴリズム	Thuật toán băm
画像URL情報を暗号化するのに一時使用トークンをパスワードとして使用しますが、その時ハッシュ化が必要です、その強度を設定します	Chúng tôi sử dụng mã thông báo tạm thời làm mật khẩu để mã hóa thông tin URL hình ảnh, nhưng lúc đó cần phải thực hiện quá trình băm; hãy thiết lập mức độ bảo mật cho quá trình này
ドロップダウンメニューの下に表示される選択肢にいくにつれて強度が強くなるものの、サーバーへの負荷が高くなります	Mặc dù mức độ hiển thị sẽ tăng dần khi di chuyển xuống các tùy chọn xuất hiện dưới menu thả xuống, nhưng điều này sẽ làm tăng tải cho máy chủ
基本設定	Cài đặt cơ bản
高度な設定	Cài đặt nâng cao
初期設定に戻す	Khôi phục cài đặt gốc
デザイン・音の設定	Cài đặt thiết kế và âm thanh
イベントの設定	Cài đặt sự kiện
初回訪問時のお知らせの設定	Cài đặt thông báo cho lần truy cập đầu tiên
メッセージの設定	Cài đặt tin nhắn
右クリックやソースコード表示時に転送する URL を設定します	Cài đặt URL sẽ được chuyển hướng khi nhấp chuột phải hoặc xem mã nguồn
警告メッセージにはHTMLは使用できません	Không được sử dụng HTML trong thông báo cảnh báo
この画面で設定すると、高度な設定タブにある言語設定が無視されます	Nếu bạn thực hiện cài đặt trên màn hình này, các thiết lập ngôn ngữ trong tab Cài đặt nâng cao sẽ bị bỏ qua
以下の文字列が使用できます	Có thể sử dụng các chuỗi ký tự sau đây
改行	Dòng mới
押下されたキー	Phím vừa được nhấn
Neo HTML Protector 設定	Cài đặt Neo HTML Protector
お知らせ	Thông báo
メッセージ	Thông điệp
デザイン・音	Thiết kế và âm thanh
初期化	Khởi tạo
このプラグインについて	Giới thiệu về plugin này
設定が初期化されました	Cài đặt đã được khôi phục về mặc định
プラグインを初期化します なおIPログリーダーのデータはここでは削除されません	Sẽ khởi tạo lại plugin. Lưu ý rằng dữ liệu của Trình đọc nhật ký IP sẽ không bị xóa tại đây.
Neo HTML Protectorについて	Giới thiệu về Neo HTML Protector
このプラグインはあなたのWordpressから出力されるHTMLや画像等を保護し、コンテンツの不正利用から守ることを目的としています。	Plugin này nhằm mục đích bảo vệ các tệp HTML, hình ảnh và các nội dung khác được xuất ra từ WordPress của bạn, đồng thời ngăn chặn việc sử dụng trái phép nội dung.
コンテンツを完璧に守ることはできません。しかし可能な限りの方法において警告し、もし何かがあった場合に備えて準備することにより国で定められている方法で解決することができるはずです。	Không thể bảo vệ nội dung một cách hoàn hảo. Tuy nhiên, bằng cách đưa ra cảnh báo trong phạm vi có thể và chuẩn bị sẵn sàng để ứng phó với mọi tình huống, chúng ta sẽ có thể giải quyết vấn đề theo quy định của pháp luật.
もちろん、利用規約やサイトポリシーを充実させる必要があります。このプラグインは利用規約生成アプリではありませんが、そのヒントを与えることができます。	Tất nhiên, bạn cần phải hoàn thiện các điều khoản sử dụng và chính sách trang web. Plugin này không phải là một ứng dụng tạo điều khoản sử dụng, nhưng nó có thể cung cấp cho bạn những gợi ý hữu ích.
