設定	Inställning
画像URL情報を暗号化するのに一時使用トークンをパスワードとして使用しますが、その時ハッシュ化が必要です、その強度を設定します	Temporary tokens används som lösenord för att kryptera bild-URL-informationen, men de måste hashas, ställ in styrkan på hashingen.
ドロップダウンメニューの下に表示される選択肢にいくにつれて強度が強くなるものの、サーバーへの負荷が高くなります	Intensiteten ökar när du går till de alternativ som anges under rullgardinsmenyn, men belastningen på servern ökar
基本設定	Grundinställning
高度な設定	Avancerade inställningar
初期設定に戻す	återställning till standard
デザイン・音の設定	Design och ljudinställningar
イベントの設定	Händelsekonfiguration.
メッセージの設定	Inställningar för meddelanden
右クリックやソースコード表示時に転送する URL を設定します	Ange den URL som ska vidarebefordras när du högerklickar eller visar källkod.
警告メッセージにはHTMLは使用できません	HTML kan inte användas för varningsmeddelanden
この画面で設定すると、高度な設定タブにある言語設定が無視されます	Om den här skärmen är inställd ignoreras språkinställningarna på fliken avancerade inställningar
以下の文字列が使用できます	Följande strängar kan användas
改行	Ny linje
押下されたキー	Tryck på tangenten
Neo HTML Protector 設定	Inställningar för Neo HTML Protector
メッセージ	Meddelande.
デザイン・音	Design och ljud
初期化	Initialisering
このプラグインについて	Om detta plugin.
設定が初期化されました	Inställningarna har initialiserats.
プラグインを初期化します なおIPログリーダーのデータはここでは削除されません	Initialiserar insticksprogrammet Observera att IP-loggläsardata inte raderas här.
Neo HTML Protectorについて	Om Neo HTML Protector
このプラグインはあなたのWordpressから出力されるHTMLや画像等を保護し、コンテンツの不正利用から守ることを目的としています。	Detta plugin syftar till att skydda HTML, bilder etc. som matas ut från din Wordpress och skydda den från obehörig användning av dess innehåll.
コンテンツを完璧に守ることはできません。しかし可能な限りの方法において警告し、もし何かがあった場合に備えて準備することにより国で定められている方法で解決することができるはずです。	Innehåll kan inte skyddas perfekt. Men genom att varna dem på alla möjliga sätt och vara förberedd om något händer, bör du kunna lösa det på ett nationellt föreskrivet sätt.
もちろん、利用規約やサイトポリシーを充実させる必要があります。このプラグインは利用規約生成アプリではありませんが、そのヒントを与えることができます。	Naturligtvis måste du förbättra dina användarvillkor och webbplatspolicyer. Detta plugin är inte en app som genererar användarvillkor, men det kan ge dig en ledtråd.
開発者: 夜桜　なの	Utvecklare: Nano Yozakura
バージョン	Version
ビルド	Bygga
サポートページ	Supportsida
ISISちゃん	ISIS chan
Miss. 裏まにら氏歌唱	Miss. sjungen av Mr Uramanira
支援のお願い	Begäran om hjälp.
Neo HTML Protectorをご利用いただき、ありがとうございます！	Tack för att du använder Neo HTML Protector!
本プラグインの開発と維持には多くの時間と知恵の絞りだしがかかっており、引き続き改善と更新を行っていくための資金を集めるために、もしご支援いただける方がいれば、寄付をお願いできればと思います。	Mycket tid och visdom har gått in i utvecklingen och underhållet av detta plugin, och vi skulle vara tacksamma för donationer, om några, för att hjälpa oss att samla in pengar för fortsatta förbättringar och uppdateringar.
寄付について	Om donationer
寄付は任意であり、強制ではありません。プラグインを無料でご利用いただけるように、どなたでも利用可能です。しかし、開発を継続するためにはご支援が大変ありがたく、少しでもご協力いただけると嬉しいです。	Donationer är frivilliga och inte obligatoriska. Det är öppet för alla så att plugin-programmet kan användas gratis. Ditt stöd är dock mycket uppskattat för att fortsätta utvecklingen och vi skulle gärna hjälpa till på alla sätt vi kan.
ご寄付は、下記のリンクから行っていただけます。日本の方であれば無料で寄付をすることも可能で、更にはアマゾンギフト券で気軽に寄付をすることが可能です。	Donationer kan göras via länken nedan. Om du är från Japan kan du också donera gratis, och dessutom kan du enkelt donera med Amazon-presentkort.
寄付先	Givare
皆様のご支援があれば、今後も素晴らしいアップデートをお届けできるよう頑張ります！	Med ditt stöd kommer vi att göra vårt bästa för att ge dig bra uppdateringar i framtiden!
ご支援いただけることに感謝し、今後ともよろしくお願いいたします。	Vi tackar för ert stöd och ser fram emot att arbeta med er i framtiden.
ライセンス	Licens
本プラグインはオープンソースで開発されており、GPL2.0以降のバージョンのライセンスを適用しています。	Plugin-programmet har utvecklats som öppen källkod och är licensierat enligt GPL 2.0 eller senare versioner.
本プラグインには以下のライブラリを同梱しています	Följande bibliotek ingår i denna plug-in
本プラグインには以下で生成したアスキーアートのフォント、並びにフォントファイルを同梱しています	Denna plug-in innehåller teckensnitt och teckensnittsfiler för ASCII-bilder som genereras av
アスキーアート（AA）作成	Skapande av ASCII-konst
ラッコ株式会社 利用承諾取得済	Otters Ltd Samtycke för användning har erhållits.
巨大文字AAジェネレーター	Jättekaraktär AA-generator
LAZE SOFTWARE 利用承諾取得済	LAZE SOFTWARE Användningsmedgivande erhållet
The Gnome Project 利用承諾取得済	Gnome-projektet Användningsmedgivande erhållet
このプラグインには、有限会社イージェーが開発を行い、本プラグイン製作者が作曲した、スーパーファミコン非公認ゲーム「SM調教師瞳3」の楽曲が含まれており、正式にライセンスされています。当該楽曲の使用は、有限会社イージェーよりGPL2.0ライセンスの下で正式に許可を得ています	Denna plug-in innehåller musik från det oauktoriserade Super Nintendo Entertainment System
一部で使用しているピアノ音源「Keppys YAMAHA C7」は、KaleidonKep99氏が制作したSoundFontであり、ライセンス条件に従って使用しています	Pianoljudkällan "Keppys YAMAHA C7" som används i vissa delar är SoundFont skapad av KaleidonKep99 och används i enlighet med licensvillkoren.
その他本プラグインの開発にRaspberry Pi5とChatGPTとdeeplを使用しています	Andra Raspberry Pi5, ChatGPT och deepl används vid utvecklingen av detta plugin
キャッシュプラグインを検出しました キャッシュプラグインが有効化されていると本プラグインは正しく動作しません	Cache plugin detected Detta plugin kommer inte att fungera korrekt om cache plugin är aktiverat.
無効なIPアドレス	Ogiltig IP-adress.
このウェブサイトをご利用いただくには、CookieとJavaScriptを有効にしていただく必要があります	Cookies och JavaScript måste vara aktiverade för att du ska kunna använda den här webbplatsen.
通常とは異なる方法でのアクセスや操作が検出されました	Ovanliga metoder för åtkomst eller drift har upptäckts.
セキュリティ並びにコンテンツ保護のため一部の機能を制限しています	Vissa funktioner är begränsade av säkerhetsskäl och för att skydda innehållet.
デバッグモード、コンソールの起動は禁止されています	Felsökningsläge och konsolaktivering är förbjudet
以下の情報がサーバーに送信されました	Följande information har skickats till servern
あなたのIPアドレス	Din IP-adress.
あなたの端末とブラウザ	Din enhet och webbläsare
あなたの押下したキー	Dina nedtryckta tangenter.
リダイレクトをします	Omdirigeringar.
コンテンツ保護のため一部の機能を制限しています	Vissa funktioner är begränsade för att skydda innehållet.
右クリックは禁止されています	Högerklickning är förbjuden.
あなたが押下したキー	Tangent som du tryckt på.
印刷、PDFへの保存は禁止されています	Utskrift och sparande till PDF är förbjudet
スクリーンショットは禁止されています	Skärmdumpar är förbjudna.
スクリーンショット、デバッグモード等の起動は禁止されています	Aktivering av skärmdumpar, felsökningsläge etc. är förbjudet.
ページの保存は禁止されています	Det är förbjudet att spara sidor.
コピー、カットは禁止されています	Kopiering eller klippning är förbjuden.
あなたが起こしたイベント	Händelser som du orsakade.
テキストの選択は禁止されています	Textval är förbjudet.
HTMLソース表示は禁止されています	Visning av HTML-källa är förbjuden.
不正アクセスは禁止されています	Obehörig åtkomst är förbjuden.
アラビア語	Arabiska
ブルガリア語	Bulgariska
チェコ語	Tjeckiska
デンマーク語	Danska
ドイツ語	Tyska
現代ギリシア語	Modern grekiska
英語	Engelska
イギリス英語	Brittisk engelska
アメリカ英語	Amerikansk engelska
スペイン語	Spanska
エストニア語	Estniska
フィンランド語	Finska
フランス語	Franska
ハンガリー語	Ungerska
インドネシア語	Indonesiska
イタリア語	Italienska
日本語	Japanska
朝鮮語	Koreanska
リトアニア語	Litauiska
ラトビア語	Lettiska
ノルウェー語	Norska
オランダ語	Nederländska
ポーランド語	Polska
ポルトガリア語	Portugisiska
ブラジルポルトガル語	Brasiliansk portugisiska
ヨーロピアンポルトガル語	Europeisk portugisiska
ルーマニア語	Rumänska
ロシア語	Ryska
スロバキア語	Slovakien
スロベニア語	Slovenska
スウェーデン語	Svenska
トルコ語	Turkiska
ウクライナ語	Ukrainska
中国語	Kinesiska
簡体中国語	Förenklad kinesiska
繁体中国語	Traditionell kinesiska
不正なリクエストです	Felaktig begäran.
画像が見つかりません	Bilden hittades inte.
画像botをHTMLに対し避けることにより、画像検索から直接リンクされることによって守れなかったコンテンツを守ることができます、ただし完全には対処することはできません	Genom att undvika bildrobotar i förhållande till HTML skyddas innehåll som inte skulle kunna skyddas av direktlänkar från bildsökning, även om detta inte kan åtgärdas helt och hållet.
無効なUAをアクセス禁止にする	Inaktivera åtkomst till ogiltiga UA.
ユーザーエイジェントの文字に不正な文字列があった場合のアクセスを避けます	Undvik åtkomst om det finns en ogiltig teckensträng i användaragenten.
Internet Explorerと旧Microsoft Edgeのアクセスに警告を表示する	Varning för Internet Explorer och tidigare Microsoft Edge-åtkomst.
Internet Explorerと旧Microsoft Edgeのアクセスを避けます	Undvik åtkomst till Internet Explorer och tidigare Microsoft Edge.
このプラグインには有限会社イージェーが開発を行い、本プラグイン製作者が作曲した、スーパーファミコン非公認ゲーム「SM調教師瞳3」の楽曲を含んでおり、正式にライセンスされています	Detta insticksprogram innehåller musik från det icke auktoriserade Super Nintendo Entertainment System
このプラグインには、Keppy氏（KaleidonKep99）によって作成された「Keppy s YAMAHA C7」を使用した楽曲が含まれており、正式にライセンスされています	Detta plugin innehåller musik som använder "Keppy s YAMAHA C7" skapad av Keppy
現在ご利用のブラウザーはサポート対象外の旧バージョンです。より安全で快適な閲覧環境のため、最新のブラウザーへのアップデートをお願いいたします	Den webbläsare du använder för närvarande är en äldre version som inte längre stöds. För att få en säkrare och bekvämare surfmiljö bör du uppdatera till den senaste webbläsaren.
戦闘＆戦闘勝利 - 1分16.3秒 - 630,056bytes - 64kbps - ライセンス：CC2.1 or later	Combat & Battle Victory - 1 min 16,3 sek - 630 056 byte - 64 kbps - Licens: CC2.1 eller senare
おやじ ショート - 3.8秒 - 32,364bytes - 64kbps - ライセンス GPL2.0 or later (C)EJ	Father Short - 3,8 sekunder - 32.364 byte - 64 kbps - licens GPL2.0 eller senare
おやじ ロング - 23.5秒 - 195,578bytes - 64kbps - ライセンス GPL2.0 or later (C)EJ	Father Long - 23,5 sekunder - 195.578 byte - 64 kbps - licens GPL2.0 eller senare
ショパン エチュード Op.10-5 黒鍵 打ち込み版 高速版 - 1分0.0秒 - 369,778bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	Chopin Etude, Op.10-5, svarta tangenter, maskinskriven version, snabbversion - 1 min 0,0 sek - 369 778 byte - 48 kbps - Licens: CC BY-ND 4.0 eller senare
ショパン エチュード Op.10-12 革命 打ち込み版 高速版 - 1分57.6秒 - 724,457bytes - 48kbps -  ライセンス：CC BY-ND 4.0 or later	Chopin Etude, Op.10-12 Revolution, maskinskriven version, snabbversion - 1 min 57.6 sek - 724 457 bytes - 48 kbps - Licens: CC BY-ND 4.0 eller senare
ショパン スケルツォ 変ロ短調 Op2 打ち込み版 高速短縮版 - 1分48.0秒 - 665,369bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	Chopin Scherzo i B-moll, Op2, maskinskriven version, snabb kortversion - 1 min 48,0 sek - 665 369 byte - 48 kbps - licens: CC BY-ND 4.0 eller senare
ファンファーレ - 22.3秒 - 183,926bytes - 64kbps - ライセンス：パブリックドメイン	Fanfare - 22,3 sekunder - 183 926 byte - 64 kbps - Licens: public domain
レトロ風ファンファーレ - 2.2秒 - 10,536bytes - 32kbps - ライセンス：パブリックドメイン	Fanfar i retrostil - 2,2 sekunder - 10 536 bytes - 32 kbps - Licens: Public domain
レトロ風オープン - 42.1秒 - 179,138bytes - 32kbps - ライセンス：パブリックドメイン	Öppet i retrostil - 42,1 sekunder - 179 138 byte - 32 kbps - Licens: Public domain
