設定	Поставки
一般的なHTML圧縮です、難読化解除のサイトもあります	Ова е стандардно HTML компресирање; постојат и веб-страници што можат да го декодираат.
このオプションを有効にするとview-sourceのログが取得できます	Овозможувањето на оваа опција ви овозможува да го добиете логот на view-source.
HTML保護	HTML заштита
HTML圧縮以上に最小限のHTMLしか出力せず、BODYタグ内の内容が全く出力されなくなります	Тој генерира дури и помалку HTML отколку поставката за компресија на HTML, што значи дека содржината во тагот BODY воопшто нема да се прикаже.
Firefoxに対しては無効です	Ова не важи за Firefox
SEOに著しく影響があります	Ова има значително влијание врз СЕО
HTMLをJavaScriptで描画	Исцртување HTML со JavaScript
Firefox対策としてHTMLをJavaScriptで描画をします	За да го заобиколиме Firefox, го рендерираме HTML-от со JavaScript.
JavaScript描画で有効にするとウェブサイトの表示速度が著しく遅くなります	Овозможувањето на JavaScript рендерирање значително ќе ја забави брзината на вчитување на веб-страницата.
画像の保護	Заштита на слика
imgタグが呼び出されるごとに画像を保護	Заштитете ја сликата секојпат кога се повикува тагот img
出力される全HTMLのうち、Wordpressにアップロードされた画像をすべて保護	Заштитете ги сите слики прикачени во WordPress во целиот HTML-излез.
画像をダウンロードから保護します	Ги штити сликите од преземање
画像データを保護した時にはほぼ完全なるダウンロードを阻止し、完全なるワンタイムURLを発行し、セッションに保存されたトークンで認証し、phpから画像を表示します、その為ほぼ完全な画像盗用を防ぎます	Кога податоците за сликите се заштитени, ние спречуваме речиси сите преземања, издаваме уникатни еднократни URL-адреси, автентицираме со токени зачувани во сесијата и ги прикажуваме сликите преку PHP; ова ефикасно спречува речиси сите случаи на кражба на слики.
画像データを保護した時には画像のキャッシュが効かないため、次回訪問時にサイトの読み込みが遅くなるため、SEOに影響があります	Кога податоците за сликите се заштитени, кеширањето не функционира, што значи дека страницата ќе се вчитува побавно при следните посети, со што се влијае на SEO.
画像データを保護した時には、データベースの負荷が高くなる可能性があります	Заштитата на податоците за слики може да го зголеми оптоварувањето на базата на податоци.
「imgタグが呼び出されるごとに画像を保護」の場合は、add_filterを使用し、imgタグの発行時にフィルタリングを行います、テーマによっては正しく動作しません	Ако изберете "Заштити слики секогаш кога се повикува тагот img", системот користи add_filter за да примени филтрирање кога се генерира тагот img; сепак, ова може да не функционира правилно со некои теми.
「出力される全HTMLのうち、Wordpressにアップロードされた画像をすべて保護」の場合は、Wordpressのほぼすべての動作をキャプチャし、コンテンツ内のimgタグについてすべて処理します。テーマによっては正しく動作しません	Ако изберете "Заштити ги сите слики прикачени во WordPress во целокупниот HTML излез", додатокот ќе ги фати речиси сите операции на WordPress и ќе ја обработи секоја ознака img во содржината. Имајте предвид дека ова може да не функционира правилно со некои теми.
なお、アイキャッチに指定した画像はOGPとして拡散されますので保護できません。どうしても保護すべき場合は高度な設定でHTML保護時のHEADタグの出力の選択を変更してください	Ве молиме имајте предвид дека сликите означени како истакнати ќе бидат споделени како OGP податоци и не можат да бидат заштитени. Ако апсолутно морате да ги заштитите, ве молиме променете ја поставката за излез на HEAD тагот во напредните поставки кога овозможувате HTML заштита.
OS標準搭載のスクリーンショット機能を保護することはできません	Функцијата за слика од екранот вклучена како стандард во оперативниот систем не може да се заштити.
画像URLの保護	Заштита на URL-адреси на слики
画像の保護と組み合わせて使用します、単体では意味がありません	Ова треба да се користи во комбинација со заштита на слики; самостојно, нема никаква намена.
JavaScriptにより遅延読まれますのでSEOに影響があります	Бидејќи се вчитува преку JavaScript, ова влијае на SEO.
画像のウォーターマーク	Воден жиг на сликата
右下	долу десно
ランダム位置	Случајна позиција
画像の保護と組み合わせて使用します、動的な透かしで著作権を明示しつつ、閲覧者に監視されている印象を与え抑止力を高めます	Кога се користат заедно со заштита на слики, динамичките водени жигови јасно ја означуваат сопственоста на авторските права, додека им даваат на гледачите впечаток дека се надгледувани, со што делуваат како одвраќач.
JPG形式、PNG形式、WebP形式のみ対応します	Поддржани се само формати JPG, PNG и WebP.
有効にするとサーバーの負荷が高くなります	Овозможувањето на ова ќе го зголеми оптоварувањето на серверот.
HTML難読化・保護時のHTMLソースコードのアスキーアートの出力	Генерирање ASCII-арт од HTML-изворен код за време на замутување и заштита
表示なし	Нема приказ
view-sourceでHTMLソース表示をした時に警告の意思を示すアスキーアートを表示します	Прикажува ASCII-уметност која укажува на предупредување при прегледување на HTML-изворниот код со "view-source"
対象アクションを起こした時の表示デザイン	Прикажи дизајн кога целната акција е извршена
黄色の背景の黒文字のベーシックデザイン	Основен дизајн со црн текст на жолта позадина
黒色の背景の赤文字のホラー風デザイン	Дизајн во стил на хорор со црвен текст на црна позадина
黒色の背景の赤文字の光る文字のデザイン	Дизајн со светлоцрвен текст на црна позадина
対象アクションを起こした時のBGM	Позадинска музика што се пушта кога целната акција е извршена
サウンドなし	Нема звук
戦闘＆戦闘勝利 - 1分16.3秒 - 630,056bytes - 64kbps - ライセンス：CC2.1 or later	Битка и Победа - 1 минута 16,3 секунди - 630.056 бајтови - 64 kbps - Лиценца: CC 2.1 или понова
おやじ ショート - 3.8秒 - 32,364bytes - 64kbps - ライセンス GPL2.0 or later (C)EJ	Татко Шорт - 3,8 секунди - 32.364 бајти - 64 kbps - Лиценца: GPL 2.0 или подоцна
おやじ ロング - 23.5秒 - 195,578bytes - 64kbps - ライセンス GPL2.0 or later (C)EJ	Oyaji Long - 23,5 секунди - 195.578 бајти - 64 kbps - Лиценца: GPL 2.0 или подоцна
ショパン エチュード Op.10-5 黒鍵 打ち込み版 高速版 - 1分0.0秒 - 369,778bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	Шопен Етјуд оп. 10 бр. 5
ショパン エチュード Op.10-12 革命 打ち込み版 高速版 - 1分57.6秒 - 724,457bytes - 48kbps -  ライセンス：CC BY-ND 4.0 or later	Шопен Етјуд оп. 10 бр. 12 "Револуција" – компјутерски генерирана верзија, со голема брзина – 1 минута 57,6 секунди – 724.457 бајтови – 48 kbps – Лиценца: CC BY-ND 4.0 или понова
ショパン スケルツォ 変ロ短調 Op2 打ち込み版 高速短縮版 - 1分48.0秒 - 665,369bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	Шопен: Скерцо во си-бемол-мол, оп. 2 – компјутерски генерирана верзија, забрзана скратена верзија – 1 минута 48,0 секунди – 665.369 бајти – 48 kbps – Лиценца: CC BY-ND 4.0 или подоцна
リスト 超絶技巧練習曲 4番 マゼッパ 打ち込み版 高速短縮版 - 1分51.6秒 - 687,586bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	Список: Étude d'Exécution Transcendante бр. 4, "Мазепа" – компјутерски генерирана верзија, скратена верзија со голема брзина – 1 минута 51,6 секунди – 687.586 бајтови – 48 kbps – Лиценца: CC BY-ND 4.0 или подоцна
ファンファーレ - 22.3秒 - 183,926bytes - 64kbps - ライセンス：パブリックドメイン	Фанfare – 22,3 секунди – 183.926 бајти – 64 kbps – Лиценца: Јавен домен
レトロ風ファンファーレ - 2.2秒 - 10,536bytes - 32kbps - ライセンス：パブリックドメイン	Ретро-стилска фанфера – 2,2 секунди – 10.536 бајти – 32 kbps – Лиценца: Јавен домен
レトロ風オープン - 42.1秒 - 179,138bytes - 32kbps - ライセンス：パブリックドメイン	Ретро-стилско воведување – 42,1 секунди – 179.138 бајти – 32 kbps – Лиценца: Јавен домен
警告 by ChatGPT - 3.8秒 - 109,700bytes - 256kbps - ライセンス：パブリックドメイン	Предупредување од ChatGPT - 3,8 секунди - 109.700 бајтови - 256 kbps - Лиценца: Јавен домен
マルウェア検出みたいな緊急感の高い音 その１ by ChatGPT - 3.3秒 - 102,850bytes - 256kbps - ライセンス：パブリックドメイン	Звук со висок приоритет, сличен на аларм за откривање малвер – Дел 1 од ChatGPT – 3,3 секунди – 102.850 бајти – 256 kbps – Лиценца: Јавен домен
マルウェア検出みたいな緊急感の高い音 その２ by ChatGPT - 3.3秒 - 103,122bytes - 256kbps - ライセンス：パブリックドメイン	Звук со висок приоритет, како предупредување за откривање малвер, дел 2 од ChatGPT - 3,3 секунди - 103.122 бајтови - 256 kbps - Лиценца: Јавен домен
MRI風サウンド by ChatGPT - 1分14.9秒 - 3,340,392bytes - 320kbps - ライセンス：パブリックドメイン	Звук во стил на МРИ од ChatGPT – 1 минута 14,9 секунди – 3.340.392 бајти – 320 kbps – Лиценца: Јавен домен
警告表示中のBGMを選択します	Изберете ја позадинската музика што ќе се пушти за време на предупредување.
びっくりするような雰囲気を作ります	Тоа создава изненадувачка атмосфера
Firefoxでは音声ブロックされます	Аудиото е блокирано во Firefox
対象アクションを起こした時のビープ音	Бип кога ќе се изврши наведеното дејство
有効 音量小さ目	Вклучено, јачина ниска
有効 音量大き目	Активен, јачината е поставена на високо
警告表示中にすべてのキー・マウスイベントでビープ音を鳴らします	Ќе се слушне бип за сите настани со тастери и глувче додека се прикажува предупредување.
警告表示中に端末が暴走したかのような雰囲気を作ります	Се создава впечаток дека уредот е излезен од контрола додека се прикажува предупредувањето.
対象アクションを起こした時のマウスカーソルの消去	Скривање на курсорот на глувчето кога се извршува одредена акција
警告表示中にブラウザのエリアのマウスカーソルを消去します	Го крие курсорот на глувчето во прелистувачот додека се прикажува предупредување
デバッグモード	Режим за отстранување грешки
妨害＋記録のみ	Интерференција + Рекорди само
妨害＋記録＋表示＋リダイレクト	Интерференција + Евидентирање + Прикажување + Пренасочување
メニューからは操作できてしまいます	Сè уште можете да пристапите до него преку менито.
Firefoxにおけるデバッグモード	Режим за отстранување грешки во Firefox
ブラウザーコンソール	Конзола на прелистувачот
事実上デバッグモードから操作できてしまいます	Всушност, можете да го користите во режим на отстранување грешки.
HTMLソース表示	Прикажи HTML извор
view-source:から始まるURLを入力すれば操作できてしまいます	Можете да ја извршите операцијата едноставно со внесување на URL што започнува со "view-source:".
HTML保護と組み合わせることでコンテンツを保護することができます	Можете да ја заштитите вашата содржина со комбинирање на ова со HTML заштита.
印刷	Печати
印刷阻止をするもものの、ブラウザによってはうまく動作しません	Иако спречува печатење, можеби нема да работи правилно во некои прелистувачи.
スクリーンショット	Слика од екранот
OSやブラウザ、方法によっては妨害できず、もしくは検出しないことがあります	Во зависност од оперативниот систем, прелистувачот или користениот метод, можеби нема да биде можно да се блокира ова или тоа може да не се открие.
ウインドウが背面に移動した時スクリーンショットの疑い	Потенцијален скриншот кога прозорецот се поместува во позадина
あわせて、スクリーンショット以外の機能（タブ切り替え・ウィンドウ切り替え）にも反応してしまいます。	Исто така, реагира и на функции освен правење снимки од екранот
2キー押下のスクリーンショットの疑い	Сомнителен скриншот направен со притискање на две копчиња
上の項目の検出方法は完全ではありません、予防的に検出を行います	Методите за откривање на горенаведените предмети не се сигурни; откривањето се спроведува како превентивна мерка.
スクリーンショットだけではなく、デバッグモード等も検出します	Тоа детектира не само снимки од екранот, туку и режими за отстранување грешки и слично.
ページ保存	Зачувај ја страницата
右クリック	десен клик
アドオンがインストールされていると操作できてしまいます	Ако додатокот е инсталиран, ќе можете да го користите.
コピー・カット	Копирај и исечи
本プラグインの設定によってはこのイベントにたどり着くことはほとんどない場合があります	Во зависност од поставките на овој додаток, може ретко да се соочите со овој настан.
テキスト全選択	Изберете го целиот текст
テキスト選択	Изберете текст
デバッガー起動ログ、デバッガー妨害	Дневник при стартување на отстранувачот на грешки, мешање на отстранувачот на грешки
デバッグモードの使い勝手を少し悪くし、デバッガを起動したことをログに残します、ブラウザによってはこの挙動が止められてしまいます	Ова го прави режимот за отстранување грешки малку помалку пријателски за корисникот и го евидентира фактот дека отстранувачот на грешки е стартуван; сепак, некои прелистувачи може да го блокираат ова однесување.
リダイレクトするURL	Пренасочи URL
利用規約などのページに転送すると良いでしょう	Би било добра идеја да ги пренасочите корисниците кон страници како Условите за користење.
空欄にすると元のURLにリダイレクトをします	Ако остане празно, ќе пренасочи кон оригиналната URL-адреса.
リダイレクトまでの時間	Време до пренасочување
リダイレクトなし	Нема пренасочување
1秒	1 секунда
2秒	2 секунди
3秒	3 секунди
4秒	4 секунди
5秒	5 секунди
6秒	6 секунди
7秒	7 секунди
8秒	8 секунди
9秒	9 секунди
10秒	10 секунди
15秒	15 секунди
20秒	20 секунди
25秒	25 секунди
30秒	30 секунди
35秒	35 секунди
40秒	40 секунди
45秒	45 секунди
50秒	50 секунди
55秒	55 секунди
1分	1 минута
1分10秒	1 минута 10 секунди
1分20秒	1 минута 20 секунди
1分30秒	1 минута 30 секунди
1分40秒	1 минута 40 секунди
1分50秒	1 минута 50 секунди
2分	2 минути
ソース表示を許可する権限	Дозвола за прегледување на изворниот код
ADMINログイン時のみ通常のソース出力	Нормален излез од изворот само кога сте најавени како ADMIN
USERログインで通常のソース出力	Нормален излез од изворот кога сте најавени како КОРИСНИК
通常のHTML出力を管理者のみかユーザーログインかを選択します	Изберете дали стандардниот HTML излез е ограничен само за администратори или бара најавување на корисник.
画像を無理やりダウンロードして実際にダウンロードされるもの	Принудување на слика да се преземе и што всушност се презема
GIF形式で1×1ピクセルの透過画像	Проѕирна слика со 1×1 пиксел во GIF формат
PNG形式で1×1ピクセルの透過画像	Проѕирна слика со 1×1 пиксел во PNG формат
PNG形式で黄色い背景の警告画面	Предупредувачки екран со жолта позадина во PNG формат
意味のないHTMLドキュメント	Безмислен HTML документ
HTML保護時のHEADタグの出力	Излез на тагот HEAD кога HTML е заштитен
出力しない	Не печати
TITLEタグのみ	Само таг за наслов
WordpressのHEADタグより取得	Преземено од HEAD тагот на WordPress
企業用途の会員専用ページや社内ページなどでは「出力しない」、「TITLEタグのみ」で良いでしょう	За корпоративни страници за членови и внатрешни страници, доволно е да се избере "Не прикажувај" или "Само TITLE таг".
WordpressのHEADタグから取得しないと、SNSのシェアでOGP画像が表示されません	Доколку не ја извлечете информацијата од HEAD тагот на WordPress, OGP сликата нема да се прикаже при споделување на социјалните мрежи.
画像botをアクセス禁止にする	Блокирај го ботот за слики
画像botをHTMLに対し避けることにより、画像検索から直接リンクされることによって守れなかったコンテンツを守ることができます、ただし完全には対処することはできません	Со спречување на ботови за слики да пристапуваат до HTML, можете да заштитите содржина која не можеше да се заштити од директно поврзување преку пребарување на слики; сепак, ова не обезбедува целосно решение.
AI学習用botをアクセス禁止にする	Блокирај пристап до ботот за обука на вештачка интелигенција
AIの学習用のbotをHTMLに対し避けることにより、AIで利用されないようにします、ただし完全には対処することはできません	Со избегнување на користење ботови наменети за обука на вештачка интелигенција на HTML, обезбедуваме дека содржината нема да биде искористена од ВИ; сепак, ова не може целосно да се спречи.
ウェブアーカイブ、ウェブ魚拓をアクセス禁止にする	Блокирајте пристап до веб-архиви и веб-снимки
自動的に収集されるウェブアーカイブ並びにユーザーの任意で取得される魚拓のアクセスを禁止します、ただし完全には対処することはできません	Ние го забрануваме пристапот до автоматски собирани веб-архиви и снимки од екранот направени по дискреција на корисникот; сепак, не можеме целосно да го спречиме тоа.
無効なUAをアクセス禁止にする	Блокирај невалидни кориснички агенти
ユーザーエイジェントの文字に不正な文字列があった場合のアクセスを避けます	Го спречува пристапот ако низата на корисничкиот агент содржи неважечки знаци
Internet Explorerと旧Microsoft Edge(EdgeHTML)のアクセスに警告を表示する	Прикажете предупредување при пристап до Internet Explorer и стариот Microsoft Edge
Internet Explorerと旧Microsoft Edgeのアクセスを避けます	Го спречува пристапот преку Internet Explorer и стариот Microsoft Edge
alertメッセージを表示する言語	Јазик на кој се прикажуваат предупредувачки пораки
Wordpressの言語	Јазици на WordPress
ブラウザの設定言語	Јазични поставки на прелистувачот
メッセージをカスタム設定されている場合は言語を変更できません	Не можете да го промените јазикот ако пораките се прилагодени.
同意画面の言語	Јазик на екранот за согласност
view-sourceメッセージを表示する言語	Јазик за прикажување на пораката "view-source"
一時使用トークンの有効期限	Рок на траење на привремените токени
3分	3 минути
4分	4 минути
5分	5 минути
6分	6 минути
7分	7 минути
8分	8 минути
9分	9 минути
10分	10 минути
15分	15 минути
20分	20 минути
25分	25 минути
30分	30 минути
35分	35 минути
40分	40 минути
45分	45 минути
50分	50 минути
55分	55 минути
1時間	1 час
画像URL情報の有効期限を設定します	Поставете датум на истекување за информациите за URL-адресата на сликата
一度読み込まれると画像URL情報と一時使用トークンは無効化されます	Откако ќе се вчита, URL-адресата на сликата и привремениот токен ќе бидат неважечки.
画像は遅延読み込みされますが、この指定した時間の30秒前に強制的に画像が読み込まれます	Сликите се вчитуваат по потреба, но ќе се вчитаат автоматски 30 секунди пред наведеното време.
一時使用トークンのビット数	Број на битови во привремен токен
画像URL情報を暗号化するのに一時使用トークンをパスワードとして使用しますが、その強度を指定します	Привремено токен се користи како лозинка за шифрирање на информациите за URL-адресата на сликата; оваа поставка ја одредува неговата јачина.
ドロップダウンメニューの下に表示される選択肢にいくにつれて強度が強くなるものの、サーバーへの負荷が高くなり、HTML転送量が多くなることがあります	Иако опциите прикажани под паѓачкото мени стануваат сè подетални, ова може да наметне голем товар на серверот и да резултира со пренос на голем обем HTML-податоци.
ハッシュ化アルゴリズム	Хеш-алгоритам
画像URL情報を暗号化するのに一時使用トークンをパスワードとして使用しますが、その時ハッシュ化が必要です、その強度を設定します	Привремено токен се користи како лозинка за шифрирање на информациите за URL-адресата на сликата; ова бара хеширање, а оваа поставка ја одредува јачината на тоа хеширање.
ドロップダウンメニューの下に表示される選択肢にいくにつれて強度が強くなるものの、サーバーへの負荷が高くなります	Иако интензитетот се зголемува како што се спуштате низ списокот со опции прикажани во паѓачкото мени, ова наметнува поголем товар на серверот.
基本設定	Основни поставки
高度な設定	Напредни поставки
初期設定に戻す	Врати ги стандардните поставки
デザイン・音の設定	Дизајн и звучни поставки
イベントの設定	Поставки на настанот
初回訪問時のお知らせの設定	Поставување известувања за први посети
メッセージの設定	Поставки за пораки
右クリックやソースコード表示時に転送する URL を設定します	Поставете ја URL-адресата што ќе се отвори при клик со десен клик или при прегледување на изворниот код
警告メッセージにはHTMLは使用できません	HTML не може да се користи во пораки за предупредување.
この画面で設定すると、高度な設定タブにある言語設定が無視されます	Ако го конфигурирате ова на овој екран, поставките за јазик во напредниот таб ќе бидат игнорирани.
以下の文字列が使用できます	Може да се користат следниве низи
改行	Прекин на линијата
押下されたキー	Притиснато копче
Neo HTML Protector 設定	Поставки на Neo HTML Protector
お知らせ	Известување
メッセージ	Порака
デザイン・音	Дизајн и звук
初期化	Иницијализација
このプラグインについて	За овој додаток
設定が初期化されました	Поставките се ресетирани
プラグインを初期化します なおIPログリーダーのデータはここでは削除されません	Иницијализирајте го додатокот. Ве молиме имајте предвид дека податоците на IP Log Reader нема да бидат избришани во оваа фаза.
Neo HTML Protectorについて	За Neo HTML Protector
このプラグインはあなたのWordpressから出力されるHTMLや画像等を保護し、コンテンツの不正利用から守ることを目的としています。	Овој додаток е дизајниран да ги заштити HTML-кодот, сликите и другиот содржински материјал генериран од вашата WordPress-страница, штитејќи ја од неовластена употреба.
コンテンツを完璧に守ることはできません。しかし可能な限りの方法において警告し、もし何かがあった場合に備えて準備することにより国で定められている方法で解決することができるはずです。	Невозможно е целосно да се заштити содржината. Сепак, со издавање предупредувања секогаш кога е можно и со преземање мерки во случај да се случи нешто, треба да можеме да го решиме проблемот во согласност со процедурите утврдени од владата.
もちろん、利用規約やサイトポリシーを充実させる必要があります。このプラグインは利用規約生成アプリではありませんが、そのヒントを与えることができます。	Секако, ќе треба да се уверите дека вашите услови за користење и политиките на сајтот се сеопфатни. Иако овој додаток не е алатка за генерирање на услови за користење, тој може да обезбеди одредени насоки.
開発者: 夜桜　なの	Развивач: Нано Јозакура
バージョン	Верзија
ビルド	Изгради
サポートページ	Страница за поддршка
ISISちゃん	ISIS chan
Miss. 裏まにら氏歌唱	Изведено од госпоѓица Ура Манира
支援のお願い	Барање за поддршка
Neo HTML Protectorをご利用いただき、ありがとうございます！	Ви благодариме што го користите Neo HTML Protector!
本プラグインの開発と維持には多くの時間と知恵の絞りだしがかかっており、引き続き改善と更新を行っていくための資金を集めるために、もしご支援いただける方がいれば、寄付をお願いできればと思います。	Развојот и одржувањето на овој додаток бараа многу време и труд, и за да собереме средства за негово понатамошно подобрување и ажурирање, ќе бидеме благодарни ако секој што е во можност да нè поддржи размисли за донација.
寄付について	За донации
寄付は任意であり、強制ではありません。プラグインを無料でご利用いただけるように、どなたでも利用可能です。しかし、開発を継続するためにはご支援が大変ありがたく、少しでもご協力いただけると嬉しいです。	Донациите се целосно доброволни и не се задолжителни. Плугинот е достапен за сите бесплатно. Сепак, вашата поддршка е многу ценета за да ни помогне да продолжиме со развојот, и ќе ни биде драго ако можете да донирате дури и мала сума.
ご寄付は、下記のリンクから行っていただけます。日本の方であれば無料で寄付をすることも可能で、更にはアマゾンギフト券で気軽に寄付をすることが可能です。	Можете да донирате преку линкот подолу. Ако се наоѓате во Јапонија, можете да донирате бесплатно, а исто така можете лесно да донирате со Amazon подарочни ваучери.
寄付先	Добротворни организации
皆様のご支援があれば、今後も素晴らしいアップデートをお届けできるよう頑張ります！	Со вашата поддршка, ќе дадеме сè од себе за да продолжиме да ви носиме фантастични новости!
ご支援いただけることに感謝し、今後ともよろしくお願いいたします。	Ви благодариме за вашата поддршка и со нетрпение ја очекуваме вашата континуирана поддршка во иднина.
ライセンス	Лиценца
本プラグインはオープンソースで開発されており、GPL2.0以降のバージョンのライセンスを適用しています。	Овој додаток е развиен како софтвер со отворен код и е лиценциран под GPLv2.0 или понова.
このプラグインに含まれるいくつかの技術は特許保護の対象です。	Некои од технологиите вклучени во овој додаток се заштитени со патенти.
特許技術の使用は、このプラグイン内での使用に限って認められます。	Употребата на патентираната технологија е дозволена исклучиво во рамките на овој додаток.
その他の使用については、作者に連絡して商用ライセンスを取得してください。	За каква било друга употреба, ве молиме контактирајте го авторот за да добиете комерцијална лиценца.
本プラグインには以下のライブラリを同梱しています	Овој додаток ги вклучува следниве библиотеки
本プラグインには以下で生成したアスキーアートのフォント、並びにフォントファイルを同梱しています	Овој додаток ги вклучува ASCII-арт фонтовите генерирани подолу, заедно со датотеките на фонтовите.
このプラグインには有限会社イージェーが開発を行い、本プラグイン製作者が作曲した、スーパーファミコン非公認ゲーム「SM調教師瞳3」の楽曲を含んでおり、正式にライセンスされています	Овој додаток вклучува музика од неофицијалната Super Famicom игра "SM Trainer Hitomi 3", развиена од EJ Co., Ltd. и композицирана од креаторот на овој додаток, и е официјално лиценцирана.
このプラグインには、Keppy氏（KaleidonKep99）によって作成された「Keppy s YAMAHA C7」を使用した楽曲が含まれており、正式にライセンスされています	Овој додаток вклучува траки создадени со "Keppy's YAMAHA C7", развиени од Keppy
その他本プラグインの開発にRaspberry Pi5とChatGPTとdeeplを使用しています	Исто така, користев Raspberry Pi 5, ChatGPT и DeepL во развојот на овој додаток.
キャッシュプラグインを検出しました キャッシュプラグインが有効化されていると本プラグインは正しく動作しません	Детектиран е додаток за кеширање. Овој додаток нема да функционира правилно ако е овозможен додаток за кеширање.
無効なIPアドレス	Невалидна IP-адреса
このウェブサイトをご利用いただくには、CookieとJavaScriptを有効にしていただく必要があります	За да ја користите оваа веб-страница, мора да овозможите колачиња и JavaScript.
利用規約	Услови за користење
