設定	Tautuhinga
戦闘＆戦闘勝利 - 1分16.3秒 - 630,056bytes - 64kbps - ライセンス：CC2.1 or later	Pakanga me te Toa - 1 meneti 16.3 hēkona - 630,056 baiti - 64 kbps - Raihana: CC 2.1, 2.2 rānei, 3.0 rānei
おやじ ショート - 3.8秒 - 32,364bytes - 64kbps - ライセンス GPL2.0 or later (C)EJ	Pōtaka a Pāpā - 3.8 hēkona - 32,364 baiti - 64 kbps - Raihana: GPL 2.0, 2.1 rānei, 3.0 rānei
おやじ ロング - 23.5秒 - 195,578bytes - 64kbps - ライセンス GPL2.0 or later (C)EJ	Oyaji Long - 23.5 hēkona - 195,578 baiti - 64 kbps - Raihana: GPL 2.0, 2.1 rānei, 3.0 rānei
ショパン エチュード Op.10-5 黒鍵 打ち込み版 高速版 - 1分0.0秒 - 369,778bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	Chopin Étude Op. 10 No. 5
ショパン エチュード Op.10-12 革命 打ち込み版 高速版 - 1分57.6秒 - 724,457bytes - 48kbps -  ライセンス：CC BY-ND 4.0 or later	Chopin Étude Op. 10 No. 12 'Revolution' – putanga hangaia e te rorohiko, putanga tere-nui – 1 meneti 57.6 hēkona – 724,457 baiti – 48 kbps – Raihana: CC BY-ND 4.0, 4.0 rānei i muri mai
ショパン スケルツォ 変ロ短調 Op2 打ち込み版 高速短縮版 - 1分48.0秒 - 665,369bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	Chopin: Scherzo i roto i te B-pōhatu iti, Op. 2 – Putanga i hangaia e te rorohiko, putanga whakakōpaki tere-nui – 1 meneti 48.0 hēkona – 665,369 baiti – 48 kbps – Raihana: CC BY-ND 4.0, 5.0 rānei
リスト 超絶技巧練習曲 4番 マゼッパ 打ち込み版 高速短縮版 - 1分51.6秒 - 687,586bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	Rārangi: Étude d'Exécution No. 4 'Mazeppa'
ファンファーレ - 22.3秒 - 183,926bytes - 64kbps - ライセンス：パブリックドメイン	Whakanui – 22.3 hēkona – 183,926 baiti – 64 kbps – Raihana: Rawa tūmatanui
レトロ風ファンファーレ - 2.2秒 - 10,536bytes - 32kbps - ライセンス：パブリックドメイン	Harikoa āhua retro – 2.2 hēkona – 10,536 baiti – 32 kbps – Raihana: Rawa tūmatanui
レトロ風オープン - 42.1秒 - 179,138bytes - 32kbps - ライセンス：パブリックドメイン	Whakataki āhua retro – 42.1 hēkona – 179,138 baiti – 32 kbps – Raihana: Rawa tūmatanui
警告 by ChatGPT - 3.8秒 - 109,700bytes - 256kbps - ライセンス：パブリックドメイン	Whakatūpato nā ChatGPT - 3.8 hēkona - 109,700 baiti - 256 kbps - Raihana: Rawa tūmatanui
マルウェア検出みたいな緊急感の高い音 その１ by ChatGPT - 3.3秒 - 102,850bytes - 256kbps - ライセンス：パブリックドメイン	He oro tino ohorere, pērā i te whakatūpato mō te kitenga raupaparorohiko kino – Wāhanga 1 nā ChatGPT – 3.3 hēkona – 102,850 baiti – 256 kbps – Raihana: Rawa tūmatanui
マルウェア検出みたいな緊急感の高い音 その２ by ChatGPT - 3.3秒 - 103,122bytes - 256kbps - ライセンス：パブリックドメイン	He oro tino ohorere, pērā i te whakatūpato mō te kitenga raupatu rorohiko, Wāhanga 2 nā ChatGPT - 3.3 hēkona - 103,122 baiti - 256 kbps - Raihana: Rawa tūmatanui
MRI風サウンド by ChatGPT - 1分14.9秒 - 3,340,392bytes - 320kbps - ライセンス：パブリックドメイン	Oro āhua MRI nā ChatGPT – 1 meneti 14.9 hēkona – 3,340,392 baiti – 320 kbps – Raihana: Rawa tūmatanui
警告表示中のBGMを選択します	Tīpakohia te puoro papamuri hei purei i te wā o te whakatūpato.
びっくりするような雰囲気を作ります	Ka waihanga i tētahi āhuatanga ohorere
Firefoxでは音声ブロックされます	Kua aukatia te oro i Firefox
対象アクションを起こした時のビープ音	He bipa ka mahia te mahi kua tautuhia
有効 音量小さ目	Kei runga, he iti te rōrahi
有効 音量大き目	Kei te mahi, kua whakaritea te rōrahi ki te teitei
警告表示中にすべてのキー・マウスイベントでビープ音を鳴らします	Ka tangi tētahi bip mō ngā mahi katoa o te matua me te kiore, i te wā e whakaatuhia ana he whakatūpato.
警告表示中に端末が暴走したかのような雰囲気を作ります	Ka waihanga i te āhua kua hē te pūrere i te wā e whakaatuhia ana te whakatūpato.
対象アクションを起こした時のマウスカーソルの消去	Huna i te tohu kiore i te wā ka mahia tētahi mahi motuhake
警告表示中にブラウザのエリアのマウスカーソルを消去します	Ka huna te tohu kiore i te wāhi tirotiro i te wā e whakaatuhia ana tētahi whakatūpato.
デバッグモード	Aratau whakatika hapa
妨害＋記録のみ	Whakararu + Rēkōrda anake
妨害＋記録＋表示＋リダイレクト	Whakararuraru + Rēhita + Whakaatu + Arataki anō
メニューからは操作できてしまいます	Ka taea tonu e koe te uru mā te tahua.
Firefoxにおけるデバッグモード	Aratau wetewete hapa i Firefox
ブラウザーコンソール	Kōnae pūrongo pūtirotiro
事実上デバッグモードから操作できてしまいます	I te tūturu, ka taea e koe te whakahaere i a ia mai i te aratau wetewete hapa.
HTMLソース表示	Tirohia te puna HTML
view-source:から始まるURLを入力すれば操作できてしまいます	Ka taea e koe te whakahaere i te mahi mā te whakauru noa i tētahi URL e tīmata ana ki te 'view-source:'
HTML保護と組み合わせることでコンテンツを保護することができます	Ka taea e koe te tiaki i tō ihirangi mā te whakakotahi i tēnei ki te tiaki HTML.
印刷	Tā
印刷阻止をするもものの、ブラウザによってはうまく動作しません	Ahakoa e aukati ana i te tā, tērā pea kāore e mahi tika i ētahi pūtirotiro.
スクリーンショット	Whakaahua mata
OSやブラウザ、方法によっては妨害できず、もしくは検出しないことがあります	I runga i te pūnaha whakahaere, te kaitirotiro paetukutuku, te tikanga rānei e whakamahia ana, tērā pea kāore e taea te aukati i tēnei, tērā pea kāore rānei e kitea.
ウインドウが背面に移動した時スクリーンショットの疑い	Whakaahua mata e whakapaetia ana i te wā ka neke te matapihi ki muri
あわせて、スクリーンショット以外の機能（タブ切り替え・ウィンドウ切り替え）にも反応してしまいます。	Ka whakautu hoki ki ētahi atu mahi, ehara i te hopu mata anake
2キー押下のスクリーンショットの疑い	E whakapaetia ana he whakaahuamata i tangohia mā te pēhi i ngā kī e rua.
上の項目の検出方法は完全ではありません、予防的に検出を行います	Ehara i te mea ka tino pūmau ngā tikanga rapu mō ngā mea kua whakahuatia ake nei; ka mahia te rapu hei tikanga āta tiaki.
スクリーンショットだけではなく、デバッグモード等も検出します	Ka kitea e ia ehara i ngā whakaahua mata anake, engari anō hoki ngā aratau wetewete hapa me ērā atu.
ページ保存	Tārewa i te whārangi
右クリック	Pāwhiri-matau
アドオンがインストールされていると操作できてしまいます	Mēnā kua tāuta te mono tāpiri, ka taea e koe te whakamahi.
コピー・カット	Kape me te tapahi
本プラグインの設定によってはこのイベントにたどり着くことはほとんどない場合があります	I runga i ngā tautuhinga o tēnei mono tāpiri, tērā pea kāore koe e tino kite i tēnei kaupapa.
テキスト全選択	Tīpakohia ngā kupu katoa
テキスト選択	Tīpako kuputuhi
デバッガー起動ログ、デバッガー妨害	Rēhita tīmatanga o te kaitātari hapa, whakararu a te kaitātari hapa
デバッグモードの使い勝手を少し悪くし、デバッガを起動したことをログに残します、ブラウザによってはこの挙動が止められてしまいます	Nā tēnei ka iti ake te māmā o te aratau wetewete hapa, ā, ka tuhi i te kōrero kua whakarewahia te kaitātari hapa; heoi, tērā pea ka aukatia tēnei whanonga e ētahi pūtirotiro.
リダイレクトするURL	Whakawhiti URL
利用規約などのページに転送すると良いでしょう	He whakaaro pai kia whakawhiti i ngā kaiwhakamahi ki ngā whārangi pērā i ngā Tikanga Whakamahi.
空欄にすると元のURLにリダイレクトをします	Mēnā ka waiho he wāhi wātea, ka whakawhiti ki te URL taketake.
リダイレクトまでの時間	Te wā kia whakahōputu
リダイレクトなし	Kāore he whakawhiti
1秒	Tētahi hēkona
2秒	Rua hēkona
3秒	3 hēkona
4秒	Whā hēkona
5秒	Rima hēkona
6秒	E ono hēkona
7秒	Whitu hēkona
8秒	Waru hēkona
9秒	Iwa hēkona
10秒	Tekau hēkona
15秒	Tekau mā rima hēkona
20秒	Rua tekau hēkona
25秒	25 hēkona
30秒	30 hēkona
35秒	35 hēkona
40秒	40 hēkona
45秒	45 hēkona
50秒	Rima tekau hēkona
55秒	Rima tekau mā rima hēkona
1分	Tētahi meneti
1分10秒	Tētahi meneti tekau hēkona
1分20秒	Tau kotahi meneti, hēkona rua tekau
1分30秒	Tau meneti kotahi me ngā hēkona toru tekau
1分40秒	Tētahi meneti whā tekau hēkona
1分50秒	Tētahi meneti me te rima tekau hēkona
2分	Meneti e rua
ソース表示を許可する権限	Te whakaaetanga ki te tiro i te waehere puna
ADMINログイン時のみ通常のソース出力	Me puta noa te putanga pūtake i te wā e takiuru ana hei ADMIN.
USERログインで通常のソース出力	Putanga noa mai i te puna ina takiuru ana hei USER
通常のHTML出力を管理者のみかユーザーログインかを選択します	Tīpakohia mēnā ka herea te whakaputanga HTML paerewa ki ngā kaiwhakahaere anake, ki te hiahia rānei kia takiuru te kaiwhakamahi.
画像を無理やりダウンロードして実際にダウンロードされるもの	Te whakahau kia tikiake he whakaahua, me te mea ka tikiake tūturu
GIF形式で1×1ピクセルの透過画像	He whakaahua mārama kotahi-pikise, kotahi-pikise i roto i te hōputu GIF
PNG形式で1×1ピクセルの透過画像	He whakaahua 1×1 pika mārama i roto i te hōputu PNG
PNG形式で黄色い背景の警告画面	He mata whakatūpato me te papamuri kōwhai i roto i te hōputu PNG
意味のないHTMLドキュメント	He tuhinga HTML kāore he tikanga
HTML保護時のHEADタグの出力	Putanga o te tapanga HEAD i te wā e tiakina ana te HTML
出力しない	Kaua e tā
TITLEタグのみ	Tāpiri anake te tapanga Taitara
WordpressのHEADタグより取得	I tangohia mai i te tapanga HEAD o WordPress
企業用途の会員専用ページや社内ページなどでは「出力しない」、「TITLEタグのみ」で良いでしょう	Mō ngā whārangi mō ngā mema anake hei whakamahinga ā-pakihi me ngā whārangi ā-roto, ka tau te kōwhiri i te 'Kaua e whakaputa' rānei i te 'Tohu Taitara anake'.
WordpressのHEADタグから取得しないと、SNSのシェアでOGP画像が表示されません	Ki te kore koe e tiki i ngā pārongo mai i te tapanga HEAD o WordPress, kāore te whakaahua OGP e whakaatuhia ina tohatoha ana ki ngā pāpāho pāpori.
画像botをアクセス禁止にする	Aukati i te pūmanawa whakaahua
画像botをHTMLに対し避けることにより、画像検索から直接リンクされることによって守れなかったコンテンツを守ることができます、ただし完全には対処することはできません	Mā te aukati i ngā pōtī whakaahua kia kore e uru ki te HTML, ka taea e koe te tiaki i ngā ihirangi kāore i taea te tiaki i ngā hononga tūturu mā te rapu whakaahua; heoi, ehara tēnei i te rongoā katoa.
AI学習用botをアクセス禁止にする	Aukati i te uru ki te bot whakangungu AI
AIの学習用のbotをHTMLに対し避けることにより、AIで利用されないようにします、ただし完全には対処することはできません	Mā te karo i te whakamahi i ngā pōtī i hangaia hei whakangungu mā te AI i runga i te HTML, ka whakarite mātou kia kore ai e whakamahia te ihirangi e te AI; heoi, kāore e taea te aukati katoa.
ウェブアーカイブ、ウェブ魚拓をアクセス禁止にする	Aukati i te uru ki ngā pātaka paetukutuku me ngā whakaahua paetukutuku
自動的に収集されるウェブアーカイブ並びにユーザーの任意で取得される魚拓のアクセスを禁止します、ただし完全には対処することはできません	Ka aukatia e mātou te uru ki ngā pātaka paetukutuku kua kohia aunoa me ngā whakaahua mata i tangohia e te kaiwhakamahi i runga i tōna ake whakaaro; heoi, kāore e taea e mātou te aukati katoa i tēnei.
無効なUAをアクセス禁止にする	Aukati i ngā kaiwhakamahi pūtirotiro kua whakakorehia
ユーザーエイジェントの文字に不正な文字列があった場合のアクセスを避けます	Ka aukati i te uru mēnā kei roto i te aho ingoa kaiwhakamahi-ā-pūtirotiro he pūāhua hē.
Internet Explorerと旧Microsoft Edge(EdgeHTML)のアクセスに警告を表示する	Whakaatuhia he whakatūpato ina uru ana ki Internet Explorer me te Microsoft Edge tawhito
Internet Explorerと旧Microsoft Edgeのアクセスを避けます	Ka aukati i te uru mā Internet Explorer me te Microsoft Edge tawhito
alertメッセージを表示する言語	Te reo e whakaatuhia ai ngā karere whakatūpato
Wordpressの言語	Ngā reo o WordPress
ブラウザの設定言語	Ngā tautuhinga reo o te pūtirotiro
メッセージをカスタム設定されている場合は言語を変更できません	Kāore e taea e koe te huri i te reo mēnā kua whakaritea ngā karere.
同意画面の言語	Te reo o te mata whakaaetanga
view-sourceメッセージを表示する言語	Te reo hei whakaatu i te karere 'view-source'
一時使用トークンの有効期限	Rā paunga o ngā tohu wā poto
3分	Toru meneti
4分	Whā meneti
5分	Rima meneti
6分	6 meneti
7分	Whitu meneti
8分	Waru meneti
9分	Iwa meneti
10分	Tekau meneti
15分	Tekau mā rima meneti
20分	 rua tekau meneti
25分	 rua tekau mā rima meneti
30分	30 meneti
35分	35 meneti
40分	Whā tekau meneti
45分	Whā tekau mā rima meneti
50分	Rima tekau meneti
55分	Rima tekau mā rima meneti
1時間	Hora kotahi
画像URL情報の有効期限を設定します	Whakaritea te rā paunga mō ngā pārongo URL whakaahua
一度読み込まれると画像URL情報と一時使用トークンは無効化されます	Kia oti te uta, ka whakakorehia te URL o te whakaahua me te tohu wā poto.
画像は遅延読み込みされますが、この指定した時間の30秒前に強制的に画像が読み込まれます	Ka utaina ngā whakaahua i te wā e tonoa ana, engari ka utaina aunoa i te 30 hēkona i mua i te wā kua tautuhia.
一時使用トークンのビット数	Te maha o ngā pītiti i roto i tētahi tohu wā poto
画像URL情報を暗号化するのに一時使用トークンをパスワードとして使用しますが、その強度を指定します	He tohu wā poto e whakamahia ana hei kupuhipa ki te whakamuna i ngā pārongo URL o ngā whakaahua; ko tēnei tautuhinga e tautuhi ana i tōna kaha.
ドロップダウンメニューの下に表示される選択肢にいくにつれて強度が強くなるものの、サーバーへの負荷が高くなり、HTML転送量が多くなることがあります	Ahakoa ka whānui ake ngā kōwhiringa e whakaatuhia ana i raro i te tahua taka-iho i a koe e panuku iho ana, ka piki ake te kawenga ki runga i te tūmau, ā, ka nui ake te rahinga o ngā raraunga HTML e whakawhitia ana.
ハッシュ化アルゴリズム	Tātai whakakōpeketanga
画像URL情報を暗号化するのに一時使用トークンをパスワードとして使用しますが、その時ハッシュ化が必要です、その強度を設定します	He tohu wā poto e whakamahia ana hei kupuhipa ki te whakamuna i ngā pārongo URL o ngā whakaahua; me mahi hash tēnei, ā, mā tēnei tautuhinga e whakatau ai te kaha o taua hash.
ドロップダウンメニューの下に表示される選択肢にいくにつれて強度が強くなるものの、サーバーへの負荷が高くなります	Ahakoa ka piki te kaha i a koe e heke iho ana i te rārangi kōwhiringa e whakaatuhia ana i te tahua taka-iho, ka nui ake te kawenga ki runga i te tūmau.
基本設定	Ngā tautuhinga taketake
高度な設定	Ngā tautuhinga matatau
初期設定に戻す	Whakahokia ngā tautuhinga taunoa
デザイン・音の設定	Hoahoa me ngā tautuhinga oro
イベントの設定	Ngā tautuhinga o te hui
初回訪問時のお知らせの設定	Te whakarite pānui mō ngā toro tuatahi
メッセージの設定	Tautuhinga karere
右クリックやソースコード表示時に転送する URL を設定します	Whakaritea te URL kia whakatuwherahia ina pāwhiri-matau, ina tirotiro rānei i te waehere pūtake.
警告メッセージにはHTMLは使用できません	Kāore e taea te whakamahi i te HTML i roto i ngā karere whakatūpato.
この画面で設定すると、高度な設定タブにある言語設定が無視されます	Mēnā ka whakaritea e koe tēnei i runga i tēnei mata, ka whakakorehia ngā tautuhinga reo i te ripa Matatau.
以下の文字列が使用できます	Ka taea te whakamahi i ngā aho e whai ake nei
改行	Tāwāhi rārangi
押下されたキー	Kua pēhia te kī
Neo HTML Protector 設定	Tautuhinga Kaiwhakamaru HTML Hou
お知らせ	Pānui
メッセージ	Karere
デザイン・音	Hoahoa me te Oro
初期化	Whakatū
このプラグインについて	Mō tēnei mono tāpiri
設定が初期化されました	Kua tautuhia anō ngā tautuhinga
プラグインを初期化します なおIPログリーダーのデータはここでは削除されません	Whakahohe i te mono. Tēnā koa mōhio, kāore ngā raraunga o te Kaiwhakawhiti Rēhita IP e mukua i tēnei wā.
Neo HTML Protectorについて	Mō Neo HTML Protector
