設定	Gosodiadau
「出力される全HTMLのうち、Wordpressにアップロードされた画像をすべて保護」の場合は、Wordpressのほぼすべての動作をキャプチャし、コンテンツ内のimgタグについてすべて処理します。テーマによっては正しく動作しません	Os dewiswch 'Diogelu pob delwedd a lwythir i WordPress o fewn yr allbwn HTML cyfan', bydd yr ategyn yn dal bron pob gweithrediad WordPress ac yn prosesu pob tag img o fewn y cynnwys. Noder efallai na fydd hyn yn gweithio'n gywir gyda rhai themâu.
なお、アイキャッチに指定した画像はOGPとして拡散されますので保護できません。どうしても保護すべき場合は高度な設定でHTML保護時のHEADタグの出力の選択を変更してください	Noder y bydd delweddau a ddynodir fel delweddau dan sylw yn cael eu rhannu fel data OGP ac na ellir eu diogelu. Os oes rhaid i chi eu diogelu, newidiwch y gosodiad ar gyfer allbwn tag HEAD yn y gosodiadau uwch wrth alluogi diogelwch HTML.
OS標準搭載のスクリーンショット機能を保護することはできません	Ni ellir diogelu'r swyddogaeth sgrinlun sydd wedi'i hymgorffori yn y system weithredu.
画像URLの保護	Diogelu URLau delweddau
画像の保護と組み合わせて使用します、単体では意味がありません	Dylid defnyddio hwn ar y cyd â diogelu delweddau; ar ei ben ei hun, nid yw'n gwasanaethu unrhyw bwrpas.
JavaScriptにより遅延読まれますのでSEOに影響があります	Gan ei fod yn llwytho'n ddiog drwy JavaScript, mae hyn yn effeithio ar SEO.
画像のウォーターマーク	Dŵrnod delwedd
右下	Gwaelod dde
ランダム位置	Safle ar hap
画像の保護と組み合わせて使用します、動的な透かしで著作権を明示しつつ、閲覧者に監視されている印象を与え抑止力を高めます	Wedi'u defnyddio ar y cyd â diogelu delweddau, mae dyfrnodau deinamig yn nodi perchnogaeth hawlfraint yn glir, gan roi'r argraff i wylwyr eu bod yn cael eu monitro, a thrwy hynny'n gweithredu fel ataliad.
JPG形式、PNG形式、WebP形式のみ対応します	Dim ond fformatau JPG, PNG a WebP sy'n cael eu cefnogi.
有効にするとサーバーの負荷が高くなります	Bydd galluogi hyn yn cynyddu'r llwyth ar y gweinydd.
HTML難読化・保護時のHTMLソースコードのアスキーアートの出力	Allbwnu celf ASCII o god ffynhonnell HTML yn ystod cymylu a diogelu HTML
表示なし	Dim arddangosfa
view-sourceでHTMLソース表示をした時に警告の意思を示すアスキーアートを表示します	Arddangos celf ASCII sy'n dangos rhybudd wrth edrych ar ffynhonnell yr HTML gan ddefnyddio 'view-source'.
対象アクションを起こした時の表示デザイン	Dangos y dyluniad pan gyflawnir y weithred darged
黄色の背景の黒文字のベーシックデザイン	Dyluniad sylfaenol yn cynnwys testun du ar gefndir melyn.
黒色の背景の赤文字のホラー風デザイン	Dyluniad arswyd-arddull yn cynnwys testun coch ar gefndir du
黒色の背景の赤文字の光る文字のデザイン	Dyluniad yn cynnwys testun coch llachar ar gefndir du
対象アクションを起こした時のBGM	Cerddoriaeth gefndir sy'n chwarae pan gyflawnir y weithred darged.
サウンドなし	Dim sain
戦闘＆戦闘勝利 - 1分16.3秒 - 630,056bytes - 64kbps - ライセンス：CC2.1 or later	Brwydr a Fuddugoliaeth - 1 munud 16.3 eiliad - 630,056 bait - 64 kbps - Trwydded: CC 2.1 neu'n ddiweddarach
おやじ ショート - 3.8秒 - 32,364bytes - 64kbps - ライセンス GPL2.0 or later (C)EJ	Dad Short - 3.8 eiliad - 32,364 bait - 64 kbps - Trwydded: GPL 2.0 neu'n ddiweddarach
おやじ ロング - 23.5秒 - 195,578bytes - 64kbps - ライセンス GPL2.0 or later (C)EJ	Oyaji Long - 23.5 eiliad - 195,578 bait - 64 kbps - Trwydded: GPL 2.0 neu'n ddiweddarach
ショパン エチュード Op.10-5 黒鍵 打ち込み版 高速版 - 1分0.0秒 - 369,778bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	Chopin Étude Op. 10 Rhif 5
ショパン エチュード Op.10-12 革命 打ち込み版 高速版 - 1分57.6秒 - 724,457bytes - 48kbps -  ライセンス：CC BY-ND 4.0 or later	Étude Op. 10 Rhif 12 'Chwyldro' gan Chopin – Fersiwn wedi'i gynhyrchu gan gyfrifiadur, cyflym – 1 munud 57.6 eiliad – 724,457 bait – 48 kbps – Trwydded: CC BY-ND 4.0 neu'n hwyrach
ショパン スケルツォ 変ロ短調 Op2 打ち込み版 高速短縮版 - 1分48.0秒 - 665,369bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	Chopin: Scherzo mewn B-fflat minor, Op. 2 – Fersiwn wedi'i gynhyrchu gan gyfrifiadur, fersiwn briodol cyflym – 1 munud 48.0 eiliad – 665,369 bait – 48 kbps – Trwydded: CC BY-ND 4.0 neu'n ddiweddarach
リスト 超絶技巧練習曲 4番 マゼッパ 打ち込み版 高速短縮版 - 1分51.6秒 - 687,586bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	Rhestr: Étude d'Exécution Transcendante No. 4, 'Mazeppa' – fersiwn wedi'i gynhyrchu gan gyfrifiadur, fersiwn briodol cyflym – 1 munud 51.6 eiliad – 687,586 bait – 48 kbps – Trwydded: CC BY-ND 4.0 neu'n ddiweddarach
ファンファーレ - 22.3秒 - 183,926bytes - 64kbps - ライセンス：パブリックドメイン	Fanfare – 22.3 eiliad – 183,926 bait – 64 kbps – Trwydded: Parth Cyhoeddus
レトロ風ファンファーレ - 2.2秒 - 10,536bytes - 32kbps - ライセンス：パブリックドメイン	Gorymdeithfaner arddull retro – 2.2 eiliad – 10,536 bait – 32 kbps – Trwydded: Parth Cyhoeddus
レトロ風オープン - 42.1秒 - 179,138bytes - 32kbps - ライセンス：パブリックドメイン	Cyflwyniad arddull retro – 42.1 eiliad – 179,138 bait – 32 kbps – Trwydded: Parth Cyhoeddus
警告 by ChatGPT - 3.8秒 - 109,700bytes - 256kbps - ライセンス：パブリックドメイン	Rhybudd gan ChatGPT - 3.8 eiliad - 109,700 bait - 256 kbps - Trwydded: Parth Cyhoeddus
マルウェア検出みたいな緊急感の高い音 その１ by ChatGPT - 3.3秒 - 102,850bytes - 256kbps - ライセンス：パブリックドメイン	Sain brys uchel fel rhybudd canfod meddalwedd faleisus – Rhan 1 gan ChatGPT – 3.3 eiliad – 102,850 bait – 256 kbps – Trwydded: Parth Cyhoeddus
マルウェア検出みたいな緊急感の高い音 その２ by ChatGPT - 3.3秒 - 103,122bytes - 256kbps - ライセンス：パブリックドメイン	Sain brys uchel fel rhybudd canfod meddalwedd faleisus, Rhan 2 gan ChatGPT - 3.3 eiliad - 103,122 bait - 256 kbps - Trwydded: Parth Cyhoeddus
MRI風サウンド by ChatGPT - 1分14.9秒 - 3,340,392bytes - 320kbps - ライセンス：パブリックドメイン	Sain arddull MRI gan ChatGPT – 1 munud 14.9 eiliad – 3,340,392 bait – 320 kbps – Trwydded: Parth Cyhoeddus
警告表示中のBGMを選択します	Dewiswch y gerddoriaeth gefndir i'w chwarae yn ystod rhybudd.
びっくりするような雰囲気を作ります	Mae'n creu awyrgylch syfrdanol
Firefoxでは音声ブロックされます	Mae sain wedi'i rhwystro yn Firefox.
対象アクションを起こした時のビープ音	Bîp pan gyflawnir y weithred benodol
有効 音量小さ目	Ymlaen, sain isel
有効 音量大き目	Gweithredol, sain uchel
警告表示中にすべてのキー・マウスイベントでビープ音を鳴らします	Bydd bip yn seinio mewn ymateb i bob digwyddiad bysell a llygoden tra bydd rhybudd yn cael ei arddangos.
警告表示中に端末が暴走したかのような雰囲気を作ります	Mae'n creu'r argraff bod y ddyfais wedi mynd o reolaeth tra bod y rhybudd yn cael ei arddangos.
対象アクションを起こした時のマウスカーソルの消去	Cuddio cyrchwr y llygoden pan gyflawnir gweithred benodol
警告表示中にブラウザのエリアのマウスカーソルを消去します	Cuddio cyrchwr y llygoden yn ardal y porwr tra bod rhybudd yn cael ei arddangos.
デバッグモード	Modd dadfygio
妨害＋記録のみ	Ymyrraeth + Cofnodion yn unig
妨害＋記録＋表示＋リダイレクト	Ymyriad + Cofnodi + Arddangos + Ailgyfeirio
メニューからは操作できてしまいます	Gallwch chi ddal i gael mynediad ato drwy'r ddewislen.
Firefoxにおけるデバッグモード	Modd dadfygio yn Firefox
ブラウザーコンソール	Consol porwr
事実上デバッグモードから操作できてしまいます	I bob pwrpas, gallwch ei weithredu o'r modd dadfygio.
HTMLソース表示	Gweld ffynhonnell HTML
view-source:から始まるURLを入力すれば操作できてしまいます	Gallwch chi gyflawni'r weithred yn syml drwy nodi URL sy'n dechrau gyda 'view-source:'
HTML保護と組み合わせることでコンテンツを保護することができます	Gallwch amddiffyn eich cynnwys drwy gyfuno hyn ag amddiffyniad HTML.
印刷	Argraffu
印刷阻止をするもものの、ブラウザによってはうまく動作しません	Er ei fod yn atal argraffu, efallai na fydd yn gweithio'n iawn mewn rhai porwyr.
スクリーンショット	Sgrinlun
OSやブラウザ、方法によっては妨害できず、もしくは検出しないことがあります	Yn dibynnu ar y system weithredu, y porwr neu'r dull a ddefnyddir, efallai na fydd yn bosibl rhwystro hyn, neu efallai na chaiff ei ganfod.
ウインドウが背面に移動した時スクリーンショットの疑い	Sgrinlun tybiedig pan fydd y ffenestr yn symud i'r cefndir
あわせて、スクリーンショット以外の機能（タブ切り替え・ウィンドウ切り替え）にも反応してしまいます。	Mae hefyd yn ymateb i swyddogaethau heblaw sgrinluniau
2キー押下のスクリーンショットの疑い	Sgrinlun a dynnwyd, yn ôl pob tebyg, drwy wasgu dau fysell
上の項目の検出方法は完全ではありません、予防的に検出を行います	Nid yw'r dulliau canfod ar gyfer yr eitemau uchod yn ddi-fai; cynhelir canfod fel mesur rhagofalus.
スクリーンショットだけではなく、デバッグモード等も検出します	Mae'n canfod nid yn unig sgrinluniau ond hefyd moddau dadfygio a'r tebyg.
ページ保存	Cadw'r dudalen
右クリック	Clic-de
アドオンがインストールされていると操作できてしまいます	Os yw'r ychwanegyn wedi'i osod, byddwch yn gallu ei ddefnyddio.
コピー・カット	Copïo a thorri
本プラグインの設定によってはこのイベントにたどり着くことはほとんどない場合があります	Yn dibynnu ar osodiadau'r ategyn hwn, efallai y byddwch yn anaml yn dod ar draws y digwyddiad hwn.
テキスト全選択	Dewiswch yr holl destun
テキスト選択	Dewiswch destun
デバッガー起動ログ、デバッガー妨害	Log cychwyn dadfygydd, ymyrraeth dadfygydd
デバッグモードの使い勝手を少し悪くし、デバッガを起動したことをログに残します、ブラウザによってはこの挙動が止められてしまいます	Mae hyn yn gwneud y modd dadfygio ychydig yn llai hawdd ei ddefnyddio ac yn cofnodi'r ffaith bod y dadfygydd wedi'i lansio; fodd bynnag, gallai rhai porwyr flocio'r ymddygiad hwn.
リダイレクトするURL	Ailgyfeirio URL
利用規約などのページに転送すると良いでしょう	Byddai'n syniad da ailgyfeirio defnyddwyr i dudalennau fel y Telerau Defnyddio.
空欄にすると元のURLにリダイレクトをします	Os gadewir yn wag, bydd yn ailgyfeirio i'r URL gwreiddiol.
リダイレクトまでの時間	Amser tan ailgyfeirio
リダイレクトなし	Dim ailgyfeirio
1秒	1 eiliad
2秒	2 eiliad
3秒	3 eiliad
4秒	4 eiliad
5秒	5 eiliad
6秒	Chwe eiliad
7秒	Saith eiliad
8秒	Wyth eiliad
9秒	9 eiliad
10秒	10 eiliad
15秒	15 eiliad
20秒	20 eiliad
25秒	25 eiliad
30秒	30 eiliad
35秒	35 eiliad
40秒	40 eiliad
45秒	45 eiliad
50秒	50 eiliad
55秒	55 eiliad
1分	1 funud
1分10秒	1 munud 10 eiliad
1分20秒	1 munud 20 eiliad
1分30秒	1 munud 30 eiliad
1分40秒	1 munud 40 eiliad
1分50秒	1 munud 50 eiliad
2分	2 funud
ソース表示を許可する権限	Caniatâd i weld y cod ffynhonnell
ADMINログイン時のみ通常のソース出力	Allbwn ffynhonnell arferol dim ond pan fyddwch wedi mewngofnodi fel ADMIN
USERログインで通常のソース出力	Allbwn ffynhonnell arferol wrth fewngofnodi fel DEFNYDDIWR
通常のHTML出力を管理者のみかユーザーログインかを選択します	Dewiswch a yw allbwn HTML safonol wedi'i gyfyngu i weinyddwyr yn unig neu a yw'n gofyn am fewngofnodi defnyddiwr.
画像を無理やりダウンロードして実際にダウンロードされるもの	Gorfodi delwedd i'w lawrlwytho a'r hyn sy'n cael ei lawrlwytho mewn gwirionedd
GIF形式で1×1ピクセルの透過画像	Delwedd dryloyw 1×1 picsel mewn fformat GIF
PNG形式で1×1ピクセルの透過画像	Delwedd dryloyw 1×1 picsel mewn fformat PNG
PNG形式で黄色い背景の警告画面	Sgrin rybuddio gyda chefndir melyn mewn fformat PNG
意味のないHTMLドキュメント	Dogfen HTML ddiystyr
HTML保護時のHEADタグの出力	Allbwn y tag HEAD pan fo HTML wedi'i warchod
出力しない	Peidiwch â argraffu
TITLEタグのみ	Tag teitl yn unig
WordpressのHEADタグより取得	Adalwyd o dag HEAD WordPress
企業用途の会員専用ページや社内ページなどでは「出力しない」、「TITLEタグのみ」で良いでしょう	Ar gyfer tudalennau i aelodau yn unig at ddefnydd corfforaethol a thudalennau mewnol, dylai dewis 'Peidio ag allbwn' neu 'Tag TITLE yn unig' fod yn ddigon.
WordpressのHEADタグから取得しないと、SNSのシェアでOGP画像が表示されません	Oni bai eich bod yn adalw'r wybodaeth o dag PEN WordPress, ni fydd y ddelwedd OGP yn cael ei dangos wrth rannu ar y cyfryngau cymdeithasol.
画像botをアクセス禁止にする	Blocio'r bot delweddau
画像botをHTMLに対し避けることにより、画像検索から直接リンクされることによって守れなかったコンテンツを守ることができます、ただし完全には対処することはできません	Drwy atal botiau delwedd rhag cael mynediad at HTML, gallwch ddiogelu cynnwys na ellid ei ddiogelu rhag cysylltu'n uniongyrchol drwy chwilio am ddelweddau; fodd bynnag, nid yw hyn yn darparu ateb cyflawn.
AI学習用botをアクセス禁止にする	Blocio mynediad i'r bot hyfforddi AI
AIの学習用のbotをHTMLに対し避けることにより、AIで利用されないようにします、ただし完全には対処することはできません	Drwy osgoi defnyddio botiau a gynlluniwyd ar gyfer hyfforddi AI ar HTML, rydym yn sicrhau nad yw'r cynnwys yn cael ei ddefnyddio gan AI; fodd bynnag, ni ellir atal hyn yn llwyr.
ウェブアーカイブ、ウェブ魚拓をアクセス禁止にする	Llywio mynediad i archifau gwe a lluniau sgrin o'r we
自動的に収集されるウェブアーカイブ並びにユーザーの任意で取得される魚拓のアクセスを禁止します、ただし完全には対処することはできません	Rydym yn gwahardd mynediad i archifau gwe a gesglir yn awtomatig a sgrinluniau a dynnwyd yn ôl disgresiwn y defnyddiwr; fodd bynnag, ni allwn atal hyn yn llwyr.
無効なUAをアクセス禁止にする	Blocio asiantau defnyddiwr annilys
ユーザーエイジェントの文字に不正な文字列があった場合のアクセスを避けます	Yn atal mynediad os yw llinyn yr asiant defnyddiwr yn cynnwys cymeriadau annilys
Internet Explorerと旧Microsoft Edge(EdgeHTML)のアクセスに警告を表示する	Arddangos rhybudd wrth fynediad i Internet Explorer a'r hen Microsoft Edge
Internet Explorerと旧Microsoft Edgeのアクセスを避けます	Yn atal mynediad drwy Internet Explorer a'r hen Microsoft Edge
alertメッセージを表示する言語	Iaith ar gyfer arddangos negeseuon rhybudd
Wordpressの言語	Ieithoedd WordPress
ブラウザの設定言語	Gosodiadau iaith y porwr
メッセージをカスタム設定されている場合は言語を変更できません	Ni allwch newid yr iaith os yw'r negeseuon wedi'u haddasu.
同意画面の言語	Iaith y sgrin gydsyniad
view-sourceメッセージを表示する言語	Iaith i arddangos y neges 'view-source'
一時使用トークンの有効期限	Dyddiad dod i ben tocynnau dros dro
3分	3 munud
4分	Pedair munud
5分	Pum munud
6分	Chwe munud
7分	Saith munud
8分	Wyth munud
9分	9 munud
10分	Deg munud
15分	Pymtheg munud
20分	Ugain munud
25分	25 munud
30分	30 munud
35分	35 munud
40分	Deugain munud
45分	Pedwar deg pump munud
50分	50 munud
55分	55 munud
1時間	Un awr
画像URL情報の有効期限を設定します	Gosodwch y dyddiad dod i ben ar gyfer gwybodaeth URL delwedd.
一度読み込まれると画像URL情報と一時使用トークンは無効化されます	Unwaith y bydd wedi'i lwytho, bydd URL y ddelwedd a'r tocyn dros dro yn cael eu di-ddilysu.
画像は遅延読み込みされますが、この指定した時間の30秒前に強制的に画像が読み込まれます	Caiff delweddau eu llwytho ar alw, ond fe'u llwythir yn awtomatig 30 eiliad cyn yr amser penodedig.
一時使用トークンのビット数	Nifer y bitiau mewn tocyn dros dro
画像URL情報を暗号化するのに一時使用トークンをパスワードとして使用しますが、その強度を指定します	Defnyddir tocyn dros dro fel cyfrinair i amgryptio gwybodaeth URL delwedd; mae'r gosodiad hwn yn pennu ei gryfder.
ドロップダウンメニューの下に表示される選択肢にいくにつれて強度が強くなるものの、サーバーへの負荷が高くなり、HTML転送量が多くなることがあります	Er bod y dewisiadau a ddangosir o dan y ddewislen ostwng yn mynd yn fwyfwy manwl, gall hyn roi llwyth trwm ar y gweinydd ac arwain at drosglwyddo swm mawr o ddata HTML.
ハッシュ化アルゴリズム	Algorithm haes
画像URL情報を暗号化するのに一時使用トークンをパスワードとして使用しますが、その時ハッシュ化が必要です、その強度を設定します	Defnyddir tocyn dros dro fel cyfrinair i amgryptio gwybodaeth URL delwedd; mae hyn yn gofyn am haesio, ac mae'r gosodiad hwn yn pennu cryfder yr haesio hwnnw.
ドロップダウンメニューの下に表示される選択肢にいくにつれて強度が強くなるものの、サーバーへの負荷が高くなります	Er bod y dwysedd yn cynyddu wrth i chi symud i lawr y rhestr o opsiynau a ddangosir yn y ddewislen ostwng, mae hyn yn rhoi llwyth mwy ar y gweinydd.
基本設定	Gosodiadau sylfaenol
高度な設定	Gosodiadau uwch
初期設定に戻す	Adfer gosodiadau diofyn
デザイン・音の設定	Dyluniad a gosodiadau sain
イベントの設定	Gosodiadau digwyddiad
初回訪問時のお知らせの設定	Sefydlu hysbysiadau ar gyfer ymweliadau cyntaf
メッセージの設定	Gosodiadau neges
右クリックやソースコード表示時に転送する URL を設定します	Gosodwch yr URL i'w agor wrth dde-glicio neu wrth weld y cod ffynhonnell.
警告メッセージにはHTMLは使用できません	Ni ellir defnyddio HTML mewn negeseuon rhybudd.
この画面で設定すると、高度な設定タブにある言語設定が無視されます	Os byddwch yn ffurfweddu hwn ar y sgrin hon, anwybyddir y gosodiadau iaith yn y tab Uwch.
以下の文字列が使用できます	Gellir defnyddio'r llinynnau canlynol
改行	Torri llinell
押下されたキー	Allwedd wedi'i wasgu
Neo HTML Protector 設定	Gosodiadau Neo HTML Protector
お知らせ	Hysbysiad
メッセージ	Neges
デザイン・音	Dylunio a Sain
初期化	Cychwyniad
このプラグインについて	Ynghylch yr ategyn hwn
設定が初期化されました	Mae'r gosodiadau wedi'u hailosod
プラグインを初期化します なおIPログリーダーのデータはここでは削除されません	Cychwynnwch y plugin. Noder na fydd data'r Darllenydd Logiau IP yn cael ei ddileu ar y cam hwn.
Neo HTML Protectorについて	Ynghylch Neo HTML Protector
このプラグインはあなたのWordpressから出力されるHTMLや画像等を保護し、コンテンツの不正利用から守ることを目的としています。	Mae'r ategyn hwn wedi'i ddylunio i amddiffyn yr HTML, y delweddau a chynnwys arall a gynhyrchir gan eich gwefan WordPress, gan ei ddiogelu rhag defnydd heb awdurdod.
