設定	איינשטעלונגען
EU GDPRが有効の際のみ初回表示で必ず表示されるメッセージです	די אָנזאָג וועט שטענדיק דערשייַנען אויף דער ערשטער אַרויסווייַזונג נאָר ווען די EU GDPR איז אין קראַפֿט.
お知らせの3行目	די דריטע שורה פֿון דער מעלדונג
プライバシーポリシーのリンクの右側に表示されます	עס וועט דערשייַנען רעכטס פֿון דעם לינק צו דער פּריוואַטקייט־פּאָליטיק.
非EU向け確認の文字列	באַשטעטיקונג־טעקסט פֿאַר ניט־אי״יו לענדער
EU GDPR向け同意するの文字列	צוזימונג־טעקסט פֿאַר דער אי״יו ג.ד.פּ.אַר.
EU GDPR向け同意しないの文字列	טעקסט פֿאַר "ניט מסכים" אונטער דעם אייראָפּעיִשן GDPR
プライバシーポリシーの文字列	פּריוואַטקייט־פּאָליטיק טעקסט
プライバシーポリシーのURLはこちらから設定して下さい	ביטע שטעלן דאָ די URL פֿאַר דער פּריוואַטקייט־פּאָליטיק.
プライバシーポリシーには以下の内容を追加して下さい	ביטע לייגט די פאלגנדיקע צו דער פּריוואַטקייט־פּאָליטיק.
不正操作検知のため、CookieおよびデータベースにIPアドレス等の識別子を保存する。保存されたデータは、管理者の任意のタイミングで削除を行う。	צו אַנטדעקטן פראָדזשענטע אַקטיוויטעטן, ווערן אידענטיפיערס ווי IP-אַדרעסן געשפּייַכט אין קוקיס און אין דער דאַטאַבייס. די געשפּייַכטע דאַטן ווערן אויסגעמעקט לויט דער באַשלוס פונעם אַדמיניסטראַטאָר.
画像保護が有効な場合のみ、画像を正常に配信するため、IPアドレスと画像ファイル名をハッシュ化したデータをデータベースに最大60分間保存する。	כדי צו פֿאַרזיכערן אַז בילדער ווערן ריכטיק איבערגעגעבן ווען בילדער־שוץ איז אַקטיוו, שפּייַכן מיר האַשט־דאַטן וואָס אַרײַננעמען דעם IP־אַדרעס און דעם בילד־טעקע־נאָמען אין אַ דאַטאַבייס פֿאַר ביז 60 מינוט.
利用規約を設定する場合、必ずプライバシーポリシーに利用規約のリンクを設置して下さい	אויב איר שטעלט אויף באַניץ־באַדינגונגען, ביטע זייט זיכער אַז איר אַרײַננעמט אַ לינק צו זיי אין אייער פּריוואַטקייט־פּאָליטיק.
利用規約の文字列	טעקסט פֿון די באַניץ־באַדינגונגען
利用規約のページ	תּנאָים און באַדינגונגען זײַט
ページ選択なし	קיין זײַט איז נישט אויסגעקליבן
検索エンジン等のURL	URLs פֿאַר זוך־מאַשינען, אאז״וו.
同意しなかった時に画面遷移する検索エンジンなどのURLを設定します	שטעלט דעם URL פֿאַר זוך־מאָטאָרן און ענלעכע וועבזײַטן וואָס ווײַזן אויף אַן אַנדער זײַט ווען מען גיט נישט קיין צוזימונג.
デバッグモード、コンソールの警告メッセージ	דיבאַג־מאָדוס, קאָנסאָלע־וואָרענונג־מעסעדזשעס
右クリックの警告メッセージ	רעכט־קליק אזהרה־מעסעדזש
印刷、PDF保存の警告メッセージ	וואָרענונג־מעלדונג וועגן דרוקן און אויפֿהיטן ווי PDF
スクリーンショットの警告メッセージ	וואָרענונגס־מעסעדזש אין דעם סקרינשאָט
スクリーンショットの疑いの警告メッセージ	וואָרענונג־מעלדונג וועגן פֿאַרדעכטיקטע סקרינשאַטס
テキスト全選択時の警告メッセージ	וואָרענונגס־מעסעדזש ווען דער גאַנצער טעקסט איז אויסגעקליבן
ページ保存の警告メッセージ	וואָרענונג וועגן שפּאַרן דעם בלאַט
コピー・カットした時に表示するメッセージ	מעסעדזש וואָס ווערט געוויזן בײַם קאָפּירן אָדער אויסשנײַדן
HTMLソース表示時に表示するメッセージ	מעסעדזש צו ווײַזן ווען מען קוקט דעם HTML־מקור
HTML難読化・保護時にソースの先頭に表示するメッセージ	מעסעדזש צו ווײַזן אויבן אין דעם מקור־קאָד ווען מען אָפּפֿאַסט אָדער באַשיצט HTML
HTML保護時に一度限りの認証トークンが異常の場合に表示するメッセージ	מעסעדזש צו ווײַזן אויב דער איין־מאָליקער אויטענטיפֿיקאַציע־טאָקען איז אומגילטיק בעת HTML־שוץ
CookieやJavascriptが有効でない場合に表示するメッセージ	מעסעדזש צו ווײַזן אויב קוקיס אָדער דזשאַוואַסקריפּט זענען אויסגעשאַלטן
実際にはJavascriptが無効時のみ表示されます	למעשה, דאָס ווערט געוויזן נאָר ווען דזשאַוואַסקריפּט איז אויסגעשאַלטן.
画像保護時に画像がダウンロードされ、その画像に表示するメッセージ 英語のみ	ווען אַ בילד איז באַשיצט, ווערט עס אַראָפּגעלאָדן, און אַ אָנזאָג ווערט אויפֿן בילד געוויזן
HTML難読化 (圧縮)	HTML פֿאַרפֿלייצונג
一般的なHTML圧縮です、難読化解除のサイトもあります	דאָס איז סטאַנדאַרטע HTML־קאָמפּרעסיע; עס זענען אויך וועבזײַטן וואָס קענען עס דעקאָדירן.
このオプションを有効にするとview-sourceのログが取得できます	דאָס אַקטיווירן דער אָפּציע דערלויבט אײַך צו באַקומען דעם view-source לאָג.
HTML保護	HTML שוץ
HTML圧縮以上に最小限のHTMLしか出力せず、BODYタグ内の内容が全く出力されなくなります	עס גיט אויס בלויז דעם נייטיקסטן מינימום פֿון HTML — אַפֿילו ווייניקער ווי בײַם ניצן פֿון HTML־קאָמפּרעסיע — און דער אינהאַלט אינעם BODY־טאַג וועט בכלל נישט אויסגעגעבן ווערן.
Firefoxに対しては無効です	דאָס גייט נישט אָן אויף פֿײַערפֿאָקס.
SEOに著しく影響があります	דאָס האָט אַ באַטײַטנדיקע השפּעה אויף SEO.
HTMLをJavaScriptで描画	רענדערן HTML מיט JavaScript
Firefox対策としてHTMLをJavaScriptで描画をします	כּדי אַרומצוגיין Firefox, רענדערן מיר די HTML מיט JavaScript.
JavaScript描画で有効にするとウェブサイトの表示速度が著しく遅くなります	די אַקטיווירונג פֿון דזשאַוואַסקריפּט־רענדערינג וועט באַטייטיק פֿאַרלאַנגזאַמען די לאָדונג־גיכקייט פֿון דער וועבזײַט.
画像の保護	בילד־שוץ
imgタグが呼び出されるごとに画像を保護	באַשיצן דעם בילד יעדעס מאָל ווען דער img-טאַג ווערט גערופֿן
出力される全HTMLのうち、Wordpressにアップロードされた画像をすべて保護	שוץ אַלע בילדער וואָס ווערן אַרויפֿגעלאָדן אין WordPress אינעם גאַנצן HTML־אויסגאַנג.
画像をダウンロードから保護します	שוץ בילדער פֿון אַראָפּלאָדן
画像データを保護した時にはほぼ完全なるダウンロードを阻止し、完全なるワンタイムURLを発行し、セッションに保存されたトークンで認証し、phpから画像を表示します、その為ほぼ完全な画像盗用を防ぎます	ווען בילד־דאַטן זענען באַשיצט, פאַרמיידן מיר כּמעט אַלע אַראָפּלאָדונגען, געבן יינציקע איין־מאָל URLס, אויטענטיפֿיצירן מיט טאָקענס וואָס ווערן געשפּייכערט אין דער סעסיע, און ווײַזן די בילדער דורך PHP; דאָס פאַרמיידט כּמעט אַלע פאַלן פֿון בילד־גנבֿה.
画像データを保護した時には画像のキャッシュが効かないため、次回訪問時にサイトの読み込みが遅くなるため、SEOに影響があります	ווען בילד־דאַטן זענען באַשיצט, קעש־לאַגירונג אַרבעט נישט, וואָס מיינט אַז די זייטל וועט זיך לאָדן פּאַמעלעכער בײַ די ווייַטערדיקע באַזוכן, און דאָס ווירקט זיך אויף SEO.
画像データを保護した時には、データベースの負荷が高くなる可能性があります	דער שוץ פֿון בילד־דאַטן קען פֿאַרגרעסערן די לאַסט אויף דער דאַטאַבאַזע.
「imgタグが呼び出されるごとに画像を保護」の場合は、add_filterを使用し、imgタグの発行時にフィルタリングを行います、テーマによっては正しく動作しません	אויב איר אויסקלײַבט "באַשיצן בילדער יעדעס מאָל ווען אַן img־טאַג ווערט גערופֿן", ניצט דער סיסטעם add_filter צו אָנווענדן פֿילטרירונג ווען דער img־טאַג ווערט גענערירט; אָבער דאָס קען נישט אַרבעטן ריכטיק מיט עטלעכע טעמעס.
「出力される全HTMLのうち、Wordpressにアップロードされた画像をすべて保護」の場合は、Wordpressのほぼすべての動作をキャプチャし、コンテンツ内のimgタグについてすべて処理します。テーマによっては正しく動作しません	אויב איר קלייבט אויס "שוץ אַלע בילדער וואָס ווערן אַרויפֿגעלאָדן אין WordPress אינעם גאַנצן HTML־אויסגאַנג", וועט דער פּלאַגין כּמעט אַלע WordPress־אָפּעראַציעס אָפּכאַפּן און פּראַסעסירן יעדן img־טאַג אינעם אינהאַלט. ביטע באַמערקט אַז דאָס קען נישט אַרבעטן ריכטיק מיט עטלעכע טעמעס.
なお、アイキャッチに指定した画像はOGPとして拡散されますので保護できません。どうしても保護すべき場合は高度な設定でHTML保護時のHEADタグの出力の選択を変更してください	ביטע באַמערקט אַז בילדער וואָס זענען באַשטימט ווי אויסגעצייכנטע בילדער וועלן ווערן געטיילט ווי OGP-דאַטן און קענען נישט ווערן באַשיצט. אויב איר מוזט זיי באַשיצן, ביטע טוישט די אויסשטעלונג פֿאַר HEAD-טאַג-אויסגאַבע אין די אַוואַנסירטע אויסשטעלונגען ווען איר אַקטיווירט HTML-שוץ.
OS標準搭載のスクリーンショット機能を保護することはできません	די סקרינשאָט־פֿונקציע, איינגעבויט אין דעם אָפּעראַציע־סיסטעם, קען נישט ווערן באַשיצט.
画像URLの保護	שוץ פֿון בילד־URLס
画像の保護と組み合わせて使用します、単体では意味がありません	דאָס זאָל מען נוצן צוזאַמען מיט בילד־שוץ; אַליין דינט עס קיין ציל.
JavaScriptにより遅延読まれますのでSEOに影響があります	ווי עס ווערט געלאָדן דורך JavaScript, האָט דאָס אַ השפּעה אויף SEO.
画像のウォーターマーク	בילד־וואַסערמאַרק
右下	אונטן רעכטס
ランダム位置	צופֿעליקער אָרט
画像の保護と組み合わせて使用します、動的な透かしで著作権を明示しつつ、閲覧者に監視されている印象を与え抑止力を高めます	אין קאָמבינאַציע מיט בילד־שוץ, דינאַמישע וואַסערמאַרקן קלאָר ווײַזן די קאַפּירייט־באַזיצערשאַפֿט און געבן די צוקוקערס דעם אײַנדרוק אַז זיי ווערן איבערוואַכט, און דערמיט דינען זיי ווי אַ אָפּשרעקונג.
JPG形式、PNG形式、WebP形式のみ対応します	נאָר JPG, PNG און WebP פֿאָרמאַטן ווערן געשטיצט.
有効にするとサーバーの負荷が高くなります	דאָס אַקטיווירן וועט פֿאַרגרעסערן די סערווער־לאַסט.
HTML難読化・保護時のHTMLソースコードのアスキーアートの出力	אויסגעבן ASCII-קונסט פֿון HTML מקור-קאָד בעת אָפּפֿאַסקאַציע און באַשיצן
表示なし	קיין אַרויסווײַז
view-sourceでHTMLソース表示をした時に警告の意思を示すアスキーアートを表示します	ווײַזט אַסקיי־קונסט וואָס ווײַזט אָן אַ וואָרענונג ווען מען קוקט דעם HTML־מקור מיטן 'view-source'
対象アクションを起こした時の表示デザイン	ווײַזן דעם דיזײַן ווען די ציל־אַקציע ווערט דורכגעפֿירט
黄色の背景の黒文字のベーシックデザイン	אַ פּשוטער דיזײַן מיט שוואַרצן טעקסט אויף אַ געלן הינטערגרונט
黒色の背景の赤文字のホラー風デザイン	אַ שרעק־סטיל דיזיין מיט רויטער טעקסט אויף אַ שוואַרצן הינטערגרונט
黒色の背景の赤文字の光る文字のデザイン	אַ דיזיין מיט גלאָענדיקן רויטן טעקסט אויף אַ שוואַרצן הינטערגרונט
対象アクションを起こした時のBGM	הינטערגרונט־מוזיק וואָס שפּילט ווען די ציל־אַקציע ווערט אויסגעפֿירט
サウンドなし	קיין קלאַנג
戦闘＆戦闘勝利 - 1分16.3秒 - 630,056bytes - 64kbps - ライセンス：CC2.1 or later	קאַמף און נצחון - 1 מינוט 16.3 סעקונדעס - 630,056 בייטס - 64 kbps - ליצענץ: CC 2.1 אָדער שפּעטער
おやじ ショート - 3.8秒 - 32,364bytes - 64kbps - ライセンス GPL2.0 or later (C)EJ	טאַטע קורץ - 3.8 סעקונדעס - 32,364 בייטס - 64 kbps - ליצענץ: GPL 2.0 אָדער שפּעטער
おやじ ロング - 23.5秒 - 195,578bytes - 64kbps - ライセンス GPL2.0 or later (C)EJ	אָיאַדזשי לאָנג - 23.5 סעקונדעס - 195,578 בייטס - 64 kbps - ליצענץ: GPL 2.0 אָדער שפּעטער
ショパン エチュード Op.10-5 黒鍵 打ち込み版 高速版 - 1分0.0秒 - 369,778bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	טשאָפּין עטודע אָפּוס 10 נומער 5
ショパン エチュード Op.10-12 革命 打ち込み版 高速版 - 1分57.6秒 - 724,457bytes - 48kbps -  ライセンス：CC BY-ND 4.0 or later	טשאָפּין עטודע אָפּוס 10 נומער 12 "רעוואָלוציע" – קאָמפּיוטער-גענערירטע ווערסיע, הויך-גיכקייט ווערסיע – 1 מינוט 57.6 סעקונדעס – 724,457 בייטס – 48 קבפּס – ליצענץ: CC BY-ND 4.0 אָדער שפּעטער
ショパン スケルツォ 変ロ短調 Op2 打ち込み版 高速短縮版 - 1分48.0秒 - 665,369bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	טשאָפּין: סקערצאָ אין ב־פלאַט־מינאָר, אָפּוס 2 – קאָמפּיוטער־גענערירטע ווערסיע, הויך־גיכקייט פֿאַרקירצטע ווערסיע – 1 מינוט 48.0 סעקונדעס – 665,369 בייטס – 48 קבפּס – ליצענץ: CC BY-ND 4.0 אָדער שפּעטער
リスト 超絶技巧練習曲 4番 マゼッパ 打ち込み版 高速短縮版 - 1分51.6秒 - 687,586bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	רשימה: עטוד ד'עקזקיוסיאָן טראַנסצענדאַנטע נומער 4, 'מאַזעפּאַ' – קאָמפּיוטער-גענערירטע ווערסיע, הויך-גיכקייט פֿאַרקירצטע ווערסיע – 1 מינוט 51.6 סעקונדעס – 687,586 בייטס – 48 קבפּס – ליצענץ: CC BY-ND 4.0 אָדער שפּעטער
ファンファーレ - 22.3秒 - 183,926bytes - 64kbps - ライセンス：パブリックドメイン	פֿאַנפֿאַר – 22.3 סעקונדעס – 183,926 בייטס – 64 kbps – ליצענץ: פּובליק דאָמיין
レトロ風ファンファーレ - 2.2秒 - 10,536bytes - 32kbps - ライセンス：パブリックドメイン	רעטראָ־סטיל פֿאַנפֿאַרע – 2.2 סעקונדעס – 10,536 בייטס – 32 kbps – ליצענץ: פּובליק דאָמיין
レトロ風オープン - 42.1秒 - 179,138bytes - 32kbps - ライセンス：パブリックドメイン	רעטראָ־סטיל אינטראָ – 42.1 סעקונדעס – 179,138 בייטס – 32 kbps – ליצענץ: פּובליק דאָמיין
警告 by ChatGPT - 3.8秒 - 109,700bytes - 256kbps - ライセンス：パブリックドメイン	וואָרענונג פֿון ChatGPT - 3.8 סעקונדעס - 109,700 בייטס - 256 kbps - ליצענץ: פּובליק דאָמיין
マルウェア検出みたいな緊急感の高い音 その１ by ChatGPT - 3.3秒 - 102,850bytes - 256kbps - ライセンス：パブリックドメイン	אַ הויך-דחיפותדיקער קלאַנג ווי אַ מאַלווער-דערקענונג-אַלאַרם – טייל 1 דורך ChatGPT – 3.3 סעקונדעס – 102,850 בייטס – 256 kbps – ליצענץ: פּובליק דאָמיין
マルウェア検出みたいな緊急感の高い音 その２ by ChatGPT - 3.3秒 - 103,122bytes - 256kbps - ライセンス：パブリックドメイン	אַ הויך-דחיפותדיקער קלאַנג ווי אַ מאַלווער-דערקענונג-אַלאַרם, טייל 2 פֿון ChatGPT - 3.3 סעקונדעס - 103,122 בייטס - 256 kbps - ליצענץ: פּובליק דאָמיין
MRI風サウンド by ChatGPT - 1分14.9秒 - 3,340,392bytes - 320kbps - ライセンス：パブリックドメイン	MRI-סטיל קלאַנג דורך ChatGPT – 1 מינוט 14.9 סעקונדעס – 3,340,392 בייטס – 320 kbps – ליצענץ: פּובליק דאָמיין
警告表示中のBGMを選択します	קלײַבט אויס די הינטערגרונט־מוזיק וואָס זאָל שפּילן בעת אַ וואָרענונג.
びっくりするような雰囲気を作ります	עס שאַפֿט אַ איבערראַשנדיקע אַטמאָספֿערע
Firefoxでは音声ブロックされます	אוידיאָ איז בלאָקירט אין פֿײַערפֿאָקס
対象アクションを起こした時のビープ音	אַ ביפּ ווען די באַשטימטע אַקציע ווערט דורכגעפֿירט
有効 音量小さ目	אָן, קול נידעריק
有効 音量大き目	אַקטיוו, פֿאַרשטאַרקער אויף הויך
警告表示中にすべてのキー・マウスイベントでビープ音を鳴らします	אַ ביפּ וועט קלינגען אין ענטפֿער צו אַלע קלאַוויע־ און מויז־געשעענישן, בשעת אַ וואָרענונג ווערט געוויזן.
警告表示中に端末が暴走したかのような雰囲気を作ります	עס שאַפֿט דעם אײַנדרוק אַז דער אַפּאַראַט איז אַרויס פֿון קאָנטראָל בשעת די וואָרענונג ווערט געוויזן.
対象アクションを起こした時のマウスカーソルの消去	פֿאַרבאָרגן דעם מויז־קורסאָר ווען אַ ספּעציפֿישע אַקציע ווערט אויסגעפֿירט
警告表示中にブラウザのエリアのマウスカーソルを消去します	פֿאַרבאָרגט דעם מויז־קורסאָר אין דעם בלעטערער־געביט, בשעת אַ וואָרענונג ווערט געוויזן.
デバッグモード	דיבאַג־מאָדוס
妨害＋記録のみ	אינטערפֿערענץ + רעקאָרדס
妨害＋記録＋表示＋リダイレクト	שטערן + לאָגירונג + אַרויסווײַז + אומלייטונג
メニューからは操作できてしまいます	איר קענט עס נאָך שטענדיק דערגרייכן דורך דעם מעניו.
Firefoxにおけるデバッグモード	דעבאַג־מאָדוס אין פֿײַערפֿאָקס
ブラウザーコンソール	בראַוזער־קאָנסאָלע
事実上デバッグモードから操作できてしまいます	אין פאַקט, קענט איר עס אָפּערירן פֿון דעבאַג־מאָדוס.
HTMLソース表示	זע HTML־מקור
view-source:から始まるURLを入力すれば操作できてしまいます	איר קענט דורכפֿירן די אָפּעראַציע פּשוט דורך אַרײַנשרײַבן אַ URL וואָס הייבט זיך אָן מיט 'view-source:'
HTML保護と組み合わせることでコンテンツを保護することができます	איר קענט באַשיצן אייער אינהאַלט דורך צונויפֿברענגען דאָס מיט HTML-שוץ.
印刷	דרוקן
印刷阻止をするもものの、ブラウザによってはうまく動作しません	כאָטש עס פֿאַרהיט דרוקן, קען עס אין עטלעכע בראַוזערס נישט גוט אַרבעטן.
スクリーンショット	עקראַן־בילד
OSやブラウザ、方法によっては妨害できず、もしくは検出しないことがあります	אָפּהענגיק פֿון דעם אָפּעריר־סיסטעם, דעם בראַוזער אָדער דער גענוצטער מעטאָדע, קען מען דאָס מעגלעך נישט בלאָקירן, אָדער עס קען נישט ווערן דעטעקטירט.
ウインドウが背面に移動した時スクリーンショットの疑い	פֿאַרמוטערטער סקרינשאָט ווען דער פֿענצטער גייט אין דער הינטערגרונט
あわせて、スクリーンショット以外の機能（タブ切り替え・ウィンドウ切り替え）にも反応してしまいます。	עס רעאַגירט אויך אויף פֿונקציעס אַנדערש ווי סקרינשאַץ
2キー押下のスクリーンショットの疑い	פֿאַרמוטערטער סקרינשאָט גענומען דורך דריקן צוויי קלאַווישן
上の項目の検出方法は完全ではありません、予防的に検出を行います	די דעטעקציע־מעטאָדן פֿאַר די אויבנדערמאָנטע זאַכן זענען נישט אומפֿאַלש; די דעטעקציע ווערט דורכגעפֿירט ווי אַ פֿאָרזיכטיקייט־מיטל.
スクリーンショットだけではなく、デバッグモード等も検出します	עס דעטעקטירט נישט נאָר סקרינשאַץ, נאָר אויך דעבאַג־מאָדעס און ענלעכע זאַכן.
ページ保存	אויפֿהיטן זײַט
右クリック	רעכט־קליקן
アドオンがインストールされていると操作できてしまいます	אויב דער צוגאָב איז אינסטאַלירט, וועט איר קענען עס נוצן.
コピー・カット	קאָפּירן און אויסשנײַדן
本プラグインの設定によってはこのイベントにたどり着くことはほとんどない場合があります	לויט די אײַנשטעלונגען פֿון דעם פּלאַגין, קענט איר זעלטן טרעפֿן דעם געשעעניש.
テキスト全選択	אויסקלײַבן דעם גאַנצן טעקסט
テキスト選択	אויסקלײַבן טעקסט
デバッガー起動ログ、デバッガー妨害	דבּעגער־אָנהייב־לאָג, דבּעגער־אינטערפֿערענץ
デバッグモードの使い勝手を少し悪くし、デバッガを起動したことをログに残します、ブラウザによってはこの挙動が止められてしまいます	דאָס מאַכט דעם דעבאַג־מאָד אַ ביסל ווייניקער באַניצער־פרייַנדלעך און לאָגירט דעם פאקט אַז דער דעבאַגגער איז געלאָזט געוואָרן; אָבער עטלעכע בראַוזערס קענען בלאָקירן דעם אויפֿפֿיר.
リダイレクトするURL	איבערפֿירן URL
利用規約などのページに転送すると良いでしょう	עס וואָלט געווען אַ גוטער געדאַנק צו רידירעקטירן באַניצערס צו זייטלעך ווי די באַניץ־באַדינגונגען.
空欄にすると元のURLにリダイレクトをします	אויב עס בלײַבט ליידיק, וועט עס איבערפֿירן צום אָריגינעלן URL.
リダイレクトまでの時間	צײַט ביז איבערפֿירונג
リダイレクトなし	קיין רידירעקט
1秒	איין רגע
2秒	צוויי סעקונדעס
3秒	דרײַ סעקונדעס
4秒	4 סעקונדעס
5秒	פֿינף סעקונדעס
6秒	6 סעקונדעס
7秒	זיבן סעקונדעס
8秒	אַכט סעקונדעס
9秒	9 סעקונדעס
10秒	צען סעקונדעס
15秒	פֿופצן סעקונדעס
20秒	20 סעקונדעס
25秒	25 סעקונדעס
30秒	30 סעקונדעס
35秒	35 סעקונדעס
40秒	40 סעקונדעס
45秒	45 סעקונדעס
50秒	פֿופֿציק סעקונדעס
55秒	55 סעקונדעס
1分	איין מינוט
1分10秒	איין מינוט און צען סעקונדעס
1分20秒	איין מינוט צווייסיק סעקונדעס
1分30秒	איין מינוט און דרייסיק סעקונדעס
1分40秒	איין מינוט און פֿערציק סעקונדעס
1分50秒	איין מינוט און פֿופֿציק סעקונדעס
2分	צוויי מינוט
ソース表示を許可する権限	דערלויבעניש צו זען דעם מקור־קאָד
ADMINログイン時のみ通常のソース出力	נאָרמאַלער מקור־אויסגאַנג נאָר ווען מען איז אָנגעלאָגט ווי אַדמין
USERログインで通常のソース出力	נאָרמאַלער מקור־אויסגאַנג ווען מען איז אײַנגעלאָגט ווי באַניצער
通常のHTML出力を管理者のみかユーザーログインかを選択します	קלײַבט אויס צי דער סטאַנדאַרטער HTML־אויסגאַבע איז באַגרענעצט נאָר פֿאַר אַדמיניסטראַטאָרן אָדער פֿאָדערט אַ באַניצער־אַרײַנלאָג.
画像を無理やりダウンロードして実際にダウンロードされるもの	צו צווינגען אַ בילד צו אַראָפּלאָדן און וואָס טאַקע ווערט אַראָפּגעלאָדן
GIF形式で1×1ピクセルの透過画像	אַ 1×1-פּיקסעל טראַנספּאַראַנט בילד אין GIF-פֿאָרמאַט
PNG形式で1×1ピクセルの透過画像	אַ 1×1-פּיקסל דורכזיכטיק בילד אין PNG-פֿאָרמאַט
PNG形式で黄色い背景の警告画面	אַ וואָרענונג־בילדשירעם מיט אַ געלן הינטערגרונט אין PNG־פֿאָרמאַט
意味のないHTMLドキュメント	אַ אומבאַטײַטיקער HTML־דאָקומענט
HTML保護時のHEADタグの出力	אויסגאַנג פֿון דער HEAD־טאַג ווען HTML איז באַשיצט
出力しない	ניט דרוקן
TITLEタグのみ	טיטל־טאַג נאָר
WordpressのHEADタグより取得	גענומען פֿונעם WordPress HEAD־טאַג
企業用途の会員専用ページや社内ページなどでは「出力しない」、「TITLEタグのみ」で良いでしょう	פֿאַר קאָרפּאָראַטיווע באַניץ מיטגליד־בלויז זײַטן און אינערלעכע זײַטן, איז גענוג אויסצוקלײַבן "ניט אויסגעבן" אָדער "נור טיטל־טאַג".
WordpressのHEADタグから取得しないと、SNSのシェアでOGP画像が表示されません	אויב איר ברענגט נישט די אינפֿאָרמאַציע פֿון דעם WordPress HEAD-טאַג, וועט די OGP-בילד נישט ווערן געוויזן ווען מען טיילט אויף געזעלשאַפֿטלעכע מידיאַ.
画像botをアクセス禁止にする	בלאָקירן דעם בילד־באָט
画像botをHTMLに対し避けることにより、画像検索から直接リンクされることによって守れなかったコンテンツを守ることができます、ただし完全には対処することはできません	דורך פאַרהיטן בילד־באָטן צו צוטריט צו HTML, קען מען באַשיצן אינהאַלט וואָס קען נישט ווערן באַשיצט קעגן דירעקטע לינקען דורך בילד־זוך; אָבער דאָס גיט נישט קיין גאַנץ לייזונג.
AI学習用botをアクセス禁止にする	בלאָקירן צוטריט צום AI טרענירונג־באָט
AIの学習用のbotをHTMLに対し避けることにより、AIで利用されないようにします、ただし完全には対処することはできません	דורך אויסמיידן די באַניצונג פֿון באָטן, וואָס זענען דיזיינירט פֿאַר AI-טרענירונג אויף HTML, פֿאַרזיכערן מיר אַז דער אינהאַלט ווערט נישט גענוצט דורך AI; אָבער דאָס קען נישט גאָר פֿאַרמיידט ווערן.
ウェブアーカイブ、ウェブ魚拓をアクセス禁止にする	פֿאַרשפּאַרן צוטריט צו וועב־אַרכיוון און וועב־סנאַפּשאָטן
自動的に収集されるウェブアーカイブ並びにユーザーの任意で取得される魚拓のアクセスを禁止します、ただし完全には対処することはできません	מיר פֿאַרבאָטן צוטריט צו אויטאָמאַטיש געזאַמלטע וועב־אַרכיוון און סקרינשאַטן וואָס דער באַניצער האָט גענומען לויט זײַן אייגענעם באַשלוס; אָבער מיר קענען דאָס גאָר נישט פֿאַרמיידן.
無効なUAをアクセス禁止にする	בלאָקירן אומגילטיקע באַניצער־אַגענטן
ユーザーエイジェントの文字に不正な文字列があった場合のアクセスを避けます	פֿאַרמיידט צוטריט אויב דער user-agent-שטרינג אַנטהאַלט אומגילטיקע כאַראַקטערן
