設定	ਸੈਟਿੰਗਾਂ
EU GDPRが有効の際のみ初回表示で必ず表示されるメッセージです	ਇਹ ਸੁਨੇਹਾ ਸਿਰਫ਼ ਪਹਿਲੀ ਡਿਸਪਲੇ 'ਤੇ ਹੀ ਹਮੇਸ਼ਾਂ ਦਿਖਾਈ ਦੇਵੇਗਾ ਜਦੋਂ EU GDPR ਲਾਗੂ ਹੋਵੇਗਾ।
お知らせの3行目	ਨੋਟਿਸ ਦੀ ਤੀਜੀ ਲਾਈਨ
プライバシーポリシーのリンクの右側に表示されます	ਇਹ ਨਿੱਜਤਾ ਨੀਤੀ ਦੇ ਲਿੰਕ ਦੇ ਸੱਜੇ ਪਾਸੇ ਦਿਖਾਈ ਦੇਵੇਗਾ।
非EU向け確認の文字列	ਗੈਰ-ਈਯੂ ਦੇਸ਼ਾਂ ਲਈ ਪੁਸ਼ਟੀਕਰਨ ਪਾਠ
EU GDPR向け同意するの文字列	EU GDPR ਲਈ ਸਹਿਮਤੀ ਦਾ ਪਾਠ
EU GDPR向け同意しないの文字列	EU GDPR ਦੇ ਤਹਿਤ 'ਸਹਿਮਤੀ ਨਾ ਦਿਓ' ਲਈ ਲਿਖਤ
プライバシーポリシーの文字列	ਗੋਪਨੀਯਤਾ ਨੀਤੀ ਦਾ ਪਾਠ
プライバシーポリシーのURLはこちらから設定して下さい	ਕਿਰਪਾ ਕਰਕੇ ਇੱਥੇ ਪ੍ਰਾਈਵੇਸੀ ਨੀਤੀ ਲਈ URL ਸੈੱਟ ਕਰੋ।
プライバシーポリシーには以下の内容を追加して下さい	ਕਿਰਪਾ ਕਰਕੇ ਹੇਠ ਲਿਖਿਆ ਗੋਪਨੀਯਤਾ ਨੀਤੀ ਵਿੱਚ ਸ਼ਾਮਲ ਕਰੋ।
不正操作検知のため、CookieおよびデータベースにIPアドレス等の識別子を保存する。保存されたデータは、管理者の任意のタイミングで削除を行う。	ਧੋਖਾਧੜੀ ਵਾਲੀਆਂ ਗਤੀਵਿਧੀਆਂ ਦਾ ਪਤਾ ਲਗਾਉਣ ਲਈ, IP ਪਤਿਆਂ ਵਰਗੇ ਪਛਾਣਕਰਤਾ ਕੂਕੀਜ਼ ਅਤੇ ਡੇਟਾਬੇਸ ਵਿੱਚ ਸਟੋਰ ਕੀਤੇ ਜਾਂਦੇ ਹਨ। ਸਟੋਰ ਕੀਤਾ ਡੇਟਾ ਪ੍ਰਸ਼ਾਸਕ ਦੀ ਮਰਜ਼ੀ ਅਨੁਸਾਰ ਮਿਟਾ ਦਿੱਤਾ ਜਾਂਦਾ ਹੈ।
画像保護が有効な場合のみ、画像を正常に配信するため、IPアドレスと画像ファイル名をハッシュ化したデータをデータベースに最大60分間保存する。	ਜਦੋਂ ਚਿੱਤਰ ਸੁਰੱਖਿਆ ਚਾਲੂ ਹੁੰਦੀ ਹੈ, ਤਾਂ ਇਹ ਯਕੀਨੀ ਬਣਾਉਣ ਲਈ ਕਿ ਚਿੱਤਰ ਸਹੀ ਤਰੀਕੇ ਨਾਲ ਪਹੁੰਚਾਏ ਜਾਣ, ਅਸੀਂ ਆਪਣੇ ਡੇਟਾਬੇਸ ਵਿੱਚ IP ਪਤਾ ਅਤੇ ਚਿੱਤਰ ਫਾਈਲ ਨਾਮ ਸਮੇਤ ਹੈਸ਼ ਕੀਤਾ ਡੇਟਾ 60 ਮਿੰਟ ਤੱਕ ਸਟੋਰ ਕਰਦੇ ਹਾਂ।
利用規約を設定する場合、必ずプライバシーポリシーに利用規約のリンクを設置して下さい	ਜੇ ਤੁਸੀਂ ਵਰਤੋਂ ਦੀਆਂ ਸ਼ਰਤਾਂ ਸੈੱਟ ਕਰ ਰਹੇ ਹੋ, ਤਾਂ ਕਿਰਪਾ ਕਰਕੇ ਇਹ ਯਕੀਨੀ ਬਣਾਓ ਕਿ ਤੁਸੀਂ ਆਪਣੀ ਗੋਪਨੀਯਤਾ ਨੀਤੀ ਵਿੱਚ ਉਹਨਾਂ ਦਾ ਲਿੰਕ ਸ਼ਾਮਲ ਕਰੋ।
利用規約の文字列	ਵਰਤੋਂ ਦੀਆਂ ਸ਼ਰਤਾਂ ਦਾ ਪਾਠ
利用規約のページ	ਸ਼ਰਤਾਂ ਅਤੇ ਨਿਯਮਾਂ ਦਾ ਪੰਨਾ
ページ選択なし	ਕੋਈ ਪੰਨਾ ਚੁਣਿਆ ਨਹੀਂ ਗਿਆ
検索エンジン等のURL	ਖੋਜ ਇੰਜਣਾਂ ਆਦਿ ਲਈ ਯੂਆਰਐਲ।
同意しなかった時に画面遷移する検索エンジンなどのURLを設定します	ਜਦੋਂ ਉਪਭੋਗਤਾ ਸਹਿਮਤੀ ਨਾ ਦੇਣ, ਤਾਂ ਉਹਨਾਂ ਨੂੰ ਰੀਡਾਇਰੈਕਟ ਕਰਨ ਵਾਲੇ ਖੋਜ ਇੰਜਣਾਂ ਅਤੇ ਸਮਾਨ ਸਾਈਟਾਂ ਲਈ URL ਸੈੱਟ ਕਰੋ।
デバッグモード、コンソールの警告メッセージ	ਡੀਬੱਗ ਮੋਡ, ਕੰਸੋਲ ਚੇਤਾਵਨੀ ਸੁਨੇਹੇ
右クリックの警告メッセージ	ਸੱਜੇ-ਕਲਿੱਕ ਚੇਤਾਵਨੀ ਸੁਨੇਹਾ
印刷、PDF保存の警告メッセージ	ਪੀਡੀਐਫ਼ ਵਜੋਂ ਛਾਪਣ ਅਤੇ ਸੇਵ ਕਰਨ ਸੰਬੰਧੀ ਚੇਤਾਵਨੀ ਸੁਨੇਹਾ
スクリーンショットの警告メッセージ	ਸਕ੍ਰੀਨਸ਼ਾਟ ਵਿੱਚ ਚੇਤਾਵਨੀ ਸੁਨੇਹਾ
スクリーンショットの疑いの警告メッセージ	ਸ਼ੱਕੀ ਸਕ੍ਰੀਨਸ਼ਾਟਾਂ ਸੰਬੰਧੀ ਚੇਤਾਵਨੀ ਸੁਨੇਹਾ
テキスト全選択時の警告メッセージ	ਜਦੋਂ ਸਾਰਾ ਟੈਕਸਟ ਚੁਣਿਆ ਹੋਵੇ ਤਾਂ ਚੇਤਾਵਨੀ ਸੁਨੇਹਾ
ページ保存の警告メッセージ	ਪੰਨਾ ਸੇਵ ਕਰਨ ਸੰਬੰਧੀ ਚੇਤਾਵਨੀ ਸੁਨੇਹਾ
コピー・カットした時に表示するメッセージ	ਕਾਪੀ ਜਾਂ ਕੱਟਣ ਵੇਲੇ ਦਿਖਾਇਆ ਜਾਣ ਵਾਲਾ ਸੁਨੇਹਾ
HTMLソース表示時に表示するメッセージ	HTML ਸਰੋਤ ਵੇਖਣ ਵੇਲੇ ਦਿਖਾਉਣ ਲਈ ਸੁਨੇਹਾ
HTML難読化・保護時にソースの先頭に表示するメッセージ	HTML ਨੂੰ ਓਬਫਸਕੇਟ ਜਾਂ ਸੁਰੱਖਿਅਤ ਕਰਦੇ ਸਮੇਂ ਸਰੋਤ ਕੋਡ ਦੇ ਸਿਖਰ 'ਤੇ ਦਿਖਾਉਣ ਲਈ ਸੁਨੇਹਾ
HTML保護時に一度限りの認証トークンが異常の場合に表示するメッセージ	HTML ਸੁਰੱਖਿਆ ਦੌਰਾਨ ਜੇਕਰ ਇੱਕ-ਵਾਰੀ ਪ੍ਰਮਾਣਿਕਤਾ ਟੋਕਨ ਅਵੈਧ ਹੋਵੇ ਤਾਂ ਦਿਖਾਉਣ ਲਈ ਸੁਨੇਹਾ
CookieやJavascriptが有効でない場合に表示するメッセージ	ਜੇਕਰ ਕੂਕੀਜ਼ ਜਾਂ ਜਾਵਾਸਕ੍ਰਿਪਟ ਅਯੋਗ ਹਨ ਤਾਂ ਦਿਖਾਉਣ ਲਈ ਸੁਨੇਹਾ
実際にはJavascriptが無効時のみ表示されます	ਅਸਲ ਵਿੱਚ, ਇਹ ਸਿਰਫ਼ ਉਦੋਂ ਹੀ ਦਿਖਾਈ ਦਿੰਦਾ ਹੈ ਜਦੋਂ ਜਾਵਾਸਕ੍ਰਿਪਟ ਅਸਮਰੱਥ ਕੀਤਾ ਗਿਆ ਹੋਵੇ।
画像保護時に画像がダウンロードされ、その画像に表示するメッセージ 英語のみ	ਜਦੋਂ ਇੱਕ ਚਿੱਤਰ ਸੁਰੱਖਿਅਤ ਕੀਤਾ ਜਾਂਦਾ ਹੈ, ਤਾਂ ਇਹ ਡਾਊਨਲੋਡ ਹੋ ਜਾਂਦਾ ਹੈ ਅਤੇ ਉਸ ਚਿੱਤਰ 'ਤੇ ਇੱਕ ਸੁਨੇਹਾ ਦਿਖਾਇਆ ਜਾਂਦਾ ਹੈ
HTML難読化 (圧縮)	HTML ਅਸਪਸ਼ਟਤਾ
一般的なHTML圧縮です、難読化解除のサイトもあります	ਇਹ ਮਿਆਰੀ HTML ਸੰਕੋਚਨ ਹੈ; ਕੁਝ ਵੈੱਬਸਾਈਟਾਂ ਵੀ ਹਨ ਜੋ ਇਸਨੂੰ ਡੀਕੋਡ ਕਰ ਸਕਦੀਆਂ ਹਨ।
このオプションを有効にするとview-sourceのログが取得できます	ਇਸ ਵਿਕਲਪ ਨੂੰ ਚਾਲੂ ਕਰਨ ਨਾਲ ਤੁਸੀਂ ਵਿਊ-ਸੋਰਸ ਲੌਗਸ ਪ੍ਰਾਪਤ ਕਰ ਸਕਦੇ ਹੋ।
HTML保護	HTML ਸੁਰੱਖਿਆ
HTML圧縮以上に最小限のHTMLしか出力せず、BODYタグ内の内容が全く出力されなくなります	ਇਹ HTML ਕੰਪ੍ਰੈਸ਼ਨ ਸੈਟਿੰਗ ਨਾਲੋਂ ਵੀ ਘੱਟ HTML ਆਉਟਪੁੱਟ ਕਰਦਾ ਹੈ, ਜਿਸਦਾ ਮਤਲਬ ਹੈ ਕਿ BODY ਟੈਗ ਦੇ ਅੰਦਰ ਦੀ ਸਮੱਗਰੀ ਬਿਲਕੁਲ ਵੀ ਆਉਟਪੁੱਟ ਨਹੀਂ ਕੀਤੀ ਜਾਵੇਗੀ।
Firefoxに対しては無効です	ਇਹ ਫਾਇਰਫਾਕਸ 'ਤੇ ਲਾਗੂ ਨਹੀਂ ਹੁੰਦਾ।
SEOに著しく影響があります	ਇਸਦਾ ਐਸਈਓ 'ਤੇ ਮਹੱਤਵਪੂਰਨ ਪ੍ਰਭਾਵ ਪੈਂਦਾ ਹੈ।
HTMLをJavaScriptで描画	ਜਾਵਾਸਕ੍ਰਿਪਟ ਦੀ ਵਰਤੋਂ ਕਰਕੇ HTML ਰੈਂਡਰ ਕਰਨਾ
Firefox対策としてHTMLをJavaScriptで描画をします	ਫਾਇਰਫਾਕਸ ਦੇ ਬਾਈਪਾਸ ਕਰਨ ਲਈ, ਅਸੀਂ ਜਾਵਾਸਕ੍ਰਿਪਟ ਦੀ ਵਰਤੋਂ ਕਰਕੇ HTML ਨੂੰ ਰੈਂਡਰ ਕਰਦੇ ਹਾਂ।
JavaScript描画で有効にするとウェブサイトの表示速度が著しく遅くなります	ਜਾਵਾਸਕ੍ਰਿਪਟ ਰੈਂਡਰਿੰਗ ਨੂੰ ਚਾਲੂ ਕਰਨ ਨਾਲ ਵੈੱਬਸਾਈਟ ਦੀ ਲੋਡ ਹੋਣ ਦੀ ਗਤੀ ਕਾਫੀ ਹੌਲੀ ਹੋ ਜਾਵੇਗੀ।
画像の保護	ਚਿੱਤਰ ਸੁਰੱਖਿਆ
imgタグが呼び出されるごとに画像を保護	ਜਦੋਂ ਵੀ img ਟੈਗ ਬੁਲਾਇਆ ਜਾਂਦਾ ਹੈ, ਤਸਵੀਰ ਦੀ ਰੱਖਿਆ ਕਰੋ।
出力される全HTMLのうち、Wordpressにアップロードされた画像をすべて保護	ਸਾਰੇ HTML ਆਉਟਪੁੱਟ ਵਿੱਚ WordPress 'ਤੇ ਅਪਲੋਡ ਕੀਤੀਆਂ ਸਾਰੀਆਂ ਤਸਵੀਰਾਂ ਦੀ ਰੱਖਿਆ ਕਰੋ।
画像をダウンロードから保護します	ਚਿੱਤਰਾਂ ਨੂੰ ਡਾਊਨਲੋਡ ਹੋਣ ਤੋਂ ਰੋਕਦਾ ਹੈ
画像データを保護した時にはほぼ完全なるダウンロードを阻止し、完全なるワンタイムURLを発行し、セッションに保存されたトークンで認証し、phpから画像を表示します、その為ほぼ完全な画像盗用を防ぎます	ਜਦੋਂ ਚਿੱਤਰ ਡੇਟਾ ਸੁਰੱਖਿਅਤ ਕੀਤਾ ਜਾਂਦਾ ਹੈ, ਅਸੀਂ ਲਗਭਗ ਸਾਰੇ ਡਾਊਨਲੋਡ ਰੋਕਦੇ ਹਾਂ, ਵਿਲੱਖਣ ਇੱਕ-ਵਾਰੀ ਵਰਤੋਂ ਵਾਲੇ URL ਜਾਰੀ ਕਰਦੇ ਹਾਂ, ਸੈਸ਼ਨ ਵਿੱਚ ਸਟੋਰ ਕੀਤੇ ਟੋਕਨਾਂ ਨਾਲ ਪ੍ਰਮਾਣਿਕਤਾ ਕਰਦੇ ਹਾਂ, ਅਤੇ PHP ਰਾਹੀਂ ਚਿੱਤਰ ਦਿਖਾਉਂਦੇ ਹਾਂ; ਇਸ ਨਾਲ ਲਗਭਗ ਸਾਰੀ ਚਿੱਤਰ ਚੋਰੀ ਰੋਕੀ ਜਾਂਦੀ ਹੈ।
画像データを保護した時には画像のキャッシュが効かないため、次回訪問時にサイトの読み込みが遅くなるため、SEOに影響があります	ਜਦੋਂ ਚਿੱਤਰ ਡੇਟਾ ਸੁਰੱਖਿਅਤ ਕੀਤਾ ਜਾਂਦਾ ਹੈ, ਤਾਂ ਕੈਸ਼ਿੰਗ ਕੰਮ ਨਹੀਂ ਕਰਦੀ, ਜਿਸਦਾ ਮਤਲਬ ਹੈ ਕਿ ਸਾਈਟ ਅਗਲੀ ਵਾਰੀ ਆਉਣ 'ਤੇ ਹੌਲੀ ਲੋਡ ਹੋਵੇਗੀ, ਜਿਸ ਨਾਲ SEO 'ਤੇ ਅਸਰ ਪੈਂਦਾ ਹੈ।
画像データを保護した時には、データベースの負荷が高くなる可能性があります	ਚਿੱਤਰ ਡੇਟਾ ਦੀ ਸੁਰੱਖਿਆ ਕਰਨ ਨਾਲ ਡੇਟਾਬੇਸ 'ਤੇ ਲੋਡ ਵੱਧ ਸਕਦਾ ਹੈ।
「imgタグが呼び出されるごとに画像を保護」の場合は、add_filterを使用し、imgタグの発行時にフィルタリングを行います、テーマによっては正しく動作しません	ਜੇ ਤੁਸੀਂ 'ਜਦੋਂ ਵੀ img ਟੈਗ ਬੁਲਾਇਆ ਜਾਵੇ ਤਸਵੀਰਾਂ ਦੀ ਸੁਰੱਖਿਆ ਕਰੋ' ਚੁਣਦੇ ਹੋ, ਤਾਂ ਸਿਸਟਮ img ਟੈਗ ਬਣਾਉਣ ਸਮੇਂ ਫਿਲਟਰ ਲਗਾਉਣ ਲਈ add_filter ਦੀ ਵਰਤੋਂ ਕਰਦਾ ਹੈ; ਹਾਲਾਂਕਿ, ਇਹ ਕੁਝ ਥੀਮਾਂ ਨਾਲ ਠੀਕ ਤਰ੍ਹਾਂ ਕੰਮ ਨਹੀਂ ਕਰ ਸਕਦਾ।
「出力される全HTMLのうち、Wordpressにアップロードされた画像をすべて保護」の場合は、Wordpressのほぼすべての動作をキャプチャし、コンテンツ内のimgタグについてすべて処理します。テーマによっては正しく動作しません	ਜੇ ਤੁਸੀਂ 'ਸਾਰੇ HTML ਆਉਟਪੁੱਟ ਵਿੱਚ WordPress 'ਤੇ ਅਪਲੋਡ ਕੀਤੀਆਂ ਤਸਵੀਰਾਂ ਦੀ ਸੁਰੱਖਿਆ ਕਰੋ' ਚੁਣਦੇ ਹੋ, ਤਾਂ ਪਲੱਗਇਨ ਲਗਭਗ ਸਾਰੇ WordPress ਕਾਰਜਾਂ ਨੂੰ ਕੈਪਚਰ ਕਰੇਗਾ ਅਤੇ ਸਮੱਗਰੀ ਵਿੱਚ ਹਰ img ਟੈਗ ਨੂੰ ਪ੍ਰੋਸੈਸ ਕਰੇਗਾ। ਕਿਰਪਾ ਕਰਕੇ ਧਿਆਨ ਦਿਓ ਕਿ ਇਹ ਕੁਝ ਥੀਮਾਂ ਨਾਲ ਠੀਕ ਤਰ੍ਹਾਂ ਕੰਮ ਨਹੀਂ ਕਰ ਸਕਦਾ।
なお、アイキャッチに指定した画像はOGPとして拡散されますので保護できません。どうしても保護すべき場合は高度な設定でHTML保護時のHEADタグの出力の選択を変更してください	ਕਿਰਪਾ ਕਰਕੇ ਧਿਆਨ ਦਿਓ ਕਿ ਫੀਚਰਡ ਇਮੇਜ ਵਜੋਂ ਨਿਯੁਕਤ ਕੀਤੀਆਂ ਤਸਵੀਰਾਂ OGP ਡੇਟਾ ਵਜੋਂ ਸਾਂਝੀਆਂ ਕੀਤੀਆਂ ਜਾਣਗੀਆਂ ਅਤੇ ਉਹਨਾਂ ਦੀ ਸੁਰੱਖਿਆ ਨਹੀਂ ਕੀਤੀ ਜਾ ਸਕਦੀ। ਜੇ ਤੁਸੀਂ ਬਿਲਕੁਲ ਹੀ ਉਹਨਾਂ ਦੀ ਸੁਰੱਖਿਆ ਕਰਨੀ ਚਾਹੁੰਦੇ ਹੋ, ਤਾਂ HTML ਸੁਰੱਖਿਆ ਚਾਲੂ ਕਰਦੇ ਸਮੇਂ ਐਡਵਾਂਸ ਸੈਟਿੰਗਜ਼ ਵਿੱਚ HEAD ਟੈਗ ਆਉਟਪੁੱਟ ਲਈ ਸੈਟਿੰਗ ਬਦਲੋ।
OS標準搭載のスクリーンショット機能を保護することはできません	ਓਪਰੇਟਿੰਗ ਸਿਸਟਮ ਵਿੱਚ ਮਿਆਰੀ ਤੌਰ 'ਤੇ ਸ਼ਾਮਿਲ ਸਕ੍ਰੀਨਸ਼ਾਟ ਫੰਕਸ਼ਨ ਸੁਰੱਖਿਅਤ ਨਹੀਂ ਕੀਤਾ ਜਾ ਸਕਦਾ।
画像URLの保護	ਚਿੱਤਰ URLਾਂ ਦੀ ਸੁਰੱਖਿਆ
画像の保護と組み合わせて使用します、単体では意味がありません	ਇਸਨੂੰ ਚਿੱਤਰ ਸੁਰੱਖਿਆ ਦੇ ਨਾਲ ਹੀ ਵਰਤਿਆ ਜਾਣਾ ਚਾਹੀਦਾ ਹੈ; ਇਕੱਲੇ, ਇਹ ਕਿਸੇ ਵੀ ਕੰਮ ਦਾ ਨਹੀਂ।
JavaScriptにより遅延読まれますのでSEOに影響があります	ਕਿਉਂਕਿ ਇਹ JavaScript ਰਾਹੀਂ ਲੋਡ ਹੁੰਦਾ ਹੈ, ਇਸ ਨਾਲ SEO 'ਤੇ ਅਸਰ ਪੈਂਦਾ ਹੈ।
画像のウォーターマーク	ਚਿੱਤਰ ਵਾਟਰਮਾਰਕ
右下	ਹੇਠਾਂ ਸੱਜੇ
ランダム位置	ਯਾਦ੍ਰਛਿਕ ਸਥਿਤੀ
画像の保護と組み合わせて使用します、動的な透かしで著作権を明示しつつ、閲覧者に監視されている印象を与え抑止力を高めます	ਚਿੱਤਰ ਸੁਰੱਖਿਆ ਦੇ ਨਾਲ ਮਿਲਾ ਕੇ ਵਰਤੇ ਜਾਣ 'ਤੇ, ਗਤੀਸ਼ੀਲ ਵਾਟਰਮਾਰਕ ਸਪਸ਼ਟ ਤੌਰ 'ਤੇ ਕਾਪੀਰਾਈਟ ਮਾਲਕੀ ਦਰਸਾਉਂਦੇ ਹਨ ਅਤੇ ਦਰਸ਼ਕਾਂ ਨੂੰ ਇਹ ਅਹਿਸਾਸ ਕਰਵਾਉਂਦੇ ਹਨ ਕਿ ਉਨ੍ਹਾਂ ਦੀ ਨਿਗਰਾਨੀ ਕੀਤੀ ਜਾ ਰਹੀ ਹੈ, ਜਿਸ ਨਾਲ ਇਹ ਰੋਕਥਾਮ ਵਜੋਂ ਕੰਮ ਕਰਦੇ ਹਨ।
JPG形式、PNG形式、WebP形式のみ対応します	ਸਿਰਫ਼ JPG, PNG ਅਤੇ WebP ਫਾਰਮੈਟ ਹੀ ਸਪੋਰਟ ਕੀਤੇ ਜਾਂਦੇ ਹਨ।
有効にするとサーバーの負荷が高くなります	ਇਸਨੂੰ ਚਾਲੂ ਕਰਨ ਨਾਲ ਸਰਵਰ 'ਤੇ ਲੋਡ ਵਧੇਗਾ।
HTML難読化・保護時のHTMLソースコードのアスキーアートの出力	ਓਬਫੁਸਕੇਸ਼ਨ ਅਤੇ ਸੁਰੱਖਿਆ ਦੌਰਾਨ HTML ਸਰੋਤ ਕੋਡ ਤੋਂ ASCII ਕਲਾ ਆਉਟਪੁੱਟ ਕਰਨਾ
表示なし	ਕੋਈ ਡਿਸਪਲੇ ਨਹੀਂ
view-sourceでHTMLソース表示をした時に警告の意思を示すアスキーアートを表示します	'view-source' ਦੀ ਵਰਤੋਂ ਕਰਕੇ HTML ਸਰੋਤ ਵੇਖਣ ਸਮੇਂ ਚੇਤਾਵਨੀ ਦਰਸਾਉਂਦੀ ASCII ਕਲਾ
対象アクションを起こした時の表示デザイン	ਜਦੋਂ ਨਿਸ਼ਾਨਾ ਕਾਰਵਾਈ ਕੀਤੀ ਜਾਂਦੀ ਹੈ ਤਾਂ ਡਿਸਪਲੇ ਡਿਜ਼ਾਈਨ ਦਿਖਾਓ
黄色の背景の黒文字のベーシックデザイン	ਪੀਲੇ ਪਿਛੋਕੜ 'ਤੇ ਕਾਲੇ ਅੱਖਰਾਂ ਵਾਲਾ ਇੱਕ ਬੁਨਿਆਦੀ ਡਿਜ਼ਾਈਨ।
黒色の背景の赤文字のホラー風デザイン	ਕਾਲੇ ਪਿਛੋਕੜ 'ਤੇ ਲਾਲ ਟੈਕਸਟ ਵਾਲਾ ਇੱਕ ਡਰਾਉਣੇ-ਸ਼ੈਲੀ ਦਾ ਡਿਜ਼ਾਈਨ
黒色の背景の赤文字の光る文字のデザイン	ਕਾਲੇ ਪਿਛੋਕੜ 'ਤੇ ਚਮਕਦੇ ਲਾਲ ਅੱਖਰਾਂ ਵਾਲਾ ਇੱਕ ਡਿਜ਼ਾਈਨ
対象アクションを起こした時のBGM	ਪਿਛੋਕੜ ਸੰਗੀਤ ਜੋ ਨਿਸ਼ਾਨਾ ਕਾਰਵਾਈ ਕੀਤੇ ਜਾਣ 'ਤੇ ਚੱਲਦਾ ਹੈ।
サウンドなし	ਕੋਈ ਆਵਾਜ਼ ਨਹੀਂ
戦闘＆戦闘勝利 - 1分16.3秒 - 630,056bytes - 64kbps - ライセンス：CC2.1 or later	ਲੜਾਈ ਅਤੇ ਜਿੱਤ - 1 ਮਿੰਟ 16.3 ਸਕਿੰਟ - 630,056 ਬਾਈਟਸ - 64 kbps - ਲਾਇਸੈਂਸ: CC 2.1 ਜਾਂ ਬਾਅਦ ਦਾ
おやじ ショート - 3.8秒 - 32,364bytes - 64kbps - ライセンス GPL2.0 or later (C)EJ	ਡੈਡ ਸ਼ਾਰਟ - 3.8 ਸਕਿੰਟ - 32,364 ਬਾਈਟਸ - 64 kbps - ਲਾਇਸੈਂਸ: GPL 2.0 ਜਾਂ ਬਾਅਦ
おやじ ロング - 23.5秒 - 195,578bytes - 64kbps - ライセンス GPL2.0 or later (C)EJ	ਓਯਾਜੀ ਲੰਬਾ - 23.5 ਸਕਿੰਟ - 195,578 ਬਾਈਟਸ - 64 kbps - ਲਾਇਸੈਂਸ: GPL 2.0 ਜਾਂ ਬਾਅਦ ਦਾ
ショパン エチュード Op.10-5 黒鍵 打ち込み版 高速版 - 1分0.0秒 - 369,778bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	ਚੋਪਿਨ ਐਟਿਊਡ ਓਪਸ. 10 ਨੰਬਰ 5
