設定	Ntọala
画像保護が有効な場合のみ、画像を正常に配信するため、IPアドレスと画像ファイル名をハッシュ化したデータをデータベースに最大60分間保存する。	Iji hụ na a na-ebuga onyonyo n'ụzọ ziri ezi naanị mgbe nchebe onyonyo kwụrụ, anyị na-echekwa data e kpara hash nke gụnyere adreesị IP na aha faịlụ onyonyo na nchekwa data ruo nkeji iri isii.
利用規約を設定する場合、必ずプライバシーポリシーに利用規約のリンクを設置して下さい	Ọ bụrụ na ị na-etolite Ụkpụrụ Ojiji, biko jide n'aka na ị tinye njikọ na ha na Atụmatụ Nzuzo gị.
利用規約の文字列	Ozi gbasara Ụkpụrụ Ojiji
利用規約のページ	Peji nke Okwu na Ọnọdụ
ページ選択なし	Enweghị ibe ahọpụtara
検索エンジン等のURL	URLs maka igwe nchọta, wdg.
同意しなかった時に画面遷移する検索エンジンなどのURLを設定します	Tọọ URL maka igwe nchọta na saịtị yiri ya nke na-eziga ndị ọrụ n'ebe ọzọ mgbe a naghị enye nkwenye
デバッグモード、コンソールの警告メッセージ	Ụdị ndozi njehie, ozi ịdọ aka ná ntị na kọnsọl
右クリックの警告メッセージ	Mesaa ozi ịdọ aka ná ntị site na ịpị aka nri
印刷、PDF保存の警告メッセージ	Ozi ịdọ aka ná ntị gbasara ibipụta na ịchekwa dị ka PDF
スクリーンショットの警告メッセージ	Ozi ịdọ aka ná ntị dị na onyonyo ihuenyo
スクリーンショットの疑いの警告メッセージ	Ozi ịdọ aka ná ntị gbasara ihe onyonyo ihuenyo a na-enyo enyo
テキスト全選択時の警告メッセージ	Ozi ịdọ aka ná ntị mgbe ahọpụtara ederede niile
ページ保存の警告メッセージ	Ozi ịdọ aka ná ntị gbasara ịchekwa ibe
コピー・カットした時に表示するメッセージ	Ozi a na-egosi mgbe ị na-detuo ma ọ bụ ị na-ehichapụ
HTMLソース表示時に表示するメッセージ	Ozi ga-egosi mgbe a na-ele isi mmalite HTML
HTML難読化・保護時にソースの先頭に表示するメッセージ	Ozi ga-egosi n'elu koodu isi mgbe a na-eme ka HTML sie ike ma ọ bụ na-echebe ya
HTML保護時に一度限りの認証トークンが異常の場合に表示するメッセージ	Ozi ga-egosi ma ọ bụrụ na token nnwale otu ugboro adịghị irè n'oge nchebe HTML
CookieやJavascriptが有効でない場合に表示するメッセージ	Ozi ga-egosi ma ọ bụrụ na a gbanyụrụ kuki ma ọ bụ JavaScript
実際にはJavascriptが無効時のみ表示されます	N'eziokwu, a na-egosipụta nke a naanị mgbe e gbanyụrụ JavaScript.
画像保護時に画像がダウンロードされ、その画像に表示するメッセージ 英語のみ	Mgbe echekwara onyonyo, a na-ebudata ya ma egosipụta ozi n'elu ya
HTML難読化 (圧縮)	Ịkpụchi koodu HTML
一般的なHTML圧縮です、難読化解除のサイトもあります	Nke a bụ nkwụnye nrụgharị HTML ọkọlọtọ; e nwekwara weebụsaịtị ndị nwere ike ịtụgharị ya.
このオプションを有効にするとview-sourceのログが取得できます	Ịgbatị nhọrọ a na-enye gị ohere iweta ndekọ view-source.
HTML保護	Nchebe HTML
HTML圧縮以上に最小限のHTMLしか出力せず、BODYタグ内の内容が全く出力されなくなります	Ọ na-emepụta naanị HTML kacha nta—ọbụna obere karịa mgbe eji nkwụnye HTML—ma ọ naghị ebipụta ọdịnaya dị n'ime tag BODY n'ụzọ ọ bụla.
Firefoxに対しては無効です	Nke a adịghị metụta Firefox.
SEOに著しく影響があります	Nke a nwere mmetụta dị ukwuu na SEO.
HTMLをJavaScriptで描画	Ịmepụta HTML site na JavaScript
Firefox対策としてHTMLをJavaScriptで描画をします	Iji gbanwee ụzọ ọrụ Firefox, anyị na-emepụta HTML site na JavaScript.
JavaScript描画で有効にするとウェブサイトの表示速度が著しく遅くなります	Ịkwado igosipụta JavaScript ga-eme ka ọsọ ibu weebụsaịtị belata nke ukwuu.
画像の保護	Nchebe onyonyo
imgタグが呼び出されるごとに画像を保護	Chebe onyonyo oge niile a na-akpọ tag img.
出力される全HTMLのうち、Wordpressにアップロードされた画像をすべて保護	Chebe ihe onyonyo niile e bulitere na WordPress n'ime mmepụta HTML niile.
画像をダウンロードから保護します	Na-echebe onyonyo ka a ghara ibudata ha
画像データを保護した時にはほぼ完全なるダウンロードを阻止し、完全なるワンタイムURLを発行し、セッションに保存されたトークンで認証し、phpから画像を表示します、その為ほぼ完全な画像盗用を防ぎます	Mgbe a na-echekwa data onyonyo, anyị na-egbochi ihe fọrọ nke nta ka ọ bụrụ nbudata niile, na-enye URLs pụrụ iche maka otu oge, na-eme nnwale njirimara site na tokens echekwara na session, ma na-egosipụta onyonyo site na PHP; nke a na-egbochi ihe fọrọ nke nta ka ọ bụrụ izu ohi onyonyo niile.
画像データを保護した時には画像のキャッシュが効かないため、次回訪問時にサイトの読み込みが遅くなるため、SEOに影響があります	Mgbe echekwara data onyonyo, nchekwa cache anaghị arụ ọrụ, nke pụtara na saịtị ahụ ga-ebudata nwayọ nwayọ mgbe a laghachiri ya ọzọ, si otú a na-emetụta SEO.
画像データを保護した時には、データベースの負荷が高くなる可能性があります	Ịchekwa data onyonyo nwere ike ime ka ibu ọrụ na nchekwa data bawanye.
「imgタグが呼び出されるごとに画像を保護」の場合は、add_filterを使用し、imgタグの発行時にフィルタリングを行います、テーマによっては正しく動作しません	Ọ bụrụ na ị họrọ 'Chebe onyonyo mgbe niile mgbe a na-akpọ tag img', sistemụ ahụ na-eji add_filter mee nzacha mgbe a na-emepụta tag img; otú ọ dị, nke a nwere ike ọ gaghị arụ ọrụ nke ọma na ụfọdụ isiokwu.
「出力される全HTMLのうち、Wordpressにアップロードされた画像をすべて保護」の場合は、Wordpressのほぼすべての動作をキャプチャし、コンテンツ内のimgタグについてすべて処理します。テーマによっては正しく動作しません	Ọ bụrụ na ị họrọ 'Chebe onyonyo niile e bulitere na WordPress n'ime mmepụta HTML niile', mgbakwunye ahụ ga-ejide ihe fọrọ nke nta ka ọ bụrụ ọrụ niile nke WordPress ma rụọ ọrụ na tag img ọ bụla dị n'ime ọdịnaya. Biko mara na nke a nwere ike ọ gaghị arụ ọrụ nke ọma na ụfọdụ isiokwu.
なお、アイキャッチに指定した画像はOGPとして拡散されますので保護できません。どうしても保護すべき場合は高度な設定でHTML保護時のHEADタグの出力の選択を変更してください	Biko mara na onyonyo ndị a họpụtara dị ka onyonyo pụrụ iche ga-ekerịta dị ka data OGP ma enweghị ike ichebe ha. Ọ bụrụ na ị ga-echebe ha n'ezie, biko gbanwee ntọala maka mmepụta tag HEAD na ntọala ndị ọkachamara mgbe ị na-enye nchebe HTML.
OS標準搭載のスクリーンショット機能を保護することはできません	A pụghị ichebe ọrụ ịse ihe ngosi ihuenyo etinyere na sistemụ arụmọrụ.
画像URLの保護	Ịchebe URLs onyonyo
画像の保護と組み合わせて使用します、単体では意味がありません	A ga-eji nke a na nchebe onyonyo; n'onwe ya, ọ n'enweghị uru ọ bụla.
JavaScriptにより遅延読まれますのでSEOに影響があります	N'ihi na e buru ya site na JavaScript, nke a na-emetụta SEO.
画像のウォーターマーク	Akara mmiri onyonyo
右下	N'okpuru aka nri
ランダム位置	Ọnọdụ ọ bụla
画像の保護と組み合わせて使用します、動的な透かしで著作権を明示しつつ、閲覧者に監視されている印象を与え抑止力を高めます	A na-eji ya na nchebe onyonyo; akara mmiri na-agbanwe agbanwe na-egosi n'ụzọ doro anya onye nwe ikike edemede, ma na-enye ndị na-ekiri mmetụta na a na-enyocha ha, si otú a na-arụ ọrụ dị ka ihe na-egbochi mmebi.
JPG形式、PNG形式、WebP形式のみ対応します	A na-akwado naanị usoro JPG, PNG na WebP.
有効にするとサーバーの負荷が高くなります	Ịgbatị nke a ga-abawanye ibu ọrụ na sava.
HTML難読化・保護時のHTMLソースコードのアスキーアートの出力	Ịmepụta nka ASCII site na koodu isi HTML n'oge mgbagwoju anya na nchebe
表示なし	Enweghị ngosipụta
view-sourceでHTMLソース表示をした時に警告の意思を示すアスキーアートを表示します	Na-egosi nka ASCII nke na-egosi ịdọ aka ná ntị mgbe ị na-ele isi mmalite HTML site na iji 'view-source'
対象アクションを起こした時の表示デザイン	Gosi imewe mgbe e mere omume a na-atụ anya
黄色の背景の黒文字のベーシックデザイン	Nhazi dị mfe nke na-egosipụta ederede ojii n'azụ odo
黒色の背景の赤文字のホラー風デザイン	Imewe ụdị egwu nke na-egosipụta ederede uhie n'azụ ojii
黒色の背景の赤文字の光る文字のデザイン	Nhazi nke na-egosipụta ederede uhie na-enwu na ndabere ojii
対象アクションを起こした時のBGM	Egwu ndabere na-egwu mgbe e mere omume a na-achọ
サウンドなし	Enweghị ụda
戦闘＆戦闘勝利 - 1分16.3秒 - 630,056bytes - 64kbps - ライセンス：CC2.1 or later	Agha na Mmeri - nkeji 1 na sekọnd 16.3 - 630,056 baiti - 64 kbps - Ikike: CC 2.1 ma ọ bụ nke ka ọhụrụ
おやじ ショート - 3.8秒 - 32,364bytes - 64kbps - ライセンス GPL2.0 or later (C)EJ	Dad Short - sekọnd 3.8 - 32,364 baiti - 64 kbps - Ikike: GPL 2.0 ma ọ bụ mgbe e mesịrị
おやじ ロング - 23.5秒 - 195,578bytes - 64kbps - ライセンス GPL2.0 or later (C)EJ	Oyaji Long - sekọnd 23.5 - 195,578 baiti - 64 kbps - Ikike: GPL 2.0 ma ọ bụ mgbe e mesịrị
ショパン エチュード Op.10-5 黒鍵 打ち込み版 高速版 - 1分0.0秒 - 369,778bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	Chopin Étude Op. 10 No. 5
ショパン エチュード Op.10-12 革命 打ち込み版 高速版 - 1分57.6秒 - 724,457bytes - 48kbps -  ライセンス：CC BY-ND 4.0 or later	Chopin Étude Op. 10 No. 12 'Revolution' – nsụgharị e kere site na kọmputa, ọsọ dị elu – nkeji 1, sekọnd 57.6 – 724,457 baitị – 48 kbps – Ikike: CC BY-ND 4.0 ma ọ bụ nke ka ọhụrụ
ショパン スケルツォ 変ロ短調 Op2 打ち込み版 高速短縮版 - 1分48.0秒 - 665,369bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	Chopin: Scherzo na B flat minor, Op. 2 – nsụgharị e kere site na kọmputa, nsụgharị mkpụmkpụ ọsọ ọsọ – nkeji 1, sekọnd 48.0 – 665,369 baitị – 48 kbps – Ikike: CC BY-ND 4.0 ma ọ bụ mgbe e mesịrị
リスト 超絶技巧練習曲 4番 マゼッパ 打ち込み版 高速短縮版 - 1分51.6秒 - 687,586bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	Ndepụta: Étude d'Exécution No. 4 'Mazeppa'
ファンファーレ - 22.3秒 - 183,926bytes - 64kbps - ライセンス：パブリックドメイン	Fanfare – sekọnd 22.3 – bait 183,926 – 64 kbps – Ikike: N'ọha
レトロ風ファンファーレ - 2.2秒 - 10,536bytes - 32kbps - ライセンス：パブリックドメイン	Mmemme ụdị ochie – sekọnd 2.2 – bayt 10,536 – 32 kbps – Ikikere: N'ọha mmadụ
レトロ風オープン - 42.1秒 - 179,138bytes - 32kbps - ライセンス：パブリックドメイン	Mmalite n'ụdị retro – sekọnd 42.1 – bait 179,138 – 32 kbps – Ikike: Public Domain
警告 by ChatGPT - 3.8秒 - 109,700bytes - 256kbps - ライセンス：パブリックドメイン	Nkwupụta ịdọ aka ná ntị site na ChatGPT - sekọnd 3.8 - bait 109,700 - 256 kbps - Ikikere: N'ọha
マルウェア検出みたいな緊急感の高い音 その１ by ChatGPT - 3.3秒 - 102,850bytes - 256kbps - ライセンス：パブリックドメイン	Ụda dị oke mkpa dị ka ịdọ aka ná ntị maka nchọpụta malware – Akụkụ 1 site na ChatGPT – sekọnd 3.3 – bait 102,850 – 256 kbps – Ikikere: N'ọha
マルウェア検出みたいな緊急感の高い音 その２ by ChatGPT - 3.3秒 - 103,122bytes - 256kbps - ライセンス：パブリックドメイン	Ụda dị oke mkpa dị ka ịdọ aka ná ntị maka nchọpụta malware, Akụkụ nke 2 site na ChatGPT - sekọnd 3.3 - bait 103,122 - 256 kbps - Ikike: N'ọha mmadụ
MRI風サウンド by ChatGPT - 1分14.9秒 - 3,340,392bytes - 320kbps - ライセンス：パブリックドメイン	Ụda ụdị MRI site na ChatGPT – nkeji 1, sekọnd 14.9 – 3,340,392 baitị – 320 kbps – Ikike: N'ọha
警告表示中のBGMを選択します	Họrọ egwu ndabere ga-egwu n'oge ịdọ aka ná ntị.
びっくりするような雰囲気を作ります	Ọ na-emepụta ikuku ijuanya.
Firefoxでは音声ブロックされます	E gbochiri ụda na Firefox.
対象アクションを起こした時のビープ音	Ịkwa ụda mgbe emechara ihe a kpọrọ
有効 音量小さ目	Mee ya, olu dị ala
有効 音量大き目	Na-arụ ọrụ, olu tọrọ na elu
警告表示中にすべてのキー・マウスイベントでビープ音を鳴らします	A ga-anụ ụda beep maka mmegharị niile nke igodo na òké, mgbe a na-egosi ịdọ aka ná ntị.
警告表示中に端末が暴走したかのような雰囲気を作ります	Ọ na-emepụta mmetụta na ngwaọrụ ahụ agbajiri agbaji mgbe a na-egosi ịdọ aka ná ntị.
対象アクションを起こした時のマウスカーソルの消去	Ịzoro akara òké mgbe e mere omume pụrụ iche
警告表示中にブラウザのエリアのマウスカーソルを消去します	Zoro akara ngosi òké na mpaghara nchọgharị mgbe a na-egosi ịdọ aka ná ntị
デバッグモード	Ụdị ndozi njehie
妨害＋記録のみ	Mmegbu + ndekọ naanị
妨害＋記録＋表示＋リダイレクト	Mmegbu + Idekọ + Ngosipụta + Iduzi ọzọ
メニューからは操作できてしまいます	Ị ka nwere ike ịnweta ya site na menu.
Firefoxにおけるデバッグモード	Ụdị nchọpụta njehie na Firefox
ブラウザーコンソール	Kọsọl nchọgharị
事実上デバッグモードから操作できてしまいます	N'eziokwu, ị nwere ike iji ya site na ọnọdụ nchọpụta njehie.
HTMLソース表示	Lee isi mmalite HTML
view-source:から始まるURLを入力すれば操作できてしまいます	Ị nwere ike ime ọrụ ahụ n'ụzọ dị mfe site n'itinye URL nke na-amalite na 'view-source:'
HTML保護と組み合わせることでコンテンツを保護することができます	Ị nwere ike ichebe ọdịnaya gị site n'ịjikọta nke a na nchebe HTML.
印刷	Bipụta
印刷阻止をするもものの、ブラウザによってはうまく動作しません	Ọ bụ ezie na ọ na-egbochi mbipụta, o nwere ike ọ gaghị arụ ọrụ nke ọma na ụfọdụ nchọgharị.
スクリーンショット	Foto ihuenyo
OSやブラウザ、方法によっては妨害できず、もしくは検出しないことがあります	Dabere na sistemụ arụmọrụ, ihe nchọgharị ma ọ bụ usoro eji, o nwere ike ọ gaghị ekwe omume igbochi nke a, ma ọ bụ a pụghị ịchọpụta ya.
ウインドウが背面に移動した時スクリーンショットの疑い	Echere na nke a bụ onyonyo ihuenyo mgbe windo ahụ kwagara n'azụ
あわせて、スクリーンショット以外の機能（タブ切り替え・ウィンドウ切り替え）にも反応してしまいます。	Ọ na-aza kwa ọrụ ndị ọzọ karịa ịse foto ihuenyo
2キー押下のスクリーンショットの疑い	Echere na e were foto ihuenyo site n'ịpị bọtịnụ abụọ.
上の項目の検出方法は完全ではありません、予防的に検出を行います	Ụzọ nchọpụta ihe ndị a kwuru n'elu adịghị ezigbo ntụkwasị obi; a na-eme nchọpụta dịka usoro nchedo.
スクリーンショットだけではなく、デバッグモード等も検出します	Ọ na-achọpụta ọ bụghị naanị ihe onyonyo ihuenyo kamakwa ụdị debug na ihe ndị yiri ya.
ページ保存	Chekwaa ibe
右クリック	Pịa aka nri
アドオンがインストールされていると操作できてしまいます	Ọ bụrụ na etinyere mgbakwunye ahụ, ị ga-enwe ike iji ya.
コピー・カット	Detuo ma bee
本プラグインの設定によってはこのイベントにたどり着くことはほとんどない場合があります	Dabere na ntọala nke mgbakwunye a, ị nwere ike na-ahụ ihe a naanị mgbe ụfọdụ.
テキスト全選択	Họrọ ederede niile
テキスト選択	Họrọ ederede
デバッガー起動ログ、デバッガー妨害	Ndekọ mmalite debugger, ntinye aka debugger
デバッグモードの使い勝手を少し悪くし、デバッガを起動したことをログに残します、ブラウザによってはこの挙動が止められてしまいます	Nke a na-eme ka ọnọdụ nchọpụta njehie ghara ịdị mfe iji ma na-edekọ na e malitere debugger; otú ọ dị, ụfọdụ nchọgharị weebụ nwere ike igbochi omume a.
リダイレクトするURL	Tụgharịa URL
利用規約などのページに転送すると良いでしょう	Ọ ga-adị mma ịtụgharị ndị ọrụ gaa na ibe dịka Nkọwa Ọrụ.
空欄にすると元のURLにリダイレクトをします	Ọ bụrụ na e hapụ ya efu, ọ ga-ebugharị na URL mbụ.
リダイレクトまでの時間	Oge ruo ntụgharị
リダイレクトなし	Enweghị ntụgharị
1秒	Otu sekọnd
2秒	Sekọnd abụọ
3秒	Sekọnd atọ
4秒	Sekọnd anọ
5秒	Sekọnd ise
6秒	Isekọnd isii
7秒	Sekọnd asaa
8秒	Sekọnd asatọ
9秒	Sekọnd itoolu
10秒	Sekọnd iri
15秒	Sekọnd iri na ise
20秒	Sekọnd iri abụọ
25秒	Sekọnd iri abụọ na ise
30秒	Sekọnd iri atọ
35秒	Sekọnd iri atọ na ise
40秒	Isekọnd iri anọ
45秒	Sekọnd iri anọ na ise
50秒	Sekọnd iri ise
55秒	Sekọnd iri ise na ise
1分	Otu nkeji
1分10秒	Otu nkeji na sekọnd iri
1分20秒	Otu nkeji na sekọnd iri abụọ
1分30秒	Otu nkeji na sekọnd iri atọ
1分40秒	Otu nkeji na sekọnd iri anọ
1分50秒	Otu nkeji na sekọnd iri ise
2分	Mịnịsị abụọ
ソース表示を許可する権限	Ikike ile koodu isi
ADMINログイン時のみ通常のソース出力	Mmepụta nkịtị ga-apụta naanị mgbe ị banye dị ka ADMIN
USERログインで通常のソース出力	Mmepụta nkịtị site na isi iyi mgbe ị banye dị ka USER
通常のHTML出力を管理者のみかユーザーログインかを選択します	Họrọ ma a ga-eme ka mmepụta HTML ọkọlọtọ bụrụ naanị maka ndị nchịkwa ma ọ bụ na ọ ga-achọ ka onye ọrụ banye.
画像を無理やりダウンロードして実際にダウンロードされるもの	Ịkpọrọ onyonyo ka ọ budata na ihe e budatara n'eziokwu
GIF形式で1×1ピクセルの透過画像	Onyonyo doro anya nke 1×1 piksel n'ụdị GIF
PNG形式で1×1ピクセルの透過画像	Onyonyo doro anya nke nwere otu piksel na otu piksel n'ụdị PNG
PNG形式で黄色い背景の警告画面	Ihu ngosi ịdọ aka ná ntị nwere ndabere odo n'ụdị PNG
意味のないHTMLドキュメント	Akwụkwọ HTML na-enweghị isi
HTML保護時のHEADタグの出力	Mmepụta nke tag HEAD mgbe HTML dị nchebe
出力しない	Ekwela bipụta
TITLEタグのみ	Naanị tag aha
WordpressのHEADタグより取得	E wepụtara ya na tag HEAD nke WordPress
企業用途の会員専用ページや社内ページなどでは「出力しない」、「TITLEタグのみ」で良いでしょう	Maka ibe ndị òtù naanị eji maka azụmahịa na ibe ime ụlọ, ịhọrọ 'Egbula mmepụta' ma ọ bụ 'Naanị tag aha' ga-ezuru.
WordpressのHEADタグから取得しないと、SNSのシェアでOGP画像が表示されません	Ma ọ bụrụ na ị naghị ewepụta ozi ahụ site na tag HEAD nke WordPress, onyonyo OGP agaghị apụta mgbe ị na-ekekọrịta ya na mgbasa ozi mmekọrịta.
画像botをアクセス禁止にする	Gbochie bot onyonyo
画像botをHTMLに対し避けることにより、画像検索から直接リンクされることによって守れなかったコンテンツを守ることができます、ただし完全には対処することはできません	Site n'ịkwụsị ka bots onyonyo nweta HTML, ị nwere ike ichebe ọdịnaya nke enweghị ike ichebe megide njikọ ozugbo site na ọchụchọ onyonyo; otú ọ dị, nke a abụghị ngwọta zuru oke.
AI学習用botをアクセス禁止にする	Gbochie nnweta bot ọzụzụ AI
AIの学習用のbotをHTMLに対し避けることにより、AIで利用されないようにします、ただし完全には対処することはできません	Site n'izere iji bots e mepụtara maka ọzụzụ AI na HTML, anyị na-eme ka ọdịnaya ghara ịbụ nke AI jiri; otú ọ dị, a pụghị igbochi nke a kpamkpam.
ウェブアーカイブ、ウェブ魚拓をアクセス禁止にする	Gbochie nnweta nchekwa weebụ na foto weebụ
自動的に収集されるウェブアーカイブ並びにユーザーの任意で取得される魚拓のアクセスを禁止します、ただし完全には対処することはできません	Anyị machibidoro ịnweta nchekwa weebụ a na-anakọta akpaghị aka na ihe onyonyo ihuenyo onye ọrụ kpebiri ịwere; otú ọ dị, anyị enweghị ike igbochi nke a kpamkpam.
無効なUAをアクセス禁止にする	Gbochie ndị nnọchiteanya onye ọrụ na-ezighi ezi
ユーザーエイジェントの文字に不正な文字列があった場合のアクセスを避けます	Na-egbochi nnweta ma ọ bụrụ na eriri aha onye nnọchite anya onye ọrụ nwere mkpụrụedemede na-ezighi ezi
Internet Explorerと旧Microsoft Edge(EdgeHTML)のアクセスに警告を表示する	Gosi oku-aja mgbe ị na-abanye na Internet Explorer na Microsoft Edge ochie
Internet Explorerと旧Microsoft Edgeのアクセスを避けます	Na-egbochi nnweta site na Internet Explorer na Microsoft Edge ochie
alertメッセージを表示する言語	Asụsụ eji egosipụta ozi ịdọ aka ná ntị
Wordpressの言語	Asụsụ WordPress
ブラウザの設定言語	Ntọala asụsụ nchọgharị
メッセージをカスタム設定されている場合は言語を変更できません	Ị gaghị enwe ike ịgbanwe asụsụ ma ọ bụrụ na e haziri ozi ndị ahụ.
同意画面の言語	Asụsụ nke ihuenyo nkwenye
view-sourceメッセージを表示する言語	Asụsụ eji igosi ozi 'view-source'
一時使用トークンの有効期限	Ụbọchị ngwụcha nke mkpụrụokwu oge
3分	Minit atọ
4分	Minu anọ
5分	Minu ise
6分	Minu isii
7分	Nje asaa
8分	Asatọ nkeji
9分	Minu itoolu
10分	Iri nkeji
15分	Nkeji iri na ise
20分	Mịnị iri abụọ
25分	Mịnị iri abụọ na ise
30分	Minu iri atọ
35分	Nkeji iri atọ na ise
40分	Mịnịt iri anọ
45分	Minu iri anọ na ise
50分	Mịnịsị iri ise
55分	Nkeji iri ise na ise
1時間	Otu awa
画像URL情報の有効期限を設定します	Tọọ ụbọchị njedebe maka ozi URL onyonyo
一度読み込まれると画像URL情報と一時使用トークンは無効化されます	Ozugbo e buru ibu, URL onyonyo na token oge obere ga-akwụsị ịdị irè.
画像は遅延読み込みされますが、この指定した時間の30秒前に強制的に画像が読み込まれます	A na-ebunye onyonyo mgbe achọrọ, ma a ga-ebunye ha akpaghị aka sekọnd iri atọ tupu oge akọwapụtara.
一時使用トークンのビット数	Ọnụọgụ bits dị na token nwa oge
画像URL情報を暗号化するのに一時使用トークンをパスワードとして使用しますが、その強度を指定します	A na-eji token nwa oge dị ka okwuntughe iji kpuchie ozi URL onyonyo; ntọala a na-akọwa ike ya.
ドロップダウンメニューの下に表示される選択肢にいくにつれて強度が強くなるものの、サーバーへの負荷が高くなり、HTML転送量が多くなることがあります	Ọ bụ ezie na nhọrọ ndị e gosiri n'okpuru menu mgbada na-aghọwanye nkọwa zuru ezu, nke a nwere ike ibute ibu dị arọ na sava ma mee ka nnukwu oke data HTML na-ebufe.
ハッシュ化アルゴリズム	Usoro algọridim hash
画像URL情報を暗号化するのに一時使用トークンをパスワードとして使用しますが、その時ハッシュ化が必要です、その強度を設定します	A na-eji token nwa oge dị ka okwuntughe iji kpuchie ozi URL onyonyo; nke a chọrọ hashing, ma ntọala a na-ekpebi ike hashing ahụ.
ドロップダウンメニューの下に表示される選択肢にいくにつれて強度が強くなるものの、サーバーへの負荷が高くなります	Ọ bụ ezie na ike na-arịwanye elu ka ị na-aga n'okpuru n'ime ndepụta nhọrọ e gosiri na menu dara ala, nke a na-etinye ibu buru ibu na sava.
基本設定	Ntọala ndị bụ isi
高度な設定	Ntọala ndị gbara n'ihu
初期設定に戻す	Weghachite ntọala ndabara
デザイン・音の設定	Nhazi na ntọala ụda
イベントの設定	Ntọala mmemme
初回訪問時のお知らせの設定	Ịtọ ọkwa maka nleta mbụ
メッセージの設定	Ntọala ozi
右クリックやソースコード表示時に転送する URL を設定します	Tọọ URL a ga-ebugharịrị na ya mgbe a pịrị aka nri ma ọ bụ mgbe a na-ele koodu isi
警告メッセージにはHTMLは使用できません	Enweghị ike iji HTML na ozi ịdọ aka ná ntị.
この画面で設定すると、高度な設定タブにある言語設定が無視されます	Ọ bụrụ na ị hazie nke a na ihuenyo a, a gaghị ewere ntọala asụsụ dị na taabụ Advanced.
以下の文字列が使用できます	Enwere ike iji eriri ndị a
改行	Mkpụchi ahịrị
押下されたキー	Igodo pịrị
Neo HTML Protector 設定	Ntọala Neo HTML Protector
お知らせ	Cheta
メッセージ	Ozi
デザイン・音	Imewe na ụda
初期化	Mmalite
このプラグインについて	Banyere mgbakwunye a
設定が初期化されました	A tọgharịrị ntọala
